operator_id,modality,observable,latent_state_inputs,world_inputs,operator_form,math_models,math_model_ids_FORMULAS_draft,predicted_output,noise_model,systematic_errors_nuisance,support_transform,spatial_support,temporal_support,datum_reference,candidate_tools,operator_status,skru1_data_availability,linked_graph_nodes,linked_processes,status,scope,scale,confidence,source_ids,locator,vn_ids,key_vn_id,key_quote_check,notes
OO-11,other,маркшейдерская съёмка выработок: контуры и отметки почвы,Ω(t) (фактическая геометрия); отметки почвы/кровли,подземная опорная сеть,контур = Ω(t) в плане; отметки почвы через 10 м (пикеты),"EV-VN-S020-0312 (допуски); EV-VN-S024-0080 (f_h,доп=50√L)",MM-GEOD-004,"планы горных работ, профили почвы",допуски подземного нивелирования (≤10 мм на станции; техническое 50√L мм),"поддирка почвы, штыб",пикеты/контуры,все выработки,1 раз в двое суток (съёмка контуров) при ведении работ,система координат рудника (локальная),AutoCAD/Micromine,DESIGN,"планы горных работ СКРУ-1 — у предприятия (слои MapInfo у Филатовой), в корпусе не оцифрованы",AE_GEOMETRY/GM_SEAMS→OBS_MINE_SURVEY,PC-28,FACT,VKM_REGIONAL,FIELD,HIGH,VKM-SRC-020;VKM-SRC-024;VKM-SRC-023,"VKM-SRC-020 p.127 (§3.6 п.4, с.127); VKM-SRC-020 p.127 (§3.6 п.4, с.127); VKM-SRC-020 p.123 (§3.5 п.3, с.123-124); VKM-SRC-024 p.31 (§5.2.3); VKM-SRC-023 p.40 (§3.1.1, rendered p.40)",EV-VN-S020-0310;EV-VN-S020-0312;EV-VN-S020-0301;EV-VN-S024-0080;EV-VN-S023-0203,EV-VN-S020-0310,FUZZY_79,"главный источник геометрии и хронологии выемки (вход, а не проверка)"
OO-12,gpr,радарограмма отражённых волн (двойное время пробега),"геометрия отражателей (пласты, «коржи», контакты), ε_r, σ","профиль, антенна (100–900 МГц), шаг трасс, привязка","t_k=2h_k/v, v=c/√ε_r (малые потери); амплитуда ~ контраст импедансов; затухание ~ σ",EV-VN-S040-0165 (h=v·t/2); EV-VN-S041-0024 (ε=(c/v)²); EV-VN-S041-0019/0020,,глубины/отметки отражателей; синтетическая радарограмма (gprMax),вертикальное разрешение ~8 см (400 МГц) / ~3 см (900 МГц),влага/штыб на почве; соляная корка; металл (при отрыве антенны); анизотропия,профиль вдоль выработки,0–30 м от выработки,кампании,абсолютные отметки по маркшейдерской привязке,gprMax; RadExplorer/Python,DESIGN,данных GPR СКРУ-1 нет (ВКМ-региональные профили и СКРУ-3),GM_SEAMS/MS_EM→OBS_GPR,PC-58,FACT,VKM_REGIONAL,FIELD,MEDIUM,VKM-SRC-015;VKM-SRC-040;VKM-SRC-041,"VKM-SRC-015 p.4 (§Методы; Рис. 1); VKM-SRC-015 p.5 (§Методы); VKM-SRC-015 p.6 (§Результаты опытно-методических работ); VKM-SRC-015 p.8 (§Результаты); VKM-SRC-015 p.8 (§Результаты; рис. 3); VKM-SRC-040 p.71 (§2.2.5 p.71); VKM-SRC-041 p.4 (формула (3)); VKM-SRC-040 p.88 (§3.1 p.88, Рис. 3.2)",EV-VN-S015-0018;EV-VN-S015-0024;EV-VN-S015-0034;EV-VN-S015-0048;EV-VN-S015-0050;EV-VN-S040-0165;EV-VN-S041-0024;EV-VN-S040-0200,EV-VN-S015-0034,FUZZY_82,GPR ≠ оседание
OO-13,gpr,просвечивание целика (прямая волна между выработками) и профилирование вдоль стенки,ε_r(x) в целике (нарушенная краевая зона),"расстояние Tx–Rx, геометрия целика",V=r/(t−Δt); профиль скорости по глубине от стенки,EV-VN-S040-0274,,скорость ЭМ-волн vs расстояние от контура,не указана,"литология (разные пласты), влажность",целик,1–4 м от стенки; целик,кампания 2016,—,gprMax; Python,DESIGN,нет (СКРУ-3: 4 целика разного возраста),PE_DAMAGE→OBS_GPR,PC-58;PC-21,FACT,SKRU3,FIELD,LOW,VKM-SRC-040,"VKM-SRC-040 p.118 (§4.1, Рис. 4.2); VKM-SRC-040 p.120 (§4.2); VKM-SRC-040 p.124 (§4.2 (p120-124)); VKM-SRC-040 p.135 (§4.5 (p135-136)); VKM-SRC-040 p.118 (§4.1 (p118-119))",EV-VN-S040-0275;EV-VN-S040-0282;EV-VN-S040-0295;EV-VN-S040-0338;EV-VN-S040-0274,EV-VN-S040-0338,EXACT,"связь скорости с возрастом целика — гипотеза, смешана с литологией"
OO-14,seismic_survey,сейсморазведка МОГТ: времена и амплитуды отражений,"Vp, Vs, ρ, отражающие границы (ОГ С — подошва соли; ОГ Ат, Ак)","профили, система наблюдений",t(x)=2√(h²+(x/2)²)/v (TEXTBOOK); амплитуды — импеданс,TEXTBOOK,,"структурные, скоростные, амплитудные разрезы; схемы аномалий соляной толщи",не указана,—,профиль,сеть профилей над шахтными полями,кампании,—,Madagascar/Devito (синтетика),DESIGN,профили МОГТ ГИ УрО РАН — над развивающимися шахтными полями; данные по СКРУ-1 в корпусе отсутствуют,MS_ACOUSTIC/GM_HORIZONS/GEO_FAULTS/OR_VZT_DAMAGE→OBS_SEISMIC_SURVEY,PC-57,FACT,VKM_REGIONAL,FIELD,MEDIUM,VKM-SRC-012;VKM-SRC-011;VKM-SRC-014,"VKM-SRC-012 p.35 (§1.4.3); VKM-SRC-011 p.8 (§1.2; рис. 1.5); VKM-SRC-011 p.118 (§3.8, p.234); VKM-SRC-014 p.17 (Рис. 1.4 legend 7-10)",EV-VN-S012-0178;EV-VN-S011-0071;EV-VN-S011-2008;EV-VN-S014-0170,EV-VN-S012-0178,EXACT,
OO-15,seismic_survey,шахтная сейсморазведка ПВРО (поперечные волны) — строение и состояние ВЗТ,"Vs, отражатели в ВЗТ (соляное зеркало, кровля карналлитовой пачки)",выработки-профили,как OO-14 для SH-волн,TEXTBOOK,,"форма залегания ВЗТ, динамические аномалии",не указана,—,профиль в выработке,выработки,кампании,—,Devito/Python,DESIGN,нет данных,OR_VZT_DAMAGE→OBS_SEISMIC_SURVEY,PC-57;PC-34,FACT,VKM_REGIONAL,FIELD,MEDIUM,VKM-SRC-012;VKM-SRC-021,VKM-SRC-012 p.35 (§1.4.3 pp.35-36); VKM-SRC-012 p.36 (§1.4.3); VKM-SRC-021 p.3 (p.2-3 (ссылка [6]); этап 3 методики),EV-VN-S012-0180;EV-VN-S012-0182;EV-VN-S021-0056,EV-VN-S012-0180,EXACT,сейсмогеомеханический контроль — частичное покрытие шахтных полей
OO-16,seismic_monitoring,"каталог сейсмических событий, плотность выделившейся энергии","процессы разрушения (PE_DAMAGE, D_DYNAMIC_FAILURE)",сеть станций,"событие (x,y,z,t,E) ← источник разрушения; E_s(x,y)=ΣE/площадь/год",—,,"карты плотности энергии, каталоги","порог регистрации (M, энергия) — не указан для СКРУ-1",взрывные работы,площадная агрегация,рудник,непрерывно,—,Python,DESIGN,карта Es по СКРУ-1 на 2023 (вторично через Филатову); единицы Дж/м2 vs Дж/100 м2 — проверить,PE_DAMAGE/D_DYNAMIC_FAILURE→OBS_SEISMIC_MON,PC-53,FACT,SKRU1,FIELD,MEDIUM,VKM-SRC-011;VKM-SRC-023;VKM-SRC-012,"VKM-SRC-011 p.30 (текст с.59); VKM-SRC-023 p.48 (Рис.24в (image26.png), rendered p.48); VKM-SRC-012 p.32 (§1.4.2, [42])",EV-VN-S011-0541;EV-VN-S023-0303;EV-VN-S012-0144,EV-VN-S011-0541,EXACT,
OO-17,borehole_logging,"акустический каротаж (Vp) и связанные E, UCS","Vp(z), ρ(z)","скважины (234с, 1036, 1402–1409 и др.), интервалы обсадки","E=f(Vp) — статико-динамические корреляции (для соли, Vp 3750–4600 м/с); UCS=g(Vp)",EV-VN-S025-0167 (E_d); корреляции Лебедевой (§3.4),MM-ELAST-005,профили E и UCS по глубине,нормировка растровых кривых (MODEL_CHOICE); QC интервалов обсадки,применение соляных корреляций к несоляным породам — недопустимо (конфликт),скважина (интервал),скважины разведки,однократно (при бурении),глубина от устья,Python,DESIGN,SKRU1_SKRU2: 6 скважин с АК (2 — только растр),MS_ACOUSTIC/MS_DENSITY/GEO_STRAT→OBS_LOGS,PC-57;PC-06,FACT,SKRU1_SKRU2,FIELD,MEDIUM,VKM-SRC-012;VKM-SRC-025,"VKM-SRC-012 p.70 (§3.3); VKM-SRC-012 p.70 (§3.3); VKM-SRC-012 p.73 (§3.3, Рис. 3.10); VKM-SRC-012 p.86 (§3.5, Рис. 3.20); VKM-SRC-012 p.90 (Рис. 3.21–3.24); VKM-SRC-025 p.28 (формула (2.2), §2.2)",EV-VN-S012-0405;EV-VN-S012-0406;EV-VN-S012-0423;EV-VN-S012-0478;EV-VN-S012-0492;EV-VN-S025-0167,EV-VN-S012-0405,EXACT,
OO-18,borehole_logging,"прочие ГИС (ГК, ГГК-П, нейтронные) и керн: литология, плотность, отбивки","литология(z), ρ(z)",скважины,отбивка кровли/подошвы стратона = глубина по керну/ГИС,—,,PickObservation (как напечатано),точность отбивки — зависит от источника,расхождения источников (хранить все отбивки),скважина,скважины,однократно,глубина от устья / абс. отметка,GemPy/Micromine (Phase 2),DESIGN,скважины Лебедевой (SKRU1_SKRU2) и др. — см. поток BOREHOLES,GEO_STRAT/GM_HORIZONS→OBS_CORE; OBS_LOGS,PC-01,FACT,SKRU1_SKRU2,FIELD,HIGH,VKM-SRC-012;VKM-SRC-025,"VKM-SRC-012 p.23 (§1.3, [37]); VKM-SRC-012 p.63 (§3.2 p.63); VKM-SRC-012 p.66 (§3.2 p.66); VKM-SRC-025 p.97 (p.97)",EV-VN-S012-0055;EV-VN-S012-0308;EV-VN-S012-0349;EV-VN-S025-0511,EV-VN-S012-0308,FUZZY_77,наблюдение ≠ интерпретация (PickObservation vs PickInterpretation)
OO-19,other,давление гидродомкрата в точке Кайзера (АЭ) при нагружении стенок шпуров,σ компонента вдоль направления нагружения в точке,"ориентация и глубина шпура, расстояние от контура","P_Kaiser ≈ σ_n (при реактивации трещин); при σ3≤0,33σ1 — маскировка радиальным растяжением",EV-VN-S029-0112 (точка Кайзера); EV-VN-S029-0180,,"профили σv, σh от контура вглубь целика",не указана количественно,"трещины бурения; влажность, температура, время","шпур (0,4–8 м)",целики/нетронутый массив,кампании,—,Python,DESIGN,"нет (БКПРУ-2, СКРУ-3)",PE_PILLAR_LOAD/IS_SIGMA_V/IS_SIGMA_H→OBS_AE_STRESS,PC-59;PC-02;PC-03,FACT,OTHER_VKM_SITE,FIELD,MEDIUM,VKM-SRC-029,"VKM-SRC-029 p.104 (§3.2.4, Рис. 3.14 (p.105)); VKM-SRC-029 p.128 (§5.1.1, Рис. 5.2 (станции № 1, 2)); VKM-SRC-029 p.132 (§5.1.2, Рис. 5.5 а (участок № 1)); VKM-SRC-029 p.107 (§3.2.4 (end), Рис. 3.16, ref [93]); VKM-SRC-029 p.67 (§2.1, refs [43], [81], [56], Рис. 2.7)",EV-VN-S029-0180;EV-VN-S029-0226;EV-VN-S029-0240;EV-VN-S029-0190;EV-VN-S029-0111,EV-VN-S029-0226,FUZZY_85,
OO-20,lab_test,"лабораторные кривые σ–ε, ползучести, релаксации, длительной прочности",свойства материала на масштабе образца,"место отбора, размер, h/d, влажность, скорость, T","ε(t; σ, h/d, W, T) образца; перенос на массив — только через Transfer","CL-01, CL-02, CL-18..21; EV-VN-S025-0857",MM-CREEP-001,параметры LAB-законов,разброс между образцами (n=2–13 на уровень),"торцевое трение, форма образца, неизвестная T испытаний",образец (см),точка отбора,сутки–недели (≈40–50 сут),—,MATLAB (идентификация),DESIGN,"СКРУ-1 Монолит-1 (КрII сильвинит, σпр/σ∞ по h/d)",MS_*→OBS_LAB,PC-72;PC-18,FACT,VKM_REGIONAL,LAB,HIGH,VKM-SRC-025;VKM-SRC-036,"VKM-SRC-025 p.153 (§6.1, с.153); VKM-SRC-025 p.159 (§6.2, с.159-160, Рис. 6.6); VKM-SRC-025 p.68 (p.68 (creep vs specimen height)); VKM-SRC-025 p.163 (Табл. 6.2); VKM-SRC-036 p.2 (§Introduction)",EV-VN-S025-0840;EV-VN-S025-0862;EV-VN-S025-0348;EV-VN-S025-0882;EV-VN-S036-0011,EV-VN-S025-0840,EXACT,LAB ≠ MASSIF
OO-21,other,"гидрогеологический мониторинг: уровни/напоры, притоки, минерализация","h(x,t), Q(t), химсостав","наблюдательные скважины, водосборники","h_obs=h(x_w,t); Q_obs=ΣQ притоков; TDS",—,,ряды уровней и притоков,не указана,"откачки, технологические рассолы закладки (избыточный рассол)",скважина/выработка,точки,режимные наблюдения,—,Python,DESIGN,СКРУ-1: история притоков в ствол №2 (1930-е); внутрисолевой рассол (состав); режимных рядов нет,H_HEADS/H_INFLOW→OBS_HYDRO_MON,PC-41;PC-43,FACT,SKRU1,FIELD,MEDIUM,VKM-SRC-011;VKM-SRC-040;VKM-SRC-014,"VKM-SRC-011 p.30 (текст с.58); VKM-SRC-040 p.25 (§1.2.2); VKM-SRC-040 p.26 (§1.2.2); VKM-SRC-011 p.39 (Табл. 1.17 (render 250 dpi clip, confirmed)); VKM-SRC-014 p.143 (§5.2)",EV-VN-S011-0537;EV-VN-S040-0071;EV-VN-S040-0073;EV-VN-S011-0732;EV-VN-S014-0912,EV-VN-S040-0073,EXACT,техногенные рассолы закладки ≠ природный приток
OO-22,other,"термометрия массива, рассолов и воздуха выработок","T(x,t)",точки измерения,"T_obs=T(x,t)+ε",—,,значения T,не указана,воздух ≠ массив,точка,точки,эпизодически,—,—,DESIGN,нет (аналог БКПРУ-3),IS_TEMP/T_MINE_CLIMATE→OBS_THERMO,PC-48;PC-51,ANALOGUE,BKPRU3,FIELD,MEDIUM,VKM-SRC-011;VKM-SRC-037;VKM-SRC-028,"VKM-SRC-011 p.39 (текст с.77); VKM-SRC-037 p.42 (§2.8, с.82); VKM-SRC-028 p.137 (§2.3.7 Гидравлическое оборудование самоходного вагона)",EV-VN-S011-0726;EV-VN-S037-0337;EV-VN-S028-0108,EV-VN-S011-0726,EXACT,
OO-23,other,"гравиметрия и электроразведка (состояние ВЗТ, обводнённые зоны трещиноватости)","Δρ (разуплотнение), удельное сопротивление (обводнённость)",сети наблюдений,Δg = G∫Δρ dV/r² (TEXTBOOK); ρ_k — кажущееся сопротивление,TEXTBOOK,,"аномалии Δg, ρ_k",не указана,"рельеф, техногенные объекты",площадная/профильная,шахтное поле,кампании,—,SimPEG,DESIGN,нет данных,OR_VZT_DAMAGE/H_WCF/GEO_FAULTS→OBS_GRAVI_ELECTRO,PC-34;PC-43,FACT,VKM_REGIONAL,FIELD,MEDIUM,VKM-SRC-040;VKM-SRC-011;VKM-SRC-003,VKM-SRC-040 p.37 (§1.3.1); VKM-SRC-011 p.33 (текст с.65; рис. 1.58); VKM-SRC-003 p.31 (§2.1; ссылка [8]); VKM-SRC-011 p.30 (текст с.58),EV-VN-S040-0106;EV-VN-S011-0592;EV-VN-S003-0105;EV-VN-S011-0535,EV-VN-S040-0106,FUZZY_88,
OO-24,other,визуальные обследования: заколы/обрушения кровли; трещины и провалы на поверхности,состояние кровли; трещины поверхности,маршруты обследований,"бинарное/категориальное событие (есть/нет, размер)",—,,"журналы, акты",качественно,—,выработка/участок,—,каждую смену (кровля),—,—,DESIGN,практика есть; журналы в корпусе нет,PE_ROOF/SD_CRACKS→OBS_VISUAL,PC-24;PC-70,FACT,VKM_REGIONAL,FIELD,MEDIUM,VKM-SRC-020;VKM-SRC-011,"VKM-SRC-020 p.75 (§2.3); VKM-SRC-020 p.250 (§7.2.1, §7.2.2 п.9); VKM-SRC-011 p.34 (текст с.67; рис. 1.64–1.66)",EV-VN-S020-0223;EV-VN-S020-0434;EV-VN-S011-0629,EV-VN-S020-0223,EXACT,
