vn_id,source_id,kind,pdf_page,routing,n_domain_catalogues,domain_catalogues,qa_catalogues
EV-VN-S001-0024,VKM-SRC-001,information_lifecycle,9,DOMAIN,2,evidence/lifecycle/information_lifecycle_matrix.csv;evidence/lifecycle/information_lifecycle_record_map.csv,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0025,VKM-SRC-001,monitoring_observation,9,DOMAIN,4,evidence/monitoring/catalogue_id_map.csv;evidence/monitoring/monitoring_campaigns_timeline.csv;evidence/monitoring/monitoring_observation_catalog.csv;evidence/monitoring/monitoring_systems_by_site.csv,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0026,VKM-SRC-001,monitoring_observation,10,DOMAIN,3,evidence/monitoring/catalogue_id_map.csv;evidence/monitoring/monitoring_observation_catalog.csv;evidence/monitoring/monitoring_systems_by_site.csv,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0027,VKM-SRC-001,visual_check,10,QA_ONLY,0,,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0028,VKM-SRC-001,claim,10,UNROUTED,0,,
EV-VN-S001-0029,VKM-SRC-001,visual_check,8,QA_ONLY,0,,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0030,VKM-SRC-001,monitoring_observation,11,DOMAIN,4,evidence/monitoring/catalogue_id_map.csv;evidence/monitoring/monitoring_conflicts.csv;evidence/monitoring/monitoring_observation_catalog.csv;evidence/monitoring/monitoring_systems_by_site.csv,
EV-VN-S001-0031,VKM-SRC-001,conflict_note,11,DOMAIN,1,evidence/monitoring/monitoring_conflicts.csv,
EV-VN-S001-0032,VKM-SRC-001,monitoring_observation,11,DOMAIN,9,catalogues/causal/causal_graph.json;catalogues/causal/causal_graph_edges.csv;catalogues/causal/causal_graph_nodes.csv;catalogues/observations/observation_operator_design.csv;evidence/lifecycle/lifecycle_stages.csv;evidence/monitoring/catalogue_id_map.csv;evidence/monitoring/monitoring_campaigns_timeline.csv;evidence/monitoring/monitoring_observation_catalog.csv;evidence/monitoring/monitoring_systems_by_site.csv,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0033,VKM-SRC-001,claim,11,QA_ONLY,0,,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0034,VKM-SRC-001,monitoring_observation,12,DOMAIN,8,catalogues/causal/causal_graph.json;catalogues/causal/causal_graph_edges.csv;catalogues/causal/causal_graph_nodes.csv;catalogues/physics/physics_coverage_and_execution_matrix.csv;catalogues/physics/process_evidence_links.csv;evidence/monitoring/catalogue_id_map.csv;evidence/monitoring/monitoring_observation_catalog.csv;evidence/monitoring/monitoring_systems_by_site.csv,
EV-VN-S001-0035,VKM-SRC-001,parameter,12,UNROUTED,0,,
EV-VN-S001-0036,VKM-SRC-001,visual_check,12,QA_ONLY,0,,evidence/qa/evidence_corrections.csv;evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0037,VKM-SRC-001,parameter,12,UNROUTED,0,,
EV-VN-S001-0038,VKM-SRC-001,monitoring_observation,12,DOMAIN,10,catalogues/causal/causal_graph.json;catalogues/causal/causal_graph_edges.csv;catalogues/observations/observation_operator_design.csv;catalogues/physics/physics_coverage_and_execution_matrix.csv;catalogues/physics/process_evidence_links.csv;evidence/coordinates/coordinate_datum_evidence.csv;evidence/monitoring/catalogue_id_map.csv;evidence/monitoring/monitoring_campaigns_timeline.csv;evidence/monitoring/monitoring_observation_catalog.csv;evidence/monitoring/monitoring_systems_by_site.csv,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0039,VKM-SRC-001,visual_check,12,DOMAIN,1,evidence/coordinates/coordinate_datum_evidence.csv,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0040,VKM-SRC-001,monitoring_observation,13,DOMAIN,4,evidence/monitoring/catalogue_id_map.csv;evidence/monitoring/monitoring_campaigns_timeline.csv;evidence/monitoring/monitoring_observation_catalog.csv;evidence/monitoring/monitoring_systems_by_site.csv,evidence/qa/review_fixes/monitoring_lifecycle_visual_rechecks.csv;evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0041,VKM-SRC-001,monitoring_observation,13,DOMAIN,5,catalogues/physics/physics_conflicts.csv;evidence/monitoring/catalogue_id_map.csv;evidence/monitoring/monitoring_conflicts.csv;evidence/monitoring/monitoring_observation_catalog.csv;evidence/monitoring/monitoring_systems_by_site.csv,evidence/qa/correction_impact.csv;evidence/qa/evidence_corrections.csv;evidence/qa/review_fixes/monitoring_lifecycle_visual_rechecks.csv;evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0042,VKM-SRC-001,visual_check,13,QA_ONLY,0,,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0043,VKM-SRC-001,visual_check,13,QA_ONLY,0,,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0044,VKM-SRC-001,claim,13,DOMAIN,3,evidence/monitoring/catalogue_id_map.csv;evidence/monitoring/monitoring_observation_catalog.csv;evidence/monitoring/monitoring_systems_by_site.csv,
EV-VN-S001-0045,VKM-SRC-001,monitoring_observation,14,DOMAIN,3,evidence/monitoring/catalogue_id_map.csv;evidence/monitoring/monitoring_observation_catalog.csv;evidence/monitoring/monitoring_systems_by_site.csv,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0046,VKM-SRC-001,claim,14,QA_ONLY,0,,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0047,VKM-SRC-001,subsidence_method,14,DOMAIN,2,catalogues/mathematics/MATHEMATICAL_MODEL_REGISTRY.csv;catalogues/mathematics/record_to_model_map.csv,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0048,VKM-SRC-001,monitoring_observation,15,DOMAIN,3,evidence/monitoring/catalogue_id_map.csv;evidence/monitoring/monitoring_observation_catalog.csv;evidence/monitoring/monitoring_systems_by_site.csv,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0049,VKM-SRC-001,engineering_rule,15,DOMAIN,4,catalogues/mathematics/record_to_model_map.csv;evidence/monitoring/catalogue_id_map.csv;evidence/monitoring/monitoring_observation_catalog.csv;evidence/monitoring/monitoring_systems_by_site.csv,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0050,VKM-SRC-001,claim,15,DOMAIN,4,evidence/lifecycle/lifecycle_graph_edges.csv;evidence/monitoring/catalogue_id_map.csv;evidence/monitoring/monitoring_observation_catalog.csv;evidence/monitoring/monitoring_systems_by_site.csv,
EV-VN-S001-0051,VKM-SRC-001,monitoring_observation,16,DOMAIN,4,evidence/monitoring/catalogue_id_map.csv;evidence/monitoring/monitoring_campaigns_timeline.csv;evidence/monitoring/monitoring_observation_catalog.csv;evidence/monitoring/monitoring_systems_by_site.csv,evidence/qa/correction_impact.csv;evidence/qa/evidence_corrections.csv;evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0052,VKM-SRC-001,visual_check,16,QA_ONLY,0,,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0053,VKM-SRC-001,monitoring_observation,16,DOMAIN,4,evidence/monitoring/catalogue_id_map.csv;evidence/monitoring/monitoring_campaigns_timeline.csv;evidence/monitoring/monitoring_observation_catalog.csv;evidence/monitoring/monitoring_systems_by_site.csv,evidence/qa/correction_impact.csv;evidence/qa/evidence_corrections.csv;evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0054,VKM-SRC-001,visual_check,16,QA_ONLY,0,,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0055,VKM-SRC-001,claim,16,QA_ONLY,0,,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0056,VKM-SRC-001,formula,17,DOMAIN,2,catalogues/mathematics/MATHEMATICAL_MODEL_REGISTRY.csv;catalogues/mathematics/record_to_model_map.csv,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0057,VKM-SRC-001,formula,17,DOMAIN,2,catalogues/mathematics/MATHEMATICAL_MODEL_REGISTRY.csv;catalogues/mathematics/record_to_model_map.csv,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0058,VKM-SRC-001,formula,17,DOMAIN,2,catalogues/mathematics/MATHEMATICAL_MODEL_REGISTRY.csv;catalogues/mathematics/record_to_model_map.csv,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0059,VKM-SRC-001,formula,17,DOMAIN,2,catalogues/mathematics/MATHEMATICAL_MODEL_REGISTRY.csv;catalogues/mathematics/record_to_model_map.csv,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0060,VKM-SRC-001,formula,17,DOMAIN,2,catalogues/mathematics/MATHEMATICAL_MODEL_REGISTRY.csv;catalogues/mathematics/record_to_model_map.csv,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0061,VKM-SRC-001,parameter,17,QA_ONLY,0,,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0062,VKM-SRC-001,monitoring_observation,18,DOMAIN,4,catalogues/observations/observation_operator_design.csv;evidence/monitoring/catalogue_id_map.csv;evidence/monitoring/monitoring_observation_catalog.csv;evidence/monitoring/monitoring_systems_by_site.csv,evidence/qa/correction_impact.csv;evidence/qa/evidence_corrections.csv
EV-VN-S001-0063,VKM-SRC-001,information_lifecycle,18,DOMAIN,2,evidence/lifecycle/information_lifecycle_matrix.csv;evidence/lifecycle/information_lifecycle_record_map.csv,
EV-VN-S001-0064,VKM-SRC-001,engineering_rule,18,DOMAIN,4,catalogues/mathematics/record_to_model_map.csv;evidence/monitoring/catalogue_id_map.csv;evidence/monitoring/monitoring_observation_catalog.csv;evidence/monitoring/monitoring_systems_by_site.csv,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0065,VKM-SRC-001,engineering_rule,18,DOMAIN,4,catalogues/mathematics/record_to_model_map.csv;evidence/monitoring/catalogue_id_map.csv;evidence/monitoring/monitoring_observation_catalog.csv;evidence/monitoring/monitoring_systems_by_site.csv,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0066,VKM-SRC-001,subsidence_method,19,DOMAIN,3,catalogues/mathematics/MATHEMATICAL_MODEL_REGISTRY.csv;catalogues/mathematics/record_to_model_map.csv;evidence/coordinates/coordinate_datum_evidence.csv,
EV-VN-S001-0067,VKM-SRC-001,claim,19,DOMAIN,3,evidence/monitoring/catalogue_id_map.csv;evidence/monitoring/monitoring_observation_catalog.csv;evidence/monitoring/monitoring_systems_by_site.csv,
EV-VN-S001-0068,VKM-SRC-001,claim,19,QA_ONLY,0,,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0069,VKM-SRC-001,claim,20,QA_ONLY,0,,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0070,VKM-SRC-001,information_lifecycle,20,DOMAIN,2,evidence/lifecycle/information_lifecycle_matrix.csv;evidence/lifecycle/information_lifecycle_record_map.csv,
EV-VN-S001-0071,VKM-SRC-001,citation,21,DOMAIN,3,evidence/sources/SOURCE_CITATION_GRAPH.csv;evidence/sources/primary_source_targets.csv;evidence/sources/repeated_secondary_citations.csv,
EV-VN-S001-0072,VKM-SRC-001,citation,21,DOMAIN,1,evidence/sources/SOURCE_CITATION_GRAPH.csv,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0073,VKM-SRC-001,citation,21,DOMAIN,1,evidence/sources/SOURCE_CITATION_GRAPH.csv,
EV-VN-S001-0074,VKM-SRC-001,citation,21,DOMAIN,2,evidence/sources/SOURCE_CITATION_GRAPH.csv;evidence/sources/primary_source_targets.csv,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0075,VKM-SRC-001,citation,21,DOMAIN,1,evidence/sources/SOURCE_CITATION_GRAPH.csv,
EV-VN-S001-0076,VKM-SRC-001,citation,21,DOMAIN,1,evidence/sources/SOURCE_CITATION_GRAPH.csv,
EV-VN-S001-0077,VKM-SRC-001,citation,21,DOMAIN,1,evidence/sources/SOURCE_CITATION_GRAPH.csv,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0078,VKM-SRC-001,citation,22,DOMAIN,2,evidence/sources/SOURCE_CITATION_GRAPH.csv;evidence/sources/primary_source_targets.csv,
EV-VN-S001-0079,VKM-SRC-001,citation,22,DOMAIN,1,evidence/sources/SOURCE_CITATION_GRAPH.csv,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0080,VKM-SRC-001,chronology_event,22,DOMAIN,1,evidence/mining/mining_chronology_catalog.csv,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S001-0081,VKM-SRC-001,information_lifecycle,21,DOMAIN,1,evidence/lifecycle/information_lifecycle_record_map.csv,
EV-VN-S001-0082,VKM-SRC-001,open_question,21,UNROUTED,0,,
EV-VN-S001-0083,VKM-SRC-001,open_question,12,DOMAIN,2,catalogues/observations/observation_operator_design.csv;catalogues/physics/physics_coverage_and_execution_matrix.csv,
EV-VN-S002-0001,VKM-SRC-002,claim,1,QA_ONLY,0,,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S002-0002,VKM-SRC-002,lifecycle_stage,2,DOMAIN,1,evidence/lifecycle/lifecycle_stage_record_map.csv,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S002-0003,VKM-SRC-002,claim,2,QA_ONLY,0,,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S002-0004,VKM-SRC-002,engineering_rule,3,DOMAIN,1,catalogues/mathematics/record_to_model_map.csv,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S002-0005,VKM-SRC-002,monitoring_observation,4,DOMAIN,4,evidence/coordinates/coordinate_datum_evidence.csv;evidence/monitoring/catalogue_id_map.csv;evidence/monitoring/monitoring_observation_catalog.csv;evidence/monitoring/monitoring_systems_by_site.csv,evidence/qa/correction_impact.csv;evidence/qa/evidence_corrections.csv;evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S002-0006,VKM-SRC-002,information_lifecycle,4,DOMAIN,2,evidence/lifecycle/information_lifecycle_matrix.csv;evidence/lifecycle/information_lifecycle_record_map.csv,evidence/qa/correction_impact.csv;evidence/qa/evidence_corrections.csv;evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S002-0007,VKM-SRC-002,claim,5,UNROUTED,0,,
EV-VN-S002-0008,VKM-SRC-002,visual_check,5,DOMAIN,1,evidence/coordinates/coordinate_datum_evidence.csv,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S002-0009,VKM-SRC-002,claim,6,QA_ONLY,0,,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S002-0010,VKM-SRC-002,coordinate_system,6,DOMAIN,1,evidence/coordinates/coordinate_datum_evidence.csv,evidence/qa/correction_impact.csv;evidence/qa/evidence_corrections.csv;evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S002-0011,VKM-SRC-002,monitoring_observation,7,DOMAIN,3,evidence/monitoring/catalogue_id_map.csv;evidence/monitoring/monitoring_observation_catalog.csv;evidence/monitoring/monitoring_systems_by_site.csv,evidence/qa/correction_impact.csv;evidence/qa/evidence_corrections.csv;evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S002-0012,VKM-SRC-002,information_lifecycle,7,DOMAIN,1,evidence/lifecycle/information_lifecycle_record_map.csv,evidence/qa/evidence_corrections.csv;evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S002-0013,VKM-SRC-002,claim,8,UNROUTED,0,,
EV-VN-S002-0014,VKM-SRC-002,claim,9,UNROUTED,0,,
EV-VN-S002-0015,VKM-SRC-002,visual_check,8,QA_ONLY,0,,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S002-0016,VKM-SRC-002,formula,10,DOMAIN,2,catalogues/mathematics/MATHEMATICAL_MODEL_REGISTRY.csv;catalogues/mathematics/record_to_model_map.csv,evidence/qa/correction_impact.csv;evidence/qa/evidence_corrections.csv;evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S002-0017,VKM-SRC-002,formula,10,DOMAIN,2,catalogues/mathematics/MATHEMATICAL_MODEL_REGISTRY.csv;catalogues/mathematics/record_to_model_map.csv,evidence/qa/correction_impact.csv;evidence/qa/evidence_corrections.csv;evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S002-0018,VKM-SRC-002,visual_check,10,QA_ONLY,0,,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S002-0019,VKM-SRC-002,subsidence_method,10,DOMAIN,3,catalogues/mathematics/MATHEMATICAL_MODEL_REGISTRY.csv;catalogues/mathematics/record_to_model_map.csv;evidence/coordinates/coordinate_datum_evidence.csv,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S002-0020,VKM-SRC-002,claim,11,UNROUTED,0,,
EV-VN-S002-0021,VKM-SRC-002,visual_check,12,QA_ONLY,0,,evidence/qa/evidence_corrections.csv;evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S002-0022,VKM-SRC-002,monitoring_observation,12,DOMAIN,5,evidence/coordinates/coordinate_datum_evidence.csv;evidence/monitoring/catalogue_id_map.csv;evidence/monitoring/monitoring_conflicts.csv;evidence/monitoring/monitoring_observation_catalog.csv;evidence/monitoring/monitoring_systems_by_site.csv,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S002-0023,VKM-SRC-002,monitoring_observation,12,DOMAIN,5,evidence/coordinates/coordinate_datum_evidence.csv;evidence/monitoring/catalogue_id_map.csv;evidence/monitoring/monitoring_conflicts.csv;evidence/monitoring/monitoring_observation_catalog.csv;evidence/monitoring/monitoring_systems_by_site.csv,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S002-0024,VKM-SRC-002,visual_check,12,QA_ONLY,0,,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S002-0025,VKM-SRC-002,claim,13,QA_ONLY,0,,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S002-0026,VKM-SRC-002,visual_check,13,QA_ONLY,0,,evidence/qa/evidence_corrections.csv;evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S002-0027,VKM-SRC-002,monitoring_observation,14,DOMAIN,10,catalogues/causal/causal_graph.json;catalogues/causal/causal_graph_nodes.csv;catalogues/observations/observation_operator_design.csv;catalogues/physics/physics_coverage_and_execution_matrix.csv;catalogues/physics/process_evidence_links.csv;evidence/coordinates/coordinate_datum_evidence.csv;evidence/monitoring/catalogue_id_map.csv;evidence/monitoring/monitoring_campaigns_timeline.csv;evidence/monitoring/monitoring_observation_catalog.csv;evidence/monitoring/monitoring_systems_by_site.csv,evidence/qa/review_fixes/monitoring_lifecycle_visual_rechecks.csv;evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S002-0028,VKM-SRC-002,spatial_entity,14,DOMAIN,3,evidence/coordinates/coordinate_datum_evidence.csv;evidence/mining/mining_conflicts.csv;evidence/mining/spatial_hierarchy.csv,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S002-0029,VKM-SRC-002,visual_check,14,QA_ONLY,0,,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S002-0030,VKM-SRC-002,monitoring_observation,14,DOMAIN,7,catalogues/observations/observation_operator_design.csv;catalogues/physics/physics_coverage_and_execution_matrix.csv;catalogues/physics/process_evidence_links.csv;evidence/monitoring/catalogue_id_map.csv;evidence/monitoring/monitoring_campaigns_timeline.csv;evidence/monitoring/monitoring_observation_catalog.csv;evidence/monitoring/monitoring_systems_by_site.csv,evidence/qa/correction_impact.csv;evidence/qa/evidence_corrections.csv;evidence/qa/review_fixes/monitoring_lifecycle_visual_rechecks.csv;evidence/qa/review_fixes/physics_causal_fix_log.csv;evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S002-0031,VKM-SRC-002,information_lifecycle,14,DOMAIN,2,evidence/lifecycle/information_lifecycle_matrix.csv;evidence/lifecycle/information_lifecycle_record_map.csv,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S002-0032,VKM-SRC-002,monitoring_observation,15,DOMAIN,6,evidence/mining/spatial_hierarchy.csv;evidence/monitoring/catalogue_id_map.csv;evidence/monitoring/monitoring_campaigns_timeline.csv;evidence/monitoring/monitoring_conflicts.csv;evidence/monitoring/monitoring_observation_catalog.csv;evidence/monitoring/monitoring_systems_by_site.csv,evidence/qa/correction_impact.csv;evidence/qa/evidence_corrections.csv;evidence/qa/review_fixes/mining_fix_log.csv;evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S002-0033,VKM-SRC-002,monitoring_observation,15,DOMAIN,4,evidence/monitoring/catalogue_id_map.csv;evidence/monitoring/monitoring_campaigns_timeline.csv;evidence/monitoring/monitoring_observation_catalog.csv;evidence/monitoring/monitoring_systems_by_site.csv,evidence/qa/correction_impact.csv;evidence/qa/evidence_corrections.csv;evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S002-0034,VKM-SRC-002,monitoring_observation,15,DOMAIN,4,evidence/monitoring/catalogue_id_map.csv;evidence/monitoring/monitoring_campaigns_timeline.csv;evidence/monitoring/monitoring_observation_catalog.csv;evidence/monitoring/monitoring_systems_by_site.csv,evidence/qa/correction_impact.csv;evidence/qa/evidence_corrections.csv;evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S002-0035,VKM-SRC-002,monitoring_observation,15,DOMAIN,4,evidence/monitoring/catalogue_id_map.csv;evidence/monitoring/monitoring_campaigns_timeline.csv;evidence/monitoring/monitoring_observation_catalog.csv;evidence/monitoring/monitoring_systems_by_site.csv,evidence/qa/correction_impact.csv;evidence/qa/evidence_corrections.csv;evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S002-0036,VKM-SRC-002,visual_check,15,QA_ONLY,0,,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S002-0037,VKM-SRC-002,visual_check,15,DOMAIN,1,evidence/mining/spatial_hierarchy.csv,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S002-0038,VKM-SRC-002,claim,15,DOMAIN,6,catalogues/physics/physics_conflicts.csv;catalogues/physics/physics_coverage_and_execution_matrix.csv;catalogues/physics/process_evidence_links.csv;evidence/monitoring/catalogue_id_map.csv;evidence/monitoring/monitoring_observation_catalog.csv;evidence/monitoring/monitoring_systems_by_site.csv,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S002-0039,VKM-SRC-002,conflict_note,15,DOMAIN,1,catalogues/physics/physics_conflicts.csv,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S002-0040,VKM-SRC-002,citation,16,DOMAIN,1,evidence/sources/SOURCE_CITATION_GRAPH.csv,
EV-VN-S002-0041,VKM-SRC-002,citation,16,DOMAIN,1,evidence/sources/SOURCE_CITATION_GRAPH.csv,
EV-VN-S002-0042,VKM-SRC-002,citation,16,DOMAIN,3,evidence/sources/SOURCE_CITATION_GRAPH.csv;evidence/sources/primary_source_targets.csv;evidence/sources/repeated_secondary_citations.csv,
EV-VN-S002-0043,VKM-SRC-002,citation,16,DOMAIN,1,evidence/sources/SOURCE_CITATION_GRAPH.csv,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S002-0044,VKM-SRC-002,citation,16,DOMAIN,1,evidence/sources/SOURCE_CITATION_GRAPH.csv,
EV-VN-S002-0045,VKM-SRC-002,citation,16,DOMAIN,2,evidence/sources/SOURCE_CITATION_GRAPH.csv;evidence/sources/primary_source_targets.csv,
EV-VN-S002-0046,VKM-SRC-002,citation,16,DOMAIN,1,evidence/sources/SOURCE_CITATION_GRAPH.csv,
EV-VN-S002-0047,VKM-SRC-002,citation,16,DOMAIN,2,evidence/sources/SOURCE_CITATION_GRAPH.csv;evidence/sources/primary_source_targets.csv,
EV-VN-S002-0048,VKM-SRC-002,citation,16,DOMAIN,1,evidence/sources/SOURCE_CITATION_GRAPH.csv,
EV-VN-S002-0049,VKM-SRC-002,citation,16,DOMAIN,2,evidence/sources/SOURCE_CITATION_GRAPH.csv;evidence/sources/primary_source_targets.csv,
EV-VN-S002-0050,VKM-SRC-002,citation,16,DOMAIN,1,evidence/sources/SOURCE_CITATION_GRAPH.csv,evidence/qa/visual_ocr_qa_ledger.csv
EV-VN-S002-0051,VKM-SRC-002,citation,16,DOMAIN,1,evidence/sources/SOURCE_CITATION_GRAPH.csv,
EV-VN-S002-0052,VKM-SRC-002,citation,16,DOMAIN,1,evidence/sources/SOURCE_CITATION_GRAPH.csv,
