lineage_id,verdict,version_order,version_role,applies_to,vn_id,source_id,record_kind,pdf_pages,locator,distortion_type,reference_vn_ids,counts_as_independent,required_original_or_cited,required_status,required_scope,required_scale,global_rule_flags,downstream_must_say,status,scope,confidence,notes
LIN-02,SECONDARY_COPY_TERM_SHIFT,2,REFERENCE,RECORD,EV-VN-S025-0885,VKM-SRC-025,parameter,163,pdf p.163 табл.6.2,REFERENCE,EV-VN-S025-0855;EV-VN-S025-0873;EV-VN-S025-0874;EV-VN-S025-0875;EV-VN-S025-0882;EV-VN-S025-0888;EV-VN-S025-0890;EV-VN-S025-0892,,,,,LAB,,"LIN-02 (Коэффициент длительной прочности соляных пород (КС/сильвинит/карналлит)): разброс по монолитам (K_t∞ 0,36–0,62 в зависимости от h/d) хранить вместе со сводным интервалом; LAB",DERIVATION,PROJECT,HIGH,hand-written requirement (lineages_data.DOWNSTREAM)
LIN-02,SECONDARY_COPY_TERM_SHIFT,2,REFERENCE,RECORD,EV-VN-S025-0888,VKM-SRC-025,parameter,163,pdf p.163 табл.6.2,REFERENCE,EV-VN-S025-0855;EV-VN-S025-0873;EV-VN-S025-0874;EV-VN-S025-0875;EV-VN-S025-0882;EV-VN-S025-0885;EV-VN-S025-0890;EV-VN-S025-0892,,,,,LAB,,"LIN-02 (Коэффициент длительной прочности соляных пород (КС/сильвинит/карналлит)): разброс по монолитам (K_t∞ 0,36–0,62 в зависимости от h/d) хранить вместе со сводным интервалом; LAB",DERIVATION,PROJECT,HIGH,hand-written requirement (lineages_data.DOWNSTREAM)
LIN-02,SECONDARY_COPY_TERM_SHIFT,2,REFERENCE,RECORD,EV-VN-S025-0890,VKM-SRC-025,parameter,163,pdf p.163 табл.6.2,REFERENCE,EV-VN-S025-0855;EV-VN-S025-0873;EV-VN-S025-0874;EV-VN-S025-0875;EV-VN-S025-0882;EV-VN-S025-0885;EV-VN-S025-0888;EV-VN-S025-0892,,,,,LAB,,"LIN-02 (Коэффициент длительной прочности соляных пород (КС/сильвинит/карналлит)): разброс по монолитам (K_t∞ 0,36–0,62 в зависимости от h/d) хранить вместе со сводным интервалом; LAB",DERIVATION,PROJECT,HIGH,hand-written requirement (lineages_data.DOWNSTREAM)
LIN-02,SECONDARY_COPY_TERM_SHIFT,2,REFERENCE,RECORD,EV-VN-S025-0892,VKM-SRC-025,parameter,163,pdf p.163 табл.6.2,REFERENCE,EV-VN-S025-0855;EV-VN-S025-0873;EV-VN-S025-0874;EV-VN-S025-0875;EV-VN-S025-0882;EV-VN-S025-0885;EV-VN-S025-0888;EV-VN-S025-0890,,,,,LAB,,"LIN-02 (Коэффициент длительной прочности соляных пород (КС/сильвинит/карналлит)): разброс по монолитам (K_t∞ 0,36–0,62 в зависимости от h/d) хранить вместе со сводным интервалом; LAB",DERIVATION,PROJECT,HIGH,hand-written requirement (lineages_data.DOWNSTREAM)
LIN-02,SECONDARY_COPY_TERM_SHIFT,3,SECONDARY_COPY,RECORD,EV-VN-S012-0069,VKM-SRC-012,parameter,27,pdf p.27,TERM_SHIFT;RANGE_NARROWING,EV-VN-S025-0855;EV-VN-S025-0873;EV-VN-S025-0874;EV-VN-S025-0875;EV-VN-S025-0882;EV-VN-S025-0885;EV-VN-S025-0888;EV-VN-S025-0890;EV-VN-S025-0892,N,CITED,,,LAB,,"LIN-02 (Коэффициент длительной прочности соляных пород (КС/сильвинит/карналлит)): вторичная копия VKM-SRC-025 через [8]: original_or_cited=CITED ([8]=VKM-SRC-025); это безразмерный коэффициент, а не «величина длительной прочности» в МПа; LAB; разброс монолитов опущен; не независимое подтверждение",DERIVATION,PROJECT,HIGH,hand-written requirement (lineages_data.DOWNSTREAM)
LIN-03,SECONDARY_COPY_OMISSION,1,REFERENCE,RECORD,EV-VN-S025-0292,VKM-SRC-025,parameter,56,pdf p.56,REFERENCE,EV-VN-S025-0178,,,,,LAB,,"LIN-03 (Прочность сильвинита при одноосном сжатии (10–36 МПа) и сводные диапазоны): эталон: сильвинит продуктивных пластов ВКМ 10–36 МПа, средние 26 (КрII) и 23 (АБ), CV>30 %; LAB",DERIVATION,PROJECT,HIGH,hand-written requirement (lineages_data.DOWNSTREAM)
LIN-03,SECONDARY_COPY_OMISSION,2,OTHER_SCOPE_REFERENCE,RECORD,EV-VN-S025-0178,VKM-SRC-025,parameter,30,pdf p.30,REFERENCE,EV-VN-S025-0292,,CITED,,GENERAL_METHOD,LAB,,"LIN-03 (Прочность сильвинита при одноосном сжатии (10–36 МПа) и сводные диапазоны): литературная сводка по многим соляным месторождениям (13–41 МПа): original_or_cited=CITED, scope GENERAL_METHOD (не ВКМ); не смешивать с 10–36 МПа ВКМ",DERIVATION,PROJECT,HIGH,hand-written requirement (lineages_data.DOWNSTREAM)
LIN-03,SECONDARY_COPY_OMISSION,3,SECONDARY_COPY,RECORD,EV-VN-S012-0165,VKM-SRC-012,information_lifecycle,25,pdf p.25,OMISSION_OF_CONDITIONS,EV-VN-S025-0292;EV-VN-S025-0178,N,CITED,,,LAB,,LIN-03 (Прочность сильвинита при одноосном сжатии (10–36 МПа) и сводные диапазоны): копия VKM-SRC-025 p.56 через [8]: original_or_cited=CITED; LAB; средние и вариация опущены; не независимое подтверждение,DERIVATION,PROJECT,HIGH,hand-written requirement (lineages_data.DOWNSTREAM)
LIN-04,ATTRIBUTION_UNVERIFIED,1,ATTRIBUTED_COPY,RECORD,EV-VN-S029-0155,VKM-SRC-029,formula,90,"pdf p.90, рис.3.1",ATTRIBUTION_UNVERIFIED,EV-VN-S025-0312;EV-VN-S025-0181;EV-VN-S025-0182;EV-VN-S025-0185;EV-VN-S025-0571,N,CITED,MODEL_CHOICE,UNSTATED,CALIBRATED_EFFECTIVE_MODEL,,"LIN-04 (Начальный модуль упругости E1=2,5 ГПа и ν=0,3 «по [94]» (Бельтюков → Барях 2008)): CITED: [94]=VKM-SRC-025 (в корпусе), но E1=2,5 ГПа как модуль упругости там не найден (ближайшее: E при чистом растяжении 2,5–4,5 ГПа, p.31; модуль деформации Dу=2,54 ГПа, табл. 4.2 p.107); ν=0,3 — нижняя граница литературной сводки 0,30–0,45 (§2.3); переменная — эффективный начальный модуль модели автора (MODEL_CHOICE), не лабораторный E соли ВКМ; scope UNSTATED; ATTRIBUTION_UNVERIFIED (LIN-04)",DERIVATION,PROJECT,MEDIUM,hand-written requirement (lineages_data.DOWNSTREAM)
LIN-04,ATTRIBUTION_UNVERIFIED,1,ATTRIBUTED_COPY,RECORD,EV-VN-S029-0156,VKM-SRC-029,parameter,90,"pdf p.90, рис.3.1",ATTRIBUTION_UNVERIFIED,EV-VN-S025-0312;EV-VN-S025-0181;EV-VN-S025-0182;EV-VN-S025-0185;EV-VN-S025-0571,N,CITED,MODEL_CHOICE,UNSTATED,CALIBRATED_EFFECTIVE_MODEL,,"LIN-04 (Начальный модуль упругости E1=2,5 ГПа и ν=0,3 «по [94]» (Бельтюков → Барях 2008)): CITED: [94]=VKM-SRC-025 (в корпусе), но E1=2,5 ГПа как модуль упругости там не найден (ближайшее: E при чистом растяжении 2,5–4,5 ГПа, p.31; модуль деформации Dу=2,54 ГПа, табл. 4.2 p.107); ν=0,3 — нижняя граница литературной сводки 0,30–0,45 (§2.3); переменная — эффективный начальный модуль модели автора (MODEL_CHOICE), не лабораторный E соли ВКМ; scope UNSTATED; ATTRIBUTION_UNVERIFIED (LIN-04)",DERIVATION,PROJECT,MEDIUM,hand-written requirement (lineages_data.DOWNSTREAM)
LIN-04,ATTRIBUTION_UNVERIFIED,1,ATTRIBUTED_COPY,RECORD,EV-VN-S029-0158,VKM-SRC-029,parameter,90,"pdf p.90, рис.3.1",ATTRIBUTION_UNVERIFIED,EV-VN-S025-0312;EV-VN-S025-0181;EV-VN-S025-0182;EV-VN-S025-0185;EV-VN-S025-0571,N,CITED,MODEL_CHOICE,UNSTATED,CALIBRATED_EFFECTIVE_MODEL,,"LIN-04 (Начальный модуль упругости E1=2,5 ГПа и ν=0,3 «по [94]» (Бельтюков → Барях 2008)): CITED: [94]=VKM-SRC-025 (в корпусе), но E1=2,5 ГПа как модуль упругости там не найден (ближайшее: E при чистом растяжении 2,5–4,5 ГПа, p.31; модуль деформации Dу=2,54 ГПа, табл. 4.2 p.107); ν=0,3 — нижняя граница литературной сводки 0,30–0,45 (§2.3); переменная — эффективный начальный модуль модели автора (MODEL_CHOICE), не лабораторный E соли ВКМ; scope UNSTATED; ATTRIBUTION_UNVERIFIED (LIN-04)",DERIVATION,PROJECT,MEDIUM,hand-written requirement (lineages_data.DOWNSTREAM)
LIN-04,ATTRIBUTION_UNVERIFIED,2,REFERENCE,RECORD,EV-VN-S025-0312,VKM-SRC-025,parameter,61,pdf p.61,REFERENCE,EV-VN-S025-0181;EV-VN-S025-0182;EV-VN-S025-0185;EV-VN-S025-0571,,,,,LAB,,"LIN-04 (Начальный модуль упругости E1=2,5 ГПа и ν=0,3 «по [94]» (Бельтюков → Барях 2008)): атрибутируемый первоисточник: E при сжатии 1,0–38,0 ГПа (ср. 13,8 ГПа), LAB; значения 2,5 ГПа нет",DERIVATION,PROJECT,HIGH,hand-written requirement (lineages_data.DOWNSTREAM)
LIN-04,ATTRIBUTION_UNVERIFIED,3,OTHER_SCOPE_REFERENCE,RECORD,EV-VN-S025-0181,VKM-SRC-025,parameter,31,pdf p.31,REFERENCE,EV-VN-S025-0312;EV-VN-S025-0182;EV-VN-S025-0185;EV-VN-S025-0571,,CITED,,GENERAL_METHOD,LAB,,"LIN-04 (Начальный модуль упругости E1=2,5 ГПа и ν=0,3 «по [94]» (Бельтюков → Барях 2008)): литературная сводка §2.3 (не только ВКМ): E 12–23 ГПа, ν 0,30–0,45, E растяжения 2,5–4,5 ГПа — original_or_cited=CITED, scope GENERAL_METHOD",DERIVATION,PROJECT,HIGH,hand-written requirement (lineages_data.DOWNSTREAM)
LIN-04,ATTRIBUTION_UNVERIFIED,3,OTHER_SCOPE_REFERENCE,RECORD,EV-VN-S025-0182,VKM-SRC-025,parameter,31,pdf p.31,REFERENCE,EV-VN-S025-0312;EV-VN-S025-0181;EV-VN-S025-0185;EV-VN-S025-0571,,CITED,,GENERAL_METHOD,LAB,,"LIN-04 (Начальный модуль упругости E1=2,5 ГПа и ν=0,3 «по [94]» (Бельтюков → Барях 2008)): литературная сводка §2.3 (не только ВКМ): E 12–23 ГПа, ν 0,30–0,45, E растяжения 2,5–4,5 ГПа — original_or_cited=CITED, scope GENERAL_METHOD",DERIVATION,PROJECT,HIGH,hand-written requirement (lineages_data.DOWNSTREAM)
LIN-04,ATTRIBUTION_UNVERIFIED,3,OTHER_SCOPE_REFERENCE,RECORD,EV-VN-S025-0185,VKM-SRC-025,parameter,31,pdf p.31,REFERENCE,EV-VN-S025-0312;EV-VN-S025-0181;EV-VN-S025-0182;EV-VN-S025-0571,,CITED,,GENERAL_METHOD,LAB,,"LIN-04 (Начальный модуль упругости E1=2,5 ГПа и ν=0,3 «по [94]» (Бельтюков → Барях 2008)): литературная сводка §2.3 (не только ВКМ): E 12–23 ГПа, ν 0,30–0,45, E растяжения 2,5–4,5 ГПа — original_or_cited=CITED, scope GENERAL_METHOD",DERIVATION,PROJECT,HIGH,hand-written requirement (lineages_data.DOWNSTREAM)
LIN-04,ATTRIBUTION_UNVERIFIED,4,REFERENCE,RECORD,EV-VN-S025-0571,VKM-SRC-025,parameter,107,"pdf p.107, табл. 4.2 (каменная соль, h/d=2, ребро 60 мм)",REFERENCE,EV-VN-S025-0312;EV-VN-S025-0181;EV-VN-S025-0182;EV-VN-S025-0185,,,,,LAB,,"LIN-04 (Начальный модуль упругости E1=2,5 ГПа и ν=0,3 «по [94]» (Бельтюков → Барях 2008)): табл. 4.2: 2,54 ГПа — модуль деформации Dу (h/d=2, ребро 60 мм), в той же строке E=12,93 ГПа; это не источник E1=2,5 ГПа у VKM-SRC-029; LAB",DERIVATION,PROJECT,HIGH,hand-written requirement (lineages_data.DOWNSTREAM)
LIN-05,HIDDEN_DEPENDENCY,2,DERIVED_VERSION,RECORD,EV-VN-S038-0017,VKM-SRC-038,rheology_law,3,pdf p.3,NONE,,N,,,,,,LIN-05 («Метод переменных модулей» для выработанного пласта: E^p = E^0/[1+Ψ(t)]): передача без искажений версии-эталона,DERIVATION,PROJECT,HIGH,generic requirement from distortion types
LIN-05,HIDDEN_DEPENDENCY,2,DERIVED_VERSION,RECORD,EV-VN-S038-0018,VKM-SRC-038,formula,3,pdf p.3,NONE,,N,,,,,,LIN-05 («Метод переменных модулей» для выработанного пласта: E^p = E^0/[1+Ψ(t)]): передача без искажений версии-эталона,DERIVATION,PROJECT,HIGH,generic requirement from distortion types
LIN-05,HIDDEN_DEPENDENCY,3,DERIVED_VERSION,RECORD,EV-VN-S005-0008,VKM-SRC-005,subsidence_method,2,pdf p.2,SIMPLIFICATION,,N,,,,,,LIN-05 («Метод переменных модулей» для выработанного пласта: E^p = E^0/[1+Ψ(t)]): форма упрощена относительно эталона — использовать эталонную форму,DERIVATION,PROJECT,HIGH,generic requirement from distortion types
LIN-05,HIDDEN_DEPENDENCY,4,DERIVED_VERSION,RECORD,EV-VN-S031-0011,VKM-SRC-031,claim,2,pdf p.2,SIMPLIFICATION,,N,,,,,,LIN-05 («Метод переменных модулей» для выработанного пласта: E^p = E^0/[1+Ψ(t)]): форма упрощена относительно эталона — использовать эталонную форму,DERIVATION,PROJECT,HIGH,generic requirement from distortion types
LIN-05,HIDDEN_DEPENDENCY,4,DERIVED_VERSION,RECORD,EV-VN-S031-0012,VKM-SRC-031,rheology_law,2,pdf p.2,SIMPLIFICATION,,N,,,,,,LIN-05 («Метод переменных модулей» для выработанного пласта: E^p = E^0/[1+Ψ(t)]): форма упрощена относительно эталона — использовать эталонную форму,DERIVATION,PROJECT,HIGH,generic requirement from distortion types
LIN-05,HIDDEN_DEPENDENCY,5,DERIVED_VERSION,RECORD,EV-VN-S035-0006,VKM-SRC-035,subsidence_method,1,pdf p.1,CONTEXT_SHIFT,,N,,,,,,LIN-05 («Метод переменных модулей» для выработанного пласта: E^p = E^0/[1+Ψ(t)]): условия применения отличаются от эталона — хранить условия вместе со значением,DERIVATION,PROJECT,HIGH,generic requirement from distortion types
LIN-05,HIDDEN_DEPENDENCY,6,DERIVED_VERSION,RECORD,EV-VN-S039-0007,VKM-SRC-039,subsidence_method,2,pdf p.2,SIMPLIFICATION,,N,,,,,,LIN-05 («Метод переменных модулей» для выработанного пласта: E^p = E^0/[1+Ψ(t)]): форма упрощена относительно эталона — использовать эталонную форму,DERIVATION,PROJECT,HIGH,generic requirement from distortion types
LIN-05,HIDDEN_DEPENDENCY,7,DERIVED_VERSION,RECORD,EV-VN-S034-0005,VKM-SRC-034,subsidence_method,1,pdf p.1,HIDDEN_DEPENDENCY,,N,,,,,,LIN-05 («Метод переменных модулей» для выработанного пласта: E^p = E^0/[1+Ψ(t)]): зависимость без ссылки — original_or_cited=CITED (скрытый первоисточник),DERIVATION,PROJECT,MEDIUM,generic requirement from distortion types
LIN-06,EDITION_DRIFT,1,REFERENCE,RECORD,EV-VN-S037-0939,VKM-SRC-037,engineering_rule,171,"pdf p.171, ф.(8.143)-(8.144)",REFERENCE,EV-VN-S037-0940;EV-VN-S037-0943;EV-VN-S037-0944,,,,,,,LIN-06 (Критерий безопасной подработки ВЗТ: от [m] (1992) к [V_m] (2014) и категориям опасности (2): версия-эталон линии (ближайшая к первоисточнику в корпусе),DERIVATION,PROJECT,MEDIUM,generic requirement from distortion types
LIN-06,EDITION_DRIFT,1,REFERENCE,RECORD,EV-VN-S037-0940,VKM-SRC-037,formula,171,"pdf p.171, ф.(8.143)-(8.144)",REFERENCE,EV-VN-S037-0939;EV-VN-S037-0943;EV-VN-S037-0944,,,,,,,LIN-06 (Критерий безопасной подработки ВЗТ: от [m] (1992) к [V_m] (2014) и категориям опасности (2): версия-эталон линии (ближайшая к первоисточнику в корпусе),DERIVATION,PROJECT,MEDIUM,generic requirement from distortion types
