cited_work_id,cited_work_full,cited_year,citing_sources,n_citing,n_citing_with_dependents,dependent_claims_by_source,dependent_claims,relations,local_copy,curated_in,status,scope,confidence,notes
CW-0012,"(2) Бабаянц И.П. и др. Мониторинг оседаний на территории г. Березники ... // 19-я Всероссийская Открытая конференция «Современные проблемы ДЗЗ из космоса», 15–19 ноября 2021 г. – М., ИКИ РАН. – С. 74. – DOI 10.21046/19DZZconf-2021a. (3) Бабаянц И.П. и др. Мониторинг оседаний земной поверхности на территории г. Березники ... // Материалы 20-й Международной конференции «Современные проблемы ДЗЗ из космоса». – М., ИКИ РАН, 2022. – С. 256. DOI 10.21046/20DZZconf-2022a.",2021,VKM-SRC-003;VKM-SRC-005;VKM-SRC-023,3,3,VKM-SRC-003=2 | VKM-SRC-005=1 | VKM-SRC-023=3,EV-VN-S003-0158;EV-VN-S003-0172;EV-VN-S005-0004;EV-VN-S023-0062;EV-VN-S023-0063;EV-VN-S023-0065,cites;reproduces_data;same_author_series,,LIN-16,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0013,"Барях, А.А. Горнотехнические аварии: затопление Первого Березниковского калийного рудника / А.А. Барях, А.Е. Красноштейн, И.А. Санфиров // Вестник Пермского федерального исследовательского центра. – 2013. – № 2. – С. 40–49.",2009,VKM-SRC-003;VKM-SRC-004;VKM-SRC-017,3,3,VKM-SRC-003=2 | VKM-SRC-004=1 | VKM-SRC-017=3,EV-VN-S003-0103;EV-VN-S003-0147;EV-VN-S004-0010;EV-VN-S017-0004;EV-VN-S017-0067;EV-VN-S017-0070,cites;reproduces_data;same_author_series,,LIN-12,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0014,"Барях, А.А. Мониторинг последствий затопления калийного рудника / А.А. Барях, И.А. Санфиров, Р.А. Дягилев // Горный журнал. – 2013. – № 6. – С. 34–39.",2013,VKM-SRC-003;VKM-SRC-004;VKM-SRC-017,3,3,VKM-SRC-003=2 | VKM-SRC-004=1 | VKM-SRC-017=1,EV-VN-S003-0105;EV-VN-S003-0147;EV-VN-S004-0011;EV-VN-S017-0006,cites;reproduces_data;same_author_series,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0015,"Буш, В. Контроль оседаний подработанных территорий методами радарной интерферометрии / В. Буш, Х.П. Хебель, М. Шаффер, Д. Вальтер, А.А. Барях // Маркшейдерия и недропользование. – 2009. – № 2. – С. 38–43.",2009,VKM-SRC-003;VKM-SRC-004;VKM-SRC-005,3,3,VKM-SRC-003=4 | VKM-SRC-004=2 | VKM-SRC-005=1,EV-VN-S003-0106;EV-VN-S003-0147;EV-VN-S003-0149;EV-VN-S003-0435;EV-VN-S004-0012;EV-VN-S004-0013;EV-VN-S005-0004,cites;reproduces_data,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0018,"Samsonov S., Baryakh A. Estimation of deformation intensity above a flooded potash mine near berezniki (Perm Krai, Russia) with SAR interferometry // Remote Sensing. – 2020. – V. 12, № 19. – P. 1-11. Номер статьи 3215. – DOI: 10.3390/rs12193215.",2020,VKM-SRC-004;VKM-SRC-005;VKM-SRC-017,3,3,VKM-SRC-004=1 | VKM-SRC-005=1 | VKM-SRC-017=2,EV-VN-S004-0012;EV-VN-S005-0004;EV-VN-S017-0047;EV-VN-S017-0048,cites;reproduces_data;same_author_series,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0019,"Малинин Н.Н. Прикладная теория пластичности и ползучести. – М.: Машиностроение, 1975. – 400 с.",1975,VKM-SRC-005;VKM-SRC-035;VKM-SRC-039,3,3,VKM-SRC-005=1 | VKM-SRC-035=1 | VKM-SRC-039=1,EV-VN-S005-0008;EV-VN-S035-0007;EV-VN-S039-0008,cites,,LIN-17,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0020,"Кузнецов Г.Н. Механические свойства горных пород / Г.Н. Кузнецов. – М.: Углетехиздат, 1947. − 180 с.",1947,VKM-SRC-005;VKM-SRC-025;VKM-SRC-038,3,3,VKM-SRC-005=1 | VKM-SRC-025=2 | VKM-SRC-038=1,EV-VN-S005-0008;EV-VN-S025-0860;EV-VN-S025-0907;EV-VN-S038-0024,cites;reproduces_formula,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0021,"Указания по защите рудников от затопления и охране подрабатываемых объектов в условиях Верхнекамского месторождения калийных солей (технологический регламент). – СПб., 2008.",2008,VKM-SRC-011;VKM-SRC-027;VKM-SRC-033,3,3,VKM-SRC-011=2 | VKM-SRC-027=3 | VKM-SRC-033=1,EV-VN-S011-0382;EV-VN-S011-2076;EV-VN-S027-0009;EV-VN-S027-0011;EV-VN-S027-0058;EV-VN-S033-0004,cites;reproduces_data;reproduces_figure;reproduces_formula,,LIN-23,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0022,"Барях А.А. Деформирование соляных пород / А.А. Барях, С.А. Константинова, В.А. Асанов. – Екатеринбург: Изд-во УрО РАН, 1996. – 203 с.",1996,VKM-SRC-012;VKM-SRC-025;VKM-SRC-040,3,3,VKM-SRC-012=3 | VKM-SRC-025=16 | VKM-SRC-040=2,EV-VN-S012-0040;EV-VN-S012-0041;EV-VN-S012-0543;EV-VN-S025-0176;EV-VN-S025-0178;EV-VN-S025-0179;EV-VN-S025-0180;EV-VN-S025-0181;EV-VN-S025-0182;EV-VN-S025-0183;EV-VN-S025-0184;EV-VN-S025-0185;EV-VN-S025-0186;EV-VN-S025-0189;EV-VN-S025-0288;EV-VN-S025-0435;EV-VN-S025-0523;EV-VN-S025-0531;EV-VN-S025-0682;EV-VN-S040-0065;EV-VN-S040-0067,cites;reproduces_data;reproduces_formula;same_author_series,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0024,"Указания (мероприятия) по защите рудников ПАО «Уралкалий» от затопления и охране объектов на земной поверхности от вредного влияния подземных разработок на Верхнекамском месторождении солей. Ч. 1. Основные положения: утв. ПАО «Уралкалий». – Пермь, Березники, 2022 г. – 117 с.",2022,VKM-SRC-012;VKM-SRC-021;VKM-SRC-034,3,3,VKM-SRC-012=10 | VKM-SRC-021=2 | VKM-SRC-034=2,EV-VN-S012-0026;EV-VN-S012-0031;EV-VN-S012-0048;EV-VN-S012-0065;EV-VN-S012-0066;EV-VN-S012-0256;EV-VN-S012-0259;EV-VN-S012-0260;EV-VN-S012-0262;EV-VN-S012-0358;EV-VN-S021-0017;EV-VN-S021-0040;EV-VN-S034-0003;EV-VN-S034-0057,cites;reproduces_data;reproduces_figure;reproduces_formula,,LIN-23,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0011,"Методическое руководство по ведению горных работ на рудниках Верхнекамского калийного месторождения / Уральский филиал ВНИИГ. – М.: Недра, 1992. – 468 с.",1992,VKM-SRC-019;VKM-SRC-020;VKM-SRC-025;VKM-SRC-028,4,2,VKM-SRC-019=2 | VKM-SRC-025=8,EV-VN-S019-0006;EV-VN-S019-0052;EV-VN-S025-0131;EV-VN-S025-0132;EV-VN-S025-0288;EV-VN-S025-0417;EV-VN-S025-0418;EV-VN-S025-0419;EV-VN-S025-0420;EV-VN-S025-0523,cites;reproduces_data;reproduces_figure;reproduces_formula,VKM-SRC-037,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0023,"Кашников Ю. А., Ермашов А. О., Ефимов А. А. Геолого-геомеханическая модель участка Верхнекамского калийного месторождения // Записки Горного института. — 2019. — №. 237. — С. 259–267. DOI: 10.31897/PMI.2019.3.259.",2019,VKM-SRC-012;VKM-SRC-016;VKM-SRC-023,3,2,VKM-SRC-012=2 | VKM-SRC-016=1,EV-VN-S012-0183;EV-VN-S012-0358;EV-VN-S016-0011,cites;same_author_series,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0025,"Технология подземной разработки калийных руд / В.Г. Зильбершмидт [и др.]. − М.: Недра, 1977.− 207 с.",1977,VKM-SRC-020;VKM-SRC-025;VKM-SRC-028,3,2,VKM-SRC-020=5 | VKM-SRC-025=1,EV-VN-S020-0005;EV-VN-S020-0081;EV-VN-S020-0087;EV-VN-S020-0095;EV-VN-S020-0101;EV-VN-S025-0133,cites;reproduces_data,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0035,"Бабаянц, И.П. Мониторинг оседаний земной поверхности на территории г. Березники (Пермский край) методами спутниковой радарной интерферометрии: II. Метод устойчивых отражателей / И.П. Бабаянц, А.А. Барях, В.О. Михайлов, Е.П. Тимошкина, М.С. Волкова, С.А. Хайретдинов // Геофизические исследования. –2023. – № 2. – С. 39–57. – doi.org/10.21455/gr2023.2-3. Перевод: Babayants, I.P. Monitoring of Subsidence in Berezniki City (Perm Krai) by SAR Interferometry. Method of Persistent Scatterers // Izvestiya, Physics of the Solid Earth, 2023, Vol. 59, No. 6, pp. 1066–1078. DOI: 10.1134/S1069351323060034.",2023,VKM-SRC-003;VKM-SRC-023,2,2,VKM-SRC-003=1 | VKM-SRC-023=4,EV-VN-S003-0221;EV-VN-S023-0045;EV-VN-S023-0058;EV-VN-S023-0059;EV-VN-S023-0067,cites;reproduces_data;reproduces_figure;same_author_series,VKM-SRC-004,LIN-16,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0039,"Бабаянц И. П., Барях А. А., Волкова М. С., Михайлов В. О., Тимошкина Е. П., Хайретдинов С. А. Мониторинг оседаний на территории г. Березники (Пермский край) методами спутниковой радарной интерферометрии. I. Дифференциальная интерферометрия // Геофизические исследования. 2021. Т. 22. № 4. С. 73–89. https://doi.org/10.21455/gr2021.4-5",2021,VKM-SRC-004;VKM-SRC-017,2,2,VKM-SRC-004=6 | VKM-SRC-017=2,EV-VN-S004-0008;EV-VN-S004-0013;EV-VN-S004-0038;EV-VN-S004-0044;EV-VN-S004-0067;EV-VN-S004-0084;EV-VN-S017-0008;EV-VN-S017-0048,cites;reproduces_data;reproduces_figure;same_author_series,,LIN-16,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0043,"Атлас структур и текстур галогенных пород СССР. − Л.: Недра, 1974. − 231 с.",1974,VKM-SRC-011;VKM-SRC-025,2,2,VKM-SRC-011=1 | VKM-SRC-025=2,EV-VN-S011-1056;EV-VN-S025-0523;EV-VN-S025-0554,cites,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0045,"Голубев Б.М. Особенности внутреннего строения соляной толщи Верхнекамского месторождения / Проблемы соленакопления. Новосибирск: Наука, 1977. Т. 2. С. 115–118.",1977,VKM-SRC-011;VKM-SRC-040,2,2,VKM-SRC-011=1 | VKM-SRC-040=25,EV-VN-S011-0356;EV-VN-S040-0018;EV-VN-S040-0019;EV-VN-S040-0020;EV-VN-S040-0021;EV-VN-S040-0022;EV-VN-S040-0023;EV-VN-S040-0024;EV-VN-S040-0025;EV-VN-S040-0026;EV-VN-S040-0027;EV-VN-S040-0028;EV-VN-S040-0029;EV-VN-S040-0030;EV-VN-S040-0031;EV-VN-S040-0032;EV-VN-S040-0038;EV-VN-S040-0039;EV-VN-S040-0040;EV-VN-S040-0045;EV-VN-S040-0046;EV-VN-S040-0047;EV-VN-S040-0048;EV-VN-S040-0049;EV-VN-S040-0050;EV-VN-S040-0122,cites;reproduces_data;reproduces_figure,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0051,"Асанов В.А. Экспериментальное определение напряжений в соляном массиве с использованием эффекта Кайзера / В.А. Асанов, В.Н. Токсаров // Труды Межд. конф. «Геодинамика и напряженное состояние недр Земли», 4-7 октября 1999 г. – Новосибирск, 1999. – С. 147-151.",1999,VKM-SRC-012;VKM-SRC-029,2,2,VKM-SRC-012=2 | VKM-SRC-029=9,EV-VN-S012-0071;EV-VN-S012-0072;EV-VN-S029-0048;EV-VN-S029-0051;EV-VN-S029-0055;EV-VN-S029-0056;EV-VN-S029-0057;EV-VN-S029-0080;EV-VN-S029-0086;EV-VN-S029-0088;EV-VN-S029-0089,cites;reproduces_data;reproduces_figure;reproduces_formula;same_author_series,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0054,"Konstantinova, S.A., Chernopazov, S.A. (2007). Estimating salt rocks rheology by in-situ observations of vertical deformation of interchamber pillars. Journal of Mining Science. 43(3). pp. 17-23. DOI: 10.1007/s10913-007-0003-9.",2007,VKM-SRC-012;VKM-SRC-036,2,2,VKM-SRC-012=1 | VKM-SRC-036=2,EV-VN-S012-0037;EV-VN-S036-0005;EV-VN-S036-0008,cites,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0055,"Основы расчета напряженного состояния полостей газохранилищ в соляных отложениях / Ж. С. Ержанов, В. Менцель, Э. И. Бергман [и др.] – Алма-Ата. : Изд-во «Наука» Казахстанской ССР, 1978. – 86 с.",1978,VKM-SRC-012;VKM-SRC-025,2,2,VKM-SRC-012=1 | VKM-SRC-025=10,EV-VN-S012-0037;EV-VN-S025-0178;EV-VN-S025-0179;EV-VN-S025-0180;EV-VN-S025-0181;EV-VN-S025-0182;EV-VN-S025-0183;EV-VN-S025-0184;EV-VN-S025-0185;EV-VN-S025-0186;EV-VN-S025-0189,cites;reproduces_data,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0060,"Solving the problems of exploitation safety of potassium salt deposit based on joint application of geophysical and geomechanical studies / Yu. A. Kashnikov, D. V. Shustov, A. O. Ermashov, O. O. Lebedeva, A. A. Zhukov, A. M. Prigara // Mechanics and Rock Engineering, from Theory to Practice IOP Publishing. IOP Conf. Series: Earth and Environmental Science 833 (2021) 012084, September 2021. – 8 p. DOI:10.1088/1755-1315/833/1/012084.",2021,VKM-SRC-012;VKM-SRC-016,2,2,VKM-SRC-012=2 | VKM-SRC-016=2,EV-VN-S012-0183;EV-VN-S012-0358;EV-VN-S016-0011;EV-VN-S016-0016,cites;same_author_series,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0061,"Annan P., Davis J., Gendzwill D. Radar sounding in potash mines, Saskatchewan, Canada // Geophysics. 1988, vol. 53, no. 12, pp. 1556—1564. DOI: 10.1190/1.1442437.",1988,VKM-SRC-015;VKM-SRC-040,2,2,VKM-SRC-015=1 | VKM-SRC-040=1,EV-VN-S015-0008;EV-VN-S040-0108,cites,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0062,"Kovin O. Mapping of evaporite deformation in a potash mine using ground penetrating radar: Upper Kama deposit, Russia // Journal of Applied Geophysics. 2011, vol. 74, no. 2—3, pp. 131—141. DOI: 10.1016/j.jappgeo.2011.04.009.",2011,VKM-SRC-015;VKM-SRC-040,2,2,VKM-SRC-015=1 | VKM-SRC-040=1,EV-VN-S015-0008;EV-VN-S040-0108,cites,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0063,"Жуков, А.А. Оценка скорости распространения электромагнитных волн в солях Верхнекамского месторождения солей /А.А.Жуков, А.М.Пригара, И.Ю.Пушкарева, Р.И.Царев // Инженерные изыскания. – 2017. – № 3. С.28-33.",2017,VKM-SRC-015;VKM-SRC-040,2,2,VKM-SRC-015=5 | VKM-SRC-040=10,EV-VN-S015-0029;EV-VN-S015-0030;EV-VN-S015-0058;EV-VN-S015-0100;EV-VN-S015-0106;EV-VN-S040-0271;EV-VN-S040-0283;EV-VN-S040-0284;EV-VN-S040-0285;EV-VN-S040-0286;EV-VN-S040-0290;EV-VN-S040-0291;EV-VN-S040-0297;EV-VN-S040-0301;EV-VN-S040-0305,cites;reproduces_data;reproduces_figure;same_author_series,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0068,"Специальные мероприятия по безопасному ведению горных работ на Верхнекамском месторождении калийных солей в условиях газового режима. Пермь - Березники, 1993 г.",1993,VKM-SRC-020;VKM-SRC-028,2,2,VKM-SRC-020=4 | VKM-SRC-028=2,EV-VN-S020-0174;EV-VN-S020-0179;EV-VN-S020-0181;EV-VN-S020-0183;EV-VN-S028-0113;EV-VN-S028-0122,cites;reproduces_data,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0070,"Инструкция по расчету количества воздуха, необходимого для проветривания Верхнекамских калийных рудников/ППИ.— Пермь, 1985.— 43 с.",1985,VKM-SRC-020;VKM-SRC-037,2,2,VKM-SRC-020=1 | VKM-SRC-037=3,EV-VN-S020-0187;EV-VN-S037-0845;EV-VN-S037-0857;EV-VN-S037-1231,cites;reproduces_data,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0079,"Барях А.А., Тенисон Л.О. Обоснование инженерных критериев безопасной подработки водозащитной толщи на Верхнекамском месторождении солей // Горный журнал. 2021. Т. 2021. № 4. С. 57–63. DOI 10.17580/gzh.2021.04.08.",2021,VKM-SRC-021;VKM-SRC-023,2,2,VKM-SRC-021=2 | VKM-SRC-023=8,EV-VN-S021-0019;EV-VN-S021-0030;EV-VN-S023-0319;EV-VN-S023-0320;EV-VN-S023-0405;EV-VN-S023-0407;EV-VN-S023-0418;EV-VN-S023-0424;EV-VN-S023-0429;EV-VN-S023-0532,cites;reproduces_data;reproduces_figure,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
