row_id,citing_source,citing_locator,citation_vn_ids,intext_usage_vn_ids,cited_work_id,cited_work_key,work_group_id,cited_work_full,cited_year,cited_year_variants,cited_type,relation,local_copy_source_id,local_copy_match,external_capture_id,external_capture_match,is_primary,is_primary_basis,external_lookup_needed,lineage_ids,lookup_priority,dependent_claims,dependent_claims_n,dependency_evidence,dependent_kinds,cited_for,intext_cited_for,n_citing_sources,status,scope,scale,confidence,quote_check,notes
CG-00011,VKM-SRC-038,pdf p.6 | ref 3,EV-VN-S038-0044,,CW-0002,bariah|2005|одном подходе реологическому анализу геомеханических,WG-0002,"Барях А.А., Самоделкина Н.А. Об одном подходе к реологическому анализу геомеханических процессов // Физико-технические проблемы разработки полезных ископаемых. – 2005. – № 6. – С. 32-41. – DOI: 10.1007/s10913-006-0015-x.",2005,2005,article,cites;reproduces_formula;same_author_series,,,EXT-SRC-009,EXT-SRC-009(year match; DISCOVERY_ONLY; 10.1007/s10913-006-0015-x; score 1.00),UNKNOWN,primacy not determinable from bibliographic entry,Y — [P1] Барях–Самоделкина 2005 (ФТПРПИ №6 = J. Min. Sci. 41(6)) — оригинал «метода переменных модулей» E^p=E^0/[1+Ψ(t)] для выработанного пласта; воспроизводится 6 источниками ГИ УрО РАН. В предыдущем релизе только DISCOVERY_ONLY (EXT-SRC-009): формула не сверена с оригиналом.,LIN-18,P1,EV-VN-S038-0018,1,field:1,formula:1,"[2, 3] метод переменных модулей (E^p = E^0/[1+Ψ(t)])",,6,FACT,GENERAL_METHOD,NOT_APPLICABLE,HIGH,NOT_FOUND,RU/EN translation pair merged (same paper in ФТПРПИ/J.Min.Sci or bilingual journal) ; some quote_check NOT_FOUND (text layer mismatch; bibliographic line read visually/OCR)
CG-00012,VKM-SRC-039,pdf p.5 | ref 3,EV-VN-S039-0031,,CW-0002,bariah|2005|одном подходе реологическому анализу геомеханических,WG-0002,"Барях А.А., Самоделкина Н.А. Об одном подходе к реологическому анализу геомеханических процессов // Физико-технические проблемы разработки полезных ископаемых. – 2005. – № 6. – С. 32-41. – DOI: 10.1007/s10913-006-0015-x.",2005,2005,article,cites,,,EXT-SRC-009,EXT-SRC-009(year match; DISCOVERY_ONLY; 10.1007/s10913-006-0015-x; score 1.00),UNKNOWN,primacy not determinable from bibliographic entry,Y — [P1] Барях–Самоделкина 2005 (ФТПРПИ №6 = J. Min. Sci. 41(6)) — оригинал «метода переменных модулей» E^p=E^0/[1+Ψ(t)] для выработанного пласта; воспроизводится 6 источниками ГИ УрО РАН. В предыдущем релизе только DISCOVERY_ONLY (EXT-SRC-009): формула не сверена с оригиналом.,LIN-18,P1,EV-VN-S039-0007,1,quote:1,subsidence_method:1,[3] реологический подход по прогнозным графикам нарастания оседаний (метод переменных модулей; = ref [3] в VKM-SRC-038),,6,FACT,GENERAL_METHOD,NOT_APPLICABLE,HIGH,EXACT,RU/EN translation pair merged (same paper in ФТПРПИ/J.Min.Sci or bilingual journal)
CG-00013,VKM-SRC-005,pdf p.6 | ref 8,EV-VN-S005-0054,,CW-0003,zenkevich|1975|метод конечных элементов технике,WG-0003,"Зенкевич О. Метод конечных элементов в технике. – М.: Мир, 1975. – 541 с.: ил.",1975,1975,book,cites,,,,,UNKNOWN,primacy not determinable from bibliographic entry,Y — [P3] dependent records rely on it; not in corpus,LIN-17,P3,EV-VN-S005-0008,1,notes:1,subsidence_method:1,МКЭ для упругопластической задачи,,5,FACT,GENERAL_METHOD,NOT_APPLICABLE,HIGH,EXACT,
CG-00014,VKM-SRC-031,pdf p.5 | ref 8,EV-VN-S031-0038,,CW-0003,zenkevich|1975|метод конечных элементов технике,WG-0003,"Зенкевич О. Метод конечных элементов в технике. – М.: Мир, 1975. – 541 с.: ил.",1975,1975,book,cites,,,,,UNKNOWN,primacy not determinable from bibliographic entry,Y — [P3] cited by >=3 corpus sources (hub work); not in corpus,LIN-17,P3,,0,,,МКЭ,,5,FACT,GENERAL_METHOD,NOT_APPLICABLE,HIGH,EXACT,
CG-00015,VKM-SRC-035,pdf p.5 | ref 3,EV-VN-S035-0026,,CW-0003,zenkevich|1975|метод конечных элементов технике,WG-0003,"Зенкевич О. Метод конечных элементов в технике. – М.: Мир, 1975. – 541 с.: ил.",1975,1975,book,cites,,,,,UNKNOWN,primacy not determinable from bibliographic entry,Y — [P3] cited by >=3 corpus sources (hub work); not in corpus,LIN-17,P3,,0,,,standard FEM scheme,,5,FACT,GENERAL_METHOD,NOT_APPLICABLE,HIGH,NOT_FOUND,some quote_check NOT_FOUND (text layer mismatch; bibliographic line read visually/OCR)
CG-00016,VKM-SRC-038,pdf p.6 | ref 5,EV-VN-S038-0046,,CW-0003,zenkevich|1975|метод конечных элементов технике,WG-0003,"Зенкевич О. Метод конечных элементов в технике. – М.: Мир, 1975. – 541 с.: ил.",1975,1975,book,cites,,,,,UNKNOWN,primacy not determinable from bibliographic entry,Y — [P3] dependent records rely on it; not in corpus,LIN-17,P3,EV-VN-S038-0027,1,quote:1,claim:1,[5] полуаналитический МКЭ,,5,FACT,GENERAL_METHOD,NOT_APPLICABLE,HIGH,NOT_FOUND,some quote_check NOT_FOUND (text layer mismatch; bibliographic line read visually/OCR)
CG-00017,VKM-SRC-039,pdf p.5 | ref 7,EV-VN-S039-0035,,CW-0003,zenkevich|1975|метод конечных элементов технике,WG-0003,"Зенкевич О. Метод конечных элементов в технике. – М.: Мир, 1975. – 541 с.: ил.",1975,1975,book,cites,,,,,UNKNOWN,primacy not determinable from bibliographic entry,Y — [P3] dependent records rely on it; not in corpus,LIN-17,P3,EV-VN-S039-0008,1,quote:1,claim:1,[7] МКЭ в перемещениях,,5,FACT,GENERAL_METHOD,NOT_APPLICABLE,HIGH,EXACT,
CG-00018,VKM-SRC-011,pdf p.133 | ref 11,EV-VN-S011-2114,,CW-0004,bariah|2008|физико механические свойства соляных пород,WG-0004,"Барях, А. А. Физико-механические свойства соляных пород Верхнекамского калийного месторождения: учеб. пособие / А. А. Барях, В. А. Асанов, И. Л. Паньков. – Пермь : Изд-во Перм. гос. техн. ун-та, 2008. – 199 с.",2008,2008,book,cites;reproduces_figure,VKM-SRC-025,VKM-SRC-025(year match; also VKM-SRC-013 (book archive of same work); score 1.00),,,N,textbook/handbook/review/teaching material: secondary compilation,N — local copy: VKM-SRC-025,LIN-20,,EV-VN-S011-2075,1,notes:1,claim:1,"p.256: карналлитовые породы имеют самые низкие физико-механические свойства, в т.ч. трещиностойкость",,5,FACT,GENERAL_METHOD,NOT_APPLICABLE,HIGH,EXACT,
CG-00019,VKM-SRC-012,pdf p.118 | ref 8,EV-VN-S012-0625,,CW-0004,bariah|2008|физико механические свойства соляных пород,WG-0004,"Барях, А. А. Физико-механические свойства соляных пород Верхнекамского калийного месторождения: учеб. пособие / А. А. Барях, В. А. Асанов, И. Л. Паньков. – Пермь : Изд-во Перм. гос. техн. ун-та, 2008. – 199 с.",2008,2008,book,cites;reproduces_data,VKM-SRC-025,VKM-SRC-025(year match; also VKM-SRC-013 (book archive of same work); score 1.00),,,N,textbook/handbook/review/teaching material: secondary compilation,N — local copy: VKM-SRC-025,LIN-20,,EV-VN-S012-0069;EV-VN-S012-0165,2,quote:2,parameter:1;information_lifecycle:1,"cited in text on pp. 18, 25, 27 (§1.2 модели соляных пород (реология); §1.4.1 ФМС и исходное НДС) — pp.18,25,27: VKM salt test database, scale factor, initial stress",,5,FACT,VKM_REGIONAL,NOT_APPLICABLE,HIGH,EXACT,
CG-00020,VKM-SRC-014,pdf p.262 | ref 4,EV-VN-S014-1239,,CW-0004,bariah|2008|физико механические свойства соляных пород,WG-0004,"Барях, А. А. Физико-механические свойства соляных пород Верхнекамского калийного месторождения: учеб. пособие / А. А. Барях, В. А. Асанов, И. Л. Паньков. – Пермь : Изд-во Перм. гос. техн. ун-та, 2008. – 199 с.",2008,2008,book,cites,VKM-SRC-025,VKM-SRC-025(year match; also VKM-SRC-013 (book archive of same work); score 1.00),,,N,textbook/handbook/review/teaching material: secondary compilation,N — local copy: VKM-SRC-025,LIN-20,,EV-VN-S014-1274,1,notes:1,claim:1,NOT cited by bracket number anywhere in the text layer of the book (grep of all 265 pages); key VKM rock-mechanics source — likely underlies properties used in ch.7 without explicit citation,,5,FACT,VKM_REGIONAL,NOT_APPLICABLE,HIGH,EXACT,
CG-00021,VKM-SRC-027,pdf p.7 | ref 9,EV-VN-S027-0072,,CW-0004,bariah|2008|физико механические свойства соляных пород,WG-0004,"Барях, А. А. Физико-механические свойства соляных пород Верхнекамского калийного месторождения: учеб. пособие / А. А. Барях, В. А. Асанов, И. Л. Паньков. – Пермь : Изд-во Перм. гос. техн. ун-та, 2008. – 199 с.",2008,2008,book,cites,VKM-SRC-025,VKM-SRC-025(year match; also VKM-SRC-013 (book archive of same work); score 1.00),,,N,textbook/handbook/review/teaching material: secondary compilation,N — local copy: VKM-SRC-025,LIN-20,,,0,,,[9] вар. 1 и 2 «фактически не отличаются» (цитирование странное; вероятный источник σ0 по слоям),,5,FACT,GENERAL_METHOD,NOT_APPLICABLE,HIGH,EXACT,
CG-00022,VKM-SRC-029,pdf p.158 | ref 94,EV-VN-S029-0380,,CW-0004,bariah|2008|физико механические свойства соляных пород,WG-0004,"Барях, А. А. Физико-механические свойства соляных пород Верхнекамского калийного месторождения: учеб. пособие / А. А. Барях, В. А. Асанов, И. Л. Паньков. – Пермь : Изд-во Перм. гос. техн. ун-та, 2008. – 199 с.",2008,2008,book,cites;reproduces_formula;reproduces_figure;reproduces_data;same_author_series,VKM-SRC-025,VKM-SRC-025(year match; also VKM-SRC-013 (book archive of same work); score 1.00),,,N,textbook/handbook/review/teaching material: secondary compilation,N — local copy: VKM-SRC-025,LIN-20,,EV-VN-S029-0155;EV-VN-S029-0156;EV-VN-S029-0158,3,quote:2;field:1,parameter:2;formula:1,p.90: initial elastic modulus E1 = 2.5 GPa and Poisson's ratio 0.3 of VKM salt in the author's piecewise-linear model,,5,FACT,VKM_REGIONAL,NOT_APPLICABLE,HIGH,EXACT,
CG-00023,VKM-SRC-011,"pdf p.134,148,158 | ref 73,A2-06 (unnumbered; order in Appendix 2 'Литература'),A4-168",EV-VN-S011-2176;EV-VN-S011-2737;EV-VN-S011-3006,EV-VN-S011-0273;EV-VN-S011-0450;EV-VN-S011-0526;EV-VN-S011-1527,CW-0005,dzhinoridze|2000|петротектонические основы безопасной эксплуатации верхнекамского,WG-0005,"Джиноридзе Н.М. Петротектонические основы безопасной эксплуатации Верхнекамского месторождения калийно-магниевых солей / Н.М. Джиноридзе. – СПб. − Соликамск: Изд-во ОГУП «Соликамская типография», 2000. – 391 с.",2000,2000,book,cites;reproduces_figure;reproduces_data,,,,,UNKNOWN,primacy not determinable from bibliographic entry,"Y — [P2] Джиноридзе и др. 2000 «Петротектонические основы безопасной эксплуатации ВКМ» — первичный источник петротектонической схемы/зон нарушений ВЗТ; 42 зависимые записи в 5 источниках, в корпусе отсутствует.",,P2,EV-VN-S011-0387;EV-VN-S011-0422;EV-VN-S011-0423;EV-VN-S011-0424;EV-VN-S011-0425;EV-VN-S011-0426;EV-VN-S011-0427;EV-VN-S011-0428;EV-VN-S011-0429;EV-VN-S011-0430;EV-VN-S011-0431;EV-VN-S011-0432;EV-VN-S011-0433;EV-VN-S011-0434;EV-VN-S011-0435;EV-VN-S011-0436;EV-VN-S011-0437;EV-VN-S011-0438;EV-VN-S011-0439;EV-VN-S011-0440;EV-VN-S011-0441;EV-VN-S011-0442;EV-VN-S011-0443;EV-VN-S011-0445;EV-VN-S011-0458;EV-VN-S011-0463;EV-VN-S011-0475;EV-VN-S011-0490;EV-VN-S011-1506;EV-VN-S011-1554;EV-VN-S011-1764;EV-VN-S011-2622;EV-VN-S011-2623;EV-VN-S011-2624;EV-VN-S011-2625;EV-VN-S011-2626;EV-VN-S011-2627;EV-VN-S011-2628;EV-VN-S011-2629,39,quote:29;author:24;notes:2,borehole:24;spatial_entity:9;claim:5;visual_check:1,"Appendix-4 bibliography of VKM geology; topics(auto-tag): tectonics_fractures,mining || discovery priority; (also key petrotectonic/safety monograph for VKM — potential evidence source) || p.246: гипотеза 'обособлений' глинистого материала при надвигообразовании (оспаривается автором)","[73] VNIIG shear-rhombohedra ('ushko') interpretation; [163] lozenge; [362] duplexes; [3,289,314] kink band terminology; [314] kink band types A/B/C (Fig 2.90); [289, p.37] Wilson on kink bands related to larger folds; [62] Golubev anticline/syncline fabrics; [33] Khod'kova micro-fold morphology quotes (pp.119-121) || use of term «карналлитовая пачка» || Джиноридзе Н.М. и др. (ВНИИГ) — концепция р",5,FACT,VKM_REGIONAL,NOT_APPLICABLE,HIGH,EXACT,"from appendix/secondary list of the monograph (numbering namespace A2,A4,MAIN) ; listed 3 times in this source"
CG-00024,VKM-SRC-012,"pdf p.123 | ref 52,53",EV-VN-S012-0669;EV-VN-S012-0670,,CW-0005,dzhinoridze|2000|петротектонические основы безопасной эксплуатации верхнекамского,WG-0005,"Джиноридзе Н.М. Петротектонические основы безопасной эксплуатации Верхнекамского месторождения калийно-магниевых солей / Н.М. Джиноридзе. – СПб. − Соликамск: Изд-во ОГУП «Соликамская типография», 2000. – 391 с.",2000,2000,book,cites,,,,,UNKNOWN,primacy not determinable from bibliographic entry,"Y — [P2] Джиноридзе и др. 2000 «Петротектонические основы безопасной эксплуатации ВКМ» — первичный источник петротектонической схемы/зон нарушений ВЗТ; 42 зависимые записи в 5 источниках, в корпусе отсутствует.",,P2,EV-VN-S012-0135,1,quote:1,claim:1,cited in text on pp. 30 (§1.4.2 геология/геомеханика/технология целиков) — p.30 region (tectonics); duplicate of [53] || not cited in text body pp.1-117 (bracket search of text layer) — duplicate of [52] with different author list,,5,FACT,VKM_REGIONAL,NOT_APPLICABLE,HIGH,EXACT,listed 2 times in this source
CG-00025,VKM-SRC-016,pdf p.11 | ref 16,EV-VN-S016-0097,,CW-0005,dzhinoridze|2000|петротектонические основы безопасной эксплуатации верхнекамского,WG-0005,"Джиноридзе Н.М. Петротектонические основы безопасной эксплуатации Верхнекамского месторождения калийно-магниевых солей / Н.М. Джиноридзе. – СПб. − Соликамск: Изд-во ОГУП «Соликамская типография», 2000. – 391 с.",2000,2000,book,cites,,,,,UNKNOWN,primacy not determinable from bibliographic entry,"Y — [P2] Джиноридзе и др. 2000 «Петротектонические основы безопасной эксплуатации ВКМ» — первичный источник петротектонической схемы/зон нарушений ВЗТ; 42 зависимые записи в 5 источниках, в корпусе отсутствует.",,P2,EV-VN-S016-0015,1,quote:1,claim:1,oil and gas below salt; future hydrocarbon extraction,,5,FACT,GENERAL_METHOD,NOT_APPLICABLE,HIGH,EXACT,
CG-00026,VKM-SRC-025,pdf p.193 | ref 21,EV-VN-S025-1073,EV-VN-S025-0070,CW-0005,dzhinoridze|2000|петротектонические основы безопасной эксплуатации верхнекамского,WG-0005,"Джиноридзе Н.М. Петротектонические основы безопасной эксплуатации Верхнекамского месторождения калийно-магниевых солей / Н.М. Джиноридзе. – СПб. − Соликамск: Изд-во ОГУП «Соликамская типография», 2000. – 391 с.",2000,2000,book,cites;reproduces_data;reproduces_figure,,,,,UNKNOWN,primacy not determinable from bibliographic entry,"Y — [P2] Джиноридзе и др. 2000 «Петротектонические основы безопасной эксплуатации ВКМ» — первичный источник петротектонической схемы/зон нарушений ВЗТ; 42 зависимые записи в 5 источниках, в корпусе отсутствует.",,P2,EV-VN-S025-0064,1,quote:1,stratigraphic_unit:1,VKM geology (salt-marl sequence etc.),"geology monographs of VKM; [40, 21] for СМТ description; [40] for Fig.1.1 section; [53] for Fig.1.3 column",5,FACT,VKM_REGIONAL,NOT_APPLICABLE,HIGH,EXACT,
CG-00027,VKM-SRC-040,pdf p.149 | ref 9,EV-VN-S040-0394,,CW-0005,dzhinoridze|2000|петротектонические основы безопасной эксплуатации верхнекамского,WG-0005,"Джиноридзе Н.М. Петротектонические основы безопасной эксплуатации Верхнекамского месторождения калийно-магниевых солей / Н.М. Джиноридзе. – СПб. − Соликамск: Изд-во ОГУП «Соликамская типография», 2000. – 391 с.",2000,2000,book,cites,,,,,UNKNOWN,primacy not determinable from bibliographic entry,"Y — [P2] Джиноридзе и др. 2000 «Петротектонические основы безопасной эксплуатации ВКМ» — первичный источник петротектонической схемы/зон нарушений ВЗТ; 42 зависимые записи в 5 источниках, в корпусе отсутствует.",,P2,,0,,,not cited in text,,5,FACT,VKM_REGIONAL,NOT_APPLICABLE,HIGH,EXACT,
CG-00028,VKM-SRC-012,pdf p.121 | ref 38,EV-VN-S012-0655,,CW-0006,kudriashov|2013|верхнекамское месторождение солей 2 е,WG-0008,"Кудряшов, А.И. Верхнекамское месторождение солей / А.И.Кудряшов. –2-е изд., перераб. – М.: Эпсилон Плюс, 2013. – 368 с.",2013,2013,book,cites;reproduces_data,VKM-SRC-011,VKM-SRC-011(year match; 2nd ed. 2013 in corpus; 1st ed. 2001 cited elsewhere = other edition; score 1.00),,,UNKNOWN,primacy not determinable from bibliographic entry,N — local copy: VKM-SRC-011,LIN-22,,EV-VN-S012-0131,1,quote:1,parameter:1,cited in text on pp. 29 (§1.4.2 геология/геомеханика/технология целиков) — p.29: VKM monograph (strata dip 2-10° east in salt interval),,5,FACT,VKM_REGIONAL,NOT_APPLICABLE,HIGH,EXACT,
CG-00029,VKM-SRC-015,pdf p.14 | ref 20,EV-VN-S015-0098,,CW-0006,kudriashov|2013|верхнекамское месторождение солей 2 е,WG-0008,"Кудряшов, А.И. Верхнекамское месторождение солей / А.И.Кудряшов. –2-е изд., перераб. – М.: Эпсилон Плюс, 2013. – 368 с.",2013,2013,book,cites;reproduces_data,VKM-SRC-011,VKM-SRC-011(year match; 2nd ed. 2013 in corpus; 1st ed. 2001 cited elsewhere = other edition; score 1.00),,,UNKNOWN,primacy not determinable from bibliographic entry,N — local copy: VKM-SRC-011,LIN-22,,EV-VN-S015-0016,1,quote:1,stratigraphic_unit:1,seam В six-layer structure; korzh description,,5,FACT,VKM_REGIONAL,NOT_APPLICABLE,HIGH,EXACT,
CG-00030,VKM-SRC-016,pdf p.11 | ref 15,EV-VN-S016-0096,,CW-0006,kudriashov|2013|верхнекамское месторождение солей 2 е,WG-0008,"Кудряшов, А.И. Верхнекамское месторождение солей / А.И.Кудряшов. –2-е изд., перераб. – М.: Эпсилон Плюс, 2013. – 368 с.",2013,2013,book,cites,VKM-SRC-011,VKM-SRC-011(year match; 2nd ed. 2013 in corpus; 1st ed. 2001 cited elsewhere = other edition; score 1.00),,,UNKNOWN,primacy not determinable from bibliographic entry,N — local copy: VKM-SRC-011,LIN-22,,EV-VN-S016-0015,1,quote:1,claim:1,VKM size; oil and gas below salt,,5,FACT,GENERAL_METHOD,NOT_APPLICABLE,HIGH,EXACT,
