rank,priority,score,cited_work_id,cited_work_key,cited_work_full,cited_year,cited_type,is_primary,why_primary,worldspec_components,cited_by_sources,n_citing_sources,anchor_vn_ids,corpus_status,external_status,phase1_external_access,phase1_full_text_read,phase1_external_ids,relations,dependent_claims_n,dependent_kinds,dependent_claims,topic_tags,lookup_hint,status,scope,scale,confidence,notes
34,P2,19,CW-1952,NOAUTHOR|NOYEAR|dangling reference VKM-SRC-037 [29],[29] — в списке литературы VKM-SRC-037 (22 поз.) отсутствует: висячая ссылка,,other,UNKNOWN,"Висячая ссылка [29] VKM-SRC-037 (в списке 22 позиции): §6.10 (время устойчивого состояния выработок) представлено как обобщение методик из работ [3, 29]; [3] — книга о твердеющей закладке (несоответствие), [29] отсутствует. По-видимому, раздел перенесён из отдельной «Методики расчёта времени устойчивого состояния выработок…» (УФ ВНИИГ) со своим списком литературы. От неё зависят формулы (6.19)–(6.48), типы устойчивости кровли и табл. 6.11–6.23, в т.ч. уровни напряжений СКПРУ-1 (табл. 6.18) — первоисточник не установлен (LIN-27).","physics/processes.py (время устойчивости выработок, ползучесть); mathmeta/models.py (ф. 6.19)",VKM-SRC-037,1,EV-VN-S037-0722,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites_unresolvable;reproduces_data;reproduces_figure,7,claim:2;parameter:2;conflict_note:1;visual_check:1;open_question:1,EV-VN-S037-0653;EV-VN-S037-0704;EV-VN-S037-0705;EV-VN-S037-1231;EV-VN-S037-1232;EV-VN-S037-1245;EV-VN-S037-1252,,"«Методика расчета времени устойчивого состояния выработок…», УФ ВНИИГ (Пермь), 1980-е; фонды АО «ВНИИ Галургии» / ПАО «Уралкалий»",UNKNOWN,VKM_REGIONAL,NOT_APPLICABLE,HIGH,manual annotation
35,P2,-5,CW-0294,bariah|2021|определению горизонтальных деформаций подработанных территорий,"Барях А. А., Тенисон Л. О., Самоделкина Н. А. К определению горизонтальных деформаций подработанных территорий // Горный информационно-аналитический бюллетень. 2021. № 11. С. 5–18",2021,article,Y,"Барях–Тенисон–Самоделкина 2021 (ГИАБ №11, с.5–18) — методика определения ГОРИЗОНТАЛЬНЫХ деформаций подработанных территорий ВКМ; указана в VKM-SRC-010 как VKM-релевантная и отсутствует в корпусе. Нужна для горизонтальной компоненты оператора наблюдения и для проверки допущения «горизонтальные смещения малы» при пересчёте LOS→вертикаль.","observations/catalog.py (горизонтальные деформации), mathmeta (проекция LOS)",VKM-SRC-010,1,EV-VN-S010-0023,NOT_IN_CORPUS,NONE,FULL_TEXT_READ,Y,EXTWEB-SKRU1_SPECIFIC-003=FULL_TEXT_READ:SAME_WORK,cites,0,,,subsidence/InSAR;cited only in NON-VKM/ANALOGUE context,ГИАБ 2021 №11 с.5-18 (open access giab-online.ru),UNKNOWN,VKM_REGIONAL,NOT_APPLICABLE,HIGH,manual annotation
36,P3,78,CW-1896,glebov|2006|обоснование рациональных комплексов геофизических методов,"Глебов, С.В. Обоснование рациональных комплексов геофизических методов исследований водозащитной толщи на месторождениях водорастворимых руд: дисс. … канд. техн. наук: 25.00.16. / Глебов Сергей Валерьевич. – Пермь, 2006. – 156 с.",2006,dissertation,Y,"Глебов 2006, дисс. — комплексы геофизических методов исследования ВЗТ; 27 зависимых записей в VKM-SRC-040.",geophysics/ВЗТ,VKM-SRC-040,1,EV-VN-S040-0392,NOT_IN_CORPUS,NONE,METADATA_ONLY,N,EXTWEB-GEOPHYS_GPR-009=METADATA_ONLY:SAME_WORK,cites;reproduces_data;reproduces_figure,27,stratigraphic_unit:10;parameter:6;hydro:4;claim:2;information_lifecycle:2;process_mechanism:1;engineering_rule:1;monitoring_observation:1,EV-VN-S040-0018;EV-VN-S040-0019;EV-VN-S040-0020;EV-VN-S040-0021;EV-VN-S040-0022;EV-VN-S040-0023;EV-VN-S040-0024;EV-VN-S040-0025;EV-VN-S040-0026;EV-VN-S040-0027;EV-VN-S040-0028;EV-VN-S040-0029;EV-VN-S040-0030;EV-VN-S040-0031;EV-VN-S040-0032;EV-VN-S040-0038;EV-VN-S040-0040;EV-VN-S040-0045;EV-VN-S040-0046;EV-VN-S040-0047;EV-VN-S040-0048;EV-VN-S040-0049;EV-VN-S040-0050;EV-VN-S040-0105;EV-VN-S040-0106;EV-VN-S040-0107;EV-VN-S040-0122,ВЗТ/flooding,ПГНИУ/ГИ УрО РАН 2006,UNKNOWN,GENERAL_METHOD,NOT_APPLICABLE,HIGH,manual annotation
37,P3,76,CW-0045,golubev|1977|особенности внутреннего строения соляной толщи,"Голубев Б.М. Особенности внутреннего строения соляной толщи Верхнекамского месторождения / Проблемы соленакопления. Новосибирск: Наука, 1977. Т. 2. С. 115–118.",1977,article,UNKNOWN,Голубев 1977 — внутреннее строение соляной толщи ВКМ (первичные стратиграфические описания); 26 зависимых записей в VKM-SRC-011/040.,geology (стратиграфия),VKM-SRC-011;VKM-SRC-040,2,EV-VN-S011-2163;EV-VN-S011-2989;EV-VN-S011-0362;EV-VN-S040-0393,NOT_IN_CORPUS,NONE,METADATA_ONLY,N,EXTWEB-BOREHOLES_GEOLOGY-011=METADATA_ONLY:SAME_WORK,cites;reproduces_data;reproduces_figure,26,stratigraphic_unit:11;parameter:6;hydro:4;claim:3;process_mechanism:1;information_lifecycle:1,EV-VN-S011-0356;EV-VN-S040-0018;EV-VN-S040-0019;EV-VN-S040-0020;EV-VN-S040-0021;EV-VN-S040-0022;EV-VN-S040-0023;EV-VN-S040-0024;EV-VN-S040-0025;EV-VN-S040-0026;EV-VN-S040-0027;EV-VN-S040-0028;EV-VN-S040-0029;EV-VN-S040-0030;EV-VN-S040-0031;EV-VN-S040-0032;EV-VN-S040-0038;EV-VN-S040-0039;EV-VN-S040-0040;EV-VN-S040-0045;EV-VN-S040-0046;EV-VN-S040-0047;EV-VN-S040-0048;EV-VN-S040-0049;EV-VN-S040-0050;EV-VN-S040-0122,VKM,"Проблемы соленакопления. Новосибирск: Наука, 1977",UNKNOWN,GENERAL_METHOD,NOT_APPLICABLE,HIGH,manual annotation
38,P3,57,CW-0055,erzhanov|1978|основы расчета напряженного состояния полостей,"Основы расчета напряженного состояния полостей газохранилищ в соляных отложениях / Ж. С. Ержанов, В. Менцель, Э. И. Бергман [и др.] – Алма-Ата. : Изд-во «Наука» Казахстанской ССР, 1978. – 86 с.",1978,book,UNKNOWN,,,VKM-SRC-012;VKM-SRC-025,2,EV-VN-S012-0668;EV-VN-S025-1109;EV-VN-S025-0204,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_data,11,parameter:10;claim:1,EV-VN-S012-0037;EV-VN-S025-0178;EV-VN-S025-0179;EV-VN-S025-0180;EV-VN-S025-0181;EV-VN-S025-0182;EV-VN-S025-0183;EV-VN-S025-0184;EV-VN-S025-0185;EV-VN-S025-0186;EV-VN-S025-0189,rheology/properties;stress,,UNKNOWN,GENERAL_METHOD,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
39,P3,55,CW-1633,NOAUTHOR|1985|гост 21153 2 84 породы,"ГОСТ 21153.2-84 Породы горные. Методы определения предела прочности при одноосном сжатии. – М.: Издательство стандартов, 1985. – 10 с.",1985,normative,Y,,,VKM-SRC-012;VKM-SRC-025,2,EV-VN-S012-0630;EV-VN-S025-1069;EV-VN-S025-0162,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_formula,11,engineering_rule:5;claim:3;formula:3,EV-VN-S025-0160;EV-VN-S025-0201;EV-VN-S025-0225;EV-VN-S025-0229;EV-VN-S025-0230;EV-VN-S025-0231;EV-VN-S025-0271;EV-VN-S025-0287;EV-VN-S025-0335;EV-VN-S025-0336;EV-VN-S025-0523,rheology/properties,,UNKNOWN,GENERAL_METHOD,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
40,P3,51,CW-0012,babaiants|2021|мониторинг оседаний территории г березники,"(2) Бабаянц И.П. и др. Мониторинг оседаний на территории г. Березники ... // 19-я Всероссийская Открытая конференция «Современные проблемы ДЗЗ из космоса», 15–19 ноября 2021 г. – М., ИКИ РАН. – С. 74. – DOI 10.21046/19DZZconf-2021a. (3) Бабаянц И.П. и др. Мониторинг оседаний земной поверхности на территории г. Березники ... // Материалы 20-й Международной конференции «Современные проблемы ДЗЗ из космоса». – М., ИКИ РАН, 2022. – С. 256. DOI 10.21046/20DZZconf-2022a.",2021,article,Y,"Тезисы конференции ДЗЗ ИКИ 2021 по Березникам — ранняя версия результатов, вошедших в диссертацию VKM-SRC-003; ценность низкая при наличии диссертации.",—,VKM-SRC-003;VKM-SRC-005;VKM-SRC-023,3,EV-VN-S003-0027;EV-VN-S003-0033;EV-VN-S003-0406;EV-VN-S005-0049;EV-VN-S023-0014;EV-VN-S023-0492,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_data;same_author_series,6,claim:3;monitoring_observation:2;parameter:1,EV-VN-S003-0158;EV-VN-S003-0172;EV-VN-S005-0004;EV-VN-S023-0062;EV-VN-S023-0063;EV-VN-S023-0065,subsidence/InSAR;VKM,"Сборник тезисов 19-й конф. «Современные проблемы ДЗЗ из космоса», ИКИ РАН 2021",UNKNOWN,GENERAL_METHOD,NOT_APPLICABLE,HIGH,manual annotation
41,P3,50,CW-1692,aman|2006|расчет технико экономических показателей системе,"Расчет технико-экономических показателей по системе разработки : методические указания / Сост. И.П. Аман. – Пермский государственный технический университет, Пермь, 2006. – 31 с.",2006,book,UNKNOWN,,,VKM-SRC-026,1,EV-VN-S026-0165,NOT_IN_CORPUS,EXT-SRC-035=DISCOVERY_ONLY,NO_PHASE1_RECORD,N,,cites;reproduces_formula,16,formula:15;claim:1,EV-VN-S026-0015;EV-VN-S026-0123;EV-VN-S026-0124;EV-VN-S026-0125;EV-VN-S026-0127;EV-VN-S026-0128;EV-VN-S026-0129;EV-VN-S026-0130;EV-VN-S026-0132;EV-VN-S026-0133;EV-VN-S026-0135;EV-VN-S026-0137;EV-VN-S026-0138;EV-VN-S026-0139;EV-VN-S026-0140;EV-VN-S026-0144,,,UNKNOWN,VKM_REGIONAL,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
42,P3,48,CW-0046,ivanov|1975|верхнекамское месторождение калийных солей,"Иванов А.А. Верхнекамское месторождение калийных солей / А.А. Иванов, М.Л. Воронова. – Л.: Недра. – 1975. – 219 с.",1975,book,UNKNOWN,"Иванов–Воронова 1975 — классическая монография ВКМ (стратиграфия, мощности); повторяется VKM-SRC-011/025.",geology,VKM-SRC-011;VKM-SRC-025,2,EV-VN-S011-2209;EV-VN-S011-3125;EV-VN-S011-0131;EV-VN-S011-0633;EV-VN-S011-0963;EV-VN-S025-1078,NOT_IN_CORPUS,NONE,METADATA_ONLY,N,EXTWEB-BOREHOLES_GEOLOGY-010=METADATA_ONLY:SAME_WORK,cites;reproduces_data;reproduces_figure,13,borehole:6;stratigraphic_unit:3;claim:2;parameter:2,EV-VN-S011-0122;EV-VN-S011-0123;EV-VN-S011-0219;EV-VN-S011-1056;EV-VN-S011-1332;EV-VN-S011-1339;EV-VN-S011-1712;EV-VN-S011-1713;EV-VN-S011-1975;EV-VN-S011-2002;EV-VN-S011-2003;EV-VN-S011-2004;EV-VN-S011-3953,VKM,"Л.: Недра, 1975, 219 с.",UNKNOWN,GENERAL_METHOD,NOT_APPLICABLE,HIGH,manual annotation
43,P3,48,CW-1610,vnimi|1988|инструкция наблюдениям сдвижением горных пород,"Инструкция по наблюдениям за сдвижением горных пород и земной поверхности при подземной разработке рудных месторождений / М-во цв. мет. СССР. Горное управление: Введ. 3.07.86.— Разраб. ВНИМИ, ВНИПИгорцветмет.— М.: Недра. 1988,— 112 с.",1988,normative,Y,Инструкция 1988 (Минцветмет СССР) по наблюдениям за сдвижением при разработке РУДНЫХ месторождений — используется аналогом Бобровицкого (Гремячинское). Для ВКМ — только ANALOGUE/общая методика.,observations (общая методика нивелирных станций),VKM-SRC-024,1,EV-VN-S024-0237,NOT_IN_CORPUS,NONE,METADATA_ONLY,N,EXTWEB-NORMATIVE-013=METADATA_ONLY:SAME_WORK,cites;reproduces_figure;reproduces_formula,9,formula:7;visual_check:1;subsidence_method:1,EV-VN-S024-0189;EV-VN-S024-0190;EV-VN-S024-0191;EV-VN-S024-0192;EV-VN-S024-0193;EV-VN-S024-0195;EV-VN-S024-0196;EV-VN-S024-0197;EV-VN-S024-0332,subsidence/InSAR;monitoring normative;cited only in NON-VKM/ANALOGUE context,"Л.: ВНИМИ, 1988",UNKNOWN,GENERAL_METHOD,NOT_APPLICABLE,HIGH,manual annotation
44,P3,47,CW-0017,hanssen|2001|radar interferometry data interpretation error,"Hanssen, R.N. Radar interferometry — data interpretation and error analysis. New York, Boston, Dordrecht, London, Moscow: Kluwer Academic Publishers, 2001. 308 p.",2001,book,UNKNOWN,,,VKM-SRC-003;VKM-SRC-007;VKM-SRC-008,3,EV-VN-S003-0466;EV-VN-S007-0051;EV-VN-S008-0027,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,EXTWEB-SUBSIDENCE_FORMULAS-005=FULL_TEXT_READ:RELATED,cites;reproduces_figure;reproduces_formula,4,formula:4,EV-VN-S003-0017;EV-VN-S003-0047;EV-VN-S003-0053;EV-VN-S003-0068,subsidence/InSAR,,UNKNOWN,GENERAL_METHOD,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
45,P3,43,CW-0063,zhukov|2017|оценка скорости распространения электромагнитных волн,"Жуков, А.А. Оценка скорости распространения электромагнитных волн в солях Верхнекамского месторождения солей /А.А.Жуков, А.М.Пригара, И.Ю.Пушкарева, Р.И.Царев // Инженерные изыскания. – 2017. – № 3. С.28-33.",2017,article,UNKNOWN,,,VKM-SRC-015;VKM-SRC-040,2,EV-VN-S015-0099;EV-VN-S040-0400,NOT_IN_CORPUS,NONE,ABSTRACT_ONLY,N,EXTWEB-GEOPHYS_GPR-003=ABSTRACT_ONLY:SAME_WORK,cites;reproduces_data;reproduces_figure;same_author_series,15,visual_check:9;parameter:2;gpr:1;conflict_note:1;open_question:1;mining_geometry:1,EV-VN-S015-0029;EV-VN-S015-0030;EV-VN-S015-0058;EV-VN-S015-0100;EV-VN-S015-0106;EV-VN-S040-0271;EV-VN-S040-0283;EV-VN-S040-0284;EV-VN-S040-0285;EV-VN-S040-0286;EV-VN-S040-0290;EV-VN-S040-0291;EV-VN-S040-0297;EV-VN-S040-0301;EV-VN-S040-0305,VKM,,UNKNOWN,VKM_REGIONAL,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
46,P3,43,CW-1379,ermakov|1995|анализ аварийной ситуации втором соликамском,"Анализ аварийной ситуации на Втором Соликамском руднике / Г. И. Ермаков, В. И. Фоминых, А. Е. Красноштейн [и др.] // Проблемы безопасности при эксплуатации месторождений полезных ископаемых в зонах градопромышленных агломераций: Тез. докл. Междунар. симп. – Пермь: УрО РАН, 1995. – С. 47-48.",1995,article,UNKNOWN,,,VKM-SRC-012,1,EV-VN-S012-0618,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_data,6,claim:2;conflict_note:2;stress_measurement:1;seismic:1,EV-VN-S012-0037;EV-VN-S012-0071;EV-VN-S012-0072;EV-VN-S012-0178;EV-VN-S012-0358;EV-VN-S012-0617,ВЗТ/flooding;rheology/properties;VKM,,UNKNOWN,VKM_REGIONAL,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
47,P3,41,CW-0001,fadeev|1987|метод конечных элементов геомеханике,"Фадеев, А. Б. Метод конечных элементов в геомеханике / А. Б. Фадеев. – М.: Недра, 1987. – 221 с.",1987,book,UNKNOWN,,,VKM-SRC-005;VKM-SRC-012;VKM-SRC-031;VKM-SRC-032;VKM-SRC-035;VKM-SRC-039,6,EV-VN-S005-0051;EV-VN-S012-0694;EV-VN-S031-0039;EV-VN-S032-0034;EV-VN-S035-0027;EV-VN-S039-0037,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites,3,claim:2;subsidence_method:1,EV-VN-S005-0008;EV-VN-S032-0009;EV-VN-S039-0008,stress,,UNKNOWN,GENERAL_METHOD,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
48,P3,41,CW-0068,NOAUTHOR|1993|специальные мероприятия безопасному ведению горных,"Специальные мероприятия по безопасному ведению горных работ на Верхнекамском месторождении калийных солей в условиях газового режима. Пермь - Березники, 1993 г.",1993,normative,Y,,,VKM-SRC-020;VKM-SRC-028,2,EV-VN-S020-0463;EV-VN-S020-0242;EV-VN-S028-0222,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,EXTWEB-NORMATIVE-006=METADATA_ONLY:RELATED,cites;reproduces_data,6,process_mechanism:3;engineering_rule:2;monitoring_observation:1,EV-VN-S020-0174;EV-VN-S020-0179;EV-VN-S020-0181;EV-VN-S020-0183;EV-VN-S028-0113;EV-VN-S028-0122,VKM,,UNKNOWN,VKM_REGIONAL,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
49,P3,41,CW-0145,ferretti|2014|satellite insar data reservoir monitoring,"Ferretti, A. Satellite InSAR Data: reservoir monitoring from space (EET 9) / A. Ferretti // Earthdoc. – 2014. – 178 p.",2014,book,UNKNOWN,,,VKM-SRC-003,1,EV-VN-S003-0460,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_data;reproduces_figure;reproduces_formula,6,parameter:3;claim:2;formula:1,EV-VN-S003-0052;EV-VN-S003-0053;EV-VN-S003-0054;EV-VN-S003-0079;EV-VN-S003-0080;EV-VN-S003-0114,subsidence/InSAR,,UNKNOWN,GENERAL_METHOD,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
50,P3,41,CW-1635,NOAUTHOR|1991|гост 28985 91 породы горные,"ГОСТ 28985-91 Породы горные. Методы определения деформационных характеристик при одноосном сжатии. – М.: Издательство стандартов, 1991. – 19 с.",1991,normative,Y,,,VKM-SRC-012;VKM-SRC-025,2,EV-VN-S012-0632;EV-VN-S025-1071;EV-VN-S025-0162;EV-VN-S025-0173,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_figure;reproduces_formula,7,engineering_rule:3;formula:3;claim:1,EV-VN-S025-0160;EV-VN-S025-0169;EV-VN-S025-0201;EV-VN-S025-0225;EV-VN-S025-0274;EV-VN-S025-0275;EV-VN-S025-0276,,,UNKNOWN,GENERAL_METHOD,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
51,P3,39,CW-0467,medvedev|1974|газовыделения калийных рудниках м недра,"Медведев И.И., Полянина Г.Д. Газовыделения на калийных рудниках. М.: Недра, 1974. 168 с.",1974,book,UNKNOWN,,,VKM-SRC-011,1,EV-VN-S011-2279;EV-VN-S011-3319,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_data,13,parameter:11;claim:2,EV-VN-S011-1679;EV-VN-S011-1682;EV-VN-S011-1683;EV-VN-S011-1684;EV-VN-S011-1685;EV-VN-S011-1686;EV-VN-S011-1687;EV-VN-S011-1688;EV-VN-S011-1689;EV-VN-S011-1690;EV-VN-S011-1702;EV-VN-S011-1716;EV-VN-S011-2019,,,UNKNOWN,GENERAL_METHOD,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
52,P3,39,CW-0624,shatov|1966|исследование газопроявлений газовый режим верхнекамских,"Шатов В.П. Исследование газопроявлений и газовый режим на Верхнекамских калийных рудниках: автореф. дис. ... канд. техн. наук. Свердловск: СГИ, 1966. 21 с.",1966,dissertation,Y,,,VKM-SRC-011,1,EV-VN-S011-2438;EV-VN-S011-3781,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_data,9,parameter:9,EV-VN-S011-1682;EV-VN-S011-1683;EV-VN-S011-1684;EV-VN-S011-1685;EV-VN-S011-1686;EV-VN-S011-1687;EV-VN-S011-1688;EV-VN-S011-1689;EV-VN-S011-1690,VKM,,UNKNOWN,GENERAL_METHOD,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
53,P3,39,CW-1676,permiakov|1986|справочник разработке соляных месторождений,"Справочник по разработке соляных месторождений / Р.С. Пермяков [и др.]. – М.: Недра, 1986. – 212 с.",1986,book,N,,,VKM-SRC-012;VKM-SRC-025;VKM-SRC-028,3,EV-VN-S012-0682;EV-VN-S025-1121;EV-VN-S025-0204;EV-VN-S028-0215,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_data;reproduces_formula,12,parameter:10;claim:1;formula:1,EV-VN-S025-0176;EV-VN-S025-0178;EV-VN-S025-0179;EV-VN-S025-0180;EV-VN-S025-0181;EV-VN-S025-0182;EV-VN-S025-0183;EV-VN-S025-0184;EV-VN-S025-0185;EV-VN-S025-0186;EV-VN-S025-0187;EV-VN-S025-0189,,,UNKNOWN,GENERAL_METHOD,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
54,P3,38,CW-0047,laptev|1994|предотвращение газодинамических явлений калийных рудниках,"Лаптев Б.В. Предотвращение газодинамических явлений на калийных рудниках / Б.В. Лаптев. – М.: Недра, 1994. − 141 с.",1994,book,UNKNOWN,,,VKM-SRC-011;VKM-SRC-025,2,EV-VN-S011-2269;EV-VN-S025-1095,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_data,10,parameter:9;claim:1,EV-VN-S011-1679;EV-VN-S011-1682;EV-VN-S011-1683;EV-VN-S011-1684;EV-VN-S011-1685;EV-VN-S011-1686;EV-VN-S011-1687;EV-VN-S011-1688;EV-VN-S011-1689;EV-VN-S011-1690,,,UNKNOWN,GENERAL_METHOD,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
55,P3,38,CW-1409,lebedeva|2022|моделирование оседаний земной поверхности районе,"Лебедева, О. О. Моделирование оседаний земной поверхности в районе междушахтных целиков на Верхнекамском месторождении калийно-магниевых солей на основе геолого-геомеханической модели / Лебедева О. О. // Известия высших учебных заведений. Горный журнал. – 2022. – № 6. – С. 104-113 // DOI: 10.21440/0536-1028-2022-6-104-113",2022,article,N,,,VKM-SRC-012,1,EV-VN-S012-0657,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_figure;same_author_series,2,claim:1;process_mechanism:1,EV-VN-S012-0572;EV-VN-S012-0575,subsidence/InSAR;pillars/mining;VKM,,UNKNOWN,VKM_REGIONAL,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
56,P3,38,CW-1464,starkov|2007|развитие механизированной разработки калийных руд,"Старков Л.И., Земсков А.Н., Кондрашев П.И. Развитие механизированной разработки калийных руд: монография. – Пермь; Соликамск: Изд-во Перм. гос. техн. ун-та, 2007.",2007,book,UNKNOWN,,,VKM-SRC-014,1,EV-VN-S014-1236,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_data;reproduces_figure,9,parameter:5;mining_geometry:2;stratigraphic_unit:1;claim:1,EV-VN-S014-1091;EV-VN-S014-1147;EV-VN-S014-1148;EV-VN-S014-1149;EV-VN-S014-1150;EV-VN-S014-1151;EV-VN-S014-1159;EV-VN-S014-1161;EV-VN-S014-1163,VKM,,UNKNOWN,OTHER_POTASH_SITE,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
57,P3,38,CW-1690,NOAUTHOR|2016|руководство ликвидации возможных рассолопроявлений калийных,Руководство по ликвидации возможных рассолопроявлений в калийных рудниках ПАО «Уралкалий» (технологический регламент). – Березники; 2016.,2016,normative,Y,,,VKM-SRC-026,1,EV-VN-S026-0163,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_data,3,claim:1;engineering_rule:1;hydro:1,EV-VN-S026-0003;EV-VN-S026-0010;EV-VN-S026-0042,ВЗТ/flooding;VKM,,UNKNOWN,VKM_REGIONAL,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
58,P3,37,CW-1933,zhukov|2015|оценка применимости георадиолокации условиях вкмс,"Оценка применимости георадиолокации в условиях ВКМС: отчет о НИР / Жуков А.А. – Пермь: ОАО «Галургия», 2015.",2015,report,Y,,,VKM-SRC-040,1,EV-VN-S040-0438,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_data;reproduces_figure;same_author_series,9,conflict_note:3;chronology_event:2;stratigraphic_unit:1;visual_check:1;information_lifecycle:1;gpr:1,EV-VN-S040-0033;EV-VN-S040-0034;EV-VN-S040-0037;EV-VN-S040-0277;EV-VN-S040-0278;EV-VN-S040-0310;EV-VN-S040-0311;EV-VN-S040-0443;EV-VN-S040-0444,VKM,,UNKNOWN,VKM_REGIONAL,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
59,P3,36,CW-0190,mihailov|2019|возможности мониторинга динамики развития оседаний,"Михайлов В.О., Киселева Е.А., Барях А.А., Исаев Ю.С., Смольянинова Е.И. Возможности мониторинга динамики развития оседаний земной поверхности на территории г. Березники по снимкам спутника Сентинель // ХI Всероссийская школа-семинар ... Тезисы докладов. Пермь: ГоИ УрО РАН, 2019. С.35–36.",2019,other,UNKNOWN,,,VKM-SRC-004,1,EV-VN-S004-0078,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_data;reproduces_figure;same_author_series,2,chronology_event:1;monitoring_observation:1,EV-VN-S004-0012;EV-VN-S004-0057,subsidence/InSAR;VKM,,UNKNOWN,GENERAL_METHOD,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
60,P3,36,CW-1425,kashnikov|2019|создание геолого геомеханической модели верхнекамского,"Создание геолого-геомеханической модели Верхнекамского месторождения калийных солей / Ю. А. Кашников, А. О. Ермашов, Д. В. Шустов, О. О. Лебедева // Маркшейдерский вестник. – 2019. – № 1 (128). – С. 39-45.",2019,article,UNKNOWN,,,VKM-SRC-012,1,EV-VN-S012-0679;EV-VN-S012-0532,NOT_IN_CORPUS,NONE,NOT_FOUND,N,EXTWEB-BOREHOLES_GEOLOGY-007=NOT_FOUND:SAME_WORK;EXTWEB-BOREHOLES_GEOLOGY-008=METADATA_ONLY:RELATED;EXTWEB-SUBSIDENCE_FORMULAS-022=METADATA_ONLY:RELATED,cites;reproduces_data;reproduces_figure;same_author_series,4,claim:2;formula:1;parameter:1,EV-VN-S012-0183;EV-VN-S012-0358;EV-VN-S012-0446;EV-VN-S012-0447,ВЗТ/flooding;VKM,,UNKNOWN,VKM_REGIONAL,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
