order,stage_id,graph,stage_ru,description,inputs,outputs,actors,time_scale,skru1_evidence,worldspec_event_types,source_ids,vn_ids,status,confidence,locators,scope,scale,notes,quote_vn_id
11,I07,information,"Геологическая модель, подсчёт запасов, геолого-геомеханическая модель","Структурные карты, модель строения ВЗТ; подсчёт запасов (ГКЗ); 3D-модель Vp→E, UCS (ПНИПУ); модель уточняется по мере горных работ","скважины, ГИС, лаборатория, геофизика, выработки",модель строения и свойств (версии),"геологи, ГИ УрО РАН, ПНИПУ, ГКЗ",версии: годы–десятилетия,3D-модель района целиков СКРУ-1–СКРУ-2–СКРУ-3 (не опубликована),GEOLOGICAL_MODEL_UPDATE,VKM-SRC-011; VKM-SRC-012; VKM-SRC-024,EV-VN-S011-2658; EV-VN-S012-0005; EV-VN-S012-0290; EV-VN-S012-0534; EV-VN-S024-0468,FACT,HIGH,VKM-SRC-011 p128; VKM-SRC-012 p5; VKM-SRC-012 p61; VKM-SRC-012 p83; VKM-SRC-024 p119,VKM_REGIONAL; SOLIKAMSK_GROUP; GENERAL_METHOD; OTHER_POTASH_SITE,NOT_APPLICABLE,"стадия-синтез (scale NOT_APPLICABLE: стадия, не величина); scope — объединение scope записей (D-17); ANALOGUE-стадии не переносятся на СКРУ-1 без явного статуса",EV-VN-S012-0005
12,I08,information,"Нормативная база (Указания по защите рудников, Инструкции по наблюдениям, регламенты)","Правила выбора параметров, защиты ВЗТ и наблюдений за сдвижением; действуют по редакциям","опыт, испытания, аварии",нормативы (NORMATIVE ≠ measurement),"ГИ УрО РАН, УФ ВНИИГ, Уралкалий, Сильвинит, Ростехнадзор","редакции 1990/1992, 2004, 2008, 2014(2017), 2017, 2022, 2023",общие для ВКМ,NORMATIVE_IN_FORCE,VKM-SRC-037; VKM-SRC-034; VKM-SRC-012; VKM-SRC-031; VKM-SRC-024,EV-VN-S037-0007; EV-VN-S034-0052; EV-VN-S012-0686; EV-VN-S031-0030; EV-VN-S024-0113,FACT,HIGH,VKM-SRC-037 p236; VKM-SRC-034 p5; VKM-SRC-012 p120; VKM-SRC-031 p4; VKM-SRC-024 p49,VKM_REGIONAL; GENERAL_METHOD,NOT_APPLICABLE,"стадия-синтез (scale NOT_APPLICABLE: стадия, не величина); scope — объединение scope записей (D-17); ANALOGUE-стадии не переносятся на СКРУ-1 без явного статуса",EV-VN-S024-0113
13,P05,physical,Проектирование шахтного поля и системы разработки,"Шахтное поле → панели (СКРУ-1: 350–600 м) → блоки → камеры; расчёт целиков, охранных целиков, проверка ВЗТ до отработки; выбор варианта выемки","геологическая модель, нормативы, габариты комбайнов","проект/паспорта (DESIGN), календарный план","Галургия, технические службы рудников",до начала работ участка,типовые схемы и диапазоны; проект выемки пласта В (2002),"(плановые события, статус DESIGN)",VKM-SRC-014; VKM-SRC-037; VKM-SRC-027; VKM-SRC-026,EV-VN-S014-0369; EV-VN-S037-1135; EV-VN-S037-0992; EV-VN-S027-0020; EV-VN-S026-0173,FACT,HIGH,VKM-SRC-014 p34; VKM-SRC-037 p197; VKM-SRC-037 p171; VKM-SRC-027 p3; VKM-SRC-026 p41,VKM_REGIONAL; USOLSKY; SKRU1,NOT_APPLICABLE,"стадия-синтез (scale NOT_APPLICABLE: стадия, не величина); scope — объединение scope записей (D-17); ANALOGUE-стадии не переносятся на СКРУ-1 без явного статуса",EV-VN-S014-0369
14,P06,physical,"Строительство: проходка стволов (замораживание/тампонаж), околоствольные целики",Стволы через водонасыщенную надсолевую толщу с замораживанием (23 из 24) или тампонажем (только ствол №1 СКРУ-1); тюбинговая/бетонная крепь,гидрогеология площадки ствола,"стволы, ствольные целики",шахтостроители,годы (проходка),"ствол №1 СКРУ-1 заложен 07.11.1927; цементация; притоки в стволе №2 (1930, 1935)",SHAFT_SINKING; MINE_CONSTRUCTION,VKM-SRC-014; VKM-SRC-040; VKM-SRC-011,EV-VN-S014-0347; EV-VN-S040-0121; EV-VN-S040-0053; EV-VN-S011-2706; EV-VN-S040-0070,FACT,HIGH,VKM-SRC-014 p29; VKM-SRC-040 p17; VKM-SRC-011 p147; VKM-SRC-040 p25,VKM_REGIONAL; SKRU1,NOT_APPLICABLE,"стадия-синтез (scale NOT_APPLICABLE: стадия, не величина); scope — объединение scope записей (D-17); ANALOGUE-стадии не переносятся на СКРУ-1 без явного статуса",EV-VN-S040-0053
15,P07,physical,Ввод рудника в эксплуатацию,СКРУ-1 (Первый калийный рудник) введён в мае 1930 г.,построенные стволы и выработки,действующий рудник,рудоуправление,событие,май 1930 (год ввода 1930),MINE_COMMISSIONING,VKM-SRC-011,EV-VN-S011-2706; EV-VN-S011-2713,FACT,HIGH,VKM-SRC-011 p147; VKM-SRC-011 p148,SKRU1,NOT_APPLICABLE,"стадия-синтез (scale NOT_APPLICABLE: стадия, не величина); scope — объединение scope записей (D-17); ANALOGUE-стадии не переносятся на СКРУ-1 без явного статуса",EV-VN-S011-2706
16,P08,physical,Вскрытие и капитальные выработки,"Вертикальные стволы в центре поля (ВЗТ ≥30–40 м), околоствольные дворы, главные штреки по горизонтам (СКРУ-1: −113, −143, −240 м)",проект,сеть капитальных выработок,рудоуправление,годы,"горизонты по абсолютным отметкам, система высот не названа",MINE_CONSTRUCTION; DEVELOPMENT,VKM-SRC-020; VKM-SRC-014,EV-VN-S020-0119; EV-VN-S020-0254; EV-VN-S014-0456,FACT,HIGH,VKM-SRC-020 p14; VKM-SRC-020 p11; VKM-SRC-014 p77,VKM_REGIONAL; SKRU1,NOT_APPLICABLE,"стадия-синтез (scale NOT_APPLICABLE: стадия, не величина); scope — объединение scope записей (D-17); ANALOGUE-стадии не переносятся на СКРУ-1 без явного статуса",EV-VN-S020-0254
17,P09,physical,Подземная (эксплуатационная) разведка впереди очистных работ,Парные разведочные штреки с нишами; подземные скважины 400×400 м; керн на лабораторию,"поверхностная разведка, планы",уточнённая геометрия пластов и аномалий,геологическая служба рудника,~500 м/мес проходки; опережает очистную выемку на годы,нет данных по СКРУ-1,EXPLORATION_DRILLING; GEOLOGICAL_MODEL_UPDATE,VKM-SRC-014; VKM-SRC-025; VKM-SRC-011,EV-VN-S014-0806; EV-VN-S025-0203; EV-VN-S025-0228; EV-VN-S011-1673,FACT,HIGH,VKM-SRC-014 p107; VKM-SRC-025 p33; VKM-SRC-025 p34; VKM-SRC-011 p95,VKM_REGIONAL; BKPRU4,NOT_APPLICABLE,"стадия-синтез (scale NOT_APPLICABLE: стадия, не величина); scope — объединение scope записей (D-17); ANALOGUE-стадии не переносятся на СКРУ-1 без явного статуса",EV-VN-S014-0806
18,P10,physical,Подготовка: проходка подготовительных выработок (панельные/блоковые штреки),Проходка по паспортам (удаление «коржей» или защитная пачка); анкерная крепь; стадии: активная → стабилизация,"паспорт проходки, геологический разрез",выработки с определённым положением кровли,"проходческие бригады, маркшейдер",дни–недели на выработку; устойчивость — месяцы–годы,общие,DEVELOPMENT,VKM-SRC-037; VKM-SRC-040,EV-VN-S037-0599; EV-VN-S040-0447; EV-VN-S037-1203,FACT,HIGH,VKM-SRC-037 p94; VKM-SRC-040 p142; VKM-SRC-037 p219,VKM_REGIONAL,NOT_APPLICABLE,"стадия-синтез (scale NOT_APPLICABLE: стадия, не величина); scope — объединение scope записей (D-17); ANALOGUE-стадии не переносятся на СКРУ-1 без явного статуса",EV-VN-S037-0599
19,P11,physical,"Очистная выемка: камерная система с ленточными целиками (комбайновые ходы, БВР)",Камера = последовательность ходов (зарубка → проходка → отгон); высота камеры дискретна (типоразмер комбайна); фактический контур ≠ контакты пласта,"паспорт выемки, маркшейдерские направления, тип комбайна","пустоты камер, междукамерные целики, руда","добычные бригады, участковый маркшейдер","смены на ход; десятки смен на камеру (14,6–22 смены на камеру 200 м в примерах); месяцы на блок",механизированная выемка карналлита (пласт В) только на СКРУ-1,EXTRACTION_START; EXTRACTION_PERIOD; EXTRACTION_END,VKM-SRC-020; VKM-SRC-026; VKM-SRC-028; VKM-SRC-037,EV-VN-S020-0221; EV-VN-S020-0385; EV-VN-S026-0061; EV-VN-S028-0100; EV-VN-S037-0825; EV-VN-S037-1180; EV-VN-S026-0105,FACT,HIGH,VKM-SRC-020 p72; VKM-SRC-020 p212; VKM-SRC-026 p12; VKM-SRC-028 p37; VKM-SRC-037 p137; VKM-SRC-037 p190; VKM-SRC-026 p21,VKM_REGIONAL; SKRU1,NOT_APPLICABLE,"стадия-синтез (scale NOT_APPLICABLE: стадия, не величина); scope — объединение scope записей (D-17); ANALOGUE-стадии не переносятся на СКРУ-1 без явного статуса",EV-VN-S026-0061
20,P12,physical,Многопластовая последовательность (Вс/АБ/КрII/В; соосность; опережение),"СКРУ-1: камеры сильвинитовых пластов соосно, АБ с опережением ≥50 м над КрII; прямой/обратный порядок; жизненный цикл выработки T1→T2→T3 между приходами фронтов","план горных работ, мощности, междупластья",система пустот и целиков по нескольким пластам,"рудник, проектировщик","0,1–несколько лет между фронтами",типовая трёхпластовая схема СКРУ-1 (пример); у м/ш целиков СКРУ-1–СКРУ-2 выемка 1974–1986+,EXTRACTION_*,VKM-SRC-014; VKM-SRC-037; VKM-SRC-012,EV-VN-S014-0837; EV-VN-S014-1026; EV-VN-S037-0269; EV-VN-S037-0687; EV-VN-S012-0522,FACT,HIGH,VKM-SRC-014 p115; VKM-SRC-014 p177; VKM-SRC-037 p31; VKM-SRC-037 p109; VKM-SRC-012 p99,SKRU1; VKM_REGIONAL; SOLIKAMSK_GROUP,NOT_APPLICABLE,"стадия-синтез (scale NOT_APPLICABLE: стадия, не величина); scope — объединение scope записей (D-17); ANALOGUE-стадии не переносятся на СКРУ-1 без явного статуса",EV-VN-S014-0837
21,P13,physical,Нагружение камерно-целиковой системы,После выемки МКЦ воспринимают вес толщи; нагрузка растёт по мере удаления фронта; степень нагружения C,"a, b, H, γ, состав целика","напряжения в целиках, режим мульды",—,сутки–годы,"корреляция зональных оседаний 2022 с C (≈0,5) в ВКР",(состояние),VKM-SRC-037; VKM-SRC-031; VKM-SRC-023,EV-VN-S037-0990; EV-VN-S031-0027; EV-VN-S023-0352,FACT,HIGH,VKM-SRC-037 p166; VKM-SRC-031 p4; VKM-SRC-023 p63,VKM_REGIONAL; SKRU1,NOT_APPLICABLE,"стадия-синтез (scale NOT_APPLICABLE: стадия, не величина); scope — объединение scope записей (D-17); ANALOGUE-стадии не переносятся на СКРУ-1 без явного статуса",EV-VN-S037-0990
22,P14,physical,"Закладка выработанного пространства (сухая, гидравлическая), размещение шламов","Закладка отстаёт от выемки: на СКПРУ-2 традиционно на 10–20 лет, при совмещённой технологии ≤2 лет (SRC-037 §3.18); на СКРУ-1 по таблице зон предприятия — от совпадающих интервалов до многих десятилетий (SRC-023 рис. 17); общего правила нет; неполное заполнение (Кз≈0,75; зазор у кровли 0,2–1,0 м); шламовые камеры (КБС)","солеотходы, шламы, рассол, камеры","частично заполненные камеры, технологические рассолы","закладочный участок, обогатительная фабрика",смены–месяцы на камеру; задержка лет–десятилетий,"годы закладки по 14 строкам таблицы зон предприятия (11 пар блок–зона): 1978–2017, у части строк второй интервал обрезан («2[...]»); строка-пример рис. 19 (1943–1944) к зоне не привязана (CHRONOLOGY-001); полигоны на 01.10.2022 (данные предприятия в ВКР); рост затрат на закладку с 1985",BACKFILL_START; BACKFILL_END; BACKFILL_PERIOD,VKM-SRC-037; VKM-SRC-014; VKM-SRC-012; VKM-SRC-019; VKM-SRC-023,EV-VN-S037-0461; EV-VN-S037-1051; EV-VN-S014-0907; EV-VN-S012-0177; EV-VN-S019-0046; EV-VN-S023-0392; EV-VN-S037-0765; EV-VN-S023-0251; EV-VN-S023-0267,FACT,HIGH,VKM-SRC-037 p66; VKM-SRC-037 p185; VKM-SRC-014 p139; VKM-SRC-012 p34; VKM-SRC-019 p1; VKM-SRC-023 p74; VKM-SRC-037 p129; VKM-SRC-023 p43,SKRU2; VKM_REGIONAL; SKRU1,NOT_APPLICABLE,"стадия-синтез (scale NOT_APPLICABLE: стадия, не величина); scope — объединение scope записей (D-17); ANALOGUE-стадии не переносятся на СКРУ-1 без явного статуса; CHRONOLOGY-011: отставание 10–20 / ≤2 лет относится к СКПРУ-2 (§3.18), для СКРУ-1 — интервалы таблицы зон (напр. 1934–1935 → 2016–2017; 1989–1991 → 1989–1991)",EV-VN-S037-0461
23,P15,physical,Изоляция отработанных панелей; изменение вентиляционной сети,Отработанные панели изолируются перемычками; ввод/закрытие фиксируется в ПЛА (≤1 сут),отработанная панель,изолированная система пустот,"рудник, ВГСЧ",после отработки панели,нет данных,OTHER,VKM-SRC-026; VKM-SRC-020,EV-VN-S026-0147; EV-VN-S020-0457,FACT,HIGH,VKM-SRC-026 p31; VKM-SRC-020 p266,VKM_REGIONAL,NOT_APPLICABLE,"стадия-синтез (scale NOT_APPLICABLE: стадия, не величина); scope — объединение scope записей (D-17); ANALOGUE-стадии не переносятся на СКРУ-1 без явного статуса",EV-VN-S026-0147
24,P16,physical,"Долговременная эволюция массива: ползучесть целиков, разрушение приконтурной зоны, влажностная «кожа», межпластовые обрушения",Установившаяся ползучесть МКЦ; при ~5 % продольной деформации — критическое состояние; разрушение ободка целика со временем; межпластье и целик взаимосвязаны,"нагрузка, реология соли, геометрия, влажность","укорочение целиков, конвергенция, передача на толщу",—,годы–десятилетия,нет прямых наблюдений на СКРУ-1,(процесс),VKM-SRC-034; VKM-SRC-036; VKM-SRC-040; VKM-SRC-025,EV-VN-S034-0043; EV-VN-S036-0008; EV-VN-S040-0446; EV-VN-S025-0836; EV-VN-S025-0719,FACT,HIGH,VKM-SRC-034 p2; VKM-SRC-036 p1; VKM-SRC-040 p141; VKM-SRC-025 p152; VKM-SRC-025 p121,VKM_REGIONAL; GENERAL_METHOD; SKRU3,NOT_APPLICABLE,"стадия-синтез (scale NOT_APPLICABLE: стадия, не величина); scope — объединение scope записей (D-17); ANALOGUE-стадии не переносятся на СКРУ-1 без явного статуса",EV-VN-S034-0043
25,P17,physical,Деградация ВЗТ и развитие трещин в подработанной толще,Система трещин в ВЗТ формируется в течение всего процесса сдвижения и может развиваться через многие десятилетия после отработки; нормативный горизонт >150 лет,"сдвижение, ползучесть, разломы",зоны нарушения сплошности ВЗТ,—,десятилетия (>150 лет по нормативу),нет данных,(процесс),VKM-SRC-016; VKM-SRC-023,EV-VN-S016-0018; EV-VN-S023-0037,FACT,HIGH,VKM-SRC-016 p3; VKM-SRC-023 p13,VKM_REGIONAL; GENERAL_METHOD,NOT_APPLICABLE,"стадия-синтез (scale NOT_APPLICABLE: стадия, не величина); scope — объединение scope записей (D-17); ANALOGUE-стадии не переносятся на СКРУ-1 без явного статуса",EV-VN-S016-0018
26,P18,physical,Отклик поверхности: прогиб → формирование мульды → полная подработка → конечное оседание; ускорения и затухание,"Мульда с постоянными, временными, движущимися краевыми частями; оседания над целиками растут десятилетиями без стабилизации; эпизодические ускорения","геометрия выемки, C, закладка, время","u_z(x,y,t), наклоны, кривизна, ε",—,месяцы–десятилетия,"линия 12 (блок 201): рост 1992→2010 без стабилизации; у м/ш целика СКРУ-1–СКРУ-2 со стороны СКРУ-2 — 1,2–2,7 м к 2020 (в зоне целика по линии 7 — от ≈0,1 м у реп. 0–1 до ≈0,4–0,5 м у внутренней границы целика, VCHK-ML-07; значения стороны СКРУ-2 — SKRU2, не СКРУ-1)",(состояние; наблюдается модальностями),VKM-SRC-037; VKM-SRC-012; VKM-SRC-011,EV-VN-S037-0991; EV-VN-S012-0245; EV-VN-S011-2657; EV-VN-S012-0564,FACT,HIGH,VKM-SRC-037 p169; VKM-SRC-012 p52; VKM-SRC-011 p130; VKM-SRC-012 p104,VKM_REGIONAL; SKRU2; SOLIKAMSK_GROUP,NOT_APPLICABLE,"стадия-синтез (scale NOT_APPLICABLE: стадия, не величина); scope — объединение scope записей (D-17); ANALOGUE-стадии не переносятся на СКРУ-1 без явного статуса",EV-VN-S037-0991
27,P19,physical,"Динамические события: ГДЯ, обрушения кровли, разрушение целиков, наведённые землетрясения","ГДЯ на выбросоопасных пластах; массовое обрушение на СКРУ-2 (05.01.1995, Ms 4,2; оседание 4,5 м; мульда 650×850 м); динамическое разрушение целиков при «мягкой» системе нагружения","газоносность, нагрузка, жёсткость системы","обрушения, провалы, сейсмические события",—,мгновенно; предвестники месяцы,ГДЯ на Кр-II 1987 (1092 т); провал 1995 у целика СКРУ-1–СКРУ-2 (сторона СКРУ-2),DYNAMIC_EVENT; COLLAPSE; PILLAR_FAILURE; ROOF_FALL,VKM-SRC-012; VKM-SRC-037; VKM-SRC-025,EV-VN-S012-0166; EV-VN-S037-0514; EV-VN-S025-1151; EV-VN-S012-0600,FACT,HIGH,VKM-SRC-012 p33; VKM-SRC-037 p81; VKM-SRC-025 p181; VKM-SRC-012 p113,SKRU2; VKM_REGIONAL; SKRU1,NOT_APPLICABLE,"стадия-синтез (scale NOT_APPLICABLE: стадия, не величина); scope — объединение scope записей (D-17); ANALOGUE-стадии не переносятся на СКРУ-1 без явного статуса",EV-VN-S012-0166
28,P20,physical,"Прорыв вод, затопление, провалы (аварийная ветвь)","Нарушение ВЗТ → приток рассолов (недели) → неконтролируемое затопление → провал (~9–10 мес) → растворение целиков, ускоренные оседания (БКПРУ-3 1986; БКПРУ-1 2006); СКРУ-2 провал 2014",нарушение ВЗТ,"затопленный рудник, провалы, потеря запасов, ущерб застройке","Уралкалий, научные организации",недели → месяцы → годы/десятилетия,СКРУ-1 не затоплен (по корпусу); влияние прорыва СКРУ-2 2014 на район СКРУ-1 — UNKNOWN,WATER_INFLOW; FLOODING; COLLAPSE,VKM-SRC-025; VKM-SRC-040; VKM-SRC-038; VKM-SRC-003,EV-VN-S025-0212; EV-VN-S040-0104; EV-VN-S038-0041; EV-VN-S003-0148; EV-VN-S040-0125,FACT,HIGH,VKM-SRC-025 p19; VKM-SRC-040 p36; VKM-SRC-038 p1; VKM-SRC-003 p31,OTHER_VKM_SITE; VKM_REGIONAL; BKPRU1; SKRU2,NOT_APPLICABLE,"стадия-синтез (scale NOT_APPLICABLE: стадия, не величина); scope — объединение scope записей (D-17); ANALOGUE-стадии не переносятся на СКРУ-1 без явного статуса",EV-VN-S025-0212
29,P21,physical,"Защитные мероприятия и вмешательства (закладка-вмешательство, зоны смягчения, «мокрая» ликвидация)","По результатам зонирования: закладка, смягчение, периодичность осмотров, вплоть до контролируемого затопления части поля","зонирование, мониторинг",изменённая динамика оседаний,"Уралкалий, ГИ УрО РАН",годы,нет данных,BACKFILL_*; FLOODING; HYDRO_REGIME_CHANGE,VKM-SRC-021; VKM-SRC-034,EV-VN-S021-0047; EV-VN-S021-0048; EV-VN-S034-0043,FACT,HIGH,VKM-SRC-021 p5; VKM-SRC-034 p2,VKM_REGIONAL,NOT_APPLICABLE,"стадия-синтез (scale NOT_APPLICABLE: стадия, не величина); scope — объединение scope записей (D-17); ANALOGUE-стадии не переносятся на СКРУ-1 без явного статуса",EV-VN-S021-0048
