vn_id,kind,source_id,pdf_page,locator_extra,in_merged,model_ids,disposition,reason
EV-VN-S003-0338,formula,VKM-SRC-003,89,формула (4.16),True,MM-SUBS-001,MAPPED,
EV-VN-S003-0346,subsidence_method,VKM-SRC-003,88,"§4.2.2, (4.11)-(4.16), табл. 4.1-4.2",True,MM-SUBS-001,MAPPED,
EV-VN-S003-0348,subsidence_method,VKM-SRC-003,90,§4.2.3,True,MM-INSAR-012,MAPPED,
EV-VN-S003-0366,subsidence_method,VKM-SRC-003,96,§4.2.6,True,MM-INV-002,MAPPED,
EV-VN-S003-0373,formula,VKM-SRC-003,101,"формула (5.1), рис. 5.2",True,MM-INSAR-025,MAPPED,
EV-VN-S003-0379,formula,VKM-SRC-003,105,"формула (5.2), §5.2.2",True,MM-INSAR-025,MAPPED,
EV-VN-S003-0386,formula,VKM-SRC-003,108,"§5.3, угол подвижки",True,MM-INV-001,MAPPED,
EV-VN-S003-0387,formula,VKM-SRC-003,109,формула (5.3),True,MM-INV-001,MAPPED,
EV-VN-S004-0015,formula,VKM-SRC-004,3,формула (1),True,MM-INSAR-001,MAPPED,
EV-VN-S004-0038,formula,VKM-SRC-004,7,"p.7 (formula stated verbally, no number)",True,MM-INSAR-014,MAPPED,
EV-VN-S004-0062,formula,VKM-SRC-004,13,p.13 (unnumbered),True,MM-INSAR-017,MAPPED,
EV-VN-S005-0008,subsidence_method,VKM-SRC-005,2,§Методические положения расчетов; refs [4-8],True,MM-GEOMECH-001,MAPPED,
EV-VN-S006-0069,formula,VKM-SRC-006,30,"§3.2, с. 30, Рис. 3.1",True,MM-STAT-001,MAPPED,
EV-VN-S006-0073,formula,VKM-SRC-006,31,"§3.2, с. 31",True,MM-STAT-001,MAPPED,
EV-VN-S006-0075,formula,VKM-SRC-006,32,"§3.2, с. 32",True,MM-STAT-001,MAPPED,
EV-VN-S006-0076,formula,VKM-SRC-006,32,"§3.2, с. 32",True,MM-STAT-002,MAPPED,
EV-VN-S006-0077,formula,VKM-SRC-006,32,"§3.2, с. 32",True,MM-STAT-002,MAPPED,
EV-VN-S006-0085,formula,VKM-SRC-006,36,"§3.2, с. 36",True,MM-STAT-003,MAPPED,
EV-VN-S006-0091,formula,VKM-SRC-006,38,"§3.3, с. 38-39",True,MM-STAT-004,MAPPED,
EV-VN-S006-0146,engineering_rule,VKM-SRC-006,61,§5.3,True,MM-GEODYN-001,MAPPED,
EV-VN-S006-0162,formula,VKM-SRC-006,68,§6.1 p.68,True,MM-RS-001,MAPPED,
EV-VN-S006-0163,formula,VKM-SRC-006,68,§6.1 p.68,True,MM-RS-001,MAPPED,
EV-VN-S006-0166,formula,VKM-SRC-006,71,§6.2 p.71,True,MM-RS-002,MAPPED,
EV-VN-S006-0167,formula,VKM-SRC-006,71,§6.2 p.71,True,MM-RS-002,MAPPED,
EV-VN-S006-0176,engineering_rule,VKM-SRC-006,74,§6.3 p.74,True,,EXCLUDED,NO_EQUATION: буфер ≥100 м при дешифрировании карста — правило интерпретации
EV-VN-S007-0019,formula,VKM-SRC-007,5,Рис. 2 (DInSAR concept) [22],True,MM-INSAR-001;MM-INSAR-002,MAPPED,
EV-VN-S007-0020,subsidence_method,VKM-SRC-007,6,"Рис. 3, Рис. 4 (блок-схема), Рис. 5 (SNAP graphs)",True,MM-INSAR-023,MAPPED,
EV-VN-S008-0004,subsidence_method,VKM-SRC-008,2,Рис. 1 Этапы интерферометрической обработки снимков,True,MM-INSAR-024,MAPPED,
EV-VN-S009-0015,subsidence_method,VKM-SRC-009,3,Рис. 2 Блок-схема обработки в ENVI+SARscape; §1–8,True,MM-INSAR-026;MM-INSAR-027,MAPPED,
EV-VN-S009-0019,formula,VKM-SRC-009,4,§3 Генерация интерферограммы; Рис. 5,True,MM-INSAR-002,MAPPED,
EV-VN-S009-0023,formula,VKM-SRC-009,4,§8 Преобразование фазы в смещения,True,MM-INSAR-026,MAPPED,
EV-VN-S009-0030,subsidence_method,VKM-SRC-009,5,Рис. 4 Технология построения ЦМР,True,MM-INSAR-027,MAPPED,
EV-VN-S010-0004,formula,VKM-SRC-010,2,Принцип радарной интерферометрии (verbal),True,MM-INSAR-002,MAPPED,
EV-VN-S010-0007,subsidence_method,VKM-SRC-010,3,"Методы DInSAR, SBaS, PS",True,MM-INSAR-028,MAPPED,
EV-VN-S010-0016,formula,VKM-SRC-010,7,Рис. 7 Общая схема расчета температуры поверхности по данным Landsat-8,True,MM-THERM-001,MAPPED,
EV-VN-S011-0238,engineering_rule,VKM-SRC-011,13,§1.2 литологические карты,True,,EXCLUDED,CLASSIFICATION_THRESHOLD (KCl ≥18% / 5–18%) без уравнения → каталог литологии (поток геологии)
EV-VN-S011-0239,formula,VKM-SRC-011,13,§1.2 (без номера),True,MM-GEOL-001,MAPPED,
EV-VN-S011-0384,engineering_rule,VKM-SRC-011,24,§1.3.3 термины,True,,EXCLUDED,"DEFINITIONS (РФСД, ТДР, ДРК) — терминология, не модель"
EV-VN-S011-0517,formula,VKM-SRC-011,28,"текст с.55, формула без номера; [339]",True,MM-GEOL-002,MAPPED,
EV-VN-S011-0521,engineering_rule,VKM-SRC-011,29,текст с.57; табл. 1.13,True,MM-GEOL-003,MAPPED,
EV-VN-S011-0538,engineering_rule,VKM-SRC-011,30,текст с.58-59; [335],True,,EXCLUDED,CLASSIFICATION rule (достоверность разломов ОД/П/М по числу методов) — не уравнение
EV-VN-S011-1069,formula,VKM-SRC-011,56,стр. 110,True,MM-STAT-006,MAPPED,
EV-VN-S011-1078,formula,VKM-SRC-011,57,Табл. 2.7,True,MM-GEOL-004,MAPPED,
EV-VN-S011-1079,formula,VKM-SRC-011,57,Табл. 2.7,True,MM-GEOL-004,MAPPED,
EV-VN-S011-1080,formula,VKM-SRC-011,57,Табл. 2.7,True,MM-GEOL-004,MAPPED,
EV-VN-S011-1081,formula,VKM-SRC-011,57,Табл. 2.7,True,MM-GEOL-004,MAPPED,
EV-VN-S011-1082,formula,VKM-SRC-011,57,Табл. 2.7,True,MM-GEOL-004,MAPPED,
EV-VN-S011-1083,formula,VKM-SRC-011,57,Табл. 2.7,True,MM-GEOL-004,MAPPED,
EV-VN-S011-1084,formula,VKM-SRC-011,57,Табл. 2.7,True,MM-GEOL-004,MAPPED,
EV-VN-S011-1396,formula,VKM-SRC-011,66,стр. 131,True,MM-STAT-007,MAPPED,
EV-VN-S011-1482,formula,VKM-SRC-011,73,с.145 (бром-хлорный коэффициент),True,MM-GEOCHEM-001,MAPPED,
EV-VN-S011-1537,engineering_rule,VKM-SRC-011,78,Рис. 2.95,True,,EXCLUDED,NO_EQUATION: контур предохранительного целика скважины без размеров
EV-VN-S011-1546,formula,VKM-SRC-011,79,"с.157, формула [205]",True,MM-GEOCHEM-002,MAPPED,
EV-VN-S011-1549,formula,VKM-SRC-011,80,"с.158, формула [205]",True,MM-GEOCHEM-002,MAPPED,
EV-VN-S011-1567,formula,VKM-SRC-011,82,с.162-163 (статистика латеральной изменчивости),True,MM-STAT-008,MAPPED,
EV-VN-S011-1632,formula,VKM-SRC-011,90,"Табл. 2.45, примечание",True,MM-GEOCHEM-003,MAPPED,
EV-VN-S011-1634,formula,VKM-SRC-011,91,"Табл. 2.47, примечание",True,MM-GEOCHEM-004,MAPPED,
EV-VN-S011-1665,formula,VKM-SRC-011,96,"Табл. 2.57, примечание",True,MM-GEOCHEM-004,MAPPED,
EV-VN-S011-1717,formula,VKM-SRC-011,101,p.201,True,MM-HYDRO-002,MAPPED,
EV-VN-S011-1718,formula,VKM-SRC-011,101,p.201,True,MM-HYDRO-001,MAPPED,
EV-VN-S011-1747,formula,VKM-SRC-011,106,"§3.4, p.210",True,MM-HYDRO-003,MAPPED,
EV-VN-S011-1773,formula,VKM-SRC-011,109,p.216,True,MM-THERM-002,MAPPED,
EV-VN-S011-1776,formula,VKM-SRC-011,109,p.216,True,MM-THERM-002,MAPPED,
EV-VN-S011-1983,rheology_law,VKM-SRC-011,115,"§3.6, p.228-229, [242, 359]",True,MM-CREEP-007,MAPPED,
EV-VN-S011-1986,formula,VKM-SRC-011,116,"§3.6, p.230",True,MM-GEOL-005,MAPPED,
EV-VN-S011-2012,formula,VKM-SRC-011,118,"§3.8, p.234",True,MM-FRAC-001,MAPPED,
EV-VN-S011-2013,subsidence_method,VKM-SRC-011,118,"§3.8, p.234-236, Рис. 3.16, 3.18",True,MM-FRAC-002,MAPPED,
EV-VN-S011-2038,formula,VKM-SRC-011,121,"Рис. 3.29а, текст стр. 240",True,MM-HYDRO-004,MAPPED,
EV-VN-S011-2039,formula,VKM-SRC-011,121,"формулы (3.1)-(3.5), Рис. 3.29б",True,MM-HYDRO-005,MAPPED,
EV-VN-S011-2040,formula,VKM-SRC-011,121,формулы (3.6)-(3.8),True,MM-HYDRO-005,MAPPED,
EV-VN-S011-2041,formula,VKM-SRC-011,121,"формулы (3.9),(3.10)",True,MM-HYDRO-005,MAPPED,
EV-VN-S011-2049,formula,VKM-SRC-011,123,"стр. 244, табл. 3.5-3.7",True,MM-GEOCHEM-005,MAPPED,
EV-VN-S011-2068,engineering_rule,VKM-SRC-011,128,"стр. 254, п.1",True,,EXCLUDED,QUALITATIVE: оценка ВЗТ как интегрального фактора — без уравнения
EV-VN-S011-2070,engineering_rule,VKM-SRC-011,128,стр. 254 пп. 5-10,True,,EXCLUDED,QUALITATIVE: факторы устойчивости междупластий — без уравнения
EV-VN-S011-2073,engineering_rule,VKM-SRC-011,128,стр. 255,True,,EXCLUDED,QUALITATIVE classification of ВЗТ structure (Методические рекомендации 2008) — без уравнения
EV-VN-S011-2077,formula,VKM-SRC-011,129,стр. 256; Рис. 4.3,True,MM-GEOL-006,MAPPED,
EV-VN-S011-2078,formula,VKM-SRC-011,129,стр. 257,True,MM-ROOF-001,MAPPED,
EV-VN-S011-2079,formula,VKM-SRC-011,129,стр. 257,True,MM-ROOF-001,MAPPED,
EV-VN-S011-2080,subsidence_method,VKM-SRC-011,129,"стр. 257; Рис. 4.4, 4.5",True,MM-GEOL-007,MAPPED,
EV-VN-S011-2083,formula,VKM-SRC-011,130,стр. 258,True,MM-ROOF-001,MAPPED,
EV-VN-S011-3955,rheology_law,VKM-SRC-011,183,English SUMMARY 3.6 Causes and mechanisms of salt stratum deformation; Russian pdf pp.115-116,True,MM-CREEP-007,MAPPED,
EV-VN-S012-0020,engineering_rule,VKM-SRC-012,13,§1.1,True,,EXCLUDED,NO_EQUATION: назначение междушахтных целиков (предохранительный характер)
EV-VN-S012-0021,engineering_rule,VKM-SRC-012,13,"§1.1, сноска 1",True,,EXCLUDED,NO_EQUATION: требование ФНиП п.211 (гидроизолированные участки)
EV-VN-S012-0024,subsidence_method,VKM-SRC-012,14,§1.1,True,MM-SUBS-013,MAPPED,
EV-VN-S012-0026,engineering_rule,VKM-SRC-012,14,§1.1,True,MM-SUBS-013,MAPPED,
EV-VN-S012-0029,formula,VKM-SRC-012,14,формула (1.1),True,MM-PROT-001,MAPPED,
EV-VN-S012-0031,formula,VKM-SRC-012,15,формула (1.2),True,MM-PROT-002,MAPPED,
EV-VN-S012-0032,engineering_rule,VKM-SRC-012,15,§1.1,True,MM-PROT-002,MAPPED,
EV-VN-S012-0035,engineering_rule,VKM-SRC-012,16,§1.1 (end),True,MM-PROT-002,MAPPED,
EV-VN-S012-0039,formula,VKM-SRC-012,17,формула (1.3),True,MM-CREEP-101,MAPPED,
EV-VN-S012-0040,rheology_law,VKM-SRC-012,18,формулы (1.3)-(1.5),True,MM-CREEP-101;MM-CREEP-102,MAPPED,
EV-VN-S012-0041,formula,VKM-SRC-012,18,формула (1.4),True,MM-CREEP-102,MAPPED,
EV-VN-S012-0042,formula,VKM-SRC-012,18,формула (1.5),True,MM-CREEP-102,MAPPED,
EV-VN-S012-0046,rheology_law,VKM-SRC-012,19,"§1.2, нормативная методика [69]",True,MM-CREEP-102,MAPPED,
EV-VN-S012-0047,engineering_rule,VKM-SRC-012,19,"§1.2, нормативная методика [69]",True,MM-FRAC-003,MAPPED,
EV-VN-S012-0048,formula,VKM-SRC-012,19,"§1.2, критерий трещинообразования [69]",True,MM-FRAC-003,MAPPED,
EV-VN-S012-0070,engineering_rule,VKM-SRC-012,27,§1.4.1,True,,EXCLUDED,NO_EQUATION: длительная прочность как основание нормативной степени нагружения (см. CL-02)
EV-VN-S012-0188,engineering_rule,VKM-SRC-012,38,§1.6 Выводы п.1,True,MM-PROT-002,MAPPED,
EV-VN-S012-0196,engineering_rule,VKM-SRC-012,41,§2.1,True,,EXCLUDED,"LAYOUT_RULE: схема опорных реперов (треугольник 50 м, 45–60 м) — геометрия сети наблюдений, не модель"
EV-VN-S012-0200,engineering_rule,VKM-SRC-012,41,§2.1 pp.41-42,True,MM-OBS-001,MAPPED,
EV-VN-S012-0256,subsidence_method,VKM-SRC-012,54,§2.4 pp.54-55,True,MM-SUBS-010,MAPPED,
EV-VN-S012-0257,engineering_rule,VKM-SRC-012,54,§2.4,True,MM-SUBS-013,MAPPED,
EV-VN-S012-0258,engineering_rule,VKM-SRC-012,54,§2.4,True,MM-SUBS-014,MAPPED,
EV-VN-S012-0259,formula,VKM-SRC-012,54,формула (2.1),True,MM-SUBS-011,MAPPED,
EV-VN-S012-0260,formula,VKM-SRC-012,54,формула (2.2) pp.54-55,True,MM-SUBS-011,MAPPED,
EV-VN-S012-0261,engineering_rule,VKM-SRC-012,55,§2.4 p.55,True,MM-SUBS-011,MAPPED,
EV-VN-S012-0262,formula,VKM-SRC-012,55,формула (2.3),True,MM-SUBS-012,MAPPED,
EV-VN-S012-0432,formula,VKM-SRC-012,76,формула (3.1),True,MM-ELAST-005,MAPPED,
EV-VN-S012-0446,formula,VKM-SRC-012,78,Рис. 3.13 (уравнение на графике),True,MM-PETRO-001,MAPPED,
EV-VN-S012-0449,formula,VKM-SRC-012,79,Рис. 3.14 (уравнение на графике),True,MM-PETRO-002,MAPPED,
EV-VN-S012-0454,formula,VKM-SRC-012,81,формула (3.2),True,MM-STR-001,MAPPED,
EV-VN-S012-0455,formula,VKM-SRC-012,81,формула (3.3),True,MM-STR-001,MAPPED,
EV-VN-S012-0505,subsidence_method,VKM-SRC-012,95,§4.1,True,MM-GEOMECH-002,MAPPED,
EV-VN-S012-0508,formula,VKM-SRC-012,95,формула (4.1),True,MM-STR-002,MAPPED,
EV-VN-S012-0509,formula,VKM-SRC-012,96,формула (4.2),True,MM-STR-002,MAPPED,
EV-VN-S012-0526,subsidence_method,VKM-SRC-012,99,§4.2,True,MM-SCALE-001,MAPPED,
EV-VN-S012-0576,engineering_rule,VKM-SRC-012,106,§4.2 p.106,True,,EXCLUDED,NO_EQUATION: своевременная закладка камер у целика
EV-VN-S012-0740,subsidence_method,VKM-SRC-012,109,§4.2–4.3 pp.99-113,True,MM-CREEP-008;MM-GEOMECH-002,MAPPED,
EV-VN-S014-0012,engineering_rule,VKM-SRC-014,7,Предисловие,True,,EXCLUDED,STATUS_FLAG: методики практикума учебные (учтено в notes всех моделей VKM-SRC-014)
EV-VN-S014-0214,engineering_rule,VKM-SRC-014,19,§1.3,True,,EXCLUDED,NO_EQUATION: схема тектонического районирования (РФСД)
EV-VN-S014-0301,engineering_rule,VKM-SRC-014,22,§1.4 ВЗТ,True,,EXCLUDED,DEFINITION: ВЗТ (не уравнение)
EV-VN-S014-0302,engineering_rule,VKM-SRC-014,22,§1.4 ВЗТ,True,,EXCLUDED,CLASSIFICATION: полнота разреза ВЗТ (не уравнение)
EV-VN-S014-0340,engineering_rule,VKM-SRC-014,28,§2.1,True,,EXCLUDED,NO_EQUATION: деление шахтного поля СКРУ-2 на гидроизолированные участки
EV-VN-S014-0346,engineering_rule,VKM-SRC-014,29,§2.1,True,,EXCLUDED,"NO_EQUATION: проходка стволов замораживанием, тюбинги"
EV-VN-S014-0394,formula,VKM-SRC-014,45,§2.4 (fan characteristic parameters),True,MM-VENT-001,MAPPED,
EV-VN-S014-0395,formula,VKM-SRC-014,46,"§2.4, формулы (2.1)-(2.2)",True,MM-VENT-001,MAPPED,
EV-VN-S014-0403,engineering_rule,VKM-SRC-014,52,§2.5,True,,EXCLUDED,NO_EQUATION: выбор жёстких/податливых целиков
EV-VN-S014-0411,engineering_rule,VKM-SRC-014,54,§2.5,True,,EXCLUDED,TECHNOLOGY_RULE: ширина/высота камер (Вк ≤ 10 м) — каталог горной технологии
EV-VN-S014-0415,engineering_rule,VKM-SRC-014,54,"§2.5, «Указания по защите рудников от затопления…»",True,,EXCLUDED,TECHNOLOGY_RULE: условия выбора параметров системы (опережение верхнего пласта ≥50 м) — каталог горной технологии
EV-VN-S014-0432,engineering_rule,VKM-SRC-014,59,§2.6,True,,EXCLUDED,TECHNOLOGY_RULE: анкерное крепление
EV-VN-S014-0545,engineering_rule,VKM-SRC-014,82,§3.1,True,,EXCLUDED,TECHNOLOGY_RULE: прямой порядок отработки СКРУ-1 (хронология)
EV-VN-S014-0577,engineering_rule,VKM-SRC-014,93,Рис. 3.10 legend,True,,EXCLUDED,NO_EQUATION: легенда карты аномальных зон
EV-VN-S014-0657,engineering_rule,VKM-SRC-014,102,"§3.4, Рис. 3.17",True,,EXCLUDED,TECHNOLOGY_RULE: бетонные перемычки с врубами
EV-VN-S014-0675,engineering_rule,VKM-SRC-014,106,§3.5,True,,EXCLUDED,TECHNOLOGY_RULE: порядок отработки блоков БКПРУ-4
EV-VN-S014-0677,engineering_rule,VKM-SRC-014,106,Рис. 3.21,True,,EXCLUDED,TECHNOLOGY_RULE: ≥2 м соли до маркирующей глины
EV-VN-S014-0803,engineering_rule,VKM-SRC-014,108,§3.6,True,,EXCLUDED,TECHNOLOGY_RULE: дренажные шпуры
EV-VN-S014-0817,engineering_rule,VKM-SRC-014,111,§3.7,True,,EXCLUDED,"DESIGN_VALUE: целик 60,8 м между КБС (параметр, не модель)"
EV-VN-S014-0826,engineering_rule,VKM-SRC-014,113,§4.1,True,,EXCLUDED,TECHNOLOGY_RULE: подрезка коржей СКРУ-1
EV-VN-S014-0827,engineering_rule,VKM-SRC-014,113,§4.1 (pp.113–115),True,,EXCLUDED,TECHNOLOGY_RULE: анкерное крепление СКРУ-1
EV-VN-S014-0835,engineering_rule,VKM-SRC-014,115,§4.2,True,,EXCLUDED,"TIME_WINDOW_RULE: выемка надработанного слоя Вк через 2–45 сут (хронология/технология, не уравнение)"
EV-VN-S014-0842,engineering_rule,VKM-SRC-014,116,§4.2 (pp.116–118),True,,EXCLUDED,TECHNOLOGY_RULE: геометрия торпедирования (неравенства по R_эф)
EV-VN-S014-0846,engineering_rule,VKM-SRC-014,118,Рис. 4.3,True,,EXCLUDED,TECHNOLOGY_RULE: конструкция заряда (неравенства длин)
EV-VN-S014-0847,formula,VKM-SRC-014,118,"формула (4.1), Рис. 4.4",True,MM-GASDYN-001,MAPPED,
EV-VN-S014-0856,engineering_rule,VKM-SRC-014,120,§4.2,True,MM-GASDYN-001,MAPPED,
EV-VN-S014-0857,formula,VKM-SRC-014,120,формула (4.2),True,MM-GASDYN-001,MAPPED,
EV-VN-S014-0860,engineering_rule,VKM-SRC-014,121,§4.2 (pp.120–121),True,,EXCLUDED,TECHNOLOGY_RULE: профилактическое взрывание (заряды)
EV-VN-S014-0861,engineering_rule,VKM-SRC-014,121,§4.2,True,,EXCLUDED,TIME_WINDOW_RULE: ≤70 сут между торпедированием и выемкой
EV-VN-S014-0863,engineering_rule,VKM-SRC-014,121,§4.2,True,,EXCLUDED,"TECHNOLOGY_RULE: подрубка кровли ≤0,3 м"
EV-VN-S014-0866,engineering_rule,VKM-SRC-014,122,§4.3 (pp.122–123),True,,EXCLUDED,TECHNOLOGY_RULE: подрезка коржей СКРУ-2
EV-VN-S014-0877,engineering_rule,VKM-SRC-014,129,Рис. 4.11 (сечения А–А),True,,EXCLUDED,TECHNOLOGY_RULE: дегазационные шпуры СКРУ-3
EV-VN-S014-0889,engineering_rule,VKM-SRC-014,132,Рис. 4.14,True,,EXCLUDED,"TECHNOLOGY_RULE: анкеры 1,5×1,5 м"
EV-VN-S014-0896,engineering_rule,VKM-SRC-014,135,§4.6,True,,EXCLUDED,TECHNOLOGY_RULE: условия крепления кровли БКПРУ-4
EV-VN-S014-0902,engineering_rule,VKM-SRC-014,139,§5.1,True,,EXCLUDED,"TECHNOLOGY_RULE: зазоры при механической закладке (≤1,0 м) — упомянуто в MM-BACKFILL-003"
EV-VN-S014-0935,formula,VKM-SRC-014,151,формула (6.1),True,MM-BACKFILL-001,MAPPED,
