constraint_id,domain,quantity,lower_bound,upper_bound,unit,allowed_values,basis_type,source_id,source_location,dependency,confidence,use_scope,status,notes
MUS-P5-RADAR-2011-2016-SIGNED-DISP,published_spatial_profile,signed_displacement_envelope,-284.7,-122.8,mm,,published_graph_digitization,SUP01,"geokniga-02obrabotka.pdf, p.15, profile 5, radar, 2011-2016","profile label, method, observation interval and printed categorical position order",medium,scenario_conditioning_and_stress_design_not_parameter_prior,SOURCE_ENVELOPE,Envelope of 24 readable digitized values; not a time series and not mapped to synthetic points.
MUS-P5-RADAR-2015-2016-SIGNED-DISP,published_spatial_profile,signed_displacement_envelope,-46,-21.9,mm,,published_graph_digitization,SUP01,"geokniga-02obrabotka.pdf, p.15, profile 5, radar, 2015-2016","profile label, method, observation interval and printed categorical position order",medium,scenario_conditioning_and_stress_design_not_parameter_prior,SOURCE_ENVELOPE,Envelope of 24 readable digitized values; not a time series and not mapped to synthetic points.
MUS-P6-LEVELING-2015-2016-SIGNED-DISP,published_spatial_profile,signed_displacement_envelope,-48.6,4.3,mm,,published_graph_digitization,SUP01,"geokniga-02obrabotka.pdf, p.15, profile 6, leveling, 2015-2016","profile label, method, observation interval and printed categorical position order",medium,scenario_conditioning_and_stress_design_not_parameter_prior,SOURCE_ENVELOPE,Envelope of 31 readable digitized values; not a time series and not mapped to synthetic points.
MUS-P6-RADAR-2015-2016-SIGNED-DISP,published_spatial_profile,signed_displacement_envelope,-51,-0.8,mm,,published_graph_digitization,SUP01,"geokniga-02obrabotka.pdf, p.15, profile 6, radar, 2015-2016","profile label, method, observation interval and printed categorical position order",medium,scenario_conditioning_and_stress_design_not_parameter_prior,SOURCE_ENVELOPE,Envelope of 31 readable digitized values; not a time series and not mapped to synthetic points.
MUS-P1-VISIBLE-DIGITIZATION,digitization_uncertainty,reading_envelope_half_width,3.6,3.6,mm,,explicit_digitization_envelope,SUP01,"geokniga-02obrabotka.pdf, p.15, profile 1",reading visibility class; applies only to the graph digitization,medium,digitization_sensitivity_only,READING_ENVELOPE,This is not field-measurement sigma and not a confidence interval.
MUS-P1-PARTIAL-DIGITIZATION,digitization_uncertainty,reading_envelope_half_width,9.6,9.6,mm,,explicit_digitization_envelope,SUP01,"geokniga-02obrabotka.pdf, p.15, profile 1",reading visibility class; applies only to the graph digitization,medium,digitization_sensitivity_only,READING_ENVELOPE,This is not field-measurement sigma and not a confidence interval.
MUS-P17-VISIBLE-DIGITIZATION,digitization_uncertainty,reading_envelope_half_width,1.8,1.8,mm,,explicit_digitization_envelope,SUP01,"geokniga-02obrabotka.pdf, p.15, profile 17",reading visibility class; applies only to the graph digitization,medium,digitization_sensitivity_only,READING_ENVELOPE,This is not field-measurement sigma and not a confidence interval.
MUS-P17-PARTIAL-DIGITIZATION,digitization_uncertainty,reading_envelope_half_width,4.8,4.8,mm,,explicit_digitization_envelope,SUP01,"geokniga-02obrabotka.pdf, p.15, profile 17",reading visibility class; applies only to the graph digitization,medium,digitization_sensitivity_only,READING_ENVELOPE,This is not field-measurement sigma and not a confidence interval.
MUS-P5-VISIBLE-DIGITIZATION,digitization_uncertainty,reading_envelope_half_width,3.1,3.1,mm,,explicit_digitization_envelope,SUP01,"geokniga-02obrabotka.pdf, p.15, profile 5",reading visibility class; applies only to the graph digitization,medium,digitization_sensitivity_only,READING_ENVELOPE,This is not field-measurement sigma and not a confidence interval.
MUS-P5-PARTIAL-DIGITIZATION,digitization_uncertainty,reading_envelope_half_width,8.4,8.4,mm,,explicit_digitization_envelope,SUP01,"geokniga-02obrabotka.pdf, p.15, profile 5",reading visibility class; applies only to the graph digitization,medium,digitization_sensitivity_only,READING_ENVELOPE,This is not field-measurement sigma and not a confidence interval.
MUS-P6-VISIBLE-DIGITIZATION,digitization_uncertainty,reading_envelope_half_width,0.5,0.5,mm,,explicit_digitization_envelope,SUP01,"geokniga-02obrabotka.pdf, p.15, profile 6",reading visibility class; applies only to the graph digitization,medium,digitization_sensitivity_only,READING_ENVELOPE,This is not field-measurement sigma and not a confidence interval.
MUS-P6-PARTIAL-DIGITIZATION,digitization_uncertainty,reading_envelope_half_width,1.3,1.3,mm,,explicit_digitization_envelope,SUP01,"geokniga-02obrabotka.pdf, p.15, profile 6",reading visibility class; applies only to the graph digitization,medium,digitization_sensitivity_only,READING_ENVELOPE,This is not field-measurement sigma and not a confidence interval.
FIL-DISP_MIN-ENVELOPE,published_subsidence_statistics,published_zonal_minimum_envelope,100.001,141.391,mm,,published_table_transcription,ВКР_Филатова_М_С.docx,Рисунок 18; eight transcribed zonal-statistics rows,published zone aggregation and original displacement sign convention,high_transcription_low_transfer,scenario_scale_sensitivity_not_direct_calibration,SOURCE_ENVELOPE,Positive published magnitudes are preserved; no sign conversion or spatial transfer is inferred.
FIL-DISP_MEAN-ENVELOPE,published_subsidence_statistics,published_zonal_mean_envelope,170.135,284.252,mm,,published_table_transcription,ВКР_Филатова_М_С.docx,Рисунок 18; eight transcribed zonal-statistics rows,published zone aggregation and original displacement sign convention,high_transcription_low_transfer,scenario_scale_sensitivity_not_direct_calibration,SOURCE_ENVELOPE,Positive published magnitudes are preserved; no sign conversion or spatial transfer is inferred.
FIL-DISP_MAX-ENVELOPE,published_subsidence_statistics,published_zonal_maximum_envelope,281.119,600.284,mm,,published_table_transcription,ВКР_Филатова_М_С.docx,Рисунок 18; eight transcribed zonal-statistics rows,published zone aggregation and original displacement sign convention,high_transcription_low_transfer,scenario_scale_sensitivity_not_direct_calibration,SOURCE_ENVELOPE,Positive published magnitudes are preserved; no sign conversion or spatial transfer is inferred.
FIL-FIG13B-CLOSED-REGIONS,published_plan_topology,nominal_closed_region_count,538,538,regions,,published_figure_segmentation,ВКР_Филатова_М_С.docx,"Рисунок 13б, red plan overlay","source raster crop, red-color threshold and closed-component rule",high_internal_low_geodetic,spatial_topology_stress_design_only,RECONSTRUCTED_TOPOLOGY,13 of 538 regions are threshold-sensitive; coordinates are pixels.
FIL-OVERVIEW-HORIZONTAL-UNCERTAINTY,georeferencing_context,estimated_horizontal_uncertainty,260,260,m,,context_estimate,OVERVIEW-01,Figure 13 OSM screenshot plus public SKRU-1/Gorodishche context points,unofficial context alignment; official coordinate key and control points absent,low,visual_context_only_not_engineering,CONTEXT_ONLY,Must not be used as an engineering georeferencing accuracy claim.
SIM-TEMPORAL-MECHANISM,temporal_dynamics,mechanism_family,,,categorical,uniform; creep_decay; saturating_acceleration; reactivation; moving_spatial_focus,explicit_design_assumption,ASSUMPTION-RESEARCH-DIRECTION,"docs/governance/RESEARCH_DIRECTION_RU.md, sections 8-9",mechanism parameters must be frozen before the concluding evaluation,not_applicable_design_choice,scenario_protocol_design,TO_BE_FROZEN,Required diversity from RESEARCH_DIRECTION_RU; no numeric range is inferred from one spatial profile.
SIM-MISSINGNESS-MECHANISM,observation_process,missingness_family,,,categorical,independent; long_gap; state_dependent; planned_campaign_failure,explicit_design_assumption,ASSUMPTION-RESEARCH-DIRECTION,"docs/governance/RESEARCH_DIRECTION_RU.md, sections 8-9",next planned campaign remains the target even when its result is missing,not_applicable_design_choice,scenario_protocol_design,TO_BE_FROZEN,Missingness is generated separately from the physical surface.
SIM-MEASUREMENT-ERROR,observation_process,measurement_error_model,,,categorical,ordinary_noise; gross_error; reference_datum_failure,explicit_design_assumption,ASSUMPTION-RESEARCH-DIRECTION,"docs/governance/RESEARCH_DIRECTION_RU.md, sections 8-9",must not be encoded as physical acceleration,not_applicable_design_choice,scenario_protocol_design,TO_BE_FROZEN,Numeric noise levels remain unsupported until a separate source-backed rule is frozen.
SIM-SENSOR-FUSION,sensor_model,shared_latent_surface_requirement,,,categorical,leveling_only; shared_surface_with_sensor_specific_operators,explicit_design_assumption,ASSUMPTION-RESEARCH-DIRECTION,"docs/governance/RESEARCH_DIRECTION_RU.md, sections 8-9",GNSS/InSAR may be included only when all sensors observe one latent displacement field,not_applicable_design_choice,scenario_protocol_design,TO_BE_FROZEN,The minimum diploma experiment may remain leveling-only.
