sample_id,point_id,profile_id,current_campaign_id,current_date,target_campaign_id,target_date,split,forecast_horizon_days,observed_next_increment_mm,observed_next_rate_mm_y,hidden_true_next_increment_mm,hidden_true_next_rate_mm_y,target_sigma_increment_mm,target_sigma_rate_mm_y
P-D01-W002::C023::C024,P-D01-W002,P-D01,C023,2024-01-30,C024,2024-05-14,validation,105,11.2031011,38.97078739785714,9.721507088,33.8169568,1.018745611669042,3.5437793777344537
P-D01-W002::C024::C026,P-D01-W002,P-D01,C024,2024-05-14,C026,2024-09-03,validation,112,9.428406871,30.747550086006697,10.08973803,32.90425727,1.5070733891814536,4.914808530343982
P-D01-W002::C026::C027,P-D01-W002,P-D01,C026,2024-09-03,C027,2025-07-22,test,322,30.13547995,34.183180284899066,29.54812545,33.51693422,1.5162012831421514,1.7198525424461826
P-D01-W002::C027::C029,P-D01-W002,P-D01,C027,2025-07-22,C029,2025-11-04,test,105,7.308154554,25.42193762712857,9.033331252,31.423088,1.1674786230083678,4.061157781464822
P-D01-W003::C005::C007,P-D01-W003,P-D01,C005,2019-05-14,C007,2019-11-05,train,175,2.027782818,4.232272424425714,2.191957607,4.574928662,1.1328811837233133,2.364484870599658
P-D01-W003::C007::C008,P-D01-W003,P-D01,C007,2019-11-05,C008,2020-04-21,train,168,-0.1724449442,-0.3749137849348214,1.169759295,2.543182038,1.485433670885243,3.229491954112113
P-D01-W003::C008::C010,P-D01-W003,P-D01,C008,2020-04-21,C010,2020-10-20,train,182,2.747600644,5.514072171543956,1.644308066,3.299909457,1.4216218998852,2.853007686445436
P-D01-W003::C010::C012,P-D01-W003,P-D01,C010,2020-10-20,C012,2021-05-18,train,210,0.8194340937,1.4252300129710713,1.06570472,1.853564996,1.0504417616256678,1.8270183496846435
P-D01-W003::C012::C014,P-D01-W003,P-D01,C012,2021-05-18,C014,2021-11-02,train,168,2.527263532,5.494541696803571,2.057851449,4.473989535,1.0419225356428932,2.2652512270450402
P-D01-W003::C014::C015,P-D01-W003,P-D01,C014,2021-11-02,C015,2022-03-01,train,119,1.326984546,4.0729504657689075,1.169453484,3.589436009,1.034980028467703,3.176692902502761
P-D01-W003::C015::C016,P-D01-W003,P-D01,C015,2022-03-01,C016,2022-05-17,train,77,-0.7203655165,-3.417058505215909,0.04150952706,0.1969007112,1.0541942152415293,5.000577105415177
P-D01-W003::C016::C018,P-D01-W003,P-D01,C016,2022-05-17,C018,2022-10-18,train,154,2.969603064,7.04316570861039,1.614412181,3.828987332,1.0653655106811928,2.5267841089370497
P-D01-W003::C018::C020,P-D01-W003,P-D01,C018,2022-10-18,C020,2023-05-16,train,210,3.391270003,5.898387469503571,1.773770719,3.085094072,1.0377906088303328,1.8050143803584717
P-D01-W003::C020::C022,P-D01-W003,P-D01,C020,2023-05-16,C022,2023-11-07,train,175,-1.075747513,-2.245238737847143,1.934646164,4.037882922,1.0434908122788737,2.1779143953420492
P-D01-W003::C022::C023,P-D01-W003,P-D01,C022,2023-11-07,C023,2024-01-30,validation,84,1.955306441,8.502091399705357,1.088258177,4.731979752,1.0521420643827157,4.574939154949845
P-D01-W003::C023::C024,P-D01-W003,P-D01,C023,2024-01-30,C024,2024-05-14,validation,105,1.546933647,5.381119186349999,0.2421845182,0.8424561456,1.0359415767235765,3.6035967704598697
P-D01-W003::C024::C026,P-D01-W003,P-D01,C024,2024-05-14,C026,2024-09-03,validation,112,-0.2462144608,-0.80294492685,0.8293582117,2.704670418,1.5235686924659972,4.968602365385763
P-D01-W003::C026::C027,P-D01-W003,P-D01,C026,2024-09-03,C027,2025-07-22,test,322,3.049025515,3.4585607743905276,2.732664389,3.099707044,1.5299157398519976,1.7354090806861555
P-D01-W003::C027::C029,P-D01-W003,P-D01,C027,2025-07-22,C029,2025-11-04,test,105,1.18514837,4.1226232585,1.901955559,6.616088264,1.1810575863714727,4.108393175449337
P-D01-W004::C005::C007,P-D01-W004,P-D01,C005,2019-05-14,C007,2019-11-05,train,175,1.791453001,3.739018334944286,0.9193533533,1.918821785,1.1425183108952697,2.3845989317399843
P-D01-W004::C007::C008,P-D01-W004,P-D01,C007,2019-11-05,C008,2020-04-21,train,168,-0.2776859012,-0.6037189012696428,1.279234513,2.781192891,1.5019698510494746,3.2654433815227417
P-D01-W004::C008::C010,P-D01-W004,P-D01,C008,2020-04-21,C010,2020-10-20,train,182,2.185089196,4.385185872741758,1.189202481,2.386572562,1.4375554993574853,2.884984319452316
P-D01-W004::C010::C012,P-D01-W004,P-D01,C010,2020-10-20,C012,2021-05-18,train,210,1.355415591,2.357454974346429,1.609163774,2.798795564,1.059843571370886,1.843370783062934
P-D01-W004::C012::C014,P-D01-W004,P-D01,C012,2021-05-18,C014,2021-11-02,train,168,0.8813170478,1.91607768874375,0.8464304548,1.840230498,1.0526172662851088,2.288502717325214
P-D01-W004::C014::C015,P-D01-W004,P-D01,C014,2021-11-02,C015,2022-03-01,train,119,1.189598552,3.651267824521009,1.048065958,3.216857909,1.0427301930800423,3.200480697667945
P-D01-W004::C015::C016,P-D01-W004,P-D01,C015,2022-03-01,C016,2022-05-17,train,77,0.07635892993,0.36220907996016233,0.7177346894,3.40457916,1.0632704600266256,5.043630331489935
P-D01-W004::C016::C018,P-D01-W004,P-D01,C016,2022-05-17,C018,2022-10-18,train,154,2.196304362,5.209092001431817,0.8990463906,2.132316196,1.076453058897231,2.5530810374169715
P-D01-W004::C018::C020,P-D01-W004,P-D01,C018,2022-10-18,C020,2023-05-16,train,210,2.853556574,4.963150184064286,1.130737785,1.966676075,1.0510326512831056,1.8280460756245442
P-D01-W004::C020::C022,P-D01-W004,P-D01,C020,2023-05-16,C022,2023-11-07,train,175,-1.241426734,-2.5910349405342856,1.065207608,2.22324045,1.0561514828747307,2.204339023542831
P-D01-W004::C022::C023,P-D01-W004,P-D01,C022,2023-11-07,C023,2024-01-30,validation,84,0.8115811836,3.5289288965464287,0.8479326319,3.686992783,1.0651364983679428,4.63144173843918
P-D01-W004::C023::C024,P-D01-W004,P-D01,C023,2024-01-30,C024,2024-05-14,validation,105,2.855851546,9.934283592157144,1.3035728,4.534571098,1.0515927528875497,3.658040504687405
P-D01-W004::C024::C026,P-D01-W004,P-D01,C024,2024-05-14,C026,2024-09-03,validation,112,-0.05103765173,-0.16644198477127234,1.043634511,3.403459867,1.5320530064170332,4.996271076730548
P-D01-W004::C026::C027,P-D01-W004,P-D01,C026,2024-09-03,C027,2025-07-22,test,322,2.646519728,3.0019917100993787,2.589019959,2.936768757,1.5336888780130573,1.7396890145784758
P-D01-W004::C027::C029,P-D01-W004,P-D01,C027,2025-07-22,C029,2025-11-04,test,105,0.05206821558,0.1811230070532857,0.461907079,1.606776768,1.1898295169177633,4.138906962421077
P-D01-W005::C005::C007,P-D01-W005,P-D01,C005,2019-05-14,C007,2019-11-05,train,175,17.59934157,36.73234004824286,16.35808675,34.14166391,1.1385457662666525,2.3763076635936846
P-D01-W005::C007::C008,P-D01-W005,P-D01,C007,2019-11-05,C008,2020-04-21,train,168,13.92342788,30.271024006964286,15.77096617,34.28777019,1.499642466304632,3.260383397724802
P-D01-W005::C008::C009,P-D01-W005,P-D01,C008,2020-04-21,C009,2020-06-02,train,42,4.876976884,42.41228111621429,3.184601724,27.69466142,1.4278495239058664,12.41719139539566
P-D01-W005::C009::C010,P-D01-W005,P-D01,C009,2020-06-02,C010,2020-10-20,train,140,11.67019212,30.44669765592857,12.16996778,31.75057665,1.0459128137655542,2.7287118230562046
P-D01-W005::C010::C012,P-D01-W005,P-D01,C010,2020-10-20,C012,2021-05-18,train,210,22.14668129,38.519406386535714,22.06566865,38.37850227,1.056892432274542,1.8382379089917928
P-D01-W005::C012::C014,P-D01-W005,P-D01,C012,2021-05-18,C014,2021-11-02,train,168,17.11647566,37.213051992946426,17.15103728,37.28819266,1.0502674744626195,2.2833940181397128
P-D01-W005::C014::C015,P-D01-W005,P-D01,C014,2021-11-02,C015,2022-03-01,train,119,12.72084638,39.04444655710084,13.21310585,40.5553522,1.0383265157160486,3.1869643686158553
P-D01-W005::C015::C016,P-D01-W005,P-D01,C015,2022-03-01,C016,2022-05-17,train,77,8.237794597,39.07603216304221,8.619042622,40.88448465,1.0591879251482508,5.0242648007843975
P-D01-W005::C016::C017,P-D01-W005,P-D01,C016,2022-05-17,C017,2022-07-19,train,63,7.372795276,42.74465832633333,6.754484281,39.15992672,1.0663130459359558,6.182076825842982
P-D01-W005::C017::C018,P-D01-W005,P-D01,C017,2022-07-19,C018,2022-10-18,train,91,10.42930406,41.86047591115385,9.914626536,39.79469607,1.0556516795942898,4.237107428261696
P-D01-W005::C018::C020,P-D01-W005,P-D01,C018,2022-10-18,C020,2023-05-16,train,210,25.76081751,44.805421883464284,23.97474882,41.69893813,1.050073803533213,1.826378365430981
P-D01-W005::C020::C022,P-D01-W005,P-D01,C020,2023-05-16,C022,2023-11-07,train,175,16.69806201,34.8512408523,18.40723155,38.41852184,1.0549643451284776,2.201861297475294
P-D01-W005::C022::C023,P-D01-W005,P-D01,C022,2023-11-07,C023,2024-01-30,validation,84,9.363767824,40.71566902042857,9.668788915,42.04196609,1.0644900774439607,4.628630961742936
P-D01-W005::C023::C024,P-D01-W005,P-D01,C023,2024-01-30,C024,2024-05-14,validation,105,13.40277098,46.62249619471429,11.69498096,40.68182664,1.0522275064915876,3.6602485404385936
P-D01-W005::C024::C026,P-D01-W005,P-D01,C024,2024-05-14,C026,2024-09-03,validation,112,11.37407849,37.09269793279018,11.95989969,39.00315501,1.524425247301772,4.971395728365824
P-D01-W005::C026::C027,P-D01-W005,P-D01,C026,2024-09-03,C027,2025-07-22,test,322,30.73610511,34.86447947648292,31.5008483,35.7319405,1.5232120144015282,1.7278049324849634
P-D01-W005::C027::C029,P-D01-W005,P-D01,C027,2025-07-22,C029,2025-11-04,test,105,10.95010772,38.09073185457143,11.04349661,38.41559178,1.1857946226816984,4.124871294614194
P-D01-W006::C005::C007,P-D01-W006,P-D01,C005,2019-05-14,C007,2019-11-05,train,175,18.54829494,38.71294129620001,16.31667023,34.05522173,1.1168364495621321,2.330997218300393
P-D01-W006::C007::C008,P-D01-W006,P-D01,C007,2019-11-05,C008,2020-04-21,train,168,11.81541214,25.687971929375,13.61673727,29.60424577,1.4766549615605409,3.210406099464212
P-D01-W006::C008::C009,P-D01-W006,P-D01,C008,2020-04-21,C009,2020-06-02,train,42,3.361370287,29.23191660301786,2.564464955,22.3016863,1.4071188585548033,12.236908644931951
P-D01-W006::C009::C010,P-D01-W006,P-D01,C009,2020-06-02,C010,2020-10-20,train,140,8.239363064,21.49590970804286,8.947467145,23.34330268,1.0233787625015587,2.6699220928835308
P-D01-W006::C010::C012,P-D01-W006,P-D01,C010,2020-10-20,C012,2021-05-18,train,210,13.8232069,24.042506286785716,12.30403571,21.40023354,1.0386576214685475,1.8065223630542235
P-D01-W006::C012::C014,P-D01-W006,P-D01,C012,2021-05-18,C014,2021-11-02,train,168,12.83548054,27.90570992401786,14.5673454,31.67096968,1.0327175389668939,2.2452385780217736
P-D01-W006::C014::C015,P-D01-W006,P-D01,C014,2021-11-02,C015,2022-03-01,train,119,14.60020147,44.812803251407566,14.98232741,45.985673,1.0170238564074305,3.1215795256538996
P-D01-W006::C015::C016,P-D01-W006,P-D01,C015,2022-03-01,C016,2022-05-17,train,77,12.90118222,61.19684163448052,12.11905347,57.48680884,1.0376468414936735,4.922084530591744
P-D01-W006::C016::C017,P-D01-W006,P-D01,C016,2022-05-17,C017,2022-07-19,train,63,13.34738665,77.3830630779762,12.80110465,74.21592818,1.051021257215335,6.093420860284144
P-D01-W006::C017::C018,P-D01-W006,P-D01,C017,2022-07-19,C018,2022-10-18,train,91,23.51706233,94.39128589046705,23.60793894,94.75604064,1.0439418430854117,4.190107232823589
P-D01-W006::C018::C020,P-D01-W006,P-D01,C018,2022-10-18,C020,2023-05-16,train,210,74.18403081,129.02722501596426,72.36579685,125.8647967,1.0345353759529765,1.7993526003182128
P-D01-W006::C020::C022,P-D01-W006,P-D01,C020,2023-05-16,C022,2023-11-07,train,175,71.06929258,148.33176637054285,72.83403252,152.0150307,1.0392506350349007,2.169064539694271
P-D01-W006::C022::C023,P-D01-W006,P-D01,C022,2023-11-07,C023,2024-01-30,validation,84,35.26264559,153.32953930651786,35.78559824,155.6034495,1.0501794404873657,4.566405245690599
P-D01-W006::C023::C024,P-D01-W006,P-D01,C023,2024-01-30,C024,2024-05-14,validation,105,44.91044588,156.22419388257143,42.81878224,148.9481925,1.039475914701044,3.6158912175672033
P-D01-W006::C024::C026,P-D01-W006,P-D01,C024,2024-05-14,C026,2024-09-03,validation,112,45.87199893,149.5959607962723,46.35932825,151.18522,1.492206487584265,4.866325174912078
P-D01-W006::C026::C027,P-D01-W006,P-D01,C026,2024-09-03,C027,2025-07-22,test,322,133.4627023,151.38898141327638,134.744088,152.8424786,1.4863931392809595,1.686040664976306
P-D01-W006::C027::C029,P-D01-W006,P-D01,C027,2025-07-22,C029,2025-11-04,test,105,46.07186625,160.26427759821428,45.46982368,158.1700295,1.164723092033059,4.051572470143569
P-D01-W007::C005::C007,P-D01-W007,P-D01,C005,2019-05-14,C007,2019-11-05,train,175,21.84567111,45.595036416728576,19.31620359,40.31567634,1.0779427278740992,2.2498204648915126
P-D01-W007::C007::C008,P-D01-W007,P-D01,C007,2019-11-05,C008,2020-04-21,train,168,15.15891153,32.957097835312496,17.50034537,38.04762588,1.4321830764224885,3.11371945632925
P-D01-W007::C008::C009,P-D01-W007,P-D01,C008,2020-04-21,C009,2020-06-02,train,42,5.308684948,46.166599458499995,3.377353603,29.37091437,1.365990765248238,11.879241119212356
P-D01-W007::C009::C010,P-D01-W007,P-D01,C009,2020-06-02,C010,2020-10-20,train,140,9.768635329,25.48567181369464,11.48152877,29.95448844,0.9852418688976305,2.570425661534711
P-D01-W007::C010::C012,P-D01-W007,P-D01,C010,2020-10-20,C012,2021-05-18,train,210,19.42474679,33.78518459546429,17.89511525,31.12471832,1.00534793306622,1.7485872978687471
P-D01-W007::C012::C014,P-D01-W007,P-D01,C012,2021-05-18,C014,2021-11-02,train,168,10.64375615,23.140666272544642,11.4631612,24.92214064,0.9997663804776161,2.173599228984817
P-D01-W007::C014::C015,P-D01-W007,P-D01,C014,2021-11-02,C015,2022-03-01,train,119,5.274271373,16.188467386455883,6.443897268,19.77843258,0.9797381249130171,3.0071373960040297
P-D01-W007::C015::C016,P-D01-W007,P-D01,C015,2022-03-01,C016,2022-05-17,train,77,4.63217427,21.972748728798702,3.866198569,18.33933802,0.9992529637676008,4.739962922287223
P-D01-W007::C016::C017,P-D01-W007,P-D01,C016,2022-05-17,C017,2022-07-19,train,63,3.714632586,21.5360246355,3.484246949,20.20033648,1.019248178767323,5.909212655472456
P-D01-W007::C017::C018,P-D01-W007,P-D01,C017,2022-07-19,C018,2022-10-18,train,91,6.61442379,26.548552629642856,5.519089768,22.15217074,1.0170350019347147,4.0821102687544455
P-D01-W007::C018::C020,P-D01-W007,P-D01,C018,2022-10-18,C020,2023-05-16,train,210,12.09788034,21.0416704485,11.3476822,19.73686154,1.0033558522354495,1.7451225001380855
P-D01-W007::C020::C022,P-D01-W007,P-D01,C020,2023-05-16,C022,2023-11-07,train,175,4.92275106,10.274484712371429,6.573643479,13.72013303,1.0081192490110595,2.1040888897216545
P-D01-W007::C022::C023,P-D01-W007,P-D01,C022,2023-11-07,C023,2024-01-30,validation,84,3.26856545,14.212422983482142,3.181716173,13.83478371,1.021085417696001,4.43989820016029
P-D01-W007::C023::C024,P-D01-W007,P-D01,C023,2024-01-30,C024,2024-05-14,validation,105,5.263038678,18.307855972757142,4.056787721,14.11182586,1.0113707314619176,3.518125330156813
P-D01-W007::C024::C026,P-D01-W007,P-D01,C024,2024-05-14,C026,2024-09-03,validation,112,2.653697944,8.654135482553572,3.553127368,11.58731938,1.4375993772691118,4.688242612031635
P-D01-W007::C026::C027,P-D01-W007,P-D01,C026,2024-09-03,C027,2025-07-22,test,322,9.341922686,10.596699568513975,9.396421848,10.65851888,1.4271057401070724,1.618789973832634
P-D01-W007::C027::C029,P-D01-W007,P-D01,C027,2025-07-22,C029,2025-11-04,test,105,4.427829304,15.402520507485715,4.466097283,15.5356384,1.1273746787384111,3.92165334675433
P-H01-W001::C005::C007,P-H01-W001,P-H01,C005,2019-05-14,C007,2019-11-05,train,175,17.33618977,36.18310464852858,17.54516261,36.61926083,1.0783831232277425,2.2507396329081883
P-H01-W001::C007::C008,P-H01-W001,P-H01,C007,2019-11-05,C008,2020-04-21,train,168,14.84525721,32.2751797378125,14.23840567,30.95581948,1.0558257945838803,2.295478401617632
P-H01-W001::C008::C010,P-H01-W001,P-H01,C008,2020-04-21,C010,2020-10-20,train,182,13.4610135,27.014479015796702,15.07463932,30.25281326,1.4166983053664284,2.8431266815114724
P-H01-W001::C010::C012,P-H01-W001,P-H01,C010,2020-10-20,C012,2021-05-18,train,210,18.0484159,31.39135194035714,15.92386181,27.69614536,1.4200427665745385,2.469860097577858
P-H01-W001::C012::C014,P-H01-W001,P-H01,C012,2021-05-18,C014,2021-11-02,train,168,10.76994879,23.415022592544645,11.78407724,25.6198465,1.033988393848132,2.2480015526966084
P-H01-W001::C014::C016,P-H01-W001,P-H01,C014,2021-11-02,C016,2022-05-17,train,196,12.41324343,23.13233246330357,11.24724,20.95946128,1.5539207187661754,2.895762972088498
P-H01-W001::C016::C018,P-H01-W001,P-H01,C016,2022-05-17,C018,2022-10-18,train,154,7.522275711,17.840981840537335,8.744861289,20.74065315,1.5486867334506795,3.673102788265329
P-H01-W001::C018::C019,P-H01-W001,P-H01,C018,2022-10-18,C019,2023-01-17,train,91,3.75290865,15.063185542994507,4.580811543,18.38616941,1.0233203640227324,4.107338054497835
P-H01-W001::C019::C020,P-H01-W001,P-H01,C019,2023-01-17,C020,2023-05-16,train,119,7.930597684,24.341603395638653,6.25841538,19.20912788,1.0534120506765334,3.2332668194084357
P-H01-W001::C020::C022,P-H01-W001,P-H01,C020,2023-05-16,C022,2023-11-07,train,175,8.928102287,18.634224916152856,8.758461603,18.28016057,1.162920071108621,2.4271803198424218
P-H01-W001::C022::C023,P-H01-W001,P-H01,C022,2023-11-07,C023,2024-01-30,validation,84,2.020829004,8.78699754417857,3.439443018,14.95543527,1.7082129936061352,7.427676141840962
P-H01-W001::C023::C024,P-H01-W001,P-H01,C023,2024-01-30,C024,2024-05-14,validation,105,4.0459702,14.07419633857143,4.085074881,14.21022477,1.657063963365246,5.764215358277678
P-H01-W001::C024::C029,P-H01-W001,P-H01,C024,2024-05-14,C029,2025-11-04,test,539,21.77279403,14.754198551869203,19.81521259,13.42765566,1.070101306461572,0.72514749941575
P-H01-W002::C005::C007,P-H01-W002,P-H01,C005,2019-05-14,C007,2019-11-05,train,175,11.09851692,23.164190314457144,9.604584813,20.04614059,1.1389049236185051,2.377057276295194
P-H01-W002::C007::C008,P-H01-W002,P-H01,C007,2019-11-05,C008,2020-04-21,train,168,7.801800241,16.961949631102677,7.505534491,16.31783615,1.119143036970302,2.433136870555969
P-H01-W002::C008::C010,P-H01-W002,P-H01,C008,2020-04-21,C010,2020-10-20,train,182,8.680770977,17.421162633787088,10.94208498,21.95932164,1.5090082041682642,3.028380475672849
P-H01-W002::C010::C012,P-H01-W002,P-H01,C010,2020-10-20,C012,2021-05-18,train,210,21.72508776,37.78613478257143,19.39617105,33.73548322,1.5127883768136607,2.631171212529474
P-H01-W002::C012::C014,P-H01-W002,P-H01,C012,2021-05-18,C014,2021-11-02,train,168,27.78237467,60.40185921558035,29.38504231,63.88623038,1.103280395250948,2.398649787889338
P-H01-W002::C014::C016,P-H01-W002,P-H01,C014,2021-11-02,C016,2022-05-17,train,196,54.17047908,100.94779328556122,52.29592287,97.45451953,1.6483698008423135,3.0717707640696683
P-H01-W002::C016::C018,P-H01-W002,P-H01,C016,2022-05-17,C018,2022-10-18,train,154,52.42413586,124.33711443418831,52.98235763,125.6610787,1.6429635349240823,3.896704098253384
P-H01-W002::C018::C019,P-H01-W002,P-H01,C018,2022-10-18,C019,2023-01-17,train,91,29.46300321,118.25672442255495,31.3785387,125.9451787,1.0927257264491905,4.385912874566668
P-H01-W002::C019::C020,P-H01-W002,P-H01,C019,2023-01-17,C020,2023-05-16,train,119,45.52933316,139.74444484613446,43.8528422,134.5987446,1.1174538993577823,3.4298322415162183
P-H01-W002::C020::C022,P-H01-W002,P-H01,C020,2023-05-16,C022,2023-11-07,train,175,66.376946,138.53816872285716,65.64863234,137.0180741,1.227646722980192,2.5622740889629436
P-H01-W002::C022::C023,P-H01-W002,P-H01,C022,2023-11-07,C023,2024-01-30,validation,84,29.40580537,127.86274299276786,30.71439351,133.5527646,1.8225631943672247,7.924895318364628
P-H01-W002::C023::C024,P-H01-W002,P-H01,C023,2024-01-30,C024,2024-05-14,validation,105,39.56461672,137.6283453045714,40.73988068,141.7165849,1.7656791416554793,6.142041014187274
P-H01-W002::C024::C025,P-H01-W002,P-H01,C024,2024-05-14,C025,2024-07-09,validation,56,23.59576967,153.8991941422768,22.33605481,145.6829289,1.1379491254970329,7.422069965853415
P-H01-W002::C025::C027,P-H01-W002,P-H01,C025,2024-07-09,C027,2025-07-22,test,378,139.640132,134.93004818253968,138.0450135,133.3887333,1.1250688568094074,1.0871201056868678
P-H01-W002::C027::C029,P-H01-W002,P-H01,C027,2025-07-22,C029,2025-11-04,test,105,37.84956472,131.66241441885714,38.16288006,132.7523042,1.115076538205667,3.8788733864725704
P-H01-W003::C005::C007,P-H01-W003,P-H01,C005,2019-05-14,C007,2019-11-05,train,175,16.15652966,33.720985476085716,15.45008709,32.2465389,1.1856133205283925,2.4745443732742594
P-H01-W003::C007::C008,P-H01-W003,P-H01,C007,2019-11-05,C008,2020-04-21,train,168,15.21076887,33.06984124861607,13.90923247,30.24016166,1.167709408363502,2.538725365504578
P-H01-W003::C008::C010,P-H01-W003,P-H01,C008,2020-04-21,C010,2020-10-20,train,182,10.5876835,21.248084606456043,13.63746644,27.36859681,1.579305872506101,3.169458626004689
