sample_id,point_id,profile_id,current_date,label_horizon_days,label_horizon_end,split_by_horizon_end,horizon_complete,label_status,activity_180d,onset_180d,ongoing_acceleration_180d,current_true_rate_mm_y,max_delta_rate_next_180d_mm_y,max_acceleration_next_180d_mm_y2,sustained_two_months,current_regime_stage,first_onset_date,use_class
P-D01-W001::C023::C024,P-D01-W001,P-D01,2024-01-30,180,2024-07-28,validation,True,complete,0.0,0.0,0.0,149.0476351,3.900980699999991,15.58258201,False,elevated,,evaluation_only
P-D01-W001::C024::C026,P-D01-W001,P-D01,2024-05-14,180,2024-11-10,validation,True,complete,0.0,0.0,0.0,151.8206894064516,1.7056384935484061,11.28246193,False,elevated,,evaluation_only
P-D01-W001::C026::C027,P-D01-W001,P-D01,2024-09-03,180,2025-03-02,test,True,complete,0.0,0.0,0.0,153.3728245466667,-2.1490469466666866,13.35035328,False,elevated,,evaluation_only
P-D01-W001::C027::C029,P-D01-W001,P-D01,2025-07-22,180,2026-01-18,test,False,right_censored,,,,150.56032438387095,,,,,,evaluation_only
P-D01-W002::C005::C007,P-D01-W002,P-D01,2019-05-14,180,2019-11-10,train,True,complete,0.0,0.0,0.0,73.4803283583871,0.845459361612896,12.70653782,False,decaying,,evaluation_only
P-D01-W002::C007::C008,P-D01-W002,P-D01,2019-11-05,180,2020-05-03,train,True,complete,0.0,0.0,0.0,71.45972018666666,1.4261099033333409,17.16674454,False,decaying,,evaluation_only
P-D01-W002::C008::C009,P-D01-W002,P-D01,2020-04-21,180,2020-10-18,train,True,complete,0.0,0.0,0.0,67.59676178,0.35392400000000634,2.477626397,False,decaying,,evaluation_only
P-D01-W002::C009::C010,P-D01-W002,P-D01,2020-06-02,180,2020-11-29,train,True,complete,0.0,0.0,0.0,67.75453543233333,-5.688360082333325,-10.5363368,False,decaying,,evaluation_only
P-D01-W002::C010::C012,P-D01-W002,P-D01,2020-10-20,180,2021-04-18,train,True,complete,0.0,0.0,0.0,53.29525647774193,0.5432217222580675,7.558388445,False,decaying,,evaluation_only
P-D01-W002::C012::C014,P-D01-W002,P-D01,2021-05-18,180,2021-11-14,train,True,complete,0.0,0.0,0.0,44.85655714258064,0.7314187974193587,14.99476564,False,decaying,,evaluation_only
P-D01-W002::C014::C015,P-D01-W002,P-D01,2021-11-02,180,2022-05-01,train,True,complete,0.0,0.0,0.0,43.954978953,5.247208886999999,32.21822442,False,decaying,,evaluation_only
P-D01-W002::C015::C016,P-D01-W002,P-D01,2022-03-01,180,2022-08-28,train,True,complete,0.0,0.0,0.0,44.10105682,4.19503263,18.59157063,False,decaying,,evaluation_only
P-D01-W002::C016::C017,P-D01-W002,P-D01,2022-05-17,180,2022-11-13,train,True,complete,0.0,0.0,0.0,46.966010200967744,0.39306433903225724,49.40551349,False,decaying,,evaluation_only
P-D01-W002::C017::C018,P-D01-W002,P-D01,2022-07-19,180,2023-01-15,train,True,complete,0.0,0.0,0.0,46.65310859419355,2.2356004958064517,49.40551349,False,decaying,,evaluation_only
P-D01-W002::C018::C020,P-D01-W002,P-D01,2022-10-18,180,2023-04-16,train,True,complete,0.0,0.0,0.0,40.583121706451614,8.305587383548385,49.40551349,False,decaying,,evaluation_only
P-D01-W002::C020::C022,P-D01-W002,P-D01,2023-05-16,180,2023-11-12,train,True,complete,0.0,0.0,0.0,41.94314201129032,0.39421163870967746,1.808097793,False,decaying,,evaluation_only
P-D01-W002::C022::C023,P-D01-W002,P-D01,2023-11-07,180,2024-05-05,validation,True,complete,0.0,0.0,0.0,38.30613453,-0.5026900000000012,12.70234848,False,decaying,,evaluation_only
P-D01-W002::C023::C024,P-D01-W002,P-D01,2024-01-30,180,2024-07-28,validation,True,complete,0.0,0.0,0.0,33.0809037132258,2.414534326774202,12.70234848,False,residual,,evaluation_only
P-D01-W002::C024::C026,P-D01-W002,P-D01,2024-05-14,180,2024-11-10,validation,True,complete,0.0,0.0,0.0,32.9594360783871,2.914197381612901,17.33297465,False,residual,,evaluation_only
P-D01-W002::C026::C027,P-D01-W002,P-D01,2024-09-03,180,2025-03-02,test,True,complete,0.0,0.0,0.0,34.93364843933333,2.360396340666668,23.75898387,False,residual,,evaluation_only
P-D01-W002::C027::C029,P-D01-W002,P-D01,2025-07-22,180,2026-01-18,test,False,right_censored,,,,31.443690530645164,,,,,,evaluation_only
P-D01-W003::C005::C007,P-D01-W003,P-D01,2019-05-14,180,2019-11-10,train,True,complete,0.0,0.0,0.0,0.32754291904193544,6.986447160958065,23.58676483,False,stable,,evaluation_only
P-D01-W003::C007::C008,P-D01-W003,P-D01,2019-11-05,180,2020-05-03,train,True,complete,0.0,0.0,0.0,6.234145341466667,-0.7065470654666672,0.0,False,stable,,evaluation_only
P-D01-W003::C008::C010,P-D01-W003,P-D01,2020-04-21,180,2020-10-18,train,True,complete,0.0,0.0,0.0,0.0,6.846563194,25.60814273,False,stable,,evaluation_only
P-D01-W003::C010::C012,P-D01-W003,P-D01,2020-10-20,180,2021-04-18,train,True,complete,0.0,0.0,0.0,6.202207938193548,-0.40696121419354814,0.0,False,stable,,evaluation_only
P-D01-W003::C012::C014,P-D01-W003,P-D01,2021-05-18,180,2021-11-14,train,True,complete,0.0,0.0,0.0,0.0,7.901883176,26.90885224,False,stable,,evaluation_only
P-D01-W003::C014::C015,P-D01-W003,P-D01,2021-11-02,180,2022-05-01,train,True,complete,0.0,0.0,0.0,6.839609003033334,-1.6097890130333337,-1.89690939,False,stable,,evaluation_only
P-D01-W003::C015::C016,P-D01-W003,P-D01,2022-03-01,180,2022-08-28,train,True,complete,0.0,0.0,0.0,0.3242005493,3.6924618247,28.05576701,False,stable,,evaluation_only
P-D01-W003::C016::C018,P-D01-W003,P-D01,2022-05-17,180,2022-11-13,train,True,complete,0.0,0.0,0.0,0.006617491571612903,7.159917897428387,28.05576701,False,stable,,evaluation_only
P-D01-W003::C018::C020,P-D01-W003,P-D01,2022-10-18,180,2023-04-16,train,True,complete,0.0,0.0,0.0,7.031125427645161,0.13540996135483852,-6.793090493,False,stable,,evaluation_only
P-D01-W003::C020::C022,P-D01-W003,P-D01,2023-05-16,180,2023-11-12,train,True,complete,0.0,0.0,0.0,0.0064980986758064515,6.8108068063241936,23.80506025,False,stable,,evaluation_only
P-D01-W003::C022::C023,P-D01-W003,P-D01,2023-11-07,180,2024-05-05,validation,True,complete,0.0,0.0,0.0,6.4498692570000005,-0.8725551320000005,3.465851844,False,stable,,evaluation_only
P-D01-W003::C023::C024,P-D01-W003,P-D01,2024-01-30,180,2024-07-28,validation,True,complete,0.0,0.0,0.0,3.1124548987096774,-0.06085569870967733,20.48073639,False,stable,,evaluation_only
P-D01-W003::C024::C026,P-D01-W003,P-D01,2024-05-14,180,2024-11-10,validation,True,complete,0.0,0.0,0.0,0.6672288007387097,6.93141985726129,26.79524711,False,stable,,evaluation_only
P-D01-W003::C026::C027,P-D01-W003,P-D01,2024-09-03,180,2025-03-02,test,True,complete,0.0,0.0,0.0,6.212992280533333,1.3856563774666668,7.66470055,False,stable,,evaluation_only
P-D01-W003::C027::C029,P-D01-W003,P-D01,2025-07-22,180,2026-01-18,test,False,right_censored,,,,4.269497579387097,,,,,,evaluation_only
P-D01-W004::C005::C007,P-D01-W004,P-D01,2019-05-14,180,2019-11-10,train,True,complete,0.0,0.0,0.0,3.0048439326451613,-0.38664122864516104,14.24612234,False,stable,,evaluation_only
P-D01-W004::C007::C008,P-D01-W004,P-D01,2019-11-05,180,2020-05-03,train,True,complete,0.0,0.0,0.0,2.1902683144666666,1.2573844555333333,8.325945454,False,stable,,evaluation_only
P-D01-W004::C008::C010,P-D01-W004,P-D01,2020-04-21,180,2020-10-18,train,True,complete,0.0,0.0,0.0,2.6326795423333333,0.4392426576666666,3.320728666,False,stable,,evaluation_only
P-D01-W004::C010::C012,P-D01-W004,P-D01,2020-10-20,180,2021-04-18,train,True,complete,0.0,0.0,0.0,1.859204345483871,2.540035225516129,10.90003638,False,stable,,evaluation_only
P-D01-W004::C012::C014,P-D01-W004,P-D01,2021-05-18,180,2021-11-14,train,True,complete,0.0,0.0,0.0,2.84620724016129,-0.40888570016129,9.51950653,False,stable,,evaluation_only
P-D01-W004::C014::C015,P-D01-W004,P-D01,2021-11-02,180,2022-05-01,train,True,complete,0.0,0.0,0.0,1.8258897454,1.9868214865999998,10.47029478,False,stable,,evaluation_only
P-D01-W004::C015::C016,P-D01-W004,P-D01,2022-03-01,180,2022-08-28,train,True,complete,0.0,0.0,0.0,3.165569964,0.46692937200000006,2.80157623,False,stable,,evaluation_only
P-D01-W004::C016::C018,P-D01-W004,P-D01,2022-05-17,180,2022-11-13,train,True,complete,0.0,0.0,0.0,3.1100210278709675,-0.4898234138709676,4.246575445,False,stable,,evaluation_only
P-D01-W004::C018::C020,P-D01-W004,P-D01,2022-10-18,180,2023-04-16,train,True,complete,0.0,0.0,0.0,2.1563026801290324,0.4866936978709675,6.812461738,False,stable,,evaluation_only
P-D01-W004::C020::C022,P-D01-W004,P-D01,2023-05-16,180,2023-11-12,train,True,complete,0.0,0.0,0.0,2.868224346483871,0.6739995845161291,7.670321527,False,stable,,evaluation_only
P-D01-W004::C022::C023,P-D01-W004,P-D01,2023-11-07,180,2024-05-05,validation,True,complete,0.0,0.0,0.0,2.5114247913999996,2.4678736066000004,11.5290377,False,stable,,evaluation_only
P-D01-W004::C023::C024,P-D01-W004,P-D01,2024-01-30,180,2024-07-28,validation,True,complete,0.0,0.0,0.0,4.245163093129032,0.7341353048709678,3.169510692,False,stable,,evaluation_only
P-D01-W004::C024::C026,P-D01-W004,P-D01,2024-05-14,180,2024-11-10,validation,True,complete,0.0,0.0,0.0,4.572066782258064,-0.5638591602580645,3.218915825,False,stable,,evaluation_only
P-D01-W004::C026::C027,P-D01-W004,P-D01,2024-09-03,180,2025-03-02,test,True,complete,0.0,0.0,0.0,2.638357496733333,1.1709037852666668,4.680433047,False,stable,,evaluation_only
P-D01-W004::C027::C029,P-D01-W004,P-D01,2025-07-22,180,2026-01-18,test,False,right_censored,,,,2.1547788386451616,,,,,,evaluation_only
P-D01-W005::C005::C007,P-D01-W005,P-D01,2019-05-14,180,2019-11-10,train,True,complete,0.0,0.0,0.0,31.619022239354837,5.68840331064516,30.82444227,False,uniform,,evaluation_only
P-D01-W005::C007::C008,P-D01-W005,P-D01,2019-11-05,180,2020-05-03,train,True,complete,0.0,0.0,0.0,36.46337276333333,-0.1309187133333296,-1.392550046,False,uniform,,evaluation_only
P-D01-W005::C008::C009,P-D01-W005,P-D01,2020-04-21,180,2020-10-18,train,True,complete,0.0,0.0,0.0,29.118578526666667,6.737827753333335,30.22251343,False,uniform,,evaluation_only
P-D01-W005::C009::C010,P-D01-W005,P-D01,2020-06-02,180,2020-11-29,train,True,complete,0.0,0.0,0.0,25.965506465,11.416576715000001,30.22251343,False,uniform,,evaluation_only
P-D01-W005::C010::C012,P-D01-W005,P-D01,2020-10-20,180,2021-04-18,train,True,complete,0.0,0.0,0.0,36.79149857354839,3.709441096451613,22.19032683,False,uniform,,evaluation_only
P-D01-W005::C012::C014,P-D01-W005,P-D01,2021-05-18,180,2021-11-14,train,True,complete,0.0,0.0,0.0,36.210621628387095,4.959941331612903,25.95907568,False,uniform,,evaluation_only
P-D01-W005::C014::C015,P-D01-W005,P-D01,2021-11-02,180,2022-05-01,train,True,complete,0.0,0.0,0.0,41.214830142333334,1.2837482876666684,13.20825651,False,uniform,,evaluation_only
P-D01-W005::C015::C016,P-D01-W005,P-D01,2022-03-01,180,2022-08-28,train,True,complete,0.0,0.0,0.0,40.90508622,0.5090420199999954,7.622369029,False,uniform,,evaluation_only
P-D01-W005::C016::C017,P-D01-W005,P-D01,2022-05-17,180,2022-11-13,train,True,complete,0.0,0.0,0.0,40.39741495870968,3.328984031290318,28.50901496,False,uniform,,evaluation_only
P-D01-W005::C017::C018,P-D01-W005,P-D01,2022-07-19,180,2023-01-15,train,True,complete,0.0,0.0,0.0,37.768197048387094,8.404899541612906,28.50901496,False,uniform,,evaluation_only
P-D01-W005::C018::C020,P-D01-W005,P-D01,2022-10-18,180,2023-04-16,train,True,complete,0.0,0.0,0.0,42.68551936225806,3.4875772277419372,28.50901496,False,uniform,,evaluation_only
P-D01-W005::C020::C022,P-D01-W005,P-D01,2023-05-16,180,2023-11-12,train,True,complete,0.0,0.0,0.0,38.91839760774194,1.6746145222580608,23.31964085,False,uniform,,evaluation_only
P-D01-W005::C022::C023,P-D01-W005,P-D01,2023-11-07,180,2024-05-05,validation,True,complete,0.0,0.0,0.0,40.914556646,1.7517743339999967,12.4399131,False,uniform,,evaluation_only
P-D01-W005::C023::C024,P-D01-W005,P-D01,2024-01-30,180,2024-07-28,validation,True,complete,0.0,0.0,0.0,41.71388405483871,-0.0656859948387094,13.74248427,False,uniform,,evaluation_only
P-D01-W005::C024::C026,P-D01-W005,P-D01,2024-05-14,180,2024-11-10,validation,True,complete,0.0,0.0,0.0,39.12391977032258,2.0976589596774176,13.74248427,False,uniform,,evaluation_only
P-D01-W005::C026::C027,P-D01-W005,P-D01,2024-09-03,180,2025-03-02,test,True,complete,0.0,0.0,0.0,37.25505145,1.7023914299999987,35.31672745,False,uniform,,evaluation_only
P-D01-W005::C027::C029,P-D01-W005,P-D01,2025-07-22,180,2026-01-18,test,False,right_censored,,,,36.488767273225804,,,,,,evaluation_only
P-D01-W006::C005::C007,P-D01-W006,P-D01,2019-05-14,180,2019-11-10,train,True,complete,0.0,0.0,0.0,34.52608107548387,2.6152431945161254,28.58532303,False,decaying,,evaluation_only
P-D01-W006::C007::C008,P-D01-W006,P-D01,2019-11-05,180,2020-05-03,train,True,complete,0.0,0.0,0.0,33.281299131333334,-0.9941290913333347,-2.854118579,False,decaying,,evaluation_only
P-D01-W006::C008::C009,P-D01-W006,P-D01,2020-04-21,180,2020-10-18,train,True,complete,0.0,0.0,0.0,24.058367926666666,0.6047897433333347,25.67491516,False,decaying,,evaluation_only
P-D01-W006::C009::C010,P-D01-W006,P-D01,2020-06-02,180,2020-11-29,train,True,complete,0.0,0.0,0.0,20.133685449,4.544511150999998,25.67491516,False,decaying,,evaluation_only
P-D01-W006::C010::C012,P-D01-W006,P-D01,2020-10-20,180,2021-04-18,train,True,complete,0.0,0.0,0.0,24.672375078709678,0.005821521290322096,6.618725814,False,decaying,,evaluation_only
P-D01-W006::C012::C014,P-D01-W006,P-D01,2021-05-18,180,2021-11-14,train,True,complete,0.0,0.0,0.0,19.167985676774194,23.493606673225806,78.93579293,True,quiescent,,evaluation_only
P-D01-W006::C014::C015,P-D01-W006,P-D01,2021-11-02,180,2022-05-01,train,True,complete,0.0,0.0,0.0,42.03287299,19.14004171,97.0656938,False,quiescent,2022-04-01,evaluation_only
P-D01-W006::C015::C016,P-D01-W006,P-D01,2022-03-01,180,2022-08-28,train,True,complete,1.0,1.0,0.0,50.1448663,34.937435150000006,104.2851707,True,quiescent,2022-04-01,evaluation_only
P-D01-W006::C016::C017,P-D01-W006,P-D01,2022-05-17,180,2022-11-13,train,True,complete,1.0,0.0,1.0,66.27417152064517,42.524341879354836,112.6043932,True,reactivated,,evaluation_only
P-D01-W006::C017::C018,P-D01-W006,P-D01,2022-07-19,180,2023-01-15,train,True,complete,1.0,0.0,1.0,81.76795095935485,42.704501540645154,112.6043932,True,reactivated,,evaluation_only
P-D01-W006::C018::C020,P-D01-W006,P-D01,2022-10-18,180,2023-04-16,train,True,complete,1.0,0.0,1.0,106.5635655483871,29.132232851612898,94.0436343,True,reactivated,,evaluation_only
P-D01-W006::C020::C022,P-D01-W006,P-D01,2023-05-16,180,2023-11-12,train,True,complete,0.0,0.0,0.0,143.6347555935484,15.1335318064516,52.93482716,False,active_secondary,,evaluation_only
P-D01-W006::C022::C023,P-D01-W006,P-D01,2023-11-07,180,2024-05-05,validation,True,complete,0.0,0.0,0.0,158.38784515999998,-1.5217689599999744,0.5785762728,False,active_secondary,,evaluation_only
P-D01-W006::C023::C024,P-D01-W006,P-D01,2024-01-30,180,2024-07-28,validation,True,complete,0.0,0.0,0.0,152.80633983548387,-0.12311793548386163,43.6962465,False,active_secondary,,evaluation_only
P-D01-W006::C024::C026,P-D01-W006,P-D01,2024-05-14,180,2024-11-10,validation,True,complete,0.0,0.0,0.0,146.5773091548387,11.005012445161299,43.6962465,False,active_secondary,,evaluation_only
P-D01-W006::C026::C027,P-D01-W006,P-D01,2024-09-03,180,2025-03-02,test,True,complete,0.0,0.0,0.0,153.25502587333332,5.094889726666679,26.39509038,False,active_secondary,,evaluation_only
P-D01-W006::C027::C029,P-D01-W006,P-D01,2025-07-22,180,2026-01-18,test,False,right_censored,,,,153.9013697967742,,,,,,evaluation_only
P-D01-W007::C005::C007,P-D01-W007,P-D01,2019-05-14,180,2019-11-10,train,True,complete,0.0,0.0,0.0,40.85442908967742,4.001123990322583,34.64888355,False,decaying,,evaluation_only
P-D01-W007::C007::C008,P-D01-W007,P-D01,2019-11-05,180,2020-05-03,train,True,complete,0.0,0.0,0.0,44.35133699466667,-1.5434184846666668,-8.409848557,False,decaying,,evaluation_only
P-D01-W007::C008::C009,P-D01-W007,P-D01,2020-04-21,180,2020-10-18,train,True,complete,0.0,0.0,0.0,31.201338336666666,0.04021326333333519,38.21531596,False,decaying,,evaluation_only
P-D01-W007::C009::C010,P-D01-W007,P-D01,2020-06-02,180,2020-11-29,train,True,complete,0.0,0.0,0.0,27.516061827666668,10.094709102333333,38.21531596,False,decaying,,evaluation_only
P-D01-W007::C010::C012,P-D01-W007,P-D01,2020-10-20,180,2021-04-18,train,True,complete,0.0,0.0,0.0,35.02405278419355,2.5867181458064508,27.62347316,False,decaying,,evaluation_only
P-D01-W007::C012::C014,P-D01-W007,P-D01,2021-05-18,180,2021-11-14,train,True,complete,0.0,0.0,0.0,23.794421093225804,2.6609459967741955,14.25547432,False,decaying,,evaluation_only
P-D01-W007::C014::C015,P-D01-W007,P-D01,2021-11-02,180,2022-05-01,train,True,complete,0.0,0.0,0.0,25.01660887,-0.6153309900000004,14.45850102,False,decaying,,evaluation_only
P-D01-W007::C015::C016,P-D01-W007,P-D01,2022-03-01,180,2022-08-28,train,True,complete,0.0,0.0,0.0,17.32961851,4.642062970000001,14.45850102,False,decaying,,evaluation_only
P-D01-W007::C016::C017,P-D01-W007,P-D01,2022-05-17,180,2022-11-13,train,True,complete,0.0,0.0,0.0,19.743754548387095,5.738824291612904,25.8533297,False,decaying,,evaluation_only
P-D01-W007::C017::C018,P-D01-W007,P-D01,2022-07-19,180,2023-01-15,train,True,complete,0.0,0.0,0.0,21.188596642903228,4.293982197096771,25.8533297,False,decaying,,evaluation_only
P-D01-W007::C018::C020,P-D01-W007,P-D01,2022-10-18,180,2023-04-16,train,True,complete,0.0,0.0,0.0,24.34013936451613,1.1424394754838687,-3.562853387,False,decaying,,evaluation_only
P-D01-W007::C020::C022,P-D01-W007,P-D01,2023-05-16,180,2023-11-12,train,True,complete,0.0,0.0,0.0,13.756056450967742,1.4095676290322583,14.98633884,False,decaying,,evaluation_only
P-D01-W007::C022::C023,P-D01-W007,P-D01,2023-11-07,180,2024-05-05,validation,True,complete,0.0,0.0,0.0,14.99926456,0.5545111600000006,16.76370798,False,decaying,,evaluation_only
P-D01-W007::C023::C024,P-D01-W007,P-D01,2024-01-30,180,2024-07-28,validation,True,complete,0.0,0.0,0.0,13.930271443548387,1.623504276451614,16.76370798,False,residual,,evaluation_only
P-D01-W007::C024::C026,P-D01-W007,P-D01,2024-05-14,180,2024-11-10,validation,True,complete,0.0,0.0,0.0,12.035055473870967,2.5051529461290336,22.77140462,False,residual,,evaluation_only
P-D01-W007::C026::C027,P-D01-W007,P-D01,2024-09-03,180,2025-03-02,test,True,complete,0.0,0.0,0.0,12.20922088,2.3309875400000006,27.1094163,False,residual,,evaluation_only
P-D01-W007::C027::C029,P-D01-W007,P-D01,2025-07-22,180,2026-01-18,test,False,right_censored,,,,11.598505528064516,,,,,,evaluation_only
P-H01-W001::C005::C007,P-H01-W001,P-H01,2019-05-14,180,2019-11-10,train,True,complete,0.0,0.0,0.0,37.926224793870965,0.6775503561290321,4.494679163,False,decaying,,evaluation_only
P-H01-W001::C007::C008,P-H01-W001,P-H01,2019-11-05,180,2020-05-03,train,True,complete,0.0,0.0,0.0,33.927679484,-1.476208604,5.400876248,False,decaying,,evaluation_only
P-H01-W001::C008::C010,P-H01-W001,P-H01,2020-04-21,180,2020-10-18,train,True,complete,0.0,0.0,0.0,30.212849493333334,0.6210018066666656,5.400876248,False,decaying,,evaluation_only
P-H01-W001::C010::C012,P-H01-W001,P-H01,2020-10-20,180,2021-04-18,train,True,complete,0.0,0.0,0.0,29.38656693516129,-0.11106728516129039,0.6819006827,False,decaying,,evaluation_only
P-H01-W001::C012::C014,P-H01-W001,P-H01,2021-05-18,180,2021-11-14,train,True,complete,0.0,0.0,0.0,27.077286589354838,-0.15064541935483788,-0.8048584104,False,decaying,,evaluation_only
P-H01-W001::C014::C016,P-H01-W001,P-H01,2021-11-02,180,2022-05-01,train,True,complete,0.0,0.0,0.0,22.531374281666665,-0.7921936716666664,6.764449837,False,decaying,,evaluation_only
P-H01-W001::C016::C018,P-H01-W001,P-H01,2022-05-17,180,2022-11-13,train,True,complete,0.0,0.0,0.0,21.62786299451613,-0.1043602645161279,-2.413005843,False,decaying,,evaluation_only
P-H01-W001::C018::C019,P-H01-W001,P-H01,2022-10-18,180,2023-04-16,train,True,complete,0.0,0.0,0.0,18.802622937096775,0.665967532903224,8.848308909,False,decaying,,evaluation_only
P-H01-W001::C019::C020,P-H01-W001,P-H01,2023-01-17,180,2023-07-16,train,True,complete,0.0,0.0,0.0,18.633072082580647,1.4451522474193546,8.848308909,False,decaying,,evaluation_only
P-H01-W001::C020::C022,P-H01-W001,P-H01,2023-05-16,180,2023-11-12,train,True,complete,0.0,0.0,0.0,19.818564071935484,0.25966025806451754,1.888581354,False,decaying,,evaluation_only
P-H01-W001::C022::C023,P-H01-W001,P-H01,2023-11-07,180,2024-05-05,validation,True,complete,0.0,0.0,0.0,15.51964587,-0.3370731899999999,9.287768183,False,decaying,,evaluation_only
P-H01-W001::C023::C024,P-H01-W001,P-H01,2024-01-30,180,2024-07-28,validation,True,complete,0.0,0.0,0.0,14.637375449032259,0.9219125809677404,9.287768183,False,residual,,evaluation_only
P-H01-W001::C024::C029,P-H01-W001,P-H01,2024-05-14,180,2024-11-10,validation,True,complete,0.0,0.0,0.0,15.106253695806451,0.4530343341935481,3.134125384,False,residual,,evaluation_only
P-H01-W002::C005::C007,P-H01-W002,P-H01,2019-05-14,180,2019-11-10,train,True,complete,0.0,0.0,0.0,17.82831276967742,6.055860200322581,36.19139288,False,background,,evaluation_only
P-H01-W002::C007::C008,P-H01-W002,P-H01,2019-11-05,180,2020-05-03,train,True,complete,0.0,0.0,0.0,12.754911574533333,7.507931835466666,61.65279016,False,background,,evaluation_only
P-H01-W002::C008::C010,P-H01-W002,P-H01,2020-04-21,180,2020-10-18,train,True,complete,0.0,0.0,0.0,18.844152256666668,8.696314323333333,56.46487552,False,background,,evaluation_only
P-H01-W002::C010::C012,P-H01-W002,P-H01,2020-10-20,180,2021-04-18,train,True,complete,0.0,0.0,0.0,21.303069816774194,20.054165303225805,96.15830428,False,background,,evaluation_only
P-H01-W002::C012::C014,P-H01-W002,P-H01,2021-05-18,180,2021-11-14,train,True,complete,0.0,0.0,0.0,50.49808332096774,19.828655749032265,80.26088501,False,background,2021-07-01,evaluation_only
P-H01-W002::C014::C016,P-H01-W002,P-H01,2021-11-02,180,2022-05-01,train,True,complete,1.0,0.0,1.0,70.45969328866667,51.12496451133333,148.5488949,True,accelerating,,evaluation_only
P-H01-W002::C016::C018,P-H01-W002,P-H01,2022-05-17,180,2022-11-13,train,True,complete,0.0,0.0,0.0,124.11665238064516,3.6924842193548386,28.55522701,False,accelerating,,evaluation_only
P-H01-W002::C018::C019,P-H01-W002,P-H01,2022-10-18,180,2023-04-16,train,True,complete,0.0,0.0,0.0,127.19309901612904,10.206466183870972,53.95383079,False,elevated,,evaluation_only
P-H01-W002::C019::C020,P-H01-W002,P-H01,2023-01-17,180,2023-07-16,train,True,complete,0.0,0.0,0.0,126.74110994838709,15.024720451612907,53.95383079,False,elevated,,evaluation_only
P-H01-W002::C020::C022,P-H01-W002,P-H01,2023-05-16,180,2023-11-12,train,True,complete,0.0,0.0,0.0,140.18558502580646,1.580245374193538,9.778287693,False,elevated,,evaluation_only
P-H01-W002::C022::C023,P-H01-W002,P-H01,2023-11-07,180,2024-05-05,validation,True,complete,0.0,0.0,0.0,133.95462021999998,12.66672108000003,59.55528172,False,elevated,,evaluation_only
P-H01-W002::C023::C024,P-H01-W002,P-H01,2024-01-30,180,2024-07-28,validation,True,complete,0.0,0.0,0.0,139.0757066516129,7.545634648387107,59.55528172,False,elevated,,evaluation_only
P-H01-W002::C024::C025,P-H01-W002,P-H01,2024-05-14,180,2024-11-10,validation,True,complete,0.0,0.0,0.0,146.4190405419355,-0.28010874193549284,-4.190532053,False,elevated,,evaluation_only
