sample_id,profile_id,current_campaign_id,current_date,target_campaign_id,target_date,forecast_horizon_days,split,current_coverage,target_coverage,target_max_settlement_mm,target_mean_settlement_mm,target_max_rate_mm_y,target_max_abs_tilt_mm_m,target_max_abs_curvature_mm_m2,target_max_abs_horizontal_strain,derivation
P-H02::C024::C027,P-H02,C024,2024-05-14,C027,2025-07-22,434,test,1.0,1.0,809.490063,380.1940155,154.3326719,8.119425213,0.1342502387,0.0003523461717,derived_from_point_level_forecasts_preferred
P-H02::C027::C029,P-H02,C027,2025-07-22,C029,2025-11-04,105,test,1.0,1.0,853.617848,402.0457583,156.5763458,8.796863573,0.1458703477,0.0003501338211,derived_from_point_level_forecasts_preferred
P-H03::C001::C003,P-H03,C001,2018-05-15,C003,2018-10-16,154,train,1.0,1.0,484.3450891,214.0314136,91.33988155,3.540380709,0.07470259457,0.0001371099455,derived_from_point_level_forecasts_preferred
P-H03::C003::C005,P-H03,C003,2018-10-16,C005,2019-05-14,210,train,1.0,1.0,515.9965996,246.5264249,89.07593329,3.571587682,0.07344890089,0.0001324591582,derived_from_point_level_forecasts_preferred
P-H03::C005::C007,P-H03,C005,2019-05-14,C007,2019-11-05,175,train,1.0,0.8888888888888888,551.0040565,279.7719023,79.9723131,3.611678512,0.07348814424,0.0001659557165,derived_from_point_level_forecasts_preferred
P-H03::C007::C008,P-H03,C007,2019-11-05,C008,2020-04-21,168,train,0.8888888888888888,1.0,578.421773,289.9034208,67.52342595,3.591571943,0.07098857381,0.0001479468065,derived_from_point_level_forecasts_preferred
P-H03::C008::C010,P-H03,C008,2020-04-21,C010,2020-10-20,182,train,1.0,1.0,610.2074052,310.7690558,65.70880678,3.660282412,0.07250415896,0.000284959025,derived_from_point_level_forecasts_preferred
P-H03::C010::C012,P-H03,C010,2020-10-20,C012,2021-05-18,210,train,1.0,1.0,641.1348937,333.929871,60.8429903,3.649400161,0.0720309208,0.000177789358,derived_from_point_level_forecasts_preferred
P-H03::C012::C014,P-H03,C012,2021-05-18,C014,2021-11-02,168,train,1.0,0.8888888888888888,659.325382,342.1797088,50.45865386,3.641267505,0.06335966641,0.0002123165484,derived_from_point_level_forecasts_preferred
P-H03::C014::C016,P-H03,C014,2021-11-02,C016,2022-05-17,196,train,0.8888888888888888,1.0,681.4544037,366.6714758,47.21377091,3.622709426,0.07382642334,0.0001996692756,derived_from_point_level_forecasts_preferred
P-H03::C016::C018,P-H03,C016,2022-05-17,C018,2022-10-18,154,train,1.0,0.8888888888888888,700.6753771,355.863941,44.2253696,3.652150412,0.07528551808,0.0002225570963,derived_from_point_level_forecasts_preferred
P-H03::C018::C020,P-H03,C018,2022-10-18,C020,2023-05-16,210,train,0.8888888888888888,1.0,722.6193227,402.3390282,85.29466995,3.675289781,0.0761930633,0.0002088447209,derived_from_point_level_forecasts_preferred
P-H03::C020::C022,P-H03,C020,2023-05-16,C022,2023-11-07,175,train,1.0,0.8888888888888888,741.2321783,474.2479593,137.7159185,3.720802696,0.07819153273,0.0002553762376,derived_from_point_level_forecasts_preferred
P-H03::C022::C024,P-H03,C022,2023-11-07,C024,2024-05-14,189,validation,0.8888888888888888,1.0,785.7780056,439.9744881,140.3627033,3.689021176,0.07726846739,0.0002333521206,derived_from_point_level_forecasts_preferred
P-H04::C001::C003,P-H04,C001,2018-05-15,C003,2018-10-16,154,train,1.0,1.0,621.2544001,152.7928194,55.95107618,4.617960468,0.05465394739,0.0001209153355,derived_from_point_level_forecasts_preferred
P-H04::C003::C007,P-H04,C003,2018-10-16,C007,2019-11-05,385,train,1.0,1.0,654.2078632,181.428822,49.97034342,4.549338287,0.05409617219,9.755184658e-05,derived_from_point_level_forecasts_preferred
P-H04::C007::C008,P-H04,C007,2019-11-05,C008,2020-04-21,168,train,1.0,1.0,668.8007882,192.9202725,48.46014377,4.56334805,0.05426587586,0.000143330545,derived_from_point_level_forecasts_preferred
P-H04::C008::C010,P-H04,C008,2020-04-21,C010,2020-10-20,182,train,1.0,1.0,685.8453421,207.6470467,44.69549756,4.581799138,0.05418266205,0.0001475039703,derived_from_point_level_forecasts_preferred
P-H04::C010::C012,P-H04,C010,2020-10-20,C012,2021-05-18,210,train,1.0,1.0,701.2367313,218.4800266,32.40512459,4.629152523,0.05451833653,0.0001620840422,derived_from_point_level_forecasts_preferred
P-H04::C012::C014,P-H04,C012,2021-05-18,C014,2021-11-02,168,train,1.0,1.0,717.1159883,230.1327438,38.06636181,4.671590793,0.05493599446,0.0001363233056,derived_from_point_level_forecasts_preferred
P-H04::C014::C016,P-H04,C014,2021-11-02,C016,2022-05-17,196,train,1.0,1.0,737.4394079,243.1945677,48.01577365,4.740091267,0.05580649375,0.0001441296513,derived_from_point_level_forecasts_preferred
P-H04::C016::C018,P-H04,C016,2022-05-17,C018,2022-10-18,154,train,1.0,0.8888888888888888,746.0410865,284.0156964,131.7071994,4.774658599,0.05430142233,0.0001676485375,derived_from_point_level_forecasts_preferred
P-H04::C018::C020,P-H04,C018,2022-10-18,C020,2023-05-16,210,train,0.8888888888888888,0.8888888888888888,764.7947164,304.686779,81.70204074,4.849506151,0.05297511992,0.0001516543804,derived_from_point_level_forecasts_preferred
P-H05::C001::C003,P-H05,C001,2018-05-15,C003,2018-10-16,154,train,1.0,1.0,1522.578656,912.9706263,79.07292964,4.803990545,0.04378472967,0.0003325103993,derived_from_point_level_forecasts_preferred
P-H05::C003::C005,P-H05,C003,2018-10-16,C005,2019-05-14,210,train,1.0,1.0,1535.479273,931.3673689,72.0200034,4.71569165,0.04323381103,0.0003086681344,derived_from_point_level_forecasts_preferred
P-H05::C005::C007,P-H05,C005,2019-05-14,C007,2019-11-05,175,train,1.0,1.0,1545.959371,945.4540056,66.82851453,4.631713372,0.04258756989,0.0003177087926,derived_from_point_level_forecasts_preferred
P-H05::C007::C008,P-H05,C007,2019-11-05,C008,2020-04-21,168,train,1.0,0.8888888888888888,1555.835222,926.6553063,57.54927698,4.569788215,0.01917641121,0.0003498427048,derived_from_point_level_forecasts_preferred
P-H05::C008::C010,P-H05,C008,2020-04-21,C010,2020-10-20,182,train,0.8888888888888888,1.0,1564.339941,967.7254478,47.96115479,4.510383288,0.0417290348,0.0003405647962,derived_from_point_level_forecasts_preferred
P-H05::C010::C012,P-H05,C010,2020-10-20,C012,2021-05-18,210,train,1.0,1.0,1579.612527,981.5991438,44.30322179,4.457254621,0.04128416664,0.000343887245,derived_from_point_level_forecasts_preferred
P-H05::C012::C014,P-H05,C012,2021-05-18,C014,2021-11-02,168,train,1.0,1.0,1590.422009,991.4060095,40.98132163,4.436583871,0.04122029022,0.0003648791294,derived_from_point_level_forecasts_preferred
P-H05::C014::C016,P-H05,C014,2021-11-02,C016,2022-05-17,196,train,1.0,1.0,1605.152288,1002.223209,36.34698676,4.438106191,0.04131018273,0.0003592520816,derived_from_point_level_forecasts_preferred
P-H05::C016::C018,P-H05,C016,2022-05-17,C018,2022-10-18,154,train,1.0,0.8888888888888888,1619.873588,978.8351125,44.48951575,4.422852086,0.04103891487,0.0003553230962,derived_from_point_level_forecasts_preferred
P-H05::C024::C027,P-H05,C024,2024-05-14,C027,2025-07-22,434,test,0.8888888888888888,0.8888888888888888,1894.214169,1084.715297,134.0668259,4.924782462,0.04181402999,0.0002345704187,derived_from_point_level_forecasts_preferred
P-H05::C027::C029,P-H05,C027,2025-07-22,C029,2025-11-04,105,test,0.8888888888888888,0.8888888888888888,1933.828461,1106.497744,141.7696452,4.985982539,0.04221142197,0.0002364655499,derived_from_point_level_forecasts_preferred
P-H06::C001::C003,P-H06,C001,2018-05-15,C003,2018-10-16,154,train,1.0,0.8888888888888888,324.4039332,185.8476801,0.3731819217,3.448449682,0.03362027464,0.0001236218341,derived_from_point_level_forecasts_preferred
P-H06::C003::C005,P-H06,C003,2018-10-16,C005,2019-05-14,210,train,0.8888888888888888,1.0,327.0829308,186.0759013,6.574866588,3.441839803,0.03351090787,0.0001327048745,derived_from_point_level_forecasts_preferred
P-H06::C005::C007,P-H06,C005,2019-05-14,C007,2019-11-05,175,train,1.0,1.0,328.1984274,187.695104,6.829387103,3.432177569,0.03341377652,0.000143057035,derived_from_point_level_forecasts_preferred
P-H06::C007::C008,P-H06,C007,2019-11-05,C008,2020-04-21,168,train,1.0,1.0,330.4269526,188.8035586,5.080952652,3.450215309,0.03357667888,0.0001780746482,derived_from_point_level_forecasts_preferred
P-H06::C008::C010,P-H06,C008,2020-04-21,C010,2020-10-20,182,train,1.0,0.8888888888888888,329.5654771,204.9458925,0.006024164902,1.574824145,0.0173668599,0.0001370307876,derived_from_point_level_forecasts_preferred
P-H06::C010::C012,P-H06,C010,2020-10-20,C012,2021-05-18,210,train,0.8888888888888888,1.0,332.7947368,190.7582963,6.941094664,3.442933448,0.03351934237,0.0001428055486,derived_from_point_level_forecasts_preferred
P-H06::C012::C014,P-H06,C012,2021-05-18,C014,2021-11-02,168,train,1.0,1.0,333.486487,191.5012634,5.267175007,3.451395152,0.03356884583,0.0001262075082,derived_from_point_level_forecasts_preferred
P-H06::C014::C016,P-H06,C014,2021-11-02,C016,2022-05-17,196,train,1.0,1.0,334.6102211,192.2490581,2.526655277,3.457015938,0.03359758188,0.0001544371136,derived_from_point_level_forecasts_preferred
P-H06::C016::C018,P-H06,C016,2022-05-17,C018,2022-10-18,154,train,1.0,0.8888888888888888,336.138104,175.1805482,4.010419005,1.573313909,0.01744033513,0.0001190045988,derived_from_point_level_forecasts_preferred
P-H06::C018::C020,P-H06,C018,2022-10-18,C020,2023-05-16,210,train,0.8888888888888888,0.8888888888888888,336.0632833,197.6856647,3.212752452,3.454473859,0.01839669213,0.0001252835065,derived_from_point_level_forecasts_preferred
P-H06::C020::C022,P-H06,C020,2023-05-16,C022,2023-11-07,175,train,0.8888888888888888,1.0,338.1592983,194.3281142,5.470801057,3.456447402,0.03360417855,0.000112040581,derived_from_point_level_forecasts_preferred
P-H06::C022::C024,P-H06,C022,2023-11-07,C024,2024-05-14,189,validation,1.0,0.8888888888888888,340.0507711,200.2349667,5.259677176,3.461334743,0.01840767561,0.0001797290481,derived_from_point_level_forecasts_preferred
P-H06::C024::C027,P-H06,C024,2024-05-14,C027,2025-07-22,434,test,0.8888888888888888,0.8888888888888888,341.6559986,179.0447649,2.799979904,3.443070459,0.03341216448,0.0001143830684,derived_from_point_level_forecasts_preferred
P-H06::C027::C029,P-H06,C027,2025-07-22,C029,2025-11-04,105,test,0.8888888888888888,0.8888888888888888,344.2047366,180.4109393,10.35559097,3.445281916,0.03342677598,8.477580017e-05,derived_from_point_level_forecasts_preferred
P-H07::C001::C003,P-H07,C001,2018-05-15,C003,2018-10-16,154,train,0.8888888888888888,1.0,259.3625916,84.20816707,87.20724388,1.899329342,0.03046033518,6.603890509e-05,derived_from_point_level_forecasts_preferred
P-H07::C003::C005,P-H07,C003,2018-10-16,C005,2019-05-14,210,train,1.0,0.8888888888888888,260.6606147,101.7283305,73.57504548,2.068035583,0.02176084185,7.504615894e-05,derived_from_point_level_forecasts_preferred
P-H07::C005::C007,P-H07,C005,2019-05-14,C007,2019-11-05,175,train,0.8888888888888888,1.0,261.3609351,102.9942486,65.74446394,2.230570494,0.02802104328,6.635184417e-05,derived_from_point_level_forecasts_preferred
P-H07::C007::C008,P-H07,C007,2019-11-05,C008,2020-04-21,168,train,1.0,0.8888888888888888,261.6585714,117.4522036,53.77895519,2.356588574,0.02945690489,9.561334228e-05,derived_from_point_level_forecasts_preferred
P-H07::C008::C012,P-H07,C008,2020-04-21,C012,2021-05-18,392,train,0.8888888888888888,1.0,280.1889029,129.0469919,47.40963813,2.69923095,0.04360950714,0.0001026131559,derived_from_point_level_forecasts_preferred
P-H07::C012::C014,P-H07,C012,2021-05-18,C014,2021-11-02,168,train,1.0,1.0,292.8048369,134.1195343,34.34648117,2.867326083,0.05012308806,8.886669984e-05,derived_from_point_level_forecasts_preferred
P-H07::C014::C016,P-H07,C014,2021-11-02,C016,2022-05-17,196,train,1.0,0.8888888888888888,311.4835083,154.9873278,40.7491784,3.030872995,0.05723654177,0.0001255642984,derived_from_point_level_forecasts_preferred
P-H07::C016::C018,P-H07,C016,2022-05-17,C018,2022-10-18,154,train,0.8888888888888888,0.8888888888888888,324.534308,160.6643553,31.59568333,3.169776847,0.06258315943,0.0001017775111,derived_from_point_level_forecasts_preferred
P-H07::C018::C020,P-H07,C018,2022-10-18,C020,2023-05-16,210,train,0.8888888888888888,1.0,341.6372162,158.3797617,36.17353259,3.34375416,0.06978574336,9.826165691e-05,derived_from_point_level_forecasts_preferred
P-H07::C020::C022,P-H07,C020,2023-05-16,C022,2023-11-07,175,train,1.0,1.0,354.6238413,164.1493807,30.54975842,3.505387613,0.07629574161,9.819997731e-05,derived_from_point_level_forecasts_preferred
P-H07::C022::C024,P-H07,C022,2023-11-07,C024,2024-05-14,189,validation,1.0,1.0,371.2740004,171.9068522,37.01570369,3.661553974,0.08331816109,7.447786177e-05,derived_from_point_level_forecasts_preferred
P-H07::C024::C027,P-H07,C024,2024-05-14,C027,2025-07-22,434,test,1.0,1.0,407.6376861,187.4173515,33.60625821,4.054203265,0.09925626266,0.000146990765,derived_from_point_level_forecasts_preferred
P-H07::C027::C029,P-H07,C027,2025-07-22,C029,2025-11-04,105,test,1.0,0.8888888888888888,418.2081455,211.0806663,39.90669012,2.936086849,0.05074704015,0.0001211853284,derived_from_point_level_forecasts_preferred
P-V01::C001::C003,P-V01,C001,2018-05-15,C003,2018-10-16,154,train,1.0,0.8888888888888888,717.0537558,181.4604829,85.72882483,4.711697296,0.08231041279,2.901780488e-05,derived_from_point_level_forecasts_preferred
P-V01::C003::C005,P-V01,C003,2018-10-16,C005,2019-05-14,210,train,0.8888888888888888,1.0,757.8279581,188.6118491,79.80343527,4.81296383,0.08500797573,4.058704244e-05,derived_from_point_level_forecasts_preferred
P-V01::C005::C007,P-V01,C005,2019-05-14,C007,2019-11-05,175,train,1.0,1.0,790.3317202,206.2961417,68.72689379,4.955041345,0.08691021977,3.095169674e-05,derived_from_point_level_forecasts_preferred
P-V01::C007::C008,P-V01,C007,2019-11-05,C008,2020-04-21,168,train,1.0,1.0,819.4437001,222.3038301,65.90209901,5.088317499,0.08873922764,2.898504806e-05,derived_from_point_level_forecasts_preferred
P-V01::C008::C010,P-V01,C008,2020-04-21,C010,2020-10-20,182,train,1.0,0.8888888888888888,844.5352062,221.4848,51.23223904,5.155065733,0.08993314735,3.531666422e-05,derived_from_point_level_forecasts_preferred
P-V01::C010::C012,P-V01,C010,2020-10-20,C012,2021-05-18,210,train,0.8888888888888888,1.0,866.3875716,252.0049702,47.78947436,5.170676847,0.09036289781,4.362967321e-05,derived_from_point_level_forecasts_preferred
P-V01::C012::C014,P-V01,C012,2021-05-18,C014,2021-11-02,168,train,1.0,1.0,882.1154215,263.6262742,42.90673727,5.149878805,0.09052823941,3.439055809e-05,derived_from_point_level_forecasts_preferred
P-V01::C014::C016,P-V01,C014,2021-11-02,C016,2022-05-17,196,train,1.0,0.8888888888888888,898.9536485,257.1186465,37.96912237,5.111063809,0.04698778805,4.904275091e-05,derived_from_point_level_forecasts_preferred
P-V01::C016::C018,P-V01,C016,2022-05-17,C018,2022-10-18,154,train,0.8888888888888888,1.0,912.7773075,287.1793291,39.66788351,5.140075201,0.09062528018,4.108794917e-05,derived_from_point_level_forecasts_preferred
P-V01::C018::C020,P-V01,C018,2022-10-18,C020,2023-05-16,210,train,1.0,0.8888888888888888,928.2935912,311.9103665,35.04047424,5.160885292,0.0904247779,4.875504024e-05,derived_from_point_level_forecasts_preferred
P-V01::C020::C022,P-V01,C020,2023-05-16,C022,2023-11-07,175,train,0.8888888888888888,1.0,941.0150773,309.110711,34.00704594,5.204876953,0.09046956231,2.551348835e-05,derived_from_point_level_forecasts_preferred
P-V01::C022::C024,P-V01,C022,2023-11-07,C024,2024-05-14,189,validation,1.0,0.8888888888888888,954.4755617,334.4094483,34.68978227,5.225139535,0.09023656103,4.35775263e-05,derived_from_point_level_forecasts_preferred
P-V01::C024::C027,P-V01,C024,2024-05-14,C027,2025-07-22,434,test,0.8888888888888888,0.8888888888888888,984.0303341,350.5622391,35.95003748,5.320437491,0.08981034629,2.696811634e-05,derived_from_point_level_forecasts_preferred
P-V01::C027::C029,P-V01,C027,2025-07-22,C029,2025-11-04,105,test,0.8888888888888888,1.0,990.3840517,348.7917975,36.55773187,5.340458434,0.08958666484,5.055094814e-05,derived_from_point_level_forecasts_preferred
P-V02::C001::C003,P-V02,C001,2018-05-15,C003,2018-10-16,154,train,1.0,1.0,237.6142812,74.99323726,92.50081058,2.600754081,0.05166874446,3.596068599e-05,derived_from_point_level_forecasts_preferred
P-V02::C003::C005,P-V02,C003,2018-10-16,C005,2019-05-14,210,train,1.0,0.8888888888888888,250.1742612,103.6307946,72.74382655,2.609197649,0.04777677195,5.122601272e-05,derived_from_point_level_forecasts_preferred
P-V02::C005::C007,P-V02,C005,2019-05-14,C007,2019-11-05,175,train,0.8888888888888888,1.0,263.0548775,107.0910321,60.14616139,2.892543637,0.05109103998,6.013247426e-05,derived_from_point_level_forecasts_preferred
P-V02::C007::C008,P-V02,C007,2019-11-05,C008,2020-04-21,168,train,1.0,1.0,276.5538551,120.2639253,62.69744362,3.311345712,0.05817234979,9.596392047e-05,derived_from_point_level_forecasts_preferred
P-V02::C008::C010,P-V02,C008,2020-04-21,C010,2020-10-20,182,train,1.0,1.0,289.5265656,132.8091639,53.86677727,3.673664879,0.06338016055,7.439638599e-05,derived_from_point_level_forecasts_preferred
P-V02::C010::C012,P-V02,C010,2020-10-20,C012,2021-05-18,210,train,1.0,0.8888888888888888,304.3058878,130.9041355,49.8453672,4.138083137,0.07083529573,6.515011251e-05,derived_from_point_level_forecasts_preferred
P-V02::C012::C014,P-V02,C012,2021-05-18,C014,2021-11-02,168,train,0.8888888888888888,0.8888888888888888,315.6689028,139.7137232,44.07420086,4.386384108,0.0739852495,2.692894723e-05,derived_from_point_level_forecasts_preferred
P-V02::C014::C016,P-V02,C014,2021-11-02,C016,2022-05-17,196,train,0.8888888888888888,1.0,331.8927365,168.6127028,44.9998835,4.683330884,0.07826339434,5.062434738e-05,derived_from_point_level_forecasts_preferred
P-V02::C016::C018,P-V02,C016,2022-05-17,C018,2022-10-18,154,train,1.0,1.0,341.2173357,175.0601804,33.87410438,4.872784057,0.08062412485,3.109068627e-05,derived_from_point_level_forecasts_preferred
P-V02::C018::C020,P-V02,C018,2022-10-18,C020,2023-05-16,210,train,1.0,0.8888888888888888,359.2156804,211.0671969,41.52407219,5.072826778,0.08211803064,3.629971136e-05,derived_from_point_level_forecasts_preferred
P-V02::C020::C022,P-V02,C020,2023-05-16,C022,2023-11-07,175,train,0.8888888888888888,1.0,372.0057461,195.968404,36.01086462,5.301815968,0.08556819501,3.136312824e-05,derived_from_point_level_forecasts_preferred
