sample_id,point_id,profile_id,current_campaign_id,current_date,target_campaign_id,target_date,target_campaign_type,split,forecast_horizon_days,label_status,target_available,missing_reason,current_observed_settlement_mm,target_observed_settlement_mm,observed_increment_mm,observed_rate_mm_y,current_standard_uncertainty_mm,target_standard_uncertainty_mm,sigma_increment_mm,sigma_rate_mm_y,training_weight
P-D01-W001::C020::C022,P-D01-W001,P-D01,C020,2023-05-16,C022,2023-11-07,full,train,175,observed,True,,464.0489585,533.7628979,69.71393939999996,145.5029506619999,0.692627443,0.7255124858,1.0030459320731098,2.0935001525125907,1.4690053765574662
P-D01-W001::C022::C023,P-D01-W001,P-D01,C022,2023-11-07,C023,2024-01-30,focused,validation,84,observed,True,,533.7628979,568.8302716,35.06737369999996,152.48045528482126,0.7255124858,0.7058709036,1.012236187656209,4.401419851683695,0.3323408935612805
P-D01-W001::C023::C024,P-D01-W001,P-D01,C023,2024-01-30,C024,2024-05-14,full,validation,105,observed,True,,568.8302716,612.6301418,43.7998702000001,152.3609770528575,0.7058709036,0.6964994676,0.9916477403373458,3.4495174967449103,0.5410690281560341
P-D01-W001::C024::C026,P-D01-W001,P-D01,C024,2024-05-14,C026,2024-09-03,focused,validation,112,observed,True,,612.6301418,659.3590244,46.728882599999906,152.39039615758898,0.6964994676,1.303485377,1.4778990616479581,4.8196663595260425,0.27716311162969764
P-D01-W001::C026::C027,P-D01-W001,P-D01,C026,2024-09-03,C027,2025-07-22,full,test,322,observed,True,,659.3590244,791.6782347,132.3192103,150.0918992611025,1.303485377,0.7225229321,1.4903400670528901,1.690517731338721,2.252837768559346
P-D01-W001::C027::C029,P-D01-W001,P-D01,C027,2025-07-22,C029,2025-11-04,full,test,105,observed,True,,791.6782347,833.1029835,41.42474880000009,144.09894761142888,0.7225229321,0.887419002,1.1443565320830118,3.9807259366030485,0.4062981286878177
P-D01-W002::C005::C007,P-D01-W002,P-D01,C005,2019-05-14,C007,2019-11-05,full,train,175,observed,True,,253.8984268,288.6072528,34.708826000000016,72.44227826571432,0.7228996807,0.853318325,1.1183631396540963,2.3341836386209067,1.1816785110735444
P-D01-W002::C007::C008,P-D01-W002,P-D01,C007,2019-11-05,C008,2020-04-21,full,train,168,observed,True,,288.6072528,319.1776091,30.570356299999958,66.46322999151776,0.853318325,1.190305509,1.4645748081052588,3.1841425515502726,0.6350155701055247
P-D01-W002::C008::C009,P-D01-W002,P-D01,C008,2020-04-21,C009,2020-06-02,focused,train,42,observed,True,,319.1776091,329.4193158,10.241706700000009,89.0662707660715,1.190305509,0.7259817878,1.3942298092398662,12.12481994821098,0.20726567062393048
P-D01-W002::C009::C010,P-D01-W002,P-D01,C009,2020-06-02,C010,2020-10-20,full,train,140,observed,True,,329.4193158,350.9983126,21.578996800000027,56.29806129428578,0.7259817878,0.7405381885,1.0370373015683407,2.705556245698832,0.8795413164542824
P-D01-W002::C010::C012,P-D01-W002,P-D01,C010,2020-10-20,C012,2021-05-18,full,train,210,observed,True,,350.9983126,380.024617,29.026304399999958,50.4850365814285,0.7405381885,0.7260975829,1.0371183676514866,1.8038451608795498,1.978658603097481
P-D01-W002::C012::C014,P-D01-W002,P-D01,C012,2021-05-18,C014,2021-11-02,full,train,168,observed,True,,380.024617,401.5178094,21.493192399999998,46.72850311964286,0.7260975829,0.7272446037,1.0276684355880512,2.234261286300808,1.2897378882570647
P-D01-W002::C014::C015,P-D01-W002,P-D01,C014,2021-11-02,C015,2022-03-01,focused,train,119,observed,True,,401.5178094,416.4724615,14.954652100000033,45.90072839936985,0.7272446037,0.7183573579,1.0222142668050758,3.137510596223142,0.6540319682411946
P-D01-W002::C015::C016,P-D01-W002,P-D01,C015,2022-03-01,C016,2022-05-17,full,train,77,observed,True,,416.4724615,425.9915082,9.51904669999999,45.15365983344151,0.7183573579,0.7523242762,1.0402062825271354,4.934225255753717,0.26444261021482784
P-D01-W002::C016::C017,P-D01-W002,P-D01,C016,2022-05-17,C017,2022-07-19,focused,train,63,observed,True,,425.9915082,433.7567605,7.765252299999986,45.01997464404754,0.7523242762,0.7162685057,1.0387648380733556,6.022362811211003,0.20726567062393048
P-D01-W002::C017::C018,P-D01-W002,P-D01,C017,2022-07-19,C018,2022-10-18,full,train,91,observed,True,,433.7567605,445.217202,11.460441500000002,45.999189646978024,0.7162685057,0.7332011732,1.0249997720192758,4.1140787552751705,0.380385695553235
P-D01-W002::C018::C020,P-D01-W002,P-D01,C018,2022-10-18,C020,2023-05-16,full,train,210,observed,True,,445.217202,473.3364987,28.119296700000007,48.907491046071435,0.7332011732,0.7118145782,1.0218923397892268,1.7773627481334051,2.0380612511837866
P-D01-W002::C020::C022,P-D01-W002,P-D01,C020,2023-05-16,C022,2023-11-07,full,train,175,observed,True,,473.3364987,489.5190384,16.182539700000007,33.775272145285726,0.7118145782,0.7417612111,1.0280514033989656,2.145690143379841,1.3984127231764216
P-D01-W002::C022::C023,P-D01-W002,P-D01,C022,2023-11-07,C023,2024-01-30,focused,validation,84,observed,True,,489.5190384,498.1206842,8.601645800000028,37.40179914821441,0.7417612111,0.7244221394,1.0368206837951353,4.508318509002061,0.3167671936338492
P-D01-W002::C023::C024,P-D01-W002,P-D01,C023,2024-01-30,C024,2024-05-14,full,validation,105,observed,True,,498.1206842,509.3237853,11.20310109999997,38.97078739785704,0.7244221394,0.7162787064,1.018745611669042,3.5437793777344537,0.512667782482342
P-D01-W002::C024::C026,P-D01-W002,P-D01,C024,2024-05-14,C026,2024-09-03,focused,validation,112,observed,True,,509.3237853,518.7521922,9.42840689999997,30.747550180580262,0.7162787064,1.325977004,1.5070733891814536,4.914808530343982,0.2665361819417398
P-D01-W002::C026::C027,P-D01-W002,P-D01,C026,2024-09-03,C027,2025-07-22,full,test,322,observed,True,,518.7521922,548.8876721,30.135479900000064,34.1831802281833,1.325977004,0.7352899536,1.5162012831421514,1.7198525424461826,2.1766417422418636
P-D01-W002::C027::C029,P-D01-W002,P-D01,C027,2025-07-22,C029,2025-11-04,full,test,105,observed,True,,548.8876721,556.1958267,7.308154599999966,25.42193778714274,0.7352899536,0.9068379234,1.1674786230083678,4.061157781464822,0.39036390476796756
P-D01-W003::C005::C007,P-D01-W003,P-D01,C005,2019-05-14,C007,2019-11-05,full,train,175,observed,True,,422.5726527,424.6004356,2.027782900000034,4.2322725955715,0.7338193434,0.8630926646,1.1328811837233133,2.364484870599658,1.1515857974715757
P-D01-W003::C007::C008,P-D01-W003,P-D01,C007,2019-11-05,C008,2020-04-21,full,train,168,observed,True,,424.6004356,424.4279906,-0.17244500000003882,-0.37491390625008436,0.8630926646,1.208959984,1.485433670885243,3.229491954112113,0.6173066639160616
P-D01-W003::C008::C010,P-D01-W003,P-D01,C008,2020-04-21,C010,2020-10-20,full,train,182,observed,True,,424.4279906,427.1755913,2.747600700000021,5.514072283928614,1.208959984,0.7479469121,1.4216218998852,2.853007686445436,0.7909763449341398
P-D01-W003::C010::C012,P-D01-W003,P-D01,C010,2020-10-20,C012,2021-05-18,full,train,210,observed,True,,427.1755913,427.9950254,0.8194340999999667,1.4252300239285136,0.7479469121,0.7375658013,1.0504417616256678,1.8270183496846435,1.928783848385889
P-D01-W003::C012::C014,P-D01-W003,P-D01,C012,2021-05-18,C014,2021-11-02,full,train,168,observed,True,,427.9950254,430.5222889,2.5272635000000037,5.494541627232151,0.7375658013,0.7359342763,1.0419225356428932,2.2652512270450402,1.2546905597541724
P-D01-W003::C014::C015,P-D01-W003,P-D01,C014,2021-11-02,C015,2022-03-01,focused,train,119,observed,True,,430.5222889,431.8492734,1.3269845000000373,4.0729503245799465,0.7359342763,0.7277254979,1.034980028467703,3.176692902502761,0.6379974069956028
P-D01-W003::C015::C016,P-D01-W003,P-D01,C015,2022-03-01,C016,2022-05-17,full,train,77,observed,True,,431.8492734,431.1289079,-0.720365500000014,-3.4170584269481186,0.7277254979,0.7627195049,1.0541942152415293,5.000577105415177,0.25747147599188613
P-D01-W003::C016::C018,P-D01-W003,P-D01,C016,2022-05-17,C018,2022-10-18,full,train,154,observed,True,,431.1289079,434.098511,2.969603099999972,7.043165793993441,0.7627195049,0.7438162597,1.0653655106811928,2.5267841089370497,1.008400622676374
P-D01-W003::C018::C020,P-D01-W003,P-D01,C018,2022-10-18,C020,2023-05-16,full,train,210,observed,True,,434.098511,437.489781,3.39127000000002,5.898387464285749,0.7438162597,0.7237034749,1.0377906088303328,1.8050143803584717,1.9760960341650844
P-D01-W003::C020::C022,P-D01-W003,P-D01,C020,2023-05-16,C022,2023-11-07,full,train,175,observed,True,,437.489781,436.4140335,-1.0757474999999772,-2.245238710714238,0.7237034749,0.7517488648,1.0434908122788737,2.1779143953420492,1.3573372510056565
P-D01-W003::C022::C023,P-D01-W003,P-D01,C022,2023-11-07,C023,2024-01-30,focused,validation,84,observed,True,,436.4140335,438.3693399,1.9553063999999836,8.5020912214285,0.7517488648,0.7361226582,1.0521420643827157,4.574939154949845,0.3076087848288401
P-D01-W003::C023::C024,P-D01-W003,P-D01,C023,2024-01-30,C024,2024-05-14,full,validation,105,observed,True,,438.3693399,439.9162736,1.546933700000011,5.381119370714324,0.7361226582,0.7289021762,1.0359415767235765,3.6035967704598697,0.49578913021990273
P-D01-W003::C024::C026,P-D01-W003,P-D01,C024,2024-05-14,C026,2024-09-03,focused,validation,112,observed,True,,439.9162736,439.6700591,-0.24621450000000777,-0.8029450546875254,0.7289021762,1.337895055,1.5235686924659972,4.968602365385763,0.2607959816446731
P-D01-W003::C026::C027,P-D01-W003,P-D01,C026,2024-09-03,C027,2025-07-22,full,test,322,observed,True,,439.6700591,442.7190846,3.0490254999999706,3.458560757375743,1.337895055,0.7420774844,1.5299157398519976,1.7354090806861555,2.1377929859544174
P-D01-W003::C027::C029,P-D01-W003,P-D01,C027,2025-07-22,C029,2025-11-04,full,test,105,observed,True,,442.7190846,443.904233,1.1851484000000028,4.122623362857152,0.7420774844,0.9188133812,1.1810575863714727,4.108393175449337,0.38143925086158315
P-D01-W004::C005::C007,P-D01-W004,P-D01,C005,2019-05-14,C007,2019-11-05,full,train,175,observed,True,,423.4056354,425.1970884,1.79145299999999,3.739018332857122,0.7427428406,0.868148123,1.1425183108952697,2.3845989317399843,1.132240509049414
P-D01-W004::C007::C008,P-D01-W004,P-D01,C007,2019-11-05,C008,2020-04-21,full,train,168,observed,True,,425.1970884,424.9194025,-0.2776858999999945,-0.6037188986607023,0.868148123,1.225655853,1.5019698510494746,3.2654433815227417,0.603788814044059
P-D01-W004::C008::C010,P-D01-W004,P-D01,C008,2020-04-21,C010,2020-10-20,full,train,182,observed,True,,424.9194025,427.1044917,2.185089199999993,4.385185880769217,1.225655853,0.751221368,1.4375554993574853,2.884984319452316,0.7735394458916331
P-D01-W004::C010::C012,P-D01-W004,P-D01,C010,2020-10-20,C012,2021-05-18,full,train,210,observed,True,,427.1044917,428.4599073,1.3554156000000148,2.3574549900000257,0.751221368,0.7476194567,1.059843571370886,1.843370783062934,1.8947153760424869
P-D01-W004::C012::C014,P-D01-W004,P-D01,C012,2021-05-18,C014,2021-11-02,full,train,168,observed,True,,428.4599073,429.3412244,0.8813170999999898,1.9160778022321208,0.7476194567,0.7409914016,1.0526172662851088,2.288502717325214,1.229324435252763
P-D01-W004::C014::C015,P-D01-W004,P-D01,C014,2021-11-02,C015,2022-03-01,focused,train,119,observed,True,,429.3412244,430.5308229,1.1895984999999882,3.65126766491593,0.7409914016,0.7336334223,1.0427301930800423,3.200480697667945,0.628548731827975
P-D01-W004::C015::C016,P-D01-W004,P-D01,C015,2022-03-01,C016,2022-05-17,full,train,77,observed,True,,430.5308229,430.6071819,0.07635900000002493,0.36220941233778065,0.7336334223,0.7696272298,1.0632704600266256,5.043630331489935,0.25309460243965654
P-D01-W004::C016::C018,P-D01-W004,P-D01,C016,2022-05-17,C018,2022-10-18,full,train,154,observed,True,,430.6071819,432.8034862,2.1963043000000084,5.209091854383137,0.7696272298,0.7526121944,1.076453058897231,2.5530810374169715,0.9877343995605107
P-D01-W004::C018::C020,P-D01-W004,P-D01,C018,2022-10-18,C020,2023-05-16,full,train,210,observed,True,,432.8034862,435.6570428,2.8535565999999903,4.963150229285698,0.7526121944,0.7336514969,1.0510326512831056,1.8280460756245442,1.926615736753367
P-D01-W004::C020::C022,P-D01-W004,P-D01,C020,2023-05-16,C022,2023-11-07,full,train,175,observed,True,,435.6570428,434.4156161,-1.2414266999999768,-2.5910348695713803,0.7336514969,0.7597443227,1.0561514828747307,2.204339023542831,1.324990001088318
P-D01-W004::C022::C023,P-D01-W004,P-D01,C022,2023-11-07,C023,2024-01-30,focused,validation,84,observed,True,,434.4156161,435.2271972,0.8115810999999553,3.5289285330355202,0.7597443227,0.7465281805,1.0651364983679428,4.63144173843918,0.3001490469354761
P-D01-W004::C023::C024,P-D01-W004,P-D01,C023,2024-01-30,C024,2024-05-14,full,validation,105,observed,True,,435.2271972,438.0830488,2.855851599999994,9.93428377999998,0.7465281805,0.7406368838,1.0515927528875497,3.658040504687405,0.48114099170851626
P-D01-W004::C024::C026,P-D01-W004,P-D01,C024,2024-05-14,C026,2024-09-03,focused,validation,112,observed,True,,438.0830488,438.0320111,-0.05103769999999486,-0.16644214218748324,0.7406368838,1.341135124,1.5320530064170332,4.996271076730548,0.257915470043035
P-D01-W004::C026::C027,P-D01-W004,P-D01,C026,2024-09-03,C027,2025-07-22,full,test,322,observed,True,,438.0320111,440.6785309,2.6465198000000214,3.0019917917702106,1.341135124,0.7440148881,1.5336888780130573,1.7396890145784758,2.127287248700052
P-D01-W004::C027::C029,P-D01-W004,P-D01,C027,2025-07-22,C029,2025-11-04,full,test,105,observed,True,,440.6785309,440.7305991,0.05206820000000789,0.18112295285717028,0.7440148881,0.928512857,1.1898295169177633,4.138906962421077,0.3758357174948888
P-D01-W005::C005::C007,P-D01-W005,P-D01,C005,2019-05-14,C007,2019-11-05,full,train,175,observed,True,,219.410413,237.0097546,17.599341600000002,36.732340110857145,0.7418657603,0.8636675608,1.1385457662666525,2.3763076635936846,1.1401553824670771
P-D01-W005::C007::C008,P-D01-W005,P-D01,C007,2019-11-05,C008,2020-04-21,full,train,168,observed,True,,237.0097546,250.9331825,13.923427899999979,30.271024050446382,0.8636675608,1.225971399,1.499642466304632,3.260383397724802,0.605664380189133
P-D01-W005::C008::C009,P-D01-W005,P-D01,C008,2020-04-21,C009,2020-06-02,focused,train,42,observed,True,,250.9331825,255.8101593,4.876976800000023,42.41228038571448,1.225971399,0.7319483532,1.4278495239058664,12.41719139539566,0.20726567062393048
P-D01-W005::C009::C010,P-D01-W005,P-D01,C009,2020-06-02,C010,2020-10-20,full,train,140,observed,True,,255.8101593,267.4803515,11.670192199999974,30.44669786464279,0.7319483532,0.747117944,1.0459128137655542,2.7287118230562046,0.8646772522632031
P-D01-W005::C010::C012,P-D01-W005,P-D01,C010,2020-10-20,C012,2021-05-18,full,train,210,observed,True,,267.4803515,289.6270327,22.14668119999999,38.51940622999998,0.747117944,0.7475536042,1.056892432274542,1.8382379089917928,1.9053112986983336
P-D01-W005::C012::C014,P-D01-W005,P-D01,C012,2021-05-18,C014,2021-11-02,full,train,168,observed,True,,289.6270327,306.7435084,17.116475700000024,37.21305207991077,0.7475536042,0.7377163254,1.0502674744626195,2.2833940181397128,1.2348313904048887
P-D01-W005::C014::C015,P-D01-W005,P-D01,C014,2021-11-02,C015,2022-03-01,focused,train,119,observed,True,,306.7435084,319.4643548,12.720846400000028,39.04444661848748,0.7377163254,0.7306822678,1.0383265157160486,3.1869643686158553,0.6338915509636905
P-D01-W005::C015::C016,P-D01-W005,P-D01,C015,2022-03-01,C016,2022-05-17,full,train,77,observed,True,,319.4643548,327.7021494,8.237794599999972,39.076032177272594,0.7306822678,0.7668001593,1.0591879251482508,5.0242648007843975,0.25504941863624164
P-D01-W005::C016::C017,P-D01-W005,P-D01,C016,2022-05-17,C017,2022-07-19,focused,train,63,observed,True,,327.7021494,335.0749447,7.372795300000007,42.744658465476235,0.7668001593,0.7409730276,1.0663130459359558,6.182076825842982,0.20726567062393048
P-D01-W005::C017::C018,P-D01-W005,P-D01,C017,2022-07-19,C018,2022-10-18,full,train,91,observed,True,,335.0749447,345.5042487,10.429304000000002,41.86047567032968,0.7409730276,0.7519038775,1.0556516795942898,4.237107428261696,0.35861663276632605
P-D01-W005::C018::C020,P-D01-W005,P-D01,C018,2022-10-18,C020,2023-05-16,full,train,210,observed,True,,345.5042487,371.2650662,25.760817499999973,44.805421866071384,0.7519038775,0.7330044692,1.050073803533213,1.826378365430981,1.9301358218735272
P-D01-W005::C020::C022,P-D01-W005,P-D01,C020,2023-05-16,C022,2023-11-07,full,train,175,observed,True,,371.2650662,387.9631282,16.69806200000005,34.851240831428676,0.7330044692,0.7587188001,1.0549643451284776,2.201861297475294,1.327973667140487
P-D01-W005::C022::C023,P-D01-W005,P-D01,C022,2023-11-07,C023,2024-01-30,focused,validation,84,observed,True,,387.9631282,397.3268961,9.36376789999997,40.71566935089273,0.7587188001,0.7466491193,1.0644900774439607,4.628630961742936,0.3005136938952439
P-D01-W005::C023::C024,P-D01-W005,P-D01,C023,2024-01-30,C024,2024-05-14,full,validation,105,observed,True,,397.3268961,410.729667,13.402770900000007,46.62249591642859,0.7466491193,0.7414160897,1.0522275064915876,3.6602485404385936,0.4805606726064998
P-D01-W005::C024::C026,P-D01-W005,P-D01,C024,2024-05-14,C026,2024-09-03,focused,validation,112,observed,True,,410.729667,422.1037455,11.374078499999996,37.092697965401776,0.7414160897,1.331981425,1.524425247301772,4.971395728365824,0.26050298820238454
P-D01-W005::C026::C027,P-D01-W005,P-D01,C026,2024-09-03,C027,2025-07-22,full,test,322,observed,True,,422.1037455,452.8398506,30.736105099999975,34.86447946513972,1.331981425,0.7389183475,1.5232120144015282,1.7278049324849634,2.1566514418934126
P-D01-W005::C027::C029,P-D01-W005,P-D01,C027,2025-07-22,C029,2025-11-04,full,test,105,observed,True,,452.8398506,463.7899584,10.950107800000012,38.090732132857184,0.7389183475,0.9274203809,1.1857946226816984,4.124871294614194,0.37839777564573984
P-D01-W006::C005::C007,P-D01-W006,P-D01,C005,2019-05-14,C007,2019-11-05,full,train,175,observed,True,,228.2596377,246.8079327,18.548294999999996,38.71294142142856,0.7306618889,0.8446637551,1.1168364495621321,2.330997218300393,1.1849113746282087
P-D01-W006::C007::C008,P-D01-W006,P-D01,C007,2019-11-05,C008,2020-04-21,full,train,168,observed,True,,246.8079327,258.6233448,11.815412099999975,25.68797184241066,0.8446637551,1.21121964,1.4766549615605409,3.210406099464212,0.6246682539159075
P-D01-W006::C008::C009,P-D01-W006,P-D01,C008,2020-04-21,C009,2020-06-02,focused,train,42,observed,True,,258.6233448,261.9847151,3.361370300000033,29.231916716071716,1.21121964,0.7161916404,1.4071188585548033,12.236908644931951,0.20726567062393048
P-D01-W006::C009::C010,P-D01-W006,P-D01,C009,2020-06-02,C010,2020-10-20,full,train,140,observed,True,,261.9847151,270.2240782,8.239363099999991,21.495909801964263,0.7161916404,0.7310086359,1.0233787625015587,2.6699220928835308,0.9031756097895168
P-D01-W006::C010::C012,P-D01-W006,P-D01,C010,2020-10-20,C012,2021-05-18,full,train,210,observed,True,,270.2240782,284.0472851,13.823206900000002,24.042506286785716,0.7310086359,0.7378590847,1.0386576214685475,1.8065223630542235,1.972798344690747
P-D01-W006::C012::C014,P-D01-W006,P-D01,C012,2021-05-18,C014,2021-11-02,full,train,168,observed,True,,284.0472851,296.8827656,12.835480500000017,27.90570983705361,0.7378590847,0.7225437609,1.0327175389668939,2.2452385780217736,1.277157292717479
P-D01-W006::C014::C015,P-D01-W006,P-D01,C014,2021-11-02,C015,2022-03-01,focused,train,119,observed,True,,296.8827656,311.4829671,14.600201499999969,44.8128033434873,0.7225437609,0.7157290256,1.0170238564074305,3.1215795256538996,0.6607247449480645
P-D01-W006::C015::C016,P-D01-W006,P-D01,C015,2022-03-01,C016,2022-05-17,full,train,77,observed,True,,311.4829671,324.3841493,12.901182199999994,61.19684153961036,0.7157290256,0.7512941698,1.0376468414936735,4.922084530591744,0.26574875786159197
P-D01-W006::C016::C017,P-D01-W006,P-D01,C016,2022-05-17,C017,2022-07-19,focused,train,63,observed,True,,324.3841493,337.731536,13.347386700000015,77.38306336785723,0.7512941698,0.7349848662,1.051021257215335,6.093420860284144,0.20726567062393048
P-D01-W006::C017::C018,P-D01-W006,P-D01,C017,2022-07-19,C018,2022-10-18,full,train,91,observed,True,,337.731536,361.2485983,23.51706230000002,94.39128577005503,0.7349848662,0.7413580904,1.0439418430854117,4.190107232823589,0.3667069187500859
P-D01-W006::C018::C020,P-D01-W006,P-D01,C018,2022-10-18,C020,2023-05-16,full,train,210,observed,True,,361.2485983,435.4326291,74.18403079999996,129.02722499857134,0.7413580904,0.7215619349,1.0345353759529765,1.7993526003182128,1.9885514287494657
P-D01-W006::C020::C022,P-D01-W006,P-D01,C020,2023-05-16,C022,2023-11-07,full,train,175,observed,True,,435.4326291,506.5019217,71.06929260000004,148.3317664122858,0.7215619349,0.7479239644,1.0392506350349007,2.169064539694271,1.368435808640775
P-D01-W006::C022::C023,P-D01-W006,P-D01,C022,2023-11-07,C023,2024-01-30,focused,validation,84,observed,True,,506.5019217,541.7645673,35.26264559999993,153.3295393499997,0.7479239644,0.7372154371,1.0501794404873657,4.566405245690599,0.3087596062189404
P-D01-W006::C023::C024,P-D01-W006,P-D01,C023,2024-01-30,C024,2024-05-14,full,validation,105,observed,True,,541.7645673,586.6750132,44.91044590000001,156.2241939521429,0.7372154371,0.7328189248,1.039475914701044,3.6158912175672033,0.49242338150137815
P-D01-W006::C024::C026,P-D01-W006,P-D01,C024,2024-05-14,C026,2024-09-03,focused,validation,112,observed,True,,586.6750132,632.5470121,45.871998899999994,149.5959606984375,0.7328189248,1.299867926,1.492206487584265,4.866325174912078,0.27187365609805353
P-D01-W006::C026::C027,P-D01-W006,P-D01,C026,2024-09-03,C027,2025-07-22,full,test,322,observed,True,,632.5470121,766.0097143,133.46270220000008,151.38898129984483,1.299867926,0.7209077191,1.4863931392809595,1.686040664976306,2.264817901169763
P-D01-W006::C027::C029,P-D01-W006,P-D01,C027,2025-07-22,C029,2025-11-04,full,test,105,observed,True,,766.0097143,812.0815806,46.07186630000001,160.2642777721429,0.7209077191,0.9148070516,1.164723092033059,4.051572470143569,0.3922131550319
P-D01-W007::C005::C007,P-D01-W007,P-D01,C005,2019-05-14,C007,2019-11-05,full,train,175,observed,True,,101.2985393,123.1442104,21.845671100000004,45.59503639585715,0.7085152235,0.8123833471,1.0779427278740992,2.2498204648915126,1.2719605834065706
P-D01-W007::C007::C008,P-D01-W007,P-D01,C007,2019-11-05,C008,2020-04-21,full,train,168,observed,True,,123.1442104,138.3031219,15.158911500000002,32.95709777008929,0.8123833471,1.179483642,1.4321830764224885,3.11371945632925,0.6640647357463365
P-D01-W007::C008::C009,P-D01-W007,P-D01,C008,2020-04-21,C009,2020-06-02,focused,train,42,observed,True,,138.3031219,143.6118068,5.308684900000003,46.16659904107145,1.179483642,0.6890203981,1.365990765248238,11.879241119212356,0.20726567062393048
P-D01-W007::C009::C010,P-D01-W007,P-D01,C009,2020-06-02,C010,2020-10-20,full,train,140,observed,True,,143.6118068,153.3804422,9.768635399999994,25.485671998928556,0.6890203981,0.7042389021,0.9852418688976305,2.570425661534711,0.9744493773935345
P-D01-W007::C010::C012,P-D01-W007,P-D01,C010,2020-10-20,C012,2021-05-18,full,train,210,observed,True,,153.3804422,172.805189,19.42474680000001,33.78518461285716,0.7042389021,0.7174761566,1.00534793306622,1.7485872978687471,2.1056914830868223
P-D01-W007::C012::C014,P-D01-W007,P-D01,C012,2021-05-18,C014,2021-11-02,full,train,168,observed,True,,172.805189,183.4489451,10.64375609999999,23.140666163839263,0.7174761566,0.6962476429,0.9997663804776161,2.173599228984817,1.3627319437722172
P-D01-W007::C014::C015,P-D01-W007,P-D01,C014,2021-11-02,C015,2022-03-01,focused,train,119,observed,True,,183.4489451,188.7232165,5.2742714000000035,16.18846746932774,0.6962476429,0.6892938511,0.9797381249130171,3.0071373960040297,0.7119718718498443
P-D01-W007::C015::C016,P-D01-W007,P-D01,C015,2022-03-01,C016,2022-05-17,full,train,77,observed,True,,188.7232165,193.3553908,4.632174300000003,21.97274887110391,0.6892938511,0.7234503939,0.9992529637676008,4.739962922287223,0.28656258758361003
P-D01-W007::C016::C017,P-D01-W007,P-D01,C016,2022-05-17,C017,2022-07-19,focused,train,63,observed,True,,193.3553908,197.0700233,3.7146324999999933,21.53602413690472,0.7234503939,0.7179738,1.019248178767323,5.909212655472456,0.20726567062393048
P-D01-W007::C017::C018,P-D01-W007,P-D01,C017,2022-07-19,C018,2022-10-18,full,train,91,observed,True,,197.0700233,203.6844471,6.614423799999997,26.54855266978021,0.7179738,0.7203289649,1.0170350019347147,4.0821102687544455,0.38636690147520836
