row_id,category,crs_kind_schema,vertical_kind_schema,axes_schema,system_as_printed,what_is_stated,what_is_unknown,values_as_printed,key_finding_ru,source_id,pdf_page,locator,vn_id,record_kind,status,evidence_type,scope,spatial_level,extraction_method,quote_check,confidence,relevance_to_skru1_world,notes
CDE-0011,HEIGHT_SYSTEM,MAP_ONLY,,,generic (QGIS multi-CRS support),Only a generic statement that QGIS handles data in different projections and coordinate systems; no specific datum/height system named in pp.1-15.,система координат не названа,,,VKM-SRC-006,14,"§1.2, с. 14",EV-VN-S006-0041,coordinate_system,FACT,DESCRIPTIVE,GENERAL_METHOD,unstated,TEXT_LAYER,EXACT,LOW,MEDIUM (метод),No CRS/datum information of substance in chunk so far.
CDE-0012,MAP_SCALE_ORIENTATION;INSAR_GEOMETRY,,,,"SAR slant-range/LOS geometry (descending track, relative orbit 7)","Only a single descending geometry used; no ascending track -> no LOS decomposition into vertical+east components; vertical displacement derived under an assumption (see p6-7). Output map CRS not stated. Fig.1 shows scene footprint (white) and monitoring area (red) over optical image, 50 km scale bar.",система координат не названа,,,VKM-SRC-007,5,Таблица; Рис. 1,EV-VN-S007-0018,coordinate_system,FACT,DESCRIPTIVE,NON_VKM,site,OCR_VISUALLY_CONFIRMED,EXACT,HIGH,LOW,
CDE-0013,HEIGHT_SYSTEM;STATE_OR_PROJECTED_CRS_MENTION;GEOGRAPHIC_GRATICULE;INSAR_GEOMETRY,"STATE_GEODETIC? (geographic lat/lon, datum unstated)",,,UTM WGS84 Zone 35 North (map products); SAR azimuth/slant-range geometry for DEM/interferogram generation,Displacement datum = GCP areas assumed stable (19 GCPs without geodetic coordinates); vertical from LOS × cos(look angle); GPS points by Belaruskali survey (their CRS/height system not stated).,система/датум высот не указаны; система координат не названа,,,VKM-SRC-009,5,§8,EV-VN-S009-0026,coordinate_system,ANALOGUE,DESCRIPTIVE,OTHER_POTASH_SITE,deposit,OCR_VISUALLY_CONFIRMED,NOT_FOUND,HIGH,LOW,
CDE-0014,STATE_OR_PROJECTED_CRS_MENTION;GEOGRAPHIC_GRATICULE;MAP_SCALE_ORIENTATION,"STATE_GEODETIC? (geographic lat/lon, datum unstated)",,,geographic graticule on map (WGS84 implied; product in UTM WGS84 35N per §8),"Fig.15 (visual 300 dpi): graticule 27°25'E, 27°30'E, 27°35'E, 27°40'E and 52°45'N, 52°50'N; scale 1:200,000, scale bar 0–8 km; Soligorsk and reservoir shown; legend (m): -0.11 to -0.09, -0.09 to -0.07, -0.07 to -0.05, -0.05 to -0.03, -0.03 to -0.01, -0.01 to 0.01, 0.01 to 0.03, 0.03 to 0.05; 'Значения смещений приведены в метрах'. Title: 'К[фрагмент совпадает с цитатой источника — см. quote], полученная по радиолокационным данным Cosmo-SkyMed в период с 23 сентября 2011 г. по 6 октября 2011 г.'",,,,VKM-SRC-009,11,Рис. 15 Итоговая карта вертикальных смещений,EV-VN-S009-0044,coordinate_system,ANALOGUE,DESCRIPTIVE,OTHER_POTASH_SITE,deposit,VISUAL_READ,EXACT,MEDIUM,LOW,
CDE-0015,HEIGHT_SYSTEM;LOCAL_MINE_GRID;GEOGRAPHIC_GRATICULE;ABSOLUTE_ELEVATION,LOCAL_MINE_GRID,ABSOLUTE_UNSPECIFIED,,height system of 'абсолютные отметки' not named,"Surface elevations and all section elevations in the book are given as 'абсолютные отметки' (m a.s.l.) without naming the datum (probably Baltic height system, but UNSTATED). Horizontal reference: only geographic graticule on Fig.1.4 (56°–58° E, 59°–60° N); no projected CRS given in chunk.",система/датум высот не указаны; система координат не названа,,Регион: абсолютные отметки поверхности +108 (урез Камского водохранилища) … +120 м; система высот не названа.,VKM-SRC-011,6,§1.1; рис. 1.4,EV-VN-S011-0032,coordinate_system,UNKNOWN,DESCRIPTIVE,VKM_REGIONAL,deposit,TEXT_LAYER,EXACT,HIGH,MEDIUM,Needed for merging with mine survey (local coordinates) and levelling data.
CDE-0016,HEIGHT_SYSTEM;ABSOLUTE_ELEVATION,,ABSOLUTE_UNSPECIFIED,,absolute heights (м А.О. — метры абсолютной отметки),"Fig.1.36 vertical axis labelled 'м А.О.' (0, −500); Fig.1.34 axis −160…−175 m; table 1.3 'Абс. отм. кровли'. Height datum (Baltic 1977?) not stated anywhere in chunk",система/датум высот не указаны,,,VKM-SRC-011,24,"рис. 1.36, 1.34",EV-VN-S011-0444,coordinate_system,FACT,DESCRIPTIVE,VKM_REGIONAL,deposit,VISUAL_READ,NO_QUOTE,HIGH,MEDIUM,
CDE-0017,MAP_SCALE_ORIENTATION,MAP_ONLY,,,map index grid,"schematic map with alphanumeric grid: columns 1–15, rows А–Е (Cyrillic letters); no CRS, no coordinates printed; scale bar present (~10 km?) illegible",система координат не названа; координатная сетка/координаты отсутствуют,,,VKM-SRC-011,29,Рис. 1.49,EV-VN-S011-0524,coordinate_system,FACT,DESCRIPTIVE,VKM_REGIONAL,deposit,VISUAL_READ,EXACT,MEDIUM,LOW-MEDIUM,
CDE-0018,OTHER,,,,relative stratigraphic position convention (upper ПдКС),"fraction a/b: a = relative distance from floor (подошва) of КрIIIв, b = relative distance to roof (кровля) of МГ (a+b=1); below МГ: metres down from floor of МГ (general value and separately value in section 8)",,,,VKM-SRC-011,42,§2.1 с.83,EV-VN-S011-0796,coordinate_system,FACT,DESCRIPTIVE,VKM_REGIONAL,deposit,TEXT_LAYER,EXACT,HIGH,LOW-MEDIUM,
CDE-0019,ABSOLUTE_ELEVATION,,ABSOLUTE_UNSPECIFIED,,map convention,Borovitsky structures' axes on all maps are drawn from the ПдКС-roof structural map (not salt mirror); absolute elevations (абс. отметки) in m used for salt mirror/ПдКС roof isolines; datum not stated,система/датум высот не указаны,,,VKM-SRC-011,64,стр. 127,EV-VN-S011-1348,coordinate_system,FACT,DESCRIPTIVE,VKM_REGIONAL,district,TEXT_LAYER,EXACT,MEDIUM,MEDIUM,
CDE-0020,ABSOLUTE_ELEVATION,,ABSOLUTE_UNSPECIFIED,,"height axis 'м А.О.' (метры, абсолютные отметки)",Fig. 2.55 vertical axis in absolute elevation metres; datum (Baltic 1977?) not stated in chunk; salt-mirror and ПдКС-roof isohypse maps in absolute elevations,система/датум высот не указаны,,,VKM-SRC-011,65,Рис. 2.55,EV-VN-S011-1390,coordinate_system,FACT,DESCRIPTIVE,VKM_REGIONAL,district,VISUAL_READ,NO_QUOTE,MEDIUM,MEDIUM,Datum UNKNOWN from this chunk.
CDE-0021,HEIGHT_SYSTEM;ABSOLUTE_ELEVATION,,ABSOLUTE_UNSPECIFIED,,absolute elevations 'м А.О.' (абсолютные отметки),Vertical axis of cross-section Fig.3.8 labelled 'м А.О.'; salt mirror elevations quoted as absolute marks (−63…+93 m; bh 24д −42.5 m); height datum (Baltic?) not specified,система/датум высот не указаны,,,VKM-SRC-011,111,p.219-221,EV-VN-S011-1824,coordinate_system,FACT,DESCRIPTIVE,VKM_REGIONAL,unstated,VISUAL_READ,NOT_FOUND,MEDIUM,MEDIUM,
CDE-0022,GEOREFERENCING;MAP_SCALE_ORIENTATION;INSAR_GEOMETRY,,,,Буквенно-цифровая сетка рис. 1.46 (ячейки А–Е × 1–15),"Fault ends in Appendix 1 are given only as grid cells of Fig. 1.46 (e.g. 'В7-Г12'); cell size/orientation must be taken from Fig. 1.46 (earlier chunk). Azimuths are given as quadrant + degrees (e.g. 'СЗ 357', 'СВ 8', 'С 0', 'В 90') — apparently full-circle azimuths labelled by quadrant (СЗ values 271–359, СВ 2–89).",,,"Каталог 173 разломов (Прил. 1 SRC-011): концы разломов даны ячейками буквенно-цифровой сетки рис. 1.46 (А–Е × 1–15), азимуты — квадрант+градусы; точность ≥ одной ячейки.",VKM-SRC-011,142,"Прил. 1, заголовок таблицы",EV-VN-S011-2648,coordinate_system,FACT,DESCRIPTIVE,VKM_REGIONAL,deposit,TEXT_LAYER,EXACT,HIGH,MEDIUM,Georeferencing of the catalogue requires Fig. 1.46; positional accuracy of each fault end = one grid cell at best.
CDE-0023,HEIGHT_SYSTEM;ABSOLUTE_ELEVATION,,ABSOLUTE_UNSPECIFIED,,absolute heights (абсолютные отметки),Elevations given as 'absolute marks' (+108…+273 m surface; salt-base −220…−540 m elsewhere) without naming the height datum (presumably Baltic 1977 system in Russian practice — NOT stated in source).,система/датум высот не указаны; система координат не названа,,,VKM-SRC-011,174,English SUMMARY §1 (Key features of geological aspects of VKSD; 1.2 Stratigraphy,EV-VN-S011-3813,coordinate_system,FACT,DESCRIPTIVE,VKM_REGIONAL,deposit,TEXT_LAYER,EXACT,MEDIUM,MEDIUM,English SUMMARY (author's translation/abridgement of the Russian text); Height datum UNKNOWN from this chunk.
CDE-0024,HEIGHT_SYSTEM;STATE_OR_PROJECTED_CRS_MENTION;REFERENCE_POINT_DATUM,STATE_PROJECTED,ABSOLUTE_UNSPECIFIED,,mine-surveying reference network of the observation station,"polygonometry points of 1st and 2nd разряд, class-4 triangulation of the State Geodetic Network (ГГС), dedicated reference benchmarks near profile lines; reference points outside mining influence zone; initial benchmarks relatively close to working benchmarks. CRS/height datum NOT named (implicitly state network / Baltic heights not stated).",система/датум высот не указаны; система координат не названа,,"Станция наблюдений у целика СКРУ-1–СКРУ-2 опирается на пункты ГГС (триангуляция 4 кл.) и полигонометрию 1–2 разрядов плюс специальные опорные реперы вне зоны влияния; ни СК, ни система высот не названы.",VKM-SRC-012,40,§2.1,EV-VN-S012-0194,coordinate_system,FACT,DESCRIPTIVE,SKRU1_SKRU2,mine_field,TEXT_LAYER,EXACT,HIGH,HIGH,Height system and planar CRS not stated anywhere on p.40.
CDE-0025,LOCAL_MINE_GRID;GEOREFERENCING;MAP_SCALE_ORIENTATION,LOCAL_MINE_GRID,ABSOLUTE_UNSPECIFIED,,unnamed local plane grid on Рис. 3.2-3.7 thickness maps,"Axes: horizontal 21000-29000 (labelled; frame to ~30000), vertical 30000-38000 (labelled; frame to ~38600), equal scale, metres presumably; no CRS name, no north arrow, no datum; likely a local mine/deposit grid (Uralkali/Solikamsk). Borehole labels without point markers.",система координат не названа; ориентация (север) не указана,,"Карты мощностей SRC-012 (район м/ш целиков СКРУ-1–СКРУ-2–СКРУ-3): безымянная плоская сетка 21000–29000 × 30000–38000 (м?), без названия СК, датума и стрелки севера.",VKM-SRC-012,66,Рис. 3.2,EV-VN-S012-0345,coordinate_system,UNKNOWN,DESCRIPTIVE,SKRU1_SKRU2,deposit,VISUAL_READ,EXACT,MEDIUM,HIGH,"Georeferencing to other sources (Fig 1.1 plan in c1, Uralkali plans) required; coordinates in borehole records are label-centre readings."
CDE-0026,LOCAL_MINE_GRID;GEOREFERENCING;MAP_SCALE_ORIENTATION,LOCAL_MINE_GRID,,"x_north_y_east (inferred, not stated)","unnamed planar grid (labels 21000–29000 on horizontal axis, 30000–38000 on vertical axis; tick step 1000)","Thickness maps Figs 3.3–3.7 share one planar grid, apparently metres (1000-unit ticks); CRS/datum, axis orientation (X=north or east) and relation to Pulkovo/MSK/mine local system are NOT stated. Map window ≈ 9 km × 8.8 km. Boreholes plotted by label only (no symbol).",система координат не названа,,"Та же безымянная сетка для Рис. 3.3–3.7; окно ≈9 × 8,8 км; ориентация осей (X=север?) не указана — главный кандидат для привязки скважин Табл. 3.1.",VKM-SRC-012,67,Рис. 3.2–3.7 (оси карт),EV-VN-S012-0369,coordinate_system,FACT,DESCRIPTIVE,SKRU1_SKRU2,district,VISUAL_READ,NOT_FOUND,HIGH,HIGH,Needed to georeference the borehole set of Табл. 3.1 for a 3D WorldSpec; CRS remains UNKNOWN.
CDE-0027,HEIGHT_SYSTEM;DEPTH_REFERENCE,,DEPTH_BELOW_SURFACE/COLLAR,,vertical: TVD / model Z,"Log panels give MD_RKB (measured depth from rotary kelly bushing) and TVD; TVD values are negative above a datum (e.g. 1403 PP at TVD −59.51) -> TVD likely = true vertical depth sub-sea (Baltic height system implied but not stated). Section Z axis −400…500 consistent with same convention (surface ≈ −180…−210, i.e. ≈180–210 m above datum).",система/датум высот не указаны,,,VKM-SRC-012,86,"Рис. 3.8–3.10, 3.19",EV-VN-S012-0477,coordinate_system,INTERPRETATION,INTERPRETATION,SKRU1_SKRU2,district,VISUAL_READ,FUZZY_68,MEDIUM,HIGH,Interpretation; datum not stated in the source.
CDE-0028,LOCAL_MINE_GRID,LOCAL_MINE_GRID,,"x_north_y_east (inferred, not stated)","local mine plane grid (X, Y in metres), CRS/datum not stated","Profile line 2 (СКРУ-2–СКРУ-3) plotted against Y = 26200–28000 m; profile line 1 (СКРУ-1–СКРУ-2) against X = 36900–38000 m. In Russian geodetic convention X = northing, Y = easting, so line 1 is plotted along a meridional (N–S) coordinate (consistent with 'меридиональный расчётный разрез'), line 2 along an E–W coordinate. Numbers are truncated/local; no zone/datum given.",система/датум высот не указаны; система координат не названа,,"Профили 1 и 2 (Рис. 4.10/4.12) по оси X 36900–38000 (линия 1, СКРУ-1–СКРУ-2) и Y 26200–28000 (линия 2) — локальная сетка рудника; принятие X=север — вывод по русской геодезической конвенции, не указано в источнике.",VKM-SRC-012,105,Рис. 4.10 p.105; Рис. 4.12 p.107,EV-VN-S012-0570,coordinate_system,FACT,DESCRIPTIVE,SKRU1_SKRU2,survey_line,VISUAL_READ,NOT_FOUND,MEDIUM,HIGH,"Axis convention inference (X north) is standard Russian practice, not stated in source."
CDE-0029,MAP_SCALE_ORIENTATION,MAP_ONLY,,,none printed,"Schematic map with graphic scale 0-15 km only; no coordinate grid, no CRS, no north arrow (north assumed up).",система координат не названа; координатная сетка/координаты отсутствуют; ориентация (север) не указана,,,VKM-SRC-014,9,Рис. 1.1,EV-VN-S014-0021,coordinate_system,UNKNOWN,DESCRIPTIVE,VKM_REGIONAL,deposit,VISUAL_READ,NOT_FOUND,HIGH,LOW-MEDIUM,
CDE-0030,GEOGRAPHIC_GRATICULE;MAP_SCALE_ORIENTATION,"STATE_GEODETIC? (geographic lat/lon, datum unstated)",,,geographic latitude/longitude graticule (datum not stated),"meridians 56°, 57°, 58° (E) and parallels 58°, 59°, 60° (N) printed at map frame; scale bar 0-15-30 km; datum/projection unstated",система/датум высот не указаны,,,VKM-SRC-014,16,Рис. 1.3,EV-VN-S014-0167,coordinate_system,FACT,DESCRIPTIVE,VKM_REGIONAL,deposit,VISUAL_READ,EXACT,HIGH,LOW-MEDIUM,
CDE-0031,HEIGHT_SYSTEM;ABSOLUTE_ELEVATION;MAP_SCALE_ORIENTATION,,ABSOLUTE_UNSPECIFIED,,absolute elevation (m) vertical axis; horizontal distance km,"vertical labels 0 м, -500, -1000, -1500, -2000, -2500 м (height datum not stated, presumably Baltic system); horizontal scale bar 0-5-10-15 км; strong vertical exaggeration",система/датум высот не указаны,,,VKM-SRC-014,17,Рис. 1.4,EV-VN-S014-0172,coordinate_system,FACT,DESCRIPTIVE,VKM_REGIONAL,deposit,VISUAL_READ,EXACT,HIGH,MEDIUM,
CDE-0032,HEIGHT_SYSTEM;ABSOLUTE_ELEVATION,,ABSOLUTE_UNSPECIFIED,,absolute elevation marks of working horizons (height datum unstated),Working-horizon elevations printed as negative absolute marks (м); the height system (Baltic 1977 implied by Russian practice) is not stated in the book.,система/датум высот не указаны,,,VKM-SRC-014,28,§2.1,EV-VN-S014-0339,coordinate_system,UNKNOWN,DESCRIPTIVE,SKRU2,deposit,TEXT_LAYER,EXACT,MEDIUM,MEDIUM,
CDE-0033,ABSOLUTE_ELEVATION,,ABSOLUTE_UNSPECIFIED,,mine level naming by absolute elevation,"SKRU-1 levels designated by absolute marks −113 m, −143 m, −240 m; the vertical datum (Baltic 1977 or local) is not specified in the text.",система/датум высот не указаны,,"Горизонты СКРУ-1 названы абсолютными отметками −113, −143, −240 м; система высот не указана.",VKM-SRC-014,77,§3.1,EV-VN-S014-0456,coordinate_system,FACT,DESCRIPTIVE,SKRU1,mine,TEXT_LAYER,EXACT,MEDIUM,HIGH,
CDE-0034,GEOREFERENCING;MAP_SCALE_ORIENTATION,MAP_ONLY,,,none (schematic plan with graphical scale bar and north arrow 'С'),"BKPRU-2 plans carry a scale bar 0–1500 m and north arrow, no coordinate grid; could be georeferenced only through tie points (shafts, boundary corners, boreholes with known coordinates from other sources).",координатная сетка/координаты отсутствуют; ориентация (север) не указана,,,VKM-SRC-014,99,Рис. 3.15–3.16,EV-VN-S014-0598,coordinate_system,FACT,DESCRIPTIVE,BKPRU2,mine_field,VISUAL_READ,NOT_FOUND,HIGH,MEDIUM,
CDE-0035,GEOREFERENCING;MAP_SCALE_ORIENTATION,,,,schematic plans with scale bars; cross-plan tie points,"БКПРУ-4 plans (Рис. 3.18–3.20) and БКПРУ-2 plans (Рис. 3.15–3.16) share boundary boreholes №185, №127, №186 (south boundary of БКПРУ-4 = north boundary of БКПРУ-2) → usable as common tie points for later georeferencing of both plans; БКПРУ-4 plan printed rotated (north arrow to page left).",,,,VKM-SRC-014,103,"Рис. 3.15, 3.18",EV-VN-S014-0672,coordinate_system,DERIVATION,INTERPRETATION,VKM_REGIONAL,mine_field,VISUAL_READ,NOT_FOUND,HIGH,MEDIUM,
CDE-0036,HEIGHT_SYSTEM;ABSOLUTE_ELEVATION,,ABSOLUTE_UNSPECIFIED,,абсолютные отметки (высотная система не названа),Учебные данные дают устья стволов +130…+160 м и точки слива −120…−150 м в абсолютных отметках — типичный диапазон для рудников ВКМКС; система высот (Балтийская?) в источнике не указана,система/датум высот не указаны,,,VKM-SRC-014,156,Пример 2; Расчетная работа № 2,EV-VN-S014-0962,coordinate_system,UNKNOWN,TEACHING_EXAMPLE,VKM_REGIONAL,mine,TEXT_LAYER,EXACT,LOW,MEDIUM,Do not use as SKRU-1 shaft collar elevation; teaching numbers only.
CDE-0037,LOCAL_MINE_GRID;ABSOLUTE_ELEVATION;MAP_SCALE_ORIENTATION;INSAR_GEOMETRY,LOCAL_MINE_GRID,ABSOLUTE_UNSPECIFIED,unknown,"absolute elevation (Абс. отм., м) vertical; along-profile distance X, м (0-50 m local)","Vertical datum not named (presumably Baltic system — NOT stated). Horizontal: only local profile chainage X from 0 to 50 m; no plan coordinates, no mine/panel attribution, no azimuth. Geological sketches on north wall imply roughly E-W working orientation (inference, not stated).",система/датум высот не указаны; система координат не названа; ориентация (север) не указана,,,VKM-SRC-015,6,Рис. 2-4 оси,EV-VN-S015-0038,coordinate_system,FACT,DESCRIPTIVE,VKM_REGIONAL,gpr_profile,VISUAL_READ,NOT_FOUND,MEDIUM,MEDIUM,
CDE-0038,DEPTH_REFERENCE,,RELATIVE_LOCAL (глубина от верха модели; «отметки» −30/−365 = глубины),,model-local 2D coordinates,"Vertical: depth below model top surface (text uses 'отметка −30 м' and '−365 м' = depth, not absolute Baltic heights). Horizontal: path coordinate L, м along check lines, 0..~1470 м in Figs 6-8; mining area ('участок разработки') spans approx L≈390..1060 м (visual), i.e. L origin is NOT the model left boundary (model width 1087+627,2+1087 м).",,,,VKM-SRC-016,8,"Рис. 5; p.9 (отметки −30 м, −365 м); Рис. 6-8 ось L",EV-VN-S016-0069,coordinate_system,INTERPOLATION,DESCRIPTIVE,BKPRU4,unstated,VISUAL_READ,EXACT,MEDIUM,LOW-MEDIUM,Fracture-zone intervals on p.9 are in this L coordinate.
CDE-0039,HEIGHT_SYSTEM;ABSOLUTE_ELEVATION;GEOREFERENCING;MAP_SCALE_ORIENTATION,MAP_ONLY,ABSOLUTE_UNSPECIFIED,,none printed,"Figs 1-3 have only north arrows and scale bars (Fig.1: 10 km; Fig.2: 2 km; Fig.3: 50 m); no coordinate grid, no CRS; Fig.3 relief isolines in 'абс. отм., м' (height system not named, presumably Baltic)",система/датум высот не указаны; система координат не названа; координатная сетка/координаты отсутствуют,,,VKM-SRC-018,5,Рис. 1-3,EV-VN-S018-0033,coordinate_system,FACT,DESCRIPTIVE,VKM_REGIONAL,unstated,VISUAL_READ,NOT_FOUND,HIGH,MEDIUM,"Georeferencing requires external control points (settlement outlines, rivers)."
CDE-0040,HEIGHT_SYSTEM;ABSOLUTE_ELEVATION,,ABSOLUTE_UNSPECIFIED,,абсолютные отметки горизонтов (высотная система не указана; по практике ВКМ — вероятно Балтийская),Горизонты выработок СКПРУ-2 задаются отрицательными абсолютными отметками -143 и -220 м; также на рис.1.3 вертикальная шкала абсолютных отметок +200…-800 м. Система высот в пособии не названа.,система/датум высот не указаны,,,VKM-SRC-020,13,§1.2.1,EV-VN-S020-0113,coordinate_system,FACT,DESCRIPTIVE,SKRU2,mine,TEXT_LAYER,EXACT,MEDIUM,MEDIUM,
