unit_id,strict_iou,strict_centroid_shift_px,lenient_iou,lenient_centroid_shift_px,classification,interpretation
F13B-PX-0044,0.986111,0.046779,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0045,0.997143,0.022593,0.994269,0.009938,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0046,0.995842,0.047055,0.997912,0.030405,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0047,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0048,0.975694,0.117697,0.953737,0.182918,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0049,0.978022,0.216458,0.996255,0.025682,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0050,0.981651,0.091223,0.990654,0.054791,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0051,0.993939,0.06435,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0052,0.996094,0.031332,0.984314,0.110576,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0053,0.971098,0.289986,0.970238,0.166824,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0054,0.947955,0.499354,0.980392,0.10902,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0055,1.0,0.0,0.96,0.130024,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0056,0.973856,0.151254,0.959732,0.276776,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0057,0.735294,0.994674,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0058,0.943396,0.311321,0.94,0.257306,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0059,0.923077,0.424822,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0060,0.954545,0.308529,0.952381,0.192506,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0061,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0062,0.984694,0.185423,0.994819,0.055672,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0063,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0064,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0065,0.940299,0.210842,0.365079,3.243594,threshold_sensitive,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0066,0.968354,0.38901,0.996732,0.025207,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0067,0.961832,0.478834,0.973545,0.2986,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0068,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0069,0.994638,0.044978,0.997305,0.021493,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0070,0.876471,0.572024,0.899329,0.653371,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0071,1.0,0.0,0.995098,0.026957,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0072,1.0,0.0,0.0,,threshold_sensitive,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0073,1.0,0.0,0.995798,0.043493,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0074,1.0,0.0,0.991274,0.115439,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0075,0.997727,0.019803,0.990888,0.056332,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0076,0.979079,0.14853,0.982906,0.094068,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0077,0.991667,0.061295,0.89916,0.520857,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0078,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0079,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0080,0.992424,0.025273,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0081,0.971722,0.322147,0.997354,0.019482,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0082,0.993135,0.058337,0.983871,0.180083,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0083,0.982699,0.152027,0.978873,0.200911,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0084,1.0,0.0,0.971264,0.290764,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0085,0.996721,0.027502,0.957237,0.442105,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0086,0.995927,0.058427,0.969325,0.195707,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0087,1.0,0.0,0.997468,0.034644,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0088,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0089,1.0,0.0,0.916667,0.5,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0090,0.995671,0.044476,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0091,1.0,0.0,0.903226,0.504872,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0092,0.973094,0.121735,0.990783,0.039439,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0093,0.991736,0.046406,0.975,0.117041,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0094,1.0,0.0,0.99187,0.030128,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0095,0.985915,0.067691,0.980952,0.175619,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0096,0.945455,0.290561,0.942308,0.275062,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0097,0.993174,0.043332,0.996564,0.018391,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0098,1.0,0.0,0.947059,0.40565,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0099,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0100,1.0,0.0,0.968553,0.305643,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0101,1.0,0.0,0.909091,0.5,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0102,0.984496,0.101126,0.92126,0.411036,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0103,1.0,0.0,0.992857,0.056875,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0104,0.99359,0.054094,0.967742,0.261724,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0105,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0106,0.998198,0.034994,0.974729,0.138765,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0107,0.91411,0.471407,0.939597,0.454026,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0108,0.908012,0.475382,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0109,0.960784,0.191801,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0110,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0111,0.987903,0.134843,0.991837,0.051386,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0112,1.0,0.0,0.988304,0.074551,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0113,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0114,1.0,0.0,0.987179,0.084416,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0115,0.988764,0.082292,0.988636,0.082527,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0116,0.9625,0.111233,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0117,0.997159,0.025567,0.977208,0.109861,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0118,0.878788,0.366181,0.965517,0.099944,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0119,0.992908,0.059743,0.935714,0.128013,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0120,0.976744,0.030855,0.714286,2.324479,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0121,0.995268,0.065199,0.979398,0.234682,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0122,1.0,0.0,0.988372,0.014255,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0123,1.0,0.0,0.994253,0.049863,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0124,0.971014,0.1444,0.920398,0.619124,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0125,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0126,0.951311,0.429153,0.952756,0.355626,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0127,1.0,0.0,0.897143,0.502751,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0128,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0129,0.994898,0.025052,0.994872,0.049574,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0130,0.989362,0.097188,0.887097,0.49046,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0131,0.987654,0.125406,0.9125,0.867442,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0132,0.99422,0.030313,0.988372,0.084691,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0133,0.803922,1.469338,0.0,,threshold_sensitive,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0134,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0135,1.0,0.0,0.953216,0.474151,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0136,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0137,1.0,0.0,0.992032,0.099957,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0138,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0139,1.0,0.0,0.911392,0.445248,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0140,0.975904,0.248251,0.981481,0.198709,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0141,1.0,0.0,0.998271,0.016974,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0142,0.992157,0.080046,0.980237,0.090832,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0143,0.986441,0.086238,0.989691,0.066202,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0144,0.983607,0.161665,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0145,1.0,0.0,0.991597,0.047263,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0146,1.0,0.0,0.0,,threshold_sensitive,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0147,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0148,1.0,0.0,0.989011,0.074536,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0149,0.968182,0.287441,0.943662,0.296577,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0150,1.0,0.0,0.993902,0.013007,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0151,0.989218,0.112488,0.989101,0.117951,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0152,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0153,1.0,0.0,0.98374,0.115377,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0154,0.994565,0.021206,0.997268,0.036418,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0155,0.993056,0.056235,0.888112,0.052511,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0156,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0157,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0158,0.944262,0.474589,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0159,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0160,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0161,0.962963,0.154918,0.865385,0.475937,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0162,1.0,0.0,0.930233,0.385303,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0163,1.0,0.0,0.884892,0.376178,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0164,1.0,0.0,0.0,,threshold_sensitive,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0165,1.0,0.0,0.969697,0.094436,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0166,1.0,0.0,0.996933,0.04348,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0167,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0168,0.983108,0.158474,0.975945,0.205153,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0169,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0170,0.995098,0.03303,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0171,0.941964,0.541089,0.990521,0.078963,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0172,0.976744,0.190557,0.995238,0.040784,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0173,0.97619,0.199144,0.99187,0.053611,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0174,0.990291,0.115904,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0175,0.909091,0.533879,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0176,0.908629,0.454837,0.955307,0.447486,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0177,1.0,0.0,0.986111,0.053936,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0178,0.995122,0.062903,0.995098,0.026959,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0179,0.998413,0.019863,0.987281,0.125144,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0180,0.994994,0.047962,0.993851,0.021598,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0181,1.0,0.0,0.801418,1.686689,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0182,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0183,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0184,0.940594,0.476175,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0185,0.991304,0.108696,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0186,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0187,0.949153,0.293905,0.986607,0.151076,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0188,1.0,0.0,0.0,,threshold_sensitive,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0189,0.899225,0.430627,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0190,1.0,0.0,0.822222,0.590126,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0191,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0192,0.977654,0.209179,0.971429,0.040064,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0193,1.0,0.0,0.851852,0.502508,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0194,1.0,0.0,0.968421,0.092942,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0195,1.0,0.0,0.991781,0.117203,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0196,0.931034,0.28158,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0197,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0198,0.979094,0.272943,0.985765,0.171469,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0199,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0200,0.997596,0.021126,0.990361,0.128758,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0201,0.996078,0.022786,0.992126,0.007913,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0202,0.97191,0.141267,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0203,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0204,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0205,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0206,1.0,0.0,0.992366,0.02297,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0207,0.962791,0.3354,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0208,1.0,0.0,0.916667,0.5,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0209,0.921053,0.284649,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0210,0.986413,0.06464,0.988981,0.045553,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0211,0.996,0.029795,0.995984,0.04098,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0212,1.0,0.0,0.938462,0.285873,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0213,0.973684,0.083034,0.990991,0.056631,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0214,0.993377,0.046436,0.993333,0.015605,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0215,0.928571,0.237799,0.948718,0.11475,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0216,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0217,0.993182,0.069532,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0218,1.0,0.0,0.984496,0.217943,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0219,0.984375,0.153154,0.990476,0.123783,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0220,0.991914,0.110356,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0221,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0222,0.87037,0.596484,0.957447,0.138644,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0223,0.978558,0.11662,0.47676,12.393987,threshold_sensitive,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0224,0.997275,0.048803,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0225,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0226,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0227,0.992248,0.039087,0.992188,0.042892,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0228,0.997159,0.035867,0.991453,0.088081,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0229,0.993548,0.044458,0.967532,0.084805,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0230,0.972973,0.203454,0.951389,0.097732,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0231,0.996473,0.025513,0.989381,0.052962,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0232,1.0,0.0,0.992647,0.072055,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0233,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0234,1.0,0.0,0.981025,0.178899,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0235,1.0,0.0,0.987013,0.061848,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0236,1.0,0.0,0.808989,0.619151,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0237,0.923077,0.330859,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0238,0.920455,0.278613,0.938272,0.177391,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0239,0.957265,0.707295,0.997768,0.018875,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0240,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0241,0.986111,0.074417,0.985915,0.089034,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0242,0.98961,0.101084,0.992126,0.103041,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0243,0.833333,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0244,0.985214,0.105059,0.968404,0.452629,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0245,0.973684,0.186349,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0246,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0247,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0248,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0249,0.946188,0.330644,0.943128,0.053444,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0250,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0251,0.947368,0.314857,0.857143,0.332587,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0252,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0253,1.0,0.0,0.994709,0.052822,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0254,0.990654,0.008742,0.990566,0.07158,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0255,0.997429,0.029411,0.971649,0.257655,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0256,0.945946,0.118941,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0257,1.0,0.0,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0258,0.980952,0.040745,0.961165,0.198016,stable,color-threshold repeatability_not_geodetic_accuracy
F13B-PX-0259,0.985714,0.071429,1.0,0.0,stable,color-threshold repeatability_not_geodetic_accuracy
