field,legacy_role,legacy_allowed,present_in_features,source_id,source_locator,source_reference_year,source_available_at,source_availability_status,provenance_class,unit,derivation,scenario_available_at_rule,assumption_id,history_and_plan_allowed,reconstruction_assumptions_allowed
profile_rate_std_mm_y,MODEL_FEATURE,True,True,,tables/leveling_adjusted_epochs.csv; campaign_point_membership.csv,,,not_applicable_synthetic,S,mm/year,Расчёт по принятым синтетическим наблюдениям не позднее current_date,current_date,SIM_ADJUSTMENT_INSTANT,True,True
profile_n_observed,MODEL_FEATURE,True,True,,tables/leveling_adjusted_epochs.csv; campaign_point_membership.csv,,,not_applicable_synthetic,S,count,Расчёт по принятым синтетическим наблюдениям не позднее current_date,current_date,SIM_ADJUSTMENT_INSTANT,True,True
chainage_m,MODEL_FEATURE,True,True,,,,,not_applicable_synthetic,R/S,approximate_local_m,Положение в сконструированном профиле; не исходный пикетаж,scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,False,True
chainage_normalized_profile,MODEL_FEATURE,True,True,,,,,not_applicable_synthetic,R/S,1,Положение в сконструированном профиле; не исходный пикетаж,scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,False,True
kzt,MODEL_FEATURE,True,True,SRC01,Рис. 24а и опубликованные фрагменты,,,unknown_not_established_by_publication_year,R,1,Чтение палитры и пространственная реконструкция коэффициента,scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,False,True
kzt__standard_uncertainty,MODEL_FEATURE,True,True,SRC01,Рис. 24а и опубликованные фрагменты,,,unknown_not_established_by_publication_year,R,1,"Чтение палитры и пространственная реконструкция коэффициента; суффикс — метаданные реконструкции, не отдельное измерение",scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,False,True
kzt__donor_distance_m,MODEL_FEATURE,True,True,SRC01,Рис. 24а и опубликованные фрагменты,,,unknown_not_established_by_publication_year,R,approximate_local_m,"Чтение палитры и пространственная реконструкция коэффициента; суффикс — метаданные реконструкции, не отдельное измерение",scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,False,True
kzt__provenance,MODEL_FEATURE,True,True,SRC01,Рис. 24а и опубликованные фрагменты,,,unknown_not_established_by_publication_year,R,category,"Чтение палитры и пространственная реконструкция коэффициента; суффикс — метаданные реконструкции, не отдельное измерение",scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,False,True
ko,MODEL_FEATURE,True,True,SRC01,Рис. 24б и опубликованные фрагменты,,,unknown_not_established_by_publication_year,R,1,Чтение палитры и пространственная реконструкция коэффициента,scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,False,True
ko__standard_uncertainty,MODEL_FEATURE,True,True,SRC01,Рис. 24б и опубликованные фрагменты,,,unknown_not_established_by_publication_year,R,1,"Чтение палитры и пространственная реконструкция коэффициента; суффикс — метаданные реконструкции, не отдельное измерение",scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,False,True
ko__donor_distance_m,MODEL_FEATURE,True,True,SRC01,Рис. 24б и опубликованные фрагменты,,,unknown_not_established_by_publication_year,R,approximate_local_m,"Чтение палитры и пространственная реконструкция коэффициента; суффикс — метаданные реконструкции, не отдельное измерение",scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,False,True
ko__provenance,MODEL_FEATURE,True,True,SRC01,Рис. 24б и опубликованные фрагменты,,,unknown_not_established_by_publication_year,R,category,"Чтение палитры и пространственная реконструкция коэффициента; суффикс — метаданные реконструкции, не отдельное измерение",scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,False,True
seismic_energy_J_m2,MODEL_FEATURE,True,True,SRC01,Рис. 24в; подпись: Es на 2023 год,2023.0,,unknown_not_established_by_publication_year,R,J/m2,Числовой прокси цветового класса; 27.5 для >25 не является опубликованным точным значением,scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,False,True
seismic_energy_J_m2__standard_uncertainty,MODEL_FEATURE,True,True,SRC01,Рис. 24в; подпись: Es на 2023 год,2023.0,,unknown_not_established_by_publication_year,R,J/m2,"Числовой прокси цветового класса; 27.5 для >25 не является опубликованным точным значением; суффикс — метаданные реконструкции, не отдельное измерение",scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,False,True
seismic_energy_J_m2__donor_distance_m,MODEL_FEATURE,True,True,SRC01,Рис. 24в; подпись: Es на 2023 год,2023.0,,unknown_not_established_by_publication_year,R,approximate_local_m,"Числовой прокси цветового класса; 27.5 для >25 не является опубликованным точным значением; суффикс — метаданные реконструкции, не отдельное измерение",scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,False,True
seismic_energy_J_m2__provenance,MODEL_FEATURE,True,True,SRC01,Рис. 24в; подпись: Es на 2023 год,2023.0,,unknown_not_established_by_publication_year,R,category,"Числовой прокси цветового класса; 27.5 для >25 не является опубликованным точным значением; суффикс — метаданные реконструкции, не отдельное измерение",scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,False,True
fill_density,MODEL_FEATURE,True,True,SRC01,Рис. 25б,,,unknown_not_established_by_publication_year,R,1,Доля красных пикселей штриховки; не доля заполненного объёма,scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,False,True
fill_density__standard_uncertainty,MODEL_FEATURE,True,True,SRC01,Рис. 25б,,,unknown_not_established_by_publication_year,R,1,"Доля красных пикселей штриховки; не доля заполненного объёма; суффикс — метаданные реконструкции, не отдельное измерение",scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,False,True
fill_density__donor_distance_m,MODEL_FEATURE,True,True,SRC01,Рис. 25б,,,unknown_not_established_by_publication_year,R,approximate_local_m,"Доля красных пикселей штриховки; не доля заполненного объёма; суффикс — метаданные реконструкции, не отдельное измерение",scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,False,True
fill_density__provenance,MODEL_FEATURE,True,True,SRC01,Рис. 25б,,,unknown_not_established_by_publication_year,R,category,"Доля красных пикселей штриховки; не доля заполненного объёма; суффикс — метаданные реконструкции, не отдельное измерение",scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,False,True
fault_distance_m,MODEL_FEATURE,True,True,SRC01,Рис. 24г,,,unknown_not_established_by_publication_year,R,approximate_local_m,Расстояние до оцифрованных линий в приближённой локальной системе,scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,False,True
fault_distance_m__standard_uncertainty,MODEL_FEATURE,True,True,SRC01,Рис. 24г,,,unknown_not_established_by_publication_year,R,approximate_local_m,"Расстояние до оцифрованных линий в приближённой локальной системе; суффикс — метаданные реконструкции, не отдельное измерение",scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,False,True
fault_distance_m__donor_distance_m,MODEL_FEATURE,True,True,SRC01,Рис. 24г,,,unknown_not_established_by_publication_year,R,approximate_local_m,"Расстояние до оцифрованных линий в приближённой локальной системе; суффикс — метаданные реконструкции, не отдельное измерение",scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,False,True
fault_distance_m__provenance,MODEL_FEATURE,True,True,SRC01,Рис. 24г,,,unknown_not_established_by_publication_year,R,category,"Расстояние до оцифрованных линий в приближённой локальной системе; суффикс — метаданные реконструкции, не отдельное измерение",scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,False,True
lithology,MODEL_FEATURE,True,True,SRC01,Рис. 25в,,,unknown_not_established_by_publication_year,R,category,"Категория, полученная из цветов и реконструкции; не геологическое опробование",scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,False,True
lithology__standard_uncertainty,MODEL_FEATURE,True,True,SRC01,Рис. 25в,,,unknown_not_established_by_publication_year,R,category,"Категория, полученная из цветов и реконструкции; не геологическое опробование; суффикс — метаданные реконструкции, не отдельное измерение",scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,False,True
lithology__donor_distance_m,MODEL_FEATURE,True,True,SRC01,Рис. 25в,,,unknown_not_established_by_publication_year,R,approximate_local_m,"Категория, полученная из цветов и реконструкции; не геологическое опробование; суффикс — метаданные реконструкции, не отдельное измерение",scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,False,True
lithology__provenance,MODEL_FEATURE,True,True,SRC01,Рис. 25в,,,unknown_not_established_by_publication_year,R,category,"Категория, полученная из цветов и реконструкции; не геологическое опробование; суффикс — метаданные реконструкции, не отдельное измерение",scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,False,True
terrain_TRI_relative,MODEL_FEATURE,True,True,SRC01,Рис. 25а,,,unknown_not_established_by_publication_year,R,relative_colour_proxy,"Цветовой контраст растра; не TRI, рассчитанный из высот DEM",scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,False,True
terrain_TRI_relative__standard_uncertainty,MODEL_FEATURE,True,True,SRC01,Рис. 25а,,,unknown_not_established_by_publication_year,R,relative_colour_proxy,"Цветовой контраст растра; не TRI, рассчитанный из высот DEM; суффикс — метаданные реконструкции, не отдельное измерение",scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,False,True
terrain_TRI_relative__donor_distance_m,MODEL_FEATURE,True,True,SRC01,Рис. 25а,,,unknown_not_established_by_publication_year,R,approximate_local_m,"Цветовой контраст растра; не TRI, рассчитанный из высот DEM; суффикс — метаданные реконструкции, не отдельное измерение",scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,False,True
terrain_TRI_relative__provenance,MODEL_FEATURE,True,True,SRC01,Рис. 25а,,,unknown_not_established_by_publication_year,R,category,"Цветовой контраст растра; не TRI, рассчитанный из высот DEM; суффикс — метаданные реконструкции, не отдельное измерение",scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,False,True
terrain_roughness_relative,MODEL_FEATURE,True,True,SRC01,Рис. 25а,,,unknown_not_established_by_publication_year,R,relative_colour_proxy,Яркостный прокси изображения; не измеренная шероховатость рельефа,scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,False,True
terrain_roughness_relative__standard_uncertainty,MODEL_FEATURE,True,True,SRC01,Рис. 25а,,,unknown_not_established_by_publication_year,R,relative_colour_proxy,"Яркостный прокси изображения; не измеренная шероховатость рельефа; суффикс — метаданные реконструкции, не отдельное измерение",scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,False,True
terrain_roughness_relative__donor_distance_m,MODEL_FEATURE,True,True,SRC01,Рис. 25а,,,unknown_not_established_by_publication_year,R,approximate_local_m,"Яркостный прокси изображения; не измеренная шероховатость рельефа; суффикс — метаданные реконструкции, не отдельное измерение",scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,False,True
terrain_roughness_relative__provenance,MODEL_FEATURE,True,True,SRC01,Рис. 25а,,,unknown_not_established_by_publication_year,R,category,"Яркостный прокси изображения; не измеренная шероховатость рельефа; суффикс — метаданные реконструкции, не отдельное измерение",scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,False,True
settlement_anchor_map_mm,PHYSICALLY_EXCLUDED,False,False,SRC01,Рис. 22 и опубликованные зональные фрагменты,,,unknown_not_established_by_publication_year,R,mm,"Чтение палитры, заполнение пропусков и приведение к якорям; не измерение",scenario_start_if_explicit_assumption,SIM_STATIC_KNOWN,False,False
x_local_m,PHYSICALLY_EXCLUDED,False,False,,,,,not_applicable_synthetic,S,see_parent_field,"Исключено из признаков: оценочная истина, параметры генератора или координаты",never,,False,False
y_local_m,PHYSICALLY_EXCLUDED,False,False,,,,,not_applicable_synthetic,S,see_parent_field,"Исключено из признаков: оценочная истина, параметры генератора или координаты",never,,False,False
process_family,PHYSICALLY_EXCLUDED,False,False,,,,,not_applicable_synthetic,S,see_parent_field,"Исключено из признаков: оценочная истина, параметры генератора или координаты",never,,False,False
regime_stage,PHYSICALLY_EXCLUDED,False,False,,,,,not_applicable_synthetic,S,see_parent_field,"Исключено из признаков: оценочная истина, параметры генератора или координаты",never,,False,False
base_rate_mm_y,PHYSICALLY_EXCLUDED,False,False,,,,,not_applicable_synthetic,S,see_parent_field,"Исключено из признаков: оценочная истина, параметры генератора или координаты",never,,False,False
event_onset_date,PHYSICALLY_EXCLUDED,False,False,,,,,not_applicable_synthetic,S,see_parent_field,"Исключено из признаков: оценочная истина, параметры генератора или координаты",never,,False,False
event_amplitude_mm_y,PHYSICALLY_EXCLUDED,False,False,,,,,not_applicable_synthetic,S,see_parent_field,"Исключено из признаков: оценочная истина, параметры генератора или координаты",never,,False,False
decay_tau_y,PHYSICALLY_EXCLUDED,False,False,,,,,not_applicable_synthetic,S,see_parent_field,"Исключено из признаков: оценочная истина, параметры генератора или координаты",never,,False,False
true_settlement_mm,PHYSICALLY_EXCLUDED,False,False,,,,,not_applicable_synthetic,S,see_parent_field,"Исключено из признаков: оценочная истина, параметры генератора или координаты",never,,False,False
true_velocity_mm_y,PHYSICALLY_EXCLUDED,False,False,,,,,not_applicable_synthetic,S,see_parent_field,"Исключено из признаков: оценочная истина, параметры генератора или координаты",never,,False,False
target_campaign_type,MODEL_FEATURE,True,True,,tables/survey_campaigns.csv and campaign_point_membership.csv,,,not_applicable_synthetic,S,category,План синтетических кампаний; горизонт от current_date до target_date,scenario_start,SIM_PLAN_KNOWN,True,True
