conflict_id,domain,topic,value_a,value_b,vn_ids_a,vn_ids_b,source_ids,locators,resolution_status,assessment,affects_skru1
MC-SP-11,SPATIAL,Номенклатура панелей СКРУ-1: 1992 vs 2013,"SRC-037 Рис.2.7 (~1990): 1–13 ЗП, 8–13 ЮЗП, 4–16 ЮП, 1–16 ВП, 7–15 СП (оставшиеся запасы)","SRC-014 Рис.3.1–3.3 и p81 (2013): 1 СЗП, 1–6 СП, 1–11 ВП (нечётные+2), 3-бис ВП, 6/8/10/12 ЗП, 1–5 ЮЗП, 1–2 ЮВП, 1 СВП; SRC-002/012/021/023 используют номенклатуру 2013 г.",EV-VN-S037-0306;EV-VN-S037-0307;EV-VN-S037-0308,EV-VN-S014-0458;EV-VN-S014-0538;EV-VN-S002-0028,VKM-SRC-037;VKM-SRC-014;VKM-SRC-002,"VKM-SRC-037 pdf p.37 (printed 72-73); рис. 2.7 а (пласт Красный-II) || VKM-SRC-037 pdf p.37 (printed 72); рис. 2.7 б (пласт АБ) || VKM-SRC-037 pdf p.37 (printed 73); рис. 2.7 в (пласты Вс и Вк) || VKM-SRC-014 pdf p.78 (printed 78); Рис. 3.1 || VKM-SRC-014 pdf p.81 (printed 81); §3.1 || VKM-SRC-002 pdf p.14; слайд 14, карта — оверлей горного плана",CROSSWALK_UNKNOWN,"Одноимённые панели (напр. 12 ЗП, 1 ВП) нельзя считать тождественными без переходной таблицы; в иерархии — отдельные узлы SKRU1:PAN92:* и SKRU1:PAN13:*.",YES
MC-SP-12,SPATIAL,Номер панели камеры 102 СКРУ-2,"2-я ЮВП, гор. −220 м (SRC-011 p109)","2-я ЮЗП (SRC-011 p99, Рис.2.23); гор. −200 м в подписи",EV-VN-S011-1528,EV-VN-S011-1032;EV-VN-S011-1062,VKM-SRC-011,"VKM-SRC-011 pdf p.78 (printed 154-155); с.154 || VKM-SRC-011 pdf p.50 (printed 98-99); текст стр. 99, Рис. 2.23 || VKM-SRC-011 pdf p.55 (printed 108-109); текст стр. 109 vs стр. 99, Рис. 2.23",INTERNAL_CONFLICT,,NO
MC-SP-13,SPATIAL,Диапазон глубин горных работ (СКРУ-1/ВКМ) в ВКР SRC-023,140–461 м,250–350 м; 400–740 м (в той же ВКР),EV-VN-S023-0034,EV-VN-S023-0034,VKM-SRC-023,VKM-SRC-023 pdf p.12 (printed 12); rendered p.12; §1.1.1 vs §2.3/§2.4,INTERNAL_CONFLICT,"Источники диапазонов в ВКР не указаны; для СКРУ-1 фактические глубины по зонам ГИС 190–310,8 м (строки Рис.15/17) — без обобщения.",YES
MC-SP-14,SPATIAL,"Мощность ВЗТ 13,5 м приписана СКРУ-1","SRC-023 заключение: «ВЗТ локально до 13,5 м» как особенность объекта (СКРУ-1)",значение относится к СКРУ-3 (там же в ВКР),EV-VN-S023-0479,EV-VN-S023-0479,VKM-SRC-023,"VKM-SRC-023 pdf p.109 (printed 109); rendered p.109; Заключение vs §2.3 (EV-GEO-0255, ref. [25])",ATTRIBUTION_DRIFT,Не использовать как параметр СКРУ-1.,YES
MC-SP-15,SPATIAL,"Водопроявление в стволе №2 СКРУ-1 «из карналлитового пласта» на 131,51–134 м","SRC-040 p25–26: приток 1930/1935 на 131,51–134 м, «из карналлитового пласта»","SRC-040 Рис.1.4 (ствол 2-бис): кровля сильвинито-карналлитовой зоны ниже отметки 236,23 м",EV-VN-S040-0070;EV-VN-S040-0072,EV-VN-S040-0074,VKM-SRC-040,"VKM-SRC-040 pdf p.25 (printed 25); §1.2.2, p.25 || VKM-SRC-040 pdf p.25 (printed 25-26); §1.2.2, p.25-26 || VKM-SRC-040 pdf p.26 (printed 26); §1.2.2 p.26 vs рис.1.4",UNRESOLVED,Разные стволы; возможна неточность исторического текста. Поток GEOLOGY/HYDRO.,YES
MC-GE-01,GEOMETRY,Параметры карналлитовых камер (пласт Вк) СКРУ-1,"комбайновые: камера 9,0 м / целик 18,0 м (Урал-20Р, 4 хода по высоте × 3 по ширине; высота ≤10 м) (SRC-014 p54); камера 9,0 / целик 17,0 / межосевое 26,0 м (SRC-026 p22, Урал-10А/20А)","буровзрывные: камера 8 м / МКЦ 19 м (СКПРУ-1), 18 м (БКПРУ-1), высота до 10 м (SRC-037 p23); проект 1992: 8/19/27, h 7,5–10,5; зона разупрочнения 5/8,5/13,5, h 3,8 (SRC-037 Рис.3.30)",EV-VN-S014-0413;EV-VN-S026-0108;EV-VN-S026-0117,EV-VN-S037-0227;EV-VN-S037-0414,VKM-SRC-014;VKM-SRC-026;VKM-SRC-037,"VKM-SRC-014 pdf p.54 (printed 54); §2.5 || VKM-SRC-026 pdf p.22 (printed 22); Рис. 14, ссылка [9] || VKM-SRC-026 pdf p.23 (printed 23); Рис. 15 || VKM-SRC-037 pdf p.23 (printed 44); §1.3.3, пласт В карналлит, СКПРУ-1 || VKM-SRC-037 pdf p.56 (printed 110); рис. 3.30 а–б (СКПРУ-1, пласт Вк)",DIFFERENT_TECHNOLOGY_OR_ERA,"Различие технологий (комбайн vs БВР) и эпох (1990 vs 2013/2018); 9,0/18,0 vs 9,0/17,0 при одной технологии — нерешённое расхождение SRC-014 vs SRC-026.",YES
MC-GE-02,GEOMETRY,Комбайн для пласта Вк на СКРУ-1,Урал-20Р (SRC-014 p54),"Урал-10А, Урал-20А, Урал-400С (SRC-014 p58)",EV-VN-S014-0413,EV-VN-S014-0429;EV-VN-S014-0430,VKM-SRC-014,VKM-SRC-014 pdf p.54 (printed 54); §2.5 || VKM-SRC-014 pdf p.58 (printed 58); §2.6 || VKM-SRC-014 pdf p.58 (printed 58); §2.6 vs §2.5,INTERNAL_CONFLICT,,YES
MC-GE-03,GEOMETRY,Ширина/длина панелей СКРУ-1,"SRC-014: 350–400 м (большая часть поля), 500–600 м (ЮЗ); длина 750–2000 м","SRC-037 p22: 300–400 м, длина — до границ поля; SRC-014 p30 «типично для ВКМ 400 м»",EV-VN-S014-0350;EV-VN-S014-0541,EV-VN-S037-0211,VKM-SRC-014;VKM-SRC-037,"VKM-SRC-014 pdf p.30 (printed 30); §2.2 || VKM-SRC-014 pdf p.81 (printed 81); §3.1 || VKM-SRC-037 pdf p.22 (printed 41); §1.3.2, СКПРУ-1",UNRESOLVED,Описания практики разных лет; фактических контуров панелей нет.,YES
MC-GE-04,GEOMETRY,Соосность камер/панелей разных пластов на СКРУ-1,"камеры всех пластов (Вс, АБ, КрII) соосны — целик над целиком (SRC-014 p115)","нарезка панелей сильвинитового и карналлитового комплексов в центральной части не совпадает (11 ВП над 1 СП/2 СП; 1 СВП под 5,7,9,11 ВП и 3 СП) (SRC-014 p31, p81)",EV-VN-S014-0831,EV-VN-S014-0355;EV-VN-S014-0540,VKM-SRC-014,VKM-SRC-014 pdf p.115 (printed 115); §4.1 || VKM-SRC-014 pdf p.31 (printed 31); §2.2 || VKM-SRC-014 pdf p.81 (printed 81); §3.1,COMPATIBLE_DIFFERENT_LEVEL,Соосность внутри сильвинитового комплекса и несоосность между комплексами — разные уровни; важно для 3D-модели.,YES
MC-GE-05,GEOMETRY,Длина очистных камер ВКМ,150–190 м (SRC-037 p23),"150–300 м (текст SRC-020 p18; SRC-014); 100–300 м (рис. SRC-020); 150–200 м (SRC-014 Рис.2.13, СКРУ-3)",EV-VN-S037-0221,EV-VN-S020-0131;EV-VN-S020-0132;EV-VN-S014-0410,VKM-SRC-037;VKM-SRC-020;VKM-SRC-014,VKM-SRC-037 pdf p.23 (printed 44); §1.3.3 || VKM-SRC-020 pdf p.18 (printed 18); §1.2.2 панельно-блоковый способ || VKM-SRC-020 pdf p.18 (printed 18 vs 15); §1.2.2 vs рис.1.8 || VKM-SRC-014 pdf p.53 (printed 53); Рис. 2.13 vs p.54 text,UNRESOLVED,Разные годы и рудники.,NO
MC-GE-06,GEOMETRY,Ширина камер/целиков: обобщения ВКР SRC-023 vs строки ГИС СКРУ-1,"SRC-023 §2.1: камеры 3–16, целики 3,0–18/20 м; §2.4: 6–8 / 8–10 м; §1.1.2: 6–15 / 5–12 м","строки ГИС СКРУ-1 (Рис.15/17): камеры 5–16 м, целики 6,4–12 м (как напечатано по зонам)",EV-VN-S023-0080;EV-VN-S023-0173;EV-VN-S023-0039;EV-VN-S023-0081,EV-VN-S023-0242;EV-VN-S023-0252;EV-VN-S023-0266;EV-VN-S023-0224,VKM-SRC-023,"VKM-SRC-023 pdf p.27 (printed 27); rendered p.27; §2.1 || VKM-SRC-023 pdf p.36 (printed 36); rendered p.36; §2.4 Горнотехнические условия месторождения || VKM-SRC-023 pdf p.14 (printed 14); rendered p.14; §1.1.2 || VKM-SRC-023 pdf p.27 (printed 27); rendered p.27; §2.1 vs §2.4 || VKM-SRC-023 pdf p.43 (printed 43); Рис.17 'Участки_признаки' горно-технические факторы (image19.png), rendered p.43 || VKM-SRC-023 pdf p.42 (printed 42); Рис.15 'Параметры_шахтного_поля_СКРУ1' (image17.png), rendered p.42",INTERNAL_CONFLICT_SECONDARY,Обобщённые диапазоны ВКР несовместимы между собой; для СКРУ-1 использовать построчные значения ГИС (с меткой UNRESOLVED design/actual).,YES
MC-GE-07,GEOMETRY,Определение «коэффициента извлечения»,"КВП 0,296–0,593 — отношение ширины камеры к (ширина камеры + ширина целика) (SRC-023 ф.4.6)","общий коэффициент извлечения 0,35–0,40 (SRC-023 p36, по [26]); степень нагружения C 0,14–0,36 по зонам ГИС",EV-VN-S023-0410,EV-VN-S023-0173,VKM-SRC-023,VKM-SRC-023 pdf p.78 (printed 78); rendered p.78; формула (4.6) vs текст §4.1.2 и §2.4 || VKM-SRC-023 pdf p.36 (printed 36); rendered p.36; §2.4 Горнотехнические условия месторождения,DEFINITION_MISMATCH,Разные величины (линейная доля vs площадное/общее извлечение); не сравнивать напрямую.,YES
MC-GE-08,GEOMETRY,Порядок отработки пластов: норматив vs практика СКРУ-2,"норма: вышележащий пласт опережает на ≥50 м, соосные камеры (SRC-026 p4; SRC-014)","СКРУ-2 у целика: «в основном восходящий порядок» (сначала КрII) (SRC-012 p34), а по табл. 2.1 — Вс/АБ 1974–1982, КрII 1983–1987",EV-VN-S026-0012,EV-VN-S012-0277;EV-VN-S012-0145,VKM-SRC-026;VKM-SRC-012,"VKM-SRC-026 pdf p.4 (printed 4); Введение, ссылка [2] || VKM-SRC-012 pdf p.56 (printed 56); p.34 vs Табл. 2.1 || VKM-SRC-012 pdf p.32 (printed 32); §1.4.2, [42]",DESIGN_VS_ACTUAL,См. также CC-11.,NO
MC-GE-09,GEOMETRY,Размеры камер большого сечения (КБС) для шламов,"20×20 м, длина 245–406 м, целик 60,8 м (SRC-014 p111)","20×30 м, длина 300–350 м, целик 80 м (SRC-014 p146); 20 × 25–30 м, длина 300–525 м, целик 65–80 м (SRC-019, БКПРУ-1 1970–80)",EV-VN-S014-0922,EV-VN-S019-0006,VKM-SRC-014;VKM-SRC-019,"VKM-SRC-014 pdf p.146 (printed 146); p.111 (§3.7) vs p.146 (§5.3.2) || VKM-SRC-019 pdf p.1 (printed 45); Введение, [1,2]",UNRESOLVED,Разные поколения/рудники КБС; для СКРУ-1 размеры КБС не приведены.,NO
MC-GE-10,GEOMETRY,Одни и те же числа для разных величин (SRC-012 Рис.4.2 / табл. 2.1),"4,3 = ширина камеры АБ; 6,6 = целик АБ; 5,5 = камера КрII",те же числа трактуются как мощности/высоты в табл. 2.1 (m_o),EV-VN-S012-0514,EV-VN-S012-0514,VKM-SRC-012,VKM-SRC-012 pdf p.96 (printed 96); Рис. 4.2 vs Табл. 2.1 (pdf 56),AMBIGUOUS,Рудник Рис.4.2 явно не назван.,NO
MC-GE-11,GEOMETRY,Порядок отработки на БКПРУ-4,"обратный порядок и в блоках, и в панелях (SRC-014 p36)","панели — обратный, блоки — прямой (SRC-014 p134)",EV-VN-S014-0371,EV-VN-S014-0894,VKM-SRC-014,"VKM-SRC-014 pdf p.36 (printed 36); §2.2 vs §3.5/§4.6 (pp.106, 134) || VKM-SRC-014 pdf p.134 (printed 134); §4.6",INTERNAL_CONFLICT,,NO
MC-GE-12,GEOMETRY,Размеры панелей СКРУ-3,панельно-блоковая подготовка: ширина 1200–2100 м (SRC-014 p30),"панели 1200 м × 2,0–2,2 км, блоки 400 м (SRC-037 p22); панели 1,2 км × 5–7 км, блоки 400×500 м (SRC-037 p36)",EV-VN-S014-0350,EV-VN-S037-0215;EV-VN-S037-0303,VKM-SRC-014;VKM-SRC-037,"VKM-SRC-014 pdf p.30 (printed 30); §2.2 || VKM-SRC-037 pdf p.22 (printed 42); §1.3.2, СКПРУ-3 || VKM-SRC-037 pdf p.36 (printed 71); §2.6, с.71; рис. 2.11–2.12",UNRESOLVED,Внутреннее расхождение SRC-037 (p22 vs p36) по длине панели.,YES
MC-BF-01,BACKFILL,Гидрозакладка на СКРУ-1,"SRC-020 p25 (1998, пособие ОАО «Уралкалий»): гидравлическая закладка применяется «только на БКПРУ-1»; SRC-037 p183 (~1990): гидрозакладочные установки на БКПРУ-1 и СКПРУ-2","SRC-023 Рис.17 (ГИС СКРУ-1): чисто гидравлическая закладка — только 2011–2012 (46П, зоны 106, 107); в строках «сухая,гидро» с двумя интервалами (первый 1989–1999 / 1993–1998 / 1996–1998 / 1997–2002 / 1996, второй «2[...]» / 2011) распределение типов по интервалам не указано",EV-VN-S020-0164;EV-VN-S037-1030,EV-VN-S023-0270;EV-VN-S023-0249;EV-VN-S023-0257;EV-VN-S023-0263,VKM-SRC-020;VKM-SRC-037;VKM-SRC-023,"VKM-SRC-020 pdf p.25 (printed 25); §1.4 || VKM-SRC-037 pdf p.183 (printed 365); §8.6.5, с.365 || VKM-SRC-023 pdf p.43 (printed 43); Рис.17 (image19.png), rendered p.43",UNRESOLVED_SCOPE,"Возможная разница охвата: в 1998 СКРУ-1 принадлежал ОАО «Сильвинит», пособие описывает рудники «Уралкалия»; SRC-037 — состояние ~1990. Источник гидрозакладки на СКРУ-1 (собственный комплекс/перепуск) не установлен. CHRONOLOGY-020: гидрозакладка на СКРУ-1 в 1989–1999 гг. не доказана — возможное объяснение: сухая закладка в 1990-х, гидро — в 2000-х; тогда противоречия с SRC-020 (1998) нет. Соответствие тип↔интервал — UNKNOWN.",YES
MC-BF-02,BACKFILL,Задержка закладки после выемки,"нормативно/проектно: в пределах срока устойчивости кровли, группами 8–10 пар камер (SRC-014 p139); новая технология СКПРУ-2 — до 2 лет (SRC-037 p66)","практика: традиционно 10–20 лет (SRC-037 p66, СКПРУ-2); у целиков СКРУ-2 в среднем ~10 лет, на ЮВП −143 до ≥20 лет (SRC-012); ГИС СКРУ-1 — десятилетия (выемка 1934–1970, закладка 1978–2017)",EV-VN-S014-0904;EV-VN-S037-0455,EV-VN-S023-0270;EV-VN-S012-0172,VKM-SRC-014;VKM-SRC-037;VKM-SRC-023;VKM-SRC-012,"VKM-SRC-014 pdf p.139 (printed 139–140); §5.2 (pp.139–140) || VKM-SRC-037 pdf p.66 (printed 130); §3.18 (с.130) || VKM-SRC-023 pdf p.43 (printed 43); Рис.17 (image19.png), rendered p.43 || VKM-SRC-012 pdf p.34 (printed 34); §1.4.2",DESIGN_VS_ACTUAL,Задержки не вычислялись; см. CC-18.,YES
MC-BF-03,BACKFILL,Частота шламовых камер при раздельном размещении,текст SRC-037: одна шламовая через 2–3 камеры,таблицы SRC-037 4.1/4.2: в каждую четвёртую камеру,EV-VN-S037-0489;EV-VN-S037-0492,EV-VN-S037-0491,VKM-SRC-037,"VKM-SRC-037 pdf p.76 (printed 150); §4.4 (с.150), рис. 4.9, 4.10, табл. 4.1 || VKM-SRC-037 pdf p.77 (printed 151-153); §4.5 (с.151–153), рис. 4.11, 4.12, табл. 4.2 || VKM-SRC-037 pdf p.76 (printed 148-153); §4.4 (с.148), §4.5 (с.151), табл. 4.1, 4.2",INTERNAL_CONFLICT,,NO
MC-BF-04,BACKFILL,Размеры камер шламохранилищ (КБС),"SRC-014 p111: высота 20 м, целик 60,8 м, длина 245–406 м","SRC-014 p146: высота 30 м, целик 80 м, длина 300–350 м",EV-VN-S014-0922,EV-VN-S014-0923,VKM-SRC-014,"VKM-SRC-014 pdf p.146 (printed 146); p.111 (§3.7) vs p.146 (§5.3.2) || VKM-SRC-014 pdf p.146 (printed 146); §5.3.2, Рис. 5.8",INTERNAL_CONFLICT,См. MC-GE-09.,NO
MC-BF-05,BACKFILL,Полнота закладки на БКПРУ-4,«большой недозаклад» при гидрозакладке (SRC-016),"нормативная требуемая степень заполнения 0,8–0,9 (SRC-037)",EV-VN-S016-0078,EV-VN-S037-0478,VKM-SRC-016;VKM-SRC-037,VKM-SRC-016 pdf p.10 (printed 42); Заключение || VKM-SRC-037 pdf p.72 (printed 143-147); §4.3 (с.143–147),DESIGN_VS_ACTUAL,Числовая фактическая степень заполнения не приведена.,NO
