entity_id,name,aliases,level,entity_type_as_source,parent_id,parent_level,parent_allowed_by_schema,also_within,site_scope,mine_attribution,attribution_status,location_evidence,dimensions_as_printed,schema_note,stream_overlap,node_basis,superseded_by,borehole_id,n_source_records,source_ids,locators,vn_ids,existing_evidence_ids,status,evidence_type,scope,scale,confidence,extraction_method,quote_check,notes
AREA:BYGELSKO_TROITSKY,Быгельско-Троицкий участок,,district,участок детальной разведки (номер 5 на карте SRC-011 p147),VKM,deposit,YES,VKM:PART:S,VKM_REGIONAL,,TEXT_CONFIRMED,,,участок детальной разведки/лицензионный участок не имеет своего SpatialLevel; district использован как контейнер рудника; вложенность в «часть месторождения» дана через also_within,,SOURCE_STATED,,,3,VKM-SRC-011;VKM-SRC-014;VKM-SRC-018,VKM-SRC-011 pdf p.147 (printed 292-293); Прилож. 2 «История открытия и освоения месторождения»; карта участков детальной разведки с.293 || VKM-SRC-014 pdf p.8 (printed 8); §1.1 || VKM-SRC-018 pdf p.5; Рис. 1,EV-VN-S011-2693;EV-VN-S014-0014;EV-VN-S018-0031,EV-GEO-0278,FACT,DESCRIPTIVE,VKM_REGIONAL,NOT_APPLICABLE,HIGH;MEDIUM,TEXT_LAYER;VISUAL_READ,FUZZY_71;EXACT;NOT_FOUND,"Число и нумерация участков различаются по источникам: SRC-011 — 12 (карта p147), SRC-014/SRC-025 — 11, SRC-020 — 13 (вкл. Шубинский, Белопашенский), SRC-037 — 1–15; см. mining_conflicts.csv MC-SP-02 [review-fix 26.09.2026] области записей пересмотрены (D-17/находки): S011-2693: OTHER_VKM_SITE→VKM_REGIONAL (ATTRIBUTION-006, CHRONOLOGY-005)"
AREA:BEREZNIKOVSKY,Березниковский участок,,district,участок детальной разведки (номер 6 на карте SRC-011 p147),VKM,deposit,YES,VKM:PART:S,VKM_REGIONAL,,TEXT_CONFIRMED,,,участок детальной разведки/лицензионный участок не имеет своего SpatialLevel; district использован как контейнер рудника; вложенность в «часть месторождения» дана через also_within,,SOURCE_STATED,,,3,VKM-SRC-011;VKM-SRC-014;VKM-SRC-018,VKM-SRC-011 pdf p.147 (printed 292-293); Прилож. 2 «История открытия и освоения месторождения»; карта участков детальной разведки с.293 || VKM-SRC-014 pdf p.8 (printed 8); §1.1 || VKM-SRC-018 pdf p.5; Рис. 1,EV-VN-S011-2691;EV-VN-S014-0014;EV-VN-S018-0031,EV-GEO-0278,FACT,DESCRIPTIVE,VKM_REGIONAL,NOT_APPLICABLE,HIGH;MEDIUM,TEXT_LAYER;VISUAL_READ,FUZZY_71;EXACT;NOT_FOUND,"Число и нумерация участков различаются по источникам: SRC-011 — 12 (карта p147), SRC-014/SRC-025 — 11, SRC-020 — 13 (вкл. Шубинский, Белопашенский), SRC-037 — 1–15; см. mining_conflicts.csv MC-SP-02 [review-fix 26.09.2026] области записей пересмотрены (D-17/находки): S011-2691: OTHER_VKM_SITE→VKM_REGIONAL (ATTRIBUTION-006, CHRONOLOGY-005)"
AREA:DURYMANSKY,Дурыманский участок,,district,участок детальной разведки (номер 7 на карте SRC-011 p147),VKM,deposit,YES,VKM:PART:S,VKM_REGIONAL,,TEXT_CONFIRMED,,,участок детальной разведки/лицензионный участок не имеет своего SpatialLevel; district использован как контейнер рудника; вложенность в «часть месторождения» дана через also_within,,SOURCE_STATED,,,3,VKM-SRC-011;VKM-SRC-014;VKM-SRC-018,VKM-SRC-011 pdf p.147 (printed 292-293); Прилож. 2 «История открытия и освоения месторождения»; карта участков детальной разведки с.293 || VKM-SRC-014 pdf p.8 (printed 8); §1.1 || VKM-SRC-018 pdf p.5; Рис. 1,EV-VN-S011-2689;EV-VN-S014-0014;EV-VN-S018-0031,EV-GEO-0278,FACT,DESCRIPTIVE,VKM_REGIONAL,NOT_APPLICABLE,HIGH;MEDIUM,TEXT_LAYER;VISUAL_READ,FUZZY_71;EXACT;NOT_FOUND,"Число и нумерация участков различаются по источникам: SRC-011 — 12 (карта p147), SRC-014/SRC-025 — 11, SRC-020 — 13 (вкл. Шубинский, Белопашенский), SRC-037 — 1–15; см. mining_conflicts.csv MC-SP-02 [review-fix 26.09.2026] области записей пересмотрены (D-17/находки): S011-2689: OTHER_VKM_SITE→VKM_REGIONAL (ATTRIBUTION-006, CHRONOLOGY-005)"
AREA:TALITSKY,Талицкий участок,,district,участок детальной разведки (номер 8 на карте SRC-011 p147),VKM,deposit,YES,VKM:PART:S,VKM_REGIONAL,,TEXT_CONFIRMED,,,участок детальной разведки/лицензионный участок не имеет своего SpatialLevel; district использован как контейнер рудника; вложенность в «часть месторождения» дана через also_within,,SOURCE_STATED,,,4,VKM-SRC-011;VKM-SRC-014;VKM-SRC-018,VKM-SRC-011 pdf p.147 (printed 292-293); Прилож. 2 «История открытия и освоения месторождения»; карта участков детальной разведки с.293 || VKM-SRC-011 pdf p.3 (printed 5); Предисловие || VKM-SRC-014 pdf p.8 (printed 8); §1.1 || VKM-SRC-018 pdf p.5; Рис. 1,EV-VN-S011-2694;EV-VN-S011-0012;EV-VN-S014-0014;EV-VN-S018-0031,EV-GEO-0278,FACT,DESCRIPTIVE,VKM_REGIONAL;OTHER_VKM_SITE,NOT_APPLICABLE,HIGH;MEDIUM,TEXT_LAYER;VISUAL_READ,FUZZY_71;FUZZY_61;EXACT;NOT_FOUND,"Число и нумерация участков различаются по источникам: SRC-011 — 12 (карта p147), SRC-014/SRC-025 — 11, SRC-020 — 13 (вкл. Шубинский, Белопашенский), SRC-037 — 1–15; см. mining_conflicts.csv MC-SP-02 [review-fix 26.09.2026] области записей пересмотрены (D-17/находки): S011-2694: OTHER_VKM_SITE→VKM_REGIONAL (ATTRIBUTION-006, CHRONOLOGY-005)"
AREA:UST_YAYVINSKY,Усть-Яйвинский участок,,district,участок детальной разведки (номер 9 на карте SRC-011 p147),VKM,deposit,YES,VKM:PART:S,VKM_REGIONAL,,TEXT_CONFIRMED,,,участок детальной разведки/лицензионный участок не имеет своего SpatialLevel; district использован как контейнер рудника; вложенность в «часть месторождения» дана через also_within,,SOURCE_STATED,,,4,VKM-SRC-011;VKM-SRC-014;VKM-SRC-018,VKM-SRC-011 pdf p.147 (printed 292-293); Прилож. 2 «История открытия и освоения месторождения»; карта участков детальной разведки с.293 || VKM-SRC-011 pdf p.3 (printed 5); Предисловие || VKM-SRC-014 pdf p.8 (printed 8); §1.1 || VKM-SRC-018 pdf p.5; Рис. 1,EV-VN-S011-2698;EV-VN-S011-0009;EV-VN-S014-0014;EV-VN-S018-0031,EV-GEO-0278,FACT,DESCRIPTIVE,VKM_REGIONAL;OTHER_VKM_SITE,NOT_APPLICABLE,HIGH;MEDIUM,TEXT_LAYER;VISUAL_READ,FUZZY_71;FUZZY_61;EXACT;NOT_FOUND,"Число и нумерация участков различаются по источникам: SRC-011 — 12 (карта p147), SRC-014/SRC-025 — 11, SRC-020 — 13 (вкл. Шубинский, Белопашенский), SRC-037 — 1–15; см. mining_conflicts.csv MC-SP-02 [review-fix 26.09.2026] области записей пересмотрены (D-17/находки): S011-2698: OTHER_VKM_SITE→VKM_REGIONAL (ATTRIBUTION-006, CHRONOLOGY-005)"
AREA:BALAKHONTSEVSKY,Балахонцевский участок,,district,участок детальной разведки (номер 10 на карте SRC-011 p147),VKM,deposit,YES,VKM:PART:S,VKM_REGIONAL,,TEXT_CONFIRMED,,,участок детальной разведки/лицензионный участок не имеет своего SpatialLevel; district использован как контейнер рудника; вложенность в «часть месторождения» дана через also_within,,SOURCE_STATED,,,3,VKM-SRC-011;VKM-SRC-014;VKM-SRC-018,VKM-SRC-011 pdf p.147 (printed 292-293); Прилож. 2 «История открытия и освоения месторождения»; карта участков детальной разведки с.293 || VKM-SRC-014 pdf p.8 (printed 8); §1.1 || VKM-SRC-018 pdf p.5; Рис. 1,EV-VN-S011-2692;EV-VN-S014-0014;EV-VN-S018-0031,EV-GEO-0278,FACT,DESCRIPTIVE,VKM_REGIONAL,NOT_APPLICABLE,HIGH;MEDIUM,TEXT_LAYER;VISUAL_READ,FUZZY_71;EXACT;NOT_FOUND,"Число и нумерация участков различаются по источникам: SRC-011 — 12 (карта p147), SRC-014/SRC-025 — 11, SRC-020 — 13 (вкл. Шубинский, Белопашенский), SRC-037 — 1–15; см. mining_conflicts.csv MC-SP-02 [review-fix 26.09.2026] области записей пересмотрены (D-17/находки): S011-2692: OTHER_VKM_SITE→VKM_REGIONAL (ATTRIBUTION-006, CHRONOLOGY-005)"
AREA:PALASHERSKY,Палашерский участок,,district,участок детальной разведки (номер 11 на карте SRC-011 p147),VKM,deposit,YES,VKM:PART:S,VKM_REGIONAL,,TEXT_CONFIRMED,,,участок детальной разведки/лицензионный участок не имеет своего SpatialLevel; district использован как контейнер рудника; вложенность в «часть месторождения» дана через also_within,,SOURCE_STATED,,,5,VKM-SRC-011;VKM-SRC-014;VKM-SRC-018,VKM-SRC-011 pdf p.147 (printed 292-293); Прилож. 2 «История открытия и освоения месторождения»; карта участков детальной разведки с.293 || VKM-SRC-011 pdf p.3 (printed 5); Предисловие || VKM-SRC-014 pdf p.8 (printed 8); §1.1 || VKM-SRC-018 pdf p.5; Рис. 1 || VKM-SRC-014 pdf p.254 (printed 254); §8.9.2,EV-VN-S011-2695;EV-VN-S011-0011;EV-VN-S014-0014;EV-VN-S018-0031;EV-VN-S014-1224,EV-GEO-0278,FACT,DESCRIPTIVE;LITERATURE_CITED,VKM_REGIONAL;OTHER_VKM_SITE,NOT_APPLICABLE;FIELD,HIGH;MEDIUM,TEXT_LAYER;VISUAL_READ,FUZZY_71;FUZZY_61;EXACT;NOT_FOUND,"Число и нумерация участков различаются по источникам: SRC-011 — 12 (карта p147), SRC-014/SRC-025 — 11, SRC-020 — 13 (вкл. Шубинский, Белопашенский), SRC-037 — 1–15; см. mining_conflicts.csv MC-SP-02 [review-fix 26.09.2026] области записей пересмотрены (D-17/находки): S011-2695: OTHER_VKM_SITE→VKM_REGIONAL (ATTRIBUTION-006, CHRONOLOGY-005)"
AREA:YUZHNO_YURCHUKSKY,Южно-Юрчукский участок,,district,участок детальной разведки (номер 12 на карте SRC-011 p147),VKM,deposit,YES,,VKM_REGIONAL,,TEXT_CONFIRMED,,,участок детальной разведки/лицензионный участок не имеет своего SpatialLevel; district использован как контейнер рудника; вложенность в «часть месторождения» дана через also_within,,SOURCE_STATED,,,1,VKM-SRC-011,VKM-SRC-011 pdf p.147 (printed 292-293); Прилож. 2 «История открытия и освоения месторождения»; карта участков детальной разведки с.293,EV-VN-S011-2700,,FACT,DESCRIPTIVE,VKM_REGIONAL,NOT_APPLICABLE,HIGH,TEXT_LAYER,FUZZY_71,"Число и нумерация участков различаются по источникам: SRC-011 — 12 (карта p147), SRC-014/SRC-025 — 11, SRC-020 — 13 (вкл. Шубинский, Белопашенский), SRC-037 — 1–15; см. mining_conflicts.csv MC-SP-02 [review-fix 26.09.2026] области записей пересмотрены (D-17/находки): S011-2700: OTHER_VKM_SITE→VKM_REGIONAL (ATTRIBUTION-006, CHRONOLOGY-005)"
AREA:SHUBINSKY,Шубинский участок,,district,"участок (SRC-020 Рис.1.1, №2)",VKM,deposit,YES,,VKM_REGIONAL,,FIGURE_ONLY,,,district как контейнер участка,,SOURCE_STATED,,,1,VKM-SRC-020,VKM-SRC-020 pdf p.6 (printed 6); Рис.1.1 (легенда),EV-VN-S020-0017,,FACT,DESCRIPTIVE,VKM_REGIONAL,FIELD,HIGH,VISUAL_READ,EXACT,
AREA:BELOPASHENSKY,Белопашенский участок,,district,"участок (SRC-020 Рис.1.1, №12)",VKM,deposit,YES,,VKM_REGIONAL,,FIGURE_ONLY,,,district как контейнер участка,,SOURCE_STATED,,,1,VKM-SRC-020,VKM-SRC-020 pdf p.6 (printed 6); Рис.1.1 (легенда),EV-VN-S020-0017,,FACT,DESCRIPTIVE,VKM_REGIONAL,FIELD,HIGH,VISUAL_READ,EXACT,
MINE:SKRU1,СКРУ-1 (Первый Соликамский калийный рудник),"СКПРУ-1; Первый калийный рудник; «Первый рудник» (библиография 1932–1937); Соликамский калийный рудник (1946–1973, вероятно)",mine,рудник / рудоуправление,AREA:SOLIKAMSKY,district,YES,AREA:NOVO_SOLIKAMSKY;DIST:SOLIKAMSK;VKM:PART:C,SKRU1,СКРУ-1,CONFLICTING,"Соликамский участок (SRC-011 табл. p148; SRC-020 p12; SRC-037 Рис.1.1 — «участок 3 Соликамский», северная часть участка, восточнее р. Усолки); после расширения горного отвода — Соликамский и Ново-Соликамский участки (SRC-014 p8, p81); легенда SRC-020 Рис.1.1: «Новосоликамский (СКПРУ-1,3)»",,,,SOURCE_STATED,,,11,VKM-SRC-011;VKM-SRC-014;VKM-SRC-020;VKM-SRC-037,"VKM-SRC-011 pdf p.148 (printed 294-295); Прилож. 2, Таблица (с.294) || VKM-SRC-014 pdf p.28 (printed 28); §2.1 || VKM-SRC-020 pdf p.12 (printed 12); §1.2.1 || VKM-SRC-037 pdf p.3 (printed 5); Рис. 1.1 (визуальное чтение карты) || VKM-SRC-037 pdf p.17 (printed 33); §1.3.1, СКПРУ-1 (начало) || VKM-SRC-037 pdf p.19 (printed 36); §1.3.1, СКПРУ-1 || VKM-SRC-014 pdf p.8 (printed 8); §1.1 || VKM-SRC-020 pdf p.6 (printed 6); Рис.1.1 || VKM-SRC-011 pdf p.168 (printed 334-335); Список литературы; entries Преображенский 1932 'Роль первого рудника…', Преображенский & Иванов 1937 'Вывалы … Первого рудника', Русинов 1936 (p.169) || VKM-SRC-014 pdf p.11 (printed 11); §1.1 || VKM-SRC-037 pdf p.202 (printed 403); §8.9, с.403",EV-VN-S011-2713;EV-VN-S014-0335;EV-VN-S020-0108;EV-VN-S037-0017;EV-VN-S037-0191;EV-VN-S037-0198;EV-VN-S014-0017;EV-VN-S020-0019;EV-VN-S011-3807;EV-VN-S014-0111;EV-VN-S037-1156,EV-GEO-0184;EV-MIN-0113,FACT;DERIVATION,DESCRIPTIVE;LITERATURE_CITED,SKRU1;VKM_REGIONAL,NOT_APPLICABLE;FIELD,HIGH;MEDIUM;LOW,TEXT_LAYER;VISUAL_READ;OCR_VISUALLY_CONFIRMED,NOT_FOUND;EXACT;FUZZY_66;FUZZY_73,Отнесение к участку противоречиво по источникам (MC-SP-01). Псевдонимы «Первый рудник» в старой библиографии — DERIVATION (SRC-011 p168).
