conflict_id,topic,value_a,value_b,vn_ids_a,vn_ids_b,source_ids,locators,resolution_status,assessment,affects_skru1
CC-11,Порядок отработки пластов на СКРУ-2 у целика,"SRC-012 p34: «в основном восходящий порядок» (сначала КрII, затем АБ, Вс)","SRC-012 Табл. 2.1: III СВП — Вс 1974, АБ 1974, КрII 1983; IV СВП — Вс/АБ 1982, КрII 1987 (т.е. нисходящий/одновременный)",EV-VN-S012-0277,EV-VN-S012-0277,VKM-SRC-012,VKM-SRC-012 pdf p.56 (printed 56); p.34 vs Табл. 2.1,INTERNAL_CONFLICT,Внутреннее противоречие SRC-012; значения лет не пересчитывались.,NO
CC-12,Карналлит на СКРУ-1: присутствие vs отсутствие в перечне вариантов 1987 г.,"SRC-011 p147: карналлит добывается на СКРУ-1 с 1936 г.; SRC-037 p78: БВР по карналлиту на СКПРУ-1 (~1990, до 500 ГДЯ/год вместе с БКПРУ-1); SRC-026: ~2018 карналлит механизированно добывается только на СКРУ-1","SRC-037 Табл. 7.8 (варианты очистной выемки, действовавшие в 1987 г. на СКПРУ-1) не содержит вариантов по пласту В",EV-VN-S011-2706;EV-VN-S037-0499;EV-VN-S026-0105,EV-VN-S037-0757,VKM-SRC-011;VKM-SRC-037;VKM-SRC-026,"VKM-SRC-011 pdf p.147 (printed 292-293); Прилож. 2 «История открытия и освоения месторождения» || VKM-SRC-037 pdf p.78 (printed 155); §5.1 (с.155) || VKM-SRC-026 pdf p.21 (printed 21); §4.3 || VKM-SRC-037 pdf p.126 (printed 251); Табл. 7.8 «Трудоемкость ... и производительность труда рабочих очистного забоя ... для вариантов по рудникам ПО «Сильвинит»», колонка СКПРУ-1",ABSENCE_NOT_EVIDENCE,"Отсутствие в таблице (вероятно, только сильвинитовые пласты) не опровергает добычу карналлита; не считать конфликтом по существу, но проверить охват таблицы.",YES
CC-13,Возраст рудника «55 лет» без года отсчёта,"SRC-037 p124: продолжительность эксплуатации СКПРУ-1 — 55 лет, СКПРУ-2 — 15, СКПРУ-3 — 5",SRC-011: ввод СКРУ-1 — 1930 (табл. с.294) и сдача рудника в эксплуатацию в мае 1930 г. (текст с.293); СКРУ-2 — 1973; СКРУ-3 — 1983,EV-VN-S037-0747,EV-VN-S011-2713;EV-VN-S011-2706;EV-VN-S011-2721;EV-VN-S011-2723,VKM-SRC-037;VKM-SRC-011,"VKM-SRC-037 pdf p.124 (printed 246); §7.1.2 || VKM-SRC-011 pdf p.148 (printed 294-295); Прилож. 2, Таблица (с.294) || VKM-SRC-011 pdf p.147 (printed 292-293); Прилож. 2 «История открытия и освоения месторождения»",UNRESOLVED,"Год, на который дан возраст, в SRC-037 не указан. DERIVATION (не факт; проверка согласованности, CHRONOLOGY-016): 15 и 5 лет согласуются с вводом СКРУ-2 (1973) и СКРУ-3 (1983) только при годе отсчёта ≈1988 (рядом таблицы за 1980–1987 гг.); тогда 55 лет дают начало эксплуатации СКРУ-1 ≈1933, а не май 1930 (расхождение ≈3 года). Вероятное объяснение — разный смысл «начала эксплуатации» (сдача рудника vs регулярная добыча). Корпусом не разрешено; начало выемки для WorldSpec держать интервалом 1930-05…≈1934 (первая датированная зона 19П-88: 1934–1935). Год «1934» для СКРУ-1 в корпусе не напечатан.",YES
CC-14,Период закладки КрII на участке 2 (SRC-034),SRC-034: 2019–2021,SRC-034 (второе упоминание): конец 2019–2020,EV-VN-S034-0024,EV-VN-S034-0025,VKM-SRC-034,VKM-SRC-034 pdf p.2 (printed 40); § участок 2 || VKM-SRC-034 pdf p.2 (printed 40); § участок 2 (два упоминания закладки),INTERNAL_CONFLICT,Рудник участка 2 не назван явно.,NO
CC-15,Дата обследования зумпфа ствола №3 СКРУ-3 и дата отчёта,SRC-040 заключение: 2016; кампания в целиках 2016 [53],SRC-040: метка времени экрана 15.10.2015; отчёт [53] датирован 2015,EV-VN-S040-0378;EV-VN-S040-0310,EV-VN-S040-0247;EV-VN-S040-0379;EV-VN-S040-0444,VKM-SRC-040,"VKM-SRC-040 pdf p.147 (printed 147); Заключение п.4 || VKM-SRC-040 pdf p.128 (printed 128); §4.3 || VKM-SRC-040 pdf p.108 (printed 108); Рис. 3.18, отметка времени на экране || VKM-SRC-040 pdf p.147 (printed 147); Заключение п.4 vs Рис. 3.18 || VKM-SRC-040 pdf p.154 (printed 154); [53] vs §4.2-4.3",UNRESOLVED,Information-events (availability date) — важно для правила available_from.,NO
CC-16,Зона 101 («57П блок») СКРУ-1: интервалы выемки и закладки совпадают,SRC-023 Рис.17: выемка 1989–1991,SRC-023 Рис.17: закладка 1989–1991 (сухая),EV-VN-S023-0267,EV-VN-S023-0267,VKM-SRC-023,"VKM-SRC-023 pdf p.43 (printed 43); Рис.17 (image19.png), rendered p.43",PLAUSIBILITY_FLAG,"Не противоречие, но нетипично (одновременная закладка); параметры строки 5/8,5/13,5 совпадают с проектом для зоны разупрочнения по пласту Вк (SRC-037 Рис.3.30б) — наблюдение, не вывод. Проверено по изображению.",YES
CC-17,Номер зоны 88 в двух блоках с разными периодами выемки,"SRC-023: зона 88 «3П блок» — выемка 1935–1939, закладка 1989–1999, 2[...]","SRC-023: зона 88 «19П блок» — выемка 1934–1935, закладка 2016–2017",EV-VN-S023-0249,EV-VN-S023-0251;EV-VN-S023-0273;EV-VN-S023-0274,VKM-SRC-023,"VKM-SRC-023 pdf p.43 (printed 43); Рис.17 (image19.png), rendered p.43 || VKM-SRC-023 pdf p.43 (printed 43); Рис.18 'Участки_признаки' оседания над участком (image20.png), rendered p.43",IDENTITY_UNRESOLVED,"Либо номера зон не уникальны внутри рудника, либо зона пересекает два блока с разными этапами; не разрешено. Строки перепроверены по изображению. Довод (COVERAGE_DUPLICATES-013, рендер SRC-023 p.43): в Рис.18 зоны 88 «3П» и 88 «19П» имеют полностью одинаковую зональную статистику оседаний (среднее/мин/макс 179,612/100,002/304,108), хотя координаты зон в Рис.16 различны — статистика, вероятно, посчитана по номеру зоны (единая геометрия или соединение таблиц по номеру зоны), а не по блоку; как два независимых наблюдения не считать.",YES
CC-18,Задержка закладки на СКРУ-1: десятилетия по таблице ГИС vs нормативные/проектные сроки,"SRC-023 Рис.17: зоны, отработанные в 1934–1970 гг., заложены в 1978–2017 гг. (как напечатано)","SRC-014 p140: закладка в пределах срока устойчивости кровли, группами по 8–10 пар камер; SRC-037 p66 (печ.130, §3.18, СКПРУ-2): традиционная задержка 10–20 лет → новая технология до 2 лет",EV-VN-S023-0243;EV-VN-S023-0251;EV-VN-S023-0263,EV-VN-S014-0905;EV-VN-S037-0455,VKM-SRC-023;VKM-SRC-014;VKM-SRC-037,"VKM-SRC-023 pdf p.43 (printed 43); Рис.17 (image19.png), rendered p.43 || VKM-SRC-014 pdf p.140 (printed 140); §5.2 || VKM-SRC-037 pdf p.66 (printed 130); §3.18 (с.130)",DESIGN_VS_ACTUAL,"Разные сущности (фактическая история старых зон vs проектные правила); не противоречие данных, а расхождение проект/факт. Задержки не вычислялись.",YES
CC-19,Комбайн Урал-61: замена ПК-8МА (1998) vs только разработан и готов к выпуску (1999),"SRC-020 p.129 (учебное пособие, 1998): замена комбайна ПК-8МА комбайном Урал-61 описана как идущий процесс",SRC-028 p.7 (1999): Урал-61 назван разработанным и готовым к производству (т.е. ещё не в серийном применении); фраза стоит в тексте сразу после цитаты записи EV-VN-S028-0014,EV-VN-S020-0317,EV-VN-S028-0014,VKM-SRC-020;VKM-SRC-028,"VKM-SRC-020 pdf p.129 (printed 129); §4.1, с.129 || VKM-SRC-028 pdf p.7; разд.1",UNRESOLVED,CHRONOLOGY-007. Год издания не равен дате события. Возможное объяснение — опытные образцы vs серийное производство; корпусом не разрешено. Дата начала применения Урал-61 — UNKNOWN (не позднее 1998 г. — DERIVATION от года издания SRC-020).,NO
CC-20,Дата анализа академиком Н.С. Курнаковым образцов калийных солей (история открытия ВКМ),"SRC-037 p.3 (печ.4, 1992): образцы «красной соли» переданы Н.П. Рязанцевым академику Н.С. Курнакову в 1914 г.","SRC-011 p.145 (печ.288–289, 2013): в 1910 г. образцы Рязанцева анализировал провизор А.А. Власов; анализ Курнакова (KCl 33,96 %) — в 1916 г. по образцу, доставленному инженером Г.Р. Дерингом (со ссылкой на Курнаков 1916)",EV-VN-S037-0012,EV-VN-S011-2666,VKM-SRC-037;VKM-SRC-011,VKM-SRC-037 pdf p.3 (printed 4); §1.1.1 || VKM-SRC-011 pdf p.145 (printed 288-289); Прилож. 2 «История открытия и освоения месторождения»,UNRESOLVED_IN_SOURCES,CHRONOLOGY-015. Оба источника вторичны для этой даты; SRC-011 излагает подробнее и ссылается на первоисточник. Для WorldSpec несущественно; во вводной/исторической части ВКР год 1914 без оговорки не воспроизводить.,NO
CC-21,Гидрологический статус СКРУ-2 (сосед СКРУ-1 по междушахтному целику): затопление или продолжающийся водоприток,"SRC-016 p.2 (печ.34, 2022): в перечне серии аварий ВКМ — затопление БКПРУ-1, СКРУ-2 и БКПРУ-3 (даты не указаны; ссылки [3, 4])","SRC-021 p.2 (печ.59, 2024): затоплены БКПРУ-3 (1986) и БКПРУ-1 (2006); на СКРУ-2 с 2014 г. — водоприток пресных вод, против которого ведутся работы; SRC-040 p.36 (~2017): приток на СКРУ-2 снижен до 100–500 м³/сут, полное затопление — лишь ожидание автора",EV-VN-S016-0010,EV-VN-S021-0012;EV-VN-S040-0100,VKM-SRC-016;VKM-SRC-021;VKM-SRC-040,VKM-SRC-016 pdf p.2 (printed 34); Введение || VKM-SRC-021 pdf p.2 (printed 59); введение || VKM-SRC-040 pdf p.36 (printed 36); §1.3,UNRESOLVED,CHRONOLOGY-026. Более поздний и подробный SRC-021 и SRC-040 говорят о водопритоке без затопления; SRC-016 — краткое вторичное упоминание. Для WorldSpec СКРУ-1 статус СКРУ-2 — граничное условие у целика: держать обе версии; начало водопритока — 2014 г. (CHR-0278/0279).,YES
