event_id,event,event_type_source,event_type_vkm,event_subtype_note,event_class,event_class_note,date_start_as_printed,date_end_as_printed,date_start_iso,date_start_precision,date_end_iso,date_end_precision,date_qualifier,planned_or_actual,object,spatial_entity_ids,mine_attribution_scope,mines_named_in_text,seams_named,relevance,skru1_relevance,visual_recheck,conflict_ids,part,source_ids,locators,vn_ids,existing_evidence_ids,status,evidence_type,scope,scale,confidence,extraction_method,quote_check,notes
CHR-0011,Start of systematic prospecting/exploration drilling near Solikamsk (P.I. Preobrazhensky),survey,EXPLORATION_DRILLING,,PHYSICAL,,1925,,1925,year,,,,ACTUAL,ВКМКС / Соликамский район,VKM,ВКМ (регионально),,,MINING_VKM_CONTEXT,VKM_REGIONAL_CONTEXT,,,,VKM-SRC-014,pdf p.10 (printed 10); §1.1,EV-VN-S014-0027,,FACT,DESCRIPTIVE,VKM_REGIONAL,NOT_APPLICABLE,HIGH,TEXT_LAYER,EXACT,
CHR-0012,Discovery of the Verkhnekamsk deposit; ~1000 publications since,other,EXPLORATION_DRILLING,открытие,PHYSICAL,,1925,,1925,year,,,,ACTUAL,ВКМКС,VKM,ВКМ (регионально),,,MINING_VKM_CONTEXT,VKM_REGIONAL_CONTEXT,,,,VKM-SRC-018,"pdf p.2; Введение, [8]",EV-VN-S018-0004,,FACT,LITERATURE_CITED,VKM_REGIONAL,NOT_APPLICABLE,HIGH,TEXT_LAYER,EXACT,
CHR-0013,открытие Верхнекамского месторождения,other,EXPLORATION_DRILLING,открытие,PHYSICAL,,1925,,1925,year,,,,ACTUAL,ВКМКС,VKM,ВКМ (регионально),,,MINING_VKM_CONTEXT,VKM_REGIONAL_CONTEXT,,,,VKM-SRC-020,pdf p.5 (printed 5); §1.1,EV-VN-S020-0007,,FACT,DESCRIPTIVE,VKM_REGIONAL,NOT_APPLICABLE,HIGH,TEXT_LAYER,EXACT,
CHR-0014,"Открытие калия (1914, образцы Рязанцева); начало поисково-разведочного бурения у Соликамска (1925, рук. П.И. Преображенский); солеварение с сер. XV в.",other,EXPLORATION_DRILLING,открытие,PHYSICAL,,1925,,1925,year,,,,ACTUAL,ВКМ (район г. Соликамска),VKM,ВКМ (регионально),,,MINING_VKM_CONTEXT,VKM_REGIONAL_CONTEXT,,,,VKM-SRC-037,pdf p.3 (printed 4); §1.1.1,EV-VN-S037-0012,,FACT,NORMATIVE,VKM_REGIONAL,NOT_APPLICABLE,HIGH,OCR_VISUALLY_CONFIRMED,NOT_FOUND,
CHR-0015,"Construction of drilling derrick for well No.1 (rig Davis-Calyx BF-1 recovered from Mariinsk taiga), summer 1925; drilling start 3 Sep 1925; first potash seam night 5-6 Oct 1925",survey,EXPLORATION_DRILLING,,PHYSICAL,,1925-06,1925-10-06,1925-06,month,1925-10-06,day,,ACTUAL,скважина №1,VKM,ВКМ (регионально),,,MINING_VKM_CONTEXT,VKM_REGIONAL_CONTEXT,,,,VKM-SRC-011,pdf p.146 (printed 290-291); Прилож. 2 «История открытия и освоения месторождения»,EV-VN-S011-2683,,FACT,DESCRIPTIVE,VKM_REGIONAL,NOT_APPLICABLE,HIGH,TEXT_LAYER,EXACT,
CHR-0016,Early exploration campaigns of the Verkhnekamsk deposit documented in bibliography titles: Соликамская разведочная партия Oct 1925–Oct 1926 [229]; exploration in Solikamsk and Berezniki districts 1 Oct 1926–1 Oct 1927 [227]; Егер — geological works in Solikamsk district summer 1926 [89]; Варов — hydrogeological research in Прикамский соленосный район summer 1927 [36]; exploration 1 Oct 1927–1 Jan 1931 [100],survey,EXPLORATION_DRILLING,,PHYSICAL,,1925-10,1931-01,1925-10,month,1931-01,month,,ACTUAL,"ВКМКС, Соликамский и Березниковский районы",VKM,ВКМ (регионально),,,MINING_VKM_CONTEXT,VKM_REGIONAL_CONTEXT,,,,VKM-SRC-011,"pdf p.137 (printed 272-273); Литература №36, 89, 100, 227, 229",EV-VN-S011-2469,,FACT,DESCRIPTIVE,VKM_REGIONAL,NOT_APPLICABLE,HIGH,TEXT_LAYER,NOT_FOUND,Dates taken from reference titles (publication years 1927–1932). Relevant to information lifecycle: the first exploration boreholes and hydrogeological data around SKRU-1 (Solikamsk) date from 1925–1931.
CHR-0017,"Field season of the Solikamsk exploration party (Соликамская разведочная партия), preliminary report",survey,EXPLORATION_DRILLING,,PHYSICAL,,1925-10-01,1926-10,1925-10-01,day,1926-10,month,,ACTUAL,Соликамский калийный район (early exploration),VKM,ВКМ (регионально),,,MINING_VKM_CONTEXT,VKM_REGIONAL_CONTEXT,,,,VKM-SRC-011,pdf p.168 (printed 334-335); Список литературы (раздел «Приложения»); entry 'Преображенский П.И. Предварительный отчет…',EV-VN-S011-3750,,FACT,LITERATURE_CITED,VKM_REGIONAL,NOT_APPLICABLE,HIGH,TEXT_LAYER,EXACT,Date range as printed in the cited title; pointer only.
CHR-0018,Accepted discovery date of VKM potash deposit,other,EXPLORATION_DRILLING,принятая дата открытия,PHYSICAL,,1925-10-05,,1925-10-05,day,,,,ACTUAL,ВКМС,VKM,ВКМ (регионально),,,MINING_VKM_CONTEXT,VKM_REGIONAL_CONTEXT,,,,VKM-SRC-011,pdf p.147 (printed 292-293); Прилож. 2 «История открытия и освоения месторождения»,EV-VN-S011-2685,,FACT,DESCRIPTIVE,VKM_REGIONAL,NOT_APPLICABLE,HIGH,TEXT_LAYER,EXACT,
CHR-0019,field observation of small normal-fault fractures in ТКТ outcrop north of Tyulkino (Г.Р. Егер),survey,GEOLOGICAL_MODEL_UPDATE,полевое наблюдение,INFORMATION,,1926,,1926,year,,,,ACTUAL,обнажение на правом берегу р. Камы севернее дер. Тюлькино,VKM,ВКМ (регионально),,,INFORMATION,VKM_REGIONAL_CONTEXT,,,,VKM-SRC-011,pdf p.33 (printed 64-65); текст с.65; [89],EV-VN-S011-0595,EV-GEO-0124,FACT,LITERATURE_CITED,VKM_REGIONAL,NOT_APPLICABLE,HIGH,TEXT_LAYER,EXACT,
CHR-0020,Gosplan decision to organise potash industry,normative,NORMATIVE_IN_FORCE,,INFORMATION,,1926-08-30,,1926-08-30,day,,,,N/A,калийная промышленность СССР,VKM,ВКМ (регионально),,,NORMATIVE,VKM_REGIONAL_CONTEXT,,,,VKM-SRC-011,pdf p.147 (printed 292-293); Прилож. 2 «История открытия и освоения месторождения»,EV-VN-S011-2705,,FACT,DESCRIPTIVE,VKM_REGIONAL,NOT_APPLICABLE,HIGH,TEXT_LAYER,EXACT,
CHR-0021,Geological exploration for potash in Solikamsk and Berezniki districts,survey,EXPLORATION_DRILLING,,PHYSICAL,,1926-10-01,1927-10-01,1926-10-01,day,1927-10-01,day,,ACTUAL,Соликамский и Березниковский районы,VKM,ВКМ (регионально),,,MINING_VKM_CONTEXT,VKM_REGIONAL_CONTEXT,,,,VKM-SRC-011,pdf p.168 (printed 334-335); Список литературы (раздел «Приложения»); entry 'Преображенский П.И. Геолого-разведочные работы на калий…',EV-VN-S011-3751,,FACT,LITERATURE_CITED,VKM_REGIONAL,NOT_APPLICABLE,HIGH,TEXT_LAYER,EXACT,Pointer only.
CHR-0022,"first penetration of contact brine horizon by borehole 11 (mud loss at 101,15 м); reported by П.И. Преображенский to Калийный трест board 27.05.1927, Sverdlovsk",survey,EXPLORATION_DRILLING,,PHYSICAL,,1927,1927-05-27,1927,year,1927-05-27,day,,ACTUAL,скв. 11,VKM,ВКМ (регионально),,,MINING_VKM_CONTEXT,VKM_REGIONAL_CONTEXT,,,,VKM-SRC-011,pdf p.39 (printed 76-77); текст с.76,EV-VN-S011-0718,,FACT,LITERATURE_CITED,VKM_REGIONAL,NOT_APPLICABLE,HIGH,TEXT_LAYER,EXACT,
CHR-0023,Заложен ствол №1 Первого калийного рудника (СКРУ-1) в 2 км к югу от Соликамска,shaft,SHAFT_SINKING,запись EV-VN-S011-2706 разделена на части (a/b/c) без изменения дат,PHYSICAL,,1927-11-07,,1927-11-07,day,,,,ACTUAL,"СКРУ-1 (Первый калийный рудник), шахта № 1",SKRU1:SHAFT:1,СКРУ-1,СКРУ-1,,MINING_SKRU1,SKRU1_DIRECT,,CC-12,a,VKM-SRC-011,pdf p.147 (printed 292-293); Прилож. 2 «История открытия и освоения месторождения»,EV-VN-S011-2706,EV-GEO-0184,FACT,DESCRIPTIVE,SKRU1,NOT_APPLICABLE,HIGH,TEXT_LAYER,FUZZY_85,Duplicate of EV-GEO-0184. Adds: carnallite extraction started 1936 (multi-seam: sylvinite + carnallite seams at SKRU-1).
CHR-0024,Site selection for shaft of the First potash mine (SKRU-1) justified by geologist P.I. Preobrazhensky; ceremonial laying of first shaft 1927-11-07,shaft,SHAFT_SINKING,,PHYSICAL,,1927-11-07,,1927-11-07,day,,,,ACTUAL,"СКРУ-1, ствол № 1",SKRU1:SHAFT:1,СКРУ-1,СКРУ-1,,MINING_SKRU1,SKRU1_DIRECT,,,,VKM-SRC-011,pdf p.152 (printed 302-303); Прилож. 3 «Павел Иванович Преображенский»,EV-VN-S011-2768,EV-GEO-0184,FACT,DESCRIPTIVE,SKRU1,NOT_APPLICABLE,HIGH,TEXT_LAYER,EXACT,Duplicates EV-GEO-0184 (date/location); adds that the shaft site was chosen on the basis of 1925-1926 exploration drilling.
CHR-0025,СКРУ-1 commissioned (год ввода в действие),mining_start,MINE_COMMISSIONING,,PHYSICAL,,1930,,1930,year,,,,ACTUAL,СКРУ-1 / Соликамский участок,MINE:SKRU1,СКРУ-1,СКРУ-1,,MINING_SKRU1,SKRU1_DIRECT,,CC-13,,VKM-SRC-011,"pdf p.148 (printed 294-295); Прилож. 2, Таблица (с.294)",EV-VN-S011-2713,EV-GEO-0184,FACT,DESCRIPTIVE,SKRU1,NOT_APPLICABLE,HIGH,TEXT_LAYER,NOT_FOUND,
CHR-0026,"First leakage in shaft No.2 of Первый Соликамский калийный рудник (SKRU-1): dripping through joints of lower tubing rings and brick lining at 131.51-134 m after unsuccessful thawing of the ice-rock (frozen) barrier; inflow up to 1 l/h; remedied by caulking of tubing joints, bolt tightening, partial grouting of behind-lining space — dripping stopped",hydro_change,WATER_INFLOW,,PHYSICAL,,1930,,1930,year,,,,ACTUAL,ствол № 2 СКРУ-1 (Первый Соликамский калийный рудник),SKRU1:SHAFT:2,СКРУ-1,СКРУ-1,,MINING_SKRU1,SKRU1_DIRECT,,,,VKM-SRC-040,"pdf p.25 (printed 25); §1.2.2, p.25",EV-VN-S040-0070,,FACT,LITERATURE_CITED,SKRU1,NOT_APPLICABLE,HIGH,TEXT_LAYER,EXACT,"cited_ref [26,56,50,51]. Earliest dated SKRU-1 event in this chunk. Shaft sunk by freezing (implied) before 1930. Interval as printed '131, 51–134 м'. Continues on p.26 (1935 inflow, later history)."
CHR-0027,Рудник (СКРУ-1) сдан в эксплуатацию (май 1930),shaft,MINE_COMMISSIONING,запись EV-VN-S011-2706 разделена на части (a/b/c) без изменения дат,PHYSICAL,,1930-05,,1930-05,month,,,,ACTUAL,"СКРУ-1 (Первый калийный рудник), шахта № 1",MINE:SKRU1,СКРУ-1,СКРУ-1,,MINING_SKRU1,SKRU1_DIRECT,,CC-12,b,VKM-SRC-011,pdf p.147 (printed 292-293); Прилож. 2 «История открытия и освоения месторождения»,EV-VN-S011-2706,EV-GEO-0184,FACT,DESCRIPTIVE,SKRU1,NOT_APPLICABLE,HIGH,TEXT_LAYER,FUZZY_85,Duplicate of EV-GEO-0184. Adds: carnallite extraction started 1936 (multi-seam: sylvinite + carnallite seams at SKRU-1).
CHR-0028,Начало проходки ствола №1 БКПРУ-1 близ д. Чуртан,shaft,SHAFT_SINKING,запись EV-VN-S011-2707 разделена на части (a–f) без изменения дат,PHYSICAL,,1931-06-28,,1931-06-28,day,,,,ACTUAL,БКПРУ-1,MINE:BKPRU1,БКПРУ-1,БКПРУ-1,В (карналлит),MINING_VKM_CONTEXT,VKM_OTHER_MINE_CONTEXT,,,a,VKM-SRC-011,pdf p.147 (printed 292-293); Прилож. 2 «История открытия и освоения месторождения»,EV-VN-S011-2707,,FACT,DESCRIPTIVE,BKPRU1,NOT_APPLICABLE,HIGH,TEXT_LAYER,FUZZY_86,
CHR-0029,Выемка зоны 88 («19П блок») СКРУ-1; интервал как напечатан: 1934-1935,mining_start,EXTRACTION_PERIOD,строка таблицы «Участки_признаки» ГИС предприятия (SRC-023 Рис.17); вторичный источник (ВКР) — первичная маркшейдерская документация недоступна,PHYSICAL,,1934-1935,1934-1935,1934,year,1935,year,,ACTUAL,19П блок зона 88,SKRU1:ZONE:19P-88,СКРУ-1,,КрII,MINING_SKRU1,SKRU1_DIRECT,VISUAL_RECHECK_OK 2026-09-26: SRC-023 Рис.17 (media image19.png) — строка совпадает,CC-17;CC-18,a,VKM-SRC-023,"pdf p.43 (printed 43); Рис.17 (image19.png), rendered p.43",EV-VN-S023-0251,EV-MIN-0312,FACT,DESCRIPTIVE,SKRU1,NOT_APPLICABLE,HIGH,VISUAL_READ,NOT_FOUND,"Backfill delay after mining ranges from ~same period (57П 1989-1991) to many decades (19П: mined 1934-1935, backfilled 2016-2017) as printed; no calculation made."
CHR-0030,Выемка зоны 88 («3П блок») СКРУ-1; интервал как напечатан: 1935-1939,mining_start,EXTRACTION_PERIOD,строка таблицы «Участки_признаки» ГИС предприятия (SRC-023 Рис.17); вторичный источник (ВКР) — первичная маркшейдерская документация недоступна,PHYSICAL,,1935-1939,1935-1939,1935,year,1939,year,,ACTUAL,3П блок зона 88,SKRU1:ZONE:3P-88,СКРУ-1,,КрII,MINING_SKRU1,SKRU1_DIRECT,VISUAL_RECHECK_OK 2026-09-26: SRC-023 Рис.17 (media image19.png) — строка совпадает,CC-17,a,VKM-SRC-023,"pdf p.43 (printed 43); Рис.17 (image19.png), rendered p.43",EV-VN-S023-0249,EV-MIN-0311,FACT,DESCRIPTIVE,SKRU1,NOT_APPLICABLE,HIGH,VISUAL_READ,NOT_FOUND,"Backfill delay after mining ranges from ~same period (57П 1989-1991) to many decades (19П: mined 1934-1935, backfilled 2016-2017) as printed; no calculation made."
CHR-0031,"Renewed water inflow (1935) in shaft No.2 of Первый Соликамский калийный рудник (SKRU-1) at same brick-lining interval; water found to come 'from the carnallite seam'; one keil-kranz and two tubing rings installed at lower part of tubing column; leak zones grouted down to 152 m, 232 t cement",hydro_change,WATER_INFLOW,,PHYSICAL,,1935,,1935,year,,,,ACTUAL,ствол № 2 СКРУ-1,SKRU1:SHAFT:2,СКРУ-1,СКРУ-1,В (карналлит),MINING_SKRU1,SKRU1_DIRECT,,,,VKM-SRC-040,"pdf p.25 (printed 25-26); §1.2.2, p.25-26",EV-VN-S040-0072,,FACT,LITERATURE_CITED,SKRU1,NOT_APPLICABLE,HIGH,TEXT_LAYER,FUZZY_61_ADJ,"cited_ref [26,56,50,51]"
CHR-0032,Начало добычи карналлита (дополнительно к сильвиниту) на СКРУ-1,shaft,EXTRACTION_START,запись EV-VN-S011-2706 разделена на части (a/b/c) без изменения дат,PHYSICAL,,1936,,1936,year,,,,ACTUAL,"СКРУ-1 (Первый калийный рудник), шахта № 1",MINE:SKRU1,СКРУ-1,СКРУ-1,В (карналлит),MINING_SKRU1,SKRU1_DIRECT,,CC-12,c,VKM-SRC-011,pdf p.147 (printed 292-293); Прилож. 2 «История открытия и освоения месторождения»,EV-VN-S011-2706,EV-GEO-0184,FACT,DESCRIPTIVE,SKRU1,NOT_APPLICABLE,HIGH,TEXT_LAYER,FUZZY_85,Duplicate of EV-GEO-0184. Adds: carnallite extraction started 1936 (multi-seam: sylvinite + carnallite seams at SKRU-1).
CHR-0033,Проходка/строительство БКПРУ-1 приостановлены,shaft,OTHER,запись EV-VN-S011-2707 разделена на части (a–f) без изменения дат,PHYSICAL,,1936,,1936,year,,,,ACTUAL,БКПРУ-1,MINE:BKPRU1,БКПРУ-1,БКПРУ-1,В (карналлит),MINING_VKM_CONTEXT,VKM_OTHER_MINE_CONTEXT,,,b,VKM-SRC-011,pdf p.147 (printed 292-293); Прилож. 2 «История открытия и освоения месторождения»,EV-VN-S011-2707,,FACT,DESCRIPTIVE,BKPRU1,NOT_APPLICABLE,HIGH,TEXT_LAYER,FUZZY_86,
CHR-0034,"Вывалы карналлитовой породы в выработках Первого рудника (СКРУ-1), описанные в публикации 1937 г. (Преображенский, Иванов, «Калий» №9)",(из записи вида claim),ROOF_FALL,дата события не указана; известна только верхняя граница по году публикации (NOT_LATER_THAN); LITERATURE_CITED,PHYSICAL,,,≤1937,,unknown,1937,year,end:NOT_LATER_THAN,ACTUAL,,MF:SKRU1,СКРУ-1,,В (карналлит),MINING_SKRU1,SKRU1_DIRECT,,,x,VKM-SRC-011,pdf p.154 (printed 306-307); Прилож. 3 «Павел Иванович Преображенский»; перечень публикаций,EV-VN-S011-2773,,FACT,LITERATURE_CITED,SKRU1,NOT_APPLICABLE,HIGH,TEXT_LAYER,EXACT,Pointer only; carnallite mining at SKRU-1 since 1936.
CHR-0035,Geological-hydrogeological investigations (TsNIGRI Kama expedition) for the planned Kama reservoir and design of Solikamsk hydro-node (1938),hydro_change,GEOLOGICAL_MODEL_UPDATE,изыскания под Камское водохранилище,INFORMATION,,1938,,1938,year,,,,PLANNED,Камское водохранилище (planned); Соликамский гидроузел,VKM,ВКМ (регионально),,,INFORMATION,VKM_REGIONAL_CONTEXT,,,,VKM-SRC-011,pdf p.153 (printed 304-305); Прилож. 3 «Павел Иванович Преображенский»,EV-VN-S011-2772,,FACT,DESCRIPTIVE,VKM_REGIONAL,NOT_APPLICABLE,MEDIUM,TEXT_LAYER,FUZZY_83,Planning stage only; construction dates of Kama reservoir not given in this chunk. Potential surface-hydrology boundary change for VKM (reservoir level) — UNKNOWN timing here.
CHR-0036,UK potash discovered near Whitby during oil exploration drilling 1939; further exploration 1948 and early 1960s,survey,EXPLORATION_DRILLING,,PHYSICAL,,1939,early 1960s,1939,year,1960,decade,end:DECADE_EARLY,ACTUAL,Yorkshire potash deposit,NONVKM,не ВКМ,,,NON_VKM,NON_VKM,,,,VKM-SRC-014,pdf p.239 (printed 239); §8.5.1,EV-VN-S014-1195,,FACT,LITERATURE_CITED,NON_VKM,NOT_APPLICABLE,MEDIUM,TEXT_LAYER,EXACT,Information-lifecycle analogue: potash discovered by oil exploration boreholes (similar to VKM discovery history being exploration-driven).
CHR-0037,"example zone: mining 1939-1942, backfill 1943-1944",mining_start,EXTRACTION_PERIOD,,PHYSICAL,,1939,1942,1939,year,1942,year,,ACTUAL,unidentified zone of SKRU-1 table,MF:SKRU1,СКРУ-1,СКРУ-1,,MINING_SKRU1,SKRU1_DIRECT,,,,VKM-SRC-023,"pdf p.44 (printed 44); Рис.19 (image21.png), rendered p.44",EV-VN-S023-0281,,FACT,DESCRIPTIVE,SKRU1,NOT_APPLICABLE,LOW,VISUAL_READ,NOT_FOUND,Illustrative only; cannot be attached to a location.
CHR-0038,Строительство БКПРУ-1 возобновлено,shaft,MINE_CONSTRUCTION,запись EV-VN-S011-2707 разделена на части (a–f) без изменения дат,PHYSICAL,,1941,,1941,year,,,,ACTUAL,БКПРУ-1,MINE:BKPRU1,БКПРУ-1,БКПРУ-1,В (карналлит),MINING_VKM_CONTEXT,VKM_OTHER_MINE_CONTEXT,,,c,VKM-SRC-011,pdf p.147 (printed 292-293); Прилож. 2 «История открытия и освоения месторождения»,EV-VN-S011-2707,,FACT,DESCRIPTIVE,BKPRU1,NOT_APPLICABLE,HIGH,TEXT_LAYER,FUZZY_86,
CHR-0039,БКПРУ-1 commissioned (год ввода в действие),mining_start,MINE_COMMISSIONING,,PHYSICAL,,1944,,1944,year,,,,ACTUAL,БКПРУ-1 / Березниковский участок,MINE:BKPRU1,БКПРУ-1,БКПРУ-1,,MINING_VKM_CONTEXT,VKM_OTHER_MINE_CONTEXT,,,,VKM-SRC-011,"pdf p.148 (printed 294-295); Прилож. 2, Таблица (с.294)",EV-VN-S011-2715,,FACT,DESCRIPTIVE,BKPRU1,NOT_APPLICABLE,HIGH,TEXT_LAYER,NOT_FOUND,
CHR-0040,Первый карналлит БКПРУ-1 (апрель 1944),shaft,EXTRACTION_START,запись EV-VN-S011-2707 разделена на части (a–f) без изменения дат,PHYSICAL,,1944-04,,1944-04,month,,,,ACTUAL,БКПРУ-1,MINE:BKPRU1,БКПРУ-1,БКПРУ-1,В (карналлит),MINING_VKM_CONTEXT,VKM_OTHER_MINE_CONTEXT,,,d,VKM-SRC-011,pdf p.147 (printed 292-293); Прилож. 2 «История открытия и освоения месторождения»,EV-VN-S011-2707,,FACT,DESCRIPTIVE,BKPRU1,NOT_APPLICABLE,HIGH,TEXT_LAYER,FUZZY_86,
