row_id,category,variable,variable_as_recorded,symbol,material_lithology,unit_seam,value_as_printed,value_point,value_min,value_max,unit_as_printed,multi_value,test_method,n_samples,conditions,scale,scale_prev_release,site_scope,site_as_printed,source_id,pdf_page,printed_page,locator,vn_ids,prev_parameter_ids,prev_evidence_ids,origin,extraction_method,visual_confirmation,quote_check,status,evidence_type,original_or_cited,confidence,transfer_status_SKRU1,status_if_used_for_SKRU1,law_id,notes
MR-MECH-0011,density_unit_weight,density,density,Δρ,,,0.06-0.07,,0.06,0.07,г/см3,,unknown,,"inverse-problem gravimetric solution, surface + underground gravity surveys",MASSIF,REGIONAL,VKM_REGIONAL,"ВКМКС (regional) — Камско-Вишерский вал, Соликамская депрессия",EXT-SRC-021,,219-227 (article),printed 219-227 (article),,PAR-EXT-0190,EV-EXT-0190,PREV_RELEASE_ONLY,TEXT_LAYER,NOT_REQUIRED (text layer),VERIFIED_QUOTE,DERIVATION,CALCULATED_BY_AUTHOR,ORIGINAL_OR_UNSTATED,HIGH,INSUFFICIENT_EVIDENCE | VKM_REGIONAL_PRIOR,ANALOGUE,,"limitations(v1): A LOCAL decompaction/damage anomaly near a specific geological structure, not a general baseline density reduction to apply everywhere; not attributable to SKRU-1 specifically. || v1 locator_verification=VERIFIED_QUOTE"
MR-MECH-0012,density_unit_weight,density,density,Δρ,,,0.1,0.1,,,г/см3,,dynamic,,dynamic (difference) gravimetric anomaly between two surveys 5 years apart,MASSIF,REGIONAL,VKM_REGIONAL,"ВКМКС (regional) — Камско-Вишерский вал, Соликамская депрессия",EXT-SRC-021,,219-227 (article),printed 219-227 (article),,PAR-EXT-0191,EV-EXT-0191,PREV_RELEASE_ONLY,TEXT_LAYER,NOT_REQUIRED (text layer),VERIFIED_QUOTE,DERIVATION,CALCULATED_BY_AUTHOR,ORIGINAL_OR_UNSTATED,HIGH,INSUFFICIENT_EVIDENCE | VKM_REGIONAL_PRIOR,ANALOGUE,,"limitations(v1): A time-varying monitoring signal at one specific structure, not a general/initial-condition property. || v1 locator_verification=VERIFIED_QUOTE"
MR-MECH-0013,density_unit_weight,density,density,ρ,сильвинит,MIXED,"1,9865",1.9865,,,г/см3,,unknown,,"theoretical/crystallographic density (mineralogical constant), not a bulk-rock measurement",LAB,LAB,GENERAL_METHOD,ВКМКС (regional),VKM-SRC-011,109,,p.109; Ch.3 Онтогенез ВКМС (water content of sylvine crystals),EV-VN-S011-1783,PAR-AUD-0005,EV-AUD-0005,PREV+SWEEP,TEXT_LAYER; sweep:TEXT_LAYER,NOT_REQUIRED (text layer),VERIFIED_QUOTE,FACT,LITERATURE_CITED,ORIGINAL_OR_UNSTATED,HIGH,MODEL_SPECIFIC | GENERAL_METHOD_ONLY; LAB→MASSIF transfer required,MODEL_CHOICE (method only),,"limitations(v1): This is the pure-mineral (crystal-lattice) density of sylvine (KCl), a mineralogical constant, NOT the bulk rock-mass density of sylvinite (which contains halite, clay/anhydrite impurities, fluid inclusions and porosity and is systematically lower than the pure-mineral value). Must not be substituted for a rock-mass or massif density of СКРУ-1 sylvinite. The co-mentioned 1.25 g/cm3 is fluid-inclus || v1 locator_verification=VERIFIED_QUOTE"
MR-MECH-0014,density_unit_weight,density,density,,rock salt,,2160 (масса 1 м3),2160,,,кг/м3,,unknown,,value used by author in thermal estimate,NOT_APPLICABLE,,VKM_REGIONAL,unstated: ,VKM-SRC-011,109,216,p.216,EV-VN-S011-1775,,,SWEEP_NEW,OCR_VISUALLY_CONFIRMED,YES (OCR_VISUALLY_CONFIRMED),EXACT,FACT,LITERATURE_CITED,CITED,MEDIUM,VKM_REGIONAL_PRIOR,ANALOGUE,,Density of rock salt ≈2.16 g/cm3 as used; source not given.
MR-MECH-0015,density_unit_weight,density,density,удельный вес,сильвинит,MIXED,"1,99",1.99,,,г/см3,,unknown,,mineralogical constant used as a calculation input (source does not state its own measurement; likely a standard handbook value),LAB,LAB,GENERAL_METHOD,ВКМКС (regional),VKM-SRC-011,123,,p.123; Табл. Таблица 3.7 (surrounding prose); Ch.3 Онтогенез ВКМС (metasomatism mass-balance calculation),EV-VN-S011-2050,PAR-AUD-0006,EV-AUD-0006,PREV+SWEEP,TEXT_LAYER; sweep:OCR_VISUALLY_CONFIRMED,NOT_REQUIRED (text layer),VERIFIED_QUOTE,FACT,LITERATURE_CITED,ORIGINAL_OR_UNSTATED,HIGH,MODEL_SPECIFIC | GENERAL_METHOD_ONLY; LAB→MASSIF transfer required,MODEL_CHOICE (method only),,"limitations(v1): Pure-mineral (crystal) density of сильвин (sylvine, KCl), NOT the bulk rock-mass density of the corresponding rock (which contains other minerals, impurities and porosity and differs from the pure-mineral value). Used here only as an input to a geochemical mass-balance calculation, not presented as a measured rock-mass property of СКРУ-1 or any other named mine. || v1 locator_verification=VERIFIED_QUOTE"
MR-MECH-0016,density_unit_weight,density,density,удельный вес,каменная соль,MIXED,"2,17",2.17,,,г/см3,,unknown,,mineralogical constant used as a calculation input (source does not state its own measurement; likely a standard handbook value),LAB,LAB,GENERAL_METHOD,ВКМКС (regional),VKM-SRC-011,123,,p.123; Табл. Таблица 3.7 (surrounding prose); Ch.3 Онтогенез ВКМС (metasomatism mass-balance calculation),EV-VN-S011-2050,PAR-AUD-0007,EV-AUD-0007,PREV+SWEEP,TEXT_LAYER; sweep:OCR_VISUALLY_CONFIRMED,NOT_REQUIRED (text layer),VERIFIED_QUOTE,FACT,LITERATURE_CITED,ORIGINAL_OR_UNSTATED,HIGH,MODEL_SPECIFIC | GENERAL_METHOD_ONLY; LAB→MASSIF transfer required,MODEL_CHOICE (method only),,"limitations(v1): Pure-mineral (crystal) density of галит (halite, NaCl), NOT the bulk rock-mass density of the corresponding rock (which contains other minerals, impurities and porosity and differs from the pure-mineral value). Used here only as an input to a geochemical mass-balance calculation, not presented as a measured rock-mass property of СКРУ-1 or any other named mine. || v1 locator_verification=VERIFIED_QUOTE"
MR-MECH-0017,density_unit_weight,density,density,удельный вес,карналлит,MIXED,"1,6",1.6,,,г/см3,,unknown,,mineralogical constant used as a calculation input (source does not state its own measurement; likely a standard handbook value),LAB,LAB,GENERAL_METHOD,ВКМКС (regional),VKM-SRC-011,123,,p.123; Табл. Таблица 3.7 (surrounding prose); Ch.3 Онтогенез ВКМС (metasomatism mass-balance calculation),EV-VN-S011-2050,PAR-AUD-0008,EV-AUD-0008,PREV+SWEEP,TEXT_LAYER; sweep:OCR_VISUALLY_CONFIRMED,NOT_REQUIRED (text layer),VERIFIED_QUOTE,FACT,LITERATURE_CITED,ORIGINAL_OR_UNSTATED,HIGH,MODEL_SPECIFIC | GENERAL_METHOD_ONLY; LAB→MASSIF transfer required,MODEL_CHOICE (method only),,"limitations(v1): Pure-mineral (crystal) density of карналлит (carnallite), NOT the bulk rock-mass density of the corresponding rock (which contains other minerals, impurities and porosity and differs from the pure-mineral value). Used here only as an input to a geochemical mass-balance calculation, not presented as a measured rock-mass property of СКРУ-1 or any other named mine. || v1 locator_verification=VERIFIED_QUOTE"
MR-MECH-0018,density_unit_weight,unit_weight,unit_weight,γ,каменная соль,MIXED,"0,022",0.022,,,МН/м3,,unknown,,,MASSIF,REGIONAL,VKM_REGIONAL,ВКМКС (regional),VKM-SRC-012,26,,p.26; Табл. Таблица 1.1; 1.4.1,EV-VN-S012-0065,PAR-RMB-0068,EV-RMB-0068,PREV+SWEEP,TEXT_LAYER; sweep:OCR_VISUALLY_CONFIRMED,NOT_REQUIRED (text layer),VERIFIED_QUOTE,FACT,NORMATIVE,"CITED: Reference [69] in Lebedeva (2023) — normative document ('Указания...'); not independently confirmed by RMB, recommend AUD trace exact title/edition/year.",HIGH,VKM_REGIONAL_PRIOR | VKM_REGIONAL_PRIOR,ANALOGUE,,"limitations(v1): Deposit-wide normative averaged value, not layer- or site-specific within the named rock type. || v1 locator_verification=VERIFIED_QUOTE"
MR-MECH-0019,density_unit_weight,unit_weight,unit_weight,γ,карналлит,KS_KARN,"0,020",0.02,,,МН/м3,,unknown,,,MASSIF,REGIONAL,VKM_REGIONAL,ВКМКС (regional),VKM-SRC-012,26,,p.26; Табл. Таблица 1.1; 1.4.1,EV-VN-S012-0065,PAR-RMB-0071,EV-RMB-0071,PREV+SWEEP,TEXT_LAYER; sweep:OCR_VISUALLY_CONFIRMED,NOT_REQUIRED (text layer),VERIFIED_QUOTE,FACT,NORMATIVE,"CITED: Reference [69] in Lebedeva (2023) — normative document ('Указания...'); not independently confirmed by RMB, recommend AUD trace exact title/edition/year.",HIGH,VKM_REGIONAL_PRIOR | VKM_REGIONAL_PRIOR,ANALOGUE,,"limitations(v1): Deposit-wide normative averaged value, not layer- or site-specific within the named rock type. || v1 locator_verification=VERIFIED_QUOTE"
MR-MECH-0020,density_unit_weight,unit_weight,unit_weight,γ,сильвинит,MIXED,"0,021",0.021,,,МН/м3,,unknown,,,MASSIF,REGIONAL,VKM_REGIONAL,ВКМКС (regional),VKM-SRC-012,26,,p.26; Табл. Таблица 1.1; 1.4.1,EV-VN-S012-0065,PAR-RMB-0074,EV-RMB-0074,PREV+SWEEP,TEXT_LAYER; sweep:OCR_VISUALLY_CONFIRMED,NOT_REQUIRED (text layer),VERIFIED_QUOTE,FACT,NORMATIVE,"CITED: Reference [69] in Lebedeva (2023) — normative document ('Указания...'); not independently confirmed by RMB, recommend AUD trace exact title/edition/year.",HIGH,VKM_REGIONAL_PRIOR | VKM_REGIONAL_PRIOR,ANALOGUE,,"limitations(v1): Deposit-wide normative averaged value, not layer- or site-specific within the named rock type. || v1 locator_verification=VERIFIED_QUOTE"
MR-MECH-0021,density_unit_weight,unit_weight,unit_weight,γ,мергель,,"0,022",0.022,,,МН/м3,,normative,,normative averaged value (Указания [69]) as reproduced by Лебедева,MASSIF,REGIONAL,VKM_REGIONAL,ВКМКС (regional),VKM-SRC-012,26,,p.26; Табл. Таблица 1.1,EV-VN-S012-0065,PAR-SYN-0015,EV-SYN-0015,PREV+SWEEP,TEXT_LAYER; sweep:OCR_VISUALLY_CONFIRMED,NOT_REQUIRED (text layer),VERIFIED_QUOTE,FACT,NORMATIVE,"CITED: [69] Указания … по защите рудников ПАО «Уралкалий» (normative document), as cited on p.26",HIGH,VKM_REGIONAL_PRIOR | VKM_REGIONAL_PRIOR,ANALOGUE,,limitations(v1): Normative averaged property for 'мергели' used in regulated calculations; not a measured value for СКРУ-1 overburden; applies to marls only (ТКТ contains also sandstones/siltstones/limestones). || v1 locator_verification=VERIFIED_QUOTE
MR-MECH-0022,density_unit_weight,unit_weight,unit_weight,γ,mixed,NADSOL,"2,5",2.5,,,т/м3,,unknown,,engineering practice default used in a design formula (not a lab/field measurement of a specific overburden layer),NOT_APPLICABLE,NOT_APPLICABLE,VKM_REGIONAL,ВКМКС (regional),VKM-SRC-014,118,,"p.118; eq. 4.1; 4.1 (burst-protection floor-layer thickness formula, eq. 4.1)",EV-VN-S014-0847;EV-VN-S014-0848,PAR-AUD-0001,EV-AUD-0001,PREV+SWEEP,TEXT_LAYER; sweep:TEXT_LAYER/VISUAL_READ,NOT_REQUIRED (text layer),VERIFIED_QUOTE,ENGINEERING_ASSUMPTION,DESIGN_VALUE,ORIGINAL_OR_UNSTATED,HIGH,ENGINEERING_ASSUMPTION_REQUIRED | VKM_REGIONAL_PRIOR,ANALOGUE,,"limitations(v1): This is a generic design-practice constant for 'налегающие породы' (overlying rock column above seam Б), not tied to any specific overburden lithology (Q/ТКТ/СМТ/ПКС) or to СКРУ-1 specifically; the handbook does not state which mine(s) this value was measured at, nor whether it is lab or massif-derived — it functions as an engineering default for burst-protection design calculations across ВКМКС p || v1 locator_verification=VERIFIED_QUOTE"
MR-MECH-0023,density_unit_weight,unit_weight,unit_weight,,каменная соль,MPS,"0,021 МН/м3",0.021,,,МН/м3,,back_analysis,,"калиброванный параметр методики (практическое пособие, гл.7.3)",DESIGN,LAB,SKRU3,СКРУ-3,VKM-SRC-014,196,196,"p.196; printed 196; eq. 7.29; Глава 7.3, Пример",EV-VN-S014-1083;EV-VN-S014-1084,PAR-RMR-1171,EV-RMR-1171,PREV+SWEEP,TEXT_LAYER_VISUALLY_CONFIRMED; sweep:OCR_VISUALLY_CONFIRMED/TEXT_LAYER,YES (TEXT_LAYER_VISUALLY_CONFIRMED),VERIFIED_QUOTE,ENGINEERING_ASSUMPTION,TEACHING_EXAMPLE,ORIGINAL_OR_UNSTATED,HIGH,TEACHING_EXAMPLE_NOT_A_SITE_VALUE (worked example for planned SKRU-3 block 5 panel 9; v1 MEASURED corrected per EV-VN-S014-1084),NOT_USABLE_AS_SITE_VALUE,,limitations(v1): СКРУ-3 (см. запись σ̄сж выше); типовое значение объёмного веса соляных пород продуктивной толщи. || v1 locator_verification=VERIFIED_QUOTE
MR-MECH-0024,density_unit_weight,density,density,ρ,сильвинит,AB,2500,2500.0,,,кг/м3,,unknown,,,CALIBRATED_EFFECTIVE_MODEL,CALIBRATED_EFFECTIVE_MODEL,OTHER_VKM_SITE,OTHER_VKM_SITE_PLACEHOLDER,VKM-SRC-016,6,,p.6; Табл. Таблица 1 / Table 1,EV-VN-S016-0037;EV-VN-S016-0053,PAR-RMB-0011,EV-RMB-0011,PREV+SWEEP,TEXT_LAYER_VISUALLY_CONFIRMED; sweep:VISUAL_READ,YES (TEXT_LAYER_VISUALLY_CONFIRMED) | sweep visual_check: EV-VN-S016-0053 OK_CONFIRMED (Табл. 1),VERIFIED_QUOTE,FACT,LITERATURE_CITED,"CITED: Отчет НИР «Оценка и прогноз развития геомеханического состояния массива горных пород на потенциально опасных участках рудников ПАО «Уралкалий»» СПГУ [ref 29 = Ермашов А.О., автореф. дис. канд. техн. наук, Горный институт УрО РАН, Пермь, 2015].",HIGH,OTHER_VKM_ANALOG_PRIOR | OTHER_VKM_SITE_ANALOGUE; model-specific effective value,ANALOGUE,,"limitations(v1): Per text, table values are 'according to' a cited SPMI НИР report [29] (Ермашов 2015 autoref), calibrated against field observations; not this paper's own lab measurement. || sweep status differs: MODEL_CHOICE || v1 locator_verification=VERIFIED_QUOTE"
MR-MECH-0025,density_unit_weight,density,density,ρ,mixed,Q,2500,2500.0,,,кг/м3,,unknown,,,CALIBRATED_EFFECTIVE_MODEL,CALIBRATED_EFFECTIVE_MODEL,OTHER_VKM_SITE,OTHER_VKM_SITE_PLACEHOLDER,VKM-SRC-016,6,,p.6; Табл. Таблица 1 / Table 1,EV-VN-S016-0045;EV-VN-S016-0053,PAR-RMB-0019,EV-RMB-0019,PREV+SWEEP,TEXT_LAYER_VISUALLY_CONFIRMED; sweep:VISUAL_READ,YES (TEXT_LAYER_VISUALLY_CONFIRMED) | sweep visual_check: EV-VN-S016-0053 OK_CONFIRMED (Табл. 1),VERIFIED_QUOTE,FACT,LITERATURE_CITED,"CITED: Отчет НИР «Оценка и прогноз развития геомеханического состояния массива горных пород на потенциально опасных участках рудников ПАО «Уралкалий»» СПГУ [ref 29 = Ермашов А.О., автореф. дис. канд. техн. наук, Горный институт УрО РАН, Пермь, 2015].",HIGH,OTHER_VKM_ANALOG_PRIOR | OTHER_VKM_SITE_ANALOGUE; model-specific effective value,ANALOGUE,,"limitations(v1): Per text, table values are 'according to' a cited SPMI НИР report [29] (Ермашов 2015 autoref), calibrated against field observations; not this paper's own lab measurement. || sweep status differs: MODEL_CHOICE || v1 locator_verification=VERIFIED_QUOTE"
MR-MECH-0026,density_unit_weight,density,density,ρ,mixed,MIXED,2500,2500.0,,,кг/м3,,unknown,,,CALIBRATED_EFFECTIVE_MODEL,CALIBRATED_EFFECTIVE_MODEL,BKPRU4,БКПРУ-4,VKM-SRC-016,6,,p.6; Табл. Таблица 1 / Table 1,EV-VN-S016-0048;EV-VN-S016-0053,PAR-RMB-0022,EV-RMB-0022,PREV+SWEEP,TEXT_LAYER_VISUALLY_CONFIRMED; sweep:VISUAL_READ,YES (TEXT_LAYER_VISUALLY_CONFIRMED) | sweep visual_check: EV-VN-S016-0053 OK_CONFIRMED (Табл. 1),VERIFIED_QUOTE,FACT,LITERATURE_CITED,"CITED: Отчет НИР «Оценка и прогноз развития геомеханического состояния массива горных пород на потенциально опасных участках рудников ПАО «Уралкалий»» СПГУ [ref 29 = Ермашов А.О., автореф. дис. канд. техн. наук, Горный институт УрО РАН, Пермь, 2015].",HIGH,OTHER_VKM_ANALOG_PRIOR | OTHER_VKM_SITE_ANALOGUE; model-specific effective value,ANALOGUE,,"limitations(v1): Per text, table values are 'according to' a cited SPMI НИР report [29] (Ермашов 2015 autoref), calibrated against field observations; not this paper's own lab measurement. || sweep status differs: MODEL_CHOICE || v1 locator_verification=VERIFIED_QUOTE"
