row_id,row_kind,mine_scope,mines_named_in_text,target_as_printed,spatial_entity_ids,seam,method_as_printed,method_vkm,material_as_printed,period_mining_as_printed,period_backfill_as_printed,delay_as_printed,fill_ratio_as_printed,unfilled_gap_as_printed,density_as_printed,strength_deformation_as_printed,compaction_as_printed,convergence_relation_as_printed,purpose_as_printed,other_parameters_as_printed,design_actual_label,label_basis,visual_recheck,conflict_ids,event_ids,skru1_relevance,source_ids,locators,vn_ids,existing_evidence_ids,status,evidence_type,scope,scale,confidence,extraction_method,quote_check,notes
BF-0011,backfill_record,СКРУ-3,СКРУ-3,mine=СКРУ-3,MF:SKRU3,,складирование (сухая закладка) в отработанные камеры при совместной выемке АБ и Вс,dry,каменная соль междупластья Б–В,,,,,,,,,,,,DESIGN,evidence_type=DESIGN_VALUE,,,,VKM_OTHER_MINE_CONTEXT,VKM-SRC-014,pdf p.131 (printed 131); Рис. 4.13 (сечение А–А),EV-VN-S014-0885,,FACT,DESIGN_VALUE,SKRU3,DESIGN,HIGH,VISUAL_READ,NOT_FOUND,
BF-0012,backfill_record,ВКМ (регионально),,,VKM,,"механическая закладка самоходными вагонами / ПДМ / ленточными конвейерами; 1 или 2 слоя; 1-й слой прямым порядком, 2-й — обратным (или вся камера обратным порядком)",dry,каменная соль от проходки выработок (горная масса),,,,,,"1,35–1,4 т/м3",,вагон уплотняет поверхность массива 1-го слоя; разравнивающий брус,,,"{""repose_angle_deg"": 38, ""operations"": ""обследование камеры и акт обследования → загрузка вагона из бункера-перегружателя → транспортирование → разгрузка → отгон""}",DESIGN,evidence_type=DESIGN_VALUE,,,,VKM_REGIONAL_CONTEXT,VKM-SRC-014,"pdf p.138 (printed 138–139); §5.1, Рис. 5.1–5.2",EV-VN-S014-0899,EV-MIN-0165;EV-MIN-0166,FACT,DESIGN_VALUE,VKM_REGIONAL,FIELD,HIGH,TEXT_LAYER,EXACT,Angle of repose 38° read visually from Рис. 5.2.
BF-0013,backfill_record,ВКМ (регионально),,,VKM,,"гидрозакладка намывом: пульпа подаётся с выемочного/вентиляционного штрека закладываемого пласта, из камер/выработок вышележащего отработанного пласта или из спец. выработок по вышележащему неотработанному пласту; по забойному пульпопроводу или по скважине; в одной или нескольких точках по длине камеры в направлении наклона",hydraulic,пульпа солеотходов обогащения в насыщенном рассоле,,,,"определяется углом наклона камеры vs углом откоса намываемого массива, длиной и высотой камеры (одна точка достаточна, если угол наклона камеры ≈ угол откоса)",,,,,,,"{""bulkhead"": ""фильтрующая перемычка (деревянная, буровзрывная или насыпная) в нижнем конце камеры"", ""thresholds"": ""пороги (деревянные щиты или насыпные) для регулирования заполнения по высоте"", ""pipes"": ""магистральные пульпо-/шламопроводы — стеклопластик, полимерно-армированные, ПЭ; стволовые — сталь/биметалл; рассолопроводы — ПЭ/сталь""}",DESIGN,evidence_type=DESIGN_VALUE,,MC-BF-02,,VKM_REGIONAL_CONTEXT,VKM-SRC-014,pdf p.139 (printed 139–140); §5.2 (pp.139–140),EV-VN-S014-0904,EV-MIN-0170,FACT,DESIGN_VALUE,VKM_REGIONAL,FIELD,HIGH,TEXT_LAYER,FUZZY_62,
BF-0014,backfill_record,СКРУ-2,СКРУ-2,,MF:SKRU2,,гидрозакладочный комплекс СКРУ-2: делители потока «качающееся ведро» → конвейеры → смесительные воронки V=20 м3 → пульпа в рудник по стволу,hydraulic,солеотходы обогащения (галитовые отходы) + рассол + шламовая пульпа,,,,,,,,,,,"{""particle_size_mm"": ""0,47–1,38"", ""funnel_volume_m3"": 20, ""grid_mesh_mm"": ""70×70"", ""brine_lines_shaft3"": ""3 рассолопровода (2 рабочих, 1 резервный)"", ""shafts"": ""ствол №3 (пульпа/рассол), ствол №4 (пристрой с поверхностными насосами)"", ""feed_variants"": ""только геодезический перепад высот; + напор поверхностного насоса; + подкачка подземными пульпоперекачными станциями"", ""brine_source"": ""центральная насосная (шахтный рассол), рассолосборник солеотвала""}",DESIGN,evidence_type=DESIGN_VALUE,,,,VKM_OTHER_MINE_CONTEXT,VKM-SRC-014,"pdf p.141 (printed 141–143); §5.2, Рис. 5.3 (pp.141–143)",EV-VN-S014-0909,EV-MIN-0171,FACT,DESIGN_VALUE,SKRU2,FIELD,HIGH,TEXT_LAYER,EXACT,
BF-0015,backfill_record,ВКМ (регионально),,,VKM,,размещение в рудник (в очистные или специальные выработки),unknown,глинисто-солевой шлам (отходы обогащения),,,,,,,,,,,"{""liquid_solid_mass_ratio"": ""3:1…2:1"", ""insoluble_residue_pct"": ""15–70"", ""NO_composition"": ""кварц, карбонаты, сульфаты, ангидрит, хлорид, акцессорные минералы, органическое вещество"", ""rest_of_solid"": ""мелкодисперсные соли, аналогичные твёрдым галитовым отходам"", ""mean_particle_size_um"": ""4,5–50"", ""liquid"": ""насыщенный K/Na рассол""}",UNRESOLVED,evidence_type=DESCRIPTIVE: описание практики; проект/факт не различены,,,,VKM_REGIONAL_CONTEXT,VKM-SRC-014,pdf p.143 (printed 143–144); §5.3.1 (pp.143–144),EV-VN-S014-0913,EV-MIN-0172;EV-MIN-0173;EV-MIN-0174,FACT,DESCRIPTIVE,VKM_REGIONAL,LAB,HIGH,TEXT_LAYER,FUZZY_88,
BF-0016,backfill_record,ВКМ (регионально),,,VKM,,"(1) шлам добавляют в гидрозакладочную пульпу; (2) «послойная закладка»: сначала шлам, после отстаивания (~1 сут) — гидрозакладочная пульпа; пороги, перемычка, фильтрующий порог (рис. 5.6)",hydraulic,шлам + солеотходы,,,≈1 сутки между подачей шлама и подачей пульпы,,,,,шлам уплотняется под весом солеотходов,,,"{""slime_level_below_drift_floor_m"": ""0,2–0,3""}",DESIGN,evidence_type=DESIGN_VALUE,,,,VKM_REGIONAL_CONTEXT,VKM-SRC-014,"pdf p.145 (printed 145); §5.3.2, Рис. 5.6",EV-VN-S014-0920,EV-MIN-0177;EV-MIN-0178,FACT,DESIGN_VALUE,VKM_REGIONAL,FIELD,HIGH,TEXT_LAYER,EXACT,
BF-0017,backfill_record,ВКМ (регионально),,,VKM,,"размещение в специальные шламовые камеры: сгуститель → мешалка → шламопровод → камера; осаждение шлама, осветление рассола; откачка рассола передвижным насосом на фабрику, избыток — в шламохранилище",unknown,глинисто-солевой шлам,,,,,,,,осаждение/осадок шлама,,,"{""brine_layer_start_pumping_m"": 3, ""rock_from_driving"": ""порода от проходки вывозится самоходным вагоном и закладывается в отработанные очистные камеры""}",DESIGN,evidence_type=DESIGN_VALUE,,MC-BF-04,,VKM_REGIONAL_CONTEXT,VKM-SRC-014,"pdf p.146 (printed 146); §5.3.2, Рис. 5.8",EV-VN-S014-0923,EV-MIN-0185,FACT,DESIGN_VALUE,VKM_REGIONAL,FIELD,HIGH,TEXT_LAYER,FUZZY_80,
BF-0018,backfill_record,ВКМ (регионально),,,VKM,,"«емкости» на солеотвале: внешняя и внутренняя обваловки, шлам в ёмкости, после фильтрации — гидронамыв солеотходов слоем 2–3 м, цикл повторяется",hydraulic,шлам + солеотходы (на поверхности),,,после фильтрации рассола (время не указано),,,,,,,,"{""slope_stability"": ""ёмкости формируют за пределами возможной призмы обрушения откоса солеотвала при максимальной высоте""}",DESIGN,evidence_type=DESIGN_VALUE,,,,VKM_REGIONAL_CONTEXT,VKM-SRC-014,"pdf p.149 (printed 149); §5.5, Рис. 5.11",EV-VN-S014-0930,EV-MIN-0191,FACT,DESIGN_VALUE,VKM_REGIONAL,FIELD,HIGH,OCR_VISUALLY_CONFIRMED,EXACT,
BF-0019,backfill_record,ВКМ (регионально),,,VKM,,hydraulic backfill: schemes (Рис. 6.2) face pulp line with one threshold; (Рис. 6.3) several thresholds; (Рис. 6.4) pulp-transfer boreholes through inter-chamber pillar from adjacent chamber; (Рис. 6.5) boreholes through interseam to lower chamber,hydraulic,halite tailings pulp (солеотходы),,,,"kзап 0,728–0,853 in teaching examples","mechanical_backfill_gap_m=0,8–1,0",,,,,,"{""h_t_m"": ""1,2–1,5"", ""h_pp_m"": ""0,5–0,7"", ""slope_deg"": ""2,3–3,0""}",UNRESOLVED,evidence_type=DESCRIPTIVE: описание практики; проект/факт не различены,,,,VKM_REGIONAL_CONTEXT,VKM-SRC-014,"pdf p.162 (printed 162); §6.3, Рис. 6.2–6.5",EV-VN-S014-0988,EV-MIN-0204,FACT,DESCRIPTIVE,VKM_REGIONAL,NOT_APPLICABLE,HIGH,VISUAL_READ,EXACT,"Figures 6.2-6.5 viewed at 110 dpi: schematic longitudinal chamber sections, no numeric scale."
BF-0020,backfill_record,ВКМ (регионально),,,VKM,,"mechanical backfill by self-propelled wagon 5ВС-15М loaded from bunker-reloader (БП-14), chamber filled in two layers",dry,"halite tailings (солеотходы), dry/mechanical",,,,,residual_gap_example_m=1.0,,,,,,"{""wagon_payload_t"": 12.5}",TEACHING_EXAMPLE,evidence_type=TEACHING_EXAMPLE,,,,VKM_REGIONAL_CONTEXT,VKM-SRC-014,"pdf p.169 (printed 169); §6.4, Пример 7; Расчетная работа № 4 (p.170)",EV-VN-S014-0999,,FACT,TEACHING_EXAMPLE,VKM_REGIONAL,NOT_APPLICABLE,HIGH,TEXT_LAYER,EXACT,
BF-0021,backfill_record,аналог: другое калийное месторождение,,,AN:OTHER_POTASH,,"full backfill of mined-out space, overhand cut-and-fill on inclined seam (backfill layer placed so that 2 m remains to seam roof for the next miner cut)",unknown,mill (processing) tailings; also salt and clay wastes and excess brine placed in mined-out workings,,,,полная закладка (full) — no numeric ratio,,,,,,,"{""miner"": ""AM-105 selective miner"", ""depth"": ""400–700 m; ore hoisted from 580 m""}",UNRESOLVED,evidence_type=LITERATURE_CITED: описание практики; проект/факт не различены,,,,ANALOGUE_NOT_TRANSFERABLE_WITHOUT_REVIEW,VKM-SRC-014,"pdf p.217 (printed 217); §8, рис. 8.12",EV-VN-S014-1139,,FACT,LITERATURE_CITED,OTHER_POTASH_SITE,FIELD,MEDIUM,TEXT_LAYER,FUZZY_80,Analogue for full tailings backfill; contrasts with VKM partial backfill.
BF-0022,backfill_record,не ВКМ,,"mine=Llobregat (Spain), 1 Mt ore/yr, ~500 staff",NONVKM,,"room system with hydraulic backfill; selective three-step extraction (lower sylvinite, then salt parting to adjacent rooms, then upper sylvinite)",hydraulic,hydraulic backfill; also rock-salt interlayer waste placed by shuttle cars into adjacent mined-out rooms,,,,,,,,,,,"{""miner"": ""AM85-P boom-type roadheaders, avg 2500 t/day (3 shifts, 50 kt/month)"", ""grade"": ""feed 15–16 % K2O; product 60 % K2O""}",UNRESOLVED,evidence_type=LITERATURE_CITED: описание практики; проект/факт не различены,,,,NON_VKM,VKM-SRC-014,pdf p.246 (printed 246); §8.6.2,EV-VN-S014-1206,,FACT,LITERATURE_CITED,NON_VKM,FIELD,MEDIUM,TEXT_LAYER,FUZZY_78,"Refs [3], [21]. Selective mining with in-mine waste placement is analogous to VKM practice of leaving/placing waste in chambers."
BF-0023,backfill_record,БКПРУ-4,,,MF:BKPRU4,,hydraulic,hydraulic,"гидрозакладка (hydraulic backfill, salt tailings implied)",,,,'большой недозаклад' (large under-filling; value not given),,,,,,,"{""recommended"": ""hardening (cemented) backfill of chambers to provide pillar support against creep""}",UNRESOLVED,evidence_type=DESCRIPTIVE: описание практики; проект/факт не различены,,MC-BF-05,,VKM_OTHER_MINE_CONTEXT,VKM-SRC-016,pdf p.10 (printed 42); Заключение,EV-VN-S016-0078,EV-MIN-0294,FACT,DESCRIPTIVE,BKPRU4,NOT_APPLICABLE,MEDIUM,TEXT_LAYER,EXACT,
BF-0024,backfill_record,ВКМ (регионально),,,VKM,,hydraulic placement (гидросмесь) into surface slime storages or underground workings,hydraulic;paste,глинисто-солевые шламы (clay-salt slimes from processing plants),,,,,,,,,,,"{""liquid_to_solid_weight_ratio"": ""3:1 to 2:1"", ""liquid_phase"": ""brine saturated with K and Na"", ""solid_phase"": ""15%-70% insoluble residue (Н.О.) + fine-dispersed salts similar to solid halite waste""}",UNRESOLVED,evidence_type=LITERATURE_CITED: описание практики; проект/факт не различены,,,,VKM_REGIONAL_CONTEXT,VKM-SRC-019,"pdf p.1 (printed 45); Введение, [1]",EV-VN-S019-0002,,FACT,LITERATURE_CITED,VKM_REGIONAL,NOT_APPLICABLE,HIGH,TEXT_LAYER,EXACT,Relevant as a backfill/void-filling material class and as a source of technogenic brines (link to Δb leaching zone).
BF-0025,backfill_record,ВКМ (регионально),,,VKM,,гидравлическая и сухая (механическая),hydraulic;dry,отходы переработки (галитовые) — см. далее,,,,,,,,,,purposes=сохранение сплошности ВЗТ; уменьшение оседаний земной поверхности; увеличение извлечения; проветривание; сокращение солеотвалов; уменьшение засоления вод,"{""cited_ref"": ""[12] Борзаковский Б.А., Папулов Л.М. Закладочные работы на Верхнекамских калийных рудниках (справочник). М., Недра, 1996""}",UNRESOLVED,evidence_type=LITERATURE_CITED: описание практики; проект/факт не различены,,,,VKM_REGIONAL_CONTEXT,VKM-SRC-020,pdf p.25 (printed 25); §1.4,EV-VN-S020-0162,,FACT,LITERATURE_CITED,VKM_REGIONAL,FIELD,HIGH,TEXT_LAYER,EXACT,
BF-0026,backfill_record,БКПРУ-1,БКПРУ-1,where=только на БКПРУ-1 (напечатано 'БПКРУ-1' — опечатка; текстовый слой 'Б1ЖРУ-1'),MF:BKPRU1,,"гидравлическая закладка (самотёком по трубопроводу Ø150-200 мм); возвратный рассол отводится, осветляется и откачивается на поверхность для повторного использования",hydraulic,отходы обогатительных фабрик + рудничный рассол (пульпа),,,,,,,,,,,"{""pipe_diameter"": ""150-200 мм"", ""bulkheads"": ""фильтрующие и глухие дощатые перемычки (БКПРУ-1)""}",UNRESOLVED,evidence_type=DESCRIPTIVE: описание практики; проект/факт не различены,,MC-BF-01,,VKM_OTHER_MINE_CONTEXT,VKM-SRC-020,pdf p.25 (printed 25); §1.4,EV-VN-S020-0164,,FACT,DESCRIPTIVE,BKPRU1,FIELD,HIGH,OCR_VISUALLY_CONFIRMED,FUZZY_81,Следствие: на ~1998 г. на СКПРУ-1 гидрозакладка НЕ применялась (по этому источнику); вид закладки на СКПРУ-1 — см. далее (сухая?).
BF-0027,backfill_record,БКПРУ-1,,,MF:BKPRU1,,"гидравлическая, ввод пульпы у кровли",hydraulic,гидрозакладочный массив (отходы обогащения + рассол),,,,,shrinkage_voids=образуются у стен выработок,,,уплотнение по мере обезвоживания и усадки; изменение прочностных и деформационных свойств во времени,,,"{""drainage"": ""рассол стекает быстро (пористость + усадочные пустоты у стен)"", ""time_to_dense"": ""через несколько часов массив становится плотным"", ""full_dewatering"": ""длится годами""}",UNRESOLVED,evidence_type=DESCRIPTIVE: описание практики; проект/факт не различены,,,,VKM_OTHER_MINE_CONTEXT,VKM-SRC-020,pdf p.27 (printed 27); §1.4,EV-VN-S020-0169,,FACT,DESCRIPTIVE,BKPRU1,FIELD,HIGH,TEXT_LAYER,FUZZY_82,Качественная временная эволюция свойств закладки (часы → годы) — для будущего реологического оператора закладки; численных параметров нет.
BF-0028,backfill_record,ВКМ (регионально),,,VKM,,"сухая (механическая): скреперы, конвейеры, роторные метатели, пневмозакладочные машины",dry,отходы химической фабрики + каменная соль от проходки (при необходимости дроблёная роторной дробилкой),,,,,,,,,,,"{""delivery"": ""трубопровод Ø250 мм по стволу → приёмный бункер → магистральный ленточный конвейер"", ""completeness"": ""спецтехника существенно увеличивает полноту закладки"", ""preference"": ""гидрозакладка эффективнее [12]""}",UNRESOLVED,evidence_type=DESCRIPTIVE: описание практики; проект/факт не различены,,,,VKM_REGIONAL_CONTEXT,VKM-SRC-020,pdf p.27 (printed 27-28); §1.4,EV-VN-S020-0171,,FACT,DESCRIPTIVE,VKM_REGIONAL,FIELD,HIGH,TEXT_LAYER,EXACT,"Рудники, применяющие сухую закладку, не названы. Полнота закладки (коэффициент заполнения) численно не дана — UNKNOWN."
BF-0029,backfill_record,ВКМ (регионально),,,VKM,,сухой способ закладки выработанного пространства; доставка закладочного материала самоходными вагонами 5ВС-15М,dry,сухая закладка (материал не уточнен),,,,,,,,,,,"{""vehicle"": ""5ВС-15М, 15 т, кузов 8,6/11 м3""}",UNRESOLVED,evidence_type=DESCRIPTIVE: описание практики; проект/факт не различены,,,,VKM_REGIONAL_CONTEXT,VKM-SRC-020,"pdf p.157 (printed 157); §4.3, с.157",EV-VN-S020-0345,,FACT,DESCRIPTIVE,VKM_REGIONAL,NOT_APPLICABLE,HIGH,TEXT_LAYER,EXACT,Подтверждает практику сухой закладки на ВКМ (1998) с доставкой самоходными вагонами; объемы/рудники не указаны.
BF-0030,backfill_record,ВКМ (регионально),,,VKM,,закладка камер через горловины; очистка горловин камер тракторами ТДТ-55 на участке закладки,unknown,не указан,,,,,,,,,,,"{""organisation"": ""существует отдельный участок закладки"", ""chamber_neck"": ""горловина камеры (сопряжение камеры со штреком)""}",UNRESOLVED,evidence_type=DESCRIPTIVE: описание практики; проект/факт не различены,,,,VKM_REGIONAL_CONTEXT,VKM-SRC-020,pdf p.261 (printed 263); §7.3.2,EV-VN-S020-0441,,FACT,DESCRIPTIVE,VKM_REGIONAL,NOT_APPLICABLE,MEDIUM,TEXT_LAYER,EXACT,Indirect evidence of backfilling operations via chamber necks (горловины) with tracked tractors; mine/date not given.
BF-0031,backfill_record,ВКМ (регионально),,,VKM,,не указан,unknown,мусор (горючие отходы) допускается отправлять на закладку,,,,,,,,,,,"{""note"": ""Backfill system exists and accepts mine waste""}",DESIGN,evidence_type=NORMATIVE,,,,VKM_REGIONAL_CONTEXT,VKM-SRC-020,pdf p.265 (printed 267); §8,EV-VN-S020-0450,,FACT,NORMATIVE,VKM_REGIONAL,NOT_APPLICABLE,MEDIUM,OCR_VISUALLY_CONFIRMED,EXACT,
BF-0032,backfill_record,общий метод,,,,,механическая (сухая засыпка) или гидравлическая (подача пульпы),hydraulic;dry;paste,"твердеющие смеси на основе отходов обогащения (галитовые отходы, глинисто-солевые шламы), цементные растворы, комбинированные составы",,,,,,,,,,,"{""ore_losses"": ""5–10 % vs 40–60 % without backfill"", ""users"": ""Уралкалий, Беларуськалий""}",UNRESOLVED,evidence_type=DESCRIPTIVE: описание практики; проект/факт не различены,,,,GENERAL_OR_UNSTATED,VKM-SRC-023,pdf p.15 (printed 15); rendered p.15; §1.1.2,EV-VN-S023-0041,,FACT,DESCRIPTIVE,GENERAL_METHOD,NOT_APPLICABLE,LOW,DOCX_TEXT,FUZZY_90,"General, uncited. The dry vs hydraulic distinction matches the SKRU-1 zone attribute exel_Type_zaklad (chapter 3). 'Hardening' mixtures at VKM are not documented here; do not transfer to SKRU-1 without primary data."
BF-0033,backfill_record,СКРУ-1,,,MF:SKRU1,,"сухая (dry), гидро. (hydraulic), сухая+гидро",hydraulic;dry,"not stated (dry = сухая, hydraulic = гидро.; typically halite tailings on VKM — not stated here)",,,years between mining and backfill as printed per zone (e.g. 1934-1935 -> 2016-2017; 1961 -> 2011-2012; 1989-1991 -> 1989-1991),,,,,,,,"{""coefficients"": ""Коэф-т закладки Апр/Аф exist in table 2 schema but values not shown""}",ACTUAL,"история закладки по зонам из ГИС предприятия (вторично, ВКР); типы/годы — как записаны",,MC-BF-01;MC-BF-02;CC-18,,SKRU1_DIRECT,VKM-SRC-023,"pdf p.43 (printed 43); Рис.17 (image19.png), rendered p.43",EV-VN-S023-0270,EV-MIN-0308,FACT,DESCRIPTIVE,SKRU1,NOT_APPLICABLE,HIGH,VISUAL_READ,NOT_FOUND,Backfill is often late (decades after mining) at SKRU-1 zones — key time-dependent boundary condition.
BF-0034,backfill_record,СКРУ-1,,,MF:SKRU1,,not stated in figure,unknown,not stated,,,,,,,,,,,"{""spatial_pattern"": ""backfilled chambers (red hatching) over most of the north, centre and west; large filled polygons in SW and SE corners; south-central area (subsidence maximum) largely without hatching""}",ACTUAL,"пространственный рисунок заложенных камер (ГИС, Рис.25б) — качественно",,,,SKRU1_DIRECT,VKM-SRC-023,"pdf p.48 (printed 48); Рис.25б (image27.png), rendered p.48",EV-VN-S023-0316,,FACT,DESCRIPTIVE,SKRU1,NOT_APPLICABLE,MEDIUM,VISUAL_READ,EXACT_ADJACENT_PAGE,Qualitative visual reading; seam not specified (probably union of seams). Dated 01.10.2022 per layer names in Fig.12.
