conflict_id,topic,unit_ids,competing_values_as_printed,nature,vn_ids,resolution_status,recommendation,visual_recheck
CF-STR-011,"Средняя мощность КрIII (сумма слоёв а, б, в)",S_KR3,"SRC-020: ср. 5,5, местами до 11 | SRC-025: 4,0 | SRC-037: 6,5 | слои по SRC-011 Табл.1.10: 0,87+1,11+0,67 (только сильвинитовые слои) | Усольский (КрIIIа-б): 3,30–3,55",DEFINITIONAL (с межслоевой солью или без) + DATA_CONFLICT,EV-VN-S020-0015;EV-VN-S025-0067;EV-VN-S037-0035;EV-VN-S011-0295;EV-VN-S011-0296;EV-VN-S011-0297;EV-VN-S027-0045,UNRESOLVED,Не суммировать слои в этой фазе; хранить как напечатано.,
CF-STR-012,Средняя мощность КрI,S_KR1,"SRC-011: текст 1,1; рис.1.14 1,0; Табл.1.10 0,96; p.109 1,10 | SRC-014 рис.1.2: 1,1 | SRC-020: текст 1,4; рис.1.2 1,15 | SRC-025: текст 1,3; рис. 1,15 | SRC-037: 1,3; рис. 1,15",INTERNAL_INCONSISTENCY + DATA_CONFLICT (малое),EV-VN-S011-0229;EV-VN-S011-0215;EV-VN-S011-0293;EV-VN-S014-0132;EV-VN-S020-0078;EV-VN-S020-0041;EV-VN-S025-0067;EV-VN-S025-0093;EV-VN-S037-0040,UNRESOLVED,"Разброс 0,96–1,4 м; нерабочий пласт — значим как слой ВЗТ1/межпластья.",
CF-STR-013,Средняя мощность рабочего пласта АБ,S_AB,"SRC-020: сильвинитовый ср. 2,8 | SRC-025: ср. 3,5 | SRC-037: в среднем 3,5 | сумма А+Б по колонкам (не вычислялась)",DATA_CONFLICT,EV-VN-S020-0082;EV-VN-S025-0066;EV-VN-S037-0044,UNRESOLVED,Хранить оба.,
CF-STR-014,Мощность пласта В (карналлитовый/сильвинитовый состав),S_V,"SRC-011: рис.1.14 5,8; Табл.1.10 5,80; p.109 (центр+юг) 4,35 | SRC-014 рис.1.2: 6,0 | SRC-020 текст: карналлитовый 0,3–17,4 ср. 6,6; сильвинитовый ср. 2,2; рис. 6,6/2,2 | SRC-025 текст: «В (карналлитовый состав) 15,0 м»; рис.1.3: 6,60/2,20 | SRC-037 текст: «достигает 15 м»; рис.1.2: 6,60/2,80","PRINT_VARIANT (2,20 vs 2,80 в двух воспроизведениях одной колонки А.А. Иванова) + AMBIGUOUS (15 м: среднее или максимум)",EV-VN-S011-0215;EV-VN-S011-0290;EV-VN-S011-1790;EV-VN-S014-0137;EV-VN-S020-0083;EV-VN-S020-0034;EV-VN-S025-0068;EV-VN-S025-0086;EV-VN-S037-0045;EV-VN-S037-0037,UNRESOLVED,"Хранить 2,20 и 2,80 как конкурирующие напечатанные значения; «15 м» SRC-025 трактовать как неоднозначное (SRC-037 прямо пишет «достигает 15 м»).","VISUAL_CONFIRMED 2026-09-26: SRC-037 p.5 (450 dpi) — «6,60/2,80»; SRC-025 p.11 (300 dpi) — «6,60/2,20». Оба значения напечатаны именно так."
CF-STR-015,Мощность соляной / соленосной толщи,CX_SALT;FN_SOLENOSNAYA,"SRC-011, SRC-014: соляная толща до 550 | SRC-025 p.7: соленосная толща 500–1000 | SRC-040 рис.1.2: соленосная толща 381–746 | SRC-011: березниковская свита 150–800",DEFINITIONAL (соляная ≠ соленосная; с ГАТ/без),EV-VN-S011-0124;EV-VN-S014-0119;EV-VN-S040-0035;EV-VN-S011-0066;EV-VN-S025-0017,EXPLAINED_BY_DEFINITION (частично),"Всегда указывать определение интервала; «соленосная толща достигает 500–1000 м» (SRC-025 p.7, claim EV-VN-S025-0017 = EV-GEO-0318) — вероятно, включает ГАТ/иные соленосные интервалы.",
CF-STR-016,Мощность ГАТ,GAT,"SRC-011/014/040 текст: 145 (З) – 325 (В), ср. 230 | SRC-040 рис.1.2: 159–310 | колонки: 230","DATA_CONFLICT (малое, рисунок vs текст)",EV-VN-S011-0123;EV-VN-S014-0116;EV-VN-S040-0023,UNRESOLVED,Не критично для рудничного мира.,
CF-STR-017,Верхняя пачка ПдКС (КрIIIв–МГ),PDKS_UPPER,"SRC-011 §1.2: 8–66, ср. 25 [106] | SRC-011 англ.: average 25 | SRC-014: ср. 27,2 | колонки SRC-025/037: 25,0 | SRC-011 §2.1: «верхняя часть ПдКС» с маркерами до 43,5 м ниже МГ | SRC-012 грид SZ_PDKS 13,44–41,63 (атрибуция UNRESOLVED)",DEFINITIONAL («верхняя пачка» до МГ vs «верхняя часть ПдКС» ниже МГ) + LABEL_ERROR (SRC-012),EV-VN-S011-0219;EV-VN-S011-3825;EV-VN-S014-0120;EV-VN-S025-0102;EV-VN-S011-0816;EV-VN-S012-0368,EXPLAINED_BY_DEFINITION (частично),Маркеры Окуляр…Попович отнесены к средней пачке (ниже МГ) по определению §1.2; в записях merged они помечены «upper ПдКС» — исправлено в колонке.,
CF-STR-018,Мощность МГ,MG,"SRC-011 §1.2, SRC-040: 0,8–1,4 | SRC-011 p.101: 2 | SRC-014: ср. около 2 | колонки SRC-025/037: маркировочная пачка 2,0 | SRC-037 p.4: прослой 1,5 м (в тексте назван маркирующим горизонтом ПКС — перепутана аббревиатура)",DEFINITIONAL (пласт МГ vs маркирующая пачка),EV-VN-S011-0218;EV-VN-S040-0025;EV-VN-S011-1714;EV-VN-S014-0121;EV-VN-S025-0103;EV-VN-S037-0032,EXPLAINED_BY_DEFINITION (частично),"Хранить «пласт МГ 0,8–1,4» и «маркирующая пачка ~2» раздельно.",
CF-STR-019,Перепутанные аббревиатуры ПКС/ПдКС в SRC-037 (OCR p.4–5),PKS;PDKS,"SRC-037: «подстилающая каменная соль (ПКС)», «покровная каменная соль (ПдКС)», «маркирующий горизонт ПКС» (в подстилающей соли)",LABEL_ERROR (в источнике или OCR),EV-VN-S037-0031;EV-VN-S037-0047;EV-VN-S037-0032,RESOLVED_BY_CONTEXT,"Отнесение по названию (не по аббревиатуре): EV-VN-S037-0031 → PDKS, -0047 → PKS, -0032 → MG. Рекомендуется визуальная проверка p.4 в локальной фазе.",
CF-STR-020,Карналлитовая пачка: нижняя/верхняя части,KP_LOWER;KP_UPPER,"SRC-011: нижняя (Б–Е) 20,2–60,5 ср. 34,9; верхняя 15,7–25,0 ср. 19,5 | SRC-020: нижняя (Б–Е) 40–65; верхняя (Е-Ж–К) 15–25 | SRC-011 (Голубев): СК III — нижняя карналлитовая Б–Е ~50 м",DATA_CONFLICT (нижняя часть),EV-VN-S011-0235;EV-VN-S020-0085;EV-VN-S011-0356,UNRESOLVED,Хранить оба.,
CF-STR-021,"Атрибуция карт мощности SRC-012 (Рис. 3.2–3.7, район м/ш целиков СКРУ-1–СКРУ-2–СКРУ-3)",SMT;PP;PKS;KP;SP;PDKS_UPPER,"Рис.3.2 «СМТ» = грид Q_SMT 32,65–221,26 | Рис.3.3 «ПП» = SMT_PP 65,71–123,83 | Рис.3.4 «ПКС» = PP_PKS 16,70–35,26 | Рис.3.5 «КЗ» = PKS_CZ 14,87–59,10 | Рис.3.6 «СЗ» = CZ_SZ 52,31–96,11 | Рис.3.7 «ПдКС до МГ» = SZ_PDKS 13,44–41,63",LABEL_ERROR (сдвиг названия на один слой при соглашении TOP_BASE) — INTERPOLATION,EV-VN-S012-0346;EV-VN-S012-0359;EV-VN-S012-0360;EV-VN-S012-0361;EV-VN-S012-0362;EV-VN-S012-0363;EV-VN-S012-0364;EV-VN-S012-0365;EV-VN-S012-0366;EV-VN-S012-0367;EV-VN-S012-0368;EV-VN-S012-0403,UNRESOLVED,Не использовать легенды карт как мощности единиц; перестроить из отбивок Табл. 3.1 в локальной фазе (INTERPOLATION с методом и входами).,"Визуально подтверждено ранее (visual_check EV-VN-S012-0346…0367, 110–300 dpi)."
CF-STR-022,Мощность продуктивной толщи на СКРУ-1 (ВКР Филатовой),KZ,"SRC-023 §2.3: «средняя мощность порядка 72 м» (СКРУ-1, без ссылки) | SRC-023 §2.4: 30–50 м (обобщённо, [26]) | SRC-040 (регион.): около 72 | колонка SRC-011: КП 54 + СП 17,5",INTERNAL_INCONSISTENCY (вторичный источник),EV-VN-S023-0179;EV-VN-S023-0172;EV-VN-S040-0026,UNRESOLVED,72 м у Филатовой совпадает с региональным средним SRC-040 — вероятно не SKRU-1-специфичное значение. Не продвигать в SITE_SPECIFIC.,
CF-STR-023,Стратиграфическая индексация надсолевых толщ (схемы),SMT;TKT;PCT,"SRC-011/014/040: P1sl1, P1sl2, P1šš (нижняя пермь) | SRC-037 (1992): P2u1, P2u2, P2u2s (уфимский ярус верхней перми) | SRC-020: P2sl, P2ss | SRC-025 рис.1.1: P2sl1, P2sl2, P2šš","NOMENCLATURE (смена стратиграфической шкалы), не противоречие данных",EV-VN-S011-0277;EV-VN-S037-0048;EV-VN-S037-0050;EV-VN-S037-0051;EV-VN-S020-0073;EV-VN-S025-0022,EXPLAINED_BY_NOMENCLATURE,Хранить индекс как напечатано (age_as_printed); не переиндексировать.,
CF-STR-024,Индексация соляной толщи,CX_SALT,SRC-011/014/040: березниковская свита P1br1–P1br4 | SRC-020: P1ir2 (верхнеиренские/лунёжские) | SRC-037: P1k2ir2^2..^4,NOMENCLATURE,EV-VN-S020-0011;EV-VN-S037-0033;EV-VN-S037-0042,EXPLAINED_BY_NOMENCLATURE,Хранить как напечатано.,
CF-STR-025,Табл. 1.10 (рус.) vs англ. Табл. 1 SRC-011: средние мощности пластов,S_I;S_Z;S_ZH;S_E;S_D;S_G;S_V;S_B;S_KR3A;S_KR3B;S_KR3V,"рус./англ.: И 1,28/1,26; З 0,60/0,62; Ж 0,80/0,79; Е 7,60/7,58; Д 8,33/8,31; Г 6,30/6,28; В 5,80/5,79; Б 1,83/1,81; КрIIIа 0,87/0,88; КрIIIб 1,11/1,14; КрIIIв 0,67/0,68",INTERNAL_INCONSISTENCY (мелкое; вёрстка/перевод),EV-VN-S011-0284;EV-VN-S011-3843;EV-VN-S011-0285;EV-VN-S011-3844;EV-VN-S011-0287;EV-VN-S011-3846;EV-VN-S011-0296;EV-VN-S011-3855,UNRESOLVED,"Предпочтения не делать; расхождения ≤0,03 м.",
CF-STR-026,SKRU-1 разрез в блоке 201 (Рис. 4.7а SRC-011): «129-220» — скважина или интерполяция; наличие ПП,SMT;PP;PKS;KP;SP,"EV-GEO-0180 (пред. релиз): «129-220» как скважина, «thin ПП» | повторная визуальная проверка: интерполяционная точка между скв. 129 и 220; ПП в легенде нет; отметка поверхности 160,77 (подпись) vs 170,09 (образец в легенде)",CORRECTION (interpolation ≠ observation),EV-VN-S011-2093;EV-VN-S011-2094;EV-VN-S011-2098,RESOLVED (visual_check EV-VN-S011-2098),Отбивки 129-220 — INTERPOLATION; скв. 128 — FACT с графическим чтением ±3–5 м.,
CF-STR-027,Позиция маркеров «ниже МГ» в SRC-011 §2.1,MK_OKULYAR..MK_POPOVICH,"merged-записи: «(upper ПдКС)» | текст p.42: «ниже пласта МГ: Окуляр … Попович», положение в м вниз от подошвы МГ",LABEL_ERROR (в записях извлечения),EV-VN-S011-0805;EV-VN-S011-0815,RESOLVED_BY_SOURCE_TEXT,В колонке маркеры 9–19 помещены в PDKS_MIDDLE (ниже МГ).,
