unit_id,name_ru,abbrev,rank,parent_unit,order_index,global_order_top_down,tree_depth,functional,grouping_type,lithology,age_as_printed,aliases,thickness_ranges_by_source_as_printed,n_observation_rows,n_sources,source_ids,vn_ids,scopes_of_evidence,skru1_specific_rows,skru1_specific_note,status,scope,confidence,notes
TKT,Терригенно-карбонатная толща (верхнесоликамская подсвита),ТКТ,formation,CX_P_OVERBURDEN,2,8,1,FALSE,LITHOSTRAT,"известняки, доломиты, тонкослоистые мергели, аргиллиты, алевролиты, песчаники; трещиноватые, кавернозные известняки (водоносна)","P1sl2 | P2u2 (SRC-037) | P2sl (SRC-020, часть)",ТКТ; терригенно-карбонатная толща; верхнесоликамская подсвита; P1sl2; Terrigenous-carbonate stratum,"VKM-SRC-011 p.9 [VKM_REGIONAL; FACT]: 90–170 (EV-VN-S011-0118) || VKM-SRC-011 p.37 [VKM_REGIONAL; FACT]: not given here (EV-VN-S011-0696) || VKM-SRC-011 p.62 [VKM_REGIONAL; FACT]: mean 104 m; max at N sides of troughs, e.g. 169 m (skv. 515) (EV-VN-S011-1270) || VKM-SRC-011 p.66 [VKM_REGIONAL; FACT]: max in thalweg/N side: 289 145,2; 864 165,4; 8-ОГН 146; 54 137,5 m (EV-VN-S011-1391) || VKM-SRC-011 p.175 [VKM_REGIONAL; FACT]: 90–170 (EV-VN-S011-3836) || VKM-SRC-012 p.63 [VKM_REGIONAL; FACT]: see Table 3.1 picks (no ranges stated in text) (EV-VN-S012-0299) || VKM-SRC-014 p.15 [VKM_REGIONAL; FACT]: 2–134 (EV-VN-S014-0160) || VKM-SRC-037 p.5 [VKM_REGIONAL; FACT]: 100–150 (в среднем) (EV-VN-S037-0050) || VKM-SRC-040 p.13 [VKM_REGIONAL; FACT]: 90-170 (текст) (EV-VN-S040-0031) || VKM-SRC-040 p.13 [VKM_REGIONAL; FACT]: 90-130 (рис.1.2) (EV-VN-S040-0031) || VKM-SRC-011 p.131 [SKRU1; FACT]: ТКТ (P1sl2): кровля 137 / подошва 76 м абс. (график, ±3–5 м) (EV-VN-S011-2093) || VKM-SRC-011 p.131 [SKRU1; INTERPOLATION]: ТКТ (P1sl2): кровля 125 / подошва 14 м абс. (график, ±3–5 м) (EV-VN-S011-2094)",12,5,VKM-SRC-011;VKM-SRC-012;VKM-SRC-014;VKM-SRC-037;VKM-SRC-040,EV-VN-S011-0118;EV-VN-S011-0696;EV-VN-S011-1270;EV-VN-S011-1391;EV-VN-S011-2093;EV-VN-S011-2094;EV-VN-S011-3836;EV-VN-S012-0299;EV-VN-S014-0160;EV-VN-S037-0050;EV-VN-S040-0031,VKM_REGIONAL:10; SKRU1:2,2,VKM-SRC-011 p.131 ELEVATION_INTERVAL_GRAPH,FACT,VKM_REGIONAL,HIGH,В основании — верхнесоликамский водоносный горизонт (рис. 1.2 SRC-040 — в верхней части).
TKT_UPPER,Известково-терригенная литозона ТКТ (верхняя),,other,TKT,0,9,2,FALSE,LITHOSTRAT,"аргиллиты, алевролиты, тонкозернистые песчаники, известняки",P1sl2,,VKM-SRC-011 p.9 [VKM_REGIONAL; FACT]: известково-терригенная 52–64 (EV-VN-S011-0118),1,1,VKM-SRC-011,EV-VN-S011-0118,VKM_REGIONAL:1,0,нет SKRU-1-специфичных данных о мощности,FACT,VKM_REGIONAL,LOW,SRC-011 p.9 (52–64 м).
TKT_LOWER,Плитняковая литозона ТКТ (нижняя),,other,TKT,1,10,2,FALSE,LITHOSTRAT,"мергели, доломиты, известняки (плитняковые)",P1sl2,,VKM-SRC-011 p.9 [VKM_REGIONAL; FACT]: плитняковая 65–70 (EV-VN-S011-0118),1,1,VKM-SRC-011,EV-VN-S011-0118,VKM_REGIONAL:1,0,нет SKRU-1-специфичных данных о мощности,FACT,VKM_REGIONAL,LOW,SRC-011 p.9 (65–70 м).
SMT,Соляно-мергельная толща (нижнесоликамская подсвита),СМТ,formation,CX_P_OVERBURDEN,3,11,1,FALSE,LITHOSTRAT,"мергели и глины ~65 %, каменная соль ~30 %, гипс и ангидрит ~5 %; 9 ритмопачек; закарстованные гипсовые слои",P1sl1 | P2u1 (SRC-037) | P1sl1^1… (ритмопачки),"СМТ; соляно-мергельная толща; нижнесоликамская подсвита; P1sl1; Salt-marl stratum; переходная зона (SRC-020, в широком смысле)","VKM-SRC-011 p.9 [VKM_REGIONAL; FACT]: (толщина не указана) (EV-VN-S011-0117) || VKM-SRC-011 p.17 [VKM_REGIONAL; FACT]: 15–160, ср. ≈100 (EV-VN-S011-0277) || VKM-SRC-011 p.37 [VKM_REGIONAL; FACT]: not given here (EV-VN-S011-0697) || VKM-SRC-011 p.175 [VKM_REGIONAL; FACT]: close to 100 (average) (EV-VN-S011-3834) || VKM-SRC-012 p.63 [VKM_REGIONAL; FACT]: see Table 3.1 picks (no ranges stated in text) (EV-VN-S012-0300) || VKM-SRC-014 p.15 [VKM_REGIONAL; FACT]: 38–190 (per exploration borehole sections, considered area) (EV-VN-S014-0159) || VKM-SRC-020 p.9 [VKM_REGIONAL; FACT]: 15-58 [UNRESOLVED-атрибуция] (EV-VN-S020-0087) || VKM-SRC-023 p.31 [VKM_REGIONAL; FACT]: 80 (средняя, Рис. 7 ВКР — воспроизведение колонки Кудряшова) (EV-VN-S023-0131) || VKM-SRC-037 p.5 [VKM_REGIONAL; FACT]: в среднем 110 (общая) (EV-VN-S037-0048) || VKM-SRC-040 p.13 [VKM_REGIONAL; FACT]: 15-160, среднее ~100 (текст) (EV-VN-S040-0030) || VKM-SRC-040 p.13 [VKM_REGIONAL; FACT]: 70-150 (рис.1.2) (EV-VN-S040-0030) || VKM-SRC-012 p.67 [SKRU1_SKRU2; INTERPOLATION]: 65.71–123.83 [UNRESOLVED-атрибуция] (EV-VN-S012-0360) || VKM-SRC-012 p.66 [SKRU1_SKRU2; FACT]: Q_SMT 32.65–221.26 (легенда) [UNRESOLVED-атрибуция] (EV-VN-S012-0346) || VKM-SRC-011 p.131 [SKRU1; FACT]: СМТ (P1sl1): кровля 76 / подошва -20 м абс. (график, ±3–5 м) (EV-VN-S011-2093) || VKM-SRC-011 p.131 [SKRU1; INTERPOLATION]: СМТ (P1sl1): кровля 14 / подошва -97 м абс. (график, ±3–5 м) (EV-VN-S011-2094)",15,7,VKM-SRC-011;VKM-SRC-012;VKM-SRC-014;VKM-SRC-020;VKM-SRC-023;VKM-SRC-037;VKM-SRC-040,EV-VN-S011-0117;EV-VN-S011-0277;EV-VN-S011-0697;EV-VN-S011-2093;EV-VN-S011-2094;EV-VN-S011-3834;EV-VN-S012-0300;EV-VN-S012-0346;EV-VN-S012-0360;EV-VN-S014-0159;EV-VN-S020-0087;EV-VN-S023-0131;EV-VN-S037-0048;EV-VN-S040-0030,VKM_REGIONAL:11; SKRU1_SKRU2:2; SKRU1:2,4,VKM-SRC-011 p.131 ELEVATION_INTERVAL_GRAPH; VKM-SRC-012 p.66 GRID_LEGEND_RANGE; VKM-SRC-012 p.67 GRID_LEGEND_RANGE,FACT,VKM_REGIONAL,HIGH,В большинстве источников ПП (переходная пачка) — нижняя соленосная часть СМТ; в Табл. 3.1 VKM-SRC-012 и ряде схем ПП и СМТ выделяются как отдельные интервалы. Толщины «СМТ» в источниках могут включать или не включать ПП — см. conflicts.
SMT_NS,Несоленосная часть СМТ,СМТнс,other,SMT,0,12,2,FALSE,LITHOSTRAT,"мергели с сульфатными (гипс, ангидрит) пластами",P1sl1,СМТнс; несоляная часть соляно-мергельной толщи; СМТ2 (SRC-037?),"VKM-SRC-011 p.62 [VKM_REGIONAL; FACT]: up to 164 m (skv. 557), mean 105 m (Durinsky area) (EV-VN-S011-1269) || VKM-SRC-011 p.65 [VKM_REGIONAL; FACT]: increases in thalweg and N slope (864 176,6; 898 161,8; 54 163,3 m); sharply reduced to 0 on S slope (EV-VN-S011-1387)",2,1,VKM-SRC-011,EV-VN-S011-1269;EV-VN-S011-1387,VKM_REGIONAL:2,0,нет SKRU-1-специфичных данных о мощности,FACT,VKM_REGIONAL,LOW,Выделяется SRC-011 для Дуринской/Боровицкой площадей.
GG,Гипсоносные глины и гипсы (колонка Табл. 3.1 SRC-012),ГГ,other,SMT,1,13,2,FALSE,LITHOSTRAT,гипсоносные глины и гипсы,P1sl1,гипсоносные глины и гипсы,VKM-SRC-012 p.63 [VKM_REGIONAL; FACT]: see Table 3.1 picks (no ranges stated in text) (EV-VN-S012-0301),1,1,VKM-SRC-012,EV-VN-S012-0301,VKM_REGIONAL:1,0,нет SKRU-1-специфичных данных о мощности,FACT,VKM_REGIONAL,LOW,Отдельная колонка отбивок только в Табл. 3.1 VKM-SRC-012 (между СМТ и ПП). В других источниках отдельно не выделяется.
PP,Переходная пачка,ПП,other,SMT,2,14,2,FALSE,LITHOSTRAT,чередование каменной соли (от дм до 10 м) и мергеля; 1–8 ритмопачек,P1sl1 (нижняя часть) | P1pp (SRC-025 рис.1.1),ПП; переходная пачка; переходная толща; transition member; intermediate bench; PP; ВЗТ3 (функционально),"VKM-SRC-011 p.18 [VKM_REGIONAL; FACT]: до 88 (скв. 179), ср. 20 (EV-VN-S011-0301) || VKM-SRC-011 p.60 [VKM_REGIONAL; FACT]: mean 44 m on Durinsky area; 33-~150 m in Gulinsky thalweg boreholes; 211,8 m anomalous (skv. 281) (EV-VN-S011-1151) || VKM-SRC-011 p.175 [VKM_REGIONAL; FACT]: up to 88 (average 20) (EV-VN-S011-3835) || VKM-SRC-012 p.63 [VKM_REGIONAL; FACT]: see Table 3.1 picks (no ranges stated in text) (EV-VN-S012-0302) || VKM-SRC-012 p.83 [SKRU1_SKRU2; MODEL_CHOICE]: legend of PP_PKS grid 16.70–35.26 (if grid = ПП interval) (EV-VN-S012-0464) || VKM-SRC-014 p.15 [VKM_REGIONAL; FACT]: ПП 2–37 (EV-VN-S014-0159) || VKM-SRC-020 p.9 [VKM_REGIONAL; FACT]: 15-58 [UNRESOLVED-атрибуция] (EV-VN-S020-0087) || VKM-SRC-023 p.31 [VKM_REGIONAL; FACT]: 20 (средняя, Рис. 7 ВКР — воспроизведение колонки Кудряшова) (EV-VN-S023-0132) || VKM-SRC-040 p.13 [VKM_REGIONAL; FACT]: до 88, среднее 20 (текст) (EV-VN-S040-0030) || VKM-SRC-040 p.13 [VKM_REGIONAL; FACT]: 10-25 (рис.1.2) (EV-VN-S040-0030) || VKM-SRC-012 p.67 [SKRU1_SKRU2; INTERPOLATION]: 65.71–123.83 [UNRESOLVED-атрибуция] (EV-VN-S012-0360) || VKM-SRC-012 p.67 [SKRU1_SKRU2; INTERPOLATION]: 16.70–35.26 [UNRESOLVED-атрибуция] (EV-VN-S012-0362)",12,6,VKM-SRC-011;VKM-SRC-012;VKM-SRC-014;VKM-SRC-020;VKM-SRC-023;VKM-SRC-040,EV-VN-S011-0301;EV-VN-S011-1151;EV-VN-S011-3835;EV-VN-S012-0302;EV-VN-S012-0360;EV-VN-S012-0362;EV-VN-S012-0464;EV-VN-S014-0159;EV-VN-S020-0087;EV-VN-S023-0132;EV-VN-S040-0030,VKM_REGIONAL:9; SKRU1_SKRU2:3,3,VKM-SRC-012 p.67 GRID_LEGEND_RANGE; VKM-SRC-012 p.83 AS_PRINTED_TEXT,FACT,VKM_REGIONAL,HIGH,"Кровля ПП = «соляное зеркало» (не стратиграфический уровень, диахронная поверхность; SRC-011 p.18). В модели SRC-012 кровля ПП = первый прослой каменной соли сверху."
PKS,Покровная каменная соль,ПКС,formation,CX_SALT,0,16,1,FALSE,LITHOSTRAT,"каменная соль тонко-неровнослоистая, мелкозернистая, светлее ПдКС; желтовато-розово-серая; тонкие галопелитовые прослои",P1br4 | P1ir2^4 (SRC-037),ПКС; покровная каменная соль; covering rock salt; overburden salt rock; ВЗТ2 (функционально),"VKM-SRC-011 p.14 [VKM_REGIONAL; FACT]: 16–22, ср. 20 (EV-VN-S011-0252) || VKM-SRC-011 p.61 [VKM_REGIONAL; FACT]: mean 19 m; max 37 m (skv. 138); 0 at distribution boundary; 12,6 m (skv. 81), 24,0 m (skv. 209а), 4,8 m (skv. 302) (EV-VN-S011-1182) || VKM-SRC-011 p.175 [VKM_REGIONAL; FACT]: mean 20 (EV-VN-S011-3833) || VKM-SRC-012 p.63 [VKM_REGIONAL; FACT]: see Table 3.1 picks (no ranges stated in text) (EV-VN-S012-0303) || VKM-SRC-014 p.14 [VKM_REGIONAL; FACT]: 0.8–52.9, mean 18.6 (considered part of VKM) (EV-VN-S014-0156) || VKM-SRC-014 p.14 [VKM_REGIONAL; FACT]: 15–25 in normal section (EV-VN-S014-0156) || VKM-SRC-020 p.9 [VKM_REGIONAL; FACT]: в среднем 16-22 (EV-VN-S020-0086) || VKM-SRC-023 p.31 [VKM_REGIONAL; FACT]: 20 (средняя, Рис. 7 ВКР — воспроизведение колонки Кудряшова) (EV-VN-S023-0133) || VKM-SRC-023 p.32 [VKM_REGIONAL; FACT]: 16-22, mean 20 (EV-VN-S023-0143) || VKM-SRC-025 p.10 [VKM_REGIONAL; FACT]: ~20 (EV-VN-S025-0062) || VKM-SRC-025 p.11 [VKM_REGIONAL; FACT]: 22, 0 (EV-VN-S025-0071) || VKM-SRC-025 p.85 [SKRU3; FACT]: (толщина не указана) (EV-VN-S025-0472) || VKM-SRC-037 p.5 [VKM_REGIONAL; FACT]: 22,0 (EV-VN-S037-0037) || VKM-SRC-037 p.5 [VKM_REGIONAL; FACT]: 18–22 (EV-VN-S037-0047) || VKM-SRC-040 p.13 [VKM_REGIONAL; FACT]: 16-22, среднее 20 (текст) (EV-VN-S040-0029) || VKM-SRC-040 p.13 [VKM_REGIONAL; FACT]: 15-25 (рис.1.2) (EV-VN-S040-0029) || VKM-SRC-012 p.67 [SKRU1_SKRU2; INTERPOLATION]: 16.70–35.26 [UNRESOLVED-атрибуция] (EV-VN-S012-0362) || VKM-SRC-012 p.68 [SKRU1_SKRU2; INTERPOLATION]: 14.87–59.10 [UNRESOLVED-атрибуция] (EV-VN-S012-0364) || VKM-SRC-011 p.131 [SKRU1; FACT]: ПКС (P1br4): кровля -20 / подошва -31 м абс. (график, ±3–5 м) (EV-VN-S011-2093) || VKM-SRC-011 p.131 [SKRU1; INTERPOLATION]: ПКС (P1br4): кровля -97 / подошва -119 м абс. (график, ±3–5 м) (EV-VN-S011-2094)",20,8,VKM-SRC-011;VKM-SRC-012;VKM-SRC-014;VKM-SRC-020;VKM-SRC-023;VKM-SRC-025;VKM-SRC-037;VKM-SRC-040,EV-VN-S011-0252;EV-VN-S011-1182;EV-VN-S011-2093;EV-VN-S011-2094;EV-VN-S011-3833;EV-VN-S012-0303;EV-VN-S012-0362;EV-VN-S012-0364;EV-VN-S014-0156;EV-VN-S020-0086;EV-VN-S023-0133;EV-VN-S023-0143;EV-VN-S025-0062;EV-VN-S025-0071;EV-VN-S025-0472;EV-VN-S037-0037;EV-VN-S037-0047;EV-VN-S040-0029,VKM_REGIONAL:15; SKRU1_SKRU2:2; SKRU1:2; SKRU3:1,4,VKM-SRC-011 p.131 ELEVATION_INTERVAL_GRAPH; VKM-SRC-012 p.67 GRID_LEGEND_RANGE; VKM-SRC-012 p.68 GRID_LEGEND_RANGE,FACT,VKM_REGIONAL,HIGH,"По SRC-014 выщелочена (нет) на сводах ряда поднятий — Харюшинского, Поповского, Пашковского, Клестовского. ВНИМАНИЕ: в OCR SRC-037 p.4–5 аббревиатуры ПКС/ПдКС перепутаны («подстилающая каменная соль (ПКС)», «покровная каменная соль (ПдКС)») — см. conflicts."
PKS_UPPER,ПКС — верхняя тёмная соль,,other,PKS,0,17,2,FALSE,LITHOSTRAT,каменная соль тёмная,P1br4,,,0,0,,,,0,нет SKRU-1-специфичных данных о мощности,FACT_BY_REFERENCE,VKM_REGIONAL,N/A,SRC-011 English summary p.175.
PKS_HALOPELITE,«Галопелитовая пара» (граница частей ПКС),,marker,PKS,1,18,2,FALSE,LITHOSTRAT,галопелит,P1br4,,,0,0,,,,0,нет SKRU-1-специфичных данных о мощности,FACT_BY_REFERENCE,VKM_REGIONAL,N/A,"19,5–33,5 см (SRC-011 p.175, English summary)."
PKS_LOWER,ПКС — нижняя светлая соль,,other,PKS,2,19,2,FALSE,LITHOSTRAT,каменная соль светлая,P1br4,,,0,0,,,,0,нет SKRU-1-специфичных данных о мощности,FACT_BY_REFERENCE,VKM_REGIONAL,N/A,SRC-011 p.175.
