obs_id,unit_id,unit_name_canonical,unit_as_printed,abbrev_as_printed,source_id,pdf_page,printed_page,locator,vn_id,existing_evidence_ids,record_kind,scope,site_as_printed,spatial_level,observation_type,thickness_as_printed,thickness_min_m,thickness_max_m,thickness_mean_m,numeric_parse,above_as_printed,below_as_printed,lithology_as_printed,status,evidence_type,extraction_method,quote_check,confidence,transferability_to_SKRU1,notes
STO-0011,C2B,Башкирский ярус,Башкирский ярус,C2b,VKM-SRC-011,8,14-15,§1.2,EV-VN-S011-0055,,stratigraphic_unit,VKM_REGIONAL,C2b,geological_element,RANGE,15–80,15.0,80.0,,REGEX,C2m,C1v-s,описание литологии утрачено при вёрстке («Башкирс обрекчии»); нефтепроявления по всему ярусу,FACT,DESCRIPTIVE,TEXT_LAYER,EXACT,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),regional (Solikamsk depression) sub-salt/peri-salt section; no location-specific values
STO-0012,C2M,Московский ярус,Московский ярус,C2m,VKM-SRC-011,8,14-15,§1.2,EV-VN-S011-0056,,stratigraphic_unit,VKM_REGIONAL,C2m,geological_element,RANGE,195–305,195.0,305.0,,REGEX,C3,C2b,"переслаивание известняков, аргиллитов, доломитов",FACT,DESCRIPTIVE,TEXT_LAYER,EXACT,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),regional (Solikamsk depression) sub-salt/peri-salt section; no location-specific values
STO-0013,C3,Верхний карбон,Верхний карбон,C3,VKM-SRC-011,8,14-15,§1.2,EV-VN-S011-0057,,stratigraphic_unit,VKM_REGIONAL,C3,geological_element,RANGE,35–80,35.0,80.0,,REGEX,P1a+s,C2m,"доломиты с прослоями известняков, участками кавернозные",FACT,DESCRIPTIVE,TEXT_LAYER,EXACT,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),regional (Solikamsk depression) sub-salt/peri-salt section; no location-specific values
STO-0014,P1AS,Ассельский + сакмарский ярусы,Ассельский + сакмарский ярусы,P1a+s,VKM-SRC-011,8,14-15,§1.2,EV-VN-S011-0058,,stratigraphic_unit,VKM_REGIONAL,P1a+s,geological_element,RANGE,180–450,180.0,450.0,,REGEX,P1ar,C3,"известняки плотные, крепкие, участками окремнелые, битуминозные",FACT,DESCRIPTIVE,TEXT_LAYER,EXACT,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),regional (Solikamsk depression) sub-salt/peri-salt section; no location-specific values
STO-0015,P1AR,Артинский ярус (карбонатная пачка) + урминская/дивьинская свиты,"Артинский ярус, карбонатная пачка",P1ar1,VKM-SRC-011,8,14-15,§1.2,EV-VN-S011-0059,,stratigraphic_unit,VKM_REGIONAL,P1ar1,geological_element,RANGE,70–220,70.0,220.0,,REGEX,P1ur / P1dv,P1a+s,известняки; нижнеартинские рифы с нефтепроявлениями; граница пачек = ОГ АК,FACT,DESCRIPTIVE,TEXT_LAYER,EXACT,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),regional (Solikamsk depression) sub-salt/peri-salt section; no location-specific values
STO-0016,P1AR,Артинский ярус (карбонатная пачка) + урминская/дивьинская свиты,Урминская свита — «артинский терригенный клин» (восточная половина Соликамской впадины),P1ur,VKM-SRC-011,8,14-15,§1.2,EV-VN-S011-0060,,stratigraphic_unit,VKM_REGIONAL,P1ur,geological_element,AS_PRINTED_TEXT,120 (запад) – 1500 и более (восток),,,,NONE,Кунгур (P1kr/P1lk),P1ar1,"флишоидно-молассовая толща: аргиллиты, алевролиты, песчаники, конгломераты; кровля = ОГ АТ",FACT,DESCRIPTIVE,TEXT_LAYER,EXACT,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),regional (Solikamsk depression) sub-salt/peri-salt section; no location-specific values
STO-0017,P1AR,Артинский ярус (карбонатная пачка) + урминская/дивьинская свиты,"Дивьинская свита (западная часть впадины, фациальный аналог урминской)",P1dv,VKM-SRC-011,8,14-15,§1.2,EV-VN-S011-0061,,stratigraphic_unit,VKM_REGIONAL,P1dv,geological_element,RANGE,10–120,10.0,120.0,,REGEX,Кунгур,P1ar1,"глинистые известняки, мергели, доломиты",FACT,DESCRIPTIVE,TEXT_LAYER,EXACT,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),regional (Solikamsk depression) sub-salt/peri-salt section; no location-specific values
STO-0018,P1KR,Карнауховская свита (филипповский горизонт),"Филипповский горизонт кунгура: карнауховская свита (P1kr) / лекская свита (P1lk, восточная окраина прогиба)",P1kr / P1lk,VKM-SRC-011,8,14-15,§1.2,EV-VN-S011-0062,,stratigraphic_unit,VKM_REGIONAL,P1kr / P1lk,geological_element,RANGE,50–160,50.0,160.0,,REGEX,P1ir (иренский горизонт),P1ar,карбонатно-сульфатный тип (P1kr); обломочные породы (P1lk),FACT,DESCRIPTIVE,TEXT_LAYER,EXACT,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),regional (Solikamsk depression) sub-salt/peri-salt section; no location-specific values
STO-0019,FN_P1IR,Иренский горизонт / иренская свита (кунгур; сульфатно-карбонатная фация на В окраине Русской платформы),"Иренская свита (восточная окраина Русской платформы), 7 пачек ir1–ir7 (ледянопещерская, неволинская, шалашнинская, елкинская, демидковская, тюйская, лунежская)",P1ir,VKM-SRC-011,8,14-15,§1.2,EV-VN-S011-0063,,stratigraphic_unit,VKM_REGIONAL,P1ir,geological_element,AS_PRINTED_TEXT,"110–385 (карбонатные пачки 3–20, ангидритовые 5–140)",,,,NONE,Уфимский ярус,P1kr,"нечётные пачки — ангидритовая порода, чётные — доломиты и доломитизированные известняки",FACT,DESCRIPTIVE,TEXT_LAYER,EXACT,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),regional (Solikamsk depression) sub-salt/peri-salt section; no location-specific values
STO-0020,P1KS,Кошелевская свита (вдоль восточного борта Предуральского прогиба),Кошелевская свита (вдоль восточного борта Предуральского прогиба),P1ks,VKM-SRC-011,9,16-17,§1.2,EV-VN-S011-0064,,stratigraphic_unit,VKM_REGIONAL,P1ks,geological_element,RANGE,100–300,100.0,300.0,,REGEX,,,"песчаники, алевролиты, аргиллиты, глины",FACT,DESCRIPTIVE,TEXT_LAYER,EXACT,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),regional (Solikamsk depression) sub-salt/peri-salt section; no location-specific values
STO-0021,FN_P1IR,Иренский горизонт / иренская свита (кунгур; сульфатно-карбонатная фация на В окраине Русской платформы),Иренский горизонт (кунгур),P1ir,VKM-SRC-011,8,14-15,§1.2,EV-VN-S011-0065,,stratigraphic_unit,VKM_REGIONAL,P1ir,geological_element,DEFINITION,see suites,,,,NONE,Уфимский ярус (соликамский горизонт),Филипповский горизонт,"four coeval suites replacing each other W→E: Iren (P1ir), Berezniki (P1br, salt-bearing), Popovskaya, Koshelevskaya (P1ks)",FACT,LITERATURE_CITED,TEXT_LAYER,EXACT,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),facies framework after B.I. Graifer (1965). Berezniki suite = salt-bearing facies within Solikamsk depression.
STO-0022,FN_SUITE_BR,Березниковская свита (ГАТ + соляная толща),Березниковская свита,P1br,VKM-SRC-011,8,14-15,§1.2,EV-VN-S011-0066,EV-GEO-0006,stratigraphic_unit,VKM_REGIONAL,P1br,geological_element,RANGE,150–800,150.0,800.0,,REGEX,Соликамская свита (СМТ),Карнауховская свита,ГАТ + соляная толща (incl. potash deposit),FACT,DESCRIPTIVE,TEXT_LAYER,FUZZY_87,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),top of ГАТ = seismic reflector С (ОГС)
STO-0023,SMT,Соляно-мергельная толща (нижнесоликамская подсвита),СМТ P1sl1 (~100 m),,VKM-SRC-011,9,16-17,§1.2,EV-VN-S011-0117,EV-GEO-0007,stratigraphic_unit,VKM_REGIONAL,СМТ,geological_element,DEFINITION,,,,,NONE,,,,FACT,DESCRIPTIVE,TEXT_LAYER,EXACT,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),duplicate of existing evidence
STO-0024,TKT,Терригенно-карбонатная толща (верхнесоликамская подсвита),"ТКТ P1sl2 90–170 m (плитняковая 65–70, известково-терригенная 52–64)",,VKM-SRC-011,9,16-17,§1.2,EV-VN-S011-0118,EV-GEO-0008,stratigraphic_unit,VKM_REGIONAL,ТКТ,geological_element,RANGE,90–170,90,170,,MANUAL_FROM_PRINTED,,,,FACT,DESCRIPTIVE,TEXT_LAYER,EXACT,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),duplicate of existing evidence
STO-0025,TKT_LOWER,Плитняковая литозона ТКТ (нижняя),"ТКТ P1sl2 90–170 m (плитняковая 65–70, известково-терригенная 52–64)",,VKM-SRC-011,9,16-17,§1.2,EV-VN-S011-0118,EV-GEO-0008,stratigraphic_unit,VKM_REGIONAL,ТКТ,geological_element,RANGE,плитняковая 65–70,65,70,,MANUAL_FROM_PRINTED,,,,FACT,DESCRIPTIVE,TEXT_LAYER,EXACT,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),duplicate of existing evidence
STO-0026,TKT_UPPER,Известково-терригенная литозона ТКТ (верхняя),"ТКТ P1sl2 90–170 m (плитняковая 65–70, известково-терригенная 52–64)",,VKM-SRC-011,9,16-17,§1.2,EV-VN-S011-0118,EV-GEO-0008,stratigraphic_unit,VKM_REGIONAL,ТКТ,geological_element,RANGE,известково-терригенная 52–64,52,64,,MANUAL_FROM_PRINTED,,,,FACT,DESCRIPTIVE,TEXT_LAYER,EXACT,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),duplicate of existing evidence
STO-0027,PCT,Пестроцветная толща (шешминская свита),"Шешминская свита P1šš (ПЦТ) 0–675 m, max on Durinsky area; copper sandstones, gypsum veins",,VKM-SRC-011,9,16-17,§1.2,EV-VN-S011-0119,EV-GEO-0009,stratigraphic_unit,VKM_REGIONAL,Шешминская,geological_element,DEFINITION,,,,,NONE,,,,FACT,DESCRIPTIVE,TEXT_LAYER,EXACT,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),duplicate of existing evidence
STO-0028,PG,Палеогеновые отложения (?),"Палеоген (?) до 17,4 м (сев. Дуринская площадь); неоген (верхний миоцен) 20–36 м в переуглублениях палеорусла Пракамы",,VKM-SRC-011,9,16-17,§1.2,EV-VN-S011-0120,EV-GEO-0010,stratigraphic_unit,VKM_REGIONAL,Палеоген,geological_element,MAX,"Палеоген (?) до 17,4 м (сев. Дуринская площадь)",,17.4,,MANUAL_FROM_PRINTED,,,,FACT,DESCRIPTIVE,TEXT_LAYER,NOT_FOUND,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),duplicate of existing evidence
STO-0029,NG,Неогеновые отложения (пра-Кама),"Палеоген (?) до 17,4 м (сев. Дуринская площадь); неоген (верхний миоцен) 20–36 м в переуглублениях палеорусла Пракамы",,VKM-SRC-011,9,16-17,§1.2,EV-VN-S011-0120,EV-GEO-0010,stratigraphic_unit,VKM_REGIONAL,Палеоген,geological_element,RANGE,неоген (верхний миоцен) 20–36 м в переуглублениях палеорусла Пракамы,20,36,,MANUAL_FROM_PRINTED,,,,FACT,DESCRIPTIVE,TEXT_LAYER,NOT_FOUND,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),duplicate of existing evidence
STO-0030,Q,Четвертичные отложения,Четвертичные Q: до 80 м в переуглублениях палеодолин и зонах выщелачивания солей,,VKM-SRC-011,9,16-17,§1.2,EV-VN-S011-0121,EV-GEO-0011,stratigraphic_unit,VKM_REGIONAL,Четвертичные,geological_element,DEFINITION,,,,,NONE,,,,FACT,DESCRIPTIVE,TEXT_LAYER,EXACT,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),duplicate of existing evidence
STO-0031,P1KR,Карнауховская свита (филипповский горизонт),"Карнауховская свита P1kr ~100 m (ангидритовые пачки 5–100, карбонатные 6–80 и 8–35)",,VKM-SRC-011,9,16-17,§1.2,EV-VN-S011-0122,EV-GEO-0013,stratigraphic_unit,VKM_REGIONAL,Карнауховская,geological_element,MEAN,"~100 (ангидритовые пачки 5–100, карбонатные 6–80 и 8–35)",,,100,MANUAL_FROM_PRINTED,,,,FACT,DESCRIPTIVE,TEXT_LAYER,EXACT,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),duplicate of existing evidence
STO-0032,GAT,Глинисто-ангидритовая толща,"ГАТ P1br1 145 (W) – 325 (E), mean 230 m; salt lenses ≤12 m; W clay-marl-carbonate, E siltstone-sandstone",,VKM-SRC-011,9,16-17,§1.2,EV-VN-S011-0123,EV-GEO-0014,stratigraphic_unit,VKM_REGIONAL,ГАТ,geological_element,DEFINITION,,,,,NONE,,,,FACT,DESCRIPTIVE,TEXT_LAYER,EXACT,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),duplicate of existing evidence
STO-0033,CX_SALT,Соляная толща,"Соляная толща до 550 м: ПдКС P1br2, калийная залежь P1br3 (СП+КП), ПКС P1br4",,VKM-SRC-011,9,16-17,§1.2,EV-VN-S011-0124,EV-GEO-0015,stratigraphic_unit,VKM_REGIONAL,Соляная,geological_element,MAX,до 550,,550,,MANUAL_FROM_PRINTED,,,,FACT,DESCRIPTIVE,TEXT_LAYER,FUZZY_70,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),duplicate of existing evidence
STO-0034,PDKS_LOWER,ПдКС — нижняя пачка (нижняя переходная литозона),"ПдКС — нижняя пачка (нижняя переходная литозона по Копнину [122]); подпачки: базальная соль (19–36 м) и ангидрит-соляная (32,8–82,8 м, 3 пласта несоляных пород)",P1br2 (ПдКС нижн.),VKM-SRC-011,11,20-21,§1.2 ПдКС нижняя пачка,EV-VN-S011-0152,EV-GEO-0023,stratigraphic_unit,VKM_REGIONAL,ВКМС,deposit,RANGE,"61–98,6 (подпачки 19–36 и 32,8–82,8)",61,98.6,,MANUAL_FROM_PRINTED,ПдКС средняя пачка,ГАТ (P1br1),"каменная соль, чередующаяся с 1–5 пластами терригенно-хемогенных пород мощностью 0,5–43 м [12] (глинисто-ангидрито-доломитовые, гипсово-ангидритовые, доломито-ангидритовые, алевролиты, песчаники); соленасыщение 61–82%",FACT,LITERATURE_CITED,TEXT_LAYER,EXACT,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),"базальная соль 19–36; ангидрит-соляная 32,8–82,8 | non-salt beds marl-anhydrite in W, terrigenous in E (lateral facies change relevant for 3D stiffness contrasts)"
STO-0035,PDKS_MIDDLE,ПдКС — средняя пачка,ПдКС — средняя пачка (литозона нижняя каменная соль),P1br2 (ПдКС средн.),VKM-SRC-011,11,20-21,§1.2 ПдКС средняя пачка,EV-VN-S011-0153,EV-GEO-0024;EV-GEO-0026,stratigraphic_unit,VKM_REGIONAL,ВКМС,deposit,AS_PRINTED_TEXT,50–440 (p.23 printed),,,,NONE,ПдКС верхняя пачка (с МГ в основании),ПдКС нижняя пачка,"мощная относительно однородная каменная соль;[фрагмент совпадает с цитатой источника — см. quote]0,05–0,5 м (ср. 0,15–0,2), суммарно 5–10 м",FACT,DESCRIPTIVE,TEXT_LAYER,FUZZY_81,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),КрIV red sylvinite seam locally at its roof (SW part)
STO-0036,KR4,Пласт Красный-IV (локальный),Пласт КрIV (красный сильвинит в кровле средней пачки ПдКС),КрIV,VKM-SRC-011,11,20-21,"§1.2, рис. 1.13, табл. 1.3",EV-VN-S011-0154,EV-GEO-0025,stratigraphic_unit,VKM_REGIONAL,КрIV,seam,AS_PRINTED_TEXT,"0,40–3,45 (табл. 1.3)",,,,NONE,"МГ / верхняя пачка ПдКС (interval КрIV-МГ 0–1,45 м)",средняя пачка ПдКС,"красный сильвинит; в скв. 424 два сильвинитовых слоя (1,4 и 0,95 м) с прослоем каменной соли; KCl 5,28–36,88%",FACT,DESCRIPTIVE,TEXT_LAYER,EXACT,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),"only two small areas in SW/southern VKM, both near Kama trough axis; southern area exactly on axis, northern displaced SW toward Белопашнинская brachyanticline; name from [152]"
STO-0037,MG,Маркирующая глина (пласт МГ),Маркирующая глина,МГ,VKM-SRC-011,12,22-23,§1.2 МГ,EV-VN-S011-0218,EV-GEO-0027,stratigraphic_unit,VKM_REGIONAL,МГ,geological_element,RANGE,"0,8–1,4",0.8,1.4,,REGEX,верхняя пачка ПдКС,средняя пачка ПдКС (угловое несогласие),глина,FACT,DESCRIPTIVE,TEXT_LAYER,EXACT,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),most reliable marker horizon of the salt stratum; used as datum for structural maps (fig.1.13 stratoisohypses)
STO-0038,PDKS_UPPER,ПдКС — верхняя пачка (КрIIIв–МГ),ПдКС — верхняя пачка (нижняя шпатовая + верхняя розоватая соль [131]; зона розовой соли [245]),P1br2 (ПдКС верхн.),VKM-SRC-011,12,22-23,§1.2 ПдКС верхняя пачка,EV-VN-S011-0219,EV-GEO-0028;EV-GEO-0029;EV-GEO-0030,stratigraphic_unit,VKM_REGIONAL,ВКМС,deposit,RANGE_MEAN,"8–66, ср. 25",8,66,25,MANUAL_FROM_PRINTED,КрIIIв (сильвинитовая пачка),МГ / средняя пачка,"каменная соль, шпатовый и зернистый галит; вверху светло-желтые и розовые прослои",FACT,DESCRIPTIVE,TEXT_LAYER,EXACT,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),"[106] | ПдКС total 0–515 m, mean ~330 m; chemistry NaCl 94–94,5, CaSO4 2,5–3, MgCl2 0,2, Н.О. 2–2,5 % [12]"
STO-0039,PDKS,Подстилающая каменная соль,ПдКС — верхняя пачка (нижняя шпатовая + верхняя розоватая соль [131]; зона розовой соли [245]),P1br2 (ПдКС верхн.),VKM-SRC-011,12,22-23,§1.2 ПдКС верхняя пачка,EV-VN-S011-0219,EV-GEO-0028;EV-GEO-0029;EV-GEO-0030,stratigraphic_unit,VKM_REGIONAL,ВКМС,deposit,RANGE_MEAN,"ПдКС total 0–515 m, mean ~330 m (в примечании записи)",0,515,330,MANUAL_FROM_PRINTED,КрIIIв (сильвинитовая пачка),МГ / средняя пачка,"каменная соль, шпатовый и зернистый галит; вверху светло-желтые и розовые прослои",FACT,DESCRIPTIVE,TEXT_LAYER,EXACT,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),"ПдКС total 0–515 m, mean ~330 m; chemistry NaCl 94–94,5, CaSO4 2,5–3, MgCl2 0,2, Н.О. 2–2,5 % [12]"
STO-0040,S_KNIZH,«Книжечка» — тонкослоистый глинисто-ангидрито-доломитовый прослой,«Книжечка» — тонкослоистый глинисто-ангидрито-доломитовый прослой в межпластье КрI-КрII,,VKM-SRC-011,12,22-23,"§1.2 «книжечка», рис. 1.15",EV-VN-S011-0222,EV-GEO-0037;EV-GEO-0038,stratigraphic_unit,VKM_REGIONAL,«книжечка»,geological_element,RANGE,"0,02–0,05",0.02,0.05,,REGEX,каменная соль ритма КрI-КрII,каменная соль ритма КрI-КрII,"17 прослоев: 9 темно-серых (глинисто-карбонатные, 0,75–2,0 мм на СЗ → 3–4 мм на ЮВ) и 8 светло-серых (галит-ангидритовые; ангидрит 60–70%); восемь двучленных наборов",FACT,DESCRIPTIVE,TEXT_LAYER,FUZZY_60,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),"present everywhere (повсеместно); dark layers thicken SE; clay (Н.О.) content increases SE 2,8→17,7%, anhydrite decreases 62,8→49,2%"
STO-0041,SP,Сильвинитовая зона/пачка,"Сильвинитовая пачка: КрIIIв, КрIIIб, КрIIIа, КрII, КрI, А + межпластовая каменная соль",P1br3 (СП),VKM-SRC-011,12,22-23,§1.2 сильвинитовая пачка,EV-VN-S011-0229,EV-GEO-0031;EV-GEO-0032;EV-GEO-0033;EV-GEO-0034;EV-GEO-0041,stratigraphic_unit,VKM_REGIONAL,сильвинитовая пачка,seam,RANGE_MEAN,"3,3–30, ср. 17,4",3.3,30,17.4,MANUAL_FROM_PRINTED,карналлитовая пачка (пласт Б),верхняя пачка ПдКС,"красные сильвиниты КрIII–КрI, полосчатый сильвинит А; КрIII sub-seams three-layered (sylvinite–salt 0,2–0,4 (до 2) м–sylvinite); КрII 7 layers (odd rich, even poor) 0,8–11,9 м ср. 4,1; КрI 25 annual layers (sylvite 1–3 см, halite 1–7 см) 0,1–4,2 м ср",FACT,DESCRIPTIVE,TEXT_LAYER,FUZZY_72,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),"refs [66],[63]"
