site_group,obs_class,schema_modality,n_catalog_rows,n_datasets,measurement_years_printed,item_kinds,values_in_corpus,source_ids,scope,locators,sites_detail,cat_ids,vn_ids,usable_for_skru1,status_mix,latent_state_link,confidence,status,notes
СКРУ-1+2+3 вместе (район трёх рудников / объединённая выборка),MODEL_OUTPUT_NOT_OBSERVATION,other,1,0,,MODEL_OUTPUT:1,MODEL_OUTPUT_ONLY:1,VKM-SRC-012,SOLIKAMSK_GROUP,"VKM-SRC-012 p83 [§3.5, Рис. 3.17]",СКРУ-1/СКРУ-2/СКРУ-3 вместе (район трёх рудников или объединённая выборка),MON-0479,EV-VN-S012-0466,NO:1,DERIVATION:1,нет (расчётный прогноз; нельзя использовать как наблюдение),HIGH:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
СКРУ-1+2+3 вместе (район трёх рудников / объединённая выборка),PROFILE_LINE_STATION,profile_line,1,0,,SYSTEM_DESCRIPTION:1,SPEC_OR_DESCRIPTION_ONLY:1,VKM-SRC-012,SOLIKAMSK_GROUP,VKM-SRC-012 p84 [§3.5],линия №1 — м/ш целик СКРУ-1–СКРУ-2 (зона целика + сторона СКРУ-2); линия №2 — м/ш целик СКРУ-2–СКРУ-3 (СКРУ-2),MON-0064,EV-VN-S012-0533,METHOD/OPERATOR_PRIOR:1,FACT:1,"u_z и горизонтальная компонента вдоль линии (полная серия) в реперах через 20–50 м; производные: наклон, кривизна, ε",HIGH:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
Соликамск: СКРУ-1 или СКРУ-2 (не разделено),INSAR,insar,2,1,2011–2011,DATASET:1; METHOD_PROPERTY:1,FIGURE_READ:1; SPEC_OR_DESCRIPTION_ONLY:1,VKM-SRC-001; VKM-SRC-002,SKRU1_OR_SKRU2_UNATTRIBUTED,VKM-SRC-001 p13 [Рис.4; текст с.12-13]; VKM-SRC-002 p15 [слайд 15 (сравнение InSAR и нивелир,"СКРУ-1 или СКРУ-2 — источник не разделяет (UNATTRIBUTED) || Соликамск: СКРУ-1 или СКРУ-2 — источник не разделяет (UNATTRIBUTED) (ВКМКС, г. Соликамск, 2011)",MON-0084; MON-0102,EV-VN-S001-0040; EV-VN-S002-0038,PARTIAL:1; DISCOVERY_ONLY:1,FACT:1; DERIVATION:1,u_LOS = u·ê_LOS относительно опорной точки и первой сцены (пиксель/PS); «субвертикальное» = u_LOS/cosθ при допущении u_h≈0,HIGH:1; MEDIUM:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
Соликамск: СКРУ-1 или СКРУ-2 (не разделено),LEVELLING,levelling,5,5,2011–2016,DATASET:5,FIGURE_VALUES_DIGITIZED_APPROX:5,VKM-SRC-001; VKM-SRC-002,SKRU1_OR_SKRU2_UNATTRIBUTED,"VKM-SRC-001 p13 [Рис.4 'Сводный график вертикальных ; VKM-SRC-002 p15 [слайд 15, 'Линия 1']; VKM-SRC-002 p15 [слайд 15, 'Линия 5']; VKM-SRC-002 p15 [слайд 15, 'Линия 17']; VKM-SRC-002 p15 [слайд 15, 'Линия 6']","Соликамск: СКРУ-1 или СКРУ-2 — источник не разделяет (UNATTRIBUTED) (линия 1) || Соликамск: СКРУ-1 или СКРУ-2 — источник не разделяет (UNATTRIBUTED) (линия 17) || Соликамск: СКРУ-1 или СКРУ-2 — источник не разделяет (UNATTRIBUTED) (линия 5) || Соликамск: СКРУ-1 или СКРУ-2 — источник не разделяет (UNATTRIBUTED) (линия 6) || Соликамск: СКРУ-1 или СКРУ-2 — источник не разделяет (UNATTRIBUTED) (профильная линия №5, 2011)",MON-0002; MON-0003; MON-0004; MON-0005; MON-0006,EV-VN-S001-0041; EV-VN-S002-0032; EV-VN-S002-0033; EV-VN-S002-0034; EV-VN-S002-0035,DISCOVERY_ONLY:4; PARTIAL:1,FACT:5,"u_z(репер,t) − u_z(репер,t0) относительно исходных реперов; точечная опора; эпохи кампаний",LOW:4; MEDIUM:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
Соликамск: СКРУ-1 или СКРУ-2 (не разделено),PROFILE_LINE_STATION,profile_line,1,0,,SYSTEM_DESCRIPTION:1,SPEC_OR_DESCRIPTION_ONLY:1,VKM-SRC-002,SKRU1_OR_SKRU2_UNATTRIBUTED,VKM-SRC-002 p15 [слайды 12-15 (сводно)],Соликамск: СКРУ-1 или СКРУ-2 — источник не разделяет (UNATTRIBUTED),MON-0053,EV-VN-S002-0065,DISCOVERY_ONLY:1,FACT:1,"u_z и горизонтальная компонента вдоль линии (полная серия) в реперах через 20–50 м; производные: наклон, кривизна, ε",MEDIUM:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
зона м/ш целика СКРУ-1–СКРУ-2,LEVELLING,levelling,6,6,1977–2020,DATASET:6,FIGURE_VALUES_DIGITIZED_APPROX:4; DESCRIPTION_ONLY:2,VKM-SRC-012,SKRU1_SKRU2_PILLAR,VKM-SRC-012 p34 [§1.4.2]; VKM-SRC-012 p51 [Рис. 2.8 (300 dpi)]; VKM-SRC-012 p51 [Рис. 2.9 (300 dpi)]; VKM-SRC-012 p56 [Рис. 2.11]; VKM-SRC-012 p57 [§2.5 Выводы п.1]; VKM-SRC-012 p107 [Рис. 4.12 p.107],"зона м/ш целика СКРУ-1–СКРУ-2: линии Уралкалия №1, 7, 10 (их реперы за пределами целика — сторона СКРУ-2, SKRU2); часть  || зона м/ш целика СКРУ-1–СКРУ-2: линия №1, 0–≈0,2 км (рис. 2.11); части строки: B — сторона СКРУ-2 (MON-0033-B), C — норма || зона м/ш целика СКРУ-1–СКРУ-2: линия №1, X≈37395–37600 (реп. 8–1); части строки: B — сторона СКРУ-2 (MON-0040-B), C — ра || зона м/ш целика СКРУ-1–СКРУ-2: линия №1, реперы 1–8 (X≈37395–37600 по рис. 4.12); часть A строки, часть B (реперы 9–30,  || зона м/ш целика СКРУ-1–СКРУ-2: линия №7, реперы 0…~7; часть A строки, часть B (мульда на стороне СКРУ-2) — MON-0028-B || линия №1 (вдоль сбойки через м/ш целик СКРУ-1–СКРУ-2): реперы 1–8 — зона целика, реперы 9–30 — сторона СКРУ-2 (1 СВП-143",MON-0014; MON-0027; MON-0028; MON-0033; MON-0034-B; MON-0040,EV-VN-S012-0170; EV-VN-S012-0240; EV-VN-S012-0241; EV-VN-S012-0278; EV-VN-S012-0282; EV-VN-S012-0579,PARTIAL:6,FACT:6,"u_z(репер,t) − u_z(репер,t0) относительно исходных реперов; точечная опора; эпохи кампаний",MEDIUM:4; HIGH:2,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
зона м/ш целика СКРУ-1–СКРУ-2,MODEL_OUTPUT_NOT_OBSERVATION,other,1,0,,MODEL_OUTPUT:1,MODEL_OUTPUT_ONLY:1,VKM-SRC-012,SKRU1_SKRU2_PILLAR,VKM-SRC-012 p107 [Рис. 4.12 p.107],"модельный разрез: сторона СКРУ-2 (X<37395), зона м/ш целика (X≈37395–37595), сторона СКРУ-1 (X>37600 — только модель, из",MON-0040-C,EV-VN-S012-0579,NO:1,DERIVATION:1,нет (расчётный прогноз; нельзя использовать как наблюдение),MEDIUM:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
зона м/ш целика СКРУ-1–СКРУ-2,PROFILE_LINE_STATION,profile_line,1,1,2003–2003,DATASET:1,TEXT_VALUES:1,VKM-SRC-012,SKRU1_SKRU2_PILLAR,VKM-SRC-012 p57 [§2.4 p.57],"линия №1 (вдоль сбойки через м/ш целик СКРУ-1–СКРУ-2): реперы 1–8 — зона целика, реперы 9–30 — сторона СКРУ-2 (1 СВП-143",MON-0063,EV-VN-S012-0279,PARTIAL:1,FACT:1,"u_z и горизонтальная компонента вдоль линии (полная серия) в реперах через 20–50 м; производные: наклон, кривизна, ε",HIGH:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
рудник не назван (вероятно СКРУ-1; не подтверждено),LEVELLING,levelling,1,1,1968–2022,DATASET:1,TEXT_VALUES:1,VKM-SRC-021,UNSTATED,VKM-SRC-021 p3 [пример блок 129],блок 129 — рудник НЕ назван (вероятно СКРУ-1 по номенклатуре; не подтверждено),MON-0045,EV-VN-S021-0034,PARTIAL:1,FACT:1,"u_z(репер,t) − u_z(репер,t0) относительно исходных реперов; точечная опора; эпохи кампаний",HIGH:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
СКРУ-2,DERIVED_ISOLINE_PRODUCT,other,1,0,,DERIVED_PRODUCT:1,DERIVED_VALUES:1,VKM-SRC-012,SKRU2,VKM-SRC-012 p32 [Рис. 1.3 «Карта зоны массовых обруш,СКРУ-2,MON-0465,EV-VN-S012-0147,NO_AS_OBSERVATION:1,INTERPOLATION:1,"интерполированное поле накопленного u_z (INTERPOLATION, не наблюдение)",MEDIUM:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
СКРУ-2,GAS_VENTILATION,other,1,1,,DATASET:1,TABLE_VALUES:1,VKM-SRC-014,SKRU2,VKM-SRC-014 p50 [Табл. 2.5],"СКРУ-2 — вентиляционная съёмка (табл. 2.5, столбец СКРУ-2); часть строки MON-0433",MON-0433-B,EV-VN-S014-0397,NEIGHBOUR_ONLY:1,FACT:1,"газовая/вентиляционная обстановка — операционные данные, вне деформационного состояния",HIGH:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
СКРУ-2,GNSS,gnss,2,2,2015–2020,DATASET:2,TEXT_VALUES:2,VKM-SRC-012,SKRU2,VKM-SRC-012 p43 [§2.2 pp.43-44]; VKM-SRC-012 p44 [§2.2],СКРУ-2,MON-0076; MON-0077,EV-VN-S012-0209; EV-VN-S012-0214,NEIGHBOUR_ONLY:2,FACT:2,вектор u (3D) в пункте относительно опорной системы/базовой станции,HIGH:2,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
СКРУ-2,GPR,gpr,1,0,,CITED_DESCRIPTION:1,SPEC_OR_DESCRIPTION_ONLY:1,VKM-SRC-040,SKRU2,VKM-SRC-040 p34 [§1.2.3],СКРУ-2,MON-0299,EV-VN-S040-0095,METHOD/OPERATOR_PRIOR:1,FACT:1,"геометрия границ (слои, выработки, пустоты, крепь) + ЭМ-свойства (ε_r→v, затухание; влажность/трещиноватость)",HIGH:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
СКРУ-2,HORIZONTAL_DEFORMATION,horizontal_deformation,1,1,2012–2020,DATASET:1,FIGURE_READ:1,VKM-SRC-012,SKRU2,VKM-SRC-012 p47 [Рис. 2.3],СКРУ-2,MON-0070,EV-VN-S012-0226,NEIGHBOUR_ONLY:1,FACT:1,ε_xx = ΔL/L между соседними реперами; проекция u_h на ось линии,HIGH:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
СКРУ-2,INSAR,insar,9,7,2020–2022,DATASET:7; METHOD_PROPERTY:2,TEXT_VALUES:6; SPEC_OR_DESCRIPTION_ONLY:2; DESCRIPTION_ONLY:1,VKM-SRC-003,SKRU2,"VKM-SRC-003 p40 [§3.1, вывод 3 (стр.40-41)]; VKM-SRC-003 p63 [§3.4 p.63-64]; VKM-SRC-003 p66 [§3.4 p.66-67]; VKM-SRC-003 p67 [§3.4 p.67]; VKM-SRC-003 p67 [§3.4 p.67]; VKM-SRC-003 p67 [§3.4 p.67]; VKM-SRC-003 p69 [§3.4 p.69, Рис. 3.18]; VKM-SRC-003 p69 [§3.4 p.69, Рис. 3.19]; VKM-SRC-003 p114 [Заключение, п.3]",СКРУ-2,MON-0114; MON-0136; MON-0137; MON-0138; MON-0139; MON-0140; MON-0141; MON-0142; MON-0154,EV-VN-S003-0140; EV-VN-S003-0230; EV-VN-S003-0238; EV-VN-S003-0241; EV-VN-S003-0244; EV-VN-S003-0245; EV-VN-S003-0250; EV-VN-S003-0251; EV-VN-S003-0399,NEIGHBOUR_ONLY:7; METHOD/OPERATOR_PRIOR:2,FACT:9,u_LOS = u·ê_LOS относительно опорной точки и первой сцены (пиксель/PS); «субвертикальное» = u_LOS/cosθ при допущении u_h≈0,HIGH:8; MEDIUM:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
СКРУ-2,LEVELLING,levelling,23,21,1980–2026,DATASET:21; CONFLICT:1; USE_IN_MODEL:1,FIGURE_VALUES_DIGITIZED_APPROX:11; TEXT_VALUES:8; FIGURE_READ:2; DESCRIPTION_ONLY:2,VKM-SRC-003; VKM-SRC-012,SKRU2,"VKM-SRC-003 p66 [Рис. 3.17 Б]; VKM-SRC-012 p43 [§2.2]; VKM-SRC-012 p43 [§2.2]; VKM-SRC-012 p44 [§2.2, рис. 2.2-2.3]; VKM-SRC-012 p46 [Рис. 2.2]; VKM-SRC-012 p48 [§2.3 pp.48-49]; VKM-SRC-012 p49 [Рис. 2.5 (300 dpi)]; VKM-SRC-012 p49 [Рис. 2.6]; VKM-SRC-012 p50 [§2.3 p.50 vs p.49]; VKM-SRC-012 p50 [Рис. 2.7 (300 dpi)]; VKM-SRC-012 p51 [Рис. 2.8 (300 dpi)]; VKM-SRC-012 p51 [Рис. 2.9 (300 dpi)]; VKM-SRC-012 p52 [Рис. 2.10 (300 dpi)]; VKM-SRC-012 p53 [§2.3 p.53]; VKM-SRC-012 p53 [§2.3; also Выводы п.3 p.58]; VKM-SRC-012 p56 [Рис. 2.11]; VKM-SRC-012 p57 [§2.5 Выводы п.1]; VKM-SRC-012 p58 [§2.5 Выводы п.5]; VKM-SRC-012 p103 [Рис. 4.8 p.103]; VKM-SRC-012 p104 [Рис. 4.9 p.104]; VKM-SRC-012 p104 [§4.2 p.104]; VKM-SRC-012 p105 [Рис. 4.10 p.105]; VKM-SRC-012 p107 [Рис. 4.12 p.107]","СКРУ-2 || границы м/ш целиков, сторона СКРУ-2 || линия №1, реперы 13–30 — сторона СКРУ-2 (1 СВП-143); зоны целика и стороны СКРУ-1 в наборе нет (SRC-012 рис. 4.8, рис. 4 || линия №7, сторона СКРУ-2 у целика СКРУ-1–СКРУ-2 || м/ш целик СКРУ-2–СКРУ-3: линия ПНИПУ №3 (сторона СКРУ-2; с СКРУ-1 не граничит); часть A строки, линии Уралкалия — MON-00 || сторона СКРУ-2 (1 СВП-143): линия №1, X≈36900–37395; часть B строки MON-0040 || сторона СКРУ-2 (1 СВП-143): линия №1, реперы 9–30; часть B строки MON-0027 || сторона СКРУ-2: линия №1, ≈0,2–0,88 км (панели I–II СВП-143, рис. 2.11); часть B строки MON-0033 || сторона СКРУ-2: линия №7, мульда в 450 м от границы м/ш целика со стороны СКРУ-2 (провал 1995 г.); часть B строки MON-00",MON-0009; MON-0018; MON-0019; MON-0020; MON-0021; MON-0022; MON-0023; MON-0024; MON-0025; MON-0026; MON-0027-B; MON-0028-B; MON-0029; MON-0030; MON-0032; MON-0033-B; MON-0034; MON-0035; MON-0036; MON-0037; MON-0038; MON-0039; MON-0040-B,EV-VN-S003-0237; EV-VN-S012-0208; EV-VN-S012-0210; EV-VN-S012-0217; EV-VN-S012-0222; EV-VN-S012-0232; EV-VN-S012-0233; EV-VN-S012-0234; EV-VN-S012-0235; EV-VN-S012-0239; EV-VN-S012-0240; EV-VN-S012-0241; EV-VN-S012-0242; EV-VN-S012-0247; EV-VN-S012-0253; EV-VN-S012-0278; EV-VN-S012-0282; EV-VN-S012-0285; EV-VN-S012-0561; EV-VN-S012-0562; EV-VN-S012-0567; EV-VN-S012-0568; EV-VN-S012-0579,NEIGHBOUR_ONLY:21; METHOD/OPERATOR_PRIOR:2,FACT:23,"u_z(репер,t) − u_z(репер,t0) относительно исходных реперов; точечная опора; эпохи кампаний",MEDIUM:12; HIGH:11,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
СКРУ-2,MODEL_OUTPUT_NOT_OBSERVATION,other,4,0,,MODEL_OUTPUT:4,MODEL_OUTPUT_ONLY:4,VKM-SRC-012,SKRU2,VKM-SRC-012 p56 [Рис. 2.11]; VKM-SRC-012 p103 [Рис. 4.8 p.103]; VKM-SRC-012 p104 [Рис. 4.9 p.104]; VKM-SRC-012 p105 [Рис. 4.10 p.105],"СКРУ-2 || линия №1, реперы 13–30 — сторона СКРУ-2 (1 СВП-143); зоны целика и стороны СКРУ-1 в наборе нет (SRC-012 рис. 4.8, рис. 4 || модельный разрез вдоль линии №2: панель 1 ЮВП-143 СКРУ-2 → м/ш целик СКРУ-2–СКРУ-3 → сторона СКРУ-3 (только модель) || расчёт вдоль линии №1: начало — зона м/ш целика (≈0,1 м), далее панели СКРУ-2 (I–IV СВП-143, I ЮВП-143); часть C строки ",MON-0033-C; MON-0036-B; MON-0037-B; MON-0039-B,EV-VN-S012-0278; EV-VN-S012-0561; EV-VN-S012-0562; EV-VN-S012-0568,NO:4,DERIVATION:4,нет (расчётный прогноз; нельзя использовать как наблюдение),MEDIUM:4,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
