campaign_id,modality,site_strict,start_as_printed,end_as_printed,cadence_epochs,producer,source_ids,vn_ids,locators,worldspec_event_type,scope,scale,confidence,status,notes,quote_vn_id
CMP-011,levelling/profile_line,линия №2 (целик СКРУ-2–СКРУ-3),≈1980,≈2020,"эпохи ≈1980…2020 с разрывами 2002–2007, 2007–2012",ПАО «Уралкалий»,VKM-SRC-012,EV-VN-S012-0562,VKM-SRC-012 p104,MONITORING_CAMPAIGN,SKRU2,FIELD,MEDIUM,FACT,,EV-VN-S012-0562
CMP-012,levelling+insar,"Соликамск, линии 1, 5, 6, 17 (СКРУ-1 или СКРУ-2 — не разделено)",2011,2016,интервалы 2011–2016 и 2015–2016,ПНИПУ (InSAR) + маркшейдерская служба (нивелирование),VKM-SRC-002,EV-VN-S002-0063; EV-VN-S002-0032; EV-VN-S002-0033; EV-VN-S002-0034; EV-VN-S002-0035,VKM-SRC-002 p14; VKM-SRC-002 p15,MONITORING_CAMPAIGN,SKRU1_SKRU2,NOT_APPLICABLE; FIELD,HIGH; MEDIUM,FACT,,EV-VN-S002-0063
CMP-013,insar,СКРУ-1 (ряд точки; карта скоростей 2016),2011-05,2016-08,бесснежные сезоны; зимой нет данных,ПНИПУ,VKM-SRC-002,EV-VN-S002-0030; EV-VN-S002-0027,VKM-SRC-002 p14,MONITORING_CAMPAIGN,SKRU1,FIELD,MEDIUM; HIGH,FACT,сенсоры по сезонам не указаны,EV-VN-S002-0030
CMP-014,insar,территория «Сильвинит»/Соликамск (карта СКРУ-1; линия №5),2011-05-03,2011-10,один сезон TerraSAR-X/TanDEM-X,ПНИПУ,VKM-SRC-001,EV-VN-S001-0032; EV-VN-S001-0038; EV-VN-S001-0040; EV-VN-S001-0051,VKM-SRC-001 p11; VKM-SRC-001 p12; VKM-SRC-001 p13; VKM-SRC-001 p16,MONITORING_CAMPAIGN,VKM_REGIONAL; SKRU1,FIELD,HIGH; MEDIUM,FACT,,EV-VN-S001-0032
CMP-015,insar (архив) + levelling,"ВКМКС, реп. 5 линии XXVII (рудник не указан)",2004-06-19,2008-10,архив ~4 года; эпохи нивелирования 2004–2008,ПНИПУ,VKM-SRC-001,EV-VN-S001-0053,VKM-SRC-001 p16,MONITORING_CAMPAIGN,VKM_REGIONAL,FIELD,MEDIUM,FACT,обработка архива позже (публикация 2012),EV-VN-S001-0053
CMP-016,insar,ВКМКС (ОАО «Сильвинит») среди объектов проектов ENVISAT,2008,2010,11–27 циклов на объект,ПНИПУ,VKM-SRC-001,EV-VN-S001-0025,VKM-SRC-001 p9,MONITORING_CAMPAIGN,VKM_REGIONAL,FIELD,HIGH,FACT,,EV-VN-S001-0025
CMP-017,insar,Березники (TerraSAR-X; Sentinel-1B 2020),2020-04-28,2022-10-17,2020: 18 TSX + 13 S1B; 2021: 16 TSX (26.04–08.10); 2022: 17 TSX (24.04–17.10); 11 сут,ИФЗ РАН + ГИ УрО РАН,VKM-SRC-003; VKM-SRC-004,EV-VN-S003-0213; EV-VN-S004-0019; EV-VN-S004-0027; EV-VN-S004-0012,VKM-SRC-003 p54; VKM-SRC-004 p4; VKM-SRC-004 p5; VKM-SRC-004 p2,MONITORING_CAMPAIGN,OTHER_VKM_SITE,FIELD,HIGH,FACT,ранее спутниковый мониторинг прерывался,EV-VN-S003-0213
CMP-018,insar,СКРУ-2 (горный отвод южнее Соликамска),2021-04-26,2022-10-28,"22-сут пары, сезонные суммы 165/176 сут",ИФЗ РАН,VKM-SRC-003,EV-VN-S003-0231; EV-VN-S003-0230; EV-VN-S003-0244,VKM-SRC-003 p63; VKM-SRC-003 p67,MONITORING_CAMPAIGN,SKRU2,FIELD,HIGH,FACT,покрытие СКРУ-1 не указано,EV-VN-S003-0231
CMP-019,levelling,"СКРУ-2, профили у провала",2020-07,2021-07,—,маркшейдерская служба (не названа),VKM-SRC-003,EV-VN-S003-0241; EV-VN-S003-0237,VKM-SRC-003 p67; VKM-SRC-003 p66,MONITORING_CAMPAIGN,SKRU2,FIELD,HIGH; MEDIUM,FACT,,EV-VN-S003-0241
CMP-020,hydrostatic,"Березники, 39 зданий (затопленный БКПРУ-1)",2013 (осень),2022,квазинепрерывно,ИМСС УрО РАН,VKM-SRC-017,EV-VN-S017-0018; EV-VN-S017-0023,VKM-SRC-017 p3; VKM-SRC-017 p4,MONITORING_CAMPAIGN,OTHER_VKM_SITE,FIELD,HIGH,FACT,ряды прерваны сносом/отселением,EV-VN-S017-0018
CMP-021,levelling + underground station,"БКПРУ-4, 1 ЮЗП (реперы 187–197; замерная станция)",2009-06-04,2020-12,нивелирование ~ежегодно 2009–2020; станция 11.2013–12.2020,маркшейдерские подразделения; ГИ УрО РАН,VKM-SRC-034,EV-VN-S034-0012; EV-VN-S034-0032; EV-VN-S034-0015; EV-VN-S034-0016,VKM-SRC-034 p2; VKM-SRC-034 p3,MONITORING_CAMPAIGN,BKPRU4,FIELD,HIGH; MEDIUM,FACT,,EV-VN-S034-0012
CMP-022,levelling,"участок 2 (рудник не назван), репер 98",1990-07-15,2022-10-26,1990; раз в 2 года 2002–2016; ежегодно 2016–2022,маркшейдерские подразделения,VKM-SRC-034,EV-VN-S034-0036; EV-VN-S034-0037,VKM-SRC-034 p4,MONITORING_CAMPAIGN,UNSTATED,FIELD,MEDIUM,FACT,закладка-вмешательство 2019–2020,EV-VN-S034-0036
CMP-023,levelling,"БКПРУ-4, профильная линия 5 (реперы 57–62)",1997-10-15,2017-04-13,опубликованы 2 эпохи,маркшейдерская служба / Уралкалий,VKM-SRC-016,EV-VN-S016-0060; EV-VN-S016-0063,VKM-SRC-016 p7,MONITORING_CAMPAIGN,BKPRU4,FIELD; NOT_APPLICABLE,HIGH,FACT,,EV-VN-S016-0060
CMP-024,levelling+horizontal,"БКПРУ-1, профили 14, 19, 25",≤1988,2002,ежегодные эпохи,маркшейдерская служба БКПРУ-1,VKM-SRC-011,EV-VN-S011-0653; EV-VN-S011-0759,VKM-SRC-011 p35,MONITORING_CAMPAIGN,BKPRU1,FIELD; NOT_APPLICABLE,HIGH,FACT,,EV-VN-S011-0653
CMP-025,seismic monitoring,рудники ВКМ (карта сейсмоопасных зон),1999,2001,отчётный период,ГИ УрО РАН,VKM-SRC-011,EV-VN-S011-0541,VKM-SRC-011 p30,MONITORING_CAMPAIGN,VKM_REGIONAL,NOT_APPLICABLE,HIGH,FACT,,EV-VN-S011-0541
CMP-026,seismic monitoring (product),СКРУ-1 (карта Es «на 2023»),,2023,кумулятивная карта,ГИ УрО РАН,VKM-SRC-023,EV-VN-S023-0302; EV-VN-S023-0303,VKM-SRC-023 p48,MONITORING_CAMPAIGN,SKRU1,NOT_APPLICABLE,HIGH; MEDIUM,FACT,оцифровано в ВКР,EV-VN-S023-0302
CMP-027,gpr/ust,"стволы: БКПРУ-1 №2 (2004), СКРУ-2 №5 (2014), СКРУ-3 №3 (2015–2016)",2004,2016,эпизодически,"Уралкалий, Галургия, ПГНИУ",VKM-SRC-040,EV-VN-S040-0093; EV-VN-S040-0095; EV-VN-S040-0247; EV-VN-S040-0378,VKM-SRC-040 p34; VKM-SRC-040 p108; VKM-SRC-040 p147,MONITORING_CAMPAIGN,BKPRU1; SKRU2; SKRU3,FIELD; NOT_APPLICABLE,HIGH; MEDIUM,FACT,,EV-VN-S040-0093
CMP-028,gpr,"СКРУ-3, целики пластов КС, АБ, КрII, Вс",2016,2016,одна кампания,ВНИИ Галургии/ПГНИУ,VKM-SRC-040,EV-VN-S040-0277; EV-VN-S040-0311,VKM-SRC-040 p119; VKM-SRC-040 p128,MONITORING_CAMPAIGN,SKRU3,FIELD,HIGH,FACT,,EV-VN-S040-0277
CMP-029,gpr,рудники Уралкалия: пилот полноты закладки КрII,2017,,—,ВНИИ Галургии + Уралкалий,VKM-SRC-040,EV-VN-S040-0380,VKM-SRC-040 p147,MONITORING_CAMPAIGN,VKM_REGIONAL,FIELD,MEDIUM,FACT,,EV-VN-S040-0380
CMP-030,gpr,"пилот гипсометрии пластов (рудник не назван), ~8500 пог. м",,<2026-04,даты не указаны,ВНИИ Галургии,VKM-SRC-015,EV-VN-S015-0034; EV-VN-S015-0102,VKM-SRC-015 p6; VKM-SRC-015 p15,MONITORING_CAMPAIGN,VKM_REGIONAL,FIELD; NOT_APPLICABLE,HIGH,FACT,,EV-VN-S015-0034
CMP-031,insar+gnss (аналог),"Старобин, 3-е РУ «Беларуськалий»",2011-09-19,2011-10-27,SAR 19.09–06.10.2011; GPS 23.09 и 27.10.2011,УП «Геоинформационные системы»; «Беларуськалий»,VKM-SRC-009,EV-VN-S009-0012; EV-VN-S009-0029; EV-VN-S009-0033,VKM-SRC-009 p2; VKM-SRC-009 p5; VKM-SRC-009 p7,MONITORING_CAMPAIGN,OTHER_POTASH_SITE,FIELD,HIGH,ANALOGUE,разные временные опоры (13 vs 35 сут),EV-VN-S009-0012
CMP-032,underground station (аналог),"Гремячинский рудник, ГСЗГШ (42 репера, 14 сечений)",2023-01,2025-09,13 циклов,маркшейдерский отдел ЕвроХим-ВолгаКалий,VKM-SRC-024,EV-VN-S024-0207; EV-VN-S024-0210; EV-VN-S024-0463,VKM-SRC-024 p80; VKM-SRC-024 p154,MONITORING_CAMPAIGN,OTHER_POTASH_SITE,NOT_APPLICABLE,HIGH,ANALOGUE,,EV-VN-S024-0207
CMP-033,normative,"Инструкция по наблюдениям за сдвижением ... на калийных рудниках (Сильвинит, Уралкалий)",2004-04-26,,согласование Госгортехнадзора № АС-04-35/336,—,VKM-SRC-034,EV-VN-S034-0052; EV-VN-S034-0047,VKM-SRC-034 p5,NORMATIVE_IN_FORCE,VKM_REGIONAL,NOT_APPLICABLE,HIGH,FACT,,EV-VN-S034-0052
CMP-034,normative,Инструкция по наблюдению за сдвижением ... ПАО «Уралкалий»,2017,,—,ПАО «Уралкалий»,VKM-SRC-012,EV-VN-S012-0642; EV-VN-S012-0686,VKM-SRC-012 p120,NORMATIVE_IN_FORCE,VKM_REGIONAL,NOT_APPLICABLE,HIGH,FACT,,EV-VN-S012-0642
CMP-035,normative,"Указания по защите рудников ... ВКМ (ред. 2014, введены 30.03.2017); ред. 2008; ред. 2022 (Уралкалий)",2008,2022,редакции,ГИ УрО РАН / Уралкалий,VKM-SRC-011; VKM-SRC-031; VKM-SRC-012,EV-VN-S011-0382; EV-VN-S031-0030; EV-VN-S012-0691,VKM-SRC-011 p24; VKM-SRC-031 p4; VKM-SRC-012 p125,NORMATIVE_IN_FORCE,VKM_REGIONAL,NOT_APPLICABLE,HIGH,FACT,,EV-VN-S011-0382
CMP-036,normative,Методическое руководство ... ВКМ (утв. 12.12.1990; печать 1992),1990-12-12,1992-09-22,—,УФ ВНИИГ,VKM-SRC-037,EV-VN-S037-0007; EV-VN-S037-1250,VKM-SRC-037 p236,NORMATIVE_IN_FORCE,VKM_REGIONAL,NOT_APPLICABLE,HIGH,FACT,,EV-VN-S037-0007
CMP-037,normative,Правила осуществления маркшейдерской деятельности (Приказ Ростехнадзора №186),2023-05-19,,—,Ростехнадзор,VKM-SRC-024,EV-VN-S024-0235; EV-VN-S024-0113,VKM-SRC-024 p87; VKM-SRC-024 p49,NORMATIVE_IN_FORCE,GENERAL_METHOD,NOT_APPLICABLE; DESIGN,HIGH,FACT,,EV-VN-S024-0235
CMP-038,research start,ПНИПУ: начало исследований InSAR,2007,,—,ПНИПУ каф. МДГиГИС,VKM-SRC-001,EV-VN-S001-0005,VKM-SRC-001 p3,MONITORING_CAMPAIGN,GENERAL_METHOD,NOT_APPLICABLE,HIGH,FACT,,EV-VN-S001-0005
