scenario_id,latent_world_id,dynamic_mechanism,experiment_role,observation_condition,missingness_mechanism,measurement_error_mechanism,base_seed,latent_seed,generator_seed,numeric_constraint_id,empirical_profile,empirical_period,nominal_interval_years,readable_min_magnitude_mm,reference_upper_mm,reference_floor_mm,structural_shape,temporal_parameters_json,process_motivation,observation_modality,pseudo_transition,numeric_scale_constrained,temporal_law_empirically_identified
V2-W003-O5,V2-W003,uniform,development,state_dependent_ordinary,state_dependent,ordinary_noise,104729,411064619,4156026578,MUS-P1-LEVELING-2015-2016-SIGNED-DISP,1,2015-2016,1,0.000000000,73.500000000,0.000000000,monotone_gradient,"{""base"":0.3310889954236985,""events"":[[0.2452964313005223,0.04886045507886348,0.45],[0.6245180892654746,0.06351859160252253,0.4]],""onset"":0.32871522299541667,""power"":2.1929891855237242,""steepness"":10.836730330629372,""tau"":0.2375161550682951}",BAB-UNIFORM-RATE;constant_velocity_design,synthetic_leveling_proxy,False,True,False
V2-W004-O1,V2-W004,uniform,development,ordinary_independent,independent,ordinary_noise,104729,4258259325,2348670108,MUS-P17-LEVELING-2011-2016-SIGNED-DISP,17,2011-2016,5,68.900000000,177.600000000,0.000000000,broad_bowl,"{""base"":0.4182447413599184,""events"":[[0.29827302446079274,0.04379436377690323,0.45],[0.7531875621176842,0.056932672909974204,0.4]],""onset"":0.3603128316350519,""power"":2.2443030512689917,""steepness"":9.849711361648453,""tau"":0.32774101410855716}",BAB-UNIFORM-RATE;constant_velocity_design,synthetic_leveling_proxy,False,True,False
V2-W004-O2,V2-W004,uniform,development,long_gap_gross,long_gap,gross_error,104729,4258259325,3524293485,MUS-P17-LEVELING-2011-2016-SIGNED-DISP,17,2011-2016,5,68.900000000,177.600000000,0.000000000,broad_bowl,"{""base"":0.4182447413599184,""events"":[[0.29827302446079274,0.04379436377690323,0.45],[0.7531875621176842,0.056932672909974204,0.4]],""onset"":0.3603128316350519,""power"":2.2443030512689917,""steepness"":9.849711361648453,""tau"":0.32774101410855716}",BAB-UNIFORM-RATE;constant_velocity_design,synthetic_leveling_proxy,False,True,False
V2-W004-O3,V2-W004,uniform,development,campaign_failure_systematic,planned_campaign_failure,systematic_shift,104729,4258259325,1892095670,MUS-P17-LEVELING-2011-2016-SIGNED-DISP,17,2011-2016,5,68.900000000,177.600000000,0.000000000,broad_bowl,"{""base"":0.4182447413599184,""events"":[[0.29827302446079274,0.04379436377690323,0.45],[0.7531875621176842,0.056932672909974204,0.4]],""onset"":0.3603128316350519,""power"":2.2443030512689917,""steepness"":9.849711361648453,""tau"":0.32774101410855716}",BAB-UNIFORM-RATE;constant_velocity_design,synthetic_leveling_proxy,True,True,False
V2-W004-O4,V2-W004,uniform,development,reflector_seasonal,seasonal_reflector,thermal_reflector,104729,4258259325,2256407742,MUS-P17-LEVELING-2011-2016-SIGNED-DISP,17,2011-2016,5,68.900000000,177.600000000,0.000000000,broad_bowl,"{""base"":0.4182447413599184,""events"":[[0.29827302446079274,0.04379436377690323,0.45],[0.7531875621176842,0.056932672909974204,0.4]],""onset"":0.3603128316350519,""power"":2.2443030512689917,""steepness"":9.849711361648453,""tau"":0.32774101410855716}",BAB-UNIFORM-RATE;constant_velocity_design,synthetic_reflector_contamination,True,True,False
V2-W004-O5,V2-W004,uniform,development,state_dependent_ordinary,state_dependent,ordinary_noise,104729,4258259325,2370628358,MUS-P17-LEVELING-2011-2016-SIGNED-DISP,17,2011-2016,5,68.900000000,177.600000000,0.000000000,broad_bowl,"{""base"":0.4182447413599184,""events"":[[0.29827302446079274,0.04379436377690323,0.45],[0.7531875621176842,0.056932672909974204,0.4]],""onset"":0.3603128316350519,""power"":2.2443030512689917,""steepness"":9.849711361648453,""tau"":0.32774101410855716}",BAB-UNIFORM-RATE;constant_velocity_design,synthetic_leveling_proxy,False,True,False
V2-W005-O1,V2-W005,uniform,development,ordinary_independent,independent,ordinary_noise,104729,937645912,4213449927,MUS-P17-LEVELING-2015-2016-SIGNED-DISP,17,2015-2016,1,11.000000000,28.100000000,11.000000000,broad_bowl,"{""base"":0.4152560639243882,""events"":[[0.27109265560268103,0.035232332708834,0.45],[0.7422117539915685,0.045802032521484196,0.4]],""onset"":0.4991471539542309,""power"":1.6104844550567268,""steepness"":10.236893667064347,""tau"":0.41650511614654195}",BAB-UNIFORM-RATE;constant_velocity_design,synthetic_leveling_proxy,False,True,False
V2-W005-O2,V2-W005,uniform,development,long_gap_gross,long_gap,gross_error,104729,937645912,3896803197,MUS-P17-LEVELING-2015-2016-SIGNED-DISP,17,2015-2016,1,11.000000000,28.100000000,11.000000000,broad_bowl,"{""base"":0.4152560639243882,""events"":[[0.27109265560268103,0.035232332708834,0.45],[0.7422117539915685,0.045802032521484196,0.4]],""onset"":0.4991471539542309,""power"":1.6104844550567268,""steepness"":10.236893667064347,""tau"":0.41650511614654195}",BAB-UNIFORM-RATE;constant_velocity_design,synthetic_leveling_proxy,False,True,False
V2-W005-O3,V2-W005,uniform,development,campaign_failure_systematic,planned_campaign_failure,systematic_shift,104729,937645912,3708525912,MUS-P17-LEVELING-2015-2016-SIGNED-DISP,17,2015-2016,1,11.000000000,28.100000000,11.000000000,broad_bowl,"{""base"":0.4152560639243882,""events"":[[0.27109265560268103,0.035232332708834,0.45],[0.7422117539915685,0.045802032521484196,0.4]],""onset"":0.4991471539542309,""power"":1.6104844550567268,""steepness"":10.236893667064347,""tau"":0.41650511614654195}",BAB-UNIFORM-RATE;constant_velocity_design,synthetic_leveling_proxy,True,True,False
V2-W005-O4,V2-W005,uniform,development,reflector_seasonal,seasonal_reflector,thermal_reflector,104729,937645912,285156456,MUS-P17-LEVELING-2015-2016-SIGNED-DISP,17,2015-2016,1,11.000000000,28.100000000,11.000000000,broad_bowl,"{""base"":0.4152560639243882,""events"":[[0.27109265560268103,0.035232332708834,0.45],[0.7422117539915685,0.045802032521484196,0.4]],""onset"":0.4991471539542309,""power"":1.6104844550567268,""steepness"":10.236893667064347,""tau"":0.41650511614654195}",BAB-UNIFORM-RATE;constant_velocity_design,synthetic_reflector_contamination,True,True,False
V2-W005-O5,V2-W005,uniform,development,state_dependent_ordinary,state_dependent,ordinary_noise,104729,937645912,2695150820,MUS-P17-LEVELING-2015-2016-SIGNED-DISP,17,2015-2016,1,11.000000000,28.100000000,11.000000000,broad_bowl,"{""base"":0.4152560639243882,""events"":[[0.27109265560268103,0.035232332708834,0.45],[0.7422117539915685,0.045802032521484196,0.4]],""onset"":0.4991471539542309,""power"":1.6104844550567268,""steepness"":10.236893667064347,""tau"":0.41650511614654195}",BAB-UNIFORM-RATE;constant_velocity_design,synthetic_leveling_proxy,False,True,False
V2-W006-O1,V2-W006,uniform,development,ordinary_independent,independent,ordinary_noise,104729,811594334,1539556099,MUS-P5-LEVELING-2011-2016-SIGNED-DISP,5,2011-2016,5,111.200000000,311.800000000,111.200000000,two_lobes,"{""base"":0.2151470448017124,""events"":[[0.2552515861754734,0.06183089138670868,0.45],[0.6885040618922846,0.08038015880272129,0.4]],""onset"":0.4131194021462591,""power"":2.0387563435933824,""steepness"":12.537860438892158,""tau"":0.350620459862005}",BAB-UNIFORM-RATE;constant_velocity_design,synthetic_leveling_proxy,False,True,False
V2-W006-O2,V2-W006,uniform,development,long_gap_gross,long_gap,gross_error,104729,811594334,1850311472,MUS-P5-LEVELING-2011-2016-SIGNED-DISP,5,2011-2016,5,111.200000000,311.800000000,111.200000000,two_lobes,"{""base"":0.2151470448017124,""events"":[[0.2552515861754734,0.06183089138670868,0.45],[0.6885040618922846,0.08038015880272129,0.4]],""onset"":0.4131194021462591,""power"":2.0387563435933824,""steepness"":12.537860438892158,""tau"":0.350620459862005}",BAB-UNIFORM-RATE;constant_velocity_design,synthetic_leveling_proxy,False,True,False
V2-W006-O3,V2-W006,uniform,development,campaign_failure_systematic,planned_campaign_failure,systematic_shift,104729,811594334,1752652800,MUS-P5-LEVELING-2011-2016-SIGNED-DISP,5,2011-2016,5,111.200000000,311.800000000,111.200000000,two_lobes,"{""base"":0.2151470448017124,""events"":[[0.2552515861754734,0.06183089138670868,0.45],[0.6885040618922846,0.08038015880272129,0.4]],""onset"":0.4131194021462591,""power"":2.0387563435933824,""steepness"":12.537860438892158,""tau"":0.350620459862005}",BAB-UNIFORM-RATE;constant_velocity_design,synthetic_leveling_proxy,True,True,False
V2-W006-O4,V2-W006,uniform,development,reflector_seasonal,seasonal_reflector,thermal_reflector,104729,811594334,780219225,MUS-P5-LEVELING-2011-2016-SIGNED-DISP,5,2011-2016,5,111.200000000,311.800000000,111.200000000,two_lobes,"{""base"":0.2151470448017124,""events"":[[0.2552515861754734,0.06183089138670868,0.45],[0.6885040618922846,0.08038015880272129,0.4]],""onset"":0.4131194021462591,""power"":2.0387563435933824,""steepness"":12.537860438892158,""tau"":0.350620459862005}",BAB-UNIFORM-RATE;constant_velocity_design,synthetic_reflector_contamination,True,True,False
V2-W006-O5,V2-W006,uniform,development,state_dependent_ordinary,state_dependent,ordinary_noise,104729,811594334,3577862950,MUS-P5-LEVELING-2011-2016-SIGNED-DISP,5,2011-2016,5,111.200000000,311.800000000,111.200000000,two_lobes,"{""base"":0.2151470448017124,""events"":[[0.2552515861754734,0.06183089138670868,0.45],[0.6885040618922846,0.08038015880272129,0.4]],""onset"":0.4131194021462591,""power"":2.0387563435933824,""steepness"":12.537860438892158,""tau"":0.350620459862005}",BAB-UNIFORM-RATE;constant_velocity_design,synthetic_leveling_proxy,False,True,False
V2-W007-O1,V2-W007,uniform,development,ordinary_independent,independent,ordinary_noise,104729,290309684,3261990218,MUS-P5-LEVELING-2015-2016-SIGNED-DISP,5,2015-2016,1,12.600000000,59.000000000,12.600000000,two_lobes,"{""base"":0.20427931139115008,""events"":[[0.3234850774505792,0.044730758520532585,0.45],[0.7426919259402629,0.05814998607669236,0.4]],""onset"":0.6797433366157549,""power"":2.096318335594508,""steepness"":7.559440175616497,""tau"":0.3958887239385604}",BAB-UNIFORM-RATE;constant_velocity_design,synthetic_leveling_proxy,False,True,False
V2-W007-O2,V2-W007,uniform,development,long_gap_gross,long_gap,gross_error,104729,290309684,3322768133,MUS-P5-LEVELING-2015-2016-SIGNED-DISP,5,2015-2016,1,12.600000000,59.000000000,12.600000000,two_lobes,"{""base"":0.20427931139115008,""events"":[[0.3234850774505792,0.044730758520532585,0.45],[0.7426919259402629,0.05814998607669236,0.4]],""onset"":0.6797433366157549,""power"":2.096318335594508,""steepness"":7.559440175616497,""tau"":0.3958887239385604}",BAB-UNIFORM-RATE;constant_velocity_design,synthetic_leveling_proxy,False,True,False
V2-W007-O3,V2-W007,uniform,development,campaign_failure_systematic,planned_campaign_failure,systematic_shift,104729,290309684,3319826574,MUS-P5-LEVELING-2015-2016-SIGNED-DISP,5,2015-2016,1,12.600000000,59.000000000,12.600000000,two_lobes,"{""base"":0.20427931139115008,""events"":[[0.3234850774505792,0.044730758520532585,0.45],[0.7426919259402629,0.05814998607669236,0.4]],""onset"":0.6797433366157549,""power"":2.096318335594508,""steepness"":7.559440175616497,""tau"":0.3958887239385604}",BAB-UNIFORM-RATE;constant_velocity_design,synthetic_leveling_proxy,True,True,False
V2-W007-O4,V2-W007,uniform,development,reflector_seasonal,seasonal_reflector,thermal_reflector,104729,290309684,3302507615,MUS-P5-LEVELING-2015-2016-SIGNED-DISP,5,2015-2016,1,12.600000000,59.000000000,12.600000000,two_lobes,"{""base"":0.20427931139115008,""events"":[[0.3234850774505792,0.044730758520532585,0.45],[0.7426919259402629,0.05814998607669236,0.4]],""onset"":0.6797433366157549,""power"":2.096318335594508,""steepness"":7.559440175616497,""tau"":0.3958887239385604}",BAB-UNIFORM-RATE;constant_velocity_design,synthetic_reflector_contamination,True,True,False
V2-W007-O5,V2-W007,uniform,development,state_dependent_ordinary,state_dependent,ordinary_noise,104729,290309684,3509412336,MUS-P5-LEVELING-2015-2016-SIGNED-DISP,5,2015-2016,1,12.600000000,59.000000000,12.600000000,two_lobes,"{""base"":0.20427931139115008,""events"":[[0.3234850774505792,0.044730758520532585,0.45],[0.7426919259402629,0.05814998607669236,0.4]],""onset"":0.6797433366157549,""power"":2.096318335594508,""steepness"":7.559440175616497,""tau"":0.3958887239385604}",BAB-UNIFORM-RATE;constant_velocity_design,synthetic_leveling_proxy,False,True,False
V2-W008-O1,V2-W008,uniform,development,ordinary_independent,independent,ordinary_noise,104729,4241318720,1595426440,MUS-P6-LEVELING-2015-2016-SIGNED-DISP,6,2015-2016,1,0.000000000,49.100000000,0.000000000,localized_bowl,"{""base"":0.4726165558616521,""events"":[[0.32081103164628466,0.06903422457043626,0.45],[0.6482629072029028,0.08974449194156714,0.4]],""onset"":0.35593963650515215,""power"":2.2504893164796913,""steepness"":12.753299472514605,""tau"":0.3734903641749853}",BAB-UNIFORM-RATE;constant_velocity_design,synthetic_leveling_proxy,False,True,False
V2-W008-O2,V2-W008,uniform,development,long_gap_gross,long_gap,gross_error,104729,4241318720,2199759528,MUS-P6-LEVELING-2015-2016-SIGNED-DISP,6,2015-2016,1,0.000000000,49.100000000,0.000000000,localized_bowl,"{""base"":0.4726165558616521,""events"":[[0.32081103164628466,0.06903422457043626,0.45],[0.6482629072029028,0.08974449194156714,0.4]],""onset"":0.35593963650515215,""power"":2.2504893164796913,""steepness"":12.753299472514605,""tau"":0.3734903641749853}",BAB-UNIFORM-RATE;constant_velocity_design,synthetic_leveling_proxy,False,True,False
V2-W008-O3,V2-W008,uniform,development,campaign_failure_systematic,planned_campaign_failure,systematic_shift,104729,4241318720,899870286,MUS-P6-LEVELING-2015-2016-SIGNED-DISP,6,2015-2016,1,0.000000000,49.100000000,0.000000000,localized_bowl,"{""base"":0.4726165558616521,""events"":[[0.32081103164628466,0.06903422457043626,0.45],[0.6482629072029028,0.08974449194156714,0.4]],""onset"":0.35593963650515215,""power"":2.2504893164796913,""steepness"":12.753299472514605,""tau"":0.3734903641749853}",BAB-UNIFORM-RATE;constant_velocity_design,synthetic_leveling_proxy,True,True,False
V2-W008-O4,V2-W008,uniform,development,reflector_seasonal,seasonal_reflector,thermal_reflector,104729,4241318720,2448309649,MUS-P6-LEVELING-2015-2016-SIGNED-DISP,6,2015-2016,1,0.000000000,49.100000000,0.000000000,localized_bowl,"{""base"":0.4726165558616521,""events"":[[0.32081103164628466,0.06903422457043626,0.45],[0.6482629072029028,0.08974449194156714,0.4]],""onset"":0.35593963650515215,""power"":2.2504893164796913,""steepness"":12.753299472514605,""tau"":0.3734903641749853}",BAB-UNIFORM-RATE;constant_velocity_design,synthetic_reflector_contamination,True,True,False
V2-W008-O5,V2-W008,uniform,development,state_dependent_ordinary,state_dependent,ordinary_noise,104729,4241318720,1997111796,MUS-P6-LEVELING-2015-2016-SIGNED-DISP,6,2015-2016,1,0.000000000,49.100000000,0.000000000,localized_bowl,"{""base"":0.4726165558616521,""events"":[[0.32081103164628466,0.06903422457043626,0.45],[0.6482629072029028,0.08974449194156714,0.4]],""onset"":0.35593963650515215,""power"":2.2504893164796913,""steepness"":12.753299472514605,""tau"":0.3734903641749853}",BAB-UNIFORM-RATE;constant_velocity_design,synthetic_leveling_proxy,False,True,False
V2-W009-O1,V2-W009,exponential_decay,development,ordinary_independent,independent,ordinary_noise,104729,2987533676,3966857684,MUS-P1-LEVELING-2011-2016-SIGNED-DISP,1,2011-2016,5,76.400000000,364.300000000,0.000000000,monotone_gradient,"{""base"":0.49946280474922145,""events"":[[0.31340595591647397,0.037698785725168375,0.45],[0.6388671062764144,0.04900842144271889,0.4]],""onset"":0.42570052709077255,""power"":2.5437716600045017,""steepness"":7.633428699128878,""tau"":0.12034411801684193}",source_reports_stabilization;exponential_law_is_engineering_stress,synthetic_leveling_proxy,False,True,False
V2-W009-O2,V2-W009,exponential_decay,development,long_gap_gross,long_gap,gross_error,104729,2987533676,1007703026,MUS-P1-LEVELING-2011-2016-SIGNED-DISP,1,2011-2016,5,76.400000000,364.300000000,0.000000000,monotone_gradient,"{""base"":0.49946280474922145,""events"":[[0.31340595591647397,0.037698785725168375,0.45],[0.6388671062764144,0.04900842144271889,0.4]],""onset"":0.42570052709077255,""power"":2.5437716600045017,""steepness"":7.633428699128878,""tau"":0.12034411801684193}",source_reports_stabilization;exponential_law_is_engineering_stress,synthetic_leveling_proxy,False,True,False
V2-W009-O3,V2-W009,exponential_decay,development,campaign_failure_systematic,planned_campaign_failure,systematic_shift,104729,2987533676,2905422109,MUS-P1-LEVELING-2011-2016-SIGNED-DISP,1,2011-2016,5,76.400000000,364.300000000,0.000000000,monotone_gradient,"{""base"":0.49946280474922145,""events"":[[0.31340595591647397,0.037698785725168375,0.45],[0.6388671062764144,0.04900842144271889,0.4]],""onset"":0.42570052709077255,""power"":2.5437716600045017,""steepness"":7.633428699128878,""tau"":0.12034411801684193}",source_reports_stabilization;exponential_law_is_engineering_stress,synthetic_leveling_proxy,False,True,False
V2-W009-O4,V2-W009,exponential_decay,development,reflector_seasonal,seasonal_reflector,thermal_reflector,104729,2987533676,3791038039,MUS-P1-LEVELING-2011-2016-SIGNED-DISP,1,2011-2016,5,76.400000000,364.300000000,0.000000000,monotone_gradient,"{""base"":0.49946280474922145,""events"":[[0.31340595591647397,0.037698785725168375,0.45],[0.6388671062764144,0.04900842144271889,0.4]],""onset"":0.42570052709077255,""power"":2.5437716600045017,""steepness"":7.633428699128878,""tau"":0.12034411801684193}",source_reports_stabilization;exponential_law_is_engineering_stress,synthetic_reflector_contamination,False,True,False
V2-W009-O5,V2-W009,exponential_decay,development,state_dependent_ordinary,state_dependent,ordinary_noise,104729,2987533676,2732080382,MUS-P1-LEVELING-2011-2016-SIGNED-DISP,1,2011-2016,5,76.400000000,364.300000000,0.000000000,monotone_gradient,"{""base"":0.49946280474922145,""events"":[[0.31340595591647397,0.037698785725168375,0.45],[0.6388671062764144,0.04900842144271889,0.4]],""onset"":0.42570052709077255,""power"":2.5437716600045017,""steepness"":7.633428699128878,""tau"":0.12034411801684193}",source_reports_stabilization;exponential_law_is_engineering_stress,synthetic_leveling_proxy,False,True,False
V2-W010-O1,V2-W010,exponential_decay,development,ordinary_independent,independent,ordinary_noise,104729,2486014221,2351190787,MUS-P1-LEVELING-2015-2016-SIGNED-DISP,1,2015-2016,1,0.000000000,73.500000000,0.000000000,monotone_gradient,"{""base"":0.22240178400387178,""events"":[[0.25759090381634697,0.044559210046624505,0.45],[0.7698381131580897,0.057926973060611855,0.4]],""onset"":0.677355706440219,""power"":2.590210090714722,""steepness"":8.679562112060367,""tau"":0.4742035090917514}",source_reports_stabilization;exponential_law_is_engineering_stress,synthetic_leveling_proxy,False,True,False
V2-W010-O2,V2-W010,exponential_decay,development,long_gap_gross,long_gap,gross_error,104729,2486014221,2367452178,MUS-P1-LEVELING-2015-2016-SIGNED-DISP,1,2015-2016,1,0.000000000,73.500000000,0.000000000,monotone_gradient,"{""base"":0.22240178400387178,""events"":[[0.25759090381634697,0.044559210046624505,0.45],[0.7698381131580897,0.057926973060611855,0.4]],""onset"":0.677355706440219,""power"":2.590210090714722,""steepness"":8.679562112060367,""tau"":0.4742035090917514}",source_reports_stabilization;exponential_law_is_engineering_stress,synthetic_leveling_proxy,False,True,False
V2-W010-O3,V2-W010,exponential_decay,development,campaign_failure_systematic,planned_campaign_failure,systematic_shift,104729,2486014221,2190636157,MUS-P1-LEVELING-2015-2016-SIGNED-DISP,1,2015-2016,1,0.000000000,73.500000000,0.000000000,monotone_gradient,"{""base"":0.22240178400387178,""events"":[[0.25759090381634697,0.044559210046624505,0.45],[0.7698381131580897,0.057926973060611855,0.4]],""onset"":0.677355706440219,""power"":2.590210090714722,""steepness"":8.679562112060367,""tau"":0.4742035090917514}",source_reports_stabilization;exponential_law_is_engineering_stress,synthetic_leveling_proxy,False,True,False
