sample_id,point_id,profile_id,zone_id,current_campaign_id,current_date,target_campaign_id,target_date,history_length_raw,history_length_used,max_sequence_length,padding_count,truncated,observation_ids_json,observation_dates_json,delta_t_days_json,padding_mask_json,missing_campaign_mask_json,missing_campaign_counts_json,actual_history_end_date,future_observation_count,target_observation_present,past_only_proof,sequence_sha256,fold_provenance_relation,outer_assignment_source,inner_assignment_source,held_group_metadata_only
P-H03-W007::C003::C005,P-H03-W007,P-H03,GEO_SE,C003,2018-10-16,C005,2019-05-14,3,3,16,13,False,"[""P-H03-W007::C001"",""P-H03-W007::C002"",""P-H03-W007::C003""]","[""2018-05-15"",""2018-07-10"",""2018-10-16""]","[0,56,98]","[1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",2018-10-16,0,False,True,c781e1540a4589cf0e983df754cb64d26bcae9dd57aa78bddde4b3de49236f61,normalized_hash_join_by_sample_id,artifacts/splits/t1_train_benchmark_v1/outer_assignments.csv,artifacts/splits/t1_train_benchmark_v1/inner_assignments.csv,True
P-H02-W001::C004::C005,P-H02-W001,P-H02,GEO_SW,C004,2019-02-12,C005,2019-05-14,3,3,16,13,False,"[""P-H02-W001::C001"",""P-H02-W001::C003"",""P-H02-W001::C004""]","[""2018-05-15"",""2018-10-16"",""2019-02-12""]","[0,154,119]","[1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0]",2019-02-12,0,False,True,9c86c38aec4006b185842a5b01bffc9c51678b30d33c40c5d1fcf65da0ec589f,normalized_hash_join_by_sample_id,artifacts/splits/t1_train_benchmark_v1/outer_assignments.csv,artifacts/splits/t1_train_benchmark_v1/inner_assignments.csv,True
P-H02-W002::C004::C005,P-H02-W002,P-H02,GEO_SW,C004,2019-02-12,C005,2019-05-14,3,3,16,13,False,"[""P-H02-W002::C001"",""P-H02-W002::C003"",""P-H02-W002::C004""]","[""2018-05-15"",""2018-10-16"",""2019-02-12""]","[0,154,119]","[1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0]",2019-02-12,0,False,True,c84cc1c19151058ab2a305f3f177549b1db7cd525ffa84e21558a6a1f7afe37d,normalized_hash_join_by_sample_id,artifacts/splits/t1_train_benchmark_v1/outer_assignments.csv,artifacts/splits/t1_train_benchmark_v1/inner_assignments.csv,True
P-H02-W004::C004::C005,P-H02-W004,P-H02,GEO_SW,C004,2019-02-12,C005,2019-05-14,3,3,16,13,False,"[""P-H02-W004::C001"",""P-H02-W004::C003"",""P-H02-W004::C004""]","[""2018-05-15"",""2018-10-16"",""2019-02-12""]","[0,154,119]","[1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0]",2019-02-12,0,False,True,3a518c3064a831a6a2ab2d00b5b2fb2a5200f303bb2fd767dd5a3dfe2ca59558,normalized_hash_join_by_sample_id,artifacts/splits/t1_train_benchmark_v1/outer_assignments.csv,artifacts/splits/t1_train_benchmark_v1/inner_assignments.csv,True
P-H02-W005::C004::C005,P-H02-W005,P-H02,GEO_SW,C004,2019-02-12,C005,2019-05-14,3,3,16,13,False,"[""P-H02-W005::C001"",""P-H02-W005::C003"",""P-H02-W005::C004""]","[""2018-05-15"",""2018-10-16"",""2019-02-12""]","[0,154,119]","[1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0]",2019-02-12,0,False,True,35a16376bbe25361b6ac58206df9b6ab8a633a8b44e77a23be28e773a71853f1,normalized_hash_join_by_sample_id,artifacts/splits/t1_train_benchmark_v1/outer_assignments.csv,artifacts/splits/t1_train_benchmark_v1/inner_assignments.csv,True
P-V01-W001::C004::C005,P-V01-W001,P-V01,GEO_SW,C004,2019-02-12,C005,2019-05-14,4,4,16,12,False,"[""P-V01-W001::C001"",""P-V01-W001::C002"",""P-V01-W001::C003"",""P-V01-W001::C004""]","[""2018-05-15"",""2018-07-10"",""2018-10-16"",""2019-02-12""]","[0,56,98,119]","[1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",2019-02-12,0,False,True,9b06d63b1a91e81de4e843026ccea82e34754bcfa4e12bf4622b87d4984da9c0,normalized_hash_join_by_sample_id,artifacts/splits/t1_train_benchmark_v1/outer_assignments.csv,artifacts/splits/t1_train_benchmark_v1/inner_assignments.csv,True
P-V01-W002::C004::C005,P-V01-W002,P-V01,GEO_SW,C004,2019-02-12,C005,2019-05-14,3,3,16,13,False,"[""P-V01-W002::C001"",""P-V01-W002::C002"",""P-V01-W002::C004""]","[""2018-05-15"",""2018-07-10"",""2019-02-12""]","[0,56,217]","[1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1]",2019-02-12,0,False,True,c2fcaca430c405ec7d581f70c790fd955599fadadfc8f8cb299e6aee022072dc,normalized_hash_join_by_sample_id,artifacts/splits/t1_train_benchmark_v1/outer_assignments.csv,artifacts/splits/t1_train_benchmark_v1/inner_assignments.csv,True
P-V01-W003::C004::C005,P-V01-W003,P-V01,GEO_SW,C004,2019-02-12,C005,2019-05-14,4,4,16,12,False,"[""P-V01-W003::C001"",""P-V01-W003::C002"",""P-V01-W003::C003"",""P-V01-W003::C004""]","[""2018-05-15"",""2018-07-10"",""2018-10-16"",""2019-02-12""]","[0,56,98,119]","[1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",2019-02-12,0,False,True,537458f34806781049b46f9ff894adf6bb93acb319cb341c1a0a07d377d74f7b,normalized_hash_join_by_sample_id,artifacts/splits/t1_train_benchmark_v1/outer_assignments.csv,artifacts/splits/t1_train_benchmark_v1/inner_assignments.csv,True
P-V01-W004::C004::C005,P-V01-W004,P-V01,GEO_SW,C004,2019-02-12,C005,2019-05-14,4,4,16,12,False,"[""P-V01-W004::C001"",""P-V01-W004::C002"",""P-V01-W004::C003"",""P-V01-W004::C004""]","[""2018-05-15"",""2018-07-10"",""2018-10-16"",""2019-02-12""]","[0,56,98,119]","[1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",2019-02-12,0,False,True,a71e45a7889adf823c5621c26631e55c09085f4fb7288fc19a094bb8c209cccc,normalized_hash_join_by_sample_id,artifacts/splits/t1_train_benchmark_v1/outer_assignments.csv,artifacts/splits/t1_train_benchmark_v1/inner_assignments.csv,True
P-V01-W007::C004::C005,P-V01-W007,P-V01,GEO_SW,C004,2019-02-12,C005,2019-05-14,4,4,16,12,False,"[""P-V01-W007::C001"",""P-V01-W007::C002"",""P-V01-W007::C003"",""P-V01-W007::C004""]","[""2018-05-15"",""2018-07-10"",""2018-10-16"",""2019-02-12""]","[0,56,98,119]","[1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",2019-02-12,0,False,True,f5e5a13d0263c529d59dfad4dbfd267c426317b2d8718d0715f5a84aa133079e,normalized_hash_join_by_sample_id,artifacts/splits/t1_train_benchmark_v1/outer_assignments.csv,artifacts/splits/t1_train_benchmark_v1/inner_assignments.csv,True
P-H03-W001::C005::C006,P-H03-W001,P-H03,GEO_SE,C005,2019-05-14,C006,2019-08-27,4,4,16,12,False,"[""P-H03-W001::C001"",""P-H03-W001::C002"",""P-H03-W001::C003"",""P-H03-W001::C005""]","[""2018-05-15"",""2018-07-10"",""2018-10-16"",""2019-05-14""]","[0,56,98,210]","[1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1]",2019-05-14,0,False,True,37884e1a58e93ff337d685620f52a8f4177f95af3c3338bc01568057d0e59ae3,normalized_hash_join_by_sample_id,artifacts/splits/t1_train_benchmark_v1/outer_assignments.csv,artifacts/splits/t1_train_benchmark_v1/inner_assignments.csv,True
P-H03-W002::C005::C006,P-H03-W002,P-H03,GEO_SE,C005,2019-05-14,C006,2019-08-27,4,4,16,12,False,"[""P-H03-W002::C001"",""P-H03-W002::C002"",""P-H03-W002::C003"",""P-H03-W002::C005""]","[""2018-05-15"",""2018-07-10"",""2018-10-16"",""2019-05-14""]","[0,56,98,210]","[1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1]",2019-05-14,0,False,True,35cc1816613bdbf5790011840712df7d428cb54f23b7004fc2d723356eb985a3,normalized_hash_join_by_sample_id,artifacts/splits/t1_train_benchmark_v1/outer_assignments.csv,artifacts/splits/t1_train_benchmark_v1/inner_assignments.csv,True
P-H03-W003::C005::C006,P-H03-W003,P-H03,GEO_SE,C005,2019-05-14,C006,2019-08-27,4,4,16,12,False,"[""P-H03-W003::C001"",""P-H03-W003::C002"",""P-H03-W003::C003"",""P-H03-W003::C005""]","[""2018-05-15"",""2018-07-10"",""2018-10-16"",""2019-05-14""]","[0,56,98,210]","[1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1]",2019-05-14,0,False,True,b1bfcc85144b6ad64ff503e2ae3bf57c4bc09727b1bb228f4bedb91b5f167c9a,normalized_hash_join_by_sample_id,artifacts/splits/t1_train_benchmark_v1/outer_assignments.csv,artifacts/splits/t1_train_benchmark_v1/inner_assignments.csv,True
P-H03-W004::C005::C006,P-H03-W004,P-H03,GEO_SE,C005,2019-05-14,C006,2019-08-27,4,4,16,12,False,"[""P-H03-W004::C001"",""P-H03-W004::C002"",""P-H03-W004::C003"",""P-H03-W004::C005""]","[""2018-05-15"",""2018-07-10"",""2018-10-16"",""2019-05-14""]","[0,56,98,210]","[1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1]",2019-05-14,0,False,True,da31077fbe336a9f82ee82cfda89442bedf16b297701934327b0cf0706737a95,normalized_hash_join_by_sample_id,artifacts/splits/t1_train_benchmark_v1/outer_assignments.csv,artifacts/splits/t1_train_benchmark_v1/inner_assignments.csv,True
P-H03-W005::C005::C006,P-H03-W005,P-H03,GEO_SE,C005,2019-05-14,C006,2019-08-27,4,4,16,12,False,"[""P-H03-W005::C001"",""P-H03-W005::C002"",""P-H03-W005::C003"",""P-H03-W005::C005""]","[""2018-05-15"",""2018-07-10"",""2018-10-16"",""2019-05-14""]","[0,56,98,210]","[1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1]",2019-05-14,0,False,True,5febecfbcf0403e4b2465b8565d6f3217fe6e759e72ea454a45c6098418c8340,normalized_hash_join_by_sample_id,artifacts/splits/t1_train_benchmark_v1/outer_assignments.csv,artifacts/splits/t1_train_benchmark_v1/inner_assignments.csv,True
P-H03-W006::C005::C006,P-H03-W006,P-H03,GEO_SE,C005,2019-05-14,C006,2019-08-27,4,4,16,12,False,"[""P-H03-W006::C001"",""P-H03-W006::C002"",""P-H03-W006::C003"",""P-H03-W006::C005""]","[""2018-05-15"",""2018-07-10"",""2018-10-16"",""2019-05-14""]","[0,56,98,210]","[1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1]",2019-05-14,0,False,True,048dd085e883d144d79884aa54b8cbb89098c7594a72ac11b7d884a37e90d195,normalized_hash_join_by_sample_id,artifacts/splits/t1_train_benchmark_v1/outer_assignments.csv,artifacts/splits/t1_train_benchmark_v1/inner_assignments.csv,True
P-H03-W007::C005::C006,P-H03-W007,P-H03,GEO_SE,C005,2019-05-14,C006,2019-08-27,4,4,16,12,False,"[""P-H03-W007::C001"",""P-H03-W007::C002"",""P-H03-W007::C003"",""P-H03-W007::C005""]","[""2018-05-15"",""2018-07-10"",""2018-10-16"",""2019-05-14""]","[0,56,98,210]","[1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1]",2019-05-14,0,False,True,e7fc41ccd6d132013d2246daf39d945a4c7b2de20f2af3b84f2d0f8f2a347e5f,normalized_hash_join_by_sample_id,artifacts/splits/t1_train_benchmark_v1/outer_assignments.csv,artifacts/splits/t1_train_benchmark_v1/inner_assignments.csv,True
P-V02-W001::C005::C006,P-V02-W001,P-V02,GEO_SW,C005,2019-05-14,C006,2019-08-27,3,3,16,13,False,"[""P-V02-W001::C001"",""P-V02-W001::C003"",""P-V02-W001::C005""]","[""2018-05-15"",""2018-10-16"",""2019-05-14""]","[0,154,210]","[1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1]",2019-05-14,0,False,True,c1f95eecad5b6610fd199b527ab269364d4c85ca036ea08e46583d765bb8de6b,normalized_hash_join_by_sample_id,artifacts/splits/t1_train_benchmark_v1/outer_assignments.csv,artifacts/splits/t1_train_benchmark_v1/inner_assignments.csv,True
P-V02-W002::C005::C006,P-V02-W002,P-V02,GEO_SW,C005,2019-05-14,C006,2019-08-27,3,3,16,13,False,"[""P-V02-W002::C001"",""P-V02-W002::C003"",""P-V02-W002::C005""]","[""2018-05-15"",""2018-10-16"",""2019-05-14""]","[0,154,210]","[1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1]",2019-05-14,0,False,True,3ac88919d5fdc424898669fe5acfc16ec1bbeb72c27306638c5313710c206e41,normalized_hash_join_by_sample_id,artifacts/splits/t1_train_benchmark_v1/outer_assignments.csv,artifacts/splits/t1_train_benchmark_v1/inner_assignments.csv,True
P-V02-W003::C005::C006,P-V02-W003,P-V02,GEO_NW,C005,2019-05-14,C006,2019-08-27,3,3,16,13,False,"[""P-V02-W003::C001"",""P-V02-W003::C003"",""P-V02-W003::C005""]","[""2018-05-15"",""2018-10-16"",""2019-05-14""]","[0,154,210]","[1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1]",2019-05-14,0,False,True,583fdda4d7875fff8f89ef6f755ff239e707c0f6bf6b84f28bd308818294abd4,normalized_hash_join_by_sample_id,artifacts/splits/t1_train_benchmark_v1/outer_assignments.csv,artifacts/splits/t1_train_benchmark_v1/inner_assignments.csv,True
P-V02-W004::C005::C006,P-V02-W004,P-V02,GEO_NW,C005,2019-05-14,C006,2019-08-27,3,3,16,13,False,"[""P-V02-W004::C001"",""P-V02-W004::C003"",""P-V02-W004::C005""]","[""2018-05-15"",""2018-10-16"",""2019-05-14""]","[0,154,210]","[1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1]",2019-05-14,0,False,True,ff9b8976ca03ea7f53d1b8db8dc7d716de800635d5bd2b5497f6a47f4070e0ef,normalized_hash_join_by_sample_id,artifacts/splits/t1_train_benchmark_v1/outer_assignments.csv,artifacts/splits/t1_train_benchmark_v1/inner_assignments.csv,True
P-V02-W005::C005::C006,P-V02-W005,P-V02,GEO_NW,C005,2019-05-14,C006,2019-08-27,3,3,16,13,False,"[""P-V02-W005::C001"",""P-V02-W005::C003"",""P-V02-W005::C005""]","[""2018-05-15"",""2018-10-16"",""2019-05-14""]","[0,154,210]","[1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1]",2019-05-14,0,False,True,0788bee92df35e40f49d44b0d325a69e3fc3b6f277ca567db87f01e0c2533111,normalized_hash_join_by_sample_id,artifacts/splits/t1_train_benchmark_v1/outer_assignments.csv,artifacts/splits/t1_train_benchmark_v1/inner_assignments.csv,True
P-V02-W006::C005::C006,P-V02-W006,P-V02,GEO_NW,C005,2019-05-14,C006,2019-08-27,3,3,16,13,False,"[""P-V02-W006::C001"",""P-V02-W006::C003"",""P-V02-W006::C005""]","[""2018-05-15"",""2018-10-16"",""2019-05-14""]","[0,154,210]","[1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1]",2019-05-14,0,False,True,0150f866aeb2942394813d8bba94cdd5ca266f6bcdc2218c44921073d3489db3,normalized_hash_join_by_sample_id,artifacts/splits/t1_train_benchmark_v1/outer_assignments.csv,artifacts/splits/t1_train_benchmark_v1/inner_assignments.csv,True
P-V02-W007::C005::C006,P-V02-W007,P-V02,GEO_NW,C005,2019-05-14,C006,2019-08-27,3,3,16,13,False,"[""P-V02-W007::C001"",""P-V02-W007::C003"",""P-V02-W007::C005""]","[""2018-05-15"",""2018-10-16"",""2019-05-14""]","[0,154,210]","[1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1]",2019-05-14,0,False,True,c33e9f61813d99998a948ec73a0191285e29af8c09248a1510d42f4f5245b6e9,normalized_hash_join_by_sample_id,artifacts/splits/t1_train_benchmark_v1/outer_assignments.csv,artifacts/splits/t1_train_benchmark_v1/inner_assignments.csv,True
