acquisition_id,date,insar_point_id,true_vertical_settlement_relative_mm,true_east_displacement_relative_mm,true_LOS_relative_mm,use_class
TSX-2020-16,2020-10-10,PS-00002,4.888568293,-0.02879363845,-3.971859304,evaluation_only
TSX-2020-17,2020-10-21,PS-00002,5.252965767,-0.03093993742,-4.267924615,evaluation_only
TSX-2020-18,2020-11-01,PS-00002,5.626143718,-0.03313795336,-4.571123881,evaluation_only
TSX-2021-01,2021-04-26,PS-00002,14.1939326,-0.08360217943,-11.53227282,evaluation_only
TSX-2021-02,2021-05-07,PS-00002,14.9013657,-0.08776895619,-12.10704739,evaluation_only
TSX-2021-03,2021-05-18,PS-00002,15.63651712,-0.0920989937,-12.70434251,evaluation_only
TSX-2021-04,2021-05-29,PS-00002,16.39874257,-0.09658849711,-13.32363472,evaluation_only
TSX-2021-05,2021-06-09,PS-00002,17.23450659,-0.1015111423,-14.00267547,evaluation_only
TSX-2021-06,2021-06-20,PS-00002,18.14334783,-0.1068642119,-14.74108994,evaluation_only
TSX-2021-07,2021-07-01,PS-00002,19.07839212,-0.1123716172,-15.50079383,evaluation_only
TSX-2021-08,2021-07-12,PS-00002,20.03881168,-0.1180284827,-16.2811146,evaluation_only
TSX-2021-09,2021-07-23,PS-00002,21.02312425,-0.123826078,-17.08084794,evaluation_only
TSX-2021-10,2021-08-03,PS-00002,22.02968456,-0.1297547123,-17.89865709,evaluation_only
TSX-2021-11,2021-08-14,PS-00002,23.05736489,-0.1358077434,-18.73362583,evaluation_only
TSX-2021-12,2021-08-25,PS-00002,24.10554928,-0.1419815433,-19.58525369,evaluation_only
TSX-2021-13,2021-09-05,PS-00002,25.17249139,-0.148265826,-20.45212179,evaluation_only
TSX-2021-14,2021-09-16,PS-00002,26.2569377,-0.1546532084,-21.33321169,evaluation_only
TSX-2021-15,2021-09-27,PS-00002,27.35811398,-0.1611391302,-22.22789435,evaluation_only
TSX-2021-16,2021-10-08,PS-00002,28.47504555,-0.1677178506,-23.13537784,evaluation_only
TSX-2020-01,2020-04-28,PS-00003,0,0,0,evaluation_only
TSX-2020-02,2020-05-09,PS-00003,0.2050674358,-0.01595778733,-0.1752827926,evaluation_only
TSX-2020-03,2020-05-20,PS-00003,0.4087796954,-0.03181011855,-0.3494072391,evaluation_only
TSX-2020-04,2020-05-31,PS-00003,0.6112294652,-0.04756420626,-0.5224525638,evaluation_only
TSX-2020-05,2020-06-11,PS-00003,0.8125074677,-0.06322711026,-0.6944963124,evaluation_only
TSX-2020-06,2020-06-22,PS-00003,1.012728637,-0.07880777438,-0.8656367256,evaluation_only
TSX-2020-07,2020-07-03,PS-00003,1.212053175,-0.09431866509,-1.036010737,evaluation_only
TSX-2020-08,2020-07-14,PS-00003,1.410620456,-0.1097706282,-1.205737478,evaluation_only
TSX-2020-09,2020-07-25,PS-00003,1.608564278,-0.1251740753,-1.374931313,evaluation_only
TSX-2020-10,2020-08-05,PS-00003,1.806014803,-0.1405391355,-1.543703499,evaluation_only
TSX-2020-11,2020-08-16,PS-00003,2.003146074,-0.1558793522,-1.712202801,evaluation_only
TSX-2020-12,2020-08-27,PS-00003,2.200181319,-0.1712120963,-1.880620023,evaluation_only
TSX-2020-13,2020-09-07,PS-00003,2.397286052,-0.1865502479,-2.049096641,evaluation_only
TSX-2020-14,2020-09-18,PS-00003,2.594686846,-0.2019114381,-2.217826319,evaluation_only
TSX-2020-15,2020-09-29,PS-00003,2.792678265,-0.2173185891,-2.387060838,evaluation_only
TSX-2020-16,2020-10-10,PS-00003,2.991588101,-0.2327972089,-2.55708038,evaluation_only
TSX-2020-17,2020-10-21,PS-00003,3.191724511,-0.2483712773,-2.728148345,evaluation_only
TSX-2020-18,2020-11-01,PS-00003,3.393290461,-0.2640565886,-2.900438218,evaluation_only
TSX-2021-01,2021-04-26,PS-00003,7.403932865,-0.5761538179,-6.32856223,evaluation_only
TSX-2021-02,2021-05-07,PS-00003,7.708559077,-0.5998589971,-6.588943568,evaluation_only
TSX-2021-03,2021-05-18,PS-00003,8.024383698,-0.6244356058,-6.858896821,evaluation_only
TSX-2021-04,2021-05-29,PS-00003,8.351503282,-0.6498911577,-7.138504522,evaluation_only
TSX-2021-05,2021-06-09,PS-00003,8.689832759,-0.6762190328,-7.427693955,evaluation_only
TSX-2021-06,2021-06-20,PS-00003,9.039511358,-0.7034300656,-7.726584128,evaluation_only
TSX-2021-07,2021-07-01,PS-00003,9.401150196,-0.7315718115,-8.035697397,evaluation_only
TSX-2021-08,2021-07-12,PS-00003,9.774685453,-0.7606393042,-8.354979212,evaluation_only
TSX-2021-09,2021-07-23,PS-00003,10.15970025,-0.7906001029,-8.684073237,evaluation_only
TSX-2021-10,2021-08-03,PS-00003,10.55563241,-0.8214104617,-9.022498961,evaluation_only
TSX-2021-11,2021-08-14,PS-00003,10.96214163,-0.8530438978,-9.369965493,evaluation_only
TSX-2021-12,2021-08-25,PS-00003,11.37911025,-0.8854912564,-9.726372275,evaluation_only
TSX-2021-13,2021-09-05,PS-00003,11.80578448,-0.9186938785,-10.09107499,evaluation_only
TSX-2021-14,2021-09-16,PS-00003,12.24163405,-0.9526105009,-10.46362039,evaluation_only
TSX-2021-15,2021-09-27,PS-00003,12.68635159,-0.9872172043,-10.84374575,evaluation_only
TSX-2021-16,2021-10-08,PS-00003,13.13949463,-1.022479557,-11.23107286,evaluation_only
TSX-2020-01,2020-04-28,PS-00004,0,0,0,evaluation_only
TSX-2020-02,2020-05-09,PS-00004,0.1065807815,0.001097098586,-0.08558080517,evaluation_only
TSX-2020-03,2020-05-20,PS-00004,0.2131615701,0.002194197245,-0.171161616,evaluation_only
TSX-2020-04,2020-05-31,PS-00004,0.3197423665,0.003291295984,-0.2567424331,evaluation_only
TSX-2020-05,2020-06-11,PS-00004,0.4263231714,0.004388394812,-0.342323257,evaluation_only
TSX-2020-06,2020-06-22,PS-00004,0.5329039862,0.00548549374,-0.4279040888,evaluation_only
TSX-2020-07,2020-07-03,PS-00004,0.6394848124,0.006582592786,-0.5134849299,evaluation_only
TSX-2020-08,2020-07-14,PS-00004,0.7460656517,0.007679691967,-0.5990657814,evaluation_only
TSX-2020-09,2020-07-25,PS-00004,0.8526465053,0.008776791295,-0.6846466445,evaluation_only
TSX-2020-10,2020-08-05,PS-00004,0.9592273746,0.009873890785,-0.7702275201,evaluation_only
TSX-2020-11,2020-08-16,PS-00004,1.065808261,0.01097099046,-0.8558084099,evaluation_only
TSX-2020-12,2020-08-27,PS-00004,1.172389169,0.01206809033,-0.9413893158,evaluation_only
TSX-2020-13,2020-09-07,PS-00004,1.278970097,0.01316519044,-1.026970239,evaluation_only
TSX-2020-14,2020-09-18,PS-00004,1.385551051,0.01426229079,-1.112551182,evaluation_only
TSX-2020-15,2020-09-29,PS-00004,1.492132032,0.01535939143,-1.198132148,evaluation_only
TSX-2020-16,2020-10-10,PS-00004,1.598713044,0.01645649239,-1.283713138,evaluation_only
TSX-2020-17,2020-10-21,PS-00004,1.705294091,0.01755359372,-1.369294157,evaluation_only
TSX-2020-18,2020-11-01,PS-00004,1.811875176,0.01865069542,-1.454875205,evaluation_only
TSX-2021-01,2021-04-26,PS-00004,3.517182702,0.03620442742,-2.824180149,evaluation_only
TSX-2021-02,2021-05-07,PS-00004,3.623765094,0.03730154259,-2.909762248,evaluation_only
TSX-2021-03,2021-05-18,PS-00004,3.730347593,0.03839865886,-2.995344432,evaluation_only
TSX-2021-04,2021-05-29,PS-00004,3.836930196,0.03949577619,-3.0809267,evaluation_only
TSX-2021-05,2021-06-09,PS-00004,3.944426722,0.04060230107,-3.167242817,evaluation_only
TSX-2021-06,2021-06-20,PS-00004,4.052837168,0.04171823347,-3.254292782,evaluation_only
TSX-2021-07,2021-07-01,PS-00004,4.161247715,0.04283416691,-3.341342827,evaluation_only
TSX-2021-08,2021-07-12,PS-00004,4.269658359,0.04395010135,-3.428392952,evaluation_only
TSX-2021-09,2021-07-23,PS-00004,4.378069096,0.04506603674,-3.51544315,evaluation_only
TSX-2021-10,2021-08-03,PS-00004,4.486479919,0.04618197302,-3.602493417,evaluation_only
TSX-2021-11,2021-08-14,PS-00004,4.594890824,0.04729791013,-3.689543749,evaluation_only
TSX-2021-12,2021-08-25,PS-00004,4.703301807,0.04841384807,-3.776594146,evaluation_only
TSX-2021-13,2021-09-05,PS-00004,4.811712864,0.04952978675,-3.863644601,evaluation_only
TSX-2021-14,2021-09-16,PS-00004,4.920123988,0.05064572613,-3.95069511,evaluation_only
TSX-2021-15,2021-09-27,PS-00004,5.028535178,0.05176166618,-4.037745672,evaluation_only
TSX-2021-16,2021-10-08,PS-00004,5.136946429,0.05287760687,-4.124796283,evaluation_only
TSX-2020-01,2020-04-28,PS-00005,0,0,0,evaluation_only
TSX-2020-02,2020-05-09,PS-00005,0.5367433874,-0.03280466795,-0.453516622,evaluation_only
TSX-2020-03,2020-05-20,PS-00005,1.07296423,-0.06557739905,-0.9065917248,evaluation_only
TSX-2020-04,2020-05-31,PS-00005,1.609079069,-0.09834365135,-1.35957726,evaluation_only
TSX-2020-05,2020-06-11,PS-00005,2.145489949,-0.1311279972,-1.812812933,evaluation_only
TSX-2020-06,2020-06-22,PS-00005,2.68276117,-0.1639649252,-2.266775543,evaluation_only
TSX-2020-07,2020-07-03,PS-00005,3.221758454,-0.1969073467,-2.722196575,evaluation_only
TSX-2020-08,2020-07-14,PS-00005,3.763195545,-0.2299988843,-3.179679101,evaluation_only
TSX-2020-09,2020-07-25,PS-00005,4.307737655,-0.2632801944,-3.639785185,evaluation_only
TSX-2020-10,2020-08-05,PS-00005,4.856018469,-0.2967900065,-4.103050255,evaluation_only
TSX-2020-11,2020-08-16,PS-00005,5.408946172,-0.330583827,-4.570241673,evaluation_only
TSX-2020-12,2020-08-27,PS-00005,5.967732087,-0.3647356896,-5.042382936,evaluation_only
TSX-2020-13,2020-09-07,PS-00005,6.533192932,-0.3992955103,-5.520164122,evaluation_only
TSX-2020-14,2020-09-18,PS-00005,7.106510461,-0.4343355157,-6.004583744,evaluation_only
TSX-2020-15,2020-09-29,PS-00005,7.689266199,-0.4699523652,-6.496978099,evaluation_only
TSX-2020-16,2020-10-10,PS-00005,8.283197994,-0.5062522727,-6.998815565,evaluation_only
TSX-2020-17,2020-10-21,PS-00005,8.889876037,-0.5433312051,-7.511422861,evaluation_only
TSX-2020-18,2020-11-01,PS-00005,9.51018721,-0.5812433667,-8.035549351,evaluation_only
TSX-2021-01,2021-04-26,PS-00005,23.6885924,-1.447798755,-20.01546858,evaluation_only
TSX-2021-02,2021-05-07,PS-00005,24.85709663,-1.519215365,-21.00278599,evaluation_only
TSX-2021-03,2021-05-18,PS-00005,26.07171244,-1.593450221,-22.02906498,evaluation_only
TSX-2021-04,2021-05-29,PS-00005,27.33137161,-1.670438037,-23.09340295,evaluation_only
TSX-2021-05,2021-06-09,PS-00005,28.63482678,-1.750102575,-24.19474598,evaluation_only
TSX-2021-06,2021-06-20,PS-00005,29.98131876,-1.832397436,-25.33245258,evaluation_only
TSX-2021-07,2021-07-01,PS-00005,31.37144878,-1.917359365,-26.50703076,evaluation_only
TSX-2021-08,2021-07-12,PS-00005,32.80383345,-2.004903813,-27.71731163,evaluation_only
TSX-2021-09,2021-07-23,PS-00005,34.27597527,-2.094878137,-28.96118497,evaluation_only
TSX-2021-10,2021-08-03,PS-00005,35.78509706,-2.187112602,-30.2363042,evaluation_only
TSX-2021-11,2021-08-14,PS-00005,37.32930042,-2.281491181,-31.5410653,evaluation_only
TSX-2021-12,2021-08-25,PS-00005,38.90755588,-2.377950957,-32.87459842,evaluation_only
TSX-2021-13,2021-09-05,PS-00005,40.51690894,-2.476311354,-34.23440719,evaluation_only
TSX-2021-14,2021-09-16,PS-00005,42.1552423,-2.576442968,-35.6187026,evaluation_only
TSX-2021-15,2021-09-27,PS-00005,43.82125297,-2.678266163,-37.02638372,evaluation_only
TSX-2021-16,2021-10-08,PS-00005,45.51329572,-2.781680387,-38.45606041,evaluation_only
TSX-2020-01,2020-04-28,PS-00006,0,0,0,evaluation_only
TSX-2020-02,2020-05-09,PS-00006,0.2311505828,0.007087581373,-0.1828387739,evaluation_only
TSX-2020-03,2020-05-20,PS-00006,0.4601603175,0.01410951967,-0.3639841494,evaluation_only
TSX-2020-04,2020-05-31,PS-00006,0.6871063527,0.02106818044,-0.5434971506,evaluation_only
TSX-2020-05,2020-06-11,PS-00006,0.9120648736,0.02796589968,-0.7214380393,evaluation_only
TSX-2020-06,2020-06-22,PS-00006,1.135124495,0.03480539451,-0.8978769092,evaluation_only
TSX-2020-07,2020-07-03,PS-00006,1.356397362,0.04159010358,-1.072902468,evaluation_only
TSX-2020-08,2020-07-14,PS-00006,1.575986118,0.04832317409,-1.246595903,evaluation_only
TSX-2020-09,2020-07-25,PS-00006,1.793991647,0.05500769944,-1.419037016,evaluation_only
TSX-2020-10,2020-08-05,PS-00006,2.010513651,0.06164673665,-1.590304668,evaluation_only
TSX-2020-11,2020-08-16,PS-00006,2.225676578,0.0682441016,-1.760497299,evaluation_only
TSX-2020-12,2020-08-27,PS-00006,2.439633116,0.07480447603,-1.929735683,evaluation_only
TSX-2020-13,2020-09-07,PS-00006,2.652506881,0.08133165028,-2.0981176,evaluation_only
TSX-2020-14,2020-09-18,PS-00006,2.864457803,0.08783052815,-2.265769553,evaluation_only
TSX-2020-15,2020-09-29,PS-00006,3.075686996,0.09430727625,-2.432850623,evaluation_only
TSX-2020-16,2020-10-10,PS-00006,3.286419929,0.1007688079,-2.599539154,evaluation_only
TSX-2020-17,2020-10-21,PS-00006,3.496875772,0.1072218434,-2.766008508,evaluation_only
TSX-2020-18,2020-11-01,PS-00006,3.707216854,0.11367136,-2.932387087,evaluation_only
TSX-2021-01,2021-04-26,PS-00006,7.53947415,0.231176733,-5.963680442,evaluation_only
TSX-2021-02,2021-05-07,PS-00006,7.812476803,0.2395475902,-6.179623961,evaluation_only
TSX-2021-03,2021-05-18,PS-00006,8.094109427,0.2481830611,-6.402393737,evaluation_only
TSX-2021-04,2021-05-29,PS-00006,8.384613663,0.257090555,-6.632180908,evaluation_only
TSX-2021-05,2021-06-09,PS-00006,8.684067357,0.2662724589,-6.869047048,evaluation_only
TSX-2021-06,2021-06-20,PS-00006,8.992731581,0.2757367777,-7.113198664,evaluation_only
TSX-2021-07,2021-07-01,PS-00006,9.311264634,0.2855036963,-7.365156466,evaluation_only
TSX-2021-08,2021-07-12,PS-00006,9.639742022,0.2955755299,-7.62498018,evaluation_only
TSX-2021-09,2021-07-23,PS-00006,9.977919872,0.3059448009,-7.892476903,evaluation_only
TSX-2021-10,2021-08-03,PS-00006,10.32540334,0.3165994024,-8.167334315,evaluation_only
TSX-2021-11,2021-08-14,PS-00006,10.68197864,0.3275327795,-8.449383319,evaluation_only
TSX-2021-12,2021-08-25,PS-00006,11.04761519,0.3387439941,-8.738599713,evaluation_only
TSX-2021-13,2021-09-05,PS-00006,11.42169797,0.3502141884,-9.034497024,evaluation_only
TSX-2021-14,2021-09-16,PS-00006,11.80379969,0.3619302614,-9.33673728,evaluation_only
TSX-2021-15,2021-09-27,PS-00006,12.1936825,0.3738849191,-9.645132324,evaluation_only
TSX-2021-16,2021-10-08,PS-00006,12.59097711,0.3860668391,-9.959390065,evaluation_only
TSX-2020-01,2020-04-28,PS-00007,0,0,0,evaluation_only
TSX-2020-02,2020-05-09,PS-00007,0.3854005167,0.01367920584,-0.3037551322,evaluation_only
TSX-2020-03,2020-05-20,PS-00007,0.7708010018,0.02735841056,-0.6075102395,evaluation_only
TSX-2020-04,2020-05-31,PS-00007,1.156201456,0.0410376142,-0.9112653225,evaluation_only
TSX-2020-05,2020-06-11,PS-00007,1.54160188,0.05471681676,-1.215020382,evaluation_only
TSX-2020-06,2020-06-22,PS-00007,1.927002276,0.06839601829,-1.518775418,evaluation_only
TSX-2020-07,2020-07-03,PS-00007,2.312402643,0.08207521883,-1.822530433,evaluation_only
TSX-2020-08,2020-07-14,PS-00007,2.697802983,0.09575441841,-2.126285426,evaluation_only
TSX-2020-09,2020-07-25,PS-00007,3.083203297,0.1094336171,-2.430040398,evaluation_only
TSX-2020-10,2020-08-05,PS-00007,3.468603586,0.1231128148,-2.733795351,evaluation_only
TSX-2020-11,2020-08-16,PS-00007,3.854003851,0.1367920117,-3.037550284,evaluation_only
TSX-2020-12,2020-08-27,PS-00007,4.239404093,0.1504712078,-3.3413052,evaluation_only
TSX-2020-13,2020-09-07,PS-00007,4.624804313,0.1641504031,-3.645060099,evaluation_only
TSX-2020-14,2020-09-18,PS-00007,5.010204513,0.1778295978,-3.948814982,evaluation_only
TSX-2020-15,2020-09-29,PS-00007,5.395604695,0.1915087917,-4.25256985,evaluation_only
TSX-2020-16,2020-10-10,PS-00007,5.78100486,0.205187985,-4.556324704,evaluation_only
TSX-2020-17,2020-10-21,PS-00007,6.166405009,0.2188671779,-4.860079547,evaluation_only
TSX-2020-18,2020-11-01,PS-00007,6.551805144,0.2325463702,-5.163834379,evaluation_only
TSX-2021-01,2021-04-26,PS-00007,12.71820773,0.4514134619,-10.02391201,evaluation_only
TSX-2021-02,2021-05-07,PS-00007,13.10360793,0.4650926566,-10.3276669,evaluation_only
TSX-2021-03,2021-05-18,PS-00007,13.48900815,0.478771852,-10.6314218,evaluation_only
TSX-2021-04,2021-05-29,PS-00007,13.87440839,0.492451048,-10.93517671,evaluation_only
TSX-2021-05,2021-06-09,PS-00007,14.26003008,0.5061381039,-11.23910616,evaluation_only
TSX-2021-06,2021-06-20,PS-00007,14.64587321,0.5198330199,-11.54321014,evaluation_only
TSX-2021-07,2021-07-01,PS-00007,15.03171637,0.5335279364,-11.84731414,evaluation_only
TSX-2021-08,2021-07-12,PS-00007,15.41755953,0.5472228535,-12.15141815,evaluation_only
TSX-2021-09,2021-07-23,PS-00007,15.80340272,0.5609177711,-12.45552217,evaluation_only
TSX-2021-10,2021-08-03,PS-00007,16.18924591,0.5746126891,-12.7596262,evaluation_only
TSX-2021-11,2021-08-14,PS-00007,16.57508912,0.5883076075,-13.06373024,evaluation_only
TSX-2021-12,2021-08-25,PS-00007,16.96093233,0.6020025263,-13.36783429,evaluation_only
TSX-2021-13,2021-09-05,PS-00007,17.34677556,0.6156974454,-13.67193835,evaluation_only
TSX-2021-14,2021-09-16,PS-00007,17.73261879,0.6293923647,-13.97604241,evaluation_only
TSX-2021-15,2021-09-27,PS-00007,18.11846203,0.6430872843,-14.28014647,evaluation_only
TSX-2021-16,2021-10-08,PS-00007,18.50430527,0.6567822039,-14.58425054,evaluation_only
TSX-2020-01,2020-04-28,PS-00008,0,0,0,evaluation_only
TSX-2020-02,2020-05-09,PS-00008,0.5417783843,0.0394305611,-0.4151312178,evaluation_only
TSX-2020-03,2020-05-20,PS-00008,1.083555343,0.07886101847,-0.8302613433,evaluation_only
TSX-2020-04,2020-05-31,PS-00008,1.625330897,0.1182913736,-1.245390392,evaluation_only
TSX-2020-05,2020-06-11,PS-00008,2.167105066,0.1577216279,-1.66051838,evaluation_only
TSX-2020-06,2020-06-22,PS-00008,2.708877871,0.1971517829,-2.075645323,evaluation_only
TSX-2020-07,2020-07-03,PS-00008,3.250649332,0.2365818401,-2.490771235,evaluation_only
TSX-2020-08,2020-07-14,PS-00008,3.792419469,0.276011801,-2.905896134,evaluation_only
TSX-2020-09,2020-07-25,PS-00008,4.334188302,0.315441667,-3.321020033,evaluation_only
TSX-2020-10,2020-08-05,PS-00008,4.875955851,0.3548714395,-3.736142949,evaluation_only
TSX-2020-11,2020-08-16,PS-00008,5.417722135,0.39430112,-4.151264895,evaluation_only
TSX-2020-12,2020-08-27,PS-00008,5.959487176,0.4337307099,-4.566385888,evaluation_only
TSX-2020-13,2020-09-07,PS-00008,6.501250991,0.4731602107,-4.981505943,evaluation_only
TSX-2020-14,2020-09-18,PS-00008,7.043013602,0.5125896238,-5.396625074,evaluation_only
TSX-2020-15,2020-09-29,PS-00008,7.584775028,0.5520189507,-5.811743298,evaluation_only
TSX-2020-16,2020-10-10,PS-00008,8.126535291,0.5914481929,-6.22686063,evaluation_only
TSX-2020-17,2020-10-21,PS-00008,8.66829441,0.6308773519,-6.641977087,evaluation_only
TSX-2020-18,2020-11-01,PS-00008,9.210052405,0.6703064291,-7.057092681,evaluation_only
TSX-2021-01,2021-04-26,PS-00008,17.87805043,1.30116221,-13.69884267,evaluation_only
TSX-2021-02,2021-05-07,PS-00008,18.41979235,1.340590117,-14.11394594,evaluation_only
TSX-2021-03,2021-05-18,PS-00008,18.96153348,1.380017967,-14.52904862,evaluation_only
TSX-2021-04,2021-05-29,PS-00008,19.50327383,1.41944576,-14.94415069,evaluation_only
TSX-2021-05,2021-06-09,PS-00008,20.04509475,1.458879417,-15.3593145,evaluation_only
TSX-2021-06,2021-06-20,PS-00008,20.58699624,1.498318938,-15.77454005,evaluation_only
TSX-2021-07,2021-07-01,PS-00008,21.12889699,1.537758404,-16.18976502,evaluation_only
TSX-2021-08,2021-07-12,PS-00008,21.67079699,1.577197817,-16.60498943,evaluation_only
TSX-2021-09,2021-07-23,PS-00008,22.21269626,1.616637176,-17.02021328,evaluation_only
TSX-2021-10,2021-08-03,PS-00008,22.7545948,1.656076482,-17.43543656,evaluation_only
TSX-2021-11,2021-08-14,PS-00008,23.29649262,1.695515736,-17.85065929,evaluation_only
TSX-2021-12,2021-08-25,PS-00008,23.83838972,1.734954937,-18.26588148,evaluation_only
TSX-2021-13,2021-09-05,PS-00008,24.38028611,1.774394087,-18.68110312,evaluation_only
TSX-2021-14,2021-09-16,PS-00008,24.9221818,1.813833185,-19.09632421,evaluation_only
TSX-2021-15,2021-09-27,PS-00008,25.46407678,1.853272232,-19.51154478,evaluation_only
TSX-2021-16,2021-10-08,PS-00008,26.00597108,1.892711229,-19.92676481,evaluation_only
TSX-2020-01,2020-04-28,PS-00009,0,0,0,evaluation_only
TSX-2020-02,2020-05-09,PS-00009,0.2471308403,0.007384007106,-0.1955928392,evaluation_only
TSX-2020-03,2020-05-20,PS-00009,0.494261677,0.0147680141,-0.3911856754,evaluation_only
TSX-2020-04,2020-05-31,PS-00009,0.7413925111,0.02215202102,-0.5867785097,evaluation_only
TSX-2020-05,2020-06-11,PS-00009,0.988523344,0.02953602791,-0.782371343,evaluation_only
TSX-2020-06,2020-06-22,PS-00009,1.235654177,0.0369200348,-0.9779641765,evaluation_only
TSX-2020-07,2020-07-03,PS-00009,1.482785013,0.04430404177,-1.173557012,evaluation_only
TSX-2020-08,2020-07-14,PS-00009,1.729915853,0.05168804888,-1.369149851,evaluation_only
TSX-2020-09,2020-07-25,PS-00009,1.9770467,0.05907205619,-1.564742696,evaluation_only
TSX-2020-10,2020-08-05,PS-00009,2.224177556,0.06645606374,-1.760335547,evaluation_only
TSX-2020-11,2020-08-16,PS-00009,2.471308422,0.07384007163,-1.955928407,evaluation_only
