campaign_id,date,profile_id,point_id,true_settlement_mm,observed_settlement_mm,residual_mm,standard_uncertainty_mm,use_class
C001,2018-05-15,P-H02,P-H02-W002,282.16946,282.708122,0.5386620599,1.096076973,evaluation_only
C001,2018-05-15,P-H02,P-H02-W003,108.0520354,108.2115366,0.1595011762,1.111038212,evaluation_only
C001,2018-05-15,P-H02,P-H02-W004,64.75663218,64.89608654,0.1394543524,1.112276147,evaluation_only
C001,2018-05-15,P-H02,P-H02-W005,8.246805258,8.201647255,-0.04515800332,1.096961919,evaluation_only
C001,2018-05-15,P-H02,P-H02-W006,194.8587744,195.0573293,0.1985548799,1.080190655,evaluation_only
C001,2018-05-15,P-H02,P-H02-W007,163.4232915,163.3308829,-0.09240861494,1.032571529,evaluation_only
C001,2018-05-15,P-H02,P-H02-REF-B,0,-0.03436919138,-0.03436919138,0.7198253982,evaluation_only
C001,2018-05-15,P-H03,P-H03-REF-A,0,0.008233560607,0.008233560607,0.6,evaluation_only
C001,2018-05-15,P-H03,P-H03-W001,80.33203861,80.316214,-0.01582460886,0.7091169123,evaluation_only
C001,2018-05-15,P-H03,P-H03-W002,189.0862053,189.1787222,0.0925169421,0.7320570472,evaluation_only
C001,2018-05-15,P-H03,P-H03-W003,162.9814368,162.859057,-0.1223798406,0.7386234043,evaluation_only
C001,2018-05-15,P-H03,P-H03-W004,429.1096746,429.1426626,0.03298798728,0.7436560902,evaluation_only
C001,2018-05-15,P-H03,P-H03-W005,191.4309439,191.4634162,0.03247223218,0.7407579546,evaluation_only
C001,2018-05-15,P-H03,P-H03-W006,167.8260262,167.6996403,-0.1263859089,0.7368219607,evaluation_only
C001,2018-05-15,P-H03,P-H03-W007,477.4046783,477.9323006,0.5276223011,0.7145688371,evaluation_only
C001,2018-05-15,P-H03,P-H03-REF-B,0,-0.2613754585,-0.2613754585,0.6,evaluation_only
C001,2018-05-15,P-H04,P-H04-REF-A,0,0.6596959514,0.6596959514,0.6,evaluation_only
C001,2018-05-15,P-H04,P-H04-W001,47.05894442,47.17221979,0.1132753731,0.7048985785,evaluation_only
C001,2018-05-15,P-H04,P-H04-W002,372.9489245,372.9626667,0.01374223072,0.7286276669,evaluation_only
C001,2018-05-15,P-H04,P-H04-W003,609.2694611,609.6101221,0.3406610268,0.7558719678,evaluation_only
C001,2018-05-15,P-H04,P-H04-W004,43.5241546,43.2108806,-0.3132740017,0.768257631,evaluation_only
C001,2018-05-15,P-H04,P-H04-W005,48.18108396,48.04838105,-0.1327029054,0.7688808122,evaluation_only
C001,2018-05-15,P-H04,P-H04-W006,91.42202705,91.47101762,0.04899057448,0.759640575,evaluation_only
C001,2018-05-15,P-H04,P-H04-W007,57.36972595,57.79229418,0.4225682334,0.7393945944,evaluation_only
C001,2018-05-15,P-H04,P-H04-REF-B,0,0.6531305353,0.6531305353,0.6,evaluation_only
C001,2018-05-15,P-H05,P-H05-REF-A,0,0.1973155632,0.1973155632,0.6,evaluation_only
C001,2018-05-15,P-H05,P-H05-W001,1198.19432,1200.056663,1.862343653,0.760949444,evaluation_only
C001,2018-05-15,P-H05,P-H05-W002,1048.795452,1050.458233,1.662781188,0.7950203997,evaluation_only
C001,2018-05-15,P-H05,P-H05-W003,1187.443035,1188.44665,1.003614827,0.8126811442,evaluation_only
C001,2018-05-15,P-H05,P-H05-W004,1513.844826,1514.494495,0.6496689425,0.8187505007,evaluation_only
C001,2018-05-15,P-H05,P-H05-W005,1161.577389,1161.869817,0.292427654,0.808249692,evaluation_only
C001,2018-05-15,P-H05,P-H05-W006,1293.279784,1294.028512,0.7487283609,0.783099881,evaluation_only
C001,2018-05-15,P-H05,P-H05-W007,684.1747323,685.3364146,1.161682347,0.7452829227,evaluation_only
C001,2018-05-15,P-H05,P-H05-REF-B,0,0.3002611556,0.3002611556,0.6,evaluation_only
C001,2018-05-15,P-H06,P-H06-REF-A,0,0.6312053557,0.6312053557,0.8413268786,evaluation_only
C001,2018-05-15,P-H06,P-H06-W001,323.1780956,323.2282538,0.05015818158,1.104281701,evaluation_only
C001,2018-05-15,P-H06,P-H06-W002,167.8250168,168.430513,0.6054961406,1.156379487,evaluation_only
C001,2018-05-15,P-H06,P-H06-W003,322.2008874,322.5876889,0.38680155,1.183318713,evaluation_only
C001,2018-05-15,P-H06,P-H06-W004,324.1890793,324.4806672,0.2915878356,1.191227944,evaluation_only
C001,2018-05-15,P-H06,P-H06-W005,146.958058,148.0068489,1.048790859,1.183722368,evaluation_only
C001,2018-05-15,P-H06,P-H06-W006,325.6833072,326.3511246,0.6678174239,1.137619888,evaluation_only
C001,2018-05-15,P-H06,P-H06-W007,50.57796609,51.41391942,0.8359533282,1.107175234,evaluation_only
C001,2018-05-15,P-H06,P-H06-REF-B,0,0.194409629,0.194409629,0.848501881,evaluation_only
C001,2018-05-15,P-H07,P-H07-REF-A,0,0.3288439779,0.3288439779,0.6,evaluation_only
C001,2018-05-15,P-H07,P-H07-W001,74.6931791,75.71955327,1.026374174,0.6911956001,evaluation_only
C001,2018-05-15,P-H07,P-H07-W002,87.31218865,88.12899341,0.8168047584,0.7114034914,evaluation_only
C001,2018-05-15,P-H07,P-H07-W003,257.8648152,259.0332341,1.168418868,0.7325754924,evaluation_only
C001,2018-05-15,P-H07,P-H07-W004,187.6940755,188.6056454,0.9115699901,0.7372749532,evaluation_only
C001,2018-05-15,P-H07,P-H07-W005,29.7396188,30.60975121,0.8701324137,0.7373694254,evaluation_only
C001,2018-05-15,P-H07,P-H07-W007,12.43011395,13.27781655,0.8477025957,0.7183497661,evaluation_only
C001,2018-05-15,P-H07,P-H07-REF-B,0,0.177019852,0.177019852,0.6,evaluation_only
C001,2018-05-15,P-V01,P-V01-REF-A,0,0.8848960505,0.8848960505,0.7682792512,evaluation_only
C001,2018-05-15,P-V01,P-V01-W001,42.32872982,44.58375555,2.255025735,1.064920931,evaluation_only
C001,2018-05-15,P-V01,P-V01-W002,36.00669507,38.12761269,2.120917614,1.111642694,evaluation_only
C001,2018-05-15,P-V01,P-V01-W003,46.23949408,47.95644507,1.716950989,1.139117877,evaluation_only
C001,2018-05-15,P-V01,P-V01-W004,58.19361764,59.70028798,1.506670335,1.144863651,evaluation_only
C001,2018-05-15,P-V01,P-V01-W005,681.9611882,683.529089,1.567900715,1.13938644,evaluation_only
C001,2018-05-15,P-V01,P-V01-W006,278.9659159,279.806168,0.8402520813,1.116497643,evaluation_only
C001,2018-05-15,P-V01,P-V01-W007,191.1064984,191.7593748,0.6528764025,1.074517144,evaluation_only
C001,2018-05-15,P-V01,P-V01-REF-B,0,0.5859973685,0.5859973685,0.7950869181,evaluation_only
C001,2018-05-15,P-V02,P-V02-REF-A,0,0.2768564946,0.2768564946,0.6,evaluation_only
C001,2018-05-15,P-V02,P-V02-W001,106.4129074,106.5544431,0.1415357081,0.7137078646,evaluation_only
C001,2018-05-15,P-V02,P-V02-W002,73.4773602,73.8407968,0.3634366034,0.7280254993,evaluation_only
C001,2018-05-15,P-V02,P-V02-W003,8.226466121,7.943408507,-0.2830576141,0.7402864787,evaluation_only
C001,2018-05-15,P-V02,P-V02-W004,16.07931363,14.95429227,-1.125021355,0.7423762363,evaluation_only
C001,2018-05-15,P-V02,P-V02-W005,75.51347948,74.32521755,-1.188261926,0.7412152681,evaluation_only
C001,2018-05-15,P-V02,P-V02-W006,225.5735414,224.4339841,-1.139557286,0.7305736076,evaluation_only
C001,2018-05-15,P-V02,P-V02-W007,25.51335675,24.37821531,-1.135141437,0.7163854979,evaluation_only
C001,2018-05-15,P-V02,P-V02-REF-B,0,-0.07786188723,-0.07786188723,0.6,evaluation_only
C001,2018-05-15,P-V03,P-V03-REF-A,0,-0.6564836164,-0.6564836164,0.9542862999,evaluation_only
C001,2018-05-15,P-V03,P-V03-W001,365.4759402,364.3779309,-1.09800923,1.235651432,evaluation_only
C001,2018-05-15,P-V03,P-V03-W002,360.3582613,359.2018854,-1.156375895,1.254295861,evaluation_only
C001,2018-05-15,P-V03,P-V03-W003,1219.706016,1218.829841,-0.876174795,1.263801782,evaluation_only
C001,2018-05-15,P-V03,P-V03-W004,1584.268102,1583.985738,-0.2823632315,1.265508498,evaluation_only
C001,2018-05-15,P-V03,P-V03-W005,331.4368766,330.8043179,-0.6325587287,1.25132527,evaluation_only
C001,2018-05-15,P-V03,P-V03-W006,294.1455385,293.5961953,-0.5493431976,1.235778004,evaluation_only
C001,2018-05-15,P-V03,P-V03-W007,204.7701165,204.5722319,-0.1978845612,1.215183172,evaluation_only
C001,2018-05-15,P-V03,P-V03-REF-B,0,-0.3787388116,-0.3787388116,0.8782924563,evaluation_only
C001,2018-05-15,P-V04,P-V04-REF-A,0,-0.1543747744,-0.1543747744,0.6,evaluation_only
C001,2018-05-15,P-V04,P-V04-W001,185.2912319,184.2433498,-1.047882146,0.6687782845,evaluation_only
C001,2018-05-15,P-V04,P-V04-W002,187.8370245,187.1358916,-0.7011328167,0.6799912108,evaluation_only
C001,2018-05-15,P-V04,P-V04-W003,187.681904,186.3772943,-1.304609703,0.689445934,evaluation_only
C001,2018-05-15,P-V04,P-V04-W004,322.7741759,322.2291736,-0.5450023296,0.6919892413,evaluation_only
C001,2018-05-15,P-V04,P-V04-W005,327.9856754,327.345061,-0.640614409,0.6888729286,evaluation_only
C001,2018-05-15,P-V04,P-V04-W006,228.3267029,228.2415477,-0.08515523959,0.6815369238,evaluation_only
C001,2018-05-15,P-V04,P-V04-W007,207.2783194,207.1814775,-0.0968419575,0.6665598287,evaluation_only
C001,2018-05-15,P-V04,P-V04-REF-B,0,0.223816347,0.223816347,0.6,evaluation_only
C001,2018-05-15,P-V05,P-V05-REF-A,0,-0.3206494666,-0.3206494666,0.8614347952,evaluation_only
C001,2018-05-15,P-V05,P-V05-W002,1304.900921,1305.447152,0.5462307214,1.114213379,evaluation_only
C001,2018-05-15,P-V05,P-V05-W003,1356.959302,1357.647176,0.6878748979,1.119733482,evaluation_only
C001,2018-05-15,P-V05,P-V05-W004,1249.787612,1250.612048,0.8244363738,1.122856917,evaluation_only
C001,2018-05-15,P-V05,P-V05-W006,1381.526824,1382.323891,0.7970678799,1.11097543,evaluation_only
C001,2018-05-15,P-V05,P-V05-W007,1610.155724,1610.647874,0.4921493167,1.093161665,evaluation_only
C001,2018-05-15,P-V05,P-V05-REF-B,0,0.4279444243,0.4279444243,0.8596675695,evaluation_only
C001,2018-05-15,P-V06,P-V06-REF-A,0,-0.05009221016,-0.05009221016,0.9871806252,evaluation_only
C001,2018-05-15,P-V06,P-V06-W001,0,0.4257390884,0.4257390884,1.323805608,evaluation_only
C001,2018-05-15,P-V06,P-V06-W003,43.68281001,44.33617722,0.6533672119,1.372415737,evaluation_only
C001,2018-05-15,P-V06,P-V06-W004,64.90983016,65.71865606,0.808825899,1.382454637,evaluation_only
C001,2018-05-15,P-V06,P-V06-W005,72.42032317,73.02360969,0.603286513,1.373105631,evaluation_only
C001,2018-05-15,P-V06,P-V06-W006,40.49804229,41.27440179,0.7763595005,1.33599469,evaluation_only
C001,2018-05-15,P-V06,P-V06-W007,41.73190094,42.64248396,0.9105830217,1.303641133,evaluation_only
C001,2018-05-15,P-V06,P-V06-REF-B,0,1.224645859,1.224645859,0.9230937649,evaluation_only
C002,2018-07-10,P-H03,P-H03-REF-A,0,0.1455670985,0.1455670985,0.6,evaluation_only
C002,2018-07-10,P-H03,P-H03-W001,93.62746459,93.50308219,-0.1243824048,0.6970109979,evaluation_only
C002,2018-07-10,P-H03,P-H03-W002,202.5085978,203.4823682,0.9737703448,0.7250085579,evaluation_only
C002,2018-07-10,P-H03,P-H03-W003,176.7822502,177.8417503,1.059500145,0.7337951643,evaluation_only
C002,2018-07-10,P-H03,P-H03-W004,443.0478413,444.1548652,1.107023892,0.7419423821,evaluation_only
C002,2018-07-10,P-H03,P-H03-W005,205.4471568,206.3718769,0.9247201078,0.7441280577,evaluation_only
C002,2018-07-10,P-H03,P-H03-W006,183.1175022,183.8827598,0.7652576089,0.7418641499,evaluation_only
C002,2018-07-10,P-H03,P-H03-W007,480.2315464,480.9713432,0.7397968636,0.7251099642,evaluation_only
C002,2018-07-10,P-H03,P-H03-REF-B,0,0.8763009834,0.8763009834,0.6,evaluation_only
C002,2018-07-10,P-V01,P-V01-REF-A,0,-0.009017476998,-0.009017476998,0.6,evaluation_only
C002,2018-07-10,P-V01,P-V01-W001,46.93715427,48.10459721,1.167442944,0.7297700713,evaluation_only
C002,2018-07-10,P-V01,P-V01-W002,41.42806687,42.75451837,1.326451506,0.7559829049,evaluation_only
C002,2018-07-10,P-V01,P-V01-W003,54.08684487,55.08536694,0.9985220644,0.7698074131,evaluation_only
C002,2018-07-10,P-V01,P-V01-W004,68.32158335,69.39034881,1.068765456,0.7715677879,evaluation_only
C002,2018-07-10,P-V01,P-V01-W005,695.0992437,696.1354569,1.036213218,0.7637290648,evaluation_only
C002,2018-07-10,P-V01,P-V01-W006,284.8623741,285.4445423,0.5821681369,0.7451510982,evaluation_only
C002,2018-07-10,P-V01,P-V01-W007,205.2943308,206.4285411,1.134210312,0.7136893018,evaluation_only
C002,2018-07-10,P-V01,P-V01-REF-B,0,0.09814070867,0.09814070867,0.6,evaluation_only
C003,2018-10-16,P-D01,P-D01-W001,118.01239,118.4948219,0.4824319138,1.195493857,evaluation_only
C003,2018-10-16,P-D01,P-D01-W002,206.3075956,206.4991538,0.191558138,1.156097627,evaluation_only
C003,2018-10-16,P-D01,P-D01-W003,420.789455,420.6090884,-0.1803665495,1.120028345,evaluation_only
C003,2018-10-16,P-D01,P-D01-W004,422.5219085,422.0510993,-0.470809271,1.053410144,evaluation_only
C003,2018-10-16,P-D01,P-D01-W005,200.0874081,199.3206971,-0.766711018,1.010481506,evaluation_only
C003,2018-10-16,P-D01,P-D01-W006,205.4302151,204.805317,-0.6248981319,0.9388117046,evaluation_only
C003,2018-10-16,P-D01,P-D01-W007,74.62567819,73.70716728,-0.9185109095,0.8655788251,evaluation_only
C003,2018-10-16,P-D01,P-D01-REF-B,0,-1.357376211,-1.357376211,0.6,evaluation_only
C003,2018-10-16,P-H01,P-H01-REF-A,0,0.3580762844,0.3580762844,0.9752905088,evaluation_only
C003,2018-10-16,P-H01,P-H01-W001,59.62286902,59.78572205,0.1628530349,1.435213739,evaluation_only
C003,2018-10-16,P-H01,P-H01-W002,24.98485073,24.94786701,-0.03698371782,1.532867917,evaluation_only
C003,2018-10-16,P-H01,P-H01-W003,256.0390422,256.410473,0.3714308592,1.607301406,evaluation_only
C003,2018-10-16,P-H01,P-H01-W004,80.3900207,81.55046107,1.160440373,1.624754242,evaluation_only
C003,2018-10-16,P-H01,P-H01-W005,217.7944939,218.935324,1.140830074,1.607077963,evaluation_only
C003,2018-10-16,P-H01,P-H01-W006,177.3112629,178.5164642,1.205201325,1.55390635,evaluation_only
C003,2018-10-16,P-H01,P-H01-REF-B,0,0.8915186071,0.8915186071,1.028238518,evaluation_only
C003,2018-10-16,P-H02,P-H02-REF-A,0,-0.00983797085,-0.00983797085,0.6,evaluation_only
C003,2018-10-16,P-H02,P-H02-W001,149.0877309,149.532932,0.4452011408,0.7218195938,evaluation_only
C003,2018-10-16,P-H02,P-H02-W002,303.9489911,304.3193836,0.3703925466,0.7437832798,evaluation_only
C003,2018-10-16,P-H02,P-H02-W003,117.5121202,117.7028254,0.1907051802,0.7530763805,evaluation_only
C003,2018-10-16,P-H02,P-H02-W004,86.085914,86.08833634,0.002422335165,0.753520673,evaluation_only
C003,2018-10-16,P-H02,P-H02-W005,11.00659402,11.36201723,0.3554232096,0.7427948899,evaluation_only
C003,2018-10-16,P-H02,P-H02-W007,180.9171123,181.5190959,0.6019836058,0.6994594949,evaluation_only
C003,2018-10-16,P-H02,P-H02-REF-B,0,1.414188478,1.414188478,0.6,evaluation_only
C003,2018-10-16,P-H03,P-H03-REF-A,0,0.1015114452,0.1015114452,0.6,evaluation_only
C003,2018-10-16,P-H03,P-H03-W001,115.8180989,116.5301329,0.7120339724,0.6827676998,evaluation_only
C003,2018-10-16,P-H03,P-H03-W002,223.0422855,223.3010373,0.258751836,0.7083248377,evaluation_only
C003,2018-10-16,P-H03,P-H03-W003,199.0296221,198.7939331,-0.2356889394,0.7156709896,evaluation_only
C003,2018-10-16,P-H03,P-H03-W004,467.3496556,466.7451942,-0.6044614892,0.7213886512,evaluation_only
C003,2018-10-16,P-H03,P-H03-W005,228.7095341,228.473607,-0.2359271563,0.7185505072,evaluation_only
C003,2018-10-16,P-H03,P-H03-W006,208.7126044,208.3901066,-0.3224977938,0.7143484662,evaluation_only
C003,2018-10-16,P-H03,P-H03-W007,484.3686891,484.3450891,-0.02360006132,0.6902738464,evaluation_only
C003,2018-10-16,P-H03,P-H03-REF-B,0,-0.3978886777,-0.3978886777,0.6,evaluation_only
C003,2018-10-16,P-H04,P-H04-REF-A,0,-0.5266851992,-0.5266851992,0.6,evaluation_only
C003,2018-10-16,P-H04,P-H04-W001,69.17492581,68.53744359,-0.6374822181,0.7640126618,evaluation_only
C003,2018-10-16,P-H04,P-H04-W002,385.0592372,384.2569102,-0.8023270692,0.7881942849,evaluation_only
C003,2018-10-16,P-H04,P-H04-W003,621.7229458,621.2544001,-0.4685457309,0.8156328696,evaluation_only
C003,2018-10-16,P-H04,P-H04-W004,64.01573993,62.85803012,-1.157709811,0.8274535838,evaluation_only
C003,2018-10-16,P-H04,P-H04-W005,60.27579946,59.07578955,-1.200009908,0.827371791,evaluation_only
C003,2018-10-16,P-H04,P-H04-W006,100.6781171,99.04277443,-1.635342659,0.8163814904,evaluation_only
C003,2018-10-16,P-H04,P-H04-W007,82.27733056,81.38289166,-0.8944388936,0.7937667848,evaluation_only
C003,2018-10-16,P-H04,P-H04-REF-B,0,-0.7461800805,-0.7461800805,0.6286505036,evaluation_only
C003,2018-10-16,P-H05,P-H05-REF-A,0,-0.005156006068,-0.005156006068,0.6,evaluation_only
C003,2018-10-16,P-H05,P-H05-W001,1212.356958,1212.371208,0.01425001267,0.7381269896,evaluation_only
C003,2018-10-16,P-H05,P-H05-W002,1083.691606,1083.797675,0.1060692748,0.7756945293,evaluation_only
C003,2018-10-16,P-H05,P-H05-W003,1219.137189,1219.315338,0.1781486721,0.7954754138,evaluation_only
C003,2018-10-16,P-H05,P-H05-W004,1522.690847,1522.578656,-0.1121915431,0.8033968324,evaluation_only
C003,2018-10-16,P-H05,P-H05-W005,1169.994765,1169.472464,-0.522300521,0.7933317692,evaluation_only
C003,2018-10-16,P-H05,P-H05-W006,1302.43644,1302.244414,-0.1920267206,0.7678340034,evaluation_only
C003,2018-10-16,P-H05,P-H05-W007,706.1288054,706.4682866,0.3394812007,0.7288150245,evaluation_only
C003,2018-10-16,P-H05,P-H05-REF-B,0,0.4927525007,0.4927525007,0.6,evaluation_only
C003,2018-10-16,P-H06,P-H06-REF-A,0,-0.2938989408,-0.2938989408,0.6,evaluation_only
C003,2018-10-16,P-H06,P-H06-W001,324.338853,323.3855981,-0.9532548976,0.7326225598,evaluation_only
C003,2018-10-16,P-H06,P-H06-W003,323.7973429,322.1024951,-1.694847764,0.787249673,evaluation_only
C003,2018-10-16,P-H06,P-H06-W004,325.1543263,323.30272,-1.85160631,0.7918227102,evaluation_only
C003,2018-10-16,P-H06,P-H06-W005,147.9625708,145.8252319,-2.137338843,0.7850875134,evaluation_only
C003,2018-10-16,P-H06,P-H06-W006,325.9814624,324.4039332,-1.577529274,0.7492961361,evaluation_only
C003,2018-10-16,P-H06,P-H06-W007,51.38442142,49.76786413,-1.616557292,0.7260485539,evaluation_only
C003,2018-10-16,P-H06,P-H06-REF-B,0,-1.712502739,-1.712502739,0.6,evaluation_only
C003,2018-10-16,P-H07,P-H07-REF-A,0,1.674438161,1.674438161,0.6,evaluation_only
C003,2018-10-16,P-H07,P-H07-W001,89.00052468,90.01580235,1.015277672,0.7229151,evaluation_only
C003,2018-10-16,P-H07,P-H07-W002,124.1393183,124.8980983,0.758779953,0.7372835307,evaluation_only
C003,2018-10-16,P-H07,P-H07-W003,258.7322094,259.3625916,0.630382166,0.7498812664,evaluation_only
C003,2018-10-16,P-H07,P-H07-W004,200.6043778,201.2758503,0.6714725254,0.7509688081,evaluation_only
C003,2018-10-16,P-H07,P-H07-W005,30.09610157,31.24837054,1.15226897,0.7445153588,evaluation_only
C003,2018-10-16,P-H07,P-H07-W006,28.77712391,29.54011619,0.7629922839,0.7271803605,evaluation_only
C003,2018-10-16,P-H07,P-H07-W007,17.50814797,18.3995447,0.8913967301,0.7092022653,evaluation_only
C003,2018-10-16,P-H07,P-H07-REF-B,0,1.458691482,1.458691482,0.6,evaluation_only
C003,2018-10-16,P-V01,P-V01-REF-A,0,-0.4904540396,-0.4904540396,0.6,evaluation_only
C003,2018-10-16,P-V01,P-V01-W001,55.8368978,56.46211625,0.6252184527,0.7371197884,evaluation_only
C003,2018-10-16,P-V01,P-V01-W003,66.85561643,67.56587114,0.7102547162,0.7785769057,evaluation_only
C003,2018-10-16,P-V01,P-V01-W004,84.4966325,84.7112128,0.2145803046,0.7831109742,evaluation_only
C003,2018-10-16,P-V01,P-V01-W005,716.8328059,717.0537558,0.2209498953,0.781779473,evaluation_only
C003,2018-10-16,P-V01,P-V01-W006,295.74091,296.1198211,0.3789110216,0.7693454487,evaluation_only
C003,2018-10-16,P-V01,P-V01-W007,229.1928216,229.4303887,0.2375671473,0.7453464689,evaluation_only
C003,2018-10-16,P-V01,P-V01-REF-B,0,0.8311515168,0.8311515168,0.6,evaluation_only
C003,2018-10-16,P-V02,P-V02-REF-A,0,1.038512312,1.038512312,0.6,evaluation_only
C003,2018-10-16,P-V02,P-V02-W001,144.5187834,145.5554693,1.036685947,0.7073981149,evaluation_only
C003,2018-10-16,P-V02,P-V02-W002,108.2577937,109.2075072,0.9497134779,0.7217960265,evaluation_only
C003,2018-10-16,P-V02,P-V02-W003,11.72095637,12.51643744,0.7954810716,0.7339322916,evaluation_only
C003,2018-10-16,P-V02,P-V02-W004,21.46432232,22.43722338,0.9729010651,0.7358310294,evaluation_only
C003,2018-10-16,P-V02,P-V02-W005,108.3416191,109.5562795,1.214660459,0.7343934669,evaluation_only
C003,2018-10-16,P-V02,P-V02-W006,236.3484388,237.6142812,1.265842434,0.7229987835,evaluation_only
C003,2018-10-16,P-V02,P-V02-W007,35.0069905,35.98196896,0.9749784606,0.7080722747,evaluation_only
C003,2018-10-16,P-V02,P-V02-REF-B,0,1.031455956,1.031455956,0.6,evaluation_only
C003,2018-10-16,P-V03,P-V03-REF-A,0,0.09152549248,0.09152549248,0.6,evaluation_only
C003,2018-10-16,P-V03,P-V03-W001,378.5148791,377.2649313,-1.249947853,0.709806132,evaluation_only
C003,2018-10-16,P-V03,P-V03-W002,373.3699379,372.3520456,-1.01789225,0.7196892415,evaluation_only
C003,2018-10-16,P-V03,P-V03-W003,1236.144814,1235.190456,-0.9543575439,0.7249209559,evaluation_only
C003,2018-10-16,P-V03,P-V03-W004,1594.607925,1593.737923,-0.870002555,0.7261369496,evaluation_only
C003,2018-10-16,P-V03,P-V03-W005,345.6923789,344.9737359,-0.7186430381,0.7196399157,evaluation_only
C003,2018-10-16,P-V03,P-V03-W006,307.3526879,306.5864631,-0.7662247616,0.7121173834,evaluation_only
C003,2018-10-16,P-V03,P-V03-W007,206.4117305,205.7715466,-0.6401838717,0.7020576669,evaluation_only
C003,2018-10-16,P-V03,P-V03-REF-B,0,-0.6182959539,-0.6182959539,0.6,evaluation_only
C003,2018-10-16,P-V04,P-V04-REF-A,0,-0.2022736114,-0.2022736114,0.7479143648,evaluation_only
C003,2018-10-16,P-V04,P-V04-W001,185.5447322,185.869196,0.3244637494,1.012837484,evaluation_only
C003,2018-10-16,P-V04,P-V04-W002,188.5168741,188.9024468,0.3855727094,1.029739828,evaluation_only
C003,2018-10-16,P-V04,P-V04-W003,188.6282245,188.5516954,-0.07652911818,1.044623436,evaluation_only
C003,2018-10-16,P-V04,P-V04-W004,323.383336,323.0293351,-0.3540009583,1.05087684,evaluation_only
C003,2018-10-16,P-V04,P-V04-W005,328.6756329,328.2874845,-0.3881483796,1.047654295,evaluation_only
C003,2018-10-16,P-V04,P-V04-W006,228.7440346,228.194638,-0.549396552,1.038903958,evaluation_only
C003,2018-10-16,P-V04,P-V04-W007,220.1790302,219.3811927,-0.7978375176,1.020061737,evaluation_only
C003,2018-10-16,P-V04,P-V04-REF-B,0,0.2144459848,0.2144459848,0.7740280925,evaluation_only
C003,2018-10-16,P-V05,P-V05-REF-A,0,-0.3677662557,-0.3677662557,0.6,evaluation_only
C003,2018-10-16,P-V05,P-V05-W001,1190.158603,1190.003339,-0.155264415,0.6974785222,evaluation_only
C003,2018-10-16,P-V05,P-V05-W002,1338.727971,1337.689304,-1.038666992,0.7109706381,evaluation_only
C003,2018-10-16,P-V05,P-V05-W004,1266.003012,1265.352836,-0.6501755672,0.7106518334,evaluation_only
C003,2018-10-16,P-V05,P-V05-W005,1344.5473,1343.982846,-0.5644539409,0.703517337,evaluation_only
C003,2018-10-16,P-V05,P-V05-W006,1391.348205,1390.689672,-0.6585335067,0.6954751924,evaluation_only
C003,2018-10-16,P-V05,P-V05-W007,1623.591339,1622.693124,-0.8982142584,0.6788933804,evaluation_only
C003,2018-10-16,P-V05,P-V05-REF-B,0,0.08481443766,0.08481443766,0.6,evaluation_only
C003,2018-10-16,P-V06,P-V06-REF-A,0,-0.439346773,-0.439346773,0.6,evaluation_only
