sample_id,early_acceleration_label,days_to_event,true_velocity_mm_y,event_onset_date
ST-004::2023-04-01,0,183,19.30946988,2023-10-01
ST-004::2023-05-01,1,153,18.19178073,2023-10-01
ST-004::2023-06-01,1,122,23.05447222,2023-10-01
ST-004::2023-08-01,1,61,27.8112084,2023-10-01
ST-004::2023-11-01,0,-31,46.59150163,2023-10-01
ST-004::2023-12-01,0,-61,50.45936349,2023-10-01
ST-004::2024-02-01,0,-123,56.63234715,2023-10-01
ST-004::2024-04-01,0,-183,57.25076015,2023-10-01
ST-004::2024-05-01,0,-213,65.60167831,2023-10-01
ST-004::2024-07-01,0,-274,63.11885642,2023-10-01
ST-004::2024-08-01,0,-305,64.78315739,2023-10-01
ST-004::2024-11-01,0,-397,65.2815425,2023-10-01
ST-004::2025-02-01,0,-489,70.92584349,2023-10-01
ST-004::2025-05-01,0,-578,60.1565281,2023-10-01
ST-004::2025-08-01,0,-670,68.435712,2023-10-01
ST-004::2025-11-01,0,-762,68.96378258,2023-10-01
ST-005::2022-11-01,0,517,0,2024-04-01
ST-005::2023-02-01,0,425,0,2024-04-01
ST-005::2023-05-01,0,336,2.517796274,2024-04-01
ST-005::2023-07-01,0,275,5.399647147,2024-04-01
ST-005::2023-08-01,0,244,2.189423858,2024-04-01
ST-005::2023-10-01,0,183,0,2024-04-01
ST-005::2023-11-01,1,152,3.196885211,2024-04-01
ST-005::2023-12-01,1,122,5.14443679,2024-04-01
ST-005::2024-02-01,1,60,4.44617294,2024-04-01
ST-005::2024-03-01,1,31,2.814830917,2024-04-01
ST-005::2024-05-01,0,-30,93.69881829,2024-04-01
ST-005::2024-06-01,0,-61,90.44847412,2024-04-01
ST-005::2024-08-01,0,-122,93.72748422,2024-04-01
ST-005::2024-10-01,0,-183,91.87991726,2024-04-01
ST-005::2024-11-01,0,-214,92.7288387,2024-04-01
ST-005::2025-01-01,0,-275,89.56149752,2024-04-01
ST-005::2025-02-01,0,-306,92.55930278,2024-04-01
ST-005::2025-05-01,0,-395,95.69600806,2024-04-01
ST-005::2025-08-01,0,-487,91.3524969,2024-04-01
ST-005::2025-11-01,0,-579,91.85787227,2024-04-01
ST-006::2022-11-01,0,700,7.975403604,2024-10-01
ST-006::2023-02-01,0,608,8.280549975,2024-10-01
ST-006::2023-05-01,0,519,11.28888695,2024-10-01
ST-006::2023-08-01,0,427,13.59990028,2024-10-01
ST-006::2024-01-01,0,274,10.09219286,2024-10-01
ST-006::2024-02-01,0,243,14.08906264,2024-10-01
ST-006::2024-04-01,0,183,10.52838692,2024-10-01
ST-006::2024-05-01,1,153,13.51278,2024-10-01
ST-006::2024-06-01,1,122,16.71943733,2024-10-01
ST-006::2024-08-01,1,61,16.71448635,2024-10-01
ST-006::2024-09-01,1,30,24.39830017,2024-10-01
ST-006::2024-11-01,0,-31,32.22339415,2024-10-01
ST-006::2024-12-01,0,-61,30.75203528,2024-10-01
ST-006::2025-02-01,0,-123,44.27637437,2024-10-01
ST-006::2025-04-01,0,-182,52.34777659,2024-10-01
ST-006::2025-05-01,0,-212,57.29781529,2024-10-01
ST-006::2025-07-01,0,-273,69.93099972,2024-10-01
ST-006::2025-11-01,0,-396,70.6685468,2024-10-01
ST-007::2022-11-01,0,851,8.735509624,2025-03-01
ST-007::2023-02-01,0,759,5.467591159,2025-03-01
ST-007::2023-05-01,0,670,0.4514661332,2025-03-01
ST-007::2023-08-01,0,578,6.667310637,2025-03-01
ST-007::2024-05-01,0,304,6.65256815,2025-03-01
ST-007::2024-06-01,0,273,5.179071428,2025-03-01
ST-007::2024-08-01,0,212,11.11709848,2025-03-01
ST-007::2024-09-01,0,181,13.83029612,2025-03-01
ST-007::2024-11-01,1,120,9.950486743,2025-03-01
ST-007::2025-01-01,1,59,19.20966473,2025-03-01
ST-007::2025-02-01,1,28,31.07038022,2025-03-01
ST-007::2025-04-01,0,-31,37.03006689,2025-03-01
ST-007::2025-05-01,0,-61,39.22668807,2025-03-01
ST-007::2025-08-01,0,-153,51.75411415,2025-03-01
ST-007::2025-09-01,0,-184,52.55875021,2025-03-01
ST-007::2025-11-01,0,-245,51.06888278,2025-03-01
ST-007::2025-12-01,0,-275,54.07317954,2025-03-01
ST-008::2022-11-01,0,973,10.98784283,2025-07-01
ST-008::2023-02-01,0,881,8.510721549,2025-07-01
ST-008::2023-05-01,0,792,9.609802582,2025-07-01
ST-008::2023-08-01,0,700,13.30749307,2025-07-01
ST-008::2023-11-01,0,608,10.99876376,2025-07-01
ST-008::2024-02-01,0,516,7.467134631,2025-07-01
ST-008::2024-05-01,0,426,12.3856524,2025-07-01
ST-008::2024-08-01,0,334,11.20499126,2025-07-01
ST-008::2024-10-01,0,273,11.18181999,2025-07-01
ST-008::2024-11-01,0,242,11.46284949,2025-07-01
ST-008::2025-01-01,0,181,8.006096648,2025-07-01
ST-008::2025-02-01,1,150,10.15751844,2025-07-01
ST-008::2025-03-01,1,122,15.57462093,2025-07-01
ST-008::2025-05-01,1,61,15.91203937,2025-07-01
ST-008::2025-06-01,1,30,22.69572354,2025-07-01
ST-008::2025-08-01,0,-31,44.35773874,2025-07-01
ST-008::2025-09-01,0,-62,51.45940356,2025-07-01
ST-008::2025-11-01,0,-123,55.75497236,2025-07-01
ST-009::2022-06-01,0,-61,97.72684007,2022-04-01
ST-009::2022-08-01,0,-122,58.20769634,2022-04-01
ST-009::2022-10-01,0,-183,33.83407167,2022-04-01
ST-009::2022-11-01,0,-214,32.88840612,2022-04-01
ST-009::2023-02-01,0,-306,30.82322227,2022-04-01
ST-009::2023-05-01,0,-395,31.62720019,2022-04-01
ST-009::2023-08-01,0,-487,30.69912636,2022-04-01
ST-009::2023-11-01,0,-579,26.16649308,2022-04-01
ST-009::2024-02-01,0,-671,32.48164164,2022-04-01
ST-009::2024-05-01,0,-761,31.23354222,2022-04-01
ST-009::2024-08-01,0,-853,29.03490446,2022-04-01
ST-009::2024-11-01,0,-945,34.48763729,2022-04-01
ST-009::2025-02-01,0,-1037,32.36674849,2022-04-01
ST-009::2025-05-01,0,-1126,32.45573361,2022-04-01
ST-009::2025-08-01,0,-1218,28.88352675,2022-04-01
ST-009::2025-11-01,0,-1310,34.32583404,2022-04-01
ST-010::2022-05-01,1,153,32.29857812,2022-10-01
ST-010::2022-06-01,1,122,30.8526292,2022-10-01
ST-010::2022-08-01,1,61,40.93993588,2022-10-01
ST-010::2022-09-01,1,30,48.40305832,2022-10-01
ST-010::2022-11-01,0,-31,62.18702584,2022-10-01
ST-010::2022-12-01,0,-61,71.39005518,2022-10-01
ST-010::2023-02-01,0,-123,85.10883398,2022-10-01
ST-010::2023-04-01,0,-182,84.39445174,2022-10-01
ST-010::2023-05-01,0,-212,86.17294434,2022-10-01
ST-010::2023-07-01,0,-273,90.86394233,2022-10-01
ST-010::2023-08-01,0,-304,92.03467349,2022-10-01
ST-010::2023-11-01,0,-396,93.97681677,2022-10-01
ST-010::2024-02-01,0,-488,92.79757774,2022-10-01
ST-010::2024-05-01,0,-578,87.64407677,2022-10-01
ST-010::2024-08-01,0,-670,90.03152182,2022-10-01
ST-010::2024-11-01,0,-762,90.10421619,2022-10-01
ST-010::2025-02-01,0,-854,89.50142095,2022-10-01
ST-010::2025-05-01,0,-943,92.95849747,2022-10-01
ST-010::2025-08-01,0,-1035,85.17687966,2022-10-01
ST-010::2025-11-01,0,-1127,88.36514987,2022-10-01
ST-011::2022-08-01,0,243,3.195401152,2023-04-01
ST-011::2022-11-01,1,151,4.738297456,2023-04-01
ST-011::2022-12-01,1,121,5.016245084,2023-04-01
ST-011::2023-02-01,1,59,4.399459247,2023-04-01
ST-011::2023-03-01,1,31,5.615807485,2023-04-01
ST-011::2023-05-01,0,-30,48.20678482,2023-04-01
ST-011::2023-06-01,0,-61,53.31347628,2023-04-01
ST-011::2023-08-01,0,-122,54.47931565,2023-04-01
ST-011::2023-10-01,0,-183,54.08299698,2023-04-01
ST-011::2023-11-01,0,-214,54.34260338,2023-04-01
ST-011::2024-01-01,0,-275,54.75182786,2023-04-01
ST-011::2024-02-01,0,-306,49.62766279,2023-04-01
ST-011::2024-05-01,0,-396,55.34908805,2023-04-01
ST-011::2024-08-01,0,-488,50.93431992,2023-04-01
ST-011::2024-11-01,0,-580,51.48415794,2023-04-01
ST-011::2025-02-01,0,-672,50.4203121,2023-04-01
ST-011::2025-05-01,0,-761,52.87306857,2023-04-01
ST-011::2025-08-01,0,-853,53.20908296,2023-04-01
ST-011::2025-11-01,0,-945,57.56078178,2023-04-01
ST-012::2023-01-01,0,273,2.320852682,2023-10-01
ST-012::2023-02-01,0,242,6.355804825,2023-10-01
ST-012::2023-04-01,0,183,4.015370785,2023-10-01
ST-012::2023-05-01,1,153,9.360782319,2023-10-01
ST-012::2023-06-01,1,122,10.23743973,2023-10-01
ST-012::2023-08-01,1,61,10.23119029,2023-10-01
ST-012::2023-09-01,1,30,14.87365746,2023-10-01
ST-012::2023-11-01,0,-31,21.37420063,2023-10-01
ST-012::2023-12-01,0,-61,24.44972192,2023-10-01
ST-012::2024-02-01,0,-123,37.16722934,2023-10-01
ST-012::2024-04-01,0,-183,45.44203094,2023-10-01
ST-012::2024-05-01,0,-213,48.62885884,2023-10-01
ST-012::2024-07-01,0,-274,52.24205596,2023-10-01
ST-012::2024-08-01,0,-305,57.89672883,2023-10-01
ST-012::2024-11-01,0,-397,61.88862886,2023-10-01
ST-012::2025-02-01,0,-489,66.916674,2023-10-01
ST-012::2025-05-01,0,-578,62.88097879,2023-10-01
ST-012::2025-08-01,0,-670,67.83144305,2023-10-01
ST-012::2025-11-01,0,-762,65.06226407,2023-10-01
ST-013::2022-11-01,0,517,9.240850529,2024-04-01
ST-013::2023-02-01,0,425,10.96943649,2024-04-01
ST-013::2023-05-01,0,336,13.31831503,2024-04-01
ST-013::2023-07-01,0,275,11.55217398,2024-04-01
ST-013::2023-08-01,0,244,14.79355721,2024-04-01
ST-013::2023-10-01,0,183,18.46368673,2024-04-01
ST-013::2023-11-01,1,152,19.35638572,2024-04-01
ST-013::2024-02-01,1,60,33.45061225,2024-04-01
ST-013::2024-03-01,1,31,38.59741923,2024-04-01
ST-013::2024-05-01,0,-30,49.58074788,2024-04-01
ST-013::2024-06-01,0,-61,53.4190839,2024-04-01
ST-013::2024-08-01,0,-122,59.08318845,2024-04-01
ST-013::2024-10-01,0,-183,70.2884674,2024-04-01
ST-013::2024-11-01,0,-214,71.79060221,2024-04-01
ST-013::2025-01-01,0,-275,73.79364019,2024-04-01
ST-013::2025-02-01,0,-306,64.16126253,2024-04-01
ST-013::2025-05-01,0,-395,70.81682694,2024-04-01
ST-013::2025-08-01,0,-487,72.21800504,2024-04-01
ST-013::2025-11-01,0,-579,75.60355371,2024-04-01
ST-014::2022-11-01,0,700,3.2581008,2024-10-01
ST-014::2023-02-01,0,608,8.418669517,2024-10-01
ST-014::2023-05-01,0,519,2.845039398,2024-10-01
ST-014::2023-08-01,0,427,8.071459004,2024-10-01
ST-014::2023-11-01,0,335,4.853265374,2024-10-01
ST-014::2024-01-01,0,274,4.762204295,2024-10-01
ST-014::2024-02-01,0,243,5.987258298,2024-10-01
ST-014::2024-04-01,0,183,1.277115014,2024-10-01
ST-014::2024-05-01,1,153,5.622362738,2024-10-01
ST-014::2024-06-01,1,122,8.247817716,2024-10-01
ST-014::2024-08-01,1,61,18.05966812,2024-10-01
ST-014::2024-11-01,0,-31,36.47994951,2024-10-01
ST-014::2024-12-01,0,-61,48.2465726,2024-10-01
ST-014::2025-02-01,0,-123,51.57058813,2024-10-01
ST-014::2025-04-01,0,-182,53.1585627,2024-10-01
ST-014::2025-05-01,0,-212,55.17532362,2024-10-01
ST-014::2025-07-01,0,-273,57.58668141,2024-10-01
ST-014::2025-08-01,0,-304,59.62660924,2024-10-01
ST-014::2025-11-01,0,-396,58.99953503,2024-10-01
ST-015::2022-11-01,0,851,11.67386337,2025-03-01
ST-015::2023-02-01,0,759,9.492270256,2025-03-01
ST-015::2023-05-01,0,670,11.11871384,2025-03-01
ST-015::2023-08-01,0,578,9.785866658,2025-03-01
ST-015::2023-11-01,0,486,7.660746406,2025-03-01
ST-015::2024-02-01,0,394,14.6658499,2025-03-01
ST-015::2024-06-01,0,273,10.8150028,2025-03-01
ST-015::2024-08-01,0,212,14.35256161,2025-03-01
ST-015::2024-09-01,0,181,17.92996596,2025-03-01
ST-015::2024-11-01,1,120,37.7122406,2025-03-01
ST-015::2025-01-01,1,59,69.99461569,2025-03-01
ST-015::2025-02-01,1,28,89.40812379,2025-03-01
ST-015::2025-04-01,0,-31,93.54640924,2025-03-01
ST-015::2025-05-01,0,-61,86.11593028,2025-03-01
ST-015::2025-07-01,0,-122,52.86379809,2025-03-01
ST-015::2025-08-01,0,-153,43.71151965,2025-03-01
ST-015::2025-09-01,0,-184,36.43927012,2025-03-01
ST-015::2025-11-01,0,-245,31.17447884,2025-03-01
ST-015::2025-12-01,0,-275,33.17040692,2025-03-01
ST-016::2022-11-01,0,973,12.35744054,2025-07-01
ST-016::2023-05-01,0,792,5.573311066,2025-07-01
ST-016::2023-08-01,0,700,5.829066652,2025-07-01
ST-016::2023-11-01,0,608,5.029599308,2025-07-01
ST-016::2024-05-01,0,426,1.091929511,2025-07-01
ST-016::2024-08-01,0,334,1.531482848,2025-07-01
ST-016::2024-10-01,0,273,6.342482445,2025-07-01
ST-016::2024-11-01,0,242,7.83764676,2025-07-01
ST-016::2025-01-01,0,181,9.351598525,2025-07-01
ST-016::2025-02-01,1,150,12.70017052,2025-07-01
ST-016::2025-03-01,1,122,13.53051081,2025-07-01
ST-016::2025-05-01,1,61,22.03460101,2025-07-01
ST-016::2025-08-01,0,-31,47.02138906,2025-07-01
ST-016::2025-09-01,0,-62,58.76719922,2025-07-01
ST-016::2025-11-01,0,-123,63.83203555,2025-07-01
ST-017::2022-08-01,0,-122,68.97630654,2022-04-01
ST-017::2022-10-01,0,-183,70.45894966,2022-04-01
ST-017::2022-11-01,0,-214,71.83564209,2022-04-01
ST-017::2023-01-01,0,-275,71.8760453,2022-04-01
ST-017::2023-02-01,0,-306,71.25411164,2022-04-01
ST-017::2023-05-01,0,-395,71.83635029,2022-04-01
ST-017::2023-08-01,0,-487,78.12838266,2022-04-01
ST-017::2023-11-01,0,-579,71.60489244,2022-04-01
ST-017::2024-02-01,0,-671,74.81406012,2022-04-01
ST-017::2024-05-01,0,-761,76.17215944,2022-04-01
ST-017::2024-08-01,0,-853,73.76760922,2022-04-01
ST-017::2024-11-01,0,-945,75.05974984,2022-04-01
ST-017::2025-05-01,0,-1126,75.29093088,2022-04-01
ST-017::2025-08-01,0,-1218,73.62342774,2022-04-01
ST-017::2025-11-01,0,-1310,68.7450503,2022-04-01
ST-018::2022-05-01,1,153,10.51959438,2022-10-01
ST-018::2022-06-01,1,122,9.310966772,2022-10-01
ST-018::2022-08-01,1,61,14.83537732,2022-10-01
ST-018::2022-09-01,1,30,14.63657519,2022-10-01
ST-018::2022-11-01,0,-31,34.12036712,2022-10-01
ST-018::2022-12-01,0,-61,35.4946576,2022-10-01
ST-018::2023-02-01,0,-123,48.4067692,2022-10-01
ST-018::2023-04-01,0,-182,64.07804864,2022-10-01
ST-018::2023-05-01,0,-212,68.08375552,2022-10-01
ST-018::2023-07-01,0,-273,77.3653378,2022-10-01
ST-018::2023-08-01,0,-304,82.59192538,2022-10-01
ST-018::2023-11-01,0,-396,85.40299271,2022-10-01
ST-018::2024-02-01,0,-488,93.06085125,2022-10-01
ST-018::2024-05-01,0,-578,90.22725882,2022-10-01
ST-018::2024-08-01,0,-670,91.67864539,2022-10-01
ST-018::2024-11-01,0,-762,93.73700779,2022-10-01
ST-018::2025-02-01,0,-854,92.7550258,2022-10-01
ST-018::2025-05-01,0,-943,95.06767739,2022-10-01
ST-018::2025-08-01,0,-1035,96.5803424,2022-10-01
ST-018::2025-11-01,0,-1127,94.88576306,2022-10-01
ST-019::2022-08-01,0,243,52.87262785,2023-04-01
ST-019::2022-10-01,0,182,60.60099236,2023-04-01
ST-019::2022-11-01,1,151,63.84534295,2023-04-01
ST-019::2022-12-01,1,121,74.2378387,2023-04-01
ST-019::2023-02-01,1,59,87.12044,2023-04-01
ST-019::2023-03-01,1,31,104.9325708,2023-04-01
ST-019::2023-05-01,0,-30,126.4339945,2023-04-01
ST-019::2023-06-01,0,-61,136.5088553,2023-04-01
ST-019::2023-08-01,0,-122,157.3939641,2023-04-01
ST-019::2023-10-01,0,-183,167.6039323,2023-04-01
ST-019::2023-11-01,0,-214,168.9230602,2023-04-01
ST-019::2024-01-01,0,-275,178.039656,2023-04-01
ST-019::2024-05-01,0,-396,182.9453951,2023-04-01
ST-019::2024-08-01,0,-488,175.7788749,2023-04-01
ST-019::2024-11-01,0,-580,178.6573807,2023-04-01
ST-019::2025-02-01,0,-672,181.7980567,2023-04-01
ST-019::2025-05-01,0,-761,180.5861426,2023-04-01
ST-019::2025-08-01,0,-853,180.0612984,2023-04-01
ST-019::2025-11-01,0,-945,184.0466462,2023-04-01
ST-020::2022-11-01,0,334,34.93566273,2023-10-01
ST-020::2023-01-01,0,273,29.12929182,2023-10-01
ST-020::2023-02-01,0,242,30.99082707,2023-10-01
ST-020::2023-04-01,0,183,39.00563253,2023-10-01
ST-020::2023-05-01,1,153,37.85975178,2023-10-01
ST-020::2023-06-01,1,122,39.56900697,2023-10-01
ST-020::2023-08-01,1,61,54.1533108,2023-10-01
ST-020::2023-09-01,1,30,66.13252457,2023-10-01
ST-020::2023-11-01,0,-31,97.8852339,2023-10-01
ST-020::2023-12-01,0,-61,105.3543461,2023-10-01
ST-020::2024-02-01,0,-123,121.9698567,2023-10-01
ST-020::2024-04-01,0,-183,129.2135436,2023-10-01
ST-020::2024-05-01,0,-213,132.091346,2023-10-01
ST-020::2024-07-01,0,-274,127.2756909,2023-10-01
ST-020::2024-08-01,0,-305,131.7647064,2023-10-01
ST-020::2024-11-01,0,-397,133.1782144,2023-10-01
ST-020::2025-02-01,0,-489,128.1863268,2023-10-01
ST-020::2025-05-01,0,-578,128.1215989,2023-10-01
ST-020::2025-08-01,0,-670,130.7717957,2023-10-01
ST-020::2025-11-01,0,-762,134.5020553,2023-10-01
ST-021::2022-11-01,0,517,38.58571635,2024-04-01
ST-021::2023-02-01,0,425,41.45862714,2024-04-01
ST-021::2023-05-01,0,336,45.55468428,2024-04-01
ST-021::2023-07-01,0,275,41.16235749,2024-04-01
ST-021::2023-08-01,0,244,44.98196741,2024-04-01
ST-021::2023-10-01,0,183,52.62457858,2024-04-01
ST-021::2023-11-01,1,152,60.65288144,2024-04-01
ST-021::2023-12-01,1,122,78.95052464,2024-04-01
ST-021::2024-02-01,1,60,141.889621,2024-04-01
ST-021::2024-03-01,1,31,162.0561827,2024-04-01
ST-021::2024-05-01,0,-30,176.7772633,2024-04-01
ST-021::2024-06-01,0,-61,162.3419934,2024-04-01
ST-021::2024-08-01,0,-122,112.0249495,2024-04-01
ST-021::2024-10-01,0,-183,79.98477079,2024-04-01
ST-021::2024-11-01,0,-214,78.81769844,2024-04-01
ST-021::2025-01-01,0,-275,72.02129422,2024-04-01
ST-021::2025-02-01,0,-306,73.83380034,2024-04-01
ST-021::2025-08-01,0,-487,72.30059153,2024-04-01
ST-021::2025-11-01,0,-579,73.31059042,2024-04-01
ST-022::2022-11-01,0,700,53.40171779,2024-10-01
ST-022::2023-02-01,0,608,44.21191366,2024-10-01
ST-022::2023-05-01,0,519,44.29960993,2024-10-01
ST-022::2023-08-01,0,427,42.87466279,2024-10-01
ST-022::2023-11-01,0,335,43.30620756,2024-10-01
ST-022::2024-01-01,0,274,48.12149993,2024-10-01
ST-022::2024-02-01,0,243,47.04902892,2024-10-01
ST-022::2024-04-01,0,183,49.27128736,2024-10-01
ST-022::2024-05-01,1,153,53.77519021,2024-10-01
ST-022::2024-06-01,1,122,58.44123033,2024-10-01
ST-022::2024-08-01,1,61,74.07364084,2024-10-01
ST-022::2024-09-01,1,30,89.74449186,2024-10-01
ST-022::2024-11-01,0,-31,112.9510029,2024-10-01
ST-022::2024-12-01,0,-61,129.2866409,2024-10-01
ST-022::2025-02-01,0,-123,150.1949419,2024-10-01
ST-022::2025-04-01,0,-182,157.5958011,2024-10-01
ST-022::2025-07-01,0,-273,167.5630086,2024-10-01
ST-022::2025-08-01,0,-304,161.0551681,2024-10-01
ST-022::2025-11-01,0,-396,162.1546131,2024-10-01
ST-023::2022-11-01,0,851,26.25073326,2025-03-01
ST-023::2023-02-01,0,759,36.76199771,2025-03-01
ST-023::2023-05-01,0,670,32.87076683,2025-03-01
ST-023::2023-08-01,0,578,29.28684711,2025-03-01
ST-023::2023-11-01,0,486,28.60989705,2025-03-01
ST-023::2024-02-01,0,394,32.97053105,2025-03-01
ST-023::2024-05-01,0,304,25.8240711,2025-03-01
ST-023::2024-08-01,0,212,31.69826751,2025-03-01
ST-023::2024-09-01,0,181,30.57928563,2025-03-01
ST-023::2024-11-01,1,120,28.83324408,2025-03-01
ST-023::2025-01-01,1,59,31.11995784,2025-03-01
ST-023::2025-02-01,1,28,31.18349942,2025-03-01
ST-023::2025-04-01,0,-31,135.8719073,2025-03-01
ST-023::2025-05-01,0,-61,134.0282978,2025-03-01
ST-023::2025-07-01,0,-122,128.7648326,2025-03-01
ST-023::2025-08-01,0,-153,132.3019101,2025-03-01
ST-023::2025-09-01,0,-184,132.1289823,2025-03-01
ST-023::2025-11-01,0,-245,134.2924237,2025-03-01
ST-023::2025-12-01,0,-275,133.1774454,2025-03-01
ST-024::2022-11-01,0,973,24.66795125,2025-07-01
ST-024::2023-02-01,0,881,25.14606284,2025-07-01
ST-024::2023-05-01,0,792,23.92074034,2025-07-01
ST-024::2023-08-01,0,700,28.83666763,2025-07-01
ST-024::2023-11-01,0,608,23.15794782,2025-07-01
ST-024::2024-02-01,0,516,24.6065757,2025-07-01
ST-024::2024-05-01,0,426,26.51978333,2025-07-01
ST-024::2024-08-01,0,334,23.39374331,2025-07-01
ST-024::2024-10-01,0,273,28.48125243,2025-07-01
ST-024::2024-11-01,0,242,27.08849732,2025-07-01
ST-024::2025-01-01,0,181,32.83922556,2025-07-01
ST-024::2025-02-01,1,150,32.27503751,2025-07-01
ST-024::2025-03-01,1,122,38.61957253,2025-07-01
ST-024::2025-05-01,1,61,46.52741731,2025-07-01
ST-024::2025-06-01,1,30,45.28255454,2025-07-01
ST-024::2025-08-01,0,-31,58.45802765,2025-07-01
ST-024::2025-09-01,0,-62,71.67319626,2025-07-01
ST-025::2022-06-01,0,-61,145.4844295,2022-04-01
ST-025::2022-08-01,0,-122,165.1106428,2022-04-01
ST-025::2022-10-01,0,-183,189.5206217,2022-04-01
ST-025::2022-11-01,0,-214,184.7791883,2022-04-01
ST-025::2023-01-01,0,-275,192.0141153,2022-04-01
ST-025::2023-02-01,0,-306,193.6661402,2022-04-01
ST-025::2023-05-01,0,-395,200.2850018,2022-04-01
ST-025::2023-08-01,0,-487,200.0428813,2022-04-01
ST-025::2023-11-01,0,-579,203.338098,2022-04-01
ST-025::2024-02-01,0,-671,196.0094372,2022-04-01
ST-025::2024-05-01,0,-761,199.4416966,2022-04-01
ST-025::2024-08-01,0,-853,195.9183855,2022-04-01
ST-025::2024-11-01,0,-945,199.6676106,2022-04-01
ST-025::2025-02-01,0,-1037,195.8247963,2022-04-01
ST-025::2025-05-01,0,-1126,202.8724601,2022-04-01
ST-025::2025-08-01,0,-1218,200.526894,2022-04-01
ST-025::2025-11-01,0,-1310,200.2101047,2022-04-01
ST-026::2022-05-01,1,153,48.16112976,2022-10-01
ST-026::2022-06-01,1,122,50.15430296,2022-10-01
ST-026::2022-08-01,1,61,67.14033573,2022-10-01
ST-026::2022-09-01,1,30,85.46756565,2022-10-01
ST-026::2022-11-01,0,-31,131.1273674,2022-10-01
ST-026::2022-12-01,0,-61,157.4286763,2022-10-01
ST-026::2023-02-01,0,-123,174.7488683,2022-10-01
ST-026::2023-04-01,0,-182,178.9255574,2022-10-01
ST-026::2023-05-01,0,-212,182.9306781,2022-10-01
ST-026::2023-07-01,0,-273,182.6157899,2022-10-01
ST-026::2023-08-01,0,-304,185.1059427,2022-10-01
ST-026::2023-11-01,0,-396,182.2842416,2022-10-01
ST-026::2024-02-01,0,-488,183.1535039,2022-10-01
ST-026::2024-05-01,0,-578,182.5268626,2022-10-01
ST-026::2024-08-01,0,-670,180.4658116,2022-10-01
