point_id,transition_date,process_family,from_stage,to_stage,provenance
P-H02-W006,2021-01-01,reactivated,decaying,quiescent,S
P-H02-W006,2023-10-01,reactivated,quiescent,reactivated,S
P-H02-W006,2024-08-01,reactivated,reactivated,active_secondary,S
P-H02-W007,2018-01-01,uniform_creep,,startup,S
P-H02-W007,2019-01-01,uniform_creep,startup,uniform,S
P-H03-REF-A,2018-01-01,stable_reference,,stable_reference,S
P-H03-REF-B,2018-01-01,stable_reference,,stable_reference,S
P-H03-W001,2018-01-01,decaying,,active,S
P-H03-W001,2019-01-01,decaying,active,decaying,S
P-H03-W001,2024-01-01,decaying,decaying,residual,S
P-H03-W002,2018-01-01,decaying,,active,S
P-H03-W002,2019-01-01,decaying,active,decaying,S
P-H03-W002,2024-01-01,decaying,decaying,residual,S
P-H03-W003,2018-01-01,decaying,,active,S
P-H03-W003,2019-01-01,decaying,active,decaying,S
P-H03-W003,2024-01-01,decaying,decaying,residual,S
P-H03-W004,2018-01-01,decaying,,active,S
P-H03-W004,2019-01-01,decaying,active,decaying,S
P-H03-W004,2024-01-01,decaying,decaying,residual,S
P-H03-W005,2018-01-01,decaying,,active,S
P-H03-W005,2019-01-01,decaying,active,decaying,S
P-H03-W005,2024-01-01,decaying,decaying,residual,S
P-H03-W006,2018-01-01,decaying,,active,S
P-H03-W006,2019-01-01,decaying,active,decaying,S
P-H03-W006,2024-01-01,decaying,decaying,residual,S
P-H03-W007,2018-01-01,accelerating,,background,S
P-H03-W007,2022-07-01,accelerating,background,accelerating,S
P-H03-W007,2023-07-01,accelerating,accelerating,elevated,S
P-H04-REF-A,2018-01-01,stable_reference,,stable_reference,S
P-H04-REF-B,2018-01-01,stable_reference,,stable_reference,S
P-H04-W001,2018-01-01,reactivated,,active_initial,S
P-H04-W001,2019-01-01,reactivated,active_initial,decaying,S
P-H04-W001,2021-01-01,reactivated,decaying,quiescent,S
P-H04-W001,2024-03-01,reactivated,quiescent,reactivated,S
P-H04-W001,2025-01-01,reactivated,reactivated,active_secondary,S
P-H04-W002,2018-01-01,step_change,,background,S
P-H04-W002,2022-09-01,step_change,background,step_transition,S
P-H04-W002,2022-11-01,step_change,step_transition,post_step,S
P-H04-W003,2018-01-01,step_change,,background,S
P-H04-W003,2023-09-01,step_change,background,step_transition,S
P-H04-W003,2024-01-01,step_change,step_transition,post_step,S
P-H04-W004,2018-01-01,reactivated,,active_initial,S
P-H04-W004,2019-01-01,reactivated,active_initial,decaying,S
P-H04-W004,2021-01-01,reactivated,decaying,quiescent,S
P-H04-W004,2024-10-01,reactivated,quiescent,reactivated,S
P-H04-W004,2025-08-01,reactivated,reactivated,active_secondary,S
P-H04-W005,2018-01-01,step_change,,background,S
P-H04-W005,2024-08-01,step_change,background,step_transition,S
P-H04-W005,2024-11-01,step_change,step_transition,post_step,S
P-H04-W006,2018-01-01,accelerating,,background,S
P-H04-W006,2022-12-01,accelerating,background,accelerating,S
P-H04-W006,2023-12-01,accelerating,accelerating,elevated,S
P-H04-W007,2018-01-01,decaying,,active,S
P-H04-W007,2019-01-01,decaying,active,decaying,S
P-H04-W007,2024-01-01,decaying,decaying,residual,S
P-H05-REF-A,2018-01-01,stable_reference,,stable_reference,S
P-H05-REF-B,2018-01-01,stable_reference,,stable_reference,S
P-H05-W001,2018-01-01,uniform_creep,,startup,S
P-H05-W001,2019-01-01,uniform_creep,startup,uniform,S
P-H05-W002,2018-01-01,decaying,,active,S
P-H05-W002,2019-01-01,decaying,active,decaying,S
P-H05-W002,2024-01-01,decaying,decaying,residual,S
P-H05-W003,2018-01-01,decaying,,active,S
P-H05-W003,2019-01-01,decaying,active,decaying,S
P-H05-W003,2024-01-01,decaying,decaying,residual,S
P-H05-W004,2018-01-01,accelerating,,background,S
P-H05-W004,2023-06-01,accelerating,background,accelerating,S
P-H05-W004,2024-06-01,accelerating,accelerating,elevated,S
P-H05-W005,2018-01-01,accelerating,,background,S
P-H05-W005,2023-11-01,accelerating,background,accelerating,S
P-H05-W005,2024-11-01,accelerating,accelerating,elevated,S
P-H05-W006,2018-01-01,accelerating,,background,S
P-H05-W006,2024-05-01,accelerating,background,accelerating,S
P-H05-W006,2025-05-01,accelerating,accelerating,elevated,S
P-H05-W007,2018-01-01,reactivated,,active_initial,S
P-H05-W007,2019-01-01,reactivated,active_initial,decaying,S
P-H05-W007,2021-01-01,reactivated,decaying,quiescent,S
P-H05-W007,2025-01-01,reactivated,quiescent,reactivated,S
P-H05-W007,2025-11-01,reactivated,reactivated,active_secondary,S
P-H06-REF-A,2018-01-01,stable_reference,,stable_reference,S
P-H06-REF-B,2018-01-01,stable_reference,,stable_reference,S
P-H06-W001,2018-01-01,stable,,stable,S
P-H06-W002,2018-01-01,stable,,stable,S
P-H06-W003,2018-01-01,stable,,stable,S
P-H06-W004,2018-01-01,stable,,stable,S
P-H06-W005,2018-01-01,stable,,stable,S
P-H06-W006,2018-01-01,stable,,stable,S
P-H06-W007,2018-01-01,stable,,stable,S
P-H07-REF-A,2018-01-01,stable_reference,,stable_reference,S
P-H07-REF-B,2018-01-01,stable_reference,,stable_reference,S
P-H07-W001,2018-01-01,uniform_creep,,startup,S
P-H07-W001,2019-01-01,uniform_creep,startup,uniform,S
P-H07-W002,2018-01-01,decaying,,active,S
P-H07-W002,2019-01-01,decaying,active,decaying,S
P-H07-W002,2024-01-01,decaying,decaying,residual,S
P-H07-W003,2018-01-01,stable,,stable,S
P-H07-W004,2018-01-01,uniform_creep,,startup,S
P-H07-W004,2019-01-01,uniform_creep,startup,uniform,S
P-H07-W005,2018-01-01,stable,,stable,S
P-H07-W006,2018-01-01,uniform_creep,,startup,S
P-H07-W006,2019-01-01,uniform_creep,startup,uniform,S
P-H07-W007,2018-01-01,uniform_creep,,startup,S
P-H07-W007,2019-01-01,uniform_creep,startup,uniform,S
P-V01-REF-A,2018-01-01,stable_reference,,stable_reference,S
P-V01-REF-B,2018-01-01,stable_reference,,stable_reference,S
P-V01-W001,2018-01-01,uniform_creep,,startup,S
P-V01-W001,2019-01-01,uniform_creep,startup,uniform,S
P-V01-W002,2018-01-01,uniform_creep,,startup,S
P-V01-W002,2019-01-01,uniform_creep,startup,uniform,S
P-V01-W003,2018-01-01,decaying,,active,S
P-V01-W003,2019-01-01,decaying,active,decaying,S
P-V01-W003,2024-01-01,decaying,decaying,residual,S
P-V01-W004,2018-01-01,decaying,,active,S
P-V01-W004,2019-01-01,decaying,active,decaying,S
P-V01-W004,2024-01-01,decaying,decaying,residual,S
P-V01-W005,2018-01-01,decaying,,active,S
P-V01-W005,2019-01-01,decaying,active,decaying,S
P-V01-W005,2024-01-01,decaying,decaying,residual,S
P-V01-W006,2018-01-01,uniform_creep,,startup,S
P-V01-W006,2019-01-01,uniform_creep,startup,uniform,S
P-V01-W007,2018-01-01,decaying,,active,S
P-V01-W007,2019-01-01,decaying,active,decaying,S
P-V01-W007,2024-01-01,decaying,decaying,residual,S
P-V02-REF-A,2018-01-01,stable_reference,,stable_reference,S
P-V02-REF-B,2018-01-01,stable_reference,,stable_reference,S
P-V02-W001,2018-01-01,decaying,,active,S
P-V02-W001,2019-01-01,decaying,active,decaying,S
P-V02-W001,2024-01-01,decaying,decaying,residual,S
P-V02-W002,2018-01-01,decaying,,active,S
P-V02-W002,2019-01-01,decaying,active,decaying,S
P-V02-W002,2024-01-01,decaying,decaying,residual,S
P-V02-W003,2018-01-01,uniform_creep,,startup,S
P-V02-W003,2019-01-01,uniform_creep,startup,uniform,S
P-V02-W004,2018-01-01,uniform_creep,,startup,S
P-V02-W004,2019-01-01,uniform_creep,startup,uniform,S
P-V02-W005,2018-01-01,decaying,,active,S
P-V02-W005,2019-01-01,decaying,active,decaying,S
P-V02-W005,2024-01-01,decaying,decaying,residual,S
P-V02-W006,2018-01-01,step_change,,background,S
P-V02-W006,2025-04-01,step_change,background,step_transition,S
P-V02-W006,2025-07-01,step_change,step_transition,post_step,S
P-V02-W007,2018-01-01,uniform_creep,,startup,S
P-V02-W007,2019-01-01,uniform_creep,startup,uniform,S
P-V03-REF-A,2018-01-01,stable_reference,,stable_reference,S
P-V03-REF-B,2018-01-01,stable_reference,,stable_reference,S
P-V03-W001,2018-01-01,uniform_creep,,startup,S
P-V03-W001,2019-01-01,uniform_creep,startup,uniform,S
P-V03-W002,2018-01-01,uniform_creep,,startup,S
P-V03-W002,2019-01-01,uniform_creep,startup,uniform,S
P-V03-W003,2018-01-01,uniform_creep,,startup,S
P-V03-W003,2019-01-01,uniform_creep,startup,uniform,S
P-V03-W004,2018-01-01,accelerating,,background,S
P-V03-W004,2024-11-01,accelerating,background,accelerating,S
P-V03-W004,2025-11-01,accelerating,accelerating,elevated,S
P-V03-W005,2018-01-01,uniform_creep,,startup,S
P-V03-W005,2019-01-01,uniform_creep,startup,uniform,S
P-V03-W006,2018-01-01,uniform_creep,,startup,S
P-V03-W006,2019-01-01,uniform_creep,startup,uniform,S
P-V03-W007,2018-01-01,stable,,stable,S
P-V04-REF-A,2018-01-01,stable_reference,,stable_reference,S
P-V04-REF-B,2018-01-01,stable_reference,,stable_reference,S
P-V04-W001,2018-01-01,stable,,stable,S
P-V04-W002,2018-01-01,stable,,stable,S
P-V04-W003,2018-01-01,stable,,stable,S
P-V04-W004,2018-01-01,stable,,stable,S
P-V04-W005,2018-01-01,stable,,stable,S
P-V04-W006,2018-01-01,stable,,stable,S
P-V04-W007,2018-01-01,uniform_creep,,startup,S
P-V04-W007,2019-01-01,uniform_creep,startup,uniform,S
P-V05-REF-A,2018-01-01,stable_reference,,stable_reference,S
P-V05-REF-B,2018-01-01,stable_reference,,stable_reference,S
P-V05-W001,2018-01-01,accelerating,,background,S
P-V05-W001,2025-01-01,accelerating,background,accelerating,S
P-V05-W002,2018-01-01,decaying,,active,S
P-V05-W002,2019-01-01,decaying,active,decaying,S
P-V05-W002,2024-01-01,decaying,decaying,residual,S
P-V05-W003,2018-01-01,uniform_creep,,startup,S
P-V05-W003,2019-01-01,uniform_creep,startup,uniform,S
P-V05-W004,2018-01-01,uniform_creep,,startup,S
P-V05-W004,2019-01-01,uniform_creep,startup,uniform,S
P-V05-W005,2018-01-01,uniform_creep,,startup,S
P-V05-W005,2019-01-01,uniform_creep,startup,uniform,S
P-V05-W006,2018-01-01,accelerating,,background,S
P-V05-W006,2025-03-01,accelerating,background,accelerating,S
P-V05-W007,2018-01-01,uniform_creep,,startup,S
P-V05-W007,2019-01-01,uniform_creep,startup,uniform,S
P-V06-REF-A,2018-01-01,stable_reference,,stable_reference,S
P-V06-REF-B,2018-01-01,stable_reference,,stable_reference,S
P-V06-W001,2018-01-01,uniform_creep,,startup,S
P-V06-W001,2019-01-01,uniform_creep,startup,uniform,S
P-V06-W002,2018-01-01,accelerating,,background,S
P-V06-W002,2025-05-01,accelerating,background,accelerating,S
P-V06-W003,2018-01-01,step_change,,background,S
P-V06-W003,2025-08-01,step_change,background,step_transition,S
P-V06-W003,2025-12-01,step_change,step_transition,post_step,S
P-V06-W004,2018-01-01,reactivated,,active_initial,S
P-V06-W004,2019-01-01,reactivated,active_initial,decaying,S
P-V06-W004,2021-01-01,reactivated,decaying,quiescent,S
P-V06-W004,2025-04-01,reactivated,quiescent,reactivated,S
P-V06-W005,2018-01-01,decaying,,active,S
P-V06-W005,2019-01-01,decaying,active,decaying,S
P-V06-W005,2024-01-01,decaying,decaying,residual,S
P-V06-W006,2018-01-01,decaying,,active,S
P-V06-W006,2019-01-01,decaying,active,decaying,S
P-V06-W006,2024-01-01,decaying,decaying,residual,S
P-V06-W007,2018-01-01,decaying,,active,S
P-V06-W007,2019-01-01,decaying,active,decaying,S
P-V06-W007,2024-01-01,decaying,decaying,residual,S
