sample_id,observed_next_increment_mm,hidden_true_next_increment_mm,hidden_true_next_rate_mm_y,next_observation_uncertainty_mm,use_class
P-D01-W004::C024::C026,-0.05103765173,1.043634511,3.403459867,1.341135124,evaluation_only
P-D01-W004::C026::C027,2.646519728,2.589019959,2.936768757,0.7440148881,evaluation_only
P-D01-W004::C027::C029,0.05206821558,0.461907079,1.606776768,0.928512857,evaluation_only
P-D01-W005::C005::C007,17.59934157,16.35808675,34.14166391,0.8636675608,evaluation_only
P-D01-W005::C007::C008,13.92342788,15.77096617,34.28777019,1.225971399,evaluation_only
P-D01-W005::C008::C009,4.876976884,3.184601724,27.69466142,0.7319483532,evaluation_only
P-D01-W005::C009::C010,11.67019212,12.16996778,31.75057665,0.747117944,evaluation_only
P-D01-W005::C010::C012,22.14668129,22.06566865,38.37850227,0.7475536042,evaluation_only
P-D01-W005::C012::C014,17.11647566,17.15103728,37.28819266,0.7377163254,evaluation_only
P-D01-W005::C014::C015,12.72084638,13.21310585,40.5553522,0.7306822678,evaluation_only
P-D01-W005::C015::C016,8.237794597,8.619042622,40.88448465,0.7668001593,evaluation_only
P-D01-W005::C016::C017,7.372795276,6.754484281,39.15992672,0.7409730276,evaluation_only
P-D01-W005::C017::C018,10.42930406,9.914626536,39.79469607,0.7519038775,evaluation_only
P-D01-W005::C018::C020,25.76081751,23.97474882,41.69893813,0.7330044692,evaluation_only
P-D01-W005::C020::C022,16.69806201,18.40723155,38.41852184,0.7587188001,evaluation_only
P-D01-W005::C022::C023,9.363767824,9.668788915,42.04196609,0.7466491193,evaluation_only
P-D01-W005::C023::C024,13.40277098,11.69498096,40.68182664,0.7414160897,evaluation_only
P-D01-W005::C024::C026,11.37407849,11.95989969,39.00315501,1.331981425,evaluation_only
P-D01-W005::C026::C027,30.73610511,31.5008483,35.7319405,0.7389183475,evaluation_only
P-D01-W005::C027::C029,10.95010772,11.04349661,38.41559178,0.9274203809,evaluation_only
P-D01-W006::C005::C007,18.54829494,16.31667023,34.05522173,0.8446637551,evaluation_only
P-D01-W006::C007::C008,11.81541214,13.61673727,29.60424577,1.21121964,evaluation_only
P-D01-W006::C008::C009,3.361370287,2.564464955,22.3016863,0.7161916404,evaluation_only
P-D01-W006::C009::C010,8.239363064,8.947467145,23.34330268,0.7310086359,evaluation_only
P-D01-W006::C010::C012,13.8232069,12.30403571,21.40023354,0.7378590847,evaluation_only
P-D01-W006::C012::C014,12.83548054,14.5673454,31.67096968,0.7225437609,evaluation_only
P-D01-W006::C014::C015,14.60020147,14.98232741,45.985673,0.7157290256,evaluation_only
P-D01-W006::C015::C016,12.90118222,12.11905347,57.48680884,0.7512941698,evaluation_only
P-D01-W006::C016::C017,13.34738665,12.80110465,74.21592818,0.7349848662,evaluation_only
P-D01-W006::C017::C018,23.51706233,23.60793894,94.75604064,0.7413580904,evaluation_only
P-D01-W006::C018::C020,74.18403081,72.36579685,125.8647967,0.7215619349,evaluation_only
P-D01-W006::C020::C022,71.06929258,72.83403252,152.0150307,0.7479239644,evaluation_only
P-D01-W006::C022::C023,35.26264559,35.78559824,155.6034495,0.7372154371,evaluation_only
P-D01-W006::C023::C024,44.91044588,42.81878224,148.9481925,0.7328189248,evaluation_only
P-D01-W006::C024::C026,45.87199893,46.35932825,151.18522,1.299867926,evaluation_only
P-D01-W006::C026::C027,133.4627023,134.744088,152.8424786,0.7209077191,evaluation_only
P-D01-W006::C027::C029,46.07186625,45.46982368,158.1700295,0.9148070516,evaluation_only
P-D01-W007::C005::C007,21.84567111,19.31620359,40.31567634,0.8123833471,evaluation_only
P-D01-W007::C007::C008,15.15891153,17.50034537,38.04762588,1.179483642,evaluation_only
P-D01-W007::C008::C009,5.308684948,3.377353603,29.37091437,0.6890203981,evaluation_only
P-D01-W007::C009::C010,9.768635329,11.48152877,29.95448844,0.7042389021,evaluation_only
P-D01-W007::C010::C012,19.42474679,17.89511525,31.12471832,0.7174761566,evaluation_only
P-D01-W007::C012::C014,10.64375615,11.4631612,24.92214064,0.6962476429,evaluation_only
P-D01-W007::C014::C015,5.274271373,6.443897268,19.77843258,0.6892938511,evaluation_only
P-D01-W007::C015::C016,4.63217427,3.866198569,18.33933802,0.7234503939,evaluation_only
P-D01-W007::C016::C017,3.714632586,3.484246949,20.20033648,0.7179738,evaluation_only
P-D01-W007::C017::C018,6.61442379,5.519089768,22.15217074,0.7203289649,evaluation_only
P-D01-W007::C018::C020,12.09788034,11.3476822,19.73686154,0.6984619879,evaluation_only
P-D01-W007::C020::C022,4.92275106,6.573643479,13.72013303,0.726949291,evaluation_only
P-D01-W007::C022::C023,3.26856545,3.181716173,13.83478371,0.7170496207,evaluation_only
P-D01-W007::C023::C024,5.263038678,4.056787721,14.11182586,0.7132395095,evaluation_only
P-D01-W007::C024::C026,2.653697944,3.553127368,11.58731938,1.24819124,evaluation_only
P-D01-W007::C026::C027,9.341922686,9.396421848,10.65851888,0.6918449406,evaluation_only
P-D01-W007::C027::C029,4.427829304,4.466097283,15.5356384,0.8901259711,evaluation_only
P-H01-W001::C005::C007,17.33618977,17.54516261,36.61926083,0.7722928518,evaluation_only
P-H01-W001::C007::C008,14.84525721,14.23840567,30.95581948,0.7199526787,evaluation_only
P-H01-W001::C008::C010,13.4610135,15.07463932,30.25281326,1.220123858,evaluation_only
P-H01-W001::C010::C012,18.0484159,15.92386181,27.69614536,0.7265116861,evaluation_only
P-H01-W001::C012::C014,10.76994879,11.78407724,25.6198465,0.7357396065,evaluation_only
P-H01-W001::C014::C016,12.41324343,11.24724,20.95946128,1.368706262,evaluation_only
P-H01-W001::C016::C018,7.522275711,8.744861289,20.74065315,0.7246197394,evaluation_only
P-H01-W001::C018::C019,3.75290865,4.580811543,18.38616941,0.7225723498,evaluation_only
P-H01-W001::C019::C020,7.930597684,6.25841538,19.20912788,0.7665286347,evaluation_only
P-H01-W001::C020::C022,8.928102287,8.758461603,18.28016057,0.8745381318,evaluation_only
P-H01-W001::C022::C023,2.020829004,3.439443018,14.95543527,1.46736999,evaluation_only
P-H01-W001::C023::C024,4.0459702,4.085074881,14.21022477,0.7698612155,evaluation_only
P-H01-W001::C024::C029,21.77279403,19.81521259,13.42765566,0.7432566952,evaluation_only
P-H01-W002::C005::C007,11.09851692,9.604584813,20.04614059,0.8118298028,evaluation_only
P-H01-W002::C007::C008,7.801800241,7.505534491,16.31783615,0.7703333749,evaluation_only
P-H01-W002::C008::C010,8.680770977,10.94208498,21.95932164,1.297571675,evaluation_only
P-H01-W002::C010::C012,21.72508776,19.39617105,33.73548322,0.7777122998,evaluation_only
P-H01-W002::C012::C014,27.78237467,29.38504231,63.88623038,0.7825542852,evaluation_only
P-H01-W002::C014::C016,54.17047908,52.29592287,97.45451953,1.450769379,evaluation_only
P-H01-W002::C016::C018,52.42413586,52.98235763,125.6610787,0.771101411,evaluation_only
P-H01-W002::C018::C019,29.46300321,31.3785387,125.9451787,0.7742429381,evaluation_only
P-H01-W002::C019::C020,45.52933316,43.8528422,134.5987446,0.8057611867,evaluation_only
P-H01-W002::C020::C022,66.376946,65.64863234,137.0180741,0.926210228,evaluation_only
P-H01-W002::C022::C023,29.40580537,30.71439351,133.5527646,1.569672326,evaluation_only
P-H01-W002::C023::C024,39.56461672,40.73988068,141.7165849,0.8085490834,evaluation_only
P-H01-W002::C024::C025,23.59576967,22.33605481,145.6829289,0.8007350323,evaluation_only
P-H01-W002::C025::C027,139.640132,138.0450135,133.3887333,0.7903185058,evaluation_only
P-H01-W002::C027::C029,37.84956472,38.16288006,132.7523042,0.7866335522,evaluation_only
P-H01-W003::C005::C007,16.15652966,15.45008709,32.2465389,0.8410260114,evaluation_only
P-H01-W003::C007::C008,15.21076887,13.90923247,30.24016166,0.8100743858,evaluation_only
P-H01-W003::C008::C010,10.5876835,13.63746644,27.36859681,1.355723618,evaluation_only
P-H01-W003::C010::C012,16.03045329,13.1099555,22.80195831,0.8193599342,evaluation_only
P-H01-W003::C012::C014,42.58235312,45.04012261,97.92205228,0.8187771268,evaluation_only
P-H01-W003::C014::C016,50.53227628,48.81373265,90.96538699,1.512841764,evaluation_only
P-H01-W003::C016::C018,29.55087251,29.81559081,70.71522431,0.8056518467,evaluation_only
P-H01-W003::C018::C019,16.92720825,19.07248779,76.55193588,0.8161550396,evaluation_only
P-H01-W003::C019::C020,25.02577321,23.97888662,73.59906166,0.8339949087,evaluation_only
P-H01-W003::C020::C022,37.70521655,35.98079123,75.0970514,0.9672996426,evaluation_only
P-H01-W003::C022::C023,16.34548304,17.59114439,76.49006532,1.649761315,evaluation_only
P-H01-W003::C023::C024,19.38669011,20.86276055,72.57260276,0.8363011915,evaluation_only
P-H01-W003::C024::C025,12.6398798,11.26765417,73.49126224,0.8272284609,evaluation_only
P-H01-W003::C025::C027,77.76805877,75.8410153,73.28288582,0.8251808524,evaluation_only
P-H01-W004::C005::C007,22.93810054,22.59079812,47.15022294,0.846495045,evaluation_only
P-H01-W004::C007::C008,18.69245859,17.80041217,38.70000324,0.8208576885,evaluation_only
P-H01-W004::C008::C010,17.06310673,19.31315043,38.75894613,1.368231099,evaluation_only
P-H01-W004::C010::C012,19.73201214,16.83660297,29.28366301,0.831948795,evaluation_only
P-H01-W004::C012::C014,11.61248244,14.26694603,31.01786926,0.8277272732,evaluation_only
P-H01-W004::C014::C016,12.64457823,12.14568801,22.63373748,1.526520942,evaluation_only
P-H01-W004::C016::C019,14.47073354,15.09763487,22.50780055,0.8287363673,evaluation_only
P-H01-W004::C019::C020,7.024085032,6.284427693,19.28896819,0.8384608563,evaluation_only
P-H01-W004::C020::C022,11.56749994,9.771311736,20.39412349,0.9784784534,evaluation_only
P-H01-W004::C022::C023,2.378078315,3.482530031,15.14278683,1.670860869,evaluation_only
P-H01-W004::C023::C027,23.78073231,22.91897738,15.53090258,0.8335837675,evaluation_only
P-H01-W004::C027::C029,3.842855765,4.527396179,15.748871,0.8244666636,evaluation_only
P-H01-W005::C005::C007,32.99111327,32.18561729,67.17598124,0.8355208907,evaluation_only
P-H01-W005::C007::C008,30.19771055,29.96582407,65.14891215,0.8155698927,evaluation_only
P-H01-W005::C008::C010,28.70807522,30.04811852,60.30261147,1.351152631,evaluation_only
P-H01-W005::C010::C012,33.34195318,31.58898754,54.94227476,0.8300235042,evaluation_only
P-H01-W005::C012::C014,19.27945716,21.53332185,46.81574885,0.820359452,evaluation_only
P-H01-W005::C014::C016,22.30680053,21.99537944,40.98883847,1.509148816,evaluation_only
P-H01-W005::C016::C018,16.58398573,15.24073165,36.14725478,0.8048546651,evaluation_only
P-H01-W005::C018::C019,7.366958313,8.906465499,35.74820355,0.8265697257,evaluation_only
P-H01-W005::C019::C020,12.7044628,11.46290911,35.18342481,0.8255236117,evaluation_only
P-H01-W005::C020::C022,16.34174783,15.41612994,32.1756655,0.9729366935,evaluation_only
P-H01-W005::C022::C023,5.999478464,6.893708491,29.97532174,1.658422394,evaluation_only
P-H01-W005::C023::C024,6.899398395,8.794048081,30.59072439,0.8309281385,evaluation_only
P-H01-W005::C024::C025,6.282946487,4.674708259,30.48994985,0.8184004161,evaluation_only
P-H01-W005::C025::C027,28.89519676,27.53208218,26.60342068,0.8258641826,evaluation_only
P-H01-W005::C027::C029,4.625019569,6.612890866,23.00341323,0.8163717425,evaluation_only
P-H01-W006::C005::C007,25.07127842,25.21322233,52.62359689,0.8093004079,evaluation_only
P-H01-W006::C007::C010,40.66566249,40.95775241,42.74234019,1.305228315,evaluation_only
P-H01-W006::C010::C012,21.16096644,20.0793736,34.92376765,0.8109378989,evaluation_only
P-H01-W006::C012::C014,13.76742074,15.0352355,32.68821289,0.7961478453,evaluation_only
P-H01-W006::C014::C016,14.2858174,13.90471324,25.91171689,1.461306554,evaluation_only
P-H01-W006::C016::C018,9.703062864,9.294161592,22.04345793,0.7795346806,evaluation_only
P-H01-W006::C018::C019,3.380901716,4.894250069,19.64422899,0.8070633965,evaluation_only
P-H01-W006::C019::C020,6.733124351,4.601930907,14.12483415,0.7970475369,evaluation_only
P-H01-W006::C020::C022,7.676890928,8.711136411,18.18138614,0.9492258194,evaluation_only
P-H01-W006::C022::C023,4.562524282,4.224644715,18.3696605,1.610055321,evaluation_only
P-H01-W006::C023::C024,2.802554219,4.094093921,14.24159814,0.8054950114,evaluation_only
P-H01-W006::C024::C025,3.41805721,2.781785515,18.14369927,0.7901251248,evaluation_only
P-H01-W006::C025::C027,19.44360481,18.41186306,17.790828,0.8017232555,evaluation_only
P-H01-W006::C027::C029,3.760158424,5.349082411,18.60716524,0.7912912529,evaluation_only
P-H01-W007::C007::C008,18.4326622,16.8147454,36.55705808,0.7398377345,evaluation_only
P-H01-W007::C008::C010,15.82847239,16.83406964,33.78375788,1.204424099,evaluation_only
P-H01-W007::C010::C012,23.21936509,22.07663165,38.39757004,0.764012088,evaluation_only
P-H01-W007::C012::C014,15.05644371,16.76884689,36.45726981,0.741523091,evaluation_only
P-H01-W007::C014::C016,20.94259314,20.17270554,37.59224845,1.356209329,evaluation_only
P-H01-W007::C016::C018,16.79315684,15.57336168,36.93617114,0.7218764117,evaluation_only
P-H01-W007::C018::C019,8.98964858,10.18233861,40.86922173,0.7592715663,evaluation_only
P-H01-W007::C019::C020,14.68233584,13.50363034,41.44706706,0.7372318659,evaluation_only
P-H01-W007::C020::C022,18.75116074,19.08553351,39.83423494,0.8943169788,evaluation_only
P-H01-W007::C022::C023,9.063642714,9.405737004,40.89816001,1.498387659,evaluation_only
P-H01-W007::C023::C024,9.071594883,11.07186229,38.51426383,0.7502328525,evaluation_only
P-H01-W007::C024::C025,5.959592651,5.423293361,35.3724625,0.72988471,evaluation_only
P-H01-W007::C025::C027,41.81517421,40.63201654,39.26149217,0.7477118539,evaluation_only
P-H01-W007::C027::C029,8.620022451,10.28773064,35.78660586,0.7351205117,evaluation_only
P-H02-W001::C004::C005,16.78352728,17.89280824,71.8170133,0.7243365742,evaluation_only
P-H02-W001::C005::C007,29.8196521,29.0944736,60.72432275,0.6931168817,evaluation_only
P-H02-W001::C007::C010,47.84893345,47.8345987,49.9188205,0.8345622468,evaluation_only
P-H02-W001::C010::C012,23.1496438,24.54736408,42.69487967,0.7461527958,evaluation_only
P-H02-W001::C012::C014,16.49663659,15.33888537,33.34838024,0.7225644884,evaluation_only
P-H02-W001::C014::C016,16.70840662,17.83474473,33.23541077,0.7299810702,evaluation_only
P-H02-W001::C016::C018,10.74411782,11.05610424,26.22235114,0.7112686979,evaluation_only
P-H02-W001::C018::C019,6.974547638,6.76282242,27.14418559,0.7902032097,evaluation_only
P-H02-W001::C019::C020,9.025136516,9.617469059,29.51916449,0.731271267,evaluation_only
P-H02-W001::C020::C021,6.155168081,4.461439179,23.27915229,0.7906863736,evaluation_only
P-H02-W001::C021::C022,5.464538986,6.408358578,22.29193305,1.195129152,evaluation_only
P-H02-W001::C022::C024,12.7198137,13.44229638,25.97777118,1.14696403,evaluation_only
P-H02-W001::C024::C026,8.862219678,7.855373657,25.61763597,0.7116920641,evaluation_only
P-H02-W001::C026::C027,17.35056798,17.24842232,19.56517469,0.7113984494,evaluation_only
P-H02-W001::C027::C028,2.379660756,1.359336674,14.18564915,0.7008897881,evaluation_only
P-H02-W001::C028::C029,2.574880458,3.16704857,16.525207,0.7071843715,evaluation_only
P-H02-W002::C004::C005,9.237540999,10.92629497,43.85526637,0.7500127239,evaluation_only
P-H02-W002::C005::C007,19.51054546,18.72627216,39.08440518,0.7209042308,evaluation_only
P-H02-W002::C007::C008,16.48440842,16.26653596,35.36519201,1.257299118,evaluation_only
P-H02-W002::C008::C012,31.79613191,32.99049536,30.73923068,0.7692655082,evaluation_only
P-H02-W002::C012::C016,30.06290569,29.48174701,29.58298928,0.7543741622,evaluation_only
P-H02-W002::C016::C018,19.65365698,20.52703263,48.68505628,0.7371147589,evaluation_only
P-H02-W002::C018::C019,17.61095638,16.97772098,68.14409438,0.820452373,evaluation_only
P-H02-W002::C019::C020,28.65231669,29.65989015,91.03592335,0.7571841548,evaluation_only
P-H02-W002::C020::C021,23.29814358,21.47292585,112.0426595,0.8194474235,evaluation_only
P-H02-W002::C021::C022,35.80419989,36.36085441,126.4838293,1.232100535,evaluation_only
P-H02-W002::C022::C024,73.87163651,75.24208891,145.4083226,1.184697399,evaluation_only
P-H02-W002::C024::C026,47.2904595,46.76204664,152.4985494,0.7413404513,evaluation_only
P-H02-W002::C026::C027,136.0578244,135.3233271,153.4995193,0.7385437573,evaluation_only
P-H02-W002::C027::C028,15.33023971,14.7036953,153.4435631,0.7286557482,evaluation_only
P-H02-W002::C028::C029,28.79754539,29.32881524,153.0335681,0.7373446949,evaluation_only
P-H02-W003::C007::C008,12.75919456,12.20778594,26.54103461,1.285373112,evaluation_only
P-H02-W003::C008::C010,12.73214345,12.8823114,25.85310022,0.8819536445,evaluation_only
P-H02-W003::C010::C012,17.67933812,18.49766391,32.17272259,0.780690719,evaluation_only
P-H02-W003::C012::C014,21.25551327,20.46923085,44.50230099,0.7477121764,evaluation_only
P-H02-W003::C014::C016,36.12435347,36.52224858,68.05995558,0.7663772215,evaluation_only
P-H02-W003::C016::C018,39.62948401,40.60057182,96.29453803,0.7496950792,evaluation_only
P-H02-W003::C018::C019,28.65385902,28.37004782,113.8698897,0.8356075008,evaluation_only
P-H02-W003::C019::C020,38.61935835,39.01980158,119.7645591,0.7707117823,evaluation_only
P-H02-W003::C020::C021,24.94759277,23.67175498,123.5158358,0.8330936551,evaluation_only
P-H02-W003::C021::C022,37.47432913,37.75808427,131.3441932,1.249607374,evaluation_only
P-H02-W003::C022::C024,69.15107767,70.36125148,135.9759106,1.203078705,evaluation_only
P-H02-W003::C024::C026,42.95996242,42.04748909,137.1236196,0.7576327282,evaluation_only
P-H02-W003::C026::C027,125.4643007,125.4829555,142.3374207,0.7523922863,evaluation_only
P-H02-W003::C027::C028,14.64405143,13.59325922,141.8553694,0.7426087363,evaluation_only
P-H02-W003::C028::C029,26.9069335,27.69111143,144.4882636,0.7539265062,evaluation_only
P-H02-W004::C004::C005,8.138996248,9.748467083,39.12777585,0.765499441,evaluation_only
P-H02-W004::C005::C007,18.84737666,17.92861244,37.4195754,0.7374130645,evaluation_only
P-H02-W004::C007::C008,14.70179205,14.98313267,32.57493577,1.293303209,evaluation_only
P-H02-W004::C008::C010,14.20547945,13.98076894,28.05755965,0.8894518921,evaluation_only
P-H02-W004::C010::C012,14.37194085,15.17218249,26.38876026,0.7832084758,evaluation_only
P-H02-W004::C012::C014,11.69918446,10.73909965,23.34795326,0.7483153109,evaluation_only
P-H02-W004::C014::C016,10.93555307,11.5018563,21.43394395,0.7689854562,evaluation_only
P-H02-W004::C016::C018,8.058633109,9.372537502,22.22934625,0.7523123242,evaluation_only
P-H02-W004::C018::C019,7.322231485,6.86896853,27.57022809,0.8392239783,evaluation_only
P-H02-W004::C019::C020,14.79915429,15.25015074,46.80771057,0.7744608405,evaluation_only
P-H02-W004::C020::C021,15.69536483,13.76506085,71.8241211,0.835568753,evaluation_only
P-H02-W004::C021::C022,27.85718729,28.11378869,97.79582208,1.252679925,evaluation_only
P-H02-W004::C022::C024,65.5393816,66.85486905,129.1996874,1.206876291,evaluation_only
P-H02-W004::C024::C026,44.45330677,43.67324012,142.4254549,0.7629837847,evaluation_only
P-H02-W004::C026::C027,134.4792612,134.3632568,152.4104955,0.7559440322,evaluation_only
P-H02-W004::C027::C028,15.54559392,14.89108688,155.3991281,0.7459919522,evaluation_only
P-H02-W004::C028::C029,29.60169018,29.66023278,154.7628575,0.7593889326,evaluation_only
P-H02-W005::C004::C005,0.3170908124,1.974913272,7.926781018,0.7633763411,evaluation_only
P-H02-W005::C005::C007,4.857667691,3.817906474,7.968516226,0.7302387039,evaluation_only
P-H02-W005::C007::C008,2.850317687,3.551878252,7.722163879,1.285556811,evaluation_only
P-H02-W005::C008::C010,4.624030714,3.720465295,7.466483237,0.8891590038,evaluation_only
P-H02-W005::C010::C012,2.955455069,4.189041884,7.285940705,0.777365144,evaluation_only
P-H02-W005::C012::C014,4.121890294,3.337888511,7.256927255,0.7376232526,evaluation_only
P-H02-W005::C014::C016,3.964695965,4.383475058,8.16869523,0.7627191586,evaluation_only
P-H02-W005::C016::C019,4.589885895,4.742103543,7.069605384,0.8325381856,evaluation_only
P-H02-W005::C019::C020,1.131601718,1.890172981,5.801560346,0.7704127194,evaluation_only
P-H02-W005::C020::C021,2.861491535,1.100675273,5.743166333,0.8266323722,evaluation_only
P-H02-W005::C021::C022,1.203109774,1.690528703,5.880624846,1.240807774,evaluation_only
P-H02-W005::C022::C024,2.048659746,3.274607609,6.32830915,1.196546466,evaluation_only
P-H02-W005::C024::C026,2.752084623,1.66905985,5.443072413,0.7612439521,evaluation_only
P-H02-W005::C026::C027,5.423037399,5.842188907,6.626892852,0.7507520797,evaluation_only
P-H02-W005::C027::C028,1.091462138,0.7928579635,8.274039176,0.7400421823,evaluation_only
P-H02-W005::C028::C029,1.791842024,1.165570956,6.081782739,0.7576852354,evaluation_only
P-H02-W006::C005::C007,15.7235936,14.94727802,31.19710455,0.7203679715,evaluation_only
P-H02-W006::C007::C008,12.26138864,13.40164815,29.13661896,1.270807858,evaluation_only
P-H02-W006::C008::C010,12.84582078,11.39678174,22.87183808,0.8824321754,evaluation_only
P-H02-W006::C010::C012,13.1900028,14.28846374,24.85172086,0.7692297203,evaluation_only
P-H02-W006::C012::C014,7.806230673,7.735918158,16.81871492,0.7261377543,evaluation_only
P-H02-W006::C014::C016,9.648448202,10.2298948,19.06361774,0.7540670304,evaluation_only
P-H02-W006::C016::C018,5.7870458,6.477591935,15.3632497,0.7359152411,evaluation_only
P-H02-W006::C018::C019,5.158998122,3.830338541,15.3739687,0.8225827151,evaluation_only
P-H02-W006::C019::C020,7.378674747,7.705545197,23.65084356,0.7630560557,evaluation_only
P-H02-W006::C020::C021,6.867388816,6.306945352,32.90873986,0.8153430498,evaluation_only
P-H02-W006::C021::C022,13.62946526,13.32900057,46.36588055,1.226020717,evaluation_only
P-H02-W006::C022::C024,42.77264787,44.2437701,85.50284142,1.182714016,evaluation_only
