campaign_id,date,point_id,true_settlement_mm,observed_settlement_mm,residual_mm,standard_uncertainty_mm,use_class
C003,2018-10-16,P-D01-W001,118.01239,123.7876316,5.775241618,4.030730857,evaluation_only
C003,2018-10-16,P-D01-W006,205.4302151,205.2653608,-0.1648543176,3.710819412,evaluation_only
C003,2018-10-16,P-D01-W003,420.789455,420.9547838,0.1653288434,4.370052627,evaluation_only
C003,2018-10-16,P-H01-REF-A,0,-1.389641443,-1.389641443,4.407903686,evaluation_only
C003,2018-10-16,P-H01-W002,24.98485073,24.87511741,-0.1097333199,3.956067081,evaluation_only
C003,2018-10-16,P-H01-W007,118.2051597,117.8738368,-0.3313228476,3.991167532,evaluation_only
C003,2018-10-16,P-H01-W003,256.0390422,259.7104504,3.671408198,4.607232969,evaluation_only
C003,2018-10-16,P-H02-REF-A,0,-5.264606693,-5.264606693,4.301443121,evaluation_only
C003,2018-10-16,P-H02-W004,86.085914,87.40359741,1.317683406,4.231422266,evaluation_only
C003,2018-10-16,P-H02-W006,216.0010243,209.4759557,-6.525068636,4.130408172,evaluation_only
C003,2018-10-16,P-H02-W001,149.0877309,141.0171786,-8.07055226,4.434060764,evaluation_only
C003,2018-10-16,P-H03-REF-A,0,5.367219402,5.367219402,4.556820518,evaluation_only
C003,2018-10-16,P-H03-W003,199.0296221,190.9382293,-8.091392757,3.44632037,evaluation_only
C003,2018-10-16,P-H03-W005,228.7095341,226.3295087,-2.380025415,4.470164606,evaluation_only
C003,2018-10-16,P-H03-W007,484.3686891,482.3181233,-2.050565812,4.274399256,evaluation_only
C003,2018-10-16,P-H04-REF-A,0,-2.110338648,-2.110338648,3.597791674,evaluation_only
C003,2018-10-16,P-H04-W005,60.27579946,60.48679199,0.2109925373,4.533844728,evaluation_only
C003,2018-10-16,P-H04-W006,100.6781171,99.32407691,-1.354040184,4.482882179,evaluation_only
C003,2018-10-16,P-H04-W002,385.0592372,382.0977472,-2.961489988,3.91113152,evaluation_only
C003,2018-10-16,P-H05-REF-A,0,-1.333817461,-1.333817461,4.317739859,evaluation_only
C003,2018-10-16,P-H05-W005,1169.994765,1162.610978,-7.38378634,4.549046307,evaluation_only
C003,2018-10-16,P-H05-W001,1212.356958,1209.204364,-3.152594279,4.809577223,evaluation_only
C003,2018-10-16,P-H05-W003,1219.137189,1220.873497,1.736308269,4.276777543,evaluation_only
C003,2018-10-16,P-H06-REF-A,0,-0.3734852919,-0.3734852919,4.078204181,evaluation_only
C003,2018-10-16,P-H06-W005,147.9625708,145.463261,-2.499309729,4.701555083,evaluation_only
C003,2018-10-16,P-H06-W001,324.338853,319.558384,-4.780468998,4.72603858,evaluation_only
C003,2018-10-16,P-H06-W003,323.7973429,318.5086953,-5.288647621,3.656120317,evaluation_only
C003,2018-10-16,P-H07-REF-A,0,-1.325114742,-1.325114742,4.922016213,evaluation_only
C003,2018-10-16,P-H07-W007,17.50814797,9.687245076,-7.820902897,4.714882733,evaluation_only
C003,2018-10-16,P-H07-W001,89.00052468,89.81592132,0.8153966472,4.75086599,evaluation_only
C003,2018-10-16,P-H07-W002,124.1393183,121.0247968,-3.114521488,4.496897112,evaluation_only
C003,2018-10-16,P-V01-REF-A,0,-2.047603851,-2.047603851,3.935679353,evaluation_only
C003,2018-10-16,P-V01-W002,50.55200187,50.43155442,-0.1204474564,5.337719689,evaluation_only
C003,2018-10-16,P-V01-W004,84.4966325,88.85419585,4.357563357,4.739333204,evaluation_only
C003,2018-10-16,P-V01-W007,229.1928216,225.6921146,-3.500706977,3.442408546,evaluation_only
C003,2018-10-16,P-V02-REF-A,0,4.745364824,4.745364824,4.230464001,evaluation_only
C003,2018-10-16,P-V02-W004,21.46432232,11.74476925,-9.71955307,3.938248856,evaluation_only
C003,2018-10-16,P-V02-W002,108.2577937,106.2659255,-1.991868176,3.414185297,evaluation_only
C003,2018-10-16,P-V02-W001,144.5187834,145.5936646,1.074881227,3.676621587,evaluation_only
C003,2018-10-16,P-V03-REF-A,0,-0.2232809293,-0.2232809293,4.254334987,evaluation_only
C003,2018-10-16,P-V03-W006,307.3526879,306.6229389,-0.7297489251,5.407239125,evaluation_only
C003,2018-10-16,P-V03-W001,378.5148791,381.4935214,2.9786423,3.709512917,evaluation_only
C003,2018-10-16,P-V03-W003,1236.144814,1243.646057,7.501243439,8.381938074,evaluation_only
C003,2018-10-16,P-V04-REF-A,0,9.184766807,9.184766807,5.21249965,evaluation_only
C003,2018-10-16,P-V04-W002,188.5168741,189.7990568,1.282182728,4.471452689,evaluation_only
C003,2018-10-16,P-V04-W006,228.7440346,229.0272251,0.2831905912,3.84272028,evaluation_only
C003,2018-10-16,P-V04-W005,328.6756329,326.0648093,-2.610823625,4.733767339,evaluation_only
C003,2018-10-16,P-V05-REF-A,0,-0.1970286223,-0.1970286223,5.147136495,evaluation_only
C003,2018-10-16,P-V05-W004,1266.003012,1269.606987,3.603975185,3.127887858,evaluation_only
C003,2018-10-16,P-V05-W005,1344.5473,1341.509138,-3.038162658,4.652800275,evaluation_only
C003,2018-10-16,P-V05-W002,1338.727971,1332.672058,-6.055913424,4.139715259,evaluation_only
C003,2018-10-16,P-V06-REF-A,0,0.9154470582,0.9154470582,4.146491735,evaluation_only
C003,2018-10-16,P-V06-W006,59.87826719,58.69659119,-1.181675992,5.747210676,evaluation_only
C003,2018-10-16,P-V06-W003,56.61362916,53.98589533,-2.627733829,5.442857498,evaluation_only
C003,2018-10-16,P-V06-W002,116.7169104,117.7261863,1.00927589,4.299875665,evaluation_only
C005,2019-05-14,P-D01-REF-A,0,0.1561813328,0.1561813328,4.399340713,evaluation_only
C005,2019-05-14,P-D01-W001,128.9077756,121.1204017,-7.787373909,4.892825503,evaluation_only
C005,2019-05-14,P-D01-W006,229.5689695,230.5430607,0.9740912274,4.325551944,evaluation_only
C005,2019-05-14,P-D01-W003,422.5548396,421.2268526,-1.327987003,5.080133829,evaluation_only
C005,2019-05-14,P-H01-REF-A,0,0.9567819543,0.9567819543,3.14476254,evaluation_only
C005,2019-05-14,P-H01-W002,32.2409818,19.82208052,-12.41890128,5.671504326,evaluation_only
C005,2019-05-14,P-H01-W007,140.8209736,136.243717,-4.577256549,4.364750706,evaluation_only
C005,2019-05-14,P-H01-W003,273.9699102,273.9265539,-0.04335634379,4.544246284,evaluation_only
C005,2019-05-14,P-H02-REF-A,0,3.579754312,3.579754312,5.109646418,evaluation_only
C005,2019-05-14,P-H02-W004,109.5998165,110.0589971,0.4591806821,3.621917832,evaluation_only
C005,2019-05-14,P-H02-W006,239.9045723,238.6083512,-1.296221106,4.796238415,evaluation_only
C005,2019-05-14,P-H02-W001,192.4395219,194.0007593,1.561237374,3.56372439,evaluation_only
C005,2019-05-14,P-H03-REF-A,0,0.1668990366,0.1668990366,4.198828075,evaluation_only
C005,2019-05-14,P-H03-W003,244.8999516,240.2125017,-4.687449911,4.013542936,evaluation_only
C005,2019-05-14,P-H03-W005,275.9077669,275.1011587,-0.8066081329,3.272227,evaluation_only
C005,2019-05-14,P-H03-W007,494.7006685,495.1187312,0.4180627214,3.814368943,evaluation_only
C005,2019-05-14,P-H04-REF-A,0,-0.3575225084,-0.3575225084,3.176424445,evaluation_only
C005,2019-05-14,P-H04-W005,77.91149602,70.61320769,-7.29828833,6.395079846,evaluation_only
C005,2019-05-14,P-H04-W006,110.7700403,115.079354,4.309313745,5.653304968,evaluation_only
C005,2019-05-14,P-H04-W002,401.883552,402.5823638,0.6988118635,4.635131793,evaluation_only
C005,2019-05-14,P-H05-REF-A,0,3.707899854,3.707899854,4.976038672,evaluation_only
C005,2019-05-14,P-H05-W005,1182.135689,1182.642879,0.5071903663,4.098729604,evaluation_only
C005,2019-05-14,P-H05-W001,1234.237418,1232.331941,-1.90547779,3.250636761,evaluation_only
C005,2019-05-14,P-H05-W003,1256.491139,1250.753302,-5.737837418,3.707987641,evaluation_only
C005,2019-05-14,P-H06-REF-A,0,-3.192153867,-3.192153867,4.836966723,evaluation_only
C005,2019-05-14,P-H06-W005,149.2720471,144.3451687,-4.926878316,4.271848752,evaluation_only
C005,2019-05-14,P-H06-W001,325.8253933,323.208535,-2.61685831,4.263696665,evaluation_only
C005,2019-05-14,P-H06-W003,325.10611,319.5229062,-5.583203844,4.875500935,evaluation_only
C005,2019-05-14,P-H07-REF-A,0,-4.248555374,-4.248555374,4.169778063,evaluation_only
C005,2019-05-14,P-H07-W007,23.71184181,19.28849175,-4.423350059,3.598998197,evaluation_only
C005,2019-05-14,P-H07-W001,109.1747401,106.2688591,-2.905880997,4.055384995,evaluation_only
C005,2019-05-14,P-H07-W002,166.8789342,163.8408373,-3.038096908,3.317738831,evaluation_only
C005,2019-05-14,P-V01-REF-A,0,-1.955907246,-1.955907246,4.940802087,evaluation_only
C005,2019-05-14,P-V01-W002,69.94226041,69.3975477,-0.5447127147,3.543945488,evaluation_only
C005,2019-05-14,P-V01-W004,115.6762045,114.977135,-0.6990694662,4.074597655,evaluation_only
C005,2019-05-14,P-V01-W007,274.6363946,270.5404784,-4.095916207,5.647387822,evaluation_only
C005,2019-05-14,P-V02-REF-A,0,3.688423041,3.688423041,4.292532481,evaluation_only
C005,2019-05-14,P-V02-W004,29.71588704,32.19068364,2.474796603,4.752231633,evaluation_only
C005,2019-05-14,P-V02-W002,151.2333667,154.093179,2.859812274,4.850565055,evaluation_only
C005,2019-05-14,P-V02-W001,187.5877043,184.2832097,-3.304494605,4.399126593,evaluation_only
C005,2019-05-14,P-V03-REF-A,0,0.0255960357,0.0255960357,3.973041364,evaluation_only
C005,2019-05-14,P-V03-W006,325.0155696,327.3044025,2.288832885,3.776111812,evaluation_only
C005,2019-05-14,P-V03-W001,397.7840871,393.1845994,-4.599487695,3.316234894,evaluation_only
C005,2019-05-14,P-V03-W003,1258.7463,1261.585582,2.839281575,4.292347129,evaluation_only
C005,2019-05-14,P-V04-REF-A,0,-0.02674690231,-0.02674690231,3.951561556,evaluation_only
C005,2019-05-14,P-V04-W002,189.8919695,181.7718543,-8.120115184,4.444797567,evaluation_only
C005,2019-05-14,P-V04-W006,229.8027932,233.4688276,3.666034311,5.41082663,evaluation_only
C005,2019-05-14,P-V04-W005,329.867243,331.1514927,1.284249744,4.457047562,evaluation_only
C005,2019-05-14,P-V05-REF-A,0,0.3564595909,0.3564595909,4.172556734,evaluation_only
C005,2019-05-14,P-V05-W004,1285.102545,1277.654592,-7.447952541,4.653988928,evaluation_only
C005,2019-05-14,P-V05-W005,1364.322194,1358.109318,-6.212875342,5.752913881,evaluation_only
C005,2019-05-14,P-V05-W002,1377.196212,1380.298538,3.102325701,6.199585594,evaluation_only
C005,2019-05-14,P-V06-REF-A,0,-2.855142375,-2.855142375,4.72677686,evaluation_only
C005,2019-05-14,P-V06-W006,82.81827849,82.86837552,0.05009702942,3.572570417,evaluation_only
C005,2019-05-14,P-V06-W003,75.09735412,82.08383233,6.986478208,4.83302084,evaluation_only
C005,2019-05-14,P-V06-W002,128.8262315,131.0984048,2.272173287,4.311835156,evaluation_only
C007,2019-11-05,P-D01-REF-A,0,3.749451721,3.749451721,4.489599009,evaluation_only
C007,2019-11-05,P-D01-W001,139.0125648,134.1232152,-4.889349586,4.053960324,evaluation_only
C007,2019-11-05,P-D01-W006,245.8856397,254.2212253,8.33558559,4.148201454,evaluation_only
C007,2019-11-05,P-D01-W003,424.7467972,421.1519935,-3.594803658,4.762066964,evaluation_only
C007,2019-11-05,P-H01-REF-A,0,3.13530317,3.13530317,5.400868783,evaluation_only
C007,2019-11-05,P-H01-W002,41.84556662,43.86768886,2.022122248,3.486586607,evaluation_only
C007,2019-11-05,P-H01-W007,158.2392686,158.7413197,0.5020510987,4.401766377,evaluation_only
C007,2019-11-05,P-H01-W003,289.4199973,289.0604894,-0.3595079497,3.858065565,evaluation_only
C007,2019-11-05,P-H02-REF-A,0,-0.9874822932,-0.9874822932,3.94740832,evaluation_only
C007,2019-11-05,P-H02-W004,127.5284289,130.1756035,2.647174602,4.379656443,evaluation_only
C007,2019-11-05,P-H02-W006,254.8518503,254.8539039,0.00205355322,3.872324136,evaluation_only
C007,2019-11-05,P-H02-W001,221.5339955,221.0598279,-0.4741675936,4.250732871,evaluation_only
C007,2019-11-05,P-H03-REF-A,0,-0.4211776865,-0.4211776865,4.848693639,evaluation_only
C007,2019-11-05,P-H03-W003,277.7552606,278.7778599,1.022599306,4.430320849,evaluation_only
C007,2019-11-05,P-H03-W005,309.5268094,310.8353223,1.308512891,3.556472345,evaluation_only
C007,2019-11-05,P-H03-W007,503.5078563,504.5080775,1.000221238,3.918453886,evaluation_only
C007,2019-11-05,P-H04-REF-A,0,1.94541772,1.94541772,4.49622418,evaluation_only
C007,2019-11-05,P-H04-W005,92.46589792,95.55032496,3.08442704,4.096568438,evaluation_only
C007,2019-11-05,P-H04-W006,120.6226626,125.6058891,4.983226554,3.418861274,evaluation_only
C007,2019-11-05,P-H04-W002,417.7071079,416.46361,-1.243497862,5.985341003,evaluation_only
C007,2019-11-05,P-H05-REF-A,0,-1.653429346,-1.653429346,5.315394472,evaluation_only
C007,2019-11-05,P-H05-W005,1189.882028,1193.642577,3.76054927,4.04067718,evaluation_only
C007,2019-11-05,P-H05-W001,1253.894054,1253.274708,-0.6193460635,4.830401577,evaluation_only
C007,2019-11-05,P-H05-W003,1281.342465,1281.357841,0.01537560057,6.308475762,evaluation_only
C007,2019-11-05,P-H06-REF-A,0,-0.7076671901,-0.7076671901,4.122618735,evaluation_only
C007,2019-11-05,P-H06-W005,150.0792628,152.1909319,2.11166907,3.908232954,evaluation_only
C007,2019-11-05,P-H06-W001,327.4740912,330.282093,2.80800176,4.960026552,evaluation_only
C007,2019-11-05,P-H06-W003,326.9300564,322.3486784,-4.581377975,4.369880728,evaluation_only
C007,2019-11-05,P-H07-REF-A,0,-3.107587488,-3.107587488,3.586448201,evaluation_only
C007,2019-11-05,P-H07-W007,29.04542068,34.59610366,5.550682986,4.206235864,evaluation_only
C007,2019-11-05,P-H07-W001,123.7825825,123.5484086,-0.2341739028,4.388268861,evaluation_only
C007,2019-11-05,P-H07-W002,198.3855556,200.4568986,2.071342981,5.562077165,evaluation_only
C007,2019-11-05,P-V01-REF-A,0,-0.3028860342,-0.3028860342,4.692896891,evaluation_only
C007,2019-11-05,P-V01-W002,86.10969971,85.16306656,-0.9466331436,3.914293837,evaluation_only
C007,2019-11-05,P-V01-W004,136.7601926,138.5662969,1.806104292,4.398466275,evaluation_only
C007,2019-11-05,P-V01-W007,307.9437292,303.9694029,-3.974326395,4.223350065,evaluation_only
C007,2019-11-05,P-V02-REF-A,0,-1.617882518,-1.617882518,4.83137073,evaluation_only
C007,2019-11-05,P-V02-W004,36.79418714,33.80498882,-2.98919832,4.386882282,evaluation_only
C007,2019-11-05,P-V02-W002,183.2834307,181.0092449,-2.274185846,3.666906026,evaluation_only
C007,2019-11-05,P-V02-W001,220.1572699,218.3721909,-1.785079065,3.722027883,evaluation_only
C007,2019-11-05,P-V03-REF-A,0,5.878699019,5.878699019,3.734446937,evaluation_only
C007,2019-11-05,P-V03-W006,339.4766726,335.4254219,-4.051250693,3.882184097,evaluation_only
C007,2019-11-05,P-V03-W001,413.2956479,416.4519628,3.156314864,3.853255516,evaluation_only
C007,2019-11-05,P-V03-W003,1276.331712,1281.358973,5.027260988,4.534412328,evaluation_only
C007,2019-11-05,P-V04-REF-A,0,-2.742980527,-2.742980527,4.024430508,evaluation_only
C007,2019-11-05,P-V04-W002,190.6586582,189.3136203,-1.345037996,3.972761843,evaluation_only
C007,2019-11-05,P-V04-W006,230.3897312,223.8399772,-6.549753938,4.784984245,evaluation_only
C007,2019-11-05,P-V04-W005,330.1151315,328.9862512,-1.128880377,3.645402611,evaluation_only
C007,2019-11-05,P-V05-REF-A,0,2.849884465,2.849884465,4.178888228,evaluation_only
C007,2019-11-05,P-V05-W004,1302.582446,1301.3003,-1.282145484,4.386818642,evaluation_only
C007,2019-11-05,P-V05-W005,1379.763893,1383.664939,3.901046845,4.037893837,evaluation_only
C007,2019-11-05,P-V05-W002,1401.827802,1410.068285,8.240483251,4.738300329,evaluation_only
C007,2019-11-05,P-V06-REF-A,0,-4.975583188,-4.975583188,4.10399837,evaluation_only
C007,2019-11-05,P-V06-W006,98.86751296,95.70720493,-3.160308031,5.416766934,evaluation_only
C007,2019-11-05,P-V06-W003,91.39873123,93.36142854,1.962697306,5.084903017,evaluation_only
C007,2019-11-05,P-V06-W002,139.6022571,139.4546274,-0.1476296886,3.86246349,evaluation_only
C008,2020-04-21,P-D01-REF-A,0,2.565442656,2.565442656,4.547046312,evaluation_only
C008,2020-04-21,P-D01-W001,148.6370028,148.8455098,0.2085070382,4.326556497,evaluation_only
C008,2020-04-21,P-D01-W006,259.502377,258.3782719,-1.124105074,4.043336861,evaluation_only
C008,2020-04-21,P-D01-W003,425.9165565,423.8707444,-2.045812123,6.24876709,evaluation_only
C008,2020-04-21,P-H01-REF-A,0,-0.637183614,-0.637183614,3.523193674,evaluation_only
C008,2020-04-21,P-H01-W002,49.35110111,43.03474933,-6.316351775,4.640003009,evaluation_only
C008,2020-04-21,P-H01-W007,175.054014,171.0160901,-4.037923831,5.146627718,evaluation_only
C008,2020-04-21,P-H01-W003,303.3292298,301.2255207,-2.103709043,4.356755646,evaluation_only
C008,2020-04-21,P-H02-REF-A,0,2.099518249,2.099518249,4.436490873,evaluation_only
C008,2020-04-21,P-H02-W004,142.5115616,139.4076334,-3.103928222,3.673069471,evaluation_only
C008,2020-04-21,P-H02-W006,268.2534985,271.2315078,2.978009313,4.541274493,evaluation_only
C008,2020-04-21,P-H02-W001,247.1343648,249.7774648,2.64309996,4.278552241,evaluation_only
C008,2020-04-21,P-H03-REF-A,0,-1.444469598,-1.444469598,4.158082613,evaluation_only
C008,2020-04-21,P-H03-W003,307.1525678,307.1042678,-0.04829994673,3.898723617,evaluation_only
C008,2020-04-21,P-H03-W005,340.6113315,339.5850705,-1.026260928,3.496970942,evaluation_only
C008,2020-04-21,P-H03-W007,512.789638,507.2407462,-5.548891818,4.717271214,evaluation_only
C008,2020-04-21,P-H04-REF-A,0,2.095618012,2.095618012,4.647757171,evaluation_only
C008,2020-04-21,P-H04-W005,106.8463077,100.9266104,-5.919697297,4.825906213,evaluation_only
C008,2020-04-21,P-H04-W006,133.738233,132.9937161,-0.7445169321,3.366068419,evaluation_only
C008,2020-04-21,P-H04-W002,431.646415,425.8105856,-5.835829418,3.068492568,evaluation_only
C008,2020-04-21,P-H05-REF-A,0,2.22638184,2.22638184,3.770044465,evaluation_only
C008,2020-04-21,P-H05-W005,1199.101591,1192.896579,-6.205012604,5.15079815,evaluation_only
C008,2020-04-21,P-H05-W001,1272.521835,1281.16253,8.640694629,5.18465061,evaluation_only
C008,2020-04-21,P-H05-W003,1303.487744,1296.380004,-7.107739949,3.679833348,evaluation_only
C008,2020-04-21,P-H06-REF-A,0,2.582962896,2.582962896,4.44199957,evaluation_only
C008,2020-04-21,P-H06-W005,151.2258869,143.1982536,-8.027633368,4.58028525,evaluation_only
C008,2020-04-21,P-H06-W001,328.865986,330.9385079,2.072521851,3.633131136,evaluation_only
C008,2020-04-21,P-H06-W003,327.9032013,328.3442181,0.4410167777,4.46169628,evaluation_only
C008,2020-04-21,P-H07-REF-A,0,-0.3062597263,-0.3062597263,5.351370189,evaluation_only
C008,2020-04-21,P-H07-W007,33.88067043,25.56782132,-8.312849113,4.313520007,evaluation_only
C008,2020-04-21,P-H07-W001,140.2004692,134.2708971,-5.929572047,4.181962237,evaluation_only
C008,2020-04-21,P-H07-W002,224.4802574,225.1246963,0.6444389517,3.617597047,evaluation_only
C008,2020-04-21,P-V01-REF-A,0,-0.7122651142,-0.7122651142,4.11266793,evaluation_only
C008,2020-04-21,P-V01-W002,102.2113636,97.65548471,-4.555878846,3.465520268,evaluation_only
C008,2020-04-21,P-V01-W004,155.8875573,156.5913133,0.7037560612,3.610387052,evaluation_only
C008,2020-04-21,P-V01-W007,336.5373234,332.9987398,-3.538583523,3.460069296,evaluation_only
C008,2020-04-21,P-V02-REF-A,0,-6.582706267,-6.582706267,8.159750846,evaluation_only
C008,2020-04-21,P-V02-W004,43.25913716,45.95520744,2.696070286,5.022670296,evaluation_only
C008,2020-04-21,P-V02-W002,211.8256118,208.9925429,-2.833068833,3.555539708,evaluation_only
C008,2020-04-21,P-V02-W001,245.8746503,244.2676301,-1.607020289,4.382468177,evaluation_only
C008,2020-04-21,P-V03-REF-A,0,-1.838850164,-1.838850164,4.516517532,evaluation_only
C008,2020-04-21,P-V03-W006,356.5506051,356.2645586,-0.2860464933,5.846549374,evaluation_only
C008,2020-04-21,P-V03-W001,429.1996299,426.7531846,-2.446445269,4.76408802,evaluation_only
C008,2020-04-21,P-V03-W003,1293.1281,1291.705408,-1.422691426,4.956553138,evaluation_only
C008,2020-04-21,P-V04-REF-A,0,2.678411397,2.678411397,3.383654156,evaluation_only
C008,2020-04-21,P-V04-W002,191.7789477,185.9838353,-5.795112334,4.277812681,evaluation_only
C008,2020-04-21,P-V04-W006,231.4633723,222.597738,-8.865634252,4.393202995,evaluation_only
C008,2020-04-21,P-V04-W005,330.936158,331.7074626,0.7713045799,4.394373862,evaluation_only
C008,2020-04-21,P-V05-REF-A,0,-0.8362814674,-0.8362814674,4.223558265,evaluation_only
C008,2020-04-21,P-V05-W004,1317.864264,1319.164318,1.300054248,4.213608899,evaluation_only
C008,2020-04-21,P-V05-W005,1395.613125,1394.450796,-1.162329489,4.868828577,evaluation_only
C008,2020-04-21,P-V05-W002,1424.320772,1424.657458,0.3366864727,4.604572567,evaluation_only
C008,2020-04-21,P-V06-REF-A,0,-9.33554128,-9.33554128,4.587045456,evaluation_only
