canonical_local_path,filename,extension,size_bytes,sha256,git_tracked,apparent_source_role,duplicate_of,alias_count,readable_status,analysis_status,analysis_note
README_FIRST.md,README_FIRST.md,.md,7156,6b9967994a6d56ffd2b324536401b5822eaa8532a559a815c9ec5a30f182c4cf,True,REPO_METADATA,,1,READABLE,FULLY_REVIEWED,
SKRU1_ACTUAL_DATA_TABLES_v1.zip,SKRU1_ACTUAL_DATA_TABLES_v1.zip,.zip,63048195,edcced26f827fc1d24939eabb86d1a1cf5a41669ebe2b9e680af9a955cb733a7,False,LOCAL_DISTRIBUTION_ARCHIVE_DUPLICATE,work/data_repair/acceptance_20260905/pre_apply/files/SKRU1_ACTUAL_DATA_TABLES_v1.zip,2,READABLE,DUPLICATE,= work/data_repair/acceptance_20260905/pre_apply/files/SKRU1_ACTUAL_DATA_TABLES_v1.zip
artifacts/.gitattributes,.gitattributes,(none),293,8c5abb5b2cd1f92f47965a4282834034077a7b63fb2813077c7eba4be1410ce8,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/drift_summary.csv,drift_summary.csv,.csv,36601,93f0633bd91539fc7cc47d8087dc362da95ac13a0edb0a3021c565e8f95cd98e,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/duplicate_and_grain_checks.csv,duplicate_and_grain_checks.csv,.csv,3050,278ecb66eacd2631c410aa598474495f2bb9f921a773eba62de0f93a6164390b,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/feature_missingness_by_split.csv,feature_missingness_by_split.csv,.csv,17086,c550fabe8673c2cced7fe55c15eb2b6a34399678a90647be083ca192d38a6461,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/gate_a1_findings.csv,gate_a1_findings.csv,.csv,2686,9b37572f3e7f843ecfd77273499d430f85a77fc9eee0a45d23d55037414ad2df,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/gate_a1_report.json,gate_a1_report.json,.json,35569,179cbd97b94edb88948438fb93dc6defaa12d929b37796acf11d825a83ffe71a,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/join_coverage.csv,join_coverage.csv,.csv,939,cf2f325fabedd2861bfc6d11b0434873c8c5e3c70b5a1538a784789e28ac0da0,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/membership_inconsistency_mapping.csv,membership_inconsistency_mapping.csv,.csv,2705,465e456debb85127c9697c751b94508f9516569add2133241a75a7d1e772a628,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/root_archive_duplicate_audit.json,root_archive_duplicate_audit.json,.json,1089,e2d14a3dc489e65770e321969f5053058138dfb7cd86d0c2ecc3fa2fc90cc6ab,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/split_summary.csv,split_summary.csv,.csv,3696,f4794a43f0a747b412f17cdc77d3cdae09545ee02bcd25cce5d5bb661bdb23c6,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/validation_design_summary.csv,validation_design_summary.csv,.csv,4394,ec47faf8d25e12e8cc96e62c5294edb8c0cbf33796eebf5ffa63adf11f37280f,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_representation_v2/acceptance_receipt.json,acceptance_receipt.json,.json,5537,1841023bf16232091ddbd5659238ec3299cbb229ed3444b5d0a98c2c9499e64f,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_representation_v2/blocker_receipt.json,blocker_receipt.json,.json,2987,7106b51c3739551e3b0cde28055a1f4d07039606ae00104359ddc5306e2dc158,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_representation_v2/elapsed_days_mismatches.csv.gz,elapsed_days_mismatches.csv.gz,.gz,192377,fff387f9e419d68a6ad3f21dc78c73bdb327e049cbe299b3a08b72e7618292ad,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_representation_v2/independent_validation.json,independent_validation.json,.json,4329,02909b6db51feb5f901e2513a566c196810828944051b0a7c06cbc70c94c349a,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_representation_v2/preexisting_integrity_receipt.json,preexisting_integrity_receipt.json,.json,244,30cefeb8c3c23d0f6fec053f4f05a155cef7e860fef74a0a9c3c2c4a29ad75be,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_representation_v2/test_execution_receipt.json,test_execution_receipt.json,.json,3508,1d9e95c8d1335dc1147b1a7178e40e2872ede2a88289643d5c589f51aba1b39b,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_representation_v2_1/acceptance_receipt.json,acceptance_receipt.json,.json,20834,19ef081153484749acfb8ab9cdf313e1b17ea9e1dceba13c020e87c2098b821a,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_representation_v2_1/artifact_inventory.csv,artifact_inventory.csv,.csv,8762,77d8d6875aea7b70c9695ea2ffda3593c038f6a5c1b09f2c0fd86d4763327987,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_representation_v2_1/baseline_construction_receipt.json,baseline_construction_receipt.json,.json,612,6ef7a8e53c04ac86e1f0eb7e81807a927a83f20f9eb9672fe2ac4002fd8c52fa,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_representation_v2_1/c01_construction_receipt.json,c01_construction_receipt.json,.json,1005,55167744f28cc8f8ce1aa381582f71b3512b91a79d616bbdc158d02c1fcf04ee,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_representation_v2_1/independent_origin_validation.json,independent_origin_validation.json,.json,4437,4d539c63a99fab47f621c542be0e799acb5c2e47a4ea360ff2ecffafb91ba4ed,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_representation_v2_1/test_execution_receipt.json,test_execution_receipt.json,.json,5789,3727a008e456296f720f2106ff55702038ced90860b42fe9b51c344247c94306,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_representation_v2_1/two_run_receipt.json,two_run_receipt.json,.json,6049,5853a0dc5cdb7cecbc90ff8640cac7c4a92a888d93fdfd6719362564ce21aecc,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2/chart_manifest.json,chart_manifest.json,.json,2413,148d7b92a32e66b35dc57e2aa7d47ea39d9c0ab34fcae2a8318083c47f2b7eb7,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2/counts_comparison.csv,counts_comparison.csv,.csv,825,bae947e752621c0b728eff57da76d193357efb0cb36441b27c50c2c32aa72606,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2/differential_statistics.csv,differential_statistics.csv,.csv,4098,01bbd4613d2ba428b60a6c15b165798634cf19ef3ab1549aa8f5f82f902e6073,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2/extreme_cases.csv,extreme_cases.csv,.csv,386,a669e749bbf68c6d3d846db774dd11259c2a44293bd7675c91e076f281f5fe20,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2/finalization_manifest.json,finalization_manifest.json,.json,12522,f0f36912adc515f3cbf50eb92ba7a13728d2173d31fb322d8efff9568233e2f4,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2/manifest.json,manifest.json,.json,4522,1433aac120f86757a8935781a779833c72d051935d5b14576fedcdf6bd2cab93,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2/missing_reason_comparison.csv,missing_reason_comparison.csv,.csv,332,945f6fa4a38e4bcbfa0aabd3823bd0e47d94c2feca679593030f6bf21f8bf058,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2/new_distribution.json,new_distribution.json,.json,4513,9cfb73f7ae03d21d71344bdb35942f010bfe9d93525d7da582ebe0b3c26e6d4e,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2/old_distribution.json,old_distribution.json,.json,4265,1971dc9103e837472e60edb1dba73d66b3e03c0a953b7da9c0ec57549dc5466f,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2/process_family_comparison.csv,process_family_comparison.csv,.csv,481,3bde4743144df431e4208ba130726c6ea77b1d0d8aa6211d11dc356ce93d2ff7,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2/profile_comparison.csv,profile_comparison.csv,.csv,257,c3734e455424d1433f4474e4e1b5b1980ece08771667a609c409b42750305394,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2/random_example_selection.json,random_example_selection.json,.json,987,ff4503b8715c0d332d9d6e4a767db5b17f94fbd9c9bc67b07babf088b70f3480,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2/validation_report.json,validation_report.json,.json,265,68a654589d06705c464f2e92940177db04a125e47791978003427901aa6c973c,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2/zone_comparison.csv,zone_comparison.csv,.csv,98,b4e6ef9e055b2d501e55253685106dffcbc43a92647c6ae979651aa4a03c9791,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2/figures/01_temporal_families.png,01_temporal_families.png,.png,364071,3ef92901d14309f15bad3f9852d74523e037ecd0e4ba099044881f4fd02fb9a2,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2/figures/02_settlement_velocity_acceleration.png,02_settlement_velocity_acceleration.png,.png,186500,61bef48bd24f63701a7927d0e6cd67043c0ffe86c646f98c7103baf5159c0b5d,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2/figures/03_published_profiles_and_analogues.png,03_published_profiles_and_analogues.png,.png,1015211,1d906bcdc1429e35d6c326a9d78aea32e2ec89369ec9816ca99efafc5dc13ebe,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2/figures/04_empirical_vs_simulated_ranges.png,04_empirical_vs_simulated_ranges.png,.png,73147,0c30fb3b8c2de73e7080fe0983f9aaad72d3e7c411a4de161b107baab1eb5a64,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2/figures/05_old_new_distributions.png,05_old_new_distributions.png,.png,68134,1ce927bd81b7029ffa664eb990cb58622c3339eca6e2bfda35c7cbd95d56354f,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2/figures/06_cadence_missingness.png,06_cadence_missingness.png,.png,110839,b7403fde135058768e1e05c5ba47973cfdc4dd1e12baf6d1749c43170ac77bf6,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2/figures/07_measurement_noise_components.png,07_measurement_noise_components.png,.png,168753,b9856454d25c6321f95689c444de5d66d5af304a6693d4f251c396e131bf058c,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2/figures/08_true_vs_pseudo_transition.png,08_true_vs_pseudo_transition.png,.png,116607,9b973623cf4407c58ca5d6aa2e0b0ffa97a45ddeddc2d0402f15775c9c656974,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2/figures/09_extreme_cases.png,09_extreme_cases.png,.png,179780,fcaa808cf39ce45d13990cb69ef490a3ec35d44ab892f16daabe928827f6c444,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2/figures/10_spatial_snapshots.png,10_spatial_snapshots.png,.png,124982,818a5e1951e08f1d5ee498863e25b29cbae6a12cfb12b54876c49bab7ec9b912,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2/reproducibility/baseline_inventory.json,baseline_inventory.json,.json,228648,9c27dee4e9f7b4fc463106961ba0e2b9bab2d209b3423f35415aa608b57b9e01,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2/reproducibility/change_inventory.json,change_inventory.json,.json,3258,40574e26526756830ecbd5d02306b1ef69c365b816a43127f83ad7f25c6498ee,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2/reproducibility/constraints_reproducibility.json,constraints_reproducibility.json,.json,148,1bd14811bb12aaa2fee8f649c29b09c1d6ec09c358bc720cc3c94e1d9a5bda1e,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2/reproducibility/dataset_reproducibility.json,dataset_reproducibility.json,.json,2403,4038dbaa6996a02640b707d623f19fd8a62fe4b87c5e1233e6bdaa48f0303b33,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2/reproducibility/git_status.txt,git_status.txt,.txt,1204,4cafe3f7199acf7143215cc0eb0ca1d94210d690fa78e090589afcdcf4168d1c,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2/reproducibility/independent_validation_release.json,independent_validation_release.json,.json,2898,4fe730662619f8fcd1d25e7df2e966dd8cdda4e85fc152cbd09f5f115a742715,True,DERIVED_ARTIFACT,artifacts/data_quality/scenario_simulation_v2_freeze/independent_validation.json,2,READABLE,DUPLICATE,= artifacts/data_quality/scenario_simulation_v2_freeze/independent_validation.json
artifacts/data_quality/scenario_simulation_v2/reproducibility/initial_commit.txt,initial_commit.txt,.txt,42,1639f5eec8975001cf475804afde84aa115f67255826dbe1652d34095a57c012,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2/reproducibility/initial_git_status.txt,initial_git_status.txt,.txt,436,e2f7a30a627e174f4a0de3456ab4e29db65b1b953762e80f8cdb5f6d554f9a2e,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2/reproducibility/new_text_files.patch,new_text_files.patch,.patch,330173,7d1d78cdbe859ce4939e37dcbdd449f53f78e2147cd050108a2d8c8b39781b35,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2/reproducibility/pytest_1.txt,pytest_1.txt,.txt,101,bf79fdb478dda547c950fb3dcc8eaf23c0fc59dcea2a2fff22fe23a9a9353208,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2/reproducibility/pytest_2.txt,pytest_2.txt,.txt,125,1d5dd6e5c58b0cf1527a35ce2108782d67420ecf76446c6a067266a41aac3ccd,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2/reproducibility/reader_qa.json,reader_qa.json,.json,4519,f4c08ffe846f48d55f2b20812b251050b1e10d7602cb909773e8da7992c5147c,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2/reproducibility/release_integrity.json,release_integrity.json,.json,699,272514742a2a1d69df736e7003bedf7c03300768547e7499bf813aa1ea3d577e,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2/reproducibility/report_structure.json,report_structure.json,.json,495,fac1c973084a4d0350dce3c03bdf3cf993b2d055d983b9a083439afb2dd29bc9,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2/reproducibility/source_extraction_manifest.json,source_extraction_manifest.json,.json,2609,926d25294d4973a93fd50d0ab6c7816f6e6b5010ef1c08451f0de0a942dbf933,True,DERIVED_ARTIFACT,,2,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2/reproducibility/test_execution.json,test_execution.json,.json,1062,4152fe810a95d2e09326901a440b063fbebece8f8ea7f4803d20454573807f0a,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2/reproducibility/tracked.diff,tracked.diff,.diff,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2/reproducibility/verified_inputs.json,verified_inputs.json,.json,3302,eb4b7fbb2e6d3b5745e448f16007a1283daba5fa91d13d7ffc7aaccba8c65fbd,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2_1/correction_receipt.json,correction_receipt.json,.json,9126,5fc8b24111503e997e6896e7ca6ee1cd7a8628be633d70f7a2febb840d0a2cf5,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2_1/output_parity.csv,output_parity.csv,.csv,4365,b86e39bf7ba5d62ffec64bbd6de1c52f797d7cfa02798699ad73b5f645a72399,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2_1/test_execution_receipt.json,test_execution_receipt.json,.json,3676,1690207f75140d2cb83312bde77b1266dd16ba050cb73c1dd063c6b9274934ba,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2_1/two_run_receipt.json,two_run_receipt.json,.json,2284,a9055fedebc635befb845607746c08eebe1eb265a5ff2f96e45de0997c0c1e37,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
artifacts/data_quality/scenario_simulation_v2_freeze/checkout_baseline_inventory.json,checkout_baseline_inventory.json,.json,208422,4a1ba8540035222c223f9f18dadfafe8b0b979936fca68a79199b61b427bfd03,True,DERIVED_ARTIFACT,,1,READABLE,NOT_RELEVANT,производный/синтетический/процессный артефакт; не первичное свидетельство (выборочно проверен через цепочку manifests)
