profile_id,point_type,chainage_m,chainage_normalized_profile,kzt,kzt__standard_uncertainty,kzt__donor_distance_m,kzt__provenance,ko,ko__standard_uncertainty,ko__donor_distance_m,ko__provenance,seismic_energy_J_m2,seismic_energy_J_m2__standard_uncertainty,seismic_energy_J_m2__donor_distance_m,seismic_energy_J_m2__provenance,fill_density,fill_density__standard_uncertainty,fill_density__donor_distance_m,fill_density__provenance,fault_distance_m,fault_distance_m__standard_uncertainty,fault_distance_m__donor_distance_m,fault_distance_m__provenance,lithology,lithology__standard_uncertainty,lithology__donor_distance_m,lithology__provenance,terrain_TRI_relative,terrain_TRI_relative__standard_uncertainty,terrain_TRI_relative__donor_distance_m,terrain_TRI_relative__provenance,terrain_roughness_relative,terrain_roughness_relative__standard_uncertainty,terrain_roughness_relative__donor_distance_m,terrain_roughness_relative__provenance,scenario_id,stress_zone_class,unseen_spatial,point_id
P-H07,WORK,479.012611,0.7031414281,0.2832402235,0.08166192273,110.3870171,R,0.6030504382,0.03392608713,84.65838753,R,7.5,2.637677898,39.61298292,R,0.5619834661,0.08,19.14095754,C/R,195.2900421,25,19.14095754,C/R,sylvinite,,0,D,,0.1,19.14095754,C/R,,0.1,19.14095754,C/R,ST-011,background,False,
P-V04,WORK,41.59435355,0.3727317549,0.2877094972,0.032,0,D,0.3078212291,0.014,0,D,27.5,1.2,0,D,0.9008264542,0.08,18.75403407,C/R,460.5735572,25,18.75403407,C/R,carnallite,,0,D,0.01666666667,0.1,18.75403407,C/R,0.0522875817,0.1,18.75403407,C/R,ST-012,background,False,
P-H07,WORK,0,0.2968585719,0.2818652729,0.0760971413,75.60713315,R,0.6343065555,0.02978426267,25.48946667,R,7.5,2.671348798,45.22479967,R,0.2066115737,0.08,9.372196643,C/R,280.766821,25,9.372196643,C/R,sylvinite,,0,D,0.2611111111,0.1,9.372196643,C/R,0.07712418301,0.1,9.372196643,C/R,ST-013,background,False,
P-V02,WORK,202.5551256,0.496525562,0.3234636872,0.032,0,D,0.4427374302,0.014,0,D,7.5,1.2,0,D,0.8595041037,0.08,25.91162928,C/R,4.767840687,25,25.91162928,C/R,carnallite,,0,D,0.3277777778,0.1,25.91162928,C/R,0.8326797386,0.1,25.91162928,C/R,ST-014,background,False,
P-V02,WORK,151.8457715,0.4509581799,0.4025647132,0.072,50,R,0.4798882682,0.014,0,D,7.5,1.2,0,D,0.8760330677,0.08,25.68549231,C/R,38.14627509,25,25.68549231,C/R,replacement_rock_salt,,0,D,0.04444444444,0.1,25.68549231,C/R,0.06797385621,0.1,25.68549231,C/R,ST-015,background,False,
P-H02,WORK,367.8710202,0.5816193975,0.6720670391,0.032,0,D,0.5405027933,0.014,0,D,27.5,1.2,0,D,0.8925619721,0.08,12.96698532,C/R,146.8143556,25,12.96698532,C/R,mixed_salts,,0,D,,0.1,12.96698532,C/R,,0.1,12.96698532,C/R,ST-016,background,False,
P-V01,WORK,0,0.2682978173,0.587150838,0.032,0,D,0.3879888268,0.014,0,D,27.5,1.2,0,D,0.8347107172,0.08,18.48771246,C/R,196.5531401,25,18.48771246,C/R,carnallite,,0,D,,0.1,18.48771246,C/R,,0.1,18.48771246,C/R,ST-017,background,False,
P-H04,WORK,320.0650616,0.5156447804,0.5424581006,0.032,0,D,0.4955307263,0.014,0,D,7.5,1.2,0,D,0,0.08,23.71328019,C/R,136.7859707,25,23.71328019,C/R,carnallite,,0,D,0.1555555556,0.1,23.71328019,C/R,0.2209150327,0.1,23.71328019,C/R,ST-018,background,False,
P-H07,WORK,74.66461176,0.3601866577,0.2608938547,0.032,0,D,0.5983452992,0.0315103649,50.14806994,R,7.5,2.712737593,52.1229322,R,0,0.08,13.70309013,C/R,350.1011984,25,13.70309013,C/R,sylvinite,,0,D,0.2555555556,0.1,13.70309013,C/R,0.07581699346,0.1,13.70309013,C/R,ST-019,moderate,False,
P-D01,WORK,139.7926804,0.4139228333,0.6005586592,0.032,0,D,0.329358419,0.0315,50,R,27.5,2.7,50,R,0.8512396812,0.08,17.76668779,C/R,340.1506913,25,17.76668779,C/R,carnallite,,0,D,0.005555555556,0.1,17.76668779,C/R,0.4758169935,0.1,17.76668779,C/R,ST-020,moderate,False,
P-V04,WORK,206.7155004,0.5298992275,0.2340782123,0.032,0,D,0.3430167598,0.014,0,D,27.5,1.2,0,D,0.9834710956,0.08,14.13404802,C/R,477.4224919,25,14.13404802,C/R,carnallite,,0,D,0.8333333333,0.1,14.13404802,C/R,0.3019607843,0.1,14.13404802,C/R,ST-021,moderate,False,
P-V02,WORK,70.30907674,0.3776893759,0.587150838,0.032,0,D,0.4955307263,0.014,0,D,7.5,1.2,0,D,0.8925619721,0.08,33.9050644,C/R,64.9754913,25,33.9050644,C/R,replacement_rock_salt,,26.39603694,R,,0.1,33.9050644,C/R,,0.1,33.9050644,C/R,ST-022,moderate,False,
P-H02,WORK,176.3414749,0.4264420806,0.5916201117,0.032,0,D,0.4955307263,0.014,0,D,27.5,1.2,0,D,0.9008264542,0.08,7.945161402,C/R,6.488129386,25,7.945161402,C/R,mixed_salts,,0,D,,0.1,7.945161402,C/R,,0.1,7.945161402,C/R,ST-023,moderate,False,
P-D01,WORK,0,0.2957843134,0.6699096513,0.072,50,R,0.6355879693,0.03215525733,59.36081894,R,27.5,1.2,0,D,0.9586777091,0.08,21.37858899,C/R,248.2049685,25,21.37858899,C/R,carnallite,,0,D,0,0.1,21.37858899,C/R,0.2470588235,0.1,21.37858899,C/R,ST-024,moderate,False,
P-D01,WORK,310.6223535,0.558290655,0.6139664804,0.032,0,D,0.3840782123,0.014,0,D,27.5,1.2,0,D,0.495867759,0.08,27.22685347,C/R,292.1045885,25,27.22685347,C/R,carnallite,,46.74834236,R,0,0.1,27.22685347,C/R,0.2666666667,0.1,27.22685347,C/R,ST-025,moderate,False,
P-V02,WORK,0,0.3145096998,0.587150838,0.032,0,D,0.4955307263,0.014,0,D,7.5,1.2,0,D,0.8925619721,0.08,18.27914303,C/R,98.08921821,25,18.27914303,C/R,carnallite,,0,D,0.1666666667,0.1,18.27914303,C/R,0.2888888889,0.1,18.27914303,C/R,ST-026,moderate,False,
P-H03,WORK,0,0.3089278152,0.3787794292,0.08836617813,152.2886133,R,0.65,0.014,0,D,7.5,3,100,R,0.7107437849,0.08,13.49380137,C/R,71.45914749,25,13.49380137,C/R,mixed_salts,,0,D,0.2388888889,0.1,13.49380137,C/R,0.4169934641,0.1,13.49380137,C/R,ST-027,moderate,False,
P-V02,WORK,252.3942653,0.5413109702,0.5424581006,0.032,0,D,0.4094972067,0.014,0,D,7.5,1.2,0,D,0.8347107172,0.08,25.85881559,C/R,15.21658282,25,25.85881559,C/R,carnallite,,0,D,0.2333333333,0.1,25.85881559,C/R,0.3490196078,0.1,25.85881559,C/R,ST-028,moderate,False,
P-H06,WORK,367.2404114,0.4971443973,0.2636290891,0.072,50,R,0.3,0.014,0,D,25,2.7,50,R,0.991735518,0.08,30.27426417,C/R,828.1239768,25,30.27426417,C/R,carnallite,,0,D,0.6166666667,0.1,30.27426417,C/R,0.4431372549,0.1,30.27426417,C/R,ST-029,moderate,False,
P-D01,WORK,402.5336996,0.6359647532,0.6139664804,0.032,0,D,0.65,0.014,0,D,27.5,1.2,0,D,0.4214875996,0.08,12.29955337,C/R,231.5926028,25,12.29955337,C/R,carnallite,,0,D,0,0.1,12.29955337,C/R,0.03529411765,0.1,12.29955337,C/R,ST-030,moderate,False,
P-V02,WORK,335.3148574,0.6158233431,0.5424581006,0.032,0,D,0.65,0.014,0,D,7.5,1.2,0,D,0.9090909362,0.08,16.869605,C/R,66.36136464,25,16.869605,C/R,carnallite,,0,D,0.3055555556,0.1,16.869605,C/R,0.5882352941,0.1,16.869605,C/R,ST-031,moderate,False,
P-H02,WORK,0,0.2835701448,0.587150838,0.032,0,D,0.4955307263,0.014,0,D,27.5,1.2,0,D,0.7107437849,0.08,7.912350975,C/R,76.39745018,25,7.912350975,C/R,mixed_salts,,45.24521419,R,,0.1,7.912350975,C/R,,0.1,7.912350975,C/R,ST-032,moderate,False,
P-H02,WORK,534.2625148,0.7164298552,0.6452513966,0.032,0,D,0.4994413408,0.014,0,D,27.5,1.2,0,D,0.9008264542,0.08,17.16202613,C/R,254.6004571,25,17.16202613,C/R,mixed_salts,,0,D,0.5,0.1,17.16202613,C/R,0.431372549,0.1,17.16202613,C/R,ST-033,moderate,False,
P-V06,WORK,354.5290011,0.5793566378,0.2872041373,0.08,100,R,0.65,0.014,0,D,7.5,1.2,0,D,0,0.08,25.67592577,C/R,181.9883167,25,25.67592577,C/R,sylvinite,,0,D,0.1833333333,0.1,25.67592577,C/R,0.1281045752,0.1,25.67592577,C/R,ST-034,moderate,False,
P-H02,WORK,429.5713478,0.6316090285,0.7569832402,0.032,0,D,0.6284916201,0.014,0,D,27.5,1.2,0,D,0.9090909362,0.08,7.802053324,C/R,185.1399769,25,7.802053324,C/R,mixed_salts,,0,D,,0.1,7.802053324,C/R,,0.1,7.802053324,C/R,ST-035,moderate,False,
P-H03,WORK,124.3432683,0.418679513,0.3808086968,0.0928444102,180.2775638,R,0.5035648298,0.0315,50,R,7.5,3,100,R,0.7107437849,0.08,13.82118334,C/R,11.77473185,25,13.82118334,C/R,mixed_salts,,0,D,,0.1,13.82118334,C/R,,0.1,13.82118334,C/R,ST-036,moderate,False,
P-H05,WORK,0,0.2325352463,0.3502793296,0.032,0,D,0.3997206704,0.014,0,D,7.5,1.2,0,D,0,0.08,29.55768508,C/R,587.842415,25,29.55768508,C/R,carnallite,,0,D,0.1777777778,0.1,29.55768508,C/R,0.5163398693,0.1,29.55768508,C/R,ST-037,high,False,
P-H01,WORK,623.7846838,0.5885007509,0.587150838,0.032,0,D,0.4720670391,0.014,0,D,27.5,2.7,50,R,0.9421487451,0.08,4.415097127,C/R,97.64812885,25,4.415097127,C/R,carnallite,,0,D,,0.1,4.415097127,C/R,,0.1,4.415097127,C/R,ST-038,high,False,
P-H03,WORK,321.2828117,0.5925083783,0.3677014681,0.0928444102,180.2775638,R,0.5022136761,0.0315,50,R,7.5,3,100,R,0.7438016534,0.08,14.84440413,C/R,19.09110899,25,14.84440413,C/R,mixed_salts,,0,D,0.2333333333,0.1,14.84440413,C/R,0.3947712418,0.1,14.84440413,C/R,ST-039,high,False,
P-V03,WORK,0,0.3416711347,0.4752665712,0.072,50,R,0.4955307263,0.014,0,D,7.5,1.2,0,D,0.7933884263,0.08,29.88107122,C/R,365.1260211,25,29.88107122,C/R,mixed_salts,,50,R,0.3555555556,0.1,29.88107122,C/R,0.4640522876,0.1,29.88107122,C/R,ST-040,high,False,
P-V01,WORK,415.2943192,0.5866479871,0.587150838,0.032,0,D,0.382122905,0.014,0,D,27.5,1.2,0,D,0.8512396812,0.08,17.80064492,C/R,102.9595015,25,17.80064492,C/R,carnallite,,0,D,,0.1,17.80064492,C/R,,0.1,17.80064492,C/R,ST-041,high,False,
P-V01,WORK,507.0468205,0.6569822609,0.6005586592,0.032,0,D,0.3879888268,0.014,0,D,27.5,1.2,0,D,0.8264462948,0.08,13.17799028,C/R,194.425783,25,13.17799028,C/R,carnallite,,0,D,,0.1,13.17799028,C/R,,0.1,13.17799028,C/R,ST-042,high,False,
P-V05,WORK,179.4891271,0.5024256422,0.1849162011,0.032,0,D,0.65,0.014,0,D,7.5,1.2,0,D,0.5867768526,0.08,15.26917885,C/R,692.877136,25,15.26917885,C/R,carnallite,,0,D,,0.1,15.26917885,C/R,,0.1,15.26917885,C/R,ST-043,high,False,
P-H05,WORK,416.3388797,0.5091451432,0.3368715084,0.032,0,D,0.3879888268,0.014,0,D,7.5,1.2,0,D,0.02479338832,0.08,25.95125367,C/R,286.6560194,25,25.95125367,C/R,replacement_rock_salt,,0,D,0.4777777778,0.1,25.95125367,C/R,0.6235294118,0.1,25.95125367,C/R,ST-044,high,False,
P-V05,WORK,283.3494134,0.600977375,0.2296089385,0.032,0,D,0.65,0.014,0,D,7.5,1.2,0,D,0.669421494,0.08,19.07544803,C/R,690.5383417,25,19.07544803,C/R,carnallite,,0,D,0.05555555556,0.1,19.07544803,C/R,0.09673202614,0.1,19.07544803,C/R,ST-045,high,False,
P-H02,WORK,95.79562529,0.3611838,0.587150838,0.032,0,D,0.4955307263,0.014,0,D,27.5,1.2,0,D,0.7603305578,0.08,19.10972353,C/R,17.62633068,25,19.10972353,C/R,mixed_salts,,0,D,,0.1,19.10972353,C/R,,0.1,19.10972353,C/R,ST-046,high,False,
P-V03,WORK,121.9164876,0.4606864051,0.4843575419,0.032,0,D,0.4955307263,0.014,0,D,7.5,2.7,50,R,0.8429751992,0.08,14.28064128,C/R,359.9739784,25,14.28064128,C/R,mixed_salts,,0,D,0.3388888889,0.1,14.28064128,C/R,0.677124183,0.1,14.28064128,C/R,ST-047,high,False,
P-H03,WORK,200.0275754,0.4854823348,0.3769588053,0.08929822128,158.113883,R,0.5160683173,0.0315,50,R,7.5,3,100,R,0.7272727489,0.08,26.13728469,C/R,18.97376585,25,26.13728469,C/R,mixed_salts,,0,D,0.1722222222,0.1,26.13728469,C/R,0.3006535948,0.1,26.13728469,C/R,ST-048,high,False,
P-V05,WORK,114.6168315,0.4408691283,0.1938547486,0.032,0,D,0.65,0.014,0,D,7.5,1.2,0,D,0.6115702391,0.08,2.847504022,C/R,694.0465332,25,2.847504022,C/R,carnallite,,0,D,0.3444444444,0.1,2.847504022,C/R,0.7777777778,0.1,2.847504022,C/R,ST-049,high,False,
P-H05,WORK,137.3503853,0.3237889768,0.3994413408,0.032,0,D,0.3879888268,0.014,0,D,7.5,1.2,0,D,0,0.08,32.99901868,C/R,476.1195616,25,32.99901868,C/R,carnallite,,0,D,0.3611111111,0.1,32.99901868,C/R,0.5450980392,0.1,32.99901868,C/R,ST-050,high,False,
P-H03,WORK,308.4061907,0.5811428172,0.3677014681,0.0928444102,180.2775638,R,0.5022136761,0.0315,50,R,7.5,3,100,R,0.7438016534,0.08,23.43033878,C/R,19.09110899,25,23.43033878,C/R,mixed_salts,,0,D,0.2333333333,0.1,23.43033878,C/R,0.3947712418,0.1,23.43033878,C/R,ST-051,high,False,
P-V03,WORK,288.5315887,0.623336607,0.4122339082,0.072,50,R,0.4955307263,0.014,0,D,7.5,1.2,0,D,0.8677685857,0.08,17.94016703,C/R,352.2459144,25,17.94016703,C/R,carnallite,,0,D,0.06666666667,0.1,17.94016703,C/R,0.1241830065,0.1,17.94016703,C/R,ST-052,high,False,
P-V05,WORK,353.8656523,0.6678893565,0.2921787709,0.032,0,D,0.3879888268,0.014,0,D,7.5,1.2,0,D,0.7272727489,0.08,7.731500851,C/R,688.6161052,25,7.731500851,C/R,carnallite,,32.18920147,R,0.02222222222,0.1,7.731500851,C/R,0.03267973856,0.1,7.731500851,C/R,ST-053,high,False,
P-H05,WORK,247.9338352,0.397259119,0.3502793296,0.032,0,D,0.3879888268,0.014,0,D,7.5,1.2,0,D,0,0.08,27.24816869,C/R,400.3341447,25,27.24816869,C/R,replacement_rock_salt,,0,D,0.4666666667,0.1,27.24816869,C/R,0.6614379085,0.1,27.24816869,C/R,ST-054,high,False,
UNSEEN,OOD,,,0.7748603352,,,,0.6284916201,,,,15.13581422,,,,0.5206611753,,,,82.84781333,,,,replacement_rock_salt,,,,0.01111111111,,,,0.06928104575,,,,ST-055,unseen_spatial,True,OOD-001
UNSEEN,OOD,,,0.7837988827,,,,0.5522346369,,,,17.5,,,,0.669421494,,,,17.30136539,,,,carnallite,,,,0.005555555556,,,,0.09150326797,,,,ST-056,unseen_spatial,True,OOD-002
UNSEEN,OOD,,,0.7837988827,,,,0.3938547486,,,,17.5,,,,0,,,,392.2194516,,,,mixed_salts,,,,,,,,,,,,ST-057,unseen_spatial,True,OOD-003
UNSEEN,OOD,,,0.7938568519,,,,0.3879888268,,,,18.37543003,,,,0.2727272809,,,,305.2858079,,,,mixed_salts,,,,0,,,,0.5647058824,,,,ST-058,unseen_spatial,True,OOD-004
UNSEEN,OOD,,,0.7391061453,,,,0.5483240223,,,,19.77372563,,,,0.4628099203,,,,170.6834082,,,,carnallite,,,,0,,,,0.1254901961,,,,ST-059,unseen_spatial,True,OOD-005
UNSEEN,OOD,,,0.7793296089,,,,0.4153631285,,,,17.5,,,,0.2314049602,,,,265.9612334,,,,mixed_salts,,,,0.005555555556,,,,0.02091503268,,,,ST-060,unseen_spatial,True,OOD-006
UNSEEN,OOD,,,0.7837988827,,,,0.65,,,,17.5,,,,0,,,,408.1074226,,,,replacement_rock_salt,,,,,,,,,,,,ST-061,unseen_spatial,True,OOD-007
UNSEEN,OOD,,,0.7837988827,,,,0.5522346369,,,,17.5,,,,0.5454545617,,,,68.99524885,,,,carnallite,,,,0,,,,0.1098039216,,,,ST-062,unseen_spatial,True,OOD-008
UNSEEN,OOD,,,0.7793296089,,,,0.4955307263,,,,7.5,,,,0.661157012,,,,58.59797406,,,,carnallite,,,,0.005555555556,,,,0.07973856209,,,,ST-063,unseen_spatial,True,OOD-009
UNSEEN,OOD,,,0.7837988827,,,,0.4016759777,,,,22.5,,,,0.0826446265,,,,376.8208221,,,,mixed_salts,,,,0,,,,0.768627451,,,,ST-064,unseen_spatial,True,OOD-010
UNSEEN,OOD,,,0.8619578281,,,,0.4075418994,,,,17.5,,,,0,,,,471.8926972,,,,mixed_salts,,,,,,,,,,,,ST-065,unseen_spatial,True,OOD-011
UNSEEN,OOD,,,0.7837988827,,,,0.5890930987,,,,17.5,,,,0.7355371714,,,,124.5264814,,,,carnallite,,,,,,,,,,,,ST-066,unseen_spatial,True,OOD-012
UNSEEN,OOD,,,0.7837988827,,,,0.493575419,,,,17.5,,,,0.4297520518,,,,159.3728284,,,,carnallite,,,,,,,,,,,,ST-067,unseen_spatial,True,OOD-013
UNSEEN,OOD,,,0.9,,,,0.65,,,,17.5,,,,0.2479338795,,,,182.7144214,,,,mixed_salts,,,,0,,,,0.6352941176,,,,ST-068,unseen_spatial,True,OOD-014
UNSEEN,OOD,,,0.7391061453,,,,0.538547486,,,,20.11800797,,,,0.495867759,,,,168.3240471,,,,carnallite,,,,0,,,,0.1843137255,,,,ST-069,unseen_spatial,True,OOD-015
UNSEEN,OOD,,,0.7837988827,,,,0.4955307263,,,,18.25306315,,,,0.2727272809,,,,119.4157294,,,,replacement_rock_salt,,,,0,,,,0.02745098039,,,,ST-070,unseen_spatial,True,OOD-016
UNSEEN,OOD,,,0.7837988827,,,,0.4955307263,,,,7.5,,,,0.7024793625,,,,42.89372457,,,,carnallite,,,,0.01111111111,,,,0.08104575163,,,,ST-071,unseen_spatial,True,OOD-017
UNSEEN,OOD,,,0.7969328532,,,,0.6187150838,,,,17.5,,,,0.5371900797,,,,26.78699124,,,,replacement_rock_salt,,,,,,,,,,,,ST-072,unseen_spatial,True,OOD-018
