sample_id,scenario_id,point_id,current_date,n_history,last_settlement_mm,last_rate_mm_y,mean_recent_rate_mm_y,recent_acceleration_mm_y2,current_uncertainty_mm,forecast_horizon_days,stress_zone_class,unseen_spatial,split
ST-002::2023-02-01,ST-002,P-V06-W001,2023-02-01,9,30.4484721,120.4058014,84.17740658,882.1614134,2.784142874,180,background,False,train
ST-002::2023-04-01,ST-002,P-V06-W001,2023-04-01,10,40.10271227,56.87437455,88.64008796,-374.2718331,3.782797533,180,background,False,train
ST-002::2023-05-01,ST-002,P-V06-W001,2023-05-01,11,52.32039023,75.63570977,66.25504216,116.1453846,3.711511348,180,background,False,train
ST-002::2023-07-01,ST-002,P-V06-W001,2023-07-01,12,68.4329938,196.1709485,135.9033291,1467.516532,3.714912838,180,background,False,train
ST-002::2023-08-01,ST-002,P-V06-W001,2023-08-01,13,80.28597745,70.97216846,133.5715585,-749.653351,2.791497883,180,background,False,train
ST-002::2023-11-01,ST-002,P-V06-W001,2023-11-01,14,82.669787,28.08665935,49.52941391,-505.2881355,3.745634721,180,background,False,train
ST-002::2024-02-01,ST-002,P-V06-W001,2024-02-01,15,86.8511013,16.60027224,22.34346579,-45.60220538,3.211195998,180,background,False,validation
ST-002::2024-05-01,ST-002,P-V06-W001,2024-05-01,16,132.1165883,179.7089035,98.15458785,647.5589952,3.296074358,180,background,False,validation
ST-002::2024-08-01,ST-002,P-V06-W001,2024-08-01,17,153.2285889,85.67953577,132.6942196,-381.6025173,3.1182373,180,background,False,validation
ST-002::2024-11-01,ST-002,P-V06-W001,2024-11-01,18,174.0253469,82.56538968,84.12246272,-12.36349845,3.27505221,180,background,False,validation
ST-002::2025-02-01,ST-002,P-V06-W001,2025-02-01,19,201.1174996,107.5587914,95.06209052,99.22652137,3.79359476,180,background,False,test
ST-002::2025-05-01,ST-002,P-V06-W001,2025-05-01,20,223.614066,89.31381382,98.43630259,-72.43454401,2.687294676,180,background,False,test
ST-002::2025-08-01,ST-002,P-V06-W001,2025-08-01,21,250.6839878,111.0931339,100.2034739,89.3808614,3.924059361,180,background,False,test
ST-002::2025-11-01,ST-002,P-V06-W001,2025-11-01,22,271.1202512,81.1341872,96.11366056,-118.9402749,2.566535067,180,background,False,test
ST-003::2022-08-01,ST-003,P-V01-W002,2022-08-01,3,17.28862378,63.16816664,21.84805723,494.8252446,3.130009434,180,background,False,train
ST-003::2022-10-01,ST-003,P-V01-W002,2022-10-01,4,13.77470118,-41.40194293,10.88311185,-1232.072017,2.744545083,180,background,False,train
ST-003::2022-12-01,ST-003,P-V01-W002,2022-12-01,5,21.30175819,45.06979628,1.833926674,517.7672581,3.036787815,180,background,False,train
ST-003::2023-02-01,ST-003,P-V01-W002,2023-02-01,6,22.61876864,7.885869971,26.47783312,-222.6463784,3.669158075,180,background,False,train
ST-003::2023-03-01,ST-003,P-V01-W002,2023-03-01,7,35.12973539,73.70371945,40.79479471,387.7414439,3.743625779,180,background,False,train
ST-003::2023-05-01,ST-003,P-V01-W002,2023-05-01,8,40.40598299,68.8267656,71.26524253,-63.61812124,2.835199973,180,background,False,train
ST-003::2023-06-01,ST-003,P-V01-W002,2023-06-01,9,57.54089453,102.5987941,85.71277983,202.2169409,2.607507873,180,background,False,train
ST-003::2023-08-01,ST-003,P-V01-W002,2023-08-01,10,69.90590549,145.6877501,124.1432721,507.6851997,3.388439442,180,background,False,train
ST-003::2023-10-01,ST-003,P-V01-W002,2023-10-01,11,80.74099658,64.87732819,105.2825391,-483.8689607,3.36387918,180,background,False,train
ST-003::2023-11-01,ST-003,P-V01-W002,2023-11-01,12,88.54687341,46.73928709,55.80830764,-108.6052379,3.796700386,180,background,False,train
ST-003::2024-01-01,ST-003,P-V01-W002,2024-01-01,13,96.94150691,98.90773828,72.82351269,614.6621548,3.216848872,180,background,False,validation
ST-003::2024-02-01,ST-003,P-V01-W002,2024-02-01,14,95.31409771,-9.744446085,44.5816461,-650.5772187,3.055143811,180,background,False,validation
ST-003::2024-08-01,ST-003,P-V01-W002,2024-08-01,15,95.61396042,3.53305988,-3.105693103,156.4390017,2.873172831,180,background,False,validation
ST-003::2025-02-01,ST-003,P-V01-W002,2025-02-01,16,116.0266546,40.96558545,22.24932267,75.12214267,2.835101753,180,background,False,test
ST-003::2025-08-01,ST-003,P-V01-W002,2025-08-01,17,132.9093938,33.51315487,37.23937016,-14.79347973,3.723289699,180,background,False,test
ST-003::2025-11-01,ST-003,P-V01-W002,2025-11-01,18,129.039325,-7.809627899,12.85176349,-83.38754921,2.798466499,180,background,False,test
ST-004::2023-01-01,ST-004,P-V02-W007,2023-01-01,3,35.09428552,2.893740203,16.22435842,-105.8480066,2.802877514,180,background,False,train
ST-004::2023-02-01,ST-004,P-V02-W007,2023-02-01,4,43.11926549,19.15767277,11.02570649,38.82615274,2.742560264,180,background,False,train
ST-004::2023-04-01,ST-004,P-V02-W007,2023-04-01,5,39.85726838,-38.43369179,-9.63800951,-678.5563195,3.318803739,180,background,False,train
ST-004::2023-05-01,ST-004,P-V02-W007,2023-05-01,6,49.07038627,57.03544591,9.300877059,591.0186872,3.757440915,180,background,False,train
ST-004::2023-06-01,ST-004,P-V02-W007,2023-06-01,7,47.68117902,-16.91359826,20.06092382,-900.3296128,3.128215277,180,background,False,train
ST-004::2023-08-01,ST-004,P-V02-W007,2023-08-01,8,46.92280203,-8.935393402,-12.92449583,94.00126856,3.024638053,180,background,False,train
ST-004::2023-11-01,ST-004,P-V02-W007,2023-11-01,9,51.30309663,26.22791154,8.646259068,210.5474939,2.777709118,180,background,False,train
ST-004::2023-12-01,ST-004,P-V02-W007,2023-12-01,10,63.11360353,46.88899616,36.55845385,82.02675172,3.700302541,180,background,False,train
ST-004::2024-02-01,ST-004,P-V02-W007,2024-02-01,11,69.40375359,76.58257695,61.73578656,361.5193462,2.557999533,180,background,False,validation
ST-004::2024-04-01,ST-004,P-V02-W007,2024-04-01,12,74.03156707,27.26304636,51.92281166,-290.5477186,2.531912253,180,background,False,validation
ST-004::2024-05-01,ST-004,P-V02-W007,2024-05-01,13,79.00656932,30.28532618,28.77418627,18.3981284,3.51994598,180,background,False,validation
ST-004::2024-07-01,ST-004,P-V02-W007,2024-07-01,14,89.16674891,123.7001866,76.99275638,1137.325925,2.797479011,180,background,False,validation
ST-004::2024-08-01,ST-004,P-V02-W007,2024-08-01,15,98.45109786,55.59194183,89.6460642,-407.8120721,3.761333026,180,background,False,validation
ST-004::2024-11-01,ST-004,P-V02-W007,2024-11-01,16,108.0413243,112.9945228,84.29323229,676.3320221,3.819864567,180,background,False,validation
ST-004::2025-02-01,ST-004,P-V02-W007,2025-02-01,17,126.1025766,71.7051349,92.34982883,-163.9233578,2.858601539,180,background,False,test
ST-004::2025-05-01,ST-004,P-V02-W007,2025-05-01,18,136.6537221,41.88919459,56.79716474,-118.3725239,3.450836999,180,background,False,test
ST-004::2025-08-01,ST-004,P-V02-W007,2025-08-01,19,149.9524729,54.57717677,48.23318568,52.0706235,3.799798144,180,background,False,test
ST-004::2025-11-01,ST-004,P-V02-W007,2025-11-01,20,180.5220045,121.3643629,87.97076982,265.1523882,2.942473718,180,background,False,test
ST-005::2022-11-01,ST-005,P-H06-W002,2022-11-01,3,2.079311022,-8.617154665,-7.402518802,-9.644472809,2.562779488,180,background,False,train
ST-005::2023-02-01,ST-005,P-H06-W002,2023-02-01,4,4.022423985,7.714369675,-0.4513924954,64.83792679,2.646378324,180,background,False,train
ST-005::2023-05-01,ST-005,P-H06-W002,2023-05-01,5,6.042381725,8.019451785,7.86691073,1.211209139,3.17558299,180,background,False,train
ST-005::2023-07-01,ST-005,P-H06-W002,2023-07-01,6,13.4163367,30.26221411,19.14083295,91.28279708,3.978753435,180,background,False,train
ST-005::2023-08-01,ST-005,P-H06-W002,2023-08-01,7,10.1714762,-19.42926718,5.416473467,-297.5379269,3.972653755,180,background,False,train
ST-005::2023-10-01,ST-005,P-H06-W002,2023-10-01,8,6.216736429,-46.59576459,-33.01251589,-320.0826833,3.847854081,180,background,False,train
ST-005::2023-11-01,ST-005,P-H06-W002,2023-11-01,9,6.447650001,1.382642334,-22.60656113,287.2805431,3.636888524,180,background,False,train
ST-005::2023-12-01,ST-005,P-H06-W002,2023-12-01,10,2.208708525,-49.9443024,-24.28083003,-604.7473085,3.651332459,180,background,False,train
ST-005::2024-02-01,ST-005,P-H06-W002,2024-02-01,11,9.890165963,93.52174431,21.78872096,1746.699119,3.14712047,180,background,False,validation
ST-005::2024-03-01,ST-005,P-H06-W002,2024-03-01,12,12.84917437,17.43190032,55.47682231,-448.255089,2.969529571,180,background,False,validation
ST-005::2024-05-01,ST-005,P-H06-W002,2024-05-01,13,4.699158327,-102.6480469,-42.60807327,-1512.386231,3.887916036,180,background,False,validation
ST-005::2024-06-01,ST-005,P-H06-W002,2024-06-01,14,16.44226732,70.31427147,-16.16688769,1035.647324,3.01745494,180,background,False,validation
ST-005::2024-08-01,ST-005,P-H06-W002,2024-08-01,15,4.869598387,-136.3521719,-33.0189502,-2434.997369,3.034231987,180,background,False,validation
ST-005::2024-10-01,ST-005,P-H06-W002,2024-10-01,16,53.26792069,289.7948725,76.72135029,2551.642753,3.992806225,180,background,False,validation
ST-005::2024-11-01,ST-005,P-H06-W002,2024-11-01,17,57.3083416,24.19284818,156.9938603,-1590.346547,2.592832957,180,background,False,validation
ST-005::2025-01-01,ST-005,P-H06-W002,2025-01-01,18,65.37871454,95.08721662,59.6400324,835.2957443,3.655970326,180,background,False,test
ST-005::2025-02-01,ST-005,P-H06-W002,2025-02-01,19,82.88000796,104.7925807,99.93989866,58.11285624,3.378062953,180,background,False,test
ST-005::2025-05-01,ST-005,P-H06-W002,2025-05-01,20,92.56205313,114.0763547,109.4344677,109.3838214,2.622890736,180,background,False,test
ST-005::2025-08-01,ST-005,P-H06-W002,2025-08-01,21,109.7047765,70.35258116,92.21446795,-179.439419,3.006619311,180,background,False,test
ST-005::2025-11-01,ST-005,P-H06-W002,2025-11-01,22,134.0289588,96.56964747,83.46111432,104.0846029,2.791461593,180,background,False,test
ST-006::2022-11-01,ST-006,P-H04-W005,2022-11-01,3,17.36954263,10.49013348,12.76889236,-18.09384089,3.715118639,180,background,False,train
ST-006::2023-02-01,ST-006,P-H04-W005,2023-02-01,4,12.26367083,-20.27086602,-4.890366274,-122.1245116,3.965654739,180,background,False,train
ST-006::2023-05-01,ST-006,P-H04-W005,2023-05-01,5,22.8110657,41.8743041,10.80171904,246.7230803,3.921386212,180,background,False,train
ST-006::2023-08-01,ST-006,P-H04-W005,2023-08-01,6,27.65119822,19.86357755,30.86894082,-90.33053789,2.987831689,180,background,False,train
ST-006::2024-01-01,ST-006,P-H04-W005,2024-01-01,7,20.99245469,-26.43593558,-3.286179017,-183.8140997,3.95833691,180,background,False,validation
ST-006::2024-02-01,ST-006,P-H04-W005,2024-02-01,8,32.34702288,27.10624859,0.3351565026,127.8188416,2.709284308,180,background,False,validation
ST-006::2024-04-01,ST-006,P-H04-W005,2024-04-01,9,31.68525049,-7.797173104,9.654537741,-411.2411217,3.345958714,180,background,False,validation
ST-006::2024-05-01,ST-006,P-H04-W005,2024-05-01,10,30.73831056,-5.764496832,-6.780834968,12.37391681,2.877398963,180,background,False,validation
ST-006::2024-06-01,ST-006,P-H04-W005,2024-06-01,11,35.91974859,63.08400805,28.65975561,838.230547,3.473780994,180,background,False,validation
ST-006::2024-08-01,ST-006,P-H04-W005,2024-08-01,12,32.67955098,-38.17684443,12.45358181,-1193.081496,3.354965714,180,background,False,validation
ST-006::2024-09-01,ST-006,P-H04-W005,2024-09-01,13,40.36326156,46.00779161,3.91547359,504.0727592,3.448551573,180,background,False,validation
ST-006::2024-11-01,ST-006,P-H04-W005,2024-11-01,14,60.62751163,238.7586238,142.3832077,2271.040047,3.235160449,180,background,False,validation
ST-006::2024-12-01,ST-006,P-H04-W005,2024-12-01,15,48.28570985,-73.89906719,82.42977831,-1872.101994,2.839904735,180,background,False,validation
ST-006::2025-02-01,ST-006,P-H04-W005,2025-02-01,16,46.7269554,-18.97783544,-46.43845132,668.6659966,2.760210417,180,background,False,test
ST-006::2025-04-01,ST-006,P-H04-W005,2025-04-01,17,61.23543814,85.47134387,33.24675422,615.3235926,3.184521887,180,background,False,test
ST-006::2025-05-01,ST-006,P-H04-W005,2025-05-01,18,58.71007243,-15.63372585,34.91880901,-625.9089274,3.448347282,180,background,False,test
ST-006::2025-07-01,ST-006,P-H04-W005,2025-07-01,19,62.53026609,46.51085778,15.43856596,756.6103057,3.152936176,180,background,False,test
ST-006::2025-11-01,ST-006,P-H04-W005,2025-11-01,20,75.7337657,79.05865953,62.78475866,194.8866326,3.138189824,180,background,False,test
ST-007::2022-11-01,ST-007,P-H07-W006,2022-11-01,3,8.382460185,2.68291593,2.035471337,5.140850819,3.689674869,180,background,False,train
ST-007::2023-02-01,ST-007,P-H07-W006,2023-02-01,4,7.126787706,-4.985156227,-1.151120149,-30.44307995,3.683636206,180,background,False,train
ST-007::2023-05-01,ST-007,P-H07-W006,2023-05-01,5,14.59038144,29.63127838,12.32306108,137.4310081,3.23717228,180,background,False,train
ST-007::2023-08-01,ST-007,P-H07-W006,2023-08-01,6,9.690808759,-20.10751597,4.761881204,-204.1246589,2.954182546,180,background,False,train
ST-007::2024-05-01,ST-007,P-H07-W006,2024-05-01,7,19.05599514,37.1808079,8.536645962,227.4408728,3.459731975,180,background,False,validation
ST-007::2024-06-01,ST-007,P-H07-W006,2024-06-01,8,16.12821087,-3.902821922,16.63899299,-54.76567807,2.948245248,180,background,False,validation
ST-007::2024-08-01,ST-007,P-H07-W006,2024-08-01,9,21.88523641,67.83076067,31.96396938,845.183582,2.881878648,180,background,False,validation
ST-007::2024-09-01,ST-007,P-H07-W006,2024-09-01,10,23.96130035,12.43085825,40.13080946,-331.7182682,3.696160827,180,background,False,validation
ST-007::2024-11-01,ST-007,P-H07-W006,2024-11-01,11,25.29638391,15.73029908,14.08057866,38.8748633,2.55282348,180,background,False,validation
ST-007::2025-01-01,ST-007,P-H07-W006,2025-01-01,12,22.72292276,-15.409126,0.1605865386,-186.4536887,2.777878823,180,background,False,test
ST-007::2025-02-01,ST-007,P-H07-W006,2025-02-01,13,25.41323271,16.10878209,0.3498280445,188.7199333,3.337467531,180,background,False,test
ST-007::2025-04-01,ST-007,P-H07-W006,2025-04-01,14,30.9131237,64.80113502,40.45495856,573.705868,2.673931243,180,background,False,test
ST-007::2025-05-01,ST-007,P-H07-W006,2025-05-01,15,36.73462818,36.03905953,50.42009728,-178.056747,3.239890632,180,background,False,test
ST-007::2025-08-01,ST-007,P-H07-W006,2025-08-01,16,39.68618777,35.93523801,35.98714877,-1.264027046,3.087885774,180,background,False,test
ST-007::2025-09-01,ST-007,P-H07-W006,2025-09-01,17,45.21255583,21.94028189,28.93775995,-55.56149695,3.008869683,180,background,False,test
ST-007::2025-11-01,ST-007,P-H07-W006,2025-11-01,18,55.95951815,126.6234834,74.28188265,1233.404495,3.922486626,180,background,False,test
ST-007::2025-12-01,ST-007,P-H07-W006,2025-12-01,19,65.10881392,54.78328328,90.70338334,-430.1579196,2.668101469,180,background,False,test
ST-008::2022-11-01,ST-008,P-V04-W003,2022-11-01,3,14.32254196,9.553539175,11.10767315,-12.34016158,2.854501643,180,background,False,train
ST-008::2023-02-01,ST-008,P-V04-W003,2023-02-01,4,17.44429983,12.39371804,10.97362861,11.27581879,2.925632801,180,background,False,train
ST-008::2023-05-01,ST-008,P-V04-W003,2023-05-01,5,18.78693515,5.330408159,8.862063097,-28.04210796,3.034472931,180,background,False,train
ST-008::2023-08-01,ST-008,P-V04-W003,2023-08-01,6,26.95582816,33.52458621,19.42749718,115.707006,3.836078561,180,background,False,train
ST-008::2023-11-01,ST-008,P-V04-W003,2023-11-01,7,24.79479146,-8.579550602,12.4725178,-167.1579997,3.123366772,180,background,False,train
ST-008::2024-02-01,ST-008,P-V04-W003,2024-02-01,8,31.95390884,28.42247416,9.921461781,146.9020603,3.926758023,180,background,False,validation
ST-008::2024-05-01,ST-008,P-V04-W003,2024-05-01,9,34.24976879,9.114813576,18.76864387,-76.65351119,3.061783879,180,background,False,validation
ST-008::2024-08-01,ST-008,P-V04-W003,2024-08-01,10,33.72828135,-2.116369866,3.499221855,-45.57988614,3.998061086,180,background,False,validation
ST-008::2024-10-01,ST-008,P-V04-W003,2024-10-01,11,40.13195155,25.42326672,11.65344843,109.3353507,3.241659515,180,background,False,validation
ST-008::2024-11-01,ST-008,P-V04-W003,2024-11-01,12,39.92731426,-1.225307667,12.09897953,-159.5637999,3.563568934,180,background,False,validation
ST-008::2025-01-01,ST-008,P-V04-W003,2025-01-01,13,40.27379514,4.082327093,1.428509713,62.53592245,3.30674709,180,background,False,test
ST-008::2025-02-01,ST-008,P-V04-W003,2025-02-01,14,46.70202742,38.49035806,21.28634258,206.0251362,2.739235137,180,background,False,test
ST-008::2025-03-01,ST-008,P-V04-W003,2025-03-01,15,41.19515023,-64.8834482,-13.19654507,-1217.976862,3.973073467,180,background,False,test
ST-008::2025-05-01,ST-008,P-V04-W003,2025-05-01,16,38.75981033,-31.76813922,-48.32579371,431.9773787,3.845740821,180,background,False,test
ST-008::2025-06-01,ST-008,P-V04-W003,2025-06-01,17,47.54410303,52.59775257,10.41480668,505.1580651,3.656134162,180,background,False,test
ST-008::2025-08-01,ST-008,P-V04-W003,2025-08-01,18,46.4044175,-13.42806899,19.58484179,-777.9332685,2.71089771,180,background,False,test
ST-008::2025-09-01,ST-008,P-V04-W003,2025-09-01,19,56.45185065,60.16106487,23.36649794,440.6300188,2.555622906,180,background,False,test
ST-008::2025-11-01,ST-008,P-V04-W003,2025-11-01,20,61.89536307,64.13686819,62.14896653,46.84394067,3.914218404,180,background,False,test
ST-009::2022-06-01,ST-009,P-V06-W007,2022-06-01,3,43.43202763,115.7241304,71.15287048,533.7591048,2.793686534,180,background,False,train
ST-009::2022-08-01,ST-009,P-V06-W007,2022-08-01,4,52.84133538,110.8628922,113.2935113,-57.27636363,2.668187012,180,background,False,train
ST-009::2022-10-01,ST-009,P-V06-W007,2022-10-01,5,59.90408327,42.28965028,76.57627122,-410.5963377,3.244582635,180,background,False,train
ST-009::2022-11-01,ST-009,P-V06-W007,2022-11-01,6,69.6314136,58.24438361,50.26701694,95.53223523,3.846301047,180,background,False,train
ST-009::2023-02-01,ST-009,P-V06-W007,2023-02-01,7,76.795235,84.40599256,71.32518808,308.2428281,3.387074816,180,background,False,train
ST-009::2023-05-01,ST-009,P-V06-W007,2023-05-01,8,84.36734566,30.06210235,57.23404746,-215.7511511,3.138612787,180,background,False,train
ST-009::2023-08-01,ST-009,P-V06-W007,2023-08-01,9,92.1760396,32.0463535,31.05422793,8.143232942,3.260360922,180,background,False,train
ST-009::2023-11-01,ST-009,P-V06-W007,2023-11-01,10,92.99126392,3.236529176,17.64144134,-114.3781341,3.600070331,180,background,False,train
ST-009::2024-02-01,ST-009,P-V06-W007,2024-02-01,11,107.1129429,56.06460038,29.65056478,209.7331849,3.362539809,180,background,False,validation
ST-009::2024-05-01,ST-009,P-V06-W007,2024-05-01,12,118.9943532,47.17049066,51.61754552,-35.31058235,2.604638974,180,background,False,validation
ST-009::2024-08-01,ST-009,P-V06-W007,2024-08-01,13,120.7740752,7.222704886,27.19659777,-162.1214306,3.390953697,180,background,False,validation
ST-009::2024-11-01,ST-009,P-V06-W007,2024-11-01,14,129.8491579,36.02906471,21.6258848,114.3643796,3.894770967,180,background,False,validation
ST-009::2025-02-01,ST-009,P-V06-W007,2025-02-01,15,142.153229,48.84849973,42.43878222,50.89455045,3.513391372,180,background,False,test
ST-009::2025-05-01,ST-009,P-V06-W007,2025-05-01,16,142.9567899,3.190224084,26.01936191,-181.2683172,3.878131048,180,background,False,test
ST-009::2025-08-01,ST-009,P-V06-W007,2025-08-01,17,152.4806827,39.08541407,21.13781908,147.3114398,3.010641868,180,background,False,test
ST-009::2025-11-01,ST-009,P-V06-W007,2025-11-01,18,162.9313691,41.49036096,40.28788752,9.547900533,3.038541858,180,background,False,test
ST-010::2022-05-01,ST-010,P-H01-W004,2022-05-01,3,34.13885571,46.31954916,6.500993038,493.007716,2.555558613,180,background,False,train
ST-010::2022-06-01,ST-010,P-H01-W004,2022-06-01,4,35.90418806,21.49292138,33.90623527,-302.2641931,3.130298703,180,background,False,train
ST-010::2022-08-01,ST-010,P-H01-W004,2022-08-01,5,37.02582474,13.21541284,17.35416711,-97.52774185,3.850325974,180,background,False,train
ST-010::2022-09-01,ST-010,P-H01-W004,2022-09-01,6,53.10370156,96.2695821,54.74249747,497.3038578,3.902235116,180,background,False,train
ST-010::2022-11-01,ST-010,P-H01-W004,2022-11-01,7,59.97209453,80.92517853,88.59738032,-180.7917228,3.004306486,180,background,False,train
ST-010::2022-12-01,ST-010,P-H01-W004,2022-12-01,8,54.76156923,-31.19908796,24.86304528,-671.3670219,3.518775472,180,background,False,train
ST-010::2023-02-01,ST-010,P-H01-W004,2023-02-01,9,64.46409376,118.1282361,43.46457408,1818.060171,3.887902475,180,background,False,train
ST-010::2023-04-01,ST-010,P-H01-W004,2023-04-01,10,77.6882766,77.90536743,98.01680178,-236.9581095,3.169075382,180,background,False,train
ST-010::2023-05-01,ST-010,P-H01-W004,2023-05-01,11,90.30414831,78.10079901,78.00308322,1.209853973,2.688550544,180,background,False,train
ST-010::2023-07-01,ST-010,P-H01-W004,2023-07-01,12,102.4884821,148.3442636,113.2225313,855.2141813,3.92773536,180,background,False,train
ST-010::2023-08-01,ST-010,P-H01-W004,2023-08-01,13,116.7880339,85.62149672,116.9828802,-375.5654197,3.794511227,180,background,False,train
ST-010::2023-11-01,ST-010,P-H01-W004,2023-11-01,14,118.8023838,23.73359094,54.67754383,-729.179277,2.797066386,180,background,False,train
ST-010::2024-02-01,ST-010,P-H01-W004,2024-02-01,15,148.500036,117.902907,70.81824899,373.8624207,3.603173756,180,background,False,validation
ST-010::2024-05-01,ST-010,P-H01-W004,2024-05-01,16,166.2092185,70.30737968,94.10514336,-188.9594171,2.674098547,180,background,False,validation
ST-010::2024-08-01,ST-010,P-H01-W004,2024-08-01,17,189.32852,93.82583188,82.06660578,95.44571852,3.691363997,180,background,False,validation
ST-010::2024-11-01,ST-010,P-H01-W004,2024-11-01,18,208.7073882,76.93621289,85.38102239,-67.05362322,3.73008317,180,background,False,validation
ST-010::2025-02-01,ST-010,P-H01-W004,2025-02-01,19,238.8096406,119.5092142,98.22271353,169.0194426,2.841107471,180,background,False,test
ST-010::2025-05-01,ST-010,P-H01-W004,2025-05-01,20,259.4591935,81.98096955,100.7450919,-148.9912103,2.520820911,180,background,False,test
ST-010::2025-08-01,ST-010,P-H01-W004,2025-08-01,21,279.0364711,80.34382732,81.16239843,-6.718721355,2.680476801,180,background,False,test
ST-010::2025-11-01,ST-010,P-H01-W004,2025-11-01,22,306.4866413,108.9801595,94.66199339,113.6893513,2.918404949,180,background,False,test
ST-011::2022-08-01,ST-011,P-H07-W007,2022-08-01,3,6.573448674,-5.925453476,3.058634386,-107.5881341,3.708192768,180,background,False,train
ST-011::2022-11-01,ST-011,P-H07-W007,2022-11-01,4,-0.1166231066,-78.82415219,-42.37480283,-858.9112808,3.183476525,180,background,False,train
ST-011::2022-12-01,ST-011,P-H07-W007,2022-12-01,5,11.24781874,45.1180694,-16.8530414,492.0640917,2.866108319,180,background,False,train
ST-011::2023-02-01,ST-011,P-H07-W007,2023-02-01,6,13.96783209,33.11616249,39.11711594,-146.1232167,3.243780359,180,background,False,train
ST-011::2023-03-01,ST-011,P-H07-W007,2023-03-01,7,6.418585953,-44.47358307,-5.67871029,-457.0912026,2.889610621,180,background,False,train
ST-011::2023-05-01,ST-011,P-H07-W007,2023-05-01,8,9.470182024,39.80698089,-2.333301087,1099.409857,3.957754395,180,background,False,train
ST-011::2023-06-01,ST-011,P-H07-W007,2023-06-01,9,15.35990011,35.26589394,37.53643742,-27.19068869,3.107096534,180,background,False,train
ST-011::2023-08-01,ST-011,P-H07-W007,2023-08-01,10,23.7240726,98.54883884,66.90736639,745.6159879,3.10757074,180,background,False,train
