target,ext_id,stream,access,title,year
задача «Правила безопасности … калийных месторождений»,EXTWEB-NORMATIVE-009,NORMATIVE,METADATA_ONLY,"ФНиП «Правила безопасности при ведении горных работ и переработке твердых полезных ископаемых» (Приказ Ростехнадзора № 599), раздел «Требования безопасности к р",2013
предшественник) — косвенно,EXTWEB-NORMATIVE-009,NORMATIVE,METADATA_ONLY,"ФНиП «Правила безопасности при ведении горных работ и переработке твердых полезных ископаемых» (Приказ Ростехнадзора № 599), раздел «Требования безопасности к р",2013
MINING §2.3 (2011),EXTWEB-NORMATIVE-010,NORMATIVE,METADATA_ONLY,Методическое руководство по ведению горных работ на рудниках ОАО «Сильвинит»,2011
PST rank 23 (CW-0010),EXTWEB-NORMATIVE-010,NORMATIVE,METADATA_ONLY,Методическое руководство по ведению горных работ на рудниках ОАО «Сильвинит»,2011
MONITORING_LIFECYCLE (правовая рамка наблюдений 1996–2004),EXTWEB-NORMATIVE-011,NORMATIVE,METADATA_ONLY,"РД 07-113-96. Инструкция о порядке утверждения мер охраны зданий, сооружений и природных объектов от вредного влияния горных разработок; Приложение 5 «Перечень ",1996
PST rank 8 — косвенно,EXTWEB-NORMATIVE-011,NORMATIVE,METADATA_ONLY,"РД 07-113-96. Инструкция о порядке утверждения мер охраны зданий, сооружений и природных объектов от вредного влияния горных разработок; Приложение 5 «Перечень ",1996
PST rank 8 (предыдущая редакция),EXTWEB-NORMATIVE-012,NORMATIVE,METADATA_ONLY,"Приказ Госгортехнадзора РФ от 13.02.2002 № 19 «О нормативных документах Госгортехнадзора СССР и Госпроматомнадзора СССР» (Приложение: перечень документов, подле",2002
monitoring_campaigns_timeline (правила наблюдений до 2004 г.),EXTWEB-NORMATIVE-012,NORMATIVE,METADATA_ONLY,"Приказ Госгортехнадзора РФ от 13.02.2002 № 19 «О нормативных документах Госгортехнадзора СССР и Госпроматомнадзора СССР» (Приложение: перечень документов, подле",2002
FC-017,EXTWEB-NORMATIVE-013,NORMATIVE,METADATA_ONLY,Инструкция по наблюдениям за сдвижением горных пород и земной поверхности при подземной разработке рудных месторождений (утв./введ. 03.07.1986),1986
MM-DEF-003,EXTWEB-NORMATIVE-013,NORMATIVE,METADATA_ONLY,Инструкция по наблюдениям за сдвижением горных пород и земной поверхности при подземной разработке рудных месторождений (утв./введ. 03.07.1986),1986
PST rank 42 (CW-1610),EXTWEB-NORMATIVE-013,NORMATIVE,METADATA_ONLY,Инструкция по наблюдениям за сдвижением горных пород и земной поверхности при подземной разработке рудных месторождений (утв./введ. 03.07.1986),1986
FC-017,EXTWEB-NORMATIVE-014,NORMATIVE,METADATA_ONLY,"Инструкция по наблюдениям за сдвижением горных пород, земной поверхности и подрабатываемыми сооружениями на угольных и сланцевых месторождениях (Инструкция Мину",1987
MM-DEF-003 (атрибуция первоисточника),EXTWEB-NORMATIVE-014,NORMATIVE,METADATA_ONLY,"Инструкция по наблюдениям за сдвижением горных пород, земной поверхности и подрабатываемыми сооружениями на угольных и сланцевых месторождениях (Инструкция Мину",1987
PST rank 202 (CW-1608),EXTWEB-NORMATIVE-015,NORMATIVE,METADATA_ONLY,Приказ Ростехнадзора от 19.05.2023 № 186 «Об утверждении Правил осуществления маркшейдерской деятельности» (зарег. Минюстом России 31.05.2023 № 73638),2023
MONITORING_LIFECYCLE (правовая рамка),EXTWEB-NORMATIVE-016,NORMATIVE,METADATA_ONLY,РД 07-603-03. Инструкция по производству маркшейдерских работ (утв. пост. Госгортехнадзора России от 06.06.2003 № 73),2003
задача «Инструкция по производству маркшейдерских работ»,EXTWEB-NORMATIVE-016,NORMATIVE,METADATA_ONLY,РД 07-603-03. Инструкция по производству маркшейдерских работ (утв. пост. Госгортехнадзора России от 06.06.2003 № 73),2003
gap MONITORING_LIFECYCLE §7 п.1 (класс нивелирования на профильных линиях СКРУ-1),EXTWEB-NORMATIVE-017,NORMATIVE,METADATA_ONLY,"ГКИНП (ГНТА)-03-010-03 (в ряде каталогов — 03-010-02). Инструкция по нивелированию I, II, III и IV классов",2003
задача «levelling classes accuracy norms (ГКИНП)»,EXTWEB-NORMATIVE-017,NORMATIVE,METADATA_ONLY,"ГКИНП (ГНТА)-03-010-03 (в ряде каталогов — 03-010-02). Инструкция по нивелированию I, II, III и IV классов",2003
gap: иные (нефтяные) источники оседаний над ВКМКС и их наблюдательные сети,EXTWEB-NORMATIVE-018,NORMATIVE,METADATA_ONLY,Научные основы методов прогноза напряженно-деформированного состояния горных пород при разработке месторождений нефти и газа (дисс.),n.d.
CC-07 (lead для Phase 2),EXTWEB-NORMATIVE-019,NORMATIVE,METADATA_ONLY,Годовой отчёт ПАО «Уралкалий» за 2023 г. «Развитие. Сотрудничество. Безопасность» (uralkali_ar2023_rus.pdf),2024
chronology CC-13 (mining start),EXTWEB-SKRU1_SPECIFIC-001,SKRU1_SPECIFIC,FULL_TEXT_READ,Алгоритм прогноза плотности выделения сейсмической энергии для рудника СКРУ-1 Верхнекамского месторождения калийных солей,2023
gap: SKRU-1 mine seismic network/catalogue (task target 'Злобина–Шулаков 2023'),EXTWEB-SKRU1_SPECIFIC-001,SKRU1_SPECIFIC,FULL_TEXT_READ,Алгоритм прогноза плотности выделения сейсмической энергии для рудника СКРУ-1 Верхнекамского месторождения калийных солей,2023
CC-07 (редакции Указаний),EXTWEB-SKRU1_SPECIFIC-002,SKRU1_SPECIFIC,FULL_TEXT_READ,Обоснование инженерных критериев безопасной подработки водозащитной толщи на Верхнекамском месторождении солей,2021
FC-004,EXTWEB-SKRU1_SPECIFIC-002,SKRU1_SPECIFIC,FULL_TEXT_READ,Обоснование инженерных критериев безопасной подработки водозащитной толщи на Верхнекамском месторождении солей,2021
MM-SUBS-010/011,EXTWEB-SKRU1_SPECIFIC-002,SKRU1_SPECIFIC,FULL_TEXT_READ,Обоснование инженерных критериев безопасной подработки водозащитной толщи на Верхнекамском месторождении солей,2021
primary_source_targets rank 22 (CW-0079),EXTWEB-SKRU1_SPECIFIC-002,SKRU1_SPECIFIC,FULL_TEXT_READ,Обоснование инженерных критериев безопасной подработки водозащитной толщи на Верхнекамском месторождении солей,2021
MM-GEOMECH-004,EXTWEB-SKRU1_SPECIFIC-003,SKRU1_SPECIFIC,FULL_TEXT_READ,К определению горизонтальных деформаций подработанных территорий,2021
MM-OBS-002,EXTWEB-SKRU1_SPECIFIC-003,SKRU1_SPECIFIC,FULL_TEXT_READ,К определению горизонтальных деформаций подработанных территорий,2021
MM-SUBS-012 / FC-003,EXTWEB-SKRU1_SPECIFIC-003,SKRU1_SPECIFIC,FULL_TEXT_READ,К определению горизонтальных деформаций подработанных территорий,2021
primary_source_targets rank 34 (CW-0294),EXTWEB-SKRU1_SPECIFIC-003,SKRU1_SPECIFIC,FULL_TEXT_READ,К определению горизонтальных деформаций подработанных территорий,2021
CC-13,EXTWEB-SKRU1_SPECIFIC-004,SKRU1_SPECIFIC,FULL_TEXT_READ,Соликамский калийный комбинат — первенец калийной промышленности на Урале,n.d. (≈2000-е; «спустя 70 лет» после 1934)
MINING CHR-0023/0024/0025/0027/0032,EXTWEB-SKRU1_SPECIFIC-004,SKRU1_SPECIFIC,FULL_TEXT_READ,Соликамский калийный комбинат — первенец калийной промышленности на Урале,n.d. (≈2000-е; «спустя 70 лет» после 1934)
task target 'commissioning 1930/1934',EXTWEB-SKRU1_SPECIFIC-004,SKRU1_SPECIFIC,FULL_TEXT_READ,Соликамский калийный комбинат — первенец калийной промышленности на Урале,n.d. (≈2000-е; «спустя 70 лет» после 1934)
CC-13,EXTWEB-SKRU1_SPECIFIC-005,SKRU1_SPECIFIC,FULL_TEXT_READ,Соликамское калийное рудоуправление № 1,n.d. (revision oldid=60599)
CHR-0025/0027/0032/0075,EXTWEB-SKRU1_SPECIFIC-005,SKRU1_SPECIFIC,FULL_TEXT_READ,Соликамское калийное рудоуправление № 1,n.d. (revision oldid=60599)
mining lifecycle,EXTWEB-SKRU1_SPECIFIC-005,SKRU1_SPECIFIC,FULL_TEXT_READ,Соликамское калийное рудоуправление № 1,n.d. (revision oldid=60599)
gap: SKRU-1 seismic network,EXTWEB-SKRU1_SPECIFIC-006,SKRU1_SPECIFIC,ABSTRACT_ONLY,"Сейсмологический мониторинг Верхнекамского месторождения: задачи, проблемы, решения",2018
primary_source_targets rank 170 (CW-1540),EXTWEB-SKRU1_SPECIFIC-006,SKRU1_SPECIFIC,ABSTRACT_ONLY,"Сейсмологический мониторинг Верхнекамского месторождения: задачи, проблемы, решения",2018
gap: InSAR studies over Solikamsk/SKRU-1,EXTWEB-SKRU1_SPECIFIC-007,SKRU1_SPECIFIC,FULL_TEXT_READ,Учёных из Германии привлекли для анализа оседания поверхности СКРУ-2,2019
InSAR→model assimilation method (analogue for SKRU-1),EXTWEB-SKRU1_SPECIFIC-008,SKRU1_SPECIFIC,ABSTRACT_ONLY,"Rock Mass Condition Assessment Using InSAR and Numerical Modeling (рус. ориг.: ФТПРПИ, 2025, № 5, с. 3–14)",2025
MM-GEOMECH-004,EXTWEB-SKRU1_SPECIFIC-008,SKRU1_SPECIFIC,ABSTRACT_ONLY,"Rock Mass Condition Assessment Using InSAR and Numerical Modeling (рус. ориг.: ФТПРПИ, 2025, № 5, с. 3–14)",2025
CC-05 (контекст м/ш целика),EXTWEB-SKRU1_SPECIFIC-009,SKRU1_SPECIFIC,METADATA_ONLY,«Уралкалий» завершил строительство перемычки между рудниками СКРУ-1 и СКРУ-2,2020
MINING chronology (инженерное событие 2019–2020),EXTWEB-SKRU1_SPECIFIC-009,SKRU1_SPECIFIC,METADATA_ONLY,«Уралкалий» завершил строительство перемычки между рудниками СКРУ-1 и СКРУ-2,2020
gap MONITORING_LIFECYCLE P19–P20 (влияние аварии СКРУ-2 2014 г. на СКРУ-1),EXTWEB-SKRU1_SPECIFIC-009,SKRU1_SPECIFIC,METADATA_ONLY,«Уралкалий» завершил строительство перемычки между рудниками СКРУ-1 и СКРУ-2,2020
gap: current status of SKRU-1 (operating? closure plans?),EXTWEB-SKRU1_SPECIFIC-010,SKRU1_SPECIFIC,METADATA_ONLY,Главгосэкспертиза разрешила «Уралкалию» разрабатывать новые участки Соликамского рудника,n.d.
Uralkali public documents on SKRU-1 (protective measures),EXTWEB-SKRU1_SPECIFIC-011,SKRU1_SPECIFIC,METADATA_ONLY,"Объявления об общественных обсуждениях ОВОС ПАО «Уралкалий», февраль 2020: «Отработка предохранительного целика в восточном участке шахтного поля рудника СКРУ-1",2020
gap: SKRU-1 mining chronology after 2020,EXTWEB-SKRU1_SPECIFIC-011,SKRU1_SPECIFIC,METADATA_ONLY,"Объявления об общественных обсуждениях ОВОС ПАО «Уралкалий», февраль 2020: «Отработка предохранительного целика в восточном участке шахтного поля рудника СКРУ-1",2020
gap: current status of SKRU-1,EXTWEB-SKRU1_SPECIFIC-012,SKRU1_SPECIFIC,METADATA_ONLY,"«Уралкалий»: славная история, новые рубежи",n.d.
FV-SKRU1-001 (U_i не раскрыт у Злобиной–Шулакова 2023),EXTWEB-SKRU1_SPECIFIC-013,SKRU1_SPECIFIC,METADATA_ONLY,Обновление параметров модели прогноза сейсмической активности для рудника СКРУ-1 Верхнекамского месторождения калийных солей,2022
gap: SKRU-1 seismic catalogue/model,EXTWEB-SKRU1_SPECIFIC-013,SKRU1_SPECIFIC,METADATA_ONLY,Обновление параметров модели прогноза сейсмической активности для рудника СКРУ-1 Верхнекамского месторождения калийных солей,2022
PST rank 170 (контекст),EXTWEB-SKRU1_SPECIFIC-014,SKRU1_SPECIFIC,METADATA_ONLY,Сейсмологический мониторинг геодинамических процессов в пределах Верхнекамского месторождения калийных солей (дисс.),n.d.
gap: SKRU-1 mine seismic network and catalogue,EXTWEB-SKRU1_SPECIFIC-014,SKRU1_SPECIFIC,METADATA_ONLY,Сейсмологический мониторинг геодинамических процессов в пределах Верхнекамского месторождения калийных солей (дисс.),n.d.
CC-12 (карналлит на СКРУ-1) — контекст,EXTWEB-SKRU1_SPECIFIC-015,SKRU1_SPECIFIC,METADATA_ONLY,"Предотвращение газодинамических явлений при отработке карналлитовых пластов с помощью щелевой разгрузки (дисс., спец. ВАК 25.00.20)",n.d.
MINING (технология пласта В/Вк),EXTWEB-SKRU1_SPECIFIC-015,SKRU1_SPECIFIC,METADATA_ONLY,"Предотвращение газодинамических явлений при отработке карналлитовых пластов с помощью щелевой разгрузки (дисс., спец. ВАК 25.00.20)",n.d.
PST rank 10 (CW-0039 — серия статей),EXTWEB-SKRU1_SPECIFIC-016,SKRU1_SPECIFIC,METADATA_ONLY,Мониторинг оседаний на территории г. Березники (Пермский край) методами спутниковой радарной интерферометрии. II. Метод устойчивых отражателей,2023
gap MONITORING §7 п.3 (покрытие СКРУ-1 — не подтверждено),EXTWEB-SKRU1_SPECIFIC-016,SKRU1_SPECIFIC,METADATA_ONLY,Мониторинг оседаний на территории г. Березники (Пермский край) методами спутниковой радарной интерферометрии. II. Метод устойчивых отражателей,2023
InSAR→model assimilation,EXTWEB-SKRU1_SPECIFIC-017,SKRU1_SPECIFIC,METADATA_ONLY,Геомеханическое сопровождение спутникового радарного мониторинга оседаний подработанных территорий,2023
MM-GEOMECH-004 (контекст),EXTWEB-SKRU1_SPECIFIC-017,SKRU1_SPECIFIC,METADATA_ONLY,Геомеханическое сопровождение спутникового радарного мониторинга оседаний подработанных территорий,2023
2024),EXTWEB-SKRU1_SPECIFIC-018,SKRU1_SPECIFIC,METADATA_ONLY,Методика районирования шахтных полей рудников ВКМКС по степени опасности их затопления на основе инженерных критериев и математического моделирования,2024
MONITORING_LIFECYCLE §7 п.4 (рудник блока 129),EXTWEB-SKRU1_SPECIFIC-018,SKRU1_SPECIFIC,METADATA_ONLY,Методика районирования шахтных полей рудников ВКМКС по степени опасности их затопления на основе инженерных критериев и математического моделирования,2024
target «Baryakh & Tenison 2021 breach-risk maps» (методика районирования — здесь,EXTWEB-SKRU1_SPECIFIC-018,SKRU1_SPECIFIC,METADATA_ONLY,Методика районирования шахтных полей рудников ВКМКС по степени опасности их затопления на основе инженерных критериев и математического моделирования,2024
task: SKRU-2 2014/2018 sinkholes near the SKRU-1 border,EXTWEB-SKRU1_SPECIFIC-019,SKRU1_SPECIFIC,METADATA_ONLY,Сообщения о провалах над СКРУ-2: 18.11.2014 и 02.05.2018,2014–2018
CC-13 / CHR-0023 (дата закладки),EXTWEB-SKRU1_SPECIFIC-020,SKRU1_SPECIFIC,METADATA_ONLY,Провалы в Березниках и Соликамске,n.d.
SKRU-1 backfill history,EXTWEB-SKRU1_SPECIFIC-020,SKRU1_SPECIFIC,METADATA_ONLY,Провалы в Березниках и Соликамске,n.d.
GEOLOGY_COORDS COORDINATE_DATUM_AUDIT (CRS_SKRU1_MINE_LOCAL,EXTWEB-SKRU1_SPECIFIC-021,SKRU1_SPECIFIC,METADATA_ONLY,Параметры МСК-59 (Пермский край) для MapInfo; «Координаты точек в местной системе координат (МСК 59)»,n.d.
task: МСК-59 zones,EXTWEB-SKRU1_SPECIFIC-021,SKRU1_SPECIFIC,METADATA_ONLY,Параметры МСК-59 (Пермский край) для MapInfo; «Координаты точек в местной системе координат (МСК 59)»,n.d.
переходы UNKNOWN),EXTWEB-SKRU1_SPECIFIC-021,SKRU1_SPECIFIC,METADATA_ONLY,Параметры МСК-59 (Пермский край) для MapInfo; «Координаты точек в местной системе координат (МСК 59)»,n.d.
PHYSICS_CAUSAL (ВЗТ integrity) — контекст,EXTWEB-SKRU1_SPECIFIC-022,SKRU1_SPECIFIC,METADATA_ONLY,Прогноз целостности водозащитной толщи на Верхнекамском месторождении калийных руд,2022
не СКРУ-1,EXTWEB-SKRU1_SPECIFIC-022,SKRU1_SPECIFIC,METADATA_ONLY,Прогноз целостности водозащитной толщи на Верхнекамском месторождении калийных руд,2022
task: Baryakh & Tenison 2021 breach-risk maps (как отдельная публикация не найдена),EXTWEB-SKRU1_SPECIFIC-023,SKRU1_SPECIFIC,METADATA_ONLY,Способ гидрогеологического районирования шахтных полей калийных предприятий (патент RU 2261330),n.d.
rank 3 / CW-0053 (автореферат,EXTWEB-SUBSIDENCE_FORMULAS-001,SUBSIDENCE_FORMULAS,FULL_TEXT_READ,Геомеханическое обоснование расчетов оседаний земной поверхности при добыче калийно-магниевых руд (на примере Верхнекамского месторождения калийно-магниевых сол,2015
полный текст диссертации 133 с. не прочитан),EXTWEB-SUBSIDENCE_FORMULAS-001,SUBSIDENCE_FORMULAS,FULL_TEXT_READ,Геомеханическое обоснование расчетов оседаний земной поверхности при добыче калийно-магниевых руд (на примере Верхнекамского месторождения калийно-магниевых сол,2015
rank 4 / CW-0002 (частично: аннотация + список литературы,EXTWEB-SUBSIDENCE_FORMULAS-002,SUBSIDENCE_FORMULAS,PAYWALL,"Rheological analysis of geomechanical processes (= Об одном подходе к реологическому анализу геомеханических процессов, ФТПРПИ 2005 №6 с.32–41)",2005
формула не сверена),EXTWEB-SUBSIDENCE_FORMULAS-002,SUBSIDENCE_FORMULAS,PAYWALL,"Rheological analysis of geomechanical processes (= Об одном подходе к реологическому анализу геомеханических процессов, ФТПРПИ 2005 №6 с.32–41)",2005
FC-005 (частично),EXTWEB-SUBSIDENCE_FORMULAS-003,SUBSIDENCE_FORMULAS,PARTIAL_TEXT_QUERY,Анализ условий разрушения водозащитной толщи при различных вариантах камерной системы разработки,2013
rank 4 (вторичное подтверждение линии метода),EXTWEB-SUBSIDENCE_FORMULAS-003,SUBSIDENCE_FORMULAS,PARTIAL_TEXT_QUERY,Анализ условий разрушения водозащитной толщи при различных вариантах камерной системы разработки,2013
FC-001 (LOS→вертикаль),EXTWEB-SUBSIDENCE_FORMULAS-004,SUBSIDENCE_FORMULAS,PARTIAL_TEXT_QUERY,"Estimation of Deformation Intensity above a Flooded Potash Mine Near Berezniki (Perm Krai, Russia) with SAR Interferometry",2020
rank 6 / CW-0018,EXTWEB-SUBSIDENCE_FORMULAS-004,SUBSIDENCE_FORMULAS,PARTIAL_TEXT_QUERY,"Estimation of Deformation Intensity above a Flooded Potash Mine Near Berezniki (Perm Krai, Russia) with SAR Interferometry",2020
CW-0017 (Hanssen 2001 — книга недоступна,EXTWEB-SUBSIDENCE_FORMULAS-005,SUBSIDENCE_FORMULAS,FULL_TEXT_READ,Estimating three-dimensional displacements with InSAR: the strapdown approach,2024
FC-001,EXTWEB-SUBSIDENCE_FORMULAS-005,SUBSIDENCE_FORMULAS,FULL_TEXT_READ,Estimating three-dimensional displacements with InSAR: the strapdown approach,2024
MM-INSAR-012/014/026,EXTWEB-SUBSIDENCE_FORMULAS-005,SUBSIDENCE_FORMULAS,FULL_TEXT_READ,Estimating three-dimensional displacements with InSAR: the strapdown approach,2024
использована рецензируемая статья того же автора),EXTWEB-SUBSIDENCE_FORMULAS-005,SUBSIDENCE_FORMULAS,FULL_TEXT_READ,Estimating three-dimensional displacements with InSAR: the strapdown approach,2024
FC-001 (вспомогательно),EXTWEB-SUBSIDENCE_FORMULAS-006,SUBSIDENCE_FORMULAS,FULL_TEXT_READ,Sentinel-1 InSAR Product Guide (HyP3),2023–2026 (живой документ)
контекст CW-0002/CW-0052,EXTWEB-SUBSIDENCE_FORMULAS-007,SUBSIDENCE_FORMULAS,METADATA_ONLY,"Крупномасштабное математическое моделирование геомеханических процессов при разработке месторождений калийных руд: автореферат дис. … канд. техн. наук, 05.15.11",1997
новая линия (в корпусе не цитируется),EXTWEB-SUBSIDENCE_FORMULAS-007,SUBSIDENCE_FORMULAS,METADATA_ONLY,"Крупномасштабное математическое моделирование геомеханических процессов при разработке месторождений калийных руд: автореферат дис. … канд. техн. наук, 05.15.11",1997
новая линия (в корпусе не цитируется),EXTWEB-SUBSIDENCE_FORMULAS-008,SUBSIDENCE_FORMULAS,METADATA_ONLY,Крупномасштабное математическое моделирование геомеханических процессов при разработке калийных месторождений,1993
EV-VN-S031-0005/-0036,EXTWEB-SUBSIDENCE_FORMULAS-009,SUBSIDENCE_FORMULAS,METADATA_ONLY,Des dimensions à donner aux piliers des carrières et des pressions auxquelles les terrains sont soumis dans les profondeurs (по библ. записи VKM-SRC-031 [6]),1884
MM-PILLAR-001/010,EXTWEB-SUBSIDENCE_FORMULAS-009,SUBSIDENCE_FORMULAS,METADATA_ONLY,Des dimensions à donner aux piliers des carrières et des pressions auxquelles les terrains sont soumis dans les profondeurs (по библ. записи VKM-SRC-031 [6]),1884
вопрос задания «Turner–Shevyakov pillar loading»,EXTWEB-SUBSIDENCE_FORMULAS-009,SUBSIDENCE_FORMULAS,METADATA_ONLY,Des dimensions à donner aux piliers des carrières et des pressions auxquelles les terrains sont soumis dans les profondeurs (по библ. записи VKM-SRC-031 [6]),1884
EV-VN-S031-0037 (VKM-SRC-031 [7]),EXTWEB-SUBSIDENCE_FORMULAS-010,SUBSIDENCE_FORMULAS,METADATA_ONLY,О расчете прочных размеров и деформаций целиков,1941
вопрос задания «Turner–Shevyakov pillar loading»,EXTWEB-SUBSIDENCE_FORMULAS-010,SUBSIDENCE_FORMULAS,METADATA_ONLY,О расчете прочных размеров и деформаций целиков,1941
в корпусе ВКМ не используется,EXTWEB-SUBSIDENCE_FORMULAS-011,SUBSIDENCE_FORMULAS,METADATA_ONLY,Wpływ czasu na kształtowanie się niecki osiadania (Влияние времени на формирование мульды оседания),1952
вопрос задания «Knothe time function»,EXTWEB-SUBSIDENCE_FORMULAS-011,SUBSIDENCE_FORMULAS,METADATA_ONLY,Wpływ czasu na kształtowanie się niecki osiadania (Влияние времени на формирование мульды оседания),1952
вопрос задания «Knothe time function» (вторично),EXTWEB-SUBSIDENCE_FORMULAS-012,SUBSIDENCE_FORMULAS,ABSTRACT_ONLY,Application of the Improved Knothe Time Function Model in the Prediction of Ground Mining Subsidence: A Case Study from Heze City (Appl. Sci. 10(9):3147); A tim,2020; 2022
