ext_id,stream,authors,year,title,venue_publisher,doi,url,source_type,access,is_primary_for,resolves_target,relevance,site_scope,notes
EXTWEB-NORMATIVE-011,NORMATIVE,Госгортехнадзор России,1996,"РД 07-113-96. Инструкция о порядке утверждения мер охраны зданий, сооружений и природных объектов от вредного влияния горных разработок; Приложение 5 «Перечень инструкций по наблюдениям за сдвижением земной поверхности и подрабатываемыми объектами»",СПС ГАРАНТ (base.garant.ru/12138830); rulaws.ru; aquagroup.ru,,"https://base.garant.ru/12138830/c9c989f1e999992b41b30686f0032f7d/ ; https://rulaws.ru/acts/Instruktsiya-o-poryadke-utverzhdeniya-mer-ohrany-zdaniy,-sooruzheniy-i-prirodnyh-obektov-ot-vrednogo-vliya-solt-buccdibd/",normative,METADATA_ONLY,Федеральная процедурная рамка 1996 г. для утверждения мер охраны подрабатываемых объектов; наличие официального перечня инструкций по наблюдениям,MONITORING_LIFECYCLE (правовая рамка наблюдений 1996–2004); PST rank 8 — косвенно,MEDIUM,other,Виден только заголовок приложения; включена ли в перечень калийная Инструкция 1984 г. — не проверено (garant — egress blocked).
EXTWEB-NORMATIVE-012,NORMATIVE,Госгортехнадзор России,2002,"Приказ Госгортехнадзора РФ от 13.02.2002 № 19 «О нормативных документах Госгортехнадзора СССР и Госпроматомнадзора СССР» (Приложение: перечень документов, подлежащих применению в части установленных ими технических норм)",СПС ГАРАНТ (base.garant.ru/1589139),,https://base.garant.ru/1589139/53f89421bbdaf741eb2d1ecc4ddb4c33/,normative,METADATA_ONLY,Возможный правовой статус союзной калийной Инструкции по наблюдениям 1984 г. в 2002–2004 гг. (LEAD),PST rank 8 (предыдущая редакция); monitoring_campaigns_timeline (правила наблюдений до 2004 г.),LOW,other,Появился в выдаче по точному названию калийной инструкции; наличие её в перечне не проверено. Фраза о «рекомендательном характере» инструкции 1984 г. после ФЗ «О техническом регулировании» — только машинная сводка (LEAD).
EXTWEB-NORMATIVE-013,NORMATIVE,"Госгортехнадзор СССР / Минцветмет СССР; разработчики ВНИМИ, ВНИПИгорцветмет",1986,Инструкция по наблюдениям за сдвижением горных пород и земной поверхности при подземной разработке рудных месторождений (утв./введ. 03.07.1986),"М.: Недра, 1988 (изд.); СПС: docs.cntd.ru/document/1200029888; base.safework.ru nd=33308661",,http://docs.cntd.ru/document/1200029888 ; https://base.safework.ru/law?doc=&nd=33308661&nh=0&ssect=4 ; https://library-full.nadzor-info.ru/doc/33335,normative,METADATA_ONLY,"Первичный документ формулы кривизны MM-DEF-003 (цитируется в VKM-SRC-024 как «ВНИМИ, 1988»); требования к нивелированию реперов наблюдательных станций (LEAD)",PST rank 42 (CW-1610); MM-DEF-003; FC-017,MEDIUM,other,"Дата 03.07.1986 и «Инструкция Госгортехнадзора СССР» — из заголовка выдачи cntd; корпус цитирует утверждающий орган как Минцветмет СССР (вариант записи). Текст не прочитан: формула MM-DEF-003 по первоисточнику не сверена. Нормативный общий метод (рудные м-ния), не ВКМ."
EXTWEB-NORMATIVE-014,NORMATIVE,Минуглепром СССР; разработчик ВНИМИ,1987,"Инструкция по наблюдениям за сдвижением горных пород, земной поверхности и подрабатываемыми сооружениями на угольных и сланцевых месторождениях (Инструкция Минуглепрома СССР от 30.12.1987)","М.: Недра, 1989 (изд., по общему знанию; не проверено); СПС docs.cntd.ru/document/1200062974",,http://docs.cntd.ru/document/1200062974,normative,METADATA_ONLY,"Разведение двух разных инструкций ВНИМИ конца 1980-х (рудные 1986 vs угольные 1987), чтобы корпусные ссылки «ВНИМИ, 1988» не смешивались",MM-DEF-003 (атрибуция первоисточника); FC-017,LOW,other,Только заголовок выдачи. Год издания не проверен — в finding не используется.
EXTWEB-NORMATIVE-015,NORMATIVE,Ростехнадзор,2023,Приказ Ростехнадзора от 19.05.2023 № 186 «Об утверждении Правил осуществления маркшейдерской деятельности» (зарег. Минюстом России 31.05.2023 № 73638),Официальное опубликование: publication.pravo.gov.ru 0001202306010002; Российская газета 02.06.2023,,https://www.consultant.ru/document/cons_doc_LAW_448564/ ; http://publication.pravo.gov.ru/document/0001202306010002 ; https://rg.ru/documents/2023/06/02/rostehnadzor-prikaz186-site-dok.html,normative,METADATA_ONLY,"Реквизиты действующих федеральных правил маркшейдерской деятельности (правовая основа маркшейдерских наблюдений, в т.ч. за сдвижением — LEAD)",PST rank 202 (CW-1608),MEDIUM,other,Рег. номер и дата — из заголовков выдачи; срок действия 01.09.2023–01.09.2029 и охват наблюдений за сдвижением — машинная сводка (LEAD). Предшествующий федеральный акт по маркшейдерским работам между РД 07-603-03 и № 186 не проверялся.
EXTWEB-NORMATIVE-016,NORMATIVE,Госгортехнадзор России; разработчик ГУП «НТЦ «Промышленная безопасность»,2003,РД 07-603-03. Инструкция по производству маркшейдерских работ (утв. пост. Госгортехнадзора России от 06.06.2003 № 73),"М.: НТЦ «Промышленная безопасность», 2004 (изд., по сводке)",,http://docs.cntd.ru/document/1200032101 ; https://www.consultant.ru/document/cons_doc_LAW_86463/ ; https://meganorm.ru/Data2/1/4294813/4294813578.htm,normative,METADATA_ONLY,"Реквизиты федеральной инструкции по маркшейдерским работам, действовавшей в период нивелирных наблюдений СКРУ-1 2000-х–2010-х гг.",задача «Инструкция по производству маркшейдерских работ»; MONITORING_LIFECYCLE (правовая рамка),MEDIUM,other,Реквизиты — из заголовков выдачи. «Утратила силу» и охват наблюдений за сдвижением горных пород и земной поверхности — машинная сводка (LEAD); дата утраты силы не установлена.
EXTWEB-NORMATIVE-017,NORMATIVE,Роскартография,2003,"ГКИНП (ГНТА)-03-010-03 (в ряде каталогов — 03-010-02). Инструкция по нивелированию I, II, III и IV классов",Роскартография; СПС docs.cntd.ru/document/1200042425 (от 25.12.2003),,http://docs.cntd.ru/document/1200042425 ; https://files.stroyinf.ru/Data1/50/50347/index.htm ; https://meganorm.ru/Data2/1/4293855/4293855518.htm,normative,METADATA_ONLY,Государственные нормы точности нивелирования I–IV классов (для модели ошибок нивелирных наблюдений в WorldSpec),задача «levelling classes accuracy norms (ГКИНП)»; gap MONITORING_LIFECYCLE §7 п.1 (класс нивелирования на профильных линиях СКРУ-1),MEDIUM,other,"Два обозначения (03-010-02 и 03-010-03) в разных каталогах — вариант записи, не разрешён. Допуски (мм·√L) не прочитаны. Какой класс предписан для профильных линий ВКМ — UNKNOWN (калийные инструкции 2004/2017 не публичны)."
EXTWEB-NORMATIVE-018,NORMATIVE,не отображены в выдаче,n.d.,Научные основы методов прогноза напряженно-деформированного состояния горных пород при разработке месторождений нефти и газа (дисс.),dissercat.com (карточка диссертации),,https://www.dissercat.com/content/nauchnye-osnovy-metodov-prognoza-napryazhenno-deformirovannogo-sostoyaniya-gornykh-porod-pri,dissertation,METADATA_ONLY,LEAD: существование ВКМ-норматива «Инструкция по созданию наблюдательных станций и проведению инструментальных наблюдений за процессами сдвижения земной поверхности при разработке нефтяных месторождений в районе ВКМКС»,gap: иные (нефтяные) источники оседаний над ВКМКС и их наблюдательные сети,LOW,VKM_REGIONAL,"Только машинная сводка (LEAD, LOW). Автор, год и реквизиты инструкции не установлены."
EXTWEB-NORMATIVE-019,NORMATIVE,ПАО «Уралкалий»,2024,Годовой отчёт ПАО «Уралкалий» за 2023 г. «Развитие. Сотрудничество. Безопасность» (uralkali_ar2023_rus.pdf),ПАО «Уралкалий» (uralkali.com),,https://www.uralkali.com/upload/iblock/99f/n6ei7p78bh3xab0z6wuuc6p6dxfxep9a/uralkali_ar2023_rus.pdf,report,METADATA_ONLY,Кандидат для проверки года принятия/введения новой редакции «Указаний (мероприятий)» (CC-07) — не проверен,CC-07 (lead для Phase 2),LOW,VKM_REGIONAL,"Появился в выдаче по запросу о ред. 2022/2023; uralkali.com egress-blocked, содержание не проверено. Год выпуска отчёта (2024) — предположение по названию файла."
EXTWEB-SKRU1_SPECIFIC-001,SKRU1_SPECIFIC,Злобина Т.В.; Шулаков Д.Ю.,2023,Алгоритм прогноза плотности выделения сейсмической энергии для рудника СКРУ-1 Верхнекамского месторождения калийных солей,"Горная промышленность, 2023, № S1, с. 76–82",10.30686/1609-9192-2023-S1-76-82,https://mining-media.ru/ru/article/newtech/17987-algoritm-prognoza-plotnosti-vydeleniya-sejsmicheskoj-energii-dlya-rudnika-skru-1-verkhnekamskogo-mestorozhdeniya-kalijnykh-solej ; PDF (open access): https://mining-media.ru/images/2023/01S_2023/76-82.pdf,article,FULL_TEXT_READ,"SKRU-1 mine seismic network (7 underground + 9 surface pavilions), catalogue span (2000–11.2022, >3000 events, 4 MJ), seismicity–age–backfill relations, Es forecast formula",gap: SKRU-1 mine seismic network/catalogue (task target 'Злобина–Шулаков 2023'); chronology CC-13 (mining start),HIGH,SKRU1,"Primary for the seismic statements (authors run the network, ГИ УрО РАН). Mine-field size/seams/history statements cite Белкин 2006 and Соловьев–Секунцов 2013 (i.e. secondary for those). Domain mining-media.ru blocked for WebFetch; read via Firecrawl."
EXTWEB-SKRU1_SPECIFIC-002,SKRU1_SPECIFIC,Барях А.А.; Тенисон Л.О.,2021,Обоснование инженерных критериев безопасной подработки водозащитной толщи на Верхнекамском месторождении солей,"Горный журнал, 2021, № 4, с. 57–63",10.17580/gzh.2021.04.08,https://www.rudmet.com/journal/2008/article/33740/ ; PDF: https://rudmet.net/media/articles/Article_MJ_04_21_pp.57-63.pdf,article,FULL_TEXT_READ,engineering criteria for safe undermining of ВЗТ (max slope 10/15 mm/m; η/H criterion); reproduction of Указания 2008 typical-curve method (L=H(ctgψ+ctgδ)≈1.54H; η(z)=η0k S(z); i(z)=η0k S'(z) q_i/L; η0k=0.9 ω m0 p; p=1−A(1−B)); SKRU-1 statement on exceeded allowable sag,primary_source_targets rank 22 (CW-0079); FC-004; MM-SUBS-010/011; CC-07 (редакции Указаний),HIGH,VKM_REGIONAL,"Primary for the proposed criteria (i=10 mm/m allowable, 15 mm/m limit; η/H table 4). The typical-curve formulas are reproduced from «Указания…» (ВНИИГ, 2008, 95 с.) [13] — secondary for the normative itself. Contains one SKRU-1-specific statement (via [15] Барях и др. 2017 ФТПРПИ № 6). rudmet.net blocked for WebFetch; read via Firecrawl PDF parser."
EXTWEB-SKRU1_SPECIFIC-003,SKRU1_SPECIFIC,Барях А.А.; Тенисон Л.О.; Самоделкина Н.А.,2021,К определению горизонтальных деформаций подработанных территорий,"Горный информационно-аналитический бюллетень (ГИАБ), 2021, № 11, с. 5–18",10.25018/0236_1493_2021_11_0_5,https://giab-online.ru/catalog/k-opredeleniyu-gorizontalnyh-deformaciy-podrabotannyh-territoriy ; PDF: https://www.giab-online.ru/files/Data/2021/11/5-18.pdf,article,FULL_TEXT_READ,three methods for horizontal ground strains on VKM (curvature-based per Указания 2014; empirical ξmax = a·ηmax with a(C); 3D semi-analytical FEM + modified variable-moduli method); duration of movement process 150–200 years at C ≤ 0.45,primary_source_targets rank 34 (CW-0294); MM-SUBS-012 / FC-003; MM-GEOMECH-004; MM-OBS-002,HIGH,VKM_REGIONAL,Primary for method comparison and profile-line-27 (БКПРУ-1) data; formulas of Указания 2014 [19] reproduced (secondary for the normative). Not SKRU-1-specific. Read via Firecrawl (giab-online.ru blocked for WebFetch).
EXTWEB-SKRU1_SPECIFIC-004,SKRU1_SPECIFIC,Зайцева М.А.; Агапова Ж.А. (ПермГАСПИ),n.d. (≈2000-е; «спустя 70 лет» после 1934),Соликамский калийный комбинат — первенец калийной промышленности на Урале,"Пермский государственный архив социально-политической истории (ПермГАСПИ), сайт, раздел статей",,https://www.permgaspi.ru/index.php?page=solikamskij-kalijnyj-kombinat-pervenets-kalijnoj-promyshlennosti-na-urale,web,FULL_TEXT_READ,"SKRU-1 early chronology from archive staff (first stake 07.11.1927; first potash 18–19.04.1930; first shipment 01.05.1930; shaft into operation 1933; combine accepted 09.03.1934; shaft depths 260/300 m, Ø 5 m)",CC-13; MINING CHR-0023/0024/0025/0027/0032; task target 'commissioning 1930/1934',HIGH,SKRU1,Archival-institution popular article based on party-archive documents (fund references not given in the text). Secondary relative to archival primaries; archival documents themselves not accessed.
EXTWEB-SKRU1_SPECIFIC-005,SKRU1_SPECIFIC,MiningWiki (коллективная),n.d. (revision oldid=60599),Соликамское калийное рудоуправление № 1,MiningWiki — шахтёрская энциклопедия,,https://miningwiki.ru/wiki/Соликамское_калийное_рудоуправление_№_1,web,FULL_TEXT_READ,SKRU-1 chronology and renamings (shaft sinking methods; 19.04.1930 first potash; Feb 1934 State Commission; 1936 carnallite workshop; 1962 reconstruction at horizon −143 m; 1971 СКРУ; 1974 СКРУ-1; 1983 ПО «Сильвинит»; 1996 СКРУ № 1 ОАО «Сильвинит»; 2011 merger),CC-13; CHR-0025/0027/0032/0075; mining lifecycle,MEDIUM,SKRU1,Wiki compilation without cited primaries; used only to cross-check the archive article; lowest source priority (secondary web). Domain blocked for WebFetch; read via Firecrawl.
EXTWEB-SKRU1_SPECIFIC-006,SKRU1_SPECIFIC,Шулаков Д.Ю.; Бутырин П.Г.; Верхоланцев А.В.,2018,"Сейсмологический мониторинг Верхнекамского месторождения: задачи, проблемы, решения","Горный журнал, 2018, № 6, с. 25–29",10.17580/gzh.2018.06.05,https://rudmet.net/media/articles/Article_MJ_06_18_pp.25-29.pdf,article,ABSTRACT_ONLY,"structure of VKM mine seismic networks, analog telemetry since 1995, digital upgrades (ISSI, «Ермак-5», HS-1), location error 30–250 m, SKRU-2 precursor 2.5 months before sinkhole",primary_source_targets rank 170 (CW-1540); gap: SKRU-1 seismic network,HIGH,VKM_REGIONAL,"PDF parsed only through Firecrawl query-mode summary (small-model answer), not read line by line; exact quotes not verified (a directQuote pass hit the rate limit). Treat numbers as ABSTRACT_ONLY-level until re-read."
EXTWEB-SKRU1_SPECIFIC-007,SKRU1_SPECIFIC,ИА РБК-Пермь (со ссылкой на Интерфакс и документацию госзакупки ПФИЦ УрО РАН),2019,Учёных из Германии привлекли для анализа оседания поверхности СКРУ-2,"РБК Пермь (новость), 12.04.2019",,https://perm.rbc.ru/perm/freenews/5cb042879a794746562e3abe,web,FULL_TEXT_READ,"existence of InSAR project «Радармон Соликамск» (TerraSAR-X, 11-day repeat, 2016 and 2019, TU Clausthal subcontract; 2015 scenes shifted north to cover Solikamsk)",gap: InSAR studies over Solikamsk/SKRU-1,MEDIUM,"VKM_REGIONAL (Solikamsk, SKRU-2)",News item restating procurement documentation (primary = техзадание закупки на zakupki.gov.ru — NOT accessed). Results of Радармон Соликамск are not public in this item.
EXTWEB-SKRU1_SPECIFIC-008,SKRU1_SPECIFIC,Барях А.А.; Самоделкина Н.А.; Бабаянц И.П.; Михайлов В.О.; Тимошкина Е.П.,2025,"Rock Mass Condition Assessment Using InSAR and Numerical Modeling (рус. ориг.: ФТПРПИ, 2025, № 5, с. 3–14)","Journal of Mining Science, 2025, 61(5), 689–698",10.1134/S1062739125050011,https://link.springer.com/article/10.1134/S1062739125050011,article,ABSTRACT_ONLY,"InSAR (TerraSAR-X, 11 days) + profile-line levelling used as parametric content of 3D semi-analytical FEM with variable-moduli time model (Berezniki Mine-1)",MM-GEOMECH-004; InSAR→model assimilation method (analogue for SKRU-1),MEDIUM,VKM_REGIONAL (BKPRU-1),"Paywalled full text (Springer, access: No). Not SKRU-1."
EXTWEB-SKRU1_SPECIFIC-009,SKRU1_SPECIFIC,"ПАО «Уралкалий» (пресс-релиз); АО «ВНИИ Галургии» (участник); СМИ: permnews.ru, Коммерсантъ, Российская газета, РБК+",2020,«Уралкалий» завершил строительство перемычки между рудниками СКРУ-1 и СКРУ-2,permnews.ru (26.05.2020); kommersant.ru doc 4356843; rg.ru (03.06.2020); perm.plus.rbc.ru (пресс-релиз); gallurgy.ru,,https://permnews.ru/novosti/economy/2020/05/26/uralkaliy_postroil_peremychku_mezhdu_rudnikami_skru-1_i_skru-2_/ ; https://www.kommersant.ru/doc/4356843 ; https://rg.ru/2020/06/03/reg-pfo/uralkalij-zavershil-stroitelstvo-peremychki-mezhdu-dvumia-rudnikami.html ; https://perm.plus.rbc.ru/pressrelease/5ece103a7a8aa9874b8513f9 ; https://www.gallurgy.ru/pri-uchastii-ao-vnii-galurgii-zaversheno-stroitelstvo-unikalnogo-podzemnogo-sooruzheniya-mezhdu-rudnikami-skru-1-i-skru-2/,web,METADATA_ONLY,Событие 2019–2020: подземное гидроизоляционное сооружение (перемычка) между СКРУ-1 и затопляемым СКРУ-2; дата объявления о завершении (конец мая 2020 г.),gap MONITORING_LIFECYCLE P19–P20 (влияние аварии СКРУ-2 2014 г. на СКРУ-1); MINING chronology (инженерное событие 2019–2020); CC-05 (контекст м/ш целика),HIGH,SKRU1,"Видны только заголовки и даты в URL. Детали (перемычка № 3, 65 м, 7 сегментов, 2019–2020, тампонаж с обеих сторон, полимер со стороны СКРУ-1) — машинная сводка WebSearch (LEAD). Первичный пресс-релиз Уралкалия (uralkali.com) — egress blocked."
