finding_id,stream,ext_id,finding,locator,affects,status,scope,confidence,conflict_with_local
NORM-F-016,NORMATIVE,EXTWEB-NORMATIVE-005,"Во всех «Указаниях» и «Инструкциях» ВКМКС с 1960 г. угол полных сдвижений ψ = 55°, кроме «Указаний» 1976 г. (ψ = 50°); угол максимальных оседаний θ = 90° присутствовал в «Указаниях» 1976–1994 гг.; угол ψ0 для неполной подработки введён в «Указаниях» 2008 г.; действующие (2022) «Указания» используют фиксированный ψ = 55° и не используют θ.",Введение / постановка задачи (с. 62–63),MM-SUBS-010; MM-SUBS-013; CC-07 (выявлена редакция 1976 г.),FACT,VKM_REGIONAL,HIGH,"Y (частично) — локальная хронология нормативов не содержит редакций 1960, 1972, 1976"
NORM-F-017,NORMATIVE,EXTWEB-NORMATIVE-005,"В действующей практике ВКМКС условие подработки определяется параметром χ = D/H (D — размер выработанного пространства в главном сечении, H — глубина до почвы нижнего отрабатываемого пласта): χ < 2ctgψ = 1,4 — неполная подработка, χ ≥ 1,4 — полная.",Введение (с. 62),"MM-SUBS-019 (локально «L < 1,54H», VKM-SRC-039, аналог — иная формулировка); MM-SUBS-010",FACT,VKM_REGIONAL,HIGH,"Y — VKM-SRC-039 даёт условие неполной подработки в форме L < 1,54·H (иной параметр и порог); это разные формулировки, не усреднять"
NORM-F-018,NORMATIVE,EXTWEB-NORMATIVE-005,"Редакция 2022 г. «Указаний (мероприятий) по защите рудников ПАО «Уралкалий»…» состоит из двух частей: Ч. 1 «Основные положения» и Ч. 2 «Методические рекомендации» (ГИ УрО РАН, Пермь, 2022); в корпусе цитируется только Ч. 1 (117/118 с.).",Список литературы [8],"CC-07; PST rank 1 (CW-0024) — методика расчёта (типовые кривые, ηm) вероятно в Ч. 2",FACT,VKM_REGIONAL,HIGH,N (дополняет)
NORM-F-019,NORMATIVE,EXTWEB-NORMATIVE-005,"Встречается также библиографическая запись редакции 2014 г. с местом издания «Санкт-Петербург – Пермь, 2014» и заглавием «…охране объектов на Верхнекамском месторождении калийно-магниевых солей» (без «подрабатываемых»), что указывает на участие ВНИИГ (СПб) и ГИ УрО РАН (Пермь) в подготовке редакции 2014 г.",Список литературы [22],CC-07; PST rank 2 (CW-0007),DERIVATION,VKM_REGIONAL,MEDIUM,N — различие только в выходных данных
NORM-F-020,NORMATIVE,EXTWEB-NORMATIVE-006,"LEAD: внешняя библиографическая запись (карточка диссертации о ГДЯ в калийных рудниках) упоминает «Специальные мероприятия … на Верхнекамском месторождении калийных солей в условиях газового режима» с выходными данными «Пермь–Березники, 1993». Даты 1983 г. (29.04 vs 29.12) внешним поиском не подтверждены и не опровергнуты; CC-06 остаётся POSSIBLY_TWO_EDITIONS (ред. 1983, утв. Минудобрений; ред. 1993, утв. ГГТН 05.06.1993 по SRC-020).",выдача WebSearch (машинная сводка),CC-06; PST rank 47 (CW-0068); EV-VN-S028-0118; EV-VN-S028-0241; EV-VN-S020-0430,UNKNOWN (LEAD),VKM_REGIONAL,LOW,N (согласуется с SRC-028/SRC-020; конфликт 29.04 vs 29.12.1983 внутри SRC-037 не разрешён)
NORM-F-021,NORMATIVE,EXTWEB-NORMATIVE-007,"Угольные «Правила охраны сооружений и природных объектов…» ПБ 07-269-98 утверждены постановлением Госгортехнадзора России от 16.03.1998 № 13 (разработчик — ВНИМИ). Это та редакция, на которую ссылается Щегольков 2024 [18] (СПб., 1998, 291 с.) и VKM-SRC-038 (MM-OBS-002).",заголовок документа в выдаче (consultant.ru LAW_238226),PST rank 125 (CW-0086); MM-OBS-002; NORM-F-015,FACT,other (угольные месторождения РФ),HIGH,N
NORM-F-022,NORMATIVE,EXTWEB-NORMATIVE-007,"LEAD: по машинной сводке ПБ 07-269-98 введены 01.10.1998 и заменили Правила, утверждённые в 1979 г.; отсюда «издание 1981 г.» (Недра), упоминаемое в задаче, вероятно, является изданием Правил 1979 г., а не отдельной редакцией (DERIVATION, не проверено). Редакция 2008 г. угольных «Правил охраны» поиском не найдена. Текущий статус ПБ 07-269-98 («действует») — только сводка.",машинная сводка WebSearch по consultant/cntd/meganorm,задача «Правила охраны … 1981/1998/2008»; PST rank 125,UNKNOWN (LEAD),other,LOW,N
NORM-F-023,NORMATIVE,EXTWEB-NORMATIVE-008,"Действующие федеральные нормы по безопасности горных работ — ФНиП «Правила безопасности при ведении горных работ и переработке твердых полезных ископаемых», приказ Ростехнадзора от 08.12.2020 № 505, зарегистрирован Минюстом 21.12.2020 № 61651; в СПС есть редакция от 24.03.2026, т.е. документ изменялся после 2020 г. По сводке — в силе с 01.01.2021 (первоначальный срок до 01.01.2027; LEAD). Содержит специальные требования к разработке месторождений калийно-магниевой и каменной солей (текст раздела не прочитан).","заголовки выдачи (sudact.ru, normativ.kontur.ru); сводка",mining_chronology_catalog NORMATIVE_IN_FORCE 2020 (ФНиП № 505); WorldSpec: available_from правил безопасности,FACT,"other (РФ, все твёрдые ПИ)",MEDIUM,N (подтверждает корпусную дату 08.12.2020; добавляет факт последующих изменений до 2026 г.)
NORM-F-024,NORMATIVE,EXTWEB-NORMATIVE-009,"В предшествующих ФНиП (приказ Ростехнадзора № 599, 2013) имелся самостоятельный раздел «Требования безопасности к разработке месторождений калийно-магниевой и каменной солей»; следовательно, требования к соляным рудникам (в т.ч. СКРУ-1) на федеральном уровне с 2013 г. выделены в особый раздел ФНиП. Содержание пунктов (ВЗТ, рассолопроявления, наблюдения) не прочитано — UNKNOWN.",заголовок раздела (consultant.ru LAW_165992),MINING §2.3 (федеральный слой нормативов); PST rank 190 (ПБ 03-553-03 — предшественник),FACT,"other (РФ, соляные месторождения)",MEDIUM,N
NORM-F-025,NORMATIVE,EXTWEB-NORMATIVE-010,"Существование «Методического руководства по ведению горных работ на рудниках ОАО «Сильвинит»» подтверждено внешней карточкой: Новосибирск, Наука, 2011, 487 с. (ОАО «Галургия»). Совпадает с корпусной записью (событие NORMATIVE_IN_FORCE 2011). Разделы о ВЗТ, охране объектов и наблюдениях за сдвижением — не проверены (UNKNOWN).","Google Books, карточка id=LuqZkgEACAAJ",PST rank 23 (CW-0010); MINING §2.3 (2011),FACT,"VKM_REGIONAL (рудники ОАО «Сильвинит», включая СКРУ-1)",MEDIUM,N
NORM-F-026,NORMATIVE,EXTWEB-NORMATIVE-011,"Федеральный процедурный документ РД 07-113-96 (Госгортехнадзор России, 1996) о порядке утверждения мер охраны зданий, сооружений и природных объектов содержит Приложение 5 — перечень инструкций по наблюдениям за сдвижением земной поверхности и подрабатываемыми объектами. Это официальный реестр применимых инструкций 1996–2004 гг.; входит ли в него калийная Инструкция 1984 г. — не проверено.",заголовок приложения (base.garant.ru/12138830),MONITORING_LIFECYCLE (правовая рамка наблюдений до 2004 г.); NORM-F-002,FACT,other (РФ),MEDIUM,N (в корпусе отсутствует)
NORM-F-027,NORMATIVE,EXTWEB-NORMATIVE-012,"LEAD: по машинной сводке, союзная «Инструкция по наблюдениям за сдвижением … на калийных месторождениях» (пост. ГГТН СССР 27.03.1984 № 14) после вступления в силу ФЗ «О техническом регулировании» приобрела рекомендательный характер; формальная отмена в РФ — с 15.05.2004 (NORM-F-002, первичный приказ № 59). Для наблюдений СКРУ-1 2003–2004 гг. правовой статус правил наблюдений, таким образом, переходный.","машинная сводка WebSearch (результаты garant 12138830, garant 1589139, cntd 901899805)",monitoring_campaigns_timeline; NORM-F-002; PST rank 8 (CW-1846),UNKNOWN (LEAD),VKM_REGIONAL,LOW,N
NORM-F-028,NORMATIVE,EXTWEB-NORMATIVE-013,"Первоисточник формулы кривизны MM-DEF-003 («ВНИМИ, 1988» в VKM-SRC-024) — «Инструкция по наблюдениям за сдвижением горных пород и земной поверхности при подземной разработке рудных месторождений», в СПС значится как инструкция Госгортехнадзора СССР от 03.07.1986 (изд. Недра, 1988). Корпус указывает утверждающим органом Минцветмет СССР — вариант записи, дата совпадает. Текст не прочитан, поэтому формула по первоисточнику не сверена. LEAD (сводка): реперы наблюдательных станций нивелируют приборами класса нивелирования IV (увеличение трубы не менее 25×).",заголовок выдачи (docs.cntd.ru/document/1200029888); сводка по base.safework.ru,MM-DEF-003; FC-017; PST rank 42 (CW-1610); observation error model (нивелирование реперов),FACT,other (рудные месторождения СССР; общий метод),MEDIUM,Y (минорно): утверждающий орган — Госгортехнадзор СССР (СПС) vs Минцветмет СССР (корпус); дата 03.07.1986 совпадает
NORM-F-029,NORMATIVE,EXTWEB-NORMATIVE-014,"Параллельно существует отдельная угольная инструкция ВНИМИ по наблюдениям (Минуглепром СССР, 30.12.1987). Корпусные ссылки вида «ВНИМИ, 1988» нужно атрибутировать к конкретному документу (рудная 1986 или угольная 1987), не смешивая их.",заголовок выдачи (docs.cntd.ru/document/1200062974),MM-DEF-003 (атрибуция первоисточника); FC-017,FACT,other (угольные и сланцевые м-ния СССР),MEDIUM,N
NORM-F-030,NORMATIVE,EXTWEB-NORMATIVE-015,Действующие федеральные «Правила осуществления маркшейдерской деятельности» утверждены приказом Ростехнадзора от 19.05.2023 № 186 (зарег. Минюстом 31.05.2023 № 73638). По сводке — в силе с 01.09.2023 до 01.09.2029 и регулируют в т.ч. наблюдения за сдвижением горных пород и земной поверхности (LEAD). Это правовая основа маркшейдерских наблюдений на СКРУ-1 с сентября 2023 г.,заголовок выдачи (consultant.ru LAW_448564),PST rank 202 (CW-1608); MONITORING_LIFECYCLE (правовая рамка наблюдений после 2023 г.),FACT,other (РФ),MEDIUM,N
NORM-F-031,NORMATIVE,EXTWEB-NORMATIVE-016,"«Инструкция по производству маркшейдерских работ» РД 07-603-03 утверждена постановлением Госгортехнадзора России от 06.06.2003 № 73. По сводке она охватывала и наблюдения за сдвижением горных пород и земной поверхности, но позднее утратила силу; дата утраты силы не установлена (LEAD).",заголовок выдачи (docs.cntd.ru/document/1200032101); сводка,MONITORING_LIFECYCLE (правовая рамка маркшейдерских наблюдений 2003–2020-х гг.),FACT,other (РФ),MEDIUM,N
NORM-F-032,NORMATIVE,EXTWEB-NORMATIVE-017,"Государственная инструкция по нивелированию I–IV классов значится в каталогах под двумя обозначениями: ГКИНП (ГНТА)-03-010-03 от 25.12.2003 (cntd) и ГКИНП-03-010-02 (stroyinf, ohranatruda). Численные допуски в этой работе не прочитаны. Класс нивелирования, предписанный для профильных линий ВКМ/СКРУ-1, внешним поиском не установлен и остаётся UNKNOWN.",заголовок выдачи (docs.cntd.ru/document/1200042425),MONITORING_LIFECYCLE §7 п.1 (класс нивелирования); WorldSpec observation error model (нивелирование),FACT,other (РФ),MEDIUM,N
NORM-F-033,NORMATIVE,EXTWEB-NORMATIVE-018,LEAD: для района ВКМКС существует отдельный нормативный документ о наблюдательных станциях и инструментальных наблюдениях за сдвижением земной поверхности при разработке нефтяных месторождений. Для WorldSpec это возможный дополнительный (нефтяной) источник деформаций и отдельная наблюдательная сеть над месторождением. Реквизиты не установлены.,машинная сводка WebSearch по карточке dissercat,PHYSICS_CAUSAL (альтернативные источники оседаний); MONITORING_LIFECYCLE (иные сети наблюдений),UNKNOWN (LEAD),VKM_REGIONAL,LOW,N
NORM-F-034,NORMATIVE,EXTWEB-NORMATIVE-005,"CC-07 (2022 vs 2023) внешним поиском не разрешён. Все найденные внешние библиографические записи (Щегольков 2024, 2025) дают для последней редакции 2022 г. (ГИ УрО РАН; Ч. 1 и Ч. 2). «2023» встречается только в тексте VKM-SRC-021. Гипотеза, не факт: 2022 — год утверждения или издания, 2023 — год введения в действие, по аналогии с ред. 2014, введённой 30.03.2017. Первичный документ не публичен.","синтез NORM-F-013, NORM-F-018 и CC-07",CC-07; EV-VN-S021-0017; EV-VN-S034-0054; PST rank 1 (CW-0024),UNKNOWN,VKM_REGIONAL,LOW,Y — CC-07 остаётся UNRESOLVED; значения 2022 и 2023 хранить раздельно как разные типы события (утверждение vs введение — гипотеза)
NORM-F-035,NORMATIVE,EXTWEB-NORMATIVE-004,"Внешние источники по-разному называют углы 50° и 55° редакции «Указаний» 2008 г. Щегольков 2024 (и VKM-SRC-037 для 1990/92): 50° — граничный угол δ0 (при C ≤ 0,55), 55° — угол полных сдвижений ψ. Барях–Тенисон 2021 (EXTWEB-SKRU1_SPECIFIC-002, со ссылкой на Указания 2008): ψ = 55° — граничный угол, δ = 50° — угол полных сдвижений. Длина полумульды L = H(ctg 50° + ctg 55°) от выбора названий не зависит (сумма симметрична). От него зависит положение внешней границы мульды относительно контура выработки: H·ctg(граничного угла) снаружи, H·ctg(угла полных сдвижений) внутри.","Щегольков 2024, с. 26–27; Барях–Тенисон 2021, с. 58 (по F-SKRU1-010)",MM-SUBS-010; MM-SUBS-013; FC-004; F-SKRU1-010; FV-SKRU1-002; observation operator (граница мульды),UNKNOWN,VKM_REGIONAL,MEDIUM,"Y — интерпретация F-SKRU1-010 (55° граничный) противоречит SRC-037 и Щеголькову 2024/2025; два независимых источника за δ0 = 50° граничный (1985–2008), первичный текст 2008 не прочитан — не усреднять, хранить обе интерпретации с атрибуцией"
F-SKRU1-001,SKRU1_SPECIFIC,EXTWEB-SKRU1_SPECIFIC-001,"Первые сейсмологические наблюдения на шахтном поле СКРУ-1 получены в 1995 г.; в руднике 7 подземных сейсмопавильонов с вертикальными сейсмоприёмниками СМ3-КВ (0,5–100 Гц), кабельная телеметрия к наземным регистраторам.","PDF p.77, раздел «Особенности микросейсмической активности на руднике СКРУ-1»",gap: SKRU-1 seismic network; MONITORING_LIFECYCLE monitoring_systems_by_site (SKRU-1 seismic),FACT,SKRU1,HIGH,N (в корпусе сведения о сети СКРУ-1 отсутствуют/неполны)
F-SKRU1-002,SKRU1_SPECIFIC,EXTWEB-SKRU1_SPECIFIC-001,"Летом 2022 г. над горными выработками СКРУ-1 дополнительно установлены 9 поверхностных сейсмопавильонов: 3-компонентные сейсмометры 2 Гц в 10-метровых скважинах, автономные регистраторы.",PDF p.77,gap: SKRU-1 seismic network,FACT,SKRU1,HIGH,N
F-SKRU1-003,SKRU1_SPECIFIC,EXTWEB-SKRU1_SPECIFIC-001,"С 2000 г. по ноябрь 2022 г. на СКРУ-1 зарегистрировано более 3000 сейсмических событий, связанных с деформированием подработанного массива; суммарная энергия ~4 МДж. События не связаны с текущими горными работами и реализуются спустя время после отработки (реология сильвинита; ВКМ не удароопасно).",PDF p.77,"gap: SKRU-1 seismic catalogue; PHYSICS_CAUSAL (delayed post-mining deformation, rheology)",FACT,SKRU1,HIGH,N
F-SKRU1-004,SKRU1_SPECIFIC,EXTWEB-SKRU1_SPECIFIC-001,"Максимум сейсмического энерговыделения приходится на выработки возрастом 20–25 лет (сильвинитовые пласты) и ~60 лет (карналлит); средняя плотность энерговыделения на сильвинитовых пластах примерно вдвое выше, чем на карналлитовых; гидравлическая закладка даёт более быстрое затухание сейсмичности, чем сухая (со ссылкой на Злобина 2022, Горное эхо).","PDF p.78, «Третий этап»",PHYSICS_CAUSAL time-dependence of post-mining deformation; backfill effect; MECH_RHEO,FACT,SKRU1,MEDIUM,N (новое для корпуса; не противоречит)
F-SKRU1-005,SKRU1_SPECIFIC,EXTWEB-SKRU1_SPECIFIC-001,"Шахтное поле СКРУ-1: северное крыло Соликамского участка, ~6,5 км по меридиану × 6,2 км по широте; промышленные пласты АБ, Вк, Вс, КрII; сводовая часть Соликамской брахиантиклинали. СКРУ-1 — единственный рудник ВКМ, добывающий карналлит (пласт Вк). Утверждения о строении — со ссылкой на Белкин 2006 [9].",PDF p.77,MINING spatial_hierarchy MF:SKRU1; CC-12 (карналлит на СКРУ-1),FACT,SKRU1,MEDIUM,N (согласуется с SRC-026: карналлит механизированно добывается только на СКРУ-1)
F-SKRU1-006,SKRU1_SPECIFIC,EXTWEB-SKRU1_SPECIFIC-001,"Статья указывает, что промышленная отработка участка началась в 1936 г. и продолжается по настоящее время (на 2022–2023 гг. рудник действующий).",PDF p.77,"MINING CHR-0025/CHR-0027 (ввод 1930), CHR-0032 (карналлит 1936), CC-13; gap: current status of SKRU-1",FACT (как напечатано; вторичное для даты),SKRU1,MEDIUM,"Y: корпус (SRC-011) — ввод рудника в мае 1930 г., карналлит с 1936 г.; здесь «1936» как начало промышленной отработки. Вероятно смешение с началом добычи карналлита или с «промышленной» стадией; первичный источник даты в статье не указан."
F-SKRU1-007,SKRU1_SPECIFIC,EXTWEB-SKRU1_SPECIFIC-001,"Для 2023 г. построена прогнозная карта Es_max; зоны Es_max > 20 Дж/100 м² — северо-восточная, юго-западная и юго-восточная части шахтного поля (≈ треть площади), камеры возрастом 10–40 лет, 17 % из них не заложены; наименьшие значения — центральная часть с выработками возрастом ≥60 лет (≈2 % камер).","PDF p.80–81, «седьмой этап», рис. 5",SKRU-1 spatial hazard zoning; block 115 SE-field context (GEO-0290/0292),FACT,SKRU1,MEDIUM,N
F-SKRU1-008,SKRU1_SPECIFIC,EXTWEB-SKRU1_SPECIFIC-001,"Ретроспективная проверка модели 2017–2021: коэффициенты корреляции Пирсона 0,16–0,33 (после сглаживания радиусом 375 м 0,20–0,40), R² 0,01–0,13 (для логарифмов 0,02–0,18); авторы считают надёжным прогноз только максимального уровня сейсмичности.","PDF p.79, табл. 1",MONITORING; forecasting benchmark context (weak predictive skill),FACT,SKRU1,HIGH,N
F-SKRU1-009,SKRU1_SPECIFIC,EXTWEB-SKRU1_SPECIFIC-002,"На действующем (на 2021 г.) Первом Соликамском руднике на отдельных участках отработки 1950–1970-х гг. допустимое по «Указаниям» значение прогиба ВЗТ было превышено ещё до 2000 г., при этом ВЗТ сохраняет устойчивость — авторы используют это как довод недостаточности критерия допустимого прогиба (со ссылкой на Барях и др. 2017, ФТПРПИ № 6).","с. 58–59, раздел «Анализ действующих нормативных документов»",gap: current status of SKRU-1 (operating in 2021); PHYSICS_CAUSAL ВЗТ integrity; primary target Барях и др. 2017 ФТПРПИ №6 (Seismic–geomechanical control),FACT,SKRU1,HIGH,"N (новое; уточняет, что превышение [Vm] на СКРУ-1 не привело к нарушению ВЗТ)"
F-SKRU1-010,SKRU1_SPECIFIC,EXTWEB-SKRU1_SPECIFIC-002,"По «Указаниям…» (ВНИИГ 2008): длина полумульды L = H(ctgψ + ctgδ) ≈ 1,54H при граничном угле ψ = 55° и угле полных сдвижений δ = 50°; это достигается при равномерной отработке с C ≤ [C] = 0,4.",с. 58,MM-SUBS-010; MM-SUBS-013; FC-004 (граничный угол 50° vs 55°),FACT,VKM_REGIONAL,HIGH,"Y: FC-004 трактует 50° (SRC-037) как граничный угол δ₀. По Барях–Тенисон (со ссылкой на Указания 2008) 55° — граничный угол, 50° — угол полных сдвижений. Значит, в FC-004 расхождение касается угла полных сдвижений (50° по Указаниям 2008 против 55° у междушахтных целиков по Указаниям 2022 в SRC-012), а не граничного угла. Обозначения δ₀/ψ в SRC-037 нужно перепроверить."
