fv_id,stream,formula,local_forms_and_locators,original_primary_form_found,variable_definitions,sign_convention,units,differences,verdict,url
FV-SKRU1-006,SKRU1_SPECIFIC,"Главные деформации поверхности по сеточной модели: ε1,2 = (εxx+εzz)/2 ± √((εxx−εzz)² + γxz²)",нет в корпусе как отдельной записи (ср. MM-GEOMECH-004),"ГИАБ 2021 №11, ф. (4)–(6) как напечатано: ε1,2 = (εxx+εzz)/2 ± √((εxx−εzz)² + γxz²); ρ = arg γxz/(2(ε1−ε2))","εxx, εzz — нормальные деформации по осям x, z поверхности (плановые); γxz — сдвиг; ρ — угол главных направлений",растяжение положительно,безразмерные (мм/м),Стандартная формула тензорного анализа содержит множитель 1/2 перед корнем (±½√(...)) и tg2ρ = γxz/(εxx−εzz); напечатанная форма (или её распознавание) без 1/2 — вероятная опечатка оригинала; при использовании брать стандартную форму,NOT_VERIFIABLE,https://www.giab-online.ru/files/Data/2021/11/5-18.pdf
FV-SKRU1-007,SKRU1_SPECIFIC,Кривизна и наклон по Указаниям 2014: K_{j+1} = (i_j − i_{j+2})/l0·q_k; i_{j+1} = (S_j − S_{j+2})/l0·q_i; ε = m·K·L,MM-DEF-003 (ВНИМИ 1988: K = (i_m − i_{m−1})/l_ср; FC-017 опечатка «/2»); MM-SUBS-010 (SRC-037 (8.139)–(8.140) с L²),"ГИАБ 2021 №11, с. 6–7 (по Указаниям 2014): центральные разности через точку, q_k = 1,5, q_i = 1,2 (приведение к 15 м); ε(z) = m·K(z)·L","l0 — расстояние между соседними точками; q_k, q_i — коэффициенты приведения к 15 м; m — коэффициент перехода от кривизны к горизонтальной деформации; S(z) — безразмерная функция оседаний (в формуле наклона напечатано S, по смыслу η = η0·S)","растяжение +, сжатие − (рис. 3)",i — мм/м; K — 1/м; ε — мм/м,"В напечатанной формуле наклона стоит S(z) без η0 — размерно не наклон, вероятно пропуск множителя η0; в ВНИМИ 1988 (MM-DEF-003) используется разность соседних интервалов, здесь — центральная разность через шаг",VARIANT,https://www.giab-online.ru/files/Data/2021/11/5-18.pdf
XFV-SF-001,SUBSIDENCE_FORMULAS,"Параметры модели ползучести/прочности табл.1 VKM-SRC-016 (Друкер–Прагер + ε̇cr = (A σ^n [(m+1)ε]^m)^(1/(m+1)); A = 3·10⁻¹⁰, n = 1, m = −0,3; E_сильв = 400 МПа), атрибутированные [29] = Ермашов 2015","VKM-SRC-016 p.5–6 табл.1 (EV-VN-S016-0032, -0035..-0052, -0054); ссылка [29] = EV-VN-S016-0110; conflict_note EV-VN-S016-0114","В автореферате Ермашова 2015: модель Wittke–Döring–Erichsen (Perzyna), 3 стадии ползучести; E = 7 ГПа, ν = 0,35 (единые для разреза); сильвинит: E_p = 176 МПа, η_p = 77 МПа·год, m = 2,1, η_s = 5,49·10^7 МПа·год, n = 5","у Ермашова m, n — степенные показатели неустановившейся и установившейся ползучести по напряжениям; у VKM-SRC-016 m — показатель времени/деформационного упрочнения Abaqus (m = −0,3), n — показатель напряжения (n = 1)",—,"Ермашов: вязкости МПа·год, модули МПа; VKM-SRC-016: единицы A не напечатаны",Разные семейства законов и несовпадающие значения; ни одно значение табл.1 VKM-SRC-016 не найдено в автореферате. CITATION_MISMATCH.,NOT_VERIFIABLE,https://earthpapers.net/geomehanicheskoe-obosnovanie-raschetov-osedaniy-zemnoy-poverhnosti-pri-dobyche-kaliyno-magnievyh-rud
XFV-SF-002,SUBSIDENCE_FORMULAS,Пересчёт LOS→вертикаль при допущении чисто вертикального движения,"(a) U_Z = U_LOS/cosθ — VKM-SRC-003 p.21 ф.(1.7), VKM-SRC-004 p.7 (словесно); (b) d_v = d_LOS·cosθ — VKM-SRC-009 p.4 (печ.68) §8 «умножаются на косинус угла съемки» (MM-INSAR-026)","d_LoS = [sinθ sinα_d, sinθ cosα_d, cosθ]·d_ENU (Brouwer & Hanssen 2024, Eq.1) ⇒ при d_e = d_n = 0: d_LoS = cosθ·d_u ⇒ d_u = d_LoS/cosθ; та же операция (деление) применена Самсоновым–Барях 2020 к Sentinel-1 над Березниками","θ — угол падения (incidence) в точке цели, отсчитанный от вертикали к направлению на радар; α_d — азимут ZDP к спутнику; d_ENU — восток, север, вверх",LOS положителен к спутнику (сближение); вертикаль положительна вверх ⇒ оседание даёт отрицательный LOS; при делении на cosθ (<1) модуль вертикального смещения больше модуля LOS,длина (м/мм); θ в градусах,"Форма (b) — обратная операция; если применена фактически, вертикальные смещения VKM-SRC-009 занижены по модулю в 1/cos²θ раз относительно (a) (оценка не вычислялась). Что реально сделано в SARscape у Горского–Хоменкова по тексту установить нельзя: текст говорит «умножаются», программный продукт (SARscape vertical displacement) по технической документации проецирует LOS на вертикаль в предположении только вертикального движения. Намерение авторов — UNKNOWN; геометрически корректно деление.",LOCAL_DISTORTED,https://link.springer.com/article/10.1007/s00190-024-01918-2 ; https://www.mdpi.com/2072-4292/12/19/3215/htm
XFV-SF-003,SUBSIDENCE_FORMULAS,Проекция 3D-вектора на LOS: U_LOS = U_Z cosθ + sinθ(U_N sinβ − U_E cosβ),VKM-SRC-003 p.21 ф.(1.4) = p.77 ф.(4.1) (MM-INSAR-012),d_LoS = sinθ sinα_d d_e + sinθ cosα_d d_n + cosθ d_u (Brouwer & Hanssen 2024 Eq.1); с α_d = β − 90° для правосторонней съёмки получается форма (1.4),β — азимут орбиты (heading) по часовой от севера; θ — угол падения/визирования от вертикали,LOS + к спутнику; Z вверх; правосторонняя съёмка,длина,"Нет (эквивалентная параметризация азимута); оговорка: β у Бабаянц — heading, у Brouwer–Hanssen — азимут ZDP к спутнику",CONFIRMED,https://link.springer.com/article/10.1007/s00190-024-01918-2
XFV-SF-004,SUBSIDENCE_FORMULAS,Нагрузка на ленточный МКЦ по присоединённой площади (Турнер–Шевяков): P = γH(a+b)/b; степень нагружения C = γH(a+b)/(b·k_f·σ_m),VKM-SRC-031 p.1 (печ.35) EV-VN-S031-0005 («методика Турнера–Шевякова [6-7]»); VKM-SRC-031 p.3 EV-VN-S031-0019 (P = γ·H·(a+b)/b); VKM-SRC-032 ф.(1) EV-VN-S032-0003 (с ξ и H0); VKM-SRC-037 (8.123)–(8.124) EV-VN-S037-0881 (MM-PILLAR-001),Первоисточники Tournaire 1884 (Annales des Mines) и Шевяков 1941 (Изв. АН СССР ОТН №7–9) подтверждены только библиографически; текст с формулой не получен,γ — объёмный (удельный) вес покрывающих пород; H — глубина до кровли целика; a — ширина камеры; b — ширина целика; k_f — коэффициент формы; σ_m — прочность пород в массиве,сжатие положительно (нагрузка),"P — в единицах γH (МПа при γ в МН/м³, H в м); C безразмерно","Гипотеза присоединённой площади — верхняя оценка средней нагрузки при полной подработке (вес всего столба над камерой и целиком). Поправки ξ, H0, k_f и σ_m — нормативные надстройки ВКМ, их нет в классической форме.",NOT_VERIFIABLE,"https://www.annales.org/archives/x/tournaire.html ; https://ru.m.wikipedia.org/wiki/Шевяков,_Лев_Дмитриевич"
XFV-SF-005,SUBSIDENCE_FORMULAS,Функция времени Кноте: dw/dt = c·(w_max − w(t)); при мгновенной выемке w(t) = w_max(1 − e^(−ct)),"в корпусе отсутствует (ни Кноте, ни Авершина, ни Будрыка–Кноте в записях merged нет); временная зависимость ВКМ — нормативные графики нарастания оседаний (MM-SUBS-010, F(t) = UNKNOWN) и критерии MM-SUBS-014",Оригинал Knothe 1952 (Archiwum Górnictwa i Hutnictwa) не достигнут; форма — по вторичным рецензируемым статьям (машинное резюме поиска),"w(t) — оседание точки в момент t; w_max — конечное оседание; c — коэффициент времени (1/время), зависит от свойств покрывающей толщи",оседание положительно вниз,w — м/мм; c — 1/год (или 1/сут),"Нет локальной формы для сравнения. Символьно: одноэкспоненциальная форма не даёт S-образного нарастания с начальной медленной стадией, описанного для ВКМ (XF-SF-021).",NOT_VERIFIABLE,https://www.mdpi.com/2076-3417/10/9/3147 ; https://pmc.ncbi.nlm.nih.gov/articles/PMC9626622/
XFV-SF-006,SUBSIDENCE_FORMULAS,"Функция влияния Будрыка–Кноте: φ(x,y) ∝ exp(−π(x²+y²)/r²), r = H/tgβ","в корпусе отсутствует (форма мульды ВКМ — табличные типовые кривые S(z), MM-SUBS-010/017; граница — угловое построение δ0/ψ, MM-SUBS-013)","Первичные Budryk 1953, Knothe 1953/1957 не достигнуты; форма — по вторичным статьям (IJCST 2015; RMRE 2024), машинное резюме","r — радиус главного влияния на уровне поверхности; H — глубина выемки; β — угол главного влияния; нормировка (1/r² для 2D, 1/r для 1D) по резюме не подтверждена",оседание положительно вниз,"r, H — м; β — градусы",Нет локальной формы; неограниченный носитель гауссианы против конечной угловой границы ВКМ (FC-037) — при суррогате нужен порог,NOT_VERIFIABLE,https://link.springer.com/article/10.1007/s40789-015-0086-x
XFV-SF-007,SUBSIDENCE_FORMULAS,"Модифицированный метод переменных модулей: E^p = E^0/[1 + Ψ(t)], Ψ(t) = η(t)/(m·ε⁰_yy)","VKM-SRC-038 p.3 (EV-VN-S038-0017, EV-VN-S038-0018); VKM-SRC-035 p.1–2 (EV-VN-S035-0006); VKM-SRC-005 (EV-VN-S005-0008); VKM-SRC-039 (EV-VN-S039-0007); MM-CREEP-012, MM-GEOMECH-004, MR-RHEO-CL-12","Барях–Самоделкина 2005 (JMS 41(6):522–530): доступны только аннотация и список литературы — метод опирается на априорную информацию о нарастании оседаний, на Амусина–Линькова 1974 и Ильюшина 1968; формула в аннотации не приведена; русский оригинал (ФТПРПИ 2005 №6) и открытые зеркала ГИ УрО РАН (mi-perm.ru) недоступны (egress)",E^0 — исходный модуль (слоя/породы); E^p — приведённый модуль в момент t; Ψ(t) — функция ползучести; η(t) — нарастание оседаний (нормативная или наблюдённая кривая); m — вынимаемая мощность; ε⁰_yy — начальная (упругая) вертикальная деформация выработанного слоя,оседание и сжатие положительны (как в VKM-SRC-038),E — МПа; Ψ безразмерна (η[м]/(m[м]·ε[−])) — размерность согласована (DERIVATION этого проекта),Сверка с оригиналом невозможна; вторичные формы корпуса согласованы между собой. По построению время берётся из кривой оседаний (FC-038: риск утечки при валидации),NOT_VERIFIABLE,https://link.springer.com/article/10.1007/s10913-006-0015-x
XFV-SF-008,SUBSIDENCE_FORMULAS,Максимальное горизонтальное сдвижение через максимальное оседание: ξ0 = a·η0 (ξ_m(t) = m_ξ·η_m(t)),"VKM-SRC-037 p.170 (печ.338) ф.(8.137): a = 0,2–0,26 (1990/92) — EV-VN-S037-0930; VKM-SRC-012 p.55 ф.(2.3): m_ξ = 0,4 при C ≤ 0,45 (Указания 2022) — EV-VN-S012-0262; FC-003; MM-SUBS-012","Сверено потоком SKRU1_SPECIFIC (FV-SKRU1-005, EXTWEB-SKRU1_SPECIFIC-003): Барях–Тенисон–Самоделкина, ГИАБ 2021 №11, ф.(2)–(3) (по Указаниям 2014 и наблюдениям): a = 0,4 при C ≤ 0,45; a = 0,3 при C > 0,45",ξ0 (ξ_m) — максимальное горизонтальное сдвижение; η0 (η_m) — максимальное оседание (конечное или на момент t); a (m_ξ) — переходной коэффициент; C — степень нагружения МКЦ,модули величин (знак не оговорён),одинаковые (мм или м),"Не ошибка, а смена редакции: 0,2–0,26 (1990/92) → 0,4/0,3 по C (2014/2022). VKM-SRC-012 не приводит ветвь C > 0,45 (a = 0,3). Хранить как DISCRETE_SET по редакциям, привязывая к периоду отработки",VARIANT,https://www.giab-online.ru/files/Data/2021/11/5-18.pdf
XFV-SF-009,SUBSIDENCE_FORMULAS,"Конечное оседание с закладкой: η0* = 0,9·S/(a+b)·[1 − A(1 − B)] (1990/92) ↔ η0k = 0,9·ω·m0·p, p = 1 − A(1 − B) (2008) ↔ η_ok = 0,9·m_o·ω·p·(C/0,32)² при C < 0,32 (2022)","VKM-SRC-037 p.169–170 ф.(8.135)–(8.136) (EV-VN-S037-0925/-0926; числитель напечатан «5» = S); VKM-SRC-012 p.54 ф.(2.1)–(2.2) (EV-VN-S012-0259/-0260); MM-SUBS-011/015; FC-005, FC-016","Сверено потоком SKRU1_SPECIFIC (FV-SKRU1-004): Барях–Тенисон 2021 (ГЖ №4, с.60, по Указаниям 2008): η0k = 0,9·ω·m0·p; p = 1 − A(1 − B) — форма множителя закладки подтверждена; ветви (C/0,32)² в редакции 2008 нет","S — площадь сечения очистной камеры; a, b — ширины камеры и МКЦ; m0 — вынимаемая мощность; ω — «расчётный коэффициент извлечения» (определение в Указаниях не опубликовано, FC-016); A — коэффициент заполнения камер закладкой; B — коэффициент усадки закладки; C — степень нагружения МКЦ",оседание положительно вниз,"η — м; S — м²; a, b, m0 — м; A, B, ω, p, C безразмерны","DERIVATION (символьно, без чисел): 0,9·S/(a+b) ≡ 0,9·ω·m0 тогда и только тогда, когда ω·m0 = S/(a+b), т.е. ω = S/((a+b)·m0) — «сечённый» коэффициент извлечения; для прямоугольной камеры (S = a·m0) это ω = a/(a+b). Определяют ли Указания ω именно так — UNKNOWN. Редакция 2022 добавляет понижающий множитель (C/0,32)² при C < 0,32 (жёсткие целики)",VARIANT,https://rudmet.net/media/articles/Article_MJ_04_21_pp.57-63.pdf
XFV-SF-010,SUBSIDENCE_FORMULAS,"Время устойчивого состояния выработок: Tр = A·exp(−13,5·γH/Rc)·√(S/Sр)·K","VKM-SRC-037 §6.2 ф.(6.5)–(6.7), A = 1606 год (EV-VN-S037-0560..0565); VKM-SRC-014 §7.1 ф.(7.1)–(7.2), 2020·K·√(12/Sр) (EV-VN-S014-1002); MM-ROOF-002; MR-RHEO-N15; FC-006; MR-CONF-003","не найдено (первоисточник ВНИИГ и калибровочные расчёты за коэффициентом 13,5 онлайн отсутствуют; см. EXTWEB-SUBSIDENCE_FORMULAS-017)","Tр — время устойчивого состояния [год]; A — коэффициент долговечности [год]; γ — удельный вес [МН/м³]; H — (приведённая) глубина [м]; Rc — расчётная прочность на сжатие [МПа]; S, Sр — площадь сечения фактическая и расчётная [м²]; K — поправка на форму (h/L)",—,"γH/Rc безразмерно при γ в МН/м³, H в м, Rc в МПа",Первоисточник не найден; 1606 (для S = 12 м²) против 2020·K — разные нормировки одного закона (FC-006 / MR-CONF-003 остаются OPEN),NOT_VERIFIABLE,
XFV-SF-011,SUBSIDENCE_FORMULAS,Наклон и кривизна из типовой кривой: i(z) = η0·S′(z)/L; K(z) = η0·S″(z)/L²; z = x/L,"VKM-SRC-037 p.170 ф.(8.138): i_x = η0/L²·S′(Z) (как напечатано; размерно не наклон), (8.139)–(8.140); MM-SUBS-010; MM-DEF-003 (ВНИМИ 1988, FC-017)","Сверено потоком SKRU1_SPECIFIC (FV-SKRU1-003, FV-SKRU1-007): Барях–Тенисон 2021 (ГЖ №4), ф.(1): i(z) = η0k·S′(z)·q_i/L (по Указаниям 2008); ГИАБ 2021 №11: центральные разности с q_i = 1,2, q_k = 1,5 (приведение к 15 м)","S(z), S′(z), S″(z) — безразмерная типовая функция оседаний и её производные по z; L — длина полумульды; η0 — максимальное оседание; q_i, q_k — коэффициенты приведения к интервалу 15 м","наклон по модулю; растяжение +, сжатие − (ГИАБ 2021)","i — мм/м (η в мм, L в м); K — 1/м (или 10⁻³/м)",DERIVATION: d/dx[η0·S(x/L)] = η0·S′(z)/L и d²/dx² = η0·S″(z)/L² — множитель 1/L² при S′ в (8.138) VKM-SRC-037 размерно неверен для наклона (вероятна опечатка печати); внешняя форма добавляет q_i,LOCAL_DISTORTED,https://rudmet.net/media/articles/Article_MJ_04_21_pp.57-63.pdf ; https://www.giab-online.ru/files/Data/2021/11/5-18.pdf
XFV-SF-012,SUBSIDENCE_FORMULAS,Граничный угол δ0 и угол полных сдвижений ψ; длина полумульды L = H(ctgδ0 + ctgψ),"VKM-SRC-037 §8.5.1: δ0 = 50°, ψ = 55° (MM-SUBS-010); VKM-SRC-012 p.54: 55°/55° у междушахтных целиков (MM-SUBS-013); FC-004","Сверено потоком NORMATIVE (Щегольков 2024/2025, «Маркшейдерия и недропользование»): δ0 — 45° (1972), 50° (1985), 50° / C-зависимые значения (1994, 2004, 2008), фиксированные 55° (2014, 2022); ψ = 55° во всех редакциях, кроме 1976 г. (50°)",H — глубина; δ0 — граничный угол; ψ — угол полных сдвижений; C — степень нагружения МКЦ; kt = η(ti)/ηm,углы от горизонтали со стороны выработанного пространства,"градусы; L, H — м","50° против 55° — разные редакции норматива, не ошибка. Для истории СКРУ-1 выбирать редакцию по периоду отработки; на ранней стадии (η/ηm < 0,1) фактические граничные углы круче (NORM-F-014)",VARIANT,https://n-gn.ru/images/pdf/2024/06/25-32.pdf ; https://n-gn.ru/images/pdf/2025/01/61-70.pdf
RM-FV-001,RHEOLOGY_MECH,Линейная наследственная ползучесть с ядром Абеля: ε(t) = (1/E)[σ(t) + ∫₀ᵗ K(t−τ)σ(τ)dτ]; K(t−τ) = δ(t−τ)^(−α); Φ(t) = δ·t^(1−α)/(1−α),"VKM-SRC-012 pp.17–18, ф.(1.3)–(1.5) (EV-VN-S012-0039..0042); норматив α = 0,7, δ = 5·10⁻⁴…5·10⁻³ с^(−1+α) (EV-VN-S012-0045/-0046; MM-CREEP-101/102; MR-RHEO-CL-06, N01)","Первоисточники (Ержанов 1964/1977; Работнов 1977; Указания [69]) в этой фазе не достигнуты; внешне подтверждено лишь, что наследственная модель ГИ УрО РАН (Константинова–Чернопазов 2004) шире — с ядрами сдвиговой и объёмной ползучести и поврежденностью (RM-F-015)",ε — деформация; σ — напряжение; E — мгновенный модуль; K — ядро ползучести; α — показатель сингулярности (0<α<1); δ — параметр ядра; Φ(t) — интеграл ядра (функция ползучести),сжатие/укорочение положительны (одноосная запись),E — МПа; α — безразм.; δ — [время]^(α−1); Φ — безразм.,"DERIVATION (символьно): ∫₀ᵗ δ·s^(−α) ds = δ·t^(1−α)/(1−α) при 0<α<1 — (1.5) согласована с (1.4); при σ = const: ε(t) = (σ/E)(1 + Φ(t)). В тексте Φ названа «ядром ползучести» — это интеграл ядра (терминология, N01).",NOT_VERIFIABLE,https://link.springer.com/article/10.1023/B:JOMI.0000041527.19377.cf
