anchor_id,anchor_type,provenance,source_file,class_id,panel_or_block,name,caption,x_local_m,y_local_m,source_location,source_quality,block,zone,lithology,depth_roof_m,depth_alt_m,bed_thickness_m,chamber_width_m,pillar_width_m,load_coeff,axial_distance_m,mining_interval,fill_interval,fill_type,mining_method,disp_mean_mm,disp_min_mm,disp_max_mm,natural_factor
TECH-13,mining_technical,P,ВКР_Филатова_М_С.docx,,57П блок,,,,,Рисунок 17,exact_transcription,101.0,,,195.0,,,5.0,8.5,0.277,13.5,1989–1991,1989–1991,сухая,БВР,,,,
TECH-14,mining_technical,P,ВКР_Филатова_М_С.docx,,57П блок,,,,,Рисунок 17,exact_or_source_truncated,101.0,,,220.0,,,16.0,11.0,0.303,27.0,1958–1959,"1971–1972, 1993–1998, 20…",сухая/гидро,комбайн+БВР,,,,
DISP-01,subsidence_zonal_statistics,P,ВКР_Филатова_М_С.docx,,18П блок,,,,,Рисунок 18,exact_transcription,208.0,,,,,,,,,,,,,,195.35,100.016,408.821,
DISP-02,subsidence_zonal_statistics,P,ВКР_Филатова_М_С.docx,,18П блок,,,,,Рисунок 18,exact_transcription,207.0,,,,,,,,,,,,,,170.135,100.008,281.119,
DISP-03,subsidence_zonal_statistics,P,ВКР_Филатова_М_С.docx,,18П блок,,,,,Рисунок 18,exact_transcription,207.0,,,,,,,,,,,,,,170.135,100.008,281.119,
DISP-04,subsidence_zonal_statistics,P,ВКР_Филатова_М_С.docx,,3П блок,,,,,Рисунок 18,exact_transcription,88.0,,,,,,,,,,,,,,179.612,100.002,304.108,
DISP-05,subsidence_zonal_statistics,P,ВКР_Филатова_М_С.docx,,19П блок,,,,,Рисунок 18,exact_transcription,88.0,,,,,,,,,,,,,,179.612,100.002,304.108,
DISP-06,subsidence_zonal_statistics,P,ВКР_Филатова_М_С.docx,,55П блок,,,,,Рисунок 18,exact_transcription,98.0,,,,,,,,,,,,,,246.316,100.001,600.284,
DISP-07,subsidence_zonal_statistics,P,ВКР_Филатова_М_С.docx,,76П блок,,,,,Рисунок 18,exact_transcription,110.0,,,,,,,,,,,,,,284.252,100.24,403.494,
DISP-08,subsidence_zonal_statistics,P,ВКР_Филатова_М_С.docx,,46П блок,,,,,Рисунок 18,exact_transcription,106.0,,,,,,,,,,,,,,220.325,141.391,283.09,
NAT-01,natural_factor,P,ВКР_Филатова_М_С.docx,92280000.0,18П блок,,,23178.5,41913.4,Рисунок 16,visible_transcription,208.0,,КрII,,,,,,,,,,,,,,,Аномальная зона I группы (№1) на уровне кровли ВЗТ
NAT-02,natural_factor,P,ВКР_Филатова_М_С.docx,92280000.0,18П блок,,,23057.4,41891.9,Рисунок 16,visible_transcription,207.0,,АБ,,,,,,,,,,,,,,,Аномальная зона I группы (№1) на уровне кровли ВЗТ
NAT-03,natural_factor,P,ВКР_Филатова_М_С.docx,92280000.0,18П блок,,,23057.4,41891.9,Рисунок 16,visible_transcription,207.0,,КрII,,,,,,,,,,,,,,,Аномальная зона I группы (№1) на уровне кровли ВЗТ
NAT-04,natural_factor,P,ВКР_Филатова_М_С.docx,92280000.0,3П блок,,,23989.5,40379.0,Рисунок 16,visible_transcription,88.0,,КрII,,,,,,,,,,,,,,,Зона влияния аномалии I группы (№2)
NAT-05,natural_factor,P,ВКР_Филатова_М_С.docx,92280000.0,19П блок,,,24040.1,40453.2,Рисунок 16,visible_transcription,88.0,,КрII,,,,,,,,,,,,,,,Зона влияния аномалии I группы (№2)
NAT-06,natural_factor,P,ВКР_Филатова_М_С.docx,92280000.0,55П блок,,,25023.2,40673.1,Рисунок 16,visible_transcription,98.0,,КрII,,,,,,,,,,,,,,,Зона влияния аномалии I группы (№2)
NAT-07,natural_factor,P,ВКР_Филатова_М_С.docx,92291000.0,76П блок,,,25043.5,40971.6,Рисунок 16,visible_transcription,110.0,,КрII,,,,,,,,,,,,,,,Зона влияния аномалии I группы (№2)
NAT-08,natural_factor,P,ВКР_Филатова_М_С.docx,92280000.0,46П блок,,,23984.2,41114.5,Рисунок 16,visible_transcription,106.0,,АБ,,,,,,,,,,,,,,,Зона влияния аномалии I группы (№2)
NAT-09,natural_factor,P,ВКР_Филатова_М_С.docx,92280000.0,46П блок,,,23984.2,41114.5,Рисунок 16,visible_transcription,106.0,,КрII,,,,,,,,,,,,,,,Зона влияния аномалии I группы (№2)
NAT-10,natural_factor,P,ВКР_Филатова_М_С.docx,92280000.0,54П блок,,,24446.1,41283.1,Рисунок 16,visible_transcription,118.0,,КрII,,,,,,,,,,,,,,,Зона влияния аномалии I группы (№2)
NAT-11,natural_factor,P,ВКР_Филатова_М_С.docx,92280000.0,46П блок,,,24152.9,41088.1,Рисунок 16,visible_transcription,107.0,,КрII,,,,,,,,,,,,,,,Зона влияния аномалии I группы (№2)
NAT-12,natural_factor,P,ВКР_Филатова_М_С.docx,92280000.0,52П блок,,,24538.7,41637.7,Рисунок 16,visible_transcription,127.0,,КрII,,,,,,,,,,,,,,,Зона влияния аномалии I группы (№2)
