vn_id,source_id,pdf_page,locator,unit_as_recorded,record_scope,record_status,borehole_stream_use,borehole_ids,pick_ids,category,proposed_owner,review_note
EV-VN-S011-1159,VKM-SRC-011,60,Табл. 2.15,"ПП (переходная пачка), detailed column",VKM_REGIONAL,FACT,ATTACHED_TO_BOREHOLE_ROW,BH-DUR-S011-209a,PK-00077;PK-00078;PK-00079;PK-00080;PK-00081;PK-00082;PK-00083;PK-00084;PK-00085,BOREHOLE_OR_SHAFT_PICK,BOREHOLES,
EV-VN-S011-1178,VKM-SRC-011,61,Табл. 2.17,ПП full column + ГАТ roof,VKM_REGIONAL,FACT,ATTACHED_TO_BOREHOLE_ROW,BH-DUR-S011-281,PK-00212;PK-00213;PK-00214;PK-00215;PK-00216;PK-00217;PK-00218;PK-00219;PK-00220;PK-00221;PK-00222;PK-00223;PK-00224;PK-00225;PK-00226;PK-00227;PK-00228;PK-00229;PK-00230;PK-00231;PK-00232;PK-00233;PK-00234;PK-00235;PK-00236;PK-00237;PK-00238;PK-00239;PK-00240;PK-00241;PK-00242;PK-00243;PK-00244;PK-00245;PK-00246;PK-00247;PK-00248;PK-00249,BOREHOLE_OR_SHAFT_PICK,BOREHOLES,
EV-VN-S011-1586,VKM-SRC-011,86,"§2.8, с.171",нижний горизонт ПдКС / верхняя пачка глинисто-карбонатных пород,VKM_REGIONAL,FACT,ATTACHED_TO_BOREHOLE_ROW,BH-UNLOC-S011-451,PK-00363,BOREHOLE_OR_SHAFT_PICK,BOREHOLES,
EV-VN-S011-1593,VKM-SRC-011,87,с.173,прослой соленосной глины в верхней пачке ПдКС,BKPRU4,FACT,NOT_A_BOREHOLE_PICK,,,RELATIVE_POSITION_NO_DEPTH,GEOLOGY_COORDS: geology_evidence,NOT_IN_ANY_PHASE1_CATALOGUE (COVERAGE_DUPLICATES-017)
EV-VN-S011-1623,VKM-SRC-011,88,"с.175-176, Рис. 2.108 (нефтепроявление 1)",средняя часть слоя 11 (верхняя пачка ПдКС),BKPRU4,FACT,NOT_A_BOREHOLE_PICK,,,WORKING_WALL_OBSERVATION,GEOLOGY_COORDS,
EV-VN-S011-1624,VKM-SRC-011,89,"с.175-176, Рис. 2.108 (нефтепроявление 2)",нижняя часть слоя 8 (верхняя пачка ПдКС),BKPRU4,FACT,NOT_A_BOREHOLE_PICK,,,WORKING_WALL_OBSERVATION,GEOLOGY_COORDS,
EV-VN-S011-1625,VKM-SRC-011,89,"с.175-176, Рис. 2.108 (нефтепроявление 3)",средняя часть слоя 11 (верхняя пачка ПдКС),BKPRU4,FACT,NOT_A_BOREHOLE_PICK,,,WORKING_WALL_OBSERVATION,GEOLOGY_COORDS,
EV-VN-S011-1626,VKM-SRC-011,89,"с.175-176, Рис. 2.108 (нефтепроявление 4)",верхняя часть слоя 13 (верхняя пачка ПдКС),BKPRU4,FACT,NOT_A_BOREHOLE_PICK,,,WORKING_WALL_OBSERVATION,GEOLOGY_COORDS,
EV-VN-S011-1627,VKM-SRC-011,89,"с.175-176, Рис. 2.108 (нефтепроявление 5)",верхняя часть слоя 11 (верхняя пачка ПдКС),BKPRU4,FACT,NOT_A_BOREHOLE_PICK,,,WORKING_WALL_OBSERVATION,GEOLOGY_COORDS,
EV-VN-S011-1699,VKM-SRC-011,99,p.196,горизонт выработок пласта АБ (mining level),SKRU2,FACT,NOT_A_BOREHOLE_PICK,,,MINE_LEVEL,GEOLOGY_COORDS,
EV-VN-S011-2661,VKM-SRC-011,145,Прилож. 2 «История открытия и освоения месторождения»,"каменная соль (top of rock salt, first penetration)",VKM_REGIONAL,FACT,ATTACHED_TO_BOREHOLE_ROW,BH-HIST-S011-U1,PK-00707,BOREHOLE_OR_SHAFT_PICK,BOREHOLES,
EV-VN-S011-2662,VKM-SRC-011,145,Прилож. 2 «История открытия и освоения месторождения»,'красноватая соль' (potash-bearing / sylvinite indication),VKM_REGIONAL,FACT,ATTACHED_TO_BOREHOLE_ROW,BH-HIST-S011-U2,PK-00708,BOREHOLE_OR_SHAFT_PICK,BOREHOLES,
EV-VN-S011-3816,VKM-SRC-011,174,English SUMMARY §1 (Key features of geological aspects of VKSD; 1.2 Stratigraphy,"Vkd (Kudymkar suite, Vendian)",VKM_REGIONAL,FACT,ISSUE_ONLY,,,UNASSIGNABLE_TO_ONE_BOREHOLE,BOREHOLES (ISS-DEEPREF-PICK),
EV-VN-S016-0064,VKM-SRC-016,8,§Анализ целостности ВЗТ; Рис. 5,уровень грунтовых вод (УГВ),BKPRU4,FACT,ATTACHED_TO_BOREHOLE_ROW,BH-B4-498,PK-00606,BOREHOLE_OR_SHAFT_PICK,BOREHOLES,
EV-VN-S024-0288,VKM-SRC-024,97,Прил.1 §1.3 pp.97-98 [7],sylvinite-bearing interval,OTHER_POTASH_SITE,FACT,ATTACHED_TO_BOREHOLE_ROW,BH-GREM-S024-U1,PK-00710,BOREHOLE_OR_SHAFT_PICK,BOREHOLES,
EV-VN-S024-0307,VKM-SRC-024,101,Прил.1 §1.6 p.101,соленосная толща (salt-bearing sequence),OTHER_POTASH_SITE,FACT,ATTACHED_TO_BOREHOLE_ROW,BH-GREM-S024-U2,PK-00711,BOREHOLE_OR_SHAFT_PICK,BOREHOLES,
EV-VN-S024-0315,VKM-SRC-024,103,Прил.1 §1.6 p.103,weak zone: мощный слой песчаников; обводненность и слабая связанность,OTHER_POTASH_SITE,FACT,ATTACHED_TO_BOREHOLE_ROW,BH-GREM-S024-U2,PK-00712,BOREHOLE_OR_SHAFT_PICK,BOREHOLES,
EV-VN-S024-0316,VKM-SRC-024,103,Прил.1 §1.6 p.103,"weak zone: мощный слой песков (40,4 м)",OTHER_POTASH_SITE,FACT,ATTACHED_TO_BOREHOLE_ROW,BH-GREM-S024-U2,PK-00713,BOREHOLE_OR_SHAFT_PICK,BOREHOLES,
EV-VN-S024-0317,VKM-SRC-024,103,Прил.1 §1.6 p.103,"weak zone: маломощные, сильно трещиноватые и раздробленные породы",OTHER_POTASH_SITE,FACT,ATTACHED_TO_BOREHOLE_ROW,BH-GREM-S024-U2,PK-00714,BOREHOLE_OR_SHAFT_PICK,BOREHOLES,
EV-VN-S024-0370,VKM-SRC-024,117,Рисунок Пр.8 (label near Ствол №1),level of main workings / shaft station (inferred),OTHER_POTASH_SITE,UNKNOWN,NOT_A_BOREHOLE_PICK,,,MINE_LEVEL,GEOLOGY_COORDS,
EV-VN-S027-0033,VKM-SRC-027,5,"Таблица 1 «Исходные данные для расчета ширины целиков по 5-й ЮВП», Табл.1 кол.2–",,USOLSKY,FACT,NOT_A_BOREHOLE_PICK,,,DESIGN_TABLE,MECH_RHEO / GEOLOGY_COORDS,
EV-VN-S027-0034,VKM-SRC-027,5,"Таблица 1 «Исходные данные для расчета ширины целиков по 5-й ЮВП», Табл.1 кол.6–",,USOLSKY,FACT,NOT_A_BOREHOLE_PICK,,,DESIGN_TABLE,MECH_RHEO / GEOLOGY_COORDS,
EV-VN-S027-0035,VKM-SRC-027,5,"Таблица 1 «Исходные данные для расчета ширины целиков по 5-й ЮВП», Табл.1 кол.2–",,USOLSKY,FACT,NOT_A_BOREHOLE_PICK,,,DESIGN_TABLE,MECH_RHEO / GEOLOGY_COORDS,
EV-VN-S027-0036,VKM-SRC-027,5,"Таблица 1 «Исходные данные для расчета ширины целиков по 5-й ЮВП», Табл.1 кол.6–",,USOLSKY,FACT,NOT_A_BOREHOLE_PICK,,,DESIGN_TABLE,MECH_RHEO / GEOLOGY_COORDS,
EV-VN-S027-0037,VKM-SRC-027,5,"Таблица 1 «Исходные данные для расчета ширины целиков по 5-й ЮВП», Табл.1 кол.2–",,USOLSKY,FACT,NOT_A_BOREHOLE_PICK,,,DESIGN_TABLE,MECH_RHEO / GEOLOGY_COORDS,
EV-VN-S027-0038,VKM-SRC-027,5,"Таблица 1 «Исходные данные для расчета ширины целиков по 5-й ЮВП», Табл.1 кол.6–",,USOLSKY,FACT,NOT_A_BOREHOLE_PICK,,,DESIGN_TABLE,MECH_RHEO / GEOLOGY_COORDS,
EV-VN-S027-0039,VKM-SRC-027,5,"Таблица 1 «Исходные данные для расчета ширины целиков по 5-й ЮВП», Табл.1 кол.2–",,USOLSKY,FACT,NOT_A_BOREHOLE_PICK,,,DESIGN_TABLE,MECH_RHEO / GEOLOGY_COORDS,
EV-VN-S027-0040,VKM-SRC-027,5,"Таблица 1 «Исходные данные для расчета ширины целиков по 5-й ЮВП», Табл.1 кол.6–",,USOLSKY,FACT,NOT_A_BOREHOLE_PICK,,,DESIGN_TABLE,MECH_RHEO / GEOLOGY_COORDS,
EV-VN-S027-0041,VKM-SRC-027,5,"Таблица 1, строка «Усредненные показатели по панели»",,USOLSKY,FACT,NOT_A_BOREHOLE_PICK,,,DESIGN_TABLE,MECH_RHEO / GEOLOGY_COORDS,
EV-VN-S037-0102,VKM-SRC-037,8,Рис. 1.5,пласт АБ (почва или кровля — не указано),BKPRU2,FACT,NOT_A_BOREHOLE_PICK,,,SEAM_LEVEL_ON_MINE_PLAN,GEOLOGY_COORDS,
EV-VN-S037-0204,VKM-SRC-037,19,§1.3.1 + Табл. 1.7 (связка),водонасыщенные надсолевые породы (по интервалу чугунных тюбингов),SKRU1,INTERPOLATION,ATTACHED_TO_BOREHOLE_ROW,BH-SHS1-stvol_2;BH-SHS1-stvol_2-bis,PK-00684;PK-00709,BOREHOLE_OR_SHAFT_PICK,BOREHOLES,
EV-VN-S037-0315,VKM-SRC-037,38,"рис. 2.8 а, выработка 1",горизонт карналлитового откаточного штрека (в каменной соли ниже КрII),SKRU1,FACT,NOT_A_BOREHOLE_PICK,,,MINE_WORKING_SECTION,GEOLOGY_COORDS,
EV-VN-S037-0323,VKM-SRC-037,39,"рис. 2.10 а (СКПРУ-2, сеч. А-А, гор. −220)",пл. АБ / междупластье / пл. Красный-II,SKRU2,FACT,NOT_A_BOREHOLE_PICK,,,MINE_WORKING_SECTION,"GEOLOGY_COORDS: stratigraphic_thickness_observations (СКРУ-2, гор. −220; interseam 8 м to MGEO-0333)",NOT_IN_ANY_PHASE1_CATALOGUE (COVERAGE_DUPLICATES-017)
EV-VN-S037-0406,VKM-SRC-037,55,"рис. 3.25 б (БКЗ-4, схематический разрез)",междупластье АБ–Красный-II; пласт Красный-II,BKPRU4,FACT,NOT_A_BOREHOLE_PICK,,,DESIGN_SCHEMATIC,"GEOLOGY_COORDS: stratigraphic_thickness_observations (БКЗ-4, типовое сечение)",NOT_IN_ANY_PHASE1_CATALOGUE (COVERAGE_DUPLICATES-017)
EV-VN-S040-0057,VKM-SRC-040,19,рис. 1.4,,SKRU1,FACT,ATTACHED_TO_BOREHOLE_ROW,BH-SHS1-stvol_2-bis,PK-00685,BOREHOLE_OR_SHAFT_PICK,BOREHOLES,
EV-VN-S040-0080,VKM-SRC-040,28,"рис. 1.5 (левая колонка 'Глубина, м / Литологический состав / Номер яруса')",,BKPRU4,FACT,ATTACHED_TO_BOREHOLE_ROW,BH-SHB4-stvol_1_BKPRU-4,PK-00687;PK-00688;PK-00689;PK-00690;PK-00691;PK-00692;PK-00693;PK-00694;PK-00695;PK-00696;PK-00697;PK-00698;PK-00699;PK-00700;PK-00701;PK-00702;PK-00703;PK-00704;PK-00705;PK-00706,BOREHOLE_OR_SHAFT_PICK,BOREHOLES,
EV-VN-S040-0334,VKM-SRC-040,134,Рис. 4.17,глинисто-ангидритовый пропласток (слой глины) in interseam Вс–АБ,SKRU3,FACT,NOT_A_BOREHOLE_PICK,,,GPR_INTERPRETED_LAYER,HYDRO_THERMAL_GEOPHYS,
