issue_id,issue_type,borehole_ids,ids_as_printed,sources,locators,vn_ids,description,evidence_for_identity,evidence_against_identity,decision,identity_confidence,what_would_resolve,status
ISS-LATIN-C,NOTATION_NORMALISATION,BH-SOL-122s;BH-SOL-127s;BH-SOL-131s;BH-SOL-138s;BH-SOL-140s;BH-SOL-141s;BH-SOL-180s,"122c/122с, 127c/127с, 131c/131с, 138c/138с, 140c/140с, 141c/141с, 180c/180с",VKM-SRC-012,SRC-012 p64–65 табл.3.1; p28 рис.1.1,,"Текстовый слой табл.3.1 печатает суффикс латинской «c», рис.1.1 — кириллической «с»; 161с, 163с, 234с, 120с — кириллица в обоих. Нормализовано к кириллической «с»; исходные написания сохранены в alternate_ids.",Та же позиция на рис.1.1 и рис.3.2.,,MERGED,HIGH,,RESOLVED_BY_EVIDENCE
ISS-SUFFIX-MEANING,UNKNOWN_NOTATION,BH-SOL-*s;BH-SOL-*g;BH-SOL-4k,"суффиксы с, г, к, а, штрих, *",VKM-SRC-012;VKM-SRC-014;VKM-SRC-011,SRC-012 p33 (140с — «структурная скважина»),EV-VN-S012-0154,"Суффикс «с» = структурная скважина подтверждён текстом только для 140с («…» (цитата — в столбце quote)); для прочих «с» — предположение; значения «г», «к», «а», штриха, «*» не указаны.",,,FLAGGED,n/a,Легенда исходных планов / каталог скважин Уралкалия.,OPEN
ISS-III-UG1,UNKNOWN_LABEL,BH-SOL-III;BH-SOL-Ug1,III | Уг1,VKM-SRC-012,SRC-012 p28 рис.1.1,EV-VN-S012-0092;EV-VN-S012-0093,Подписи «III» (возможно «111») и «Уг1» у восточного конца целика — смысл не указан; могут не быть скважинами.,,,FLAGGED,LOW,Оригинал плана.,OPEN
ISS-001-HIST,POSSIBLE_SAME_NOT_MERGED,BH-SOL-1;,1 | скважина №1 (1925),VKM-SRC-014;VKM-SRC-011,SRC-014 p78 рис.3.1; SRC-011 p145–146 Прил.2,EV-VN-S014-0479;EV-VN-S011-2683;EV-VN-S011-2670,"На плане СКРУ-1 у северной границы (зона р. Усолки) подпись «1»; историческая солеразведочная скв. №1 (1925, территория Соликамского солеваренного завода, 300 м западнее Людмилинской трубы; первый калийный пласт 91,7–92,3 м).",Район Соликамска/р. Усолки.,Нумерация кампании 1925 г. и позднейших планов может различаться; положение не сопоставлено.,KEPT_SEPARATE,LOW,Сопоставить план горного отвода СКРУ-1 с местом памятного знака скв. №1 (координаты).,OPEN
ISS-217-DUR,SAME_ID_DIFFERENT_AREA,BH-SOL-217;BH-DUR-S011-217,217,VKM-SRC-012;VKM-SRC-011,SRC-012 p65 табл.3.1; SRC-011 p62 (с.122),EV-VN-S012-0335;EV-VN-S011-1248,Скв. 217 на участке целиков СКРУ-2–СКРУ-3 (Лебедева) и скв. 217 Дуринской площади (Кудряшов: мощность ПдКС от нижнего калийного пласта до ГАТ 151 м) — разные площади.,,Разные площади ВКМ; номера солеразведочных скважин повторяются между площадями/кампаниями.,"KEPT_SEPARATE (разные скважины, вероятно)",LOW (identity),,RESOLVED_BY_EVIDENCE
ISS-14XX,LOCATION_MISSING,BH-SOL-1401;BH-SOL-1403;BH-SOL-1404,1401 | 1403 | 1404,VKM-SRC-012,SRC-012 p70–72 рис.3.8–3.9,EV-VN-S012-0410;EV-VN-S012-0412;EV-VN-S012-0416;EV-VN-S012-0406,"Отбивки (MD от RKB и TVD) есть, но на картах рис.3.2–3.7 скважины не подписаны; расстояния между скважинами напечатаны (1401–1402 = 1591,04 м; 1402–1403 = 1447,21 м; 1404–1405 = 1278,93 м; 1405–1407 = 2331,18 м; 1407–1409 = 971,972 м). Автор исключил 1403 (некорректная запись ГИС) и исправил корреляцию МГ в 1402.",,,FLAGGED,n/a,Координаты устьев 14xx из базы модели (Petrel) Лебедевой / Уралкалия. Расстояния не использовать для трилатерации в облачной фазе (вычисления отложены).,OPEN
ISS-PICK-CONV-T31,PICK_CONVENTION_CONFLICT,BH-SOL-1036;BH-SOL-120s;BH-SOL-121;BH-SOL-122;BH-SOL-122s;BH-SOL-123;BH-SOL-124;BH-SOL-127s;BH-SOL-130;BH-SOL-131s;BH-SOL-134;BH-SOL-138s;BH-SOL-139;BH-SOL-140s;BH-SOL-141s;BH-SOL-161s;BH-SOL-163s;BH-SOL-180s;BH-SOL-215;BH-SOL-216;BH-SOL-217;BH-SOL-218;BH-SOL-222;BH-SOL-23;BH-SOL-234s;BH-SOL-25;BH-SOL-30;BH-SOL-74;BH-SOL-75,Табл. 3.1 (29 скважин),VKM-SRC-012,SRC-012 p63 текст; p64–65 табл.3.1,EV-VN-S012-0311..0339,"Шапка табл.3.1: «Глубина залегания кровли, м»; текст с.63: «…» (цитата — в столбце quote). Все 29 строк табл.3.1 сверены в этом потоке с текстовым слоем p64–65 (11 столбцов совпадают).","Физическая согласованность с кровлей: ТКТ = 1,2–24,45 м (подошва четвертичных), МГ и ПдКС-под-МГ различаются на 1–12 м (мощность МГ) — это наблюдение-проверка, не вычисление.",Прямое противоречие текста и шапки.,KEEP_AS_PRINTED (значения записаны в top_depth_m как «кровля» по шапке; конфликт помечен в notes каждой строки),n/a,Первичная база отбивок; письмо автору.,OPEN
ISS-PICK-PP,PICK_LABEL_POSITION_CONFLICT,BH-SOL-1402;BH-SOL-1403;BH-SOL-1404,PP,VKM-SRC-012,SRC-012 p71–72 рис.3.8–3.9,EV-VN-S012-0411;EV-VN-S012-0412;EV-VN-S012-0416,"Горизонт «PP» напечатан в стратиграфически несовместимых позициях: 1402 — между SZ и PDKS (251,19); 1403 — дважды (105,25 над CZ и 225,31 между PDKS и MG); 1404 — между CZ и SZ (212,68). Для 1402/1403 визуально подтверждено в этом потоке (p71).",,"Переходная пачка (ПП) по разрезу выше ПКС; значит «PP» здесь либо другой горизонт, либо ошибка корреляции.",KEEP_AS_PRINTED; unit_canonical_guess = «ПП?(label PP; position-check)»; не использовать как ПП,n/a,Словарь горизонтов модели Лебедевой.,OPEN
ISS-AK-AVAIL,LOGGING_CONFLICT,BH-SOL-1401;BH-SOL-1403;BH-SOL-1404;BH-SOL-130;BH-SOL-234s;BH-SOL-1036,АК / Vp,VKM-SRC-012,SRC-012 p70 §3.3; p71–72 рис.3.8–3.9; p83 рис.3.18,EV-VN-S012-0405;EV-VN-S012-0474,"Текст: «…» (цитата — в столбце quote) (234с и 1036 — только растр). Но панели рис.3.8/3.9 показывают дорожки vp для 1401, 1403, 1404, а рис.3.18 — кривые Vp/E/UCS по 130 и др. — вероятно производные/модельные.",,,FLAGGED: acoustic=YES только для шести скважин текста; остальные — «vp track shown (derived?)»,n/a,Исходные LAS/растровые ГИС.,OPEN
ISS-MAP135-LEGEND,FIGURE_LINEAGE_LEGEND_CONFLICT,BH-M135-101;BH-M135-106;BH-M135-107;BH-M135-14;BH-M135-147;BH-M135-148;BH-M135-149;BH-M135-179;BH-M135-186;BH-M135-194;BH-M135-201;BH-M135-202;BH-M135-212;BH-M135-214;BH-M135-236;BH-M135-239;BH-M135-240;BH-M135-274;BH-M135-282;BH-M135-291;BH-M135-454;BH-M135-456;BH-M135-47;BH-M135-499;BH-M135-559p;BH-M135-627;BH-M135-629;BH-M135-634;BH-M135-639;BH-M135-644;BH-M135-652;BH-M135-89;BH-M135-90;BH-M135-95;BH-M135-99,рис.1.35 / рис.1.6,VKM-SRC-011;VKM-SRC-014,SRC-011 p24 рис.1.35; SRC-014 p19 рис.1.6,,Одна и та же карта (одинаковые подписи и конфигурация) с разной легендой п.5: SRC-011 — «…» (цитата — в столбце quote); SRC-014 — «…» (цитата — в столбце quote) (визуально проверено p19).,Идентичность подписей → скважины объединены по происхождению рисунка.,Смысл полигонов противоречив.,MERGED (скважины); смысл полигонов UNKNOWN,HIGH (boreholes),Первоисточник карты (ссылка [73] у Кудряшова).,OPEN
ISS-47-147,READING_VARIANT,BH-M135-106;BH-M135-147,47 | 147,VKM-SRC-011;VKM-SRC-014,SRC-011 p24 рис.1.35; SRC-014 p19 рис.1.6,,"В одной и той же карте SRC-011 прочитано «47», SRC-014 — «147» (нижняя часть карты).",Одна карта.,,KEPT_SEPARATE (reading unverified),MEDIUM,Перечитать SRC-011 p24 при 400 dpi.,OPEN
ISS-559-ALIAS,READING_VARIANT,BH-M135-559p,559' | 559а,VKM-SRC-011;VKM-SRC-014,SRC-011 p24; SRC-014 p19,,"Одна карта: SRC-011 прочитано «559'», SRC-014 sweep — «559а»; на рендере SRC-014 p19 видно «559'».",,,MERGED (lineage alias),HIGH,,RESOLVED_BY_EVIDENCE
ISS-MAP135-SOL,MERGED_WITH_EVIDENCE,BH-SOL-109;BH-SOL-74;BH-SOL-297;BH-SOL-232;BH-SOL-221,109 | 74 | 297 | 232 | 221,VKM-SRC-011;VKM-SRC-014;VKM-SRC-012,SRC-011 p24 рис.1.35; SRC-014 p19 рис.1.6; SRC-014 p78 рис.3.1; SRC-012 p28 рис.1.1,,"Скважины-вершины западной/северной границы северного полигона региональной карты (масштаб 0–10 км) = скважины на границе горного отвода СКРУ-1 (109, 74, 232, 221) и западной границе СКРУ-2 (297).",Последовательность 148–109–74–297 вдоль западной стороны и 232/221 на СВ совпадает на обоих уровнях масштаба.,Нет координат; региональная карта схематична.,MERGED,MEDIUM,Геопривязка обеих карт (фаза 2) подтвердит/опровергнет.,RESOLVED_BY_EVIDENCE
ISS-SECBL-VERSIONS,FIGURE_VERSION_MERGE,BH-SECBL-100;BH-SECBL-101;BH-SECBL-102;BH-SECBL-106;BH-SECBL-127;BH-SECBL-16;BH-SECBL-165;BH-SECBL-17;BH-SECBL-176;BH-SECBL-178;BH-SECBL-179;BH-SECBL-181;BH-SECBL-185;BH-SECBL-186;BH-SECBL-196;BH-SECBL-202;BH-SECBL-2539;BH-SECBL-2553;BH-SECBL-2554;BH-SECBL-2555;BH-SECBL-2556;BH-SECBL-2557;BH-SECBL-282;BH-SECBL-35a;BH-SECBL-37a;BH-SECBL-40;BH-SECBL-4057;BH-SECBL-43a;BH-SECBL-497;BH-SECBL-561;BH-SECBL-69;BH-SECBL-72;BH-SECBL-89;BH-SECBL-91;BH-SECBL-944;BH-SECBL-98;BH-SECBL-99;BH-SECBL-R-1;BH-SECBL-R-5;BH-SECBL-R-81;BH-SECBL-R-90,широтный разрез Березниковского района,VKM-SRC-011;VKM-SRC-037;VKM-SRC-020,SRC-011 p24 рис.1.36; SRC-037 p6 рис.1.3; SRC-020 p8 рис.1.3,,Три версии одного широтного разреза: общая последовательность 91–17–16–72–…–127–…–101–…–102–181; но наборы различаются (43а/35а/37а/944/497 — только SRC-011; 2553/2554/2555/196 — только SRC-037; 2539/4057/2557/2556/69/98/165/106/202/Р-1/Р-5/Р-81/Р-90/176 — только SRC-020).,Одинаковые номера в одинаковом порядке.,Версии разреза разные.,MERGED (одинаковые номера),MEDIUM,Первоисточник разреза.,OPEN
ISS-B1-VS-SECBL,POSSIBLE_SAME_NOT_MERGED,BH-B1-17;BH-SECBL-17;BH-B1-16;BH-SECBL-16;BH-B1-91;BH-SECBL-91;BH-B1-89;BH-SECBL-89;BH-B1-72;BH-SECBL-72;BH-B1-99;BH-SECBL-99;BH-B1-43s;BH-SECBL-43a;BH-B1-35s;BH-SECBL-35a;BH-B1-37s;BH-SECBL-37a,"17,16,91,89,72,99; 43с/43а, 35с/35а, 37с/37а",VKM-SRC-011;VKM-SRC-037;VKM-SRC-020,SRC-011 p27 рис.1.42–1.43; p24 рис.1.36,,Разрез по линии скважин 1040–99 (БКПРУ-1) и широтный разрез Березниковского района содержат одинаковые номера; варианты суффикса «с»/«а».,"Тот же район, тот же автор (Кудряшов).",Нет координат; суффиксы различаются.,KEPT_SEPARATE,MEDIUM (probable same),Перечитать суффиксы на рис.1.36 и 1.42 при 400 dpi.,OPEN
ISS-SECI-OIL,SAME_ID_DIFFERENT_TYPE,BH-SECI-1;BH-SECI-2;BH-SECI-4;BH-SECI-5_n1;BH-SECI-5_n2;BH-SECI-16;BH-SECI-17;BH-SOL-1;BH-SOL-2;BH-SOL-5;BH-B1-16;BH-B1-17,"1,2,4,5,16,17",VKM-SRC-011;VKM-SRC-014;VKM-SRC-025;VKM-SRC-023,SECI рис.1.5/1.4/1.1/рис.6,,"На региональном разрезе I–I номера 1, 2, 4, 5 (два раза), 16, 17 — нефтяные скважины (по условным знакам, SRC-025 sweep), а не солеразведочные; одноимённые номера на плане СКРУ-1 и в Березниках — другие скважины.",,Разный тип скважин.,KEPT_SEPARATE,HIGH (distinct),,RESOLVED_BY_EVIDENCE
ISS-20XX-SKRU2,TYPE_UNKNOWN,BH-SOL-2001;BH-SOL-2002;BH-SOL-2003;BH-SOL-2006;BH-SOL-2008;BH-SOL-2011;BH-SOL-2013;BH-SOL-2019;BH-SOL-2020;BH-SOL-2021;BH-SOL-2022;BH-SOL-2025;BH-SOL-2027;BH-SOL-2050;BH-SOL-2052;BH-SOL-2055;BH-SOL-2056;BH-SOL-2067;,2001…2067 | 2081,VKM-SRC-011,SRC-011 p49 рис.2.16; p51 с.101; p119 с.237,,"Серия 20xx на плане СКРУ-2 (рис.2.16); скв. 2081 той же серии прямо названа подземной (с.101, 237) → 20xx могут быть подземными; тип UNKNOWN; подписи 2027/2023, 2025/2026, 2055/2058 читаются неуверенно.",,,FLAGGED,n/a,Легенда рис.2.16 / каталог.,OPEN
ISS-86-BLOCK,LABEL_MAY_NOT_BE_BOREHOLE,BH-SOL-86,86,VKM-SRC-014,SRC-014 p78 рис.3.1,EV-VN-S014-0501,"Подпись «86» у блока 86 — может быть номером блока, а не скважины.",,,FLAGGED,LOW,Оригинал плана.,OPEN
ISS-17-B1,MERGED_WITH_EVIDENCE,BH-B1-17,17 | № 17,VKM-SRC-014;VKM-SRC-025;VKM-SRC-011,SRC-014 p10; SRC-025 p19; SRC-011 p27 рис.1.43,,"БКПРУ-1: «севернее скважины 17» (авария 2006, SRC-014), «…» (цитата — в столбце quote) (SRC-025), скв. 17 на разрезе 1040–99 (SRC-011).","Одно шахтное поле, тот же номер, тот же западный участок.",Нет координат.,MERGED (lineage B1),MEDIUM,,OPEN
ISS-MINE-LINEAGE,MERGED_WITH_EVIDENCE,BH-B2-*;BH-B4-*;BH-B3-*,номера на картах БКПРУ-2/3/4,VKM-SRC-011;VKM-SRC-014;VKM-SRC-016,"SRC-011 рис.2.10, 2.48, 2.107, с.53, 62–63; SRC-014 рис.3.15, 3.18; SRC-016 рис.1",,"Одинаковые номера на картах одного шахтного поля (напр. 453, 498 — БКПРУ-4 в SRC-016, SRC-014 рис.3.18, SRC-011 рис.2.10) объединены.",Одно шахтное поле; внутри поля номер солеразведочной скважины уникален (на одном плане повторов нет).,Координат нет.,MERGED,MEDIUM,Каталоги скважин рудников.,OPEN
ISS-SHAFT-2BIS,MERGED_WITH_EVIDENCE,BH-SHS1-stvol_2-bis,ствол № 2-бис | СКПРУ-1 ствол 2-бис,VKM-SRC-040;VKM-SRC-037,SRC-040 p19 рис.1.4; SRC-037 p19 табл.1.7,EV-VN-S040-0126;EV-VN-S040-0057;EV-VN-S037-0204,"Ствол №2-бис СКРУ-1: отметка устья +190,15 (напечатано; система высот не указана), глубина 395,9 м; тюбинги 12,85–266,1 (SRC-040) / 12,8–266,1 (SRC-037).",Название + рудник + согласованный интервал тюбингов.,,MERGED,HIGH,,RESOLVED_BY_EVIDENCE
ISS-11-HIST,MERGED_WITH_EVIDENCE,BH-HIST-S011-11,скв. 11 (1927) | № 11,VKM-SRC-011,SRC-011 p39 с.76; p146 Прил.2,EV-VN-S011-0717,"Скв. 11, вскрывшая воды над солями в 1927 г. (101,15 м), и № 11 схемы первых скважин Соликамска (1925–1927).",Один источник; первая кампания солеразведки Соликамска.,Контекст с.76 место не указывает.,MERGED (HIST context),MEDIUM,,OPEN
ISS-DEEPREF-PICK,UNASSIGNABLE_PICK,BH-DEEP-1-OP;BH-DEEP-37-OGN,1-ОП / 37-ОГН,VKM-SRC-011,SRC-011 p174 English summary,EV-VN-S011-3816,"Вскрытая мощность вендского комплекса (Vkd) 342 м — «These wells drilled…», какой скважиной — не указано; в borehole_picks не включено (нельзя приписать скважине).",,,NOT_ASSIGNED,n/a,Русский текст SRC-011 с.13–14.,OPEN
ISS-561,POSSIBLE_SAME_NOT_MERGED,BH-SIB-S025-561;BH-SECBL-561,561,VKM-SRC-025;VKM-SRC-011;VKM-SRC-020,SRC-025 p64 рис.2.19; SRC-011 p24 рис.1.36; SRC-020 p8,EV-VN-S025-0326,Протокол испытаний «…» (цитата — в столбце quote) и скв. 561 на широтном разрезе Березниковского района.,,Атрибуция «Сибирское» неясна.,KEPT_SEPARATE,LOW,"Протокол испытаний (координаты X, Y в бланке пусты).",OPEN
ISS-SRC021-REGISTER,PROVENANCE_NOTE,BH-SOL-75,скв.75,VKM-SRC-021,"SRC-021 p1, p4",EV-VN-S021-0041,"Файл VKM-SRC-021 в реестре назван «…» (цитата — в столбце quote)», но содержимое — Евсеев А.В., Жукова И.А., Горное эхо №4(97) 2024 (методика районирования шахтных полей ВКМКС); SOURCE_COVERAGE_MASTER уже указывает Евсеев/Жукова.",,,NOTED,n/a,Исправить original_filename/title в реестре ресурсов.,OPEN
ISS-SRC030-607,DUPLICATE_ROW,BH-OIL-S030-607,607,VKM-SRC-030,SRC-030 p4 табл.1,EV-VN-S030-0032,"Скв. 607 указана в табл.1 дважды (строка известняков 2260 м и строки каменной соли 380–680 м) — одна скважина или повтор номера, не указано.",,,KEPT_AS_ONE_ROW (as sweep),LOW,,OPEN
ISS-TEACH,NOT_SITE_DATA,BH-TEACH-S020-155;BH-TEACH-S020-156;BH-TEACH-S020-157;BH-TEACH-S020-158nizhniy;BH-TEACH-S020-158verhniy;BH-TEACH-S020-166;BH-TEACH-S020-303;BH-TEACH-S020-305;BH-TEACH-S020-312;BH-TEACH-S020-335;BH-TEACH-S020-338;BH-TEACH-S020-340;BH-TEACH-S020-342;BH-TEACH-S020-348;BH-TEACH-S020-421;BH-TEACH-S020-437;BH-TEACH-S020-82,"82, 335, 338, …",VKM-SRC-020,SRC-020 p110 рис.3.5,,"Учебный гипсометрический план почвы пласта (положительные отметки, без привязки) — не данные ВКМ; значения сохранены только как текст (value_as_printed), числовые поля пусты, статус UNKNOWN.",,,CATALOGUED_NOT_USABLE,n/a,,RESOLVED_BY_EVIDENCE
ISS-GROUP-SKRU-UCS,DATA_REQUEST_TARGET,BHG-S025-0686,171 + 127 скважин,VKM-SRC-025,"SRC-025 p126 §4.6, табл.4.10",EV-VN-S025-0686,"В статистике прочности использованы 171 скважина (КрII) и 127 (АБ) по СКРУ-1/2/3; по СКРУ-1: АБ 23, КрII 45 скважин — поскважинные данные в источнике не приведены.",,,GROUP_ROW,n/a,"Запрос поскважинной таблицы (номер, отметки, мощность, σсж).",OPEN
ISS-T31-DATUM,PICK_DATUM_QUESTION,BH-SOL-234s;BH-SOL-1036;BH-SOL-120s;BH-SOL-121;BH-SOL-122;BH-SOL-122s;BH-SOL-123;BH-SOL-124;BH-SOL-127s;BH-SOL-130;BH-SOL-131s;BH-SOL-134;BH-SOL-138s;BH-SOL-139;BH-SOL-140s;BH-SOL-141s;BH-SOL-161s;BH-SOL-163s;BH-SOL-180s;BH-SOL-215;BH-SOL-216;BH-SOL-217;BH-SOL-218;BH-SOL-222;BH-SOL-23;BH-SOL-234s;BH-SOL-25;BH-SOL-30;BH-SOL-74;BH-SOL-75,234с (табл.3.1 vs рис.3.10),VKM-SRC-012,SRC-012 p65 табл.3.1; p73 рис.3.10,EV-VN-S012-0338;EV-VN-S012-0422,"Для 234с глубины табл.3.1 (ПКС 157,0; СКЗ 176,3) совпадают с отбивками рис.3.10, подписанными как MD от RKB (MD_RKB). Значит, «глубины» табл.3.1 (по крайней мере для 234с) — глубины по стволу от стола ротора, а не от поверхности земли; высота RKB над устьем не указана.",,,"FLAGGED: reference=depth_below_collar оставлен, в reference_detail/notes указано",n/a,"База Petrel/паспорт скважины: высота стола ротора, инклинометрия.",OPEN
