pick_id,borehole_id,borehole_id_as_printed,unit_as_printed,unit_canonical_guess,pick_kind,reference,reference_detail,top_depth_m,bottom_depth_m,top_abs_m,bottom_abs_m,thickness_m,value_as_printed,tvd_as_printed,units,source_id,locator,vn_id,extraction_method,quote_check,visual_check,pick_quality,order_check,status,scope,scale,confidence,notes
PK-00011,BH-SWK-S011-424,424,КрIV (whole bed),пласт КрIV,SEAM,thickness_only,,,,,,3.45,thickness_m=3.45,,m,VKM-SRC-011,p.174 English SUMMARY §1 (Key features of geological aspects of VKSD; 1.2 Stratigraphy and lithology); Russian original pdf p.11,EV-VN-S011-3817,TEXT_LAYER,EXACT,,NUMERIC,,FACT,VKM_REGIONAL,FIELD,HIGH,
PK-00012,BH-SWK-S011-424,424,КрIV upper sylvinite layer (KCl 36.88%),пласт КрIV,SEAM,thickness_only,,,,,,1.4,thickness_m=1.4,,m,VKM-SRC-011,p.174 English SUMMARY §1 (Key features of geological aspects of VKSD; 1.2 Stratigraphy and lithology); Russian original pdf p.11,EV-VN-S011-3817,TEXT_LAYER,EXACT,,NUMERIC,,FACT,VKM_REGIONAL,FIELD,HIGH,
PK-00013,BH-SWK-S011-424,424,КрIV lower sylvinite layer (KCl 17.22%),пласт КрIV,SEAM,thickness_only,,,,,,0.95,thickness_m=0.95,,m,VKM-SRC-011,p.174 English SUMMARY §1 (Key features of geological aspects of VKSD; 1.2 Stratigraphy and lithology); Russian original pdf p.11,EV-VN-S011-3817,TEXT_LAYER,EXACT,,NUMERIC,,FACT,VKM_REGIONAL,FIELD,HIGH,
PK-00014,BH-SWK-S011-983,983,КрIV (кровля),пласт КрIV,SEAM,absolute_elevation,,,,-302.29,,0.61,"top_abs_m=-302,29; thickness_m=0,61",,m,VKM-SRC-011,p.11 Табл. 1.3; рис. 1.13,EV-VN-S011-0162,OCR_VISUALLY_CONFIRMED,NOT_FOUND,,NUMERIC,,FACT,VKM_REGIONAL,FIELD,HIGH,
PK-00015,BH-SWK-S011-987,987,КрIV (кровля),пласт КрIV,SEAM,absolute_elevation,,,,-232.79,,0.6,"top_abs_m=-232,79; thickness_m=0,60",,m,VKM-SRC-011,p.11 Табл. 1.3; рис. 1.13,EV-VN-S011-0163,OCR_VISUALLY_CONFIRMED,NOT_FOUND,,NUMERIC,,FACT,VKM_REGIONAL,FIELD,HIGH,
PK-00016,BH-KAMA-S011-179,179,ПП (переходная пачка),ПП,STRAT_BOUNDARY,thickness_only,,,,,,88,thickness_m=88,,m,VKM-SRC-011,p.18 §1.2 ПП,EV-VN-S011-0302,TEXT_LAYER,FUZZY_72,,NUMERIC,,FACT,VKM_REGIONAL,FIELD,HIGH,
PK-00017,BH-SOL-74,74,Терригенно-карбонатная толща (ТКТ),ТКТ,STRAT_BOUNDARY,depth_below_collar,"Табл. 3.1 «глубина»: от поверхности или MD от стола ротора — не указано (для 234с совпадает с MD_RKB рис.3.10, ISS-T31-DATUM)",24.45,,,,,"24,45",,m,VKM-SRC-012,p.64 Табл. 3.1 / Рис. 3.2,EV-VN-S012-0314,OCR_VISUALLY_CONFIRMED,NOT_FOUND,Text-layer cross-check this stream (SRC-012 p64–65 table tokens): TEXT_LAYER_MATCH_11_COLUMNS,NUMERIC,ORDER_OK,FACT,SKRU1,FIELD,HIGH,"Табл. 3.1: шапка «Глубина залегания кровли, м»; текст с.63 называет те же числа «глубины залегания почв» — конвенция кровля/почва противоречива (см. issue PICK-CONV-T31); значение записано как напечатано в столбце"
PK-00018,BH-SOL-74,74,Соляно-мергельная толща (СМТ),СМТ,STRAT_BOUNDARY,depth_below_collar,"Табл. 3.1 «глубина»: от поверхности или MD от стола ротора — не указано (для 234с совпадает с MD_RKB рис.3.10, ISS-T31-DATUM)",213.9,,,,,"213,9",,m,VKM-SRC-012,p.64 Табл. 3.1 / Рис. 3.2,EV-VN-S012-0314,OCR_VISUALLY_CONFIRMED,NOT_FOUND,Text-layer cross-check this stream (SRC-012 p64–65 table tokens): TEXT_LAYER_MATCH_11_COLUMNS,NUMERIC,ORDER_OK,FACT,SKRU1,FIELD,HIGH,"Табл. 3.1: шапка «Глубина залегания кровли, м»; текст с.63 называет те же числа «глубины залегания почв» — конвенция кровля/почва противоречива (см. issue PICK-CONV-T31); значение записано как напечатано в столбце"
PK-00019,BH-SOL-74,74,Покровная каменная соль (ПКС),ПКС,STRAT_BOUNDARY,depth_below_collar,"Табл. 3.1 «глубина»: от поверхности или MD от стола ротора — не указано (для 234с совпадает с MD_RKB рис.3.10, ISS-T31-DATUM)",260.05,,,,,"260,05",,m,VKM-SRC-012,p.64 Табл. 3.1 / Рис. 3.2,EV-VN-S012-0314,OCR_VISUALLY_CONFIRMED,NOT_FOUND,Text-layer cross-check this stream (SRC-012 p64–65 table tokens): TEXT_LAYER_MATCH_11_COLUMNS,NUMERIC,ORDER_OK,FACT,SKRU1,FIELD,HIGH,"Табл. 3.1: шапка «Глубина залегания кровли, м»; текст с.63 называет те же числа «глубины залегания почв» — конвенция кровля/почва противоречива (см. issue PICK-CONV-T31); значение записано как напечатано в столбце"
PK-00020,BH-SOL-74,74,Карналлитовая зона (СКЗ),СКЗ,STRAT_BOUNDARY,depth_below_collar,"Табл. 3.1 «глубина»: от поверхности или MD от стола ротора — не указано (для 234с совпадает с MD_RKB рис.3.10, ISS-T31-DATUM)",315.15,,,,,"315,15",,m,VKM-SRC-012,p.64 Табл. 3.1 / Рис. 3.2,EV-VN-S012-0314,OCR_VISUALLY_CONFIRMED,NOT_FOUND,Text-layer cross-check this stream (SRC-012 p64–65 table tokens): TEXT_LAYER_MATCH_11_COLUMNS,NUMERIC,ORDER_OK,FACT,SKRU1,FIELD,HIGH,"Табл. 3.1: шапка «Глубина залегания кровли, м»; текст с.63 называет те же числа «глубины залегания почв» — конвенция кровля/почва противоречива (см. issue PICK-CONV-T31); значение записано как напечатано в столбце"
PK-00021,BH-SOL-74,74,Сильвинитовая зона (СЗ),СЗ,STRAT_BOUNDARY,depth_below_collar,"Табл. 3.1 «глубина»: от поверхности или MD от стола ротора — не указано (для 234с совпадает с MD_RKB рис.3.10, ISS-T31-DATUM)",374.95,,,,,"374,95",,m,VKM-SRC-012,p.64 Табл. 3.1 / Рис. 3.2,EV-VN-S012-0314,OCR_VISUALLY_CONFIRMED,NOT_FOUND,Text-layer cross-check this stream (SRC-012 p64–65 table tokens): TEXT_LAYER_MATCH_11_COLUMNS,NUMERIC,ORDER_OK,FACT,SKRU1,FIELD,HIGH,"Табл. 3.1: шапка «Глубина залегания кровли, м»; текст с.63 называет те же числа «глубины залегания почв» — конвенция кровля/почва противоречива (см. issue PICK-CONV-T31); значение записано как напечатано в столбце"
PK-00022,BH-SOL-74,74,"Подстилающая каменная соль (ПдКС, верхняя)",ПдКС,STRAT_BOUNDARY,depth_below_collar,"Табл. 3.1 «глубина»: от поверхности или MD от стола ротора — не указано (для 234с совпадает с MD_RKB рис.3.10, ISS-T31-DATUM)",395.1,,,,,"395,1",,m,VKM-SRC-012,p.64 Табл. 3.1 / Рис. 3.2,EV-VN-S012-0314,OCR_VISUALLY_CONFIRMED,NOT_FOUND,Text-layer cross-check this stream (SRC-012 p64–65 table tokens): TEXT_LAYER_MATCH_11_COLUMNS,NUMERIC,ORDER_OK,FACT,SKRU1,FIELD,HIGH,"Табл. 3.1: шапка «Глубина залегания кровли, м»; текст с.63 называет те же числа «глубины залегания почв» — конвенция кровля/почва противоречива (см. issue PICK-CONV-T31); значение записано как напечатано в столбце"
PK-00023,BH-B1-96,96,ПКС,ПКС,STRAT_BOUNDARY,depth_below_collar,,,167.5,,,16.6,bottom_depth_m=167.5; thickness_m=16.6,,m,VKM-SRC-011,"p.27 Рис. 1.41 (колонка), упоминание с.50-51",EV-VN-S011-0475,VISUAL_READ,EXACT,sweep visual read (not re-checked in this stream),NUMERIC,,FACT,BKPRU1,FIELD,HIGH,
PK-00024,BH-B1-96,96,"interval (ПКС–К, unnamed, 1st layer)",ПКС,STRAT_BOUNDARY,depth_below_collar,,,169.72,,,2.22,bottom_depth_m=169.72; thickness_m=2.22,,m,VKM-SRC-011,"p.27 Рис. 1.41 (колонка), упоминание с.50-51",EV-VN-S011-0475,VISUAL_READ,EXACT,sweep visual read (not re-checked in this stream),NUMERIC,,FACT,BKPRU1,FIELD,HIGH,
PK-00025,BH-B1-96,96,interval (thin layer; variegated sylvinite per legend),UNRESOLVED:interval (thin layer; variegated sylvinite per legend),STRAT_BOUNDARY,depth_below_collar,,,169.9,,,0.18,bottom_depth_m=169.9; thickness_m=0.18,,m,VKM-SRC-011,"p.27 Рис. 1.41 (колонка), упоминание с.50-51",EV-VN-S011-0475,VISUAL_READ,EXACT,sweep visual read (not re-checked in this stream),NUMERIC,,FACT,BKPRU1,FIELD,HIGH,
PK-00026,BH-B1-96,96,interval,UNRESOLVED:interval,STRAT_BOUNDARY,depth_below_collar,,,174.8,,,4.9,bottom_depth_m=174.8; thickness_m=4.9,,m,VKM-SRC-011,"p.27 Рис. 1.41 (колонка), упоминание с.50-51",EV-VN-S011-0475,VISUAL_READ,EXACT,sweep visual read (not re-checked in this stream),NUMERIC,,FACT,BKPRU1,FIELD,HIGH,
PK-00027,BH-B1-96,96,interval (thin layer),UNRESOLVED:interval (thin layer),STRAT_BOUNDARY,depth_below_collar,,,174.9,,,0.1,bottom_depth_m=174.9; thickness_m=0.1,,m,VKM-SRC-011,"p.27 Рис. 1.41 (колонка), упоминание с.50-51",EV-VN-S011-0475,VISUAL_READ,EXACT,sweep visual read (not re-checked in this stream),NUMERIC,,FACT,BKPRU1,FIELD,HIGH,
PK-00028,BH-B1-96,96,interval,UNRESOLVED:interval,STRAT_BOUNDARY,depth_below_collar,,,176.7,,,1.8,bottom_depth_m=176.7; thickness_m=1.8,,m,VKM-SRC-011,"p.27 Рис. 1.41 (колонка), упоминание с.50-51",EV-VN-S011-0475,VISUAL_READ,EXACT,sweep visual read (not re-checked in this stream),NUMERIC,,FACT,BKPRU1,FIELD,HIGH,
PK-00029,BH-B1-96,96,К,UNRESOLVED:К,STRAT_BOUNDARY,depth_below_collar,,,177.25,,,0.55,bottom_depth_m=177.25; thickness_m=0.55,,m,VKM-SRC-011,"p.27 Рис. 1.41 (колонка), упоминание с.50-51",EV-VN-S011-0475,VISUAL_READ,EXACT,sweep visual read (not re-checked in this stream),NUMERIC,,FACT,BKPRU1,FIELD,HIGH,
PK-00030,BH-B1-96,96,И-К (sub-interval 1),UNRESOLVED:И-К (sub-interval 1),STRAT_BOUNDARY,depth_below_collar,,,179.75,,,2.5,bottom_depth_m=179.75; thickness_m=2.5,,m,VKM-SRC-011,"p.27 Рис. 1.41 (колонка), упоминание с.50-51",EV-VN-S011-0475,VISUAL_READ,EXACT,sweep visual read (not re-checked in this stream),NUMERIC,,FACT,BKPRU1,FIELD,HIGH,
PK-00031,BH-B1-96,96,И-К (sub-interval 2),UNRESOLVED:И-К (sub-interval 2),STRAT_BOUNDARY,depth_below_collar,,,182.2,,,2.45,bottom_depth_m=182.2; thickness_m=2.45,,m,VKM-SRC-011,"p.27 Рис. 1.41 (колонка), упоминание с.50-51",EV-VN-S011-0475,VISUAL_READ,EXACT,sweep visual read (not re-checked in this stream),NUMERIC,,FACT,BKPRU1,FIELD,HIGH,
PK-00032,BH-B1-96,96,И-К (thin layer),UNRESOLVED:И-К (thin layer),STRAT_BOUNDARY,depth_below_collar,,,182.48,,,0.28,bottom_depth_m=182.48; thickness_m=0.28,,m,VKM-SRC-011,"p.27 Рис. 1.41 (колонка), упоминание с.50-51",EV-VN-S011-0475,VISUAL_READ,EXACT,sweep visual read (not re-checked in this stream),NUMERIC,,FACT,BKPRU1,FIELD,HIGH,
PK-00033,BH-B1-96,96,И-К (sub-interval 4),UNRESOLVED:И-К (sub-interval 4),STRAT_BOUNDARY,depth_below_collar,,,186.4,,,3.92,bottom_depth_m=186.4; thickness_m=3.92,,m,VKM-SRC-011,"p.27 Рис. 1.41 (колонка), упоминание с.50-51",EV-VN-S011-0475,VISUAL_READ,EXACT,sweep visual read (not re-checked in this stream),NUMERIC,,FACT,BKPRU1,FIELD,HIGH,
PK-00034,BH-B1-96,96,И,UNRESOLVED:И,STRAT_BOUNDARY,depth_below_collar,,,186.8,,,0.4,bottom_depth_m=186.8; thickness_m=0.4,,m,VKM-SRC-011,"p.27 Рис. 1.41 (колонка), упоминание с.50-51",EV-VN-S011-0475,VISUAL_READ,EXACT,sweep visual read (not re-checked in this stream),NUMERIC,,FACT,BKPRU1,FIELD,HIGH,
PK-00035,BH-B1-96,96,З-И (1),UNRESOLVED:З-И (1),STRAT_BOUNDARY,depth_below_collar,,,189.95,,,3.15,bottom_depth_m=189.95; thickness_m=3.15,,m,VKM-SRC-011,"p.27 Рис. 1.41 (колонка), упоминание с.50-51",EV-VN-S011-0475,VISUAL_READ,EXACT,sweep visual read (not re-checked in this stream),NUMERIC,,FACT,BKPRU1,FIELD,HIGH,
PK-00036,BH-B1-96,96,З-И (2),UNRESOLVED:З-И (2),STRAT_BOUNDARY,depth_below_collar,,,191.2,,,1.25,bottom_depth_m=191.2; thickness_m=1.25,,m,VKM-SRC-011,"p.27 Рис. 1.41 (колонка), упоминание с.50-51",EV-VN-S011-0475,VISUAL_READ,EXACT,sweep visual read (not re-checked in this stream),NUMERIC,,FACT,BKPRU1,FIELD,HIGH,
PK-00037,BH-B1-96,96,З-И (3),UNRESOLVED:З-И (3),STRAT_BOUNDARY,depth_below_collar,,,193,,,1.8,bottom_depth_m=193.0; thickness_m=1.8,,m,VKM-SRC-011,"p.27 Рис. 1.41 (колонка), упоминание с.50-51",EV-VN-S011-0475,VISUAL_READ,EXACT,sweep visual read (not re-checked in this stream),NUMERIC,,FACT,BKPRU1,FIELD,HIGH,
PK-00038,BH-B1-96,96,З,UNRESOLVED:З,STRAT_BOUNDARY,depth_below_collar,,,193.7,,,0.7,bottom_depth_m=193.7; thickness_m=0.7,,m,VKM-SRC-011,"p.27 Рис. 1.41 (колонка), упоминание с.50-51",EV-VN-S011-0475,VISUAL_READ,EXACT,sweep visual read (not re-checked in this stream),NUMERIC,,FACT,BKPRU1,FIELD,HIGH,
PK-00039,BH-B1-96,96,Ж-З (1),UNRESOLVED:Ж-З (1),STRAT_BOUNDARY,depth_below_collar,,,194.53,,,0.83,bottom_depth_m=194.53; thickness_m=0.83,,m,VKM-SRC-011,"p.27 Рис. 1.41 (колонка), упоминание с.50-51",EV-VN-S011-0475,VISUAL_READ,EXACT,sweep visual read (not re-checked in this stream),NUMERIC,,FACT,BKPRU1,FIELD,HIGH,
PK-00040,BH-B1-96,96,Ж-З (thin layer),UNRESOLVED:Ж-З (thin layer),STRAT_BOUNDARY,depth_below_collar,,,195.05,,,0.52,bottom_depth_m=195.05; thickness_m=0.52,,m,VKM-SRC-011,"p.27 Рис. 1.41 (колонка), упоминание с.50-51",EV-VN-S011-0475,VISUAL_READ,EXACT,sweep visual read (not re-checked in this stream),NUMERIC,,FACT,BKPRU1,FIELD,HIGH,
PK-00041,BH-B1-96,96,Ж-З (3),UNRESOLVED:Ж-З (3),STRAT_BOUNDARY,depth_below_collar,,,195.62,,,0.57,bottom_depth_m=195.62; thickness_m=0.57,,m,VKM-SRC-011,"p.27 Рис. 1.41 (колонка), упоминание с.50-51",EV-VN-S011-0475,VISUAL_READ,EXACT,sweep visual read (not re-checked in this stream),NUMERIC,,FACT,BKPRU1,FIELD,HIGH,
PK-00042,BH-B1-96,96,Ж-З (4),UNRESOLVED:Ж-З (4),STRAT_BOUNDARY,depth_below_collar,,,197.95,,,2.33,bottom_depth_m=197.95; thickness_m=2.33,,m,VKM-SRC-011,"p.27 Рис. 1.41 (колонка), упоминание с.50-51",EV-VN-S011-0475,VISUAL_READ,EXACT,sweep visual read (not re-checked in this stream),NUMERIC,,FACT,BKPRU1,FIELD,HIGH,
PK-00043,BH-B1-96,96,Ж,UNRESOLVED:Ж,STRAT_BOUNDARY,depth_below_collar,,,198.56,,,0.61,bottom_depth_m=198.56; thickness_m=0.61,,m,VKM-SRC-011,"p.27 Рис. 1.41 (колонка), упоминание с.50-51",EV-VN-S011-0475,VISUAL_READ,EXACT,sweep visual read (not re-checked in this stream),NUMERIC,,FACT,BKPRU1,FIELD,HIGH,
PK-00044,BH-B1-96,96,Ж (thin layer),UNRESOLVED:Ж (thin layer),STRAT_BOUNDARY,depth_below_collar,,,198.74,,,0.18,bottom_depth_m=198.74; thickness_m=0.18,,m,VKM-SRC-011,"p.27 Рис. 1.41 (колонка), упоминание с.50-51",EV-VN-S011-0475,VISUAL_READ,EXACT,sweep visual read (not re-checked in this stream),NUMERIC,,FACT,BKPRU1,FIELD,HIGH,
PK-00045,BH-B1-96,96,Е-Ж (top only; bottom not shown),UNRESOLVED:Е-Ж (top only; bottom not shown),QUALITATIVE,unknown,,,,,,,,,m,VKM-SRC-011,"p.27 Рис. 1.41 (колонка), упоминание с.50-51",EV-VN-S011-0475,VISUAL_READ,EXACT,sweep visual read (not re-checked in this stream),QUALITATIVE_NO_VALUE,,FACT,BKPRU1,FIELD,HIGH,
PK-00046,BH-B1-43s,43с,Терригенно-карбонатная толща P1sl2 (ТКТ) — level printed in column,ТКТ,STRAT_BOUNDARY,depth_below_collar,,,108.58,,0,,bottom_depth_m=108.58; bottom_abs_m=0.0,,m,VKM-SRC-011,p.27 Рис. 1.43,EV-VN-S011-0490,VISUAL_READ,EXACT,sweep visual read (not re-checked in this stream),NUMERIC,,FACT,BKPRU1,FIELD,HIGH,
PK-00047,BH-B1-91,91,СМТ (P1sl1) internal level,СМТ,STRAT_BOUNDARY,depth_below_collar,,,148,,,,bottom_depth_m=148.0,,m,VKM-SRC-011,p.27 Рис. 1.43,EV-VN-S011-0491,VISUAL_READ,NOT_FOUND,sweep visual read (not re-checked in this stream),NUMERIC,,FACT,BKPRU1,FIELD,HIGH,
PK-00048,BH-B1-91,91,СМТ internal level,СМТ,STRAT_BOUNDARY,depth_below_collar,,,150.55,,,,bottom_depth_m=150.55,,m,VKM-SRC-011,p.27 Рис. 1.43,EV-VN-S011-0491,VISUAL_READ,NOT_FOUND,sweep visual read (not re-checked in this stream),NUMERIC,,FACT,BKPRU1,FIELD,HIGH,
PK-00049,BH-B1-91,91,СМТ internal level,СМТ,STRAT_BOUNDARY,depth_below_collar,,,153.75,,,,bottom_depth_m=153.75,,m,VKM-SRC-011,p.27 Рис. 1.43,EV-VN-S011-0491,VISUAL_READ,NOT_FOUND,sweep visual read (not re-checked in this stream),NUMERIC,,FACT,BKPRU1,FIELD,HIGH,
PK-00050,BH-B1-91,91,СМТ internal level,СМТ,STRAT_BOUNDARY,depth_below_collar,,,159.5,,,,bottom_depth_m=159.5,,m,VKM-SRC-011,p.27 Рис. 1.43,EV-VN-S011-0491,VISUAL_READ,NOT_FOUND,sweep visual read (not re-checked in this stream),NUMERIC,,FACT,BKPRU1,FIELD,HIGH,
PK-00051,BH-B1-91,91,СМТ internal level,СМТ,STRAT_BOUNDARY,depth_below_collar,,,162.35,,,,bottom_depth_m=162.35,,m,VKM-SRC-011,p.27 Рис. 1.43,EV-VN-S011-0491,VISUAL_READ,NOT_FOUND,sweep visual read (not re-checked in this stream),NUMERIC,,FACT,BKPRU1,FIELD,HIGH,
PK-00052,BH-B1-91,91,СМТ internal level,СМТ,STRAT_BOUNDARY,depth_below_collar,,,189.95,,,,bottom_depth_m=189.95,,m,VKM-SRC-011,p.27 Рис. 1.43,EV-VN-S011-0491,VISUAL_READ,NOT_FOUND,sweep visual read (not re-checked in this stream),NUMERIC,,FACT,BKPRU1,FIELD,HIGH,
PK-00053,BH-B1-91,91,СМТ (P1sl1) — base / top of ПП,СМТ,STRAT_BOUNDARY,depth_below_collar,,,197.15,,-88.94,,bottom_depth_m=197.15; bottom_abs_m=-88.94,,m,VKM-SRC-011,p.27 Рис. 1.43,EV-VN-S011-0491,VISUAL_READ,NOT_FOUND,sweep visual read (not re-checked in this stream),NUMERIC,,FACT,BKPRU1,FIELD,HIGH,
PK-00054,BH-B1-91,91,ПП internal level,ПП,STRAT_BOUNDARY,depth_below_collar,,,205.6,,,,bottom_depth_m=205.6,,m,VKM-SRC-011,p.27 Рис. 1.43,EV-VN-S011-0491,VISUAL_READ,NOT_FOUND,sweep visual read (not re-checked in this stream),NUMERIC,,FACT,BKPRU1,FIELD,HIGH,
PK-00055,BH-B1-17,17,СП (сильвинитовая пачка) — base / КрIII at base,СЗ,STRAT_BOUNDARY,depth_below_collar,,,281.11,,-172.35,,bottom_depth_m=281.11; bottom_abs_m=-172.35,,m,VKM-SRC-011,p.27 Рис. 1.43,EV-VN-S011-0492,VISUAL_READ,NOT_FOUND,sweep visual read (not re-checked in this stream),NUMERIC,,FACT,BKPRU1,FIELD,HIGH,
PK-00056,BH-B1-17,17,"ПдКС (P1br2) internal level (thin clay/marl interlayer, likely маркирующая глина?)",ПдКС,STRAT_BOUNDARY,depth_below_collar,,308.5,309.76,-199.74,,,top_depth_m=308.5; bottom_depth_m=309.76; top_abs_m=-199.74,,m,VKM-SRC-011,p.27 Рис. 1.43,EV-VN-S011-0492,VISUAL_READ,NOT_FOUND,sweep visual read (not re-checked in this stream),NUMERIC,ORDER_OK,FACT,BKPRU1,FIELD,HIGH,
PK-00057,BH-B1-16,16,ПдКС (P1br2) interval shown,ПдКС,STRAT_BOUNDARY,depth_below_collar,,377.72,452.72,-265,-340,,top_depth_m=377.72; bottom_depth_m=452.72; top_abs_m=-265.0; bottom_abs_m=-340.0,,m,VKM-SRC-011,p.27 Рис. 1.43,EV-VN-S011-0493,VISUAL_READ,NOT_FOUND,sweep visual read (not re-checked in this stream),NUMERIC,ORDER_OK,FACT,BKPRU1,FIELD,HIGH,
PK-00058,BH-B1-99,99,ПдКС — base / top of ГАТ (P1br1),ПдКС,STRAT_BOUNDARY,depth_below_collar,,,616.55,,-498.97,,bottom_depth_m=616.55; bottom_abs_m=-498.97,,m,VKM-SRC-011,p.27 Рис. 1.43,EV-VN-S011-0494,VISUAL_READ,NOT_FOUND,sweep visual read (not re-checked in this stream),NUMERIC,,FACT,BKPRU1,FIELD,HIGH,
PK-00059,BH-B1-99,99,ГАТ internal salt interlayer,ГАТ,STRAT_BOUNDARY,depth_below_collar,,678.85,680.85,-561.27,-563.27,,top_depth_m=678.85; bottom_depth_m=680.85; top_abs_m=-561.27; bottom_abs_m=-563.27,,m,VKM-SRC-011,p.27 Рис. 1.43,EV-VN-S011-0494,VISUAL_READ,NOT_FOUND,sweep visual read (not re-checked in this stream),NUMERIC,ORDER_OK,FACT,BKPRU1,FIELD,HIGH,
PK-00060,BH-B1-99,99,C3-P1 aquifer: fractured dolomitized limestones (water-bearing pack),UNRESOLVED:C3-P1 aquifer: fractured dolomitized limestones (water-beari,STRAT_BOUNDARY,depth_below_collar,,866,,,,50,top_depth_m=866.0; thickness_m=50.0,,m,VKM-SRC-011,p.40 текст с.78,EV-VN-S011-0762,TEXT_LAYER,EXACT,,NUMERIC,,FACT,BKPRU1,FIELD,HIGH,
PK-00061,BH-DUR-S011-550,550,гипс/ангидрит в ТКТ,ТКТ,STRAT_BOUNDARY,thickness_only,,,,,,3,thickness_m=3,,m,VKM-SRC-011,p.62 стр. 122-123,EV-VN-S011-1286,TEXT_LAYER,NOT_FOUND,,NUMERIC,,FACT,OTHER_VKM_SITE,FIELD,HIGH,
