point_id,profile_id,point_type,process_family,risk_score_private,base_rate_mm_y,decay_tau_y,event_onset_date,second_event_date,event_amplitude_mm_y,step_duration_months,technical_anchor_date_private,source_reference_year,source_reference_date,source_reference_status,provenance
P-H06-W005,P-H06,WORK,stable,0.2582736671,1.730654591,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H06-W006,P-H06,WORK,stable,0.3406820485,2.146490296,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H06-W007,P-H06,WORK,stable,0.2672767204,1.693159533,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H07-REF-A,P-H07,REF,stable_reference,0,0,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H07-REF-B,P-H07,REF,stable_reference,0,0,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H07-W001,P-H07,WORK,uniform_creep,0.5635802533,35.61142734,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H07-W002,P-H07,WORK,decaying,0.5842367895,100.2121791,3.019966357,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H07-W003,P-H07,WORK,stable,0.456413691,2.327825653,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H07-W004,P-H07,WORK,uniform_creep,0.5481156483,32.24085596,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H07-W005,P-H07,WORK,stable,0.4039487393,2.15257736,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H07-W006,P-H07,WORK,uniform_creep,0.4654634797,35.02658697,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-H07-W007,P-H07,WORK,uniform_creep,0.5311744263,30.61432803,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V01-REF-A,P-V01,REF,stable_reference,0,0,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V01-REF-B,P-V01,REF,stable_reference,0,0,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V01-W001,P-V01,WORK,uniform_creep,0.4799527147,30.4543524,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V01-W002,P-V01,WORK,uniform_creep,0.4856692402,34.25106652,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V01-W003,P-V01,WORK,decaying,0.5931500334,97.92912248,2.625351099,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V01-W004,P-V01,WORK,decaying,0.5805654086,102.3523894,2.361171697,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V01-W005,P-V01,WORK,decaying,0.6218652083,99.84891939,3.154827986,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V01-W006,P-V01,WORK,uniform_creep,0.5507723915,37.84940521,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V01-W007,P-V01,WORK,decaying,0.5935760025,106.2853982,3.023889393,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V02-REF-A,P-V02,REF,stable_reference,0,0,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V02-REF-B,P-V02,REF,stable_reference,0,0,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V02-W001,P-V02,WORK,decaying,0.6196131066,108.7140191,2.702133904,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V02-W002,P-V02,WORK,decaying,0.6024073024,93.51694236,4.067861698,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V02-W003,P-V02,WORK,uniform_creep,0.5371347315,36.13750056,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V02-W004,P-V02,WORK,uniform_creep,0.4679968163,32.65788418,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V02-W005,P-V02,WORK,decaying,0.6270595243,95.63747494,4.43860935,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V02-W006,P-V02,WORK,step_change,0.7230488102,26.73729703,,2025-04-01,,150.109297,3,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V02-W007,P-V02,WORK,uniform_creep,0.5402236177,36.31127916,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V03-REF-A,P-V03,REF,stable_reference,0,0,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V03-REF-B,P-V03,REF,stable_reference,0,0,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V03-W001,P-V03,WORK,uniform_creep,0.5478593664,31.24989143,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V03-W002,P-V03,WORK,uniform_creep,0.5531174838,36.30159343,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V03-W003,P-V03,WORK,uniform_creep,0.5342897907,36.92205939,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V03-W004,P-V03,WORK,accelerating,0.6450754722,21.52208502,,2025-03-01,,116.0571424,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V03-W005,P-V03,WORK,uniform_creep,0.5638703901,33.91913446,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V03-W006,P-V03,WORK,uniform_creep,0.4895881073,31.43919762,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V03-W007,P-V03,WORK,stable,0.4536244668,2.336951502,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V04-REF-A,P-V04,REF,stable_reference,0,0,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V04-REF-B,P-V04,REF,stable_reference,0,0,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V04-W001,P-V04,WORK,stable,0.2995027795,2.257367937,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V04-W002,P-V04,WORK,stable,0.3229068737,1.937395409,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V04-W003,P-V04,WORK,stable,0.3053393102,2.270671988,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V04-W004,P-V04,WORK,stable,0.3363964313,2.478679153,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V04-W005,P-V04,WORK,stable,0.3125955151,1.714235728,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V04-W006,P-V04,WORK,stable,0.3223923554,1.85301128,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V04-W007,P-V04,WORK,uniform_creep,0.4861975046,32.97220997,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V05-REF-A,P-V05,REF,stable_reference,0,0,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V05-REF-B,P-V05,REF,stable_reference,0,0,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V05-W001,P-V05,WORK,accelerating,0.6541066805,23.35386002,,2025-05-01,,125.1192481,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V05-W002,P-V05,WORK,decaying,0.5806659697,105.014727,2.05607631,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V05-W003,P-V05,WORK,uniform_creep,0.554464252,32.62606546,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V05-W004,P-V05,WORK,uniform_creep,0.5009699032,35.22772458,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V05-W005,P-V05,WORK,uniform_creep,0.5564020726,32.89043126,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V05-W006,P-V05,WORK,accelerating,0.6281563842,22.60103467,,2025-07-01,,113.923741,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V05-W007,P-V05,WORK,uniform_creep,0.5335135083,33.67357918,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V06-REF-A,P-V06,REF,stable_reference,0,0,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V06-REF-B,P-V06,REF,stable_reference,0,0,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V06-W001,P-V06,WORK,uniform_creep,0.4822581637,29.47765875,,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V06-W002,P-V06,WORK,accelerating,0.6477029956,22.44654783,,2025-09-01,,124.8872868,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V06-W003,P-V06,WORK,step_change,0.7792960835,30.99954448,,2025-08-01,,164.0009747,4,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V06-W004,P-V06,WORK,reactivated,0.7005977632,61.0053321,2.528748827,2018-01-01,2025-08-01,145.1306097,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V06-W005,P-V06,WORK,decaying,0.6215675656,104.1762818,4.365492248,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V06-W006,P-V06,WORK,decaying,0.5697127393,90.35826957,2.742720091,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
P-V06-W007,P-V06,WORK,decaying,0.6087362298,107.1716651,2.648304113,,,0,0,2022-07-01,2022,,year_supported_exact_date_unknown,S_PRIVATE
