point_id,profile_id,campaign_id,date,previous_campaign_id,previous_date,interval_days,settlement_rate_mm_y,standard_uncertainty_rate_mm_y,provenance
P-D01-W002,P-D01,C016,2022-05-17,C015,2022-03-01,77,45.15365961,4.934225256,C/S
P-D01-W002,P-D01,C017,2022-07-19,C016,2022-05-17,63,45.0199747,6.022362811,C/S
P-D01-W002,P-D01,C018,2022-10-18,C017,2022-07-19,91,45.99918987,4.114078755,C/S
P-D01-W002,P-D01,C020,2023-05-16,C018,2022-10-18,210,48.90749102,1.777362748,C/S
P-D01-W002,P-D01,C022,2023-11-07,C020,2023-05-16,175,33.77527218,2.145690143,C/S
P-D01-W002,P-D01,C023,2024-01-30,C022,2023-11-07,84,37.40179904,4.508318509,C/S
P-D01-W002,P-D01,C024,2024-05-14,C023,2024-01-30,105,38.97078738,3.543779378,C/S
P-D01-W002,P-D01,C026,2024-09-03,C024,2024-05-14,112,30.74755009,4.914808531,C/S
P-D01-W002,P-D01,C027,2025-07-22,C026,2024-09-03,322,34.18318029,1.719852543,C/S
P-D01-W002,P-D01,C029,2025-11-04,C027,2025-07-22,105,25.42193763,4.061157781,C/S
P-D01-W003,P-D01,C003,2018-10-16,C001,2018-05-15,154,4.360642223,3.173291396,C/S
P-D01-W003,P-D01,C005,2019-05-14,C003,2018-10-16,210,3.415199339,2.328925214,C/S
P-D01-W003,P-D01,C007,2019-11-05,C005,2019-05-14,175,4.232272424,2.364484871,C/S
P-D01-W003,P-D01,C008,2020-04-21,C007,2019-11-05,168,-0.3749137848,3.229491954,C/S
P-D01-W003,P-D01,C010,2020-10-20,C008,2020-04-21,182,5.514072172,2.853007687,C/S
P-D01-W003,P-D01,C012,2021-05-18,C010,2020-10-20,210,1.425230013,1.82701835,C/S
P-D01-W003,P-D01,C014,2021-11-02,C012,2021-05-18,168,5.494541697,2.265251227,C/S
P-D01-W003,P-D01,C015,2022-03-01,C014,2021-11-02,119,4.072950465,3.176692903,C/S
P-D01-W003,P-D01,C016,2022-05-17,C015,2022-03-01,77,-3.417058505,5.000577105,C/S
P-D01-W003,P-D01,C018,2022-10-18,C016,2022-05-17,154,7.043165709,2.526784109,C/S
P-D01-W003,P-D01,C020,2023-05-16,C018,2022-10-18,210,5.898387469,1.80501438,C/S
P-D01-W003,P-D01,C022,2023-11-07,C020,2023-05-16,175,-2.245238739,2.177914395,C/S
P-D01-W003,P-D01,C023,2024-01-30,C022,2023-11-07,84,8.5020914,4.574939155,C/S
P-D01-W003,P-D01,C024,2024-05-14,C023,2024-01-30,105,5.381119186,3.603596771,C/S
P-D01-W003,P-D01,C026,2024-09-03,C024,2024-05-14,112,-0.802944927,4.968602364,C/S
P-D01-W003,P-D01,C027,2025-07-22,C026,2024-09-03,322,3.458560774,1.73540908,C/S
P-D01-W003,P-D01,C029,2025-11-04,C027,2025-07-22,105,4.122623257,4.108393176,C/S
P-D01-W004,P-D01,C003,2018-10-16,C001,2018-05-15,154,4.586459393,3.058619593,C/S
P-D01-W004,P-D01,C005,2019-05-14,C003,2018-10-16,210,2.355925401,2.241817073,C/S
P-D01-W004,P-D01,C007,2019-11-05,C005,2019-05-14,175,3.739018334,2.384598932,C/S
P-D01-W004,P-D01,C008,2020-04-21,C007,2019-11-05,168,-0.6037189012,3.265443381,C/S
P-D01-W004,P-D01,C010,2020-10-20,C008,2020-04-21,182,4.385185873,2.884984319,C/S
P-D01-W004,P-D01,C012,2021-05-18,C010,2020-10-20,210,2.357454974,1.843370783,C/S
P-D01-W004,P-D01,C014,2021-11-02,C012,2021-05-18,168,1.916077689,2.288502717,C/S
P-D01-W004,P-D01,C015,2022-03-01,C014,2021-11-02,119,3.651267826,3.200480698,C/S
P-D01-W004,P-D01,C016,2022-05-17,C015,2022-03-01,77,0.36220908,5.043630332,C/S
P-D01-W004,P-D01,C018,2022-10-18,C016,2022-05-17,154,5.209092001,2.553081038,C/S
P-D01-W004,P-D01,C020,2023-05-16,C018,2022-10-18,210,4.963150185,1.828046076,C/S
P-D01-W004,P-D01,C022,2023-11-07,C020,2023-05-16,175,-2.591034941,2.204339024,C/S
P-D01-W004,P-D01,C023,2024-01-30,C022,2023-11-07,84,3.528928896,4.631441738,C/S
P-D01-W004,P-D01,C024,2024-05-14,C023,2024-01-30,105,9.934283593,3.658040505,C/S
P-D01-W004,P-D01,C026,2024-09-03,C024,2024-05-14,112,-0.1664419848,4.996271075,C/S
P-D01-W004,P-D01,C027,2025-07-22,C026,2024-09-03,322,3.00199171,1.739689014,C/S
P-D01-W004,P-D01,C029,2025-11-04,C027,2025-07-22,105,0.1811230071,4.138906962,C/S
P-D01-W005,P-D01,C003,2018-10-16,C001,2018-05-15,154,34.29478621,2.977496763,C/S
P-D01-W005,P-D01,C005,2019-05-14,C003,2018-10-16,210,34.94175585,2.180316348,C/S
P-D01-W005,P-D01,C007,2019-11-05,C005,2019-05-14,175,36.73234006,2.376307664,C/S
P-D01-W005,P-D01,C008,2020-04-21,C007,2019-11-05,168,30.27102401,3.260383397,C/S
P-D01-W005,P-D01,C009,2020-06-02,C008,2020-04-21,42,42.41228111,12.41719139,C/S
P-D01-W005,P-D01,C010,2020-10-20,C009,2020-06-02,140,30.44669765,2.728711823,C/S
P-D01-W005,P-D01,C012,2021-05-18,C010,2020-10-20,210,38.51940639,1.838237909,C/S
P-D01-W005,P-D01,C014,2021-11-02,C012,2021-05-18,168,37.21305199,2.283394018,C/S
P-D01-W005,P-D01,C015,2022-03-01,C014,2021-11-02,119,39.04444654,3.186964369,C/S
P-D01-W005,P-D01,C016,2022-05-17,C015,2022-03-01,77,39.07603216,5.024264801,C/S
P-D01-W005,P-D01,C017,2022-07-19,C016,2022-05-17,63,42.74465833,6.182076826,C/S
P-D01-W005,P-D01,C018,2022-10-18,C017,2022-07-19,91,41.86047592,4.237107428,C/S
P-D01-W005,P-D01,C020,2023-05-16,C018,2022-10-18,210,44.80542188,1.826378365,C/S
P-D01-W005,P-D01,C022,2023-11-07,C020,2023-05-16,175,34.85124085,2.201861297,C/S
P-D01-W005,P-D01,C023,2024-01-30,C022,2023-11-07,84,40.71566902,4.628630962,C/S
P-D01-W005,P-D01,C024,2024-05-14,C023,2024-01-30,105,46.62249621,3.66024854,C/S
P-D01-W005,P-D01,C026,2024-09-03,C024,2024-05-14,112,37.09269794,4.971395727,C/S
P-D01-W005,P-D01,C027,2025-07-22,C026,2024-09-03,322,34.86447948,1.727804932,C/S
P-D01-W005,P-D01,C029,2025-11-04,C027,2025-07-22,105,38.09073187,4.124871295,C/S
P-D01-W006,P-D01,C003,2018-10-16,C001,2018-05-15,154,48.81245167,2.830651824,C/S
P-D01-W006,P-D01,C005,2019-05-14,C003,2018-10-16,210,40.79376506,2.069117192,C/S
P-D01-W006,P-D01,C007,2019-11-05,C005,2019-05-14,175,38.7129413,2.330997218,C/S
P-D01-W006,P-D01,C008,2020-04-21,C007,2019-11-05,168,25.68797193,3.2104061,C/S
P-D01-W006,P-D01,C009,2020-06-02,C008,2020-04-21,42,29.2319166,12.23690865,C/S
P-D01-W006,P-D01,C010,2020-10-20,C009,2020-06-02,140,21.49590971,2.669922093,C/S
P-D01-W006,P-D01,C012,2021-05-18,C010,2020-10-20,210,24.04250629,1.806522363,C/S
P-D01-W006,P-D01,C014,2021-11-02,C012,2021-05-18,168,27.90570993,2.245238578,C/S
P-D01-W006,P-D01,C015,2022-03-01,C014,2021-11-02,119,44.81280327,3.121579526,C/S
P-D01-W006,P-D01,C016,2022-05-17,C015,2022-03-01,77,61.19684164,4.922084531,C/S
P-D01-W006,P-D01,C017,2022-07-19,C016,2022-05-17,63,77.38306307,6.093420861,C/S
P-D01-W006,P-D01,C018,2022-10-18,C017,2022-07-19,91,94.39128591,4.190107233,C/S
P-D01-W006,P-D01,C020,2023-05-16,C018,2022-10-18,210,129.027225,1.7993526,C/S
P-D01-W006,P-D01,C022,2023-11-07,C020,2023-05-16,175,148.3317664,2.16906454,C/S
P-D01-W006,P-D01,C023,2024-01-30,C022,2023-11-07,84,153.3295393,4.566405245,C/S
P-D01-W006,P-D01,C024,2024-05-14,C023,2024-01-30,105,156.2241939,3.615891218,C/S
P-D01-W006,P-D01,C026,2024-09-03,C024,2024-05-14,112,149.5959608,4.866325175,C/S
P-D01-W006,P-D01,C027,2025-07-22,C026,2024-09-03,322,151.3889814,1.686040665,C/S
P-D01-W006,P-D01,C029,2025-11-04,C027,2025-07-22,105,160.2642776,4.05157247,C/S
P-D01-W007,P-D01,C003,2018-10-16,C001,2018-05-15,154,56.83258046,2.667375332,C/S
P-D01-W007,P-D01,C005,2019-05-14,C003,2018-10-16,210,47.98927912,1.945529676,C/S
P-D01-W007,P-D01,C007,2019-11-05,C005,2019-05-14,175,45.59503641,2.249820465,C/S
P-D01-W007,P-D01,C008,2020-04-21,C007,2019-11-05,168,32.95709782,3.113719456,C/S
P-D01-W007,P-D01,C009,2020-06-02,C008,2020-04-21,42,46.16659946,11.87924112,C/S
P-D01-W007,P-D01,C010,2020-10-20,C009,2020-06-02,140,25.48567181,2.570425661,C/S
P-D01-W007,P-D01,C012,2021-05-18,C010,2020-10-20,210,33.7851846,1.748587298,C/S
P-D01-W007,P-D01,C014,2021-11-02,C012,2021-05-18,168,23.14066627,2.173599229,C/S
P-D01-W007,P-D01,C015,2022-03-01,C014,2021-11-02,119,16.18846739,3.007137396,C/S
P-D01-W007,P-D01,C016,2022-05-17,C015,2022-03-01,77,21.97274873,4.739962922,C/S
P-D01-W007,P-D01,C017,2022-07-19,C016,2022-05-17,63,21.53602464,5.909212655,C/S
P-D01-W007,P-D01,C018,2022-10-18,C017,2022-07-19,91,26.54855263,4.082110269,C/S
P-D01-W007,P-D01,C020,2023-05-16,C018,2022-10-18,210,21.04167045,1.7451225,C/S
P-D01-W007,P-D01,C022,2023-11-07,C020,2023-05-16,175,10.27448471,2.10408889,C/S
P-D01-W007,P-D01,C023,2024-01-30,C022,2023-11-07,84,14.21242298,4.4398982,C/S
P-D01-W007,P-D01,C024,2024-05-14,C023,2024-01-30,105,18.30785597,3.51812533,C/S
P-D01-W007,P-D01,C026,2024-09-03,C024,2024-05-14,112,8.654135482,4.688242612,C/S
P-D01-W007,P-D01,C027,2025-07-22,C026,2024-09-03,322,10.59669957,1.618789974,C/S
P-D01-W007,P-D01,C029,2025-11-04,C027,2025-07-22,105,15.40252051,3.921653347,C/S
P-H01-REF-A,P-H01,C003,2018-10-16,C001,2018-05-15,154,-0.8622478557,2.715829985,C/S
P-H01-REF-A,P-H01,C005,2019-05-14,C003,2018-10-16,210,0.4825707817,1.991608656,C/S
P-H01-REF-A,P-H01,C007,2019-11-05,C005,2019-05-14,175,-2.847809786,1.770999441,C/S
P-H01-REF-A,P-H01,C008,2020-04-21,C007,2019-11-05,168,1.838923342,1.844791084,C/S
P-H01-REF-A,P-H01,C010,2020-10-20,C008,2020-04-21,182,-1.589195473,2.100190716,C/S
P-H01-REF-A,P-H01,C012,2021-05-18,C010,2020-10-20,210,2.725968574,1.820165287,C/S
P-H01-REF-A,P-H01,C014,2021-11-02,C012,2021-05-18,168,-2.261612321,1.844791084,C/S
P-H01-REF-A,P-H01,C016,2022-05-17,C014,2021-11-02,196,0.7147463115,2.158383238,C/S
P-H01-REF-A,P-H01,C018,2022-10-18,C016,2022-05-17,154,-0.5103665902,2.747033212,C/S
P-H01-REF-A,P-H01,C019,2023-01-17,C018,2022-10-18,91,-3.260542187,3.405768156,C/S
P-H01-REF-A,P-H01,C020,2023-05-16,C019,2023-01-17,119,4.118868665,2.604410943,C/S
P-H01-REF-A,P-H01,C022,2023-11-07,C020,2023-05-16,175,-0.4783653107,1.838760578,C/S
P-H01-REF-A,P-H01,C023,2024-01-30,C022,2023-11-07,84,-0.5676198915,5.144874204,C/S
P-H01-REF-A,P-H01,C024,2024-05-14,C023,2024-01-30,105,-2.444410105,4.032515234,C/S
P-H01-REF-A,P-H01,C025,2024-07-09,C024,2024-05-14,56,5.770966198,5.534373253,C/S
P-H01-REF-A,P-H01,C027,2025-07-22,C025,2024-07-09,378,-0.02397676669,0.8199071487,C/S
P-H01-REF-A,P-H01,C029,2025-11-04,C027,2025-07-22,105,4.010516854,2.951665735,C/S
P-H01-REF-B,P-H01,C003,2018-10-16,C001,2018-05-15,154,3.562089181,2.823556501,C/S
P-H01-REF-B,P-H01,C005,2019-05-14,C003,2018-10-16,210,-1.894515713,2.070608101,C/S
P-H01-REF-B,P-H01,C007,2019-11-05,C005,2019-05-14,175,0.1438268046,1.770999441,C/S
P-H01-REF-B,P-H01,C008,2020-04-21,C007,2019-11-05,168,0.9846482039,1.844791084,C/S
P-H01-REF-B,P-H01,C010,2020-10-20,C008,2020-04-21,182,-1.31862358,2.037027868,C/S
P-H01-REF-B,P-H01,C012,2021-05-18,C010,2020-10-20,210,1.740522386,1.765424153,C/S
P-H01-REF-B,P-H01,C014,2021-11-02,C012,2021-05-18,168,-2.387675783,1.844791084,C/S
P-H01-REF-B,P-H01,C016,2022-05-17,C014,2021-11-02,196,0.920837311,2.111171392,C/S
P-H01-REF-B,P-H01,C018,2022-10-18,C016,2022-05-17,154,3.264743236,2.686945408,C/S
P-H01-REF-B,P-H01,C019,2023-01-17,C018,2022-10-18,91,-2.802483074,3.405768156,C/S
P-H01-REF-B,P-H01,C020,2023-05-16,C019,2023-01-17,119,0.3200998382,2.604410943,C/S
P-H01-REF-B,P-H01,C022,2023-11-07,C020,2023-05-16,175,-0.8071881075,1.908093504,C/S
P-H01-REF-B,P-H01,C023,2024-01-30,C022,2023-11-07,84,-1.048147874,5.528283008,C/S
P-H01-REF-B,P-H01,C024,2024-05-14,C023,2024-01-30,105,-3.724240843,4.261286634,C/S
P-H01-REF-B,P-H01,C025,2024-07-09,C024,2024-05-14,56,10.60969398,5.534373253,C/S
P-H01-REF-B,P-H01,C027,2025-07-22,C025,2024-07-09,378,-0.8049156249,0.8199071487,C/S
P-H01-REF-B,P-H01,C029,2025-11-04,C027,2025-07-22,105,-1.975222576,2.951665735,C/S
P-H01-W001,P-H01,C003,2018-10-16,C001,2018-05-15,154,42.01776088,3.831330308,C/S
P-H01-W001,P-H01,C005,2019-05-14,C003,2018-10-16,210,38.66752184,2.818669272,C/S
P-H01-W001,P-H01,C007,2019-11-05,C005,2019-05-14,175,36.18310465,2.250739633,C/S
P-H01-W001,P-H01,C008,2020-04-21,C007,2019-11-05,168,32.27517974,2.295478402,C/S
P-H01-W001,P-H01,C010,2020-10-20,C008,2020-04-21,182,27.01447903,2.843126682,C/S
P-H01-W001,P-H01,C012,2021-05-18,C010,2020-10-20,210,31.39135194,2.469860098,C/S
P-H01-W001,P-H01,C014,2021-11-02,C012,2021-05-18,168,23.41502259,2.248001553,C/S
P-H01-W001,P-H01,C016,2022-05-17,C014,2021-11-02,196,23.13233246,2.895762973,C/S
P-H01-W001,P-H01,C018,2022-10-18,C016,2022-05-17,154,17.84098184,3.673102789,C/S
P-H01-W001,P-H01,C019,2023-01-17,C018,2022-10-18,91,15.06318554,4.107338054,C/S
P-H01-W001,P-H01,C020,2023-05-16,C019,2023-01-17,119,24.3416034,3.233266819,C/S
P-H01-W001,P-H01,C022,2023-11-07,C020,2023-05-16,175,18.63422492,2.42718032,C/S
P-H01-W001,P-H01,C023,2024-01-30,C022,2023-11-07,84,8.786997544,7.427676143,C/S
P-H01-W001,P-H01,C024,2024-05-14,C023,2024-01-30,105,14.07419634,5.764215359,C/S
P-H01-W001,P-H01,C029,2025-11-04,C024,2024-05-14,539,14.75419855,0.7251474994,C/S
P-H01-W002,P-H01,C003,2018-10-16,C001,2018-05-15,154,10.43923947,4.088866533,C/S
P-H01-W002,P-H01,C005,2019-05-14,C003,2018-10-16,210,12.11719491,3.006359683,C/S
P-H01-W002,P-H01,C007,2019-11-05,C005,2019-05-14,175,23.16419031,2.377057276,C/S
P-H01-W002,P-H01,C008,2020-04-21,C007,2019-11-05,168,16.96194963,2.433136871,C/S
P-H01-W002,P-H01,C010,2020-10-20,C008,2020-04-21,182,17.42116263,3.028380475,C/S
P-H01-W002,P-H01,C012,2021-05-18,C010,2020-10-20,210,37.78613479,2.631171212,C/S
P-H01-W002,P-H01,C014,2021-11-02,C012,2021-05-18,168,60.40185921,2.398649788,C/S
P-H01-W002,P-H01,C016,2022-05-17,C014,2021-11-02,196,100.9477933,3.071770764,C/S
P-H01-W002,P-H01,C018,2022-10-18,C016,2022-05-17,154,124.3371144,3.896704099,C/S
P-H01-W002,P-H01,C019,2023-01-17,C018,2022-10-18,91,118.2567244,4.385912875,C/S
P-H01-W002,P-H01,C020,2023-05-16,C019,2023-01-17,119,139.7444448,3.429832242,C/S
P-H01-W002,P-H01,C022,2023-11-07,C020,2023-05-16,175,138.5381687,2.562274089,C/S
P-H01-W002,P-H01,C023,2024-01-30,C022,2023-11-07,84,127.862743,7.924895317,C/S
P-H01-W002,P-H01,C024,2024-05-14,C023,2024-01-30,105,137.6283453,6.142041013,C/S
P-H01-W002,P-H01,C025,2024-07-09,C024,2024-05-14,56,153.8991941,7.422069966,C/S
P-H01-W002,P-H01,C027,2025-07-22,C025,2024-07-09,378,134.9300482,1.087120106,C/S
P-H01-W002,P-H01,C029,2025-11-04,C027,2025-07-22,105,131.6624144,3.878873386,C/S
P-H01-W003,P-H01,C003,2018-10-16,C001,2018-05-15,154,28.87930567,4.286928443,C/S
P-H01-W003,P-H01,C005,2019-05-14,C003,2018-10-16,210,30.86359387,3.150831167,C/S
P-H01-W003,P-H01,C007,2019-11-05,C005,2019-05-14,175,33.72098548,2.474544373,C/S
P-H01-W003,P-H01,C008,2020-04-21,C007,2019-11-05,168,33.06984126,2.538725366,C/S
P-H01-W003,P-H01,C010,2020-10-20,C008,2020-04-21,182,21.24808461,3.169458627,C/S
P-H01-W003,P-H01,C012,2021-05-18,C010,2020-10-20,210,27.8815384,2.755182968,C/S
P-H01-W003,P-H01,C014,2021-11-02,C012,2021-05-18,168,92.57859807,2.518350697,C/S
P-H01-W003,P-H01,C016,2022-05-17,C014,2021-11-02,196,94.16792811,3.205626802,C/S
P-H01-W003,P-H01,C018,2022-10-18,C016,2022-05-17,154,70.08737781,4.065163686,C/S
P-H01-W003,P-H01,C019,2023-01-17,C018,2022-10-18,91,67.9413496,4.603011733,C/S
P-H01-W003,P-H01,C020,2023-05-16,C019,2023-01-17,119,76.81229971,3.581599774,C/S
P-H01-W003,P-H01,C022,2023-11-07,C020,2023-05-16,175,78.69617341,2.665679465,C/S
P-H01-W003,P-H01,C023,2024-01-30,C022,2023-11-07,84,71.07366286,8.31564691,C/S
P-H01-W003,P-H01,C024,2024-05-14,C023,2024-01-30,105,67.43798632,6.434052151,C/S
P-H01-W003,P-H01,C025,2024-07-09,C024,2024-05-14,56,82.44135888,7.672275782,C/S
P-H01-W003,P-H01,C027,2025-07-22,C025,2024-07-09,378,75.1449298,1.129019374,C/S
P-H01-W004,P-H01,C003,2018-10-16,C001,2018-05-15,154,62.89014473,4.335115907,C/S
P-H01-W004,P-H01,C005,2019-05-14,C003,2018-10-16,210,50.26157478,3.186046935,C/S
P-H01-W004,P-H01,C007,2019-11-05,C005,2019-05-14,175,47.8750927,2.497838271,C/S
P-H01-W004,P-H01,C008,2020-04-21,C007,2019-11-05,168,40.63940774,2.563567538,C/S
P-H01-W004,P-H01,C010,2020-10-20,C008,2020-04-21,182,34.24340512,3.2021112,C/S
P-H01-W004,P-H01,C012,2021-05-18,C010,2020-10-20,210,34.31960682,2.785136379,C/S
P-H01-W004,P-H01,C014,2021-11-02,C012,2021-05-18,168,25.24678102,2.551471265,C/S
P-H01-W004,P-H01,C016,2022-05-17,C014,2021-11-02,196,23.56342958,3.235985146,C/S
P-H01-W004,P-H01,C019,2023-01-17,C016,2022-05-17,245,21.57320582,2.58950554,C/S
P-H01-W004,P-H01,C020,2023-05-16,C019,2023-01-17,119,21.55921897,3.618450463,C/S
P-H01-W004,P-H01,C022,2023-11-07,C020,2023-05-16,175,24.14302488,2.689449146,C/S
P-H01-W004,P-H01,C023,2024-01-30,C022,2023-11-07,84,10.3403941,8.419378196,C/S
P-H01-W004,P-H01,C027,2025-07-22,C023,2024-01-30,539,16.11486544,1.265333147,C/S
P-H01-W004,P-H01,C029,2025-11-04,C027,2025-07-22,105,13.36764827,4.078403859,C/S
P-H01-W005,P-H01,C003,2018-10-16,C001,2018-05-15,154,83.31219495,4.292952978,C/S
P-H01-W005,P-H01,C005,2019-05-14,C003,2018-10-16,210,72.07387096,3.155449696,C/S
P-H01-W005,P-H01,C007,2019-11-05,C005,2019-05-14,175,68.85716641,2.475527019,C/S
P-H01-W005,P-H01,C008,2020-04-21,C007,2019-11-05,168,65.65305821,2.538449932,C/S
P-H01-W005,P-H01,C010,2020-10-20,C008,2020-04-21,182,57.61332129,3.167272629,C/S
P-H01-W005,P-H01,C012,2021-05-18,C010,2020-10-20,210,57.99118286,2.758044565,C/S
