run_id,campaign_id,date,profile_id,run_attempt,n_points,n_stations,total_distance_km,misclosure_mm,tolerance_mm,qc_status,repeated_from_run_id,provenance
LR-00053,C006,2019-08-27,P-V02,1,9,18,1.112843261,-0.1570792107,2.637284661,accepted,,C/S
LR-00054,C007,2019-11-05,P-D01,1,9,19,1.183294665,-1.447286186,2.719483711,accepted,,C/S
LR-00055,C007,2019-11-05,P-H01,1,9,25,1.654687241,1.324420674,3.215866175,accepted,,C/S
LR-00056,C007,2019-11-05,P-H02,1,9,20,1.234262515,0.7542984183,2.777434197,accepted,,C/S
LR-00057,C007,2019-11-05,P-H03,1,8,18,1.13295075,-4.381085452,2.661003981,rejected_repeat_required,,C/S
LR-00058,C007,2019-11-05,P-H03,2,8,18,1.13295075,2.029406082,2.661003981,accepted,LR-00057,C/S
LR-00059,C007,2019-11-05,P-H04,1,9,20,1.299470269,-0.9684953786,2.849857748,accepted,,C/S
LR-00060,C007,2019-11-05,P-H05,1,9,23,1.505148168,-1.341232088,3.067112005,accepted,,C/S
LR-00061,C007,2019-11-05,P-H06,1,9,22,1.442720496,2.23870758,3.002832513,accepted,,C/S
LR-00062,C007,2019-11-05,P-H07,1,9,19,1.179012611,0.1018414186,2.714558678,accepted,,C/S
LR-00063,C007,2019-11-05,P-V01,1,9,21,1.304520489,0.6148262341,2.855390176,accepted,,C/S
LR-00064,C007,2019-11-05,P-V02,1,9,18,1.112843261,-0.8222952471,2.637284661,accepted,,C/S
LR-00065,C007,2019-11-05,P-V03,1,9,17,1.024376848,-2.558887319,2.530287592,rejected_repeat_required,,C/S
LR-00066,C007,2019-11-05,P-V03,2,9,17,1.024376848,-0.2549430488,2.530287592,accepted,LR-00065,C/S
LR-00067,C007,2019-11-05,P-V04,1,8,17,1.050606363,-1.621831848,2.562477272,accepted,,C/S
LR-00068,C007,2019-11-05,P-V05,1,8,16,1.053865652,0.4612114086,2.566448972,accepted,,C/S
LR-00069,C007,2019-11-05,P-V06,1,9,19,1.216054076,-2.659012914,2.756871048,accepted,,C/S
LR-00070,C008,2020-04-21,P-D01,1,9,19,1.183294665,-2.044588123,2.719483711,accepted,,C/S
LR-00071,C008,2020-04-21,P-H01,1,8,25,1.654687241,0.5932313804,3.215866175,accepted,,C/S
LR-00072,C008,2020-04-21,P-H02,1,8,19,1.234262515,-3.807430498,2.777434197,rejected_repeat_required,,C/S
LR-00073,C008,2020-04-21,P-H02,2,8,19,1.234262515,-2.156560897,2.777434197,accepted,LR-00072,C/S
LR-00074,C008,2020-04-21,P-H03,1,9,19,1.13295075,-2.009945968,2.661003981,accepted,,C/S
LR-00075,C008,2020-04-21,P-H04,1,9,20,1.299470269,-1.797848891,2.849857748,accepted,,C/S
LR-00076,C008,2020-04-21,P-H05,1,8,23,1.505148168,-0.03718138567,3.067112005,accepted,,C/S
LR-00077,C008,2020-04-21,P-H06,1,9,22,1.442720496,1.158213684,3.002832513,accepted,,C/S
LR-00078,C008,2020-04-21,P-H07,1,8,18,1.179012611,0.2631163687,2.714558678,accepted,,C/S
LR-00079,C008,2020-04-21,P-V01,1,9,21,1.304520489,-0.5463336647,2.855390176,accepted,,C/S
LR-00080,C008,2020-04-21,P-V02,1,9,18,1.112843261,-1.355787124,2.637284661,accepted,,C/S
LR-00081,C008,2020-04-21,P-V03,1,9,17,1.024376848,1.093308046,2.530287592,accepted,,C/S
LR-00082,C008,2020-04-21,P-V04,1,9,17,1.050606363,1.880457209,2.562477272,accepted,,C/S
LR-00083,C008,2020-04-21,P-V05,1,9,17,1.053865652,-1.742991986,2.566448972,accepted,,C/S
LR-00084,C008,2020-04-21,P-V06,1,8,19,1.216054076,1.449638813,2.756871048,accepted,,C/S
LR-00085,C009,2020-06-02,P-D01,1,7,18,1.183294665,-0.981339761,2.719483711,accepted,,C/S
LR-00086,C009,2020-06-02,P-H03,1,7,18,1.13295075,1.148824928,2.661003981,accepted,,C/S
LR-00087,C009,2020-06-02,P-V01,1,7,20,1.304520489,1.572675759,2.855390176,accepted,,C/S
LR-00088,C010,2020-10-20,P-D01,1,9,19,1.183294665,-0.440695318,2.719483711,accepted,,C/S
LR-00089,C010,2020-10-20,P-H01,1,9,25,1.654687241,-2.280588527,3.215866175,accepted,,C/S
LR-00090,C010,2020-10-20,P-H02,1,8,19,1.234262515,-1.48567499,2.777434197,accepted,,C/S
LR-00091,C010,2020-10-20,P-H03,1,9,19,1.13295075,-3.262251337,2.661003981,rejected_repeat_required,,C/S
LR-00092,C010,2020-10-20,P-H03,2,9,19,1.13295075,-0.2679481439,2.661003981,accepted,LR-00091,C/S
LR-00093,C010,2020-10-20,P-H04,1,9,20,1.299470269,0.4291450102,2.849857748,accepted,,C/S
LR-00094,C010,2020-10-20,P-H05,1,9,23,1.505148168,5.721031073,3.067112005,rejected_repeat_required,,C/S
LR-00095,C010,2020-10-20,P-H05,2,9,23,1.505148168,-2.533374964,3.067112005,accepted,LR-00094,C/S
LR-00096,C010,2020-10-20,P-H06,1,8,22,1.442720496,-1.459264321,3.002832513,accepted,,C/S
LR-00097,C010,2020-10-20,P-H07,1,9,19,1.179012611,3.526336252,2.714558678,rejected_repeat_required,,C/S
LR-00098,C010,2020-10-20,P-H07,2,9,19,1.179012611,3.307459058,2.714558678,rejected_repeat_required,LR-00097,C/S
LR-00099,C010,2020-10-20,P-V01,1,8,20,1.304520489,-1.554223219,2.855390176,accepted,,C/S
LR-00100,C010,2020-10-20,P-V02,1,9,18,1.112843261,-2.444772664,2.637284661,accepted,,C/S
LR-00101,C010,2020-10-20,P-V03,1,9,17,1.024376848,-0.4036062282,2.530287592,accepted,,C/S
LR-00102,C010,2020-10-20,P-V04,1,8,16,1.050606363,-0.2258185384,2.562477272,accepted,,C/S
LR-00103,C010,2020-10-20,P-V05,1,8,16,1.053865652,0.3659777552,2.566448972,accepted,,C/S
LR-00104,C010,2020-10-20,P-V06,1,9,19,1.216054076,8.414493036,2.756871048,rejected_repeat_required,,C/S
LR-00105,C010,2020-10-20,P-V06,2,9,19,1.216054076,-2.013378274,2.756871048,accepted,LR-00104,C/S
LR-00106,C011,2021-01-26,P-H04,1,9,20,1.299470269,0.0142737604,2.849857748,accepted,,C/S
LR-00107,C011,2021-01-26,P-V02,1,9,18,1.112843261,1.353768859,2.637284661,accepted,,C/S
LR-00108,C012,2021-05-18,P-D01,1,9,19,1.183294665,-0.1554312661,2.719483711,accepted,,C/S
LR-00109,C012,2021-05-18,P-H01,1,9,25,1.654687241,1.206626937,3.215866175,accepted,,C/S
LR-00110,C012,2021-05-18,P-H02,1,9,20,1.234262515,0.8724035876,2.777434197,accepted,,C/S
LR-00111,C012,2021-05-18,P-H03,1,9,19,1.13295075,0.1120356511,2.661003981,accepted,,C/S
LR-00112,C012,2021-05-18,P-H04,1,9,20,1.299470269,7.445250399,2.849857748,rejected_repeat_required,,C/S
LR-00113,C012,2021-05-18,P-H04,2,9,20,1.299470269,-1.663111207,2.849857748,accepted,LR-00112,C/S
LR-00114,C012,2021-05-18,P-H05,1,9,23,1.505148168,3.754041648,3.067112005,rejected_repeat_required,,C/S
LR-00115,C012,2021-05-18,P-H05,2,9,23,1.505148168,0.4147170431,3.067112005,accepted,LR-00114,C/S
LR-00116,C012,2021-05-18,P-H06,1,9,22,1.442720496,0.04785942216,3.002832513,accepted,,C/S
LR-00117,C012,2021-05-18,P-H07,1,9,19,1.179012611,-0.2702568803,2.714558678,accepted,,C/S
LR-00118,C012,2021-05-18,P-V01,1,9,21,1.304520489,0.1831679488,2.855390176,accepted,,C/S
LR-00119,C012,2021-05-18,P-V02,1,8,17,1.112843261,-2.689667932,2.637284661,rejected_repeat_required,,C/S
LR-00120,C012,2021-05-18,P-V02,2,8,17,1.112843261,-0.1007369274,2.637284661,accepted,LR-00119,C/S
LR-00121,C012,2021-05-18,P-V03,1,9,17,1.024376848,1.773714181,2.530287592,accepted,,C/S
LR-00122,C012,2021-05-18,P-V04,1,9,17,1.050606363,0.751429302,2.562477272,accepted,,C/S
LR-00123,C012,2021-05-18,P-V05,1,9,17,1.053865652,0.9675750867,2.566448972,accepted,,C/S
LR-00124,C012,2021-05-18,P-V06,1,8,19,1.216054076,2.919966904,2.756871048,rejected_repeat_required,,C/S
LR-00125,C012,2021-05-18,P-V06,2,8,19,1.216054076,0.4867273743,2.756871048,accepted,LR-00124,C/S
LR-00126,C013,2021-07-13,P-H04,1,9,20,1.299470269,0.06183810536,2.849857748,accepted,,C/S
LR-00127,C013,2021-07-13,P-V06,1,8,19,1.216054076,0.004489299744,2.756871048,accepted,,C/S
LR-00128,C014,2021-11-02,P-D01,1,9,19,1.183294665,0.9909583787,2.719483711,accepted,,C/S
LR-00129,C014,2021-11-02,P-H01,1,9,25,1.654687241,0.4102379677,3.215866175,accepted,,C/S
LR-00130,C014,2021-11-02,P-H02,1,8,19,1.234262515,1.180733991,2.777434197,accepted,,C/S
LR-00131,C014,2021-11-02,P-H03,1,8,18,1.13295075,0.205031711,2.661003981,accepted,,C/S
LR-00132,C014,2021-11-02,P-H04,1,9,20,1.299470269,-1.163471391,2.849857748,accepted,,C/S
LR-00133,C014,2021-11-02,P-H05,1,9,23,1.505148168,0.9894693279,3.067112005,accepted,,C/S
LR-00134,C014,2021-11-02,P-H06,1,9,22,1.442720496,0.9567803702,3.002832513,accepted,,C/S
LR-00135,C014,2021-11-02,P-H07,1,9,19,1.179012611,2.741540249,2.714558678,rejected_repeat_required,,C/S
LR-00136,C014,2021-11-02,P-H07,2,9,19,1.179012611,0.5763561768,2.714558678,accepted,LR-00135,C/S
LR-00137,C014,2021-11-02,P-V01,1,9,21,1.304520489,-0.5143208644,2.855390176,accepted,,C/S
LR-00138,C014,2021-11-02,P-V02,1,8,17,1.112843261,3.615136078,2.637284661,rejected_repeat_required,,C/S
LR-00139,C014,2021-11-02,P-V02,2,8,17,1.112843261,2.295024814,2.637284661,accepted,LR-00138,C/S
LR-00140,C014,2021-11-02,P-V03,1,9,17,1.024376848,-1.13379112,2.530287592,accepted,,C/S
LR-00141,C014,2021-11-02,P-V04,1,7,16,1.050606363,1.256237799,2.562477272,accepted,,C/S
LR-00142,C014,2021-11-02,P-V05,1,8,17,1.053865652,0.2903963098,2.566448972,accepted,,C/S
LR-00143,C014,2021-11-02,P-V06,1,9,19,1.216054076,-1.631710729,2.756871048,accepted,,C/S
LR-00144,C015,2022-03-01,P-D01,1,9,19,1.183294665,0.7808659135,2.719483711,accepted,,C/S
LR-00145,C015,2022-03-01,P-H04,1,9,20,1.299470269,0.2325361516,2.849857748,accepted,,C/S
LR-00146,C016,2022-05-17,P-D01,1,8,19,1.183294665,-1.282715714,2.719483711,accepted,,C/S
LR-00147,C016,2022-05-17,P-H01,1,9,25,1.654687241,2.544509738,3.215866175,accepted,,C/S
LR-00148,C016,2022-05-17,P-H02,1,9,20,1.234262515,-0.3471221062,2.777434197,accepted,,C/S
LR-00149,C016,2022-05-17,P-H03,1,9,19,1.13295075,-0.3510107075,2.661003981,accepted,,C/S
LR-00150,C016,2022-05-17,P-H04,1,9,20,1.299470269,0.4219838166,2.849857748,accepted,,C/S
LR-00151,C016,2022-05-17,P-H05,1,9,23,1.505148168,-1.58660066,3.067112005,accepted,,C/S
LR-00152,C016,2022-05-17,P-H06,1,9,22,1.442720496,1.908553983,3.002832513,accepted,,C/S
LR-00153,C016,2022-05-17,P-H07,1,8,19,1.179012611,1.03097369,2.714558678,accepted,,C/S
LR-00154,C016,2022-05-17,P-V01,1,8,20,1.304520489,0.3243377642,2.855390176,accepted,,C/S
LR-00155,C016,2022-05-17,P-V02,1,9,18,1.112843261,-0.4665314636,2.637284661,accepted,,C/S
LR-00156,C016,2022-05-17,P-V03,1,9,17,1.024376848,-0.5039501372,2.530287592,accepted,,C/S
LR-00157,C016,2022-05-17,P-V04,1,9,17,1.050606363,0.2962097104,2.562477272,accepted,,C/S
LR-00158,C016,2022-05-17,P-V05,1,9,17,1.053865652,-2.473762905,2.566448972,accepted,,C/S
LR-00159,C016,2022-05-17,P-V06,1,9,19,1.216054076,-3.19956707,2.756871048,rejected_repeat_required,,C/S
LR-00160,C016,2022-05-17,P-V06,2,9,19,1.216054076,-0.453620072,2.756871048,accepted,LR-00159,C/S
LR-00161,C017,2022-07-19,P-D01,1,7,18,1.183294665,-0.9675928089,2.719483711,accepted,,C/S
LR-00162,C017,2022-07-19,P-H03,1,6,17,1.13295075,0.5710421485,2.661003981,accepted,,C/S
LR-00163,C017,2022-07-19,P-H04,1,7,19,1.299470269,-0.08474402354,2.849857748,accepted,,C/S
LR-00164,C018,2022-10-18,P-D01,1,9,19,1.183294665,1.247633643,2.719483711,accepted,,C/S
LR-00165,C018,2022-10-18,P-H01,1,8,24,1.654687241,-0.7937918246,3.215866175,accepted,,C/S
LR-00166,C018,2022-10-18,P-H02,1,8,20,1.234262515,0.7690526785,2.777434197,accepted,,C/S
LR-00167,C018,2022-10-18,P-H03,1,8,18,1.13295075,2.220871018,2.661003981,accepted,,C/S
LR-00168,C018,2022-10-18,P-H04,1,8,15,0.9494702694,-3.562478998,2.436019126,rejected_repeat_required,,C/S
LR-00169,C018,2022-10-18,P-H04,2,8,15,0.9494702694,1.199870979,2.436019126,accepted,LR-00168,C/S
LR-00170,C018,2022-10-18,P-H05,1,8,23,1.505148168,1.818986861,3.067112005,accepted,,C/S
LR-00171,C018,2022-10-18,P-H06,1,8,22,1.442720496,-2.52318526,3.002832513,accepted,,C/S
LR-00172,C018,2022-10-18,P-H07,1,8,19,1.179012611,-1.752362308,2.714558678,accepted,,C/S
LR-00173,C018,2022-10-18,P-V01,1,9,21,1.304520489,-0.2583929208,2.855390176,accepted,,C/S
LR-00174,C018,2022-10-18,P-V02,1,9,18,1.112843261,1.336090763,2.637284661,accepted,,C/S
LR-00175,C018,2022-10-18,P-V03,1,9,17,1.024376848,1.92218668,2.530287592,accepted,,C/S
LR-00176,C018,2022-10-18,P-V04,1,9,17,1.050606363,0.782630616,2.562477272,accepted,,C/S
LR-00177,C018,2022-10-18,P-V05,1,9,17,1.053865652,2.772443445,2.566448972,rejected_repeat_required,,C/S
LR-00178,C018,2022-10-18,P-V05,2,9,17,1.053865652,1.009070763,2.566448972,accepted,LR-00177,C/S
LR-00179,C018,2022-10-18,P-V06,1,8,18,1.216054076,-2.363597325,2.756871048,accepted,,C/S
LR-00180,C019,2023-01-17,P-H01,1,9,25,1.654687241,1.323575539,3.215866175,accepted,,C/S
LR-00181,C019,2023-01-17,P-H02,1,9,20,1.234262515,10.44423342,2.777434197,rejected_repeat_required,,C/S
LR-00182,C019,2023-01-17,P-H02,2,9,20,1.234262515,1.398826086,2.777434197,accepted,LR-00181,C/S
LR-00183,C020,2023-05-16,P-D01,1,9,19,1.183294665,-1.223340642,2.719483711,accepted,,C/S
LR-00184,C020,2023-05-16,P-H01,1,9,25,1.654687241,1.23662985,3.215866175,accepted,,C/S
LR-00185,C020,2023-05-16,P-H02,1,9,20,1.234262515,1.016561051,2.777434197,accepted,,C/S
LR-00186,C020,2023-05-16,P-H03,1,9,19,1.13295075,1.150765453,2.661003981,accepted,,C/S
LR-00187,C020,2023-05-16,P-H04,1,8,15,0.9494702694,0.6615271928,2.436019126,accepted,,C/S
LR-00188,C020,2023-05-16,P-H05,1,7,22,1.505148168,-1.657114654,3.067112005,accepted,,C/S
LR-00189,C020,2023-05-16,P-H06,1,8,21,1.442720496,-3.2761102,3.002832513,rejected_repeat_required,,C/S
LR-00190,C020,2023-05-16,P-H06,2,8,21,1.442720496,-2.13080647,3.002832513,accepted,LR-00189,C/S
LR-00191,C020,2023-05-16,P-H07,1,9,19,1.179012611,-1.481141546,2.714558678,accepted,,C/S
LR-00192,C020,2023-05-16,P-V01,1,8,20,1.304520489,-13.52596507,2.855390176,rejected_repeat_required,,C/S
LR-00193,C020,2023-05-16,P-V01,2,8,20,1.304520489,0.80727008,2.855390176,accepted,LR-00192,C/S
LR-00194,C020,2023-05-16,P-V02,1,8,13,0.7628432611,-0.0822903933,2.183522471,accepted,,C/S
LR-00195,C020,2023-05-16,P-V03,1,9,17,1.024376848,-0.23257973,2.530287592,accepted,,C/S
LR-00196,C020,2023-05-16,P-V04,1,9,17,1.050606363,2.080837999,2.562477272,accepted,,C/S
LR-00197,C020,2023-05-16,P-V05,1,8,17,1.053865652,-0.6957571305,2.566448972,accepted,,C/S
LR-00198,C020,2023-05-16,P-V06,1,9,19,1.216054076,0.668436401,2.756871048,accepted,,C/S
LR-00199,C021,2023-07-25,P-H02,1,9,20,1.234262515,-1.392628786,2.777434197,accepted,,C/S
LR-00200,C021,2023-07-25,P-H03,1,9,19,1.13295075,0.1045833966,2.661003981,accepted,,C/S
LR-00201,C022,2023-11-07,P-D01,1,9,19,1.183294665,-0.3555979027,2.719483711,accepted,,C/S
LR-00202,C022,2023-11-07,P-H01,1,9,25,1.654687241,1.632360619,3.215866175,accepted,,C/S
LR-00203,C022,2023-11-07,P-H02,1,9,20,1.234262515,-2.087834287,2.777434197,accepted,,C/S
LR-00204,C022,2023-11-07,P-H03,1,8,14,0.7829507501,0.01715697582,2.212112607,accepted,,C/S
LR-00205,C022,2023-11-07,P-H04,1,7,15,0.9494702694,-1.124009521,2.436019126,accepted,,C/S
LR-00206,C022,2023-11-07,P-H05,1,7,22,1.505148168,0.5599941897,3.067112005,accepted,,C/S
LR-00207,C022,2023-11-07,P-H06,1,9,22,1.442720496,0.2658313876,3.002832513,accepted,,C/S
LR-00208,C022,2023-11-07,P-H07,1,9,19,1.179012611,-1.612548532,2.714558678,accepted,,C/S
LR-00209,C022,2023-11-07,P-V01,1,9,21,1.304520489,0.7947153587,2.855390176,accepted,,C/S
LR-00210,C022,2023-11-07,P-V02,1,9,18,1.112843261,-0.902465103,2.637284661,accepted,,C/S
LR-00211,C022,2023-11-07,P-V03,1,9,17,1.024376848,0.3835695182,2.530287592,accepted,,C/S
LR-00212,C022,2023-11-07,P-V04,1,9,17,1.050606363,1.828541756,2.562477272,accepted,,C/S
LR-00213,C022,2023-11-07,P-V05,1,7,17,1.053865652,0.1238215902,2.566448972,accepted,,C/S
LR-00214,C022,2023-11-07,P-V06,1,9,19,1.216054076,-2.54306096,2.756871048,accepted,,C/S
LR-00215,C023,2024-01-30,P-D01,1,9,19,1.183294665,-0.9158353068,2.719483711,accepted,,C/S
LR-00216,C023,2024-01-30,P-H01,1,9,25,1.654687241,-3.107072538,3.215866175,accepted,,C/S
LR-00217,C024,2024-05-14,P-D01,1,9,19,1.183294665,-0.9359766565,2.719483711,accepted,,C/S
LR-00218,C024,2024-05-14,P-H01,1,8,24,1.654687241,0.4401575439,3.215866175,accepted,,C/S
LR-00219,C024,2024-05-14,P-H02,1,9,20,1.234262515,12.84278637,2.777434197,rejected_repeat_required,,C/S
LR-00220,C024,2024-05-14,P-H02,2,9,20,1.234262515,-2.011466945,2.777434197,accepted,LR-00219,C/S
LR-00221,C024,2024-05-14,P-H03,1,9,19,1.13295075,1.506165578,2.661003981,accepted,,C/S
LR-00222,C024,2024-05-14,P-H04,1,8,20,1.299470269,-1.434934804,2.849857748,accepted,,C/S
LR-00223,C024,2024-05-14,P-H05,1,8,22,1.505148168,-2.807367983,3.067112005,accepted,,C/S
LR-00224,C024,2024-05-14,P-H06,1,8,21,1.442720496,0.0242670601,3.002832513,accepted,,C/S
LR-00225,C024,2024-05-14,P-H07,1,9,19,1.179012611,1.533818346,2.714558678,accepted,,C/S
LR-00226,C024,2024-05-14,P-V01,1,8,21,1.304520489,2.603329646,2.855390176,accepted,,C/S
LR-00227,C024,2024-05-14,P-V02,1,9,18,1.112843261,1.265989667,2.637284661,accepted,,C/S
LR-00228,C024,2024-05-14,P-V03,1,9,17,1.024376848,0.6156965774,2.530287592,accepted,,C/S
LR-00229,C024,2024-05-14,P-V04,1,9,17,1.050606363,-2.51471927,2.562477272,accepted,,C/S
LR-00230,C024,2024-05-14,P-V05,1,8,17,1.053865652,5.218439747,2.566448972,rejected_repeat_required,,C/S
LR-00231,C024,2024-05-14,P-V05,2,8,17,1.053865652,-1.338162697,2.566448972,accepted,LR-00230,C/S
LR-00232,C024,2024-05-14,P-V06,1,9,19,1.216054076,-1.348914947,2.756871048,accepted,,C/S
LR-00233,C025,2024-07-09,P-H01,1,7,24,1.654687241,-0.6252951727,3.215866175,accepted,,C/S
LR-00234,C025,2024-07-09,P-H03,1,7,18,1.13295075,-0.6151761581,2.661003981,accepted,,C/S
LR-00235,C025,2024-07-09,P-H04,1,6,19,1.299470269,-9.143012573,2.849857748,rejected_repeat_required,,C/S
LR-00236,C025,2024-07-09,P-H04,2,6,19,1.299470269,-1.570577142,2.849857748,accepted,LR-00235,C/S
LR-00237,C026,2024-09-03,P-D01,1,9,19,1.183294665,2.237604899,2.719483711,accepted,,C/S
LR-00238,C026,2024-09-03,P-H02,1,9,20,1.234262515,-0.1645643923,2.777434197,accepted,,C/S
LR-00239,C027,2025-07-22,P-D01,1,9,19,1.183294665,-0.04472549241,2.719483711,accepted,,C/S
LR-00240,C027,2025-07-22,P-H01,1,8,25,1.654687241,-0.1486703864,3.215866175,accepted,,C/S
LR-00241,C027,2025-07-22,P-H02,1,9,20,1.234262515,1.214772637,2.777434197,accepted,,C/S
LR-00242,C027,2025-07-22,P-H03,1,6,17,1.13295075,1.505668657,2.661003981,accepted,,C/S
LR-00243,C027,2025-07-22,P-H04,1,6,18,1.299470269,0.3397242566,2.849857748,accepted,,C/S
LR-00244,C027,2025-07-22,P-H05,1,8,22,1.505148168,-4.027222018,3.067112005,rejected_repeat_required,,C/S
LR-00245,C027,2025-07-22,P-H05,2,8,22,1.505148168,0.3542584242,3.067112005,accepted,LR-00244,C/S
LR-00246,C027,2025-07-22,P-H06,1,8,21,1.442720496,-0.5432828319,3.002832513,accepted,,C/S
