point_id,profile_id,point_order,point_type,chainage_m,x_local_m,y_local_m,settlement_anchor_map_mm,kzt,ko,seismic_energy_J_m2,fill_density,fault_distance_m,lithology,base_height_m
P-H01-W007,P-H01,7,WORK,954.687240935462,22109.8555293739,39576.9664926483,255.251141552511,0.587150837988827,0.540502793296089,27.5,0.958677709102631,230.994140291113,carnallite,162.458618927302
P-H01-REF-B,P-H01,8,REF,1304.68724093546,22459.8555293739,39576.9664926483,0,0.1,0.3,0,0,9999,stable_external_reference,163.712450138182
P-H02-REF-A,P-H02,0,REF,-350,21446.6947276057,40532.6986420257,0,0.1,0.3,0,0,9999,stable_external_reference,162.73127489501
P-H02-W001,P-H02,1,WORK,0,21796.6947276057,40532.6986420257,330.535538808233,0.587150837988827,0.495530726256983,27.5,0.71074378490448,76.3974501751075,mixed_salts,163.48433782825
P-H02-W002,P-H02,2,WORK,95.7956252853816,21892.490352891,40532.6986420257,431.963470319634,0.587150837988827,0.495530726256983,27.5,0.760330557823181,17.6263306782275,mixed_salts,163.732688229101
P-H02-W003,P-H02,3,WORK,176.341474883839,21973.0362024895,40532.6986420257,255.251141552511,0.591620111731844,0.495530726256983,27.5,0.900826454162598,6.48812938552813,mixed_salts,163.956689196362
P-H02-W004,P-H02,4,WORK,250.824898129507,22047.5196257352,40532.6986420257,196.34703196347,0.605027932960894,0.515083798882682,27.5,0.884297549724579,31.83749187333,mixed_salts,164.176527196204
P-H02-W005,P-H02,5,WORK,367.871020175828,22164.5657477815,40532.6986420257,39.2694063926938,0.672067039106145,0.540502793296089,27.5,0.892561972141266,146.814355649904,mixed_salts,164.547257220244
P-H02-W006,P-H02,6,WORK,429.571347837758,22226.2660754434,40532.6986420257,314.155251141553,0.756983240223464,0.628491620111732,27.5,0.909090936183929,185.139976908762,mixed_salts,164.755348096287
P-H02-W007,P-H02,7,WORK,534.262514816262,22330.9572424219,40532.6986420257,314.155251141553,0.645251396648045,0.499441340782123,27.5,0.900826454162598,254.600457139266,mixed_salts,165.128738787857
P-H02-REF-B,P-H02,8,REF,884.262514816262,22680.9572424219,40532.6986420257,0,0.1,0.3,0,0,9999,stable_external_reference,166.564716440648
P-H03-REF-A,P-H03,0,REF,-350,28847.394991208,41488.430791403,0,0.1,0.3,0,0,9999,stable_external_reference,196.29416354537
P-H03-W001,P-H03,1,WORK,0,29197.394991208,41488.430791403,333.789954337899,0.378779429154803,0.65,7.5,0.71074378490448,71.4591474924713,mixed_salts,196.6797420572
P-H03-W002,P-H03,2,WORK,87.4548308067648,29284.8498220148,41488.430791403,431.963470319634,0.375560032754752,0.519129884657595,7.5,0.652892589569092,54.8473018953629,mixed_salts,196.79371700463
P-H03-W003,P-H03,3,WORK,124.343268259799,29321.7382594678,41488.430791403,412.328767123287,0.380808696784482,0.503564829842913,7.5,0.71074378490448,11.7747318455153,mixed_salts,196.844500923471
P-H03-W004,P-H03,4,WORK,200.027575404079,29397.4225666121,41488.430791403,687.214611872146,0.376958805250669,0.516068317290377,7.5,0.727272748947144,18.9737658452066,mixed_salts,196.954168590585
P-H03-W005,P-H03,5,WORK,308.406190662592,29505.8011818706,41488.430791403,451.598173515982,0.367701468054566,0.502213676124911,7.5,0.743801653385162,19.0911089918368,mixed_salts,197.125125378071
P-H03-W006,P-H03,6,WORK,321.282811674851,29518.6778028828,41488.430791403,451.598173515982,0.367701468054566,0.502213676124911,7.5,0.743801653385162,19.0911089918368,mixed_salts,197.146600236879
P-H03-W007,P-H03,7,WORK,432.950750107691,29630.3457413157,41488.430791403,569.406392694064,0.359108328676652,0.530083985463342,7.5,0.553718984127045,69.725006551528,carnallite,197.343939119191
P-H03-REF-B,P-H03,8,REF,782.950750107691,29980.3457413157,41488.430791403,0,0.1,0.3,0,0,9999,stable_external_reference,198.107271193263
P-H04-REF-A,P-H04,0,REF,-350,23368.902807153,42444.1629407804,0,0.1,0.3,0,0,9999,stable_external_reference,174.016759475239
P-H04-W001,P-H04,1,WORK,0,23718.902807153,42444.1629407804,187.686423678844,0.500788681870142,0.493575418994413,7.5,0.206611573696136,54.1596600180491,carnallite,176.210457336614
P-H04-W002,P-H04,2,WORK,78.9325484848677,23797.8353556379,42444.1629407804,499.283604440694,0.546927374301676,0.495530726256983,7.5,0.115702480077744,93.5913942168427,carnallite,176.730117143365
P-H04-W003,P-H04,3,WORK,199.146666197109,23918.0494733501,42444.1629407804,738.255613776773,0.542458100558659,0.634357541899441,7.5,0,236.653164807915,carnallite,177.535945393535
P-H04-W004,P-H04,4,WORK,320.065061626842,24038.9678687798,42444.1629407804,164.445936149847,0.542458100558659,0.495530726256983,7.5,0,136.785970713566,carnallite,178.361519852042
P-H04-W005,P-H04,5,WORK,398.702055201037,24117.604862354,42444.1629407804,176.712328767123,0.515642458100559,0.495530726256983,7.5,0,36.9187766192174,sylvinite,178.905109447333
P-H04-W006,P-H04,6,WORK,506.895187000057,24225.7979941531,42444.1629407804,196.34703196347,0.537988826815642,0.493575418994413,7.5,0.0578512400388718,62.9484174751317,sylvinite,179.659846998247
P-H04-W007,P-H04,7,WORK,599.470269379875,24318.3730765329,42444.1629407804,235.616438356164,0.323463687150838,0.540502793296089,7.5,0.371900826692581,147.023151046991,carnallite,180.310397444583
P-H04-REF-B,P-H04,8,REF,949.470269379875,24668.3730765329,42444.1629407804,0,0.1,0.3,0,0,9999,stable_external_reference,182.784032142341
P-H05-REF-A,P-H05,0,REF,-350,26665.9892887423,43399.8950901577,0,0.1,0.3,0,0,9999,stable_external_reference,196.165938116298
P-H05-W001,P-H05,1,WORK,0,27015.9892887423,43399.8950901577,1354.79452054795,0.350279329608938,0.399720670391061,7.5,0,587.842415045166,carnallite,197.324759602522
P-H05-W002,P-H05,2,WORK,137.350385321087,27153.3396740634,43399.8950901577,1276.25570776256,0.399441340782123,0.387988826815642,7.5,0,476.119561613105,carnallite,197.704230338112
P-H05-W003,P-H05,3,WORK,247.933835210908,27263.9231239532,43399.8950901577,1374.42922374429,0.350279329608938,0.387988826815642,7.5,0,400.334144718214,replacement_rock_salt,197.980697379078
P-H05-W004,P-H05,4,WORK,416.33887972649,27432.3281684688,43399.8950901577,1610.04566210046,0.336871508379888,0.387988826815642,7.5,0.0247933883219957,286.656019375879,replacement_rock_salt,198.354859506889
P-H05-W005,P-H05,5,WORK,542.09223620261,27558.0815249449,43399.8950901577,1236.98630136986,0.327932960893855,0.387988826815642,7.5,0.0909090936183929,172.977894033544,carnallite,198.599995501399
P-H05-W006,P-H05,6,WORK,681.131244936591,27697.1205336789,43399.8950901577,1374.42922374429,0.323463687150838,0.387988826815642,7.5,0.0909090936183929,97.1924771386534,replacement_rock_salt,198.84013052844
P-H05-W007,P-H05,7,WORK,805.148168236701,27821.137456979,43399.8950901577,824.657534246575,0.350279329608938,0.384078212290503,7.5,0.0330578498542309,6.10957884679257,replacement_rock_salt,199.029780874096
P-H05-REF-B,P-H05,8,REF,1155.1481682367,28171.137456979,43399.8950901577,0,0.1,0.3,0,0,9999,stable_external_reference,199.465652613328
P-H06-REF-A,P-H06,0,REF,-350,24584.49529784,44355.627239535,0,0.1,0.3,0,0,9999,stable_external_reference,186.014544592239
P-H06-W001,P-H06,1,WORK,0,24934.49529784,44355.627239535,333.789954337899,0.287709497206704,0.382122905027933,22.5,0.776859521865845,670.312580616689,carnallite,188.467617021545
P-H06-W002,P-H06,2,WORK,142.968347748706,25077.4636455887,44355.627239535,176.712328767123,0.287131484083986,0.376256983240223,22.5,0.950413227081299,811.554947108061,carnallite,189.446851667168
P-H06-W003,P-H06,3,WORK,268.839055825351,25203.3343536653,44355.627239535,333.789954337899,0.277036910352518,0.30195530726257,25.8333333333333,0.942148745059967,912.158431249877,carnallite,190.292067052702
P-H06-W004,P-H06,4,WORK,367.240411436236,25301.7357092762,44355.627239535,333.789954337899,0.263629089123467,0.3,25,0.991735517978668,828.123976814275,carnallite,190.939619362221
P-H06-W005,P-H06,5,WORK,479.661277214955,25414.1565750549,44355.627239535,157.077625570776,0.257580607251022,0.3,25.8333333333333,0.975206613540649,744.089522378672,carnallite,191.663212639722
P-H06-W006,P-H06,6,WORK,663.080050318654,25597.5753481586,44355.627239535,333.789954337899,0.268753791608564,0.3,22.5,0.842975199222565,618.037840725268,carnallite,192.801581863438
P-H06-W007,P-H06,7,WORK,742.720495828551,25677.2157936685,44355.627239535,58.9041095890407,0.278823245937504,0.3,22.5,0.876033067703247,543.976373334031,carnallite,193.277847708287
P-H06-REF-B,P-H06,8,REF,1092.72049582855,26027.2157936685,44355.627239535,0,0.1,0.3,0,0,9999,stable_external_reference,195.224356540982
P-H07-REF-A,P-H07,0,REF,-350,26999.0283272867,45311.3593889124,0,0.1,0.3,0,0,9999,stable_external_reference,201.097967217197
P-H07-W001,P-H07,1,WORK,0,27349.0283272867,45311.3593889124,213.278630986725,0.281865272925384,0.634306555534042,7.5,0.206611573696136,280.766821024851,sylvinite,201.999553458924
P-H07-W002,P-H07,2,WORK,74.6646117586319,27423.6929390453,45311.3593889124,314.155251141553,0.260893854748603,0.598345299173116,7.5,0,350.10119840217,sylvinite,202.159915222864
P-H07-W003,P-H07,3,WORK,185.614883741089,27534.6432110278,45311.3593889124,267.815818419103,0.28473562153885,0.379592633827739,7.5,0,446.423256333755,sylvinite,202.379330317984
P-H07-W004,P-H07,4,WORK,233.645457129337,27582.673784416,45311.3593889124,314.155251141553,0.285331561713644,0.351650940326918,7.5,0.00826446246355772,434.852691235443,sylvinite,202.467668920812
P-H07-W005,P-H07,5,WORK,323.165202861495,27672.1935301482,45311.3593889124,39.2694063926938,0.284410027101921,0.351650940326918,7.5,0.107438012957573,334.873697519098,sylvinite,202.622246054141
P-H07-W006,P-H07,6,WORK,406.606509654106,27755.6348369408,45311.3593889124,98.1735159817354,0.283240223463687,0.489985671155174,7.5,0.438016533851624,234.894703802753,sylvinite,202.755245118618
P-H07-W007,P-H07,7,WORK,479.012610977137,27828.0409382638,45311.3593889124,58.9041095890407,0.283240223463687,0.603050438172689,7.5,0.561983466148376,195.290042101521,sylvinite,202.862644911741
P-H07-REF-B,P-H07,8,REF,829.012610977137,28178.0409382638,45311.3593889124,0,0.1,0.3,0,0,9999,stable_external_reference,203.296021246444
P-V01-REF-A,P-V01,0,REF,-350,21687.3646720323,38872.5110642153,0,0.1,0.3,0,0,9999,stable_external_reference,159.903602829281
P-V01-W001,P-V01,1,WORK,0,21687.3646720323,39222.5110642153,176.712328767123,0.587150837988827,0.387988826815642,27.5,0.834710717201233,196.553140125084,carnallite,160.603602829281
P-V01-W002,P-V01,2,WORK,104.45165844377,21687.3646720323,39326.9627226591,176.712328767123,0.587150837988827,0.387988826815642,27.5,0.884297549724579,171.439343165381,carnallite,160.812506146169
P-V01-W003,P-V01,3,WORK,221.744655927165,21687.3646720323,39444.2557201424,176.712328767123,0.573743016759777,0.387988826815642,27.5,0.834710717201233,79.9730616157911,carnallite,161.047092141136
P-V01-W004,P-V01,4,WORK,281.087365082319,21687.3646720323,39503.5984292976,215.981735159817,0.587150837988827,0.387988826815642,27.5,0.851239681243896,11.4932199337986,carnallite,161.165777559446
P-V01-W005,P-V01,5,WORK,415.294319221016,21687.3646720323,39637.8053834363,903.196347031963,0.587150837988827,0.382122905027933,27.5,0.851239681243896,102.959501483388,carnallite,161.434191467723
P-V01-W006,P-V01,6,WORK,507.046820526382,21687.3646720323,39729.5578847417,431.963470319634,0.600558659217877,0.387988826815642,27.5,0.826446294784546,194.425783032978,carnallite,161.617696470334
P-V01-W007,P-V01,7,WORK,604.520489424111,21687.3646720323,39827.0315536394,431.963470319634,0.600558659217877,0.387988826815642,27.5,0.842975199222565,275.387872674686,carnallite,161.812643808129
P-V01-REF-B,P-V01,8,REF,954.520489424111,21687.3646720323,40177.0315536394,0,0.1,0.3,0,0,9999,stable_external_reference,162.512643808129
P-V02-REF-A,P-V02,0,REF,-350,23099.4501954605,42131.023946233,0,0.1,0.3,0,0,9999,stable_external_reference,171.849695519571
P-V02-W001,P-V02,1,WORK,0,23099.4501954605,42481.023946233,333.789954337899,0.587150837988827,0.495530726256983,7.5,0.892561972141266,98.0892182051995,carnallite,172.549695519571
P-V02-W002,P-V02,2,WORK,70.30907674491,23099.4501954605,42551.333022978,314.155251141553,0.587150837988827,0.495530726256983,7.5,0.892561972141266,64.9754912972371,replacement_rock_salt,172.690313673061
P-V02-W003,P-V02,3,WORK,151.845771503165,23099.4501954605,42632.8697177362,39.2694063926938,0.402564713212284,0.479888268156425,7.5,0.876033067703247,38.1462750941436,replacement_rock_salt,172.853387062577
P-V02-W004,P-V02,4,WORK,202.555125636326,23099.4501954605,42683.5790718694,78.5388127853876,0.323463687150838,0.442737430167598,7.5,0.859504103660583,4.76784068658537,carnallite,172.954805770844
P-V02-W005,P-V02,5,WORK,252.39426531072,23099.4501954605,42733.4182115438,314.155251141553,0.542458100558659,0.409497206703911,7.5,0.834710717201233,15.2165828176424,carnallite,173.054484050192
P-V02-W006,P-V02,6,WORK,335.314857388081,23099.4501954605,42816.3388036211,333.789954337899,0.542458100558659,0.65,7.5,0.909090936183929,66.3613646428134,carnallite,173.220325234347
P-V02-W007,P-V02,7,WORK,412.84326107012,23099.4501954605,42893.8672073032,117.808219178082,0.537988826815642,0.407541899441341,7.5,0.925619840621948,101.796762171313,carnallite,173.375382041711
P-V02-REF-B,P-V02,8,REF,762.84326107012,23099.4501954605,43243.8672073032,0,0.1,0.3,0,0,9999,stable_external_reference,174.075382041711
P-V03-REF-A,P-V03,0,REF,-350,24511.5357188886,41998.3243266034,0,0.1,0.3,0,0,9999,stable_external_reference,180.783765086393
P-V03-W001,P-V03,1,WORK,0,24511.5357188886,42348.3243266034,490.867579908675,0.475266571165867,0.495530726256983,7.5,0.793388426303864,365.126021095514,mixed_salts,181.483765086393
P-V03-W002,P-V03,2,WORK,63.0615719676514,24511.5357188886,42411.385898571,510.502283105023,0.497765363128492,0.495530726256983,7.5,0.809917330741882,362.549999758179,mixed_salts,181.609888230328
P-V03-W003,P-V03,3,WORK,121.916487604581,24511.5357188886,42470.2408142079,1374.42922374429,0.484357541899441,0.495530726256983,7.5,0.842975199222565,359.973978420844,mixed_salts,181.727598061602
P-V03-W004,P-V03,4,WORK,165.353663039252,24511.5357188886,42513.6779896426,1668.9497716895,0.452995210078962,0.495530726256983,7.5,0.892561972141266,357.397957083509,mixed_salts,181.814472412471
P-V03-W005,P-V03,5,WORK,249.12770208835,24511.5357188886,42597.4520286917,471.232876712329,0.410750534489897,0.618715083798883,7.5,0.909090936183929,354.821935746175,mixed_salts,181.98202049057
P-V03-W006,P-V03,6,WORK,288.531588682642,24511.5357188886,42636.855915286,431.963470319634,0.412233908242754,0.495530726256983,7.5,0.867768585681915,352.24591440884,carnallite,182.060828263758
P-V03-W007,P-V03,7,WORK,324.376847983665,24511.5357188886,42672.701174587,215.981735159817,0.399672160948046,0.495530726256983,7.5,0.867768585681915,350.373116638985,replacement_rock_salt,182.13251878236
P-V03-REF-B,P-V03,8,REF,674.376847983665,24511.5357188886,43022.701174587,0,0.1,0.3,0,0,9999,stable_external_reference,182.83251878236
P-V04-REF-A,P-V04,0,REF,-350,25923.6212423168,44254.217860308,0,0.1,0.3,0,0,9999,stable_external_reference,194.471639321888
P-V04-W001,P-V04,1,WORK,0,25923.6212423168,44604.217860308,196.34703196347,0.287709497206704,0.307821229050279,27.5,0.900826454162598,460.573557228131,carnallite,195.171639321888
P-V04-W002,P-V04,2,WORK,41.5943535488732,25923.6212423168,44645.8122138568,196.34703196347,0.287709497206704,0.307821229050279,27.5,0.900826454162598,460.573557228131,carnallite,195.254828028986
P-V04-W003,P-V04,3,WORK,114.358228652165,25923.6212423168,44718.5760889601,196.34703196347,0.238547486033519,0.327374301675978,27.5,0.826446294784546,513.635668466929,carnallite,195.400355779192
P-V04-W004,P-V04,4,WORK,206.715500410555,25923.6212423168,44810.9333607185,333.789954337899,0.234078212290503,0.343016759776536,27.5,0.983471095561981,477.422491878379,carnallite,195.585070322709
P-V04-W005,P-V04,5,WORK,231.279876698568,25923.6212423168,44835.4977370065,333.789954337899,0.234078212290503,0.343016759776536,27.5,0.983471095561981,477.422491878379,carnallite,195.634199075285
P-V04-W006,P-V04,6,WORK,278.055489154835,25923.6212423168,44882.2733494628,235.616438356164,0.220670391061452,0.350837988826816,27.5,0.966942131519318,444.80129253628,carnallite,195.727750300198
P-V04-W007,P-V04,7,WORK,350.606363442632,25923.6212423168,44954.8242237506,353.424657534246,0.184916201117318,0.65,26.3932793533762,0.942148745059967,394.415472684144,carnallite,195.872852048773
P-V04-REF-B,P-V04,8,REF,700.606363442632,25923.6212423168,45304.8242237506,0,0.1,0.3,0,0,9999,stable_external_reference,196.572852048773
P-V05-REF-A,P-V05,0,REF,-350,27335.7067657449,42160.5127505952,0,0.1,0.3,0,0,9999,stable_external_reference,195.668130474813
P-V05-W001,P-V05,1,WORK,0,27335.7067657449,42510.5127505952,1276.25570776256,0.238547486033519,0.65,7.5,0.677685976028442,696.262391746623,carnallite,196.368130474813
P-V05-W002,P-V05,2,WORK,96.7557353541953,27335.7067657449,42607.2684859494,1492.23744292237,0.193854748603352,0.65,7.5,0.611570239067078,694.046533193539,carnallite,196.561641945522
P-V05-W003,P-V05,3,WORK,114.616831544759,27335.7067657449,42625.1295821399,1492.23744292237,0.193854748603352,0.65,7.5,0.611570239067078,694.046533193539,carnallite,196.597364137903
P-V05-W004,P-V05,4,WORK,179.489127125426,27335.7067657449,42690.0018777206,1394.06392694064,0.184916201117318,0.65,7.5,0.586776852607727,692.877136012438,carnallite,196.727108729064
P-V05-W005,P-V05,5,WORK,251.866596786047,27335.7067657449,42762.3793473812,1472.60273972603,0.229608938547486,0.65,7.5,0.669421494007111,690.538341650238,carnallite,196.871863668385
P-V05-W006,P-V05,6,WORK,283.349413386887,27335.7067657449,42793.8621639821,1472.60273972603,0.229608938547486,0.65,7.5,0.669421494007111,690.538341650238,carnallite,196.934829301587
P-V05-W007,P-V05,7,WORK,353.865652345827,27335.7067657449,42864.378402941,1747.48858447489,0.292178770949721,0.387988826815642,7.5,0.727272748947144,688.616105239907,carnallite,197.075861779505
P-V05-REF-B,P-V05,8,REF,703.865652345827,27335.7067657449,43214.378402941,0,0.1,0.3,0,0,9999,stable_external_reference,197.775861779505
P-V06-REF-A,P-V06,0,REF,-350,28747.7922891731,43295.831718538,0,0.1,0.3,0,0,9999,stable_external_reference,199.812994562521
P-V06-W001,P-V06,1,WORK,0,28747.7922891731,43645.831718538,0,0.287803436749491,0.65,7.5,0,107.385324123165,sylvinite,200.512994562521
P-V06-W002,P-V06,2,WORK,97.7535474695585,28747.7922891731,43743.5852660076,196.34703196347,0.288833427748755,0.65,7.5,0,66.0462325776325,sylvinite,200.70850165746
P-V06-W003,P-V06,3,WORK,140.16562596704,28747.7922891731,43785.9973445051,176.712328767123,0.288619801202108,0.65,7.5,0,24.7071410321003,sylvinite,200.793325814455
P-V06-W004,P-V06,4,WORK,283.173133009103,28747.7922891731,43929.0048515471,196.34703196347,0.287709497206704,0.65,7.5,0,99.310133604496,sylvinite,201.079340828539
P-V06-W005,P-V06,5,WORK,354.529001054691,28747.7922891731,44000.3607195927,298.763322176289,0.287204137336672,0.65,7.5,0,181.98831669556,sylvinite,201.22205256463
P-V06-W006,P-V06,6,WORK,455.947698380287,28747.7922891731,44101.7794169183,157.077625570776,0.285560762555294,0.65,7.5,0.0247933883219957,264.666499786624,replacement_rock_salt,201.424889959282
P-V06-W007,P-V06,7,WORK,516.054076337656,28747.7922891731,44161.8857948757,157.077625570776,0.284401919964887,0.65,7.5,0.0413223132491112,290.249525183961,replacement_rock_salt,201.545102715196
P-V06-REF-B,P-V06,8,REF,866.054076337656,28747.7922891731,44511.8857948757,0,0.1,0.3,0,0,9999,stable_external_reference,202.245102715196
