insar_point_id,source_cell_id,x_local_m,y_local_m,coherence_baseline,reflector_class,trajectory_source,provenance
PS-00033,G050-002327,22543.30711,42076.71814,0.4244835003,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00034,G050-009123,26116.71792,44875,0.6019074764,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00035,G050-015768,29225,40375,0.604794517,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00036,G050-004085,23676.1475,43234.12203,0.4579805259,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00037,G050-007679,25525,43225,0.430472054,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00038,G050-005542,24525,42775,0.7609733674,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00039,G050-014452,28425,43375,0.63622909,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00040,G050-001388,21825,44175,0.4659909532,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00041,G050-014531,28475,43005.91121,0.4730848547,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00042,G050-006178,24825,44554.99233,0.5720257439,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00043,G050-000486,21275,43025,0.6404921554,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00044,G050-002372,22575,40275,0.679226084,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00045,G050-002237,22493.32918,41278.61928,0.7337994448,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00046,G050-015173,28875,41175,0.7179764465,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00047,G050-002736,22865.53366,41322.51566,0.6754486789,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00048,G050-014924,28725,41925,0.7063716013,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00049,G050-014118,28225,44475,0.4612297617,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00050,G050-015078,28840.52602,40825,0.4736871942,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00051,G050-014684,28575,42075,0.7885604843,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00052,G050-000471,21275,42262.30116,0.5377487098,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00053,G050-011771,27246.31439,45333.68295,0.3849912463,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00054,G050-015014,28765.5481,42075,0.8370827746,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00055,G050-000550,21343.56388,41367.09651,0.5543252503,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00056,G050-000258,21125,42825,0.4010590558,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00057,G050-004912,24225,40274.42621,0.6003552396,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00058,G050-015428,29025,40785.33665,0.3573664653,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00059,G050-014513,28475,42075,0.5009767408,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00060,G050-006575,25042.2035,42925,0.52273481,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00061,G050-004010,23626.16957,43640.54366,0.6040669763,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00062,G050-001588,21975,44075,0.5945941312,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00063,G050-002426,22625,39225,0.5161150044,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00064,G050-014977,28740.57017,44925,0.4014482461,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00065,G050-002151,22443.35125,40975,0.7683803296,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00066,G050-002534,22675,40925,0.7536011199,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00067,G050-003329,23242.9981,42481.02395,0.5002406592,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00068,G050-001519,21935.246,44079.33749,0.7390731528,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00069,G050-000050,20925,41972.22934,0.5884163829,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00070,G050-016088,29390.28323,43025,0.5940181968,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00071,G050-013154,27775,44825,0.6899317982,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00072,G050-014454,28421.51966,43484.44945,0.4956269786,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00073,G050-006795,25125,42925,0.5260420108,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00074,G050-003094,23075,42871.9336,0.5997589627,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00075,G050-006132,24825,42232.81235,0.9,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00076,G050-000791,21425,43025,0.6930506441,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00077,G050-010347,26675,41801.39072,0.4051770819,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00078,G050-009892,26475,42625,0.4618244484,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00079,G050-009889,26475,42475,0.6243245867,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00080,G050-010535,26725,45475,0.6974852638,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00081,G050-009683,26391.60756,44375,0.6597549832,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00082,G050-000495,21275,43725,0.6761485294,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00083,G050-015399,28975,43825,0.6517772141,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00084,G050-007442,25425.37498,43225,0.633294256,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00085,G050-000302,21175,41375,0.5837055198,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00086,G050-014891,28725,40292.05401,0.5361936812,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00087,G050-004779,24125,42095.71524,0.7077932016,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00088,G050-000314,21175,42375,0.7076732276,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00089,G050-004700,24075,42096.76934,0.7325073173,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00090,G050-006834,25142.56704,44910.0658,0.4751695508,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00091,G050-007697,25525,44125,0.5009925427,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00092,G050-014769,28625,42625,0.5281966155,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00093,G050-016381,29506.89104,44125,0.7091770416,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00094,G050-000685,21393.81477,43328.35523,0.7185118596,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00095,G050-014629,28525,43675,0.5129653242,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00096,G050-007216,25325,43125,0.6802317678,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00097,G050-002220,22475,40425,0.5334312331,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00098,G050-014687,28573.96236,42225,0.6492516525,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00099,G050-007039,25225,44554.99233,0.5629229703,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00100,G050-014347,28390.72467,42396.27877,0.3736692286,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00101,G050-006715,25075,44627.10893,0.4908533485,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00102,G050-008758,25966.78413,44125,0.5460465118,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00103,G050-001510,21925,40714.90058,0.7371601135,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00104,G050-014244,28307.42077,41475,0.6200255901,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00105,G050-006059,24775,43937.98768,0.6321923261,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00106,G050-003672,23425,43525,0.5082077598,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00107,G050-001581,21975,40709.12892,0.6286728662,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00108,G050-000633,21375,40435.66829,0.4586439635,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00109,G050-014577,28525,41025,0.6078858425,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00110,G050-002648,22751.5448,39725,0.5444541243,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00111,G050-004003,23633.36566,43162.00542,0.6206544839,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00112,G050-014413,28425,41375,0.7111379736,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00113,G050-005531,24525,42225,0.5731009474,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00114,G050-002542,22659.91492,41325,0.5433875376,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00115,G050-003178,23125,43125,0.5028090866,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00116,G050-003014,23012.02874,43281.23863,0.6921284039,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00117,G050-010769,26825,44925,0.7164582992,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00118,G050-004803,24125,43375.47184,0.7456606979,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00119,G050-004342,23875,39177.62146,0.8835065548,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00120,G050-010045,26525,44075,0.6554598144,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00121,G050-000909,21475,43925,0.3947334726,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00122,G050-006357,24925,42661.35059,0.5206711305,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00123,G050-015677,29125,44954.04176,0.4474936423,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00124,G050-008266,25775,43275,0.5731325289,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00125,G050-002481,22625,42076.71814,0.6141146185,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00126,G050-002322,22501.65516,41794.01852,0.7317557224,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00127,G050-013042,27701.73111,45615.32807,0.5037416297,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00128,G050-014161,28275,41925,0.4717983403,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00129,G050-016297,29475,44487.28083,0.6479833487,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00130,G050-004610,24025,41027.29673,0.6213101192,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00131,G050-009679,26358.28158,44155.9429,0.6882985485,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00132,G050-010119,26575,41880.87953,0.4338634459,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00133,G050-004522,23976.01507,40339.17061,0.4345669375,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00134,G050-007125,25275,44275,0.6927870906,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00135,G050-015688,29175,40785.33665,0.6165234622,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00136,G050-015278,28925,41975,0.6236038005,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00137,G050-006890,25175,42302.04556,0.39334863,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00138,G050-011259,27025,44525,0.7028013821,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00139,G050-007068,25258.76717,40925,0.7988935818,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00140,G050-000940,21525,39525,0.558152918,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00141,G050-003263,23151.36822,43475,0.4929790109,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00142,G050-001774,22125,44210.4317,0.7049945642,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00143,G050-000864,21497.71132,40755.40401,0.8710763034,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00144,G050-014554,28475,44155.9429,0.7291088609,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00145,G050-006562,25000.55155,42247.55676,0.3959523279,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00146,G050-003637,23434.58384,41692.41311,0.3568353969,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00147,G050-011133,26975,44673.19994,0.8151427849,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00148,G050-001719,22075,44075,0.434570418,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00149,G050-001933,22251.76552,39813.51578,0.7330649773,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00150,G050-010035,26525,43575,0.6335632802,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00151,G050-008891,26025,44725,0.6979607507,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00152,G050-014285,28325,43775,0.497441372,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00153,G050-004337,23825,43525,0.4909228527,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00154,G050-003265,23151.36822,43561.05485,0.7587184819,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00155,G050-001440,21875,40760.33665,0.6741961428,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00156,G050-006929,25175,44325,0.7000740339,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00157,G050-002589,22718.21882,39893.00458,0.803379226,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00158,G050-012761,27625,44489.39243,0.4307068619,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00159,G050-002825,22906.69951,42225,0.71626629,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00160,G050-015061,28775,44475,0.4230935939,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00161,G050-001710,22075,40525,0.5398728624,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00162,G050-004064,23675,42075,0.3810200415,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00163,G050-013722,28015.87918,45063.01937,0.735818954,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00164,G050-010634,26781.04004,44384.15371,0.4621970542,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00165,G050-016018,29340.3053,44125,0.8269116737,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00166,G050-002274,22534.98113,39325,0.3701420195,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00167,G050-001122,21625,39975,0.5439642092,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00168,G050-005135,24309.18654,42375,0.4848754203,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00169,G050-012914,27674.35966,45767.3943,0.5007168706,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00170,G050-008619,25925,43125,0.7890409287,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00171,G050-004683,24075,41075,0.7478318965,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00172,G050-001855,22218.43954,39275,0.7990897782,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00173,G050-009643,26375,42378.96588,0.5834377081,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00174,G050-001717,22064.49669,43974.84869,0.6063401078,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00175,G050-006044,24775,43125,0.5780672242,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00176,G050-016110,29375,44275,0.5070387686,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00177,G050-008152,25725.24254,43390.21624,0.6605738246,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00178,G050-014098,28225,43475,0.575370418,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00179,G050-005126,24307.80949,41935.36833,0.4273644775,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00180,G050-006455,24975,42475,0.7936275654,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00181,G050-006050,24775,43475,0.6791012301,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00182,G050-001309,21768.63819,40025,0.6320482963,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00183,G050-004577,24025,39225,0.7317716034,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00184,G050-001113,21625,39525,0.6106810911,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00185,G050-015394,28982.13383,43372.58844,0.7459303895,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00186,G050-012016,27325,44675,0.5085668595,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00187,G050-012148,27375,45321.14917,0.4644418122,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00188,G050-005718,24626.58366,42059.09034,0.7077684222,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00189,G050-014507,28475,41779.27412,0.5137527211,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00190,G050-008893,26025,44825,0.7297113879,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00191,G050-002747,22875,41875,0.5511931352,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00192,G050-004565,23951.01507,42875,0.7750313573,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00193,G050-004107,23733.88869,39629.05796,0.7366666086,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00194,G050-015947,29348.63128,40542.38143,0.744726381,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00195,G050-010875,26883.19342,44220.62866,0.542215551,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00196,G050-011508,27125,44775,0.7929997739,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00197,G050-004184,23775,39624.0724,0.3883885558,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00198,G050-002975,23025,41268.36368,0.5485310445,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00199,G050-014013,28175,43875,0.6757105574,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00200,G050-011152,26994.04301,45603.5164,0.5736723656,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00201,G050-013893,28149.16101,42225,0.7165089675,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00202,G050-002131,22425,39975,0.5760901214,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00203,G050-003429,23325,39225,0.707942479,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00204,G050-002998,23018.08639,42411.02317,0.4962094416,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00205,G050-002128,22425,39813.51578,0.6310669596,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00206,G050-015366,28975,41925,0.7285785982,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00207,G050-013609,27975,45125,0.71227028,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00208,G050-001143,21625,41003.29186,0.6045120917,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00209,G050-004147,23734.4514,42396.27877,0.4150161639,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00210,G050-007011,25225,42825,0.4848182061,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00211,G050-014473,28432.37663,44425,0.7545922605,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00212,G050-005526,24517.42423,41989.85714,0.4616987,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00213,G050-007557,25475,43075,0.4478582649,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00214,G050-000739,21425,40275,0.5635480987,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00215,G050-008846,26014.71071,42428.74191,0.6293815826,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00216,G050-002186,22425,42975,0.420066304,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00217,G050-013904,28140.83503,43125,0.7411238529,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00218,G050-000718,21425,39236.25553,0.7848003326,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00219,G050-002303,22509.98113,40807.45325,0.65270173,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00220,G050-000528,21325,39975,0.7028465677,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00221,G050-006586,25025,43836.38227,0.6264485072,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00222,G050-002743,22875,41675,0.7523943894,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00223,G050-003092,23075,42775,0.4597306513,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00224,G050-002210,22475,39925,0.5568666089,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00225,G050-012279,27425,45325,0.4217614457,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00226,G050-012653,27575,45325,0.7508123377,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00227,G050-003029,23075,39475,0.6521113695,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00228,G050-000261,21125,42975,0.5606947111,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00229,G050-002017,22325,41925,0.443972919,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00230,G050-005731,24625,42775,0.7432046031,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00231,G050-013824,28079.50879,44277.18694,0.5396981839,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
