campaign_id,date,profile_id,left_point_id,right_point_id,base_length_m,observed_length_m,horizontal_strain,horizontal_strain_microstrain,provenance
C001,2018-05-15,P-H02,P-H02-REF-A,P-H02-W001,350,349.999651,-9.97259998e-07,-0.997259998,C/S
C001,2018-05-15,P-H02,P-H02-W001,P-H02-W002,95.79562529,95.80281655,7.506883642e-05,75.06883642,C/S
C001,2018-05-15,P-H02,P-H02-W002,P-H02-W003,80.5458496,80.54186542,-4.946472611e-05,-49.46472611,C/S
C001,2018-05-15,P-H02,P-H02-W003,P-H02-W004,74.48342325,74.47996486,-4.643160036e-05,-46.43160036,C/S
C001,2018-05-15,P-H02,P-H02-W004,P-H02-W005,117.046122,117.0447505,-1.171759872e-05,-11.71759872,C/S
C001,2018-05-15,P-H02,P-H02-W005,P-H02-W006,61.70032766,61.69829901,-3.287919063e-05,-32.87919063,C/S
C001,2018-05-15,P-H02,P-H02-W006,P-H02-W007,104.691167,104.6931663,1.909766839e-05,19.09766839,C/S
C001,2018-05-15,P-H02,P-H02-W007,P-H02-REF-B,350,350.002125,6.071477242e-06,6.071477242,C/S
C001,2018-05-15,P-H03,P-H03-REF-A,P-H03-W001,350,350.0023953,6.843592514e-06,6.843592514,C/S
C001,2018-05-15,P-H03,P-H03-W001,P-H03-W002,87.45483081,87.45657142,1.990302973e-05,19.90302973,C/S
C001,2018-05-15,P-H03,P-H03-W002,P-H03-W003,36.88843745,36.88896754,1.436997392e-05,14.36997392,C/S
C001,2018-05-15,P-H03,P-H03-W003,P-H03-W004,75.68430714,75.69170108,9.769444823e-05,97.69444823,C/S
C001,2018-05-15,P-H03,P-H03-W004,P-H03-W005,108.3786153,108.3625354,-0.0001483676976,-148.3676976,C/S
C001,2018-05-15,P-H03,P-H03-W005,P-H03-W006,12.87662101,12.87776833,8.910070946e-05,89.10070946,C/S
C001,2018-05-15,P-H03,P-H03-W006,P-H03-W007,111.6679384,111.6630106,-4.412960716e-05,-44.12960716,C/S
C001,2018-05-15,P-H03,P-H03-W007,P-H03-REF-B,350,350.0071661,2.047462263e-05,20.47462263,C/S
C001,2018-05-15,P-H04,P-H04-REF-A,P-H04-W001,350,349.9999893,-3.055281533e-08,-0.03055281533,C/S
C001,2018-05-15,P-H04,P-H04-W001,P-H04-W002,78.93254848,78.93971899,9.084346478e-05,90.84346478,C/S
C001,2018-05-15,P-H04,P-H04-W002,P-H04-W003,120.2141177,120.220621,5.409779084e-05,54.09779084,C/S
C001,2018-05-15,P-H04,P-H04-W003,P-H04-W004,120.9183954,120.8999412,-0.000152617128,-152.617128,C/S
C001,2018-05-15,P-H04,P-H04-W004,P-H04-W005,78.63699357,78.63999443,3.816089043e-05,38.16089043,C/S
C001,2018-05-15,P-H04,P-H04-W005,P-H04-W006,108.1931318,108.1931082,-2.181313647e-07,-0.2181313647,C/S
C001,2018-05-15,P-H04,P-H04-W006,P-H04-W007,92.57508238,92.57580366,7.791272994e-06,7.791272994,C/S
C001,2018-05-15,P-H04,P-H04-W007,P-H04-REF-B,350,350.000092,2.629282713e-07,0.2629282713,C/S
C001,2018-05-15,P-H05,P-H05-REF-A,P-H05-W001,350,350.0233183,6.662382006e-05,66.62382006,C/S
C001,2018-05-15,P-H05,P-H05-W001,P-H05-W002,137.3503853,137.3490098,-1.001436695e-05,-10.01436695,C/S
C001,2018-05-15,P-H05,P-H05-W002,P-H05-W003,110.5834499,110.5874576,3.624136406e-05,36.24136406,C/S
C001,2018-05-15,P-H05,P-H05-W003,P-H05-W004,168.4050445,168.3486822,-0.0003346830005,-334.6830005,C/S
C001,2018-05-15,P-H05,P-H05-W004,P-H05-W005,125.7533565,125.7599019,5.204959906e-05,52.04959906,C/S
C001,2018-05-15,P-H05,P-H05-W005,P-H05-W006,139.0390087,139.0376641,-9.67088848e-06,-9.67088848,C/S
C001,2018-05-15,P-H05,P-H05-W006,P-H05-W007,124.0169233,124.025839,7.189073428e-05,71.89073428,C/S
C001,2018-05-15,P-H05,P-H05-W007,P-H05-REF-B,350,350.0150606,4.30303863e-05,43.0303863,C/S
C001,2018-05-15,P-H06,P-H06-REF-A,P-H06-W001,350,350.0075221,2.149167826e-05,21.49167826,C/S
C001,2018-05-15,P-H06,P-H06-W001,P-H06-W002,142.9683477,142.9655594,-1.950303922e-05,-19.50303922,C/S
C001,2018-05-15,P-H06,P-H06-W002,P-H06-W003,125.8707081,125.8735683,2.272362003e-05,22.72362003,C/S
C001,2018-05-15,P-H06,P-H06-W003,P-H06-W004,98.40135561,98.39100963,-0.0001051406425,-105.1406425,C/S
C001,2018-05-15,P-H06,P-H06-W004,P-H06-W005,112.4208658,112.4234087,2.262007094e-05,22.62007094,C/S
C001,2018-05-15,P-H06,P-H06-W005,P-H06-W006,183.4187731,183.4120473,-3.666892855e-05,-36.66892855,C/S
C001,2018-05-15,P-H06,P-H06-W006,P-H06-W007,79.64044551,79.64609257,7.090697436e-05,70.90697436,C/S
C001,2018-05-15,P-H06,P-H06-W007,P-H06-REF-B,350,350.0015411,4.403119741e-06,4.403119741,C/S
C001,2018-05-15,P-H07,P-H07-REF-A,P-H07-W001,350,350.0011962,3.417588702e-06,3.417588702,C/S
C001,2018-05-15,P-H07,P-H07-W001,P-H07-W002,74.66461176,74.66553177,1.232187249e-05,12.32187249,C/S
C001,2018-05-15,P-H07,P-H07-W002,P-H07-W003,110.950272,110.9408739,-8.470532544e-05,-84.70532544,C/S
C001,2018-05-15,P-H07,P-H07-W003,P-H07-W004,48.03057339,48.03343054,5.948608659e-05,59.48608659,C/S
C001,2018-05-15,P-H07,P-H07-W004,P-H07-W005,89.51974573,89.52426925,5.053094805e-05,50.53094805,C/S
C001,2018-05-15,P-H07,P-H07-W005,P-H07-W007,155.8474081,155.8487173,8.400264365e-06,8.400264365,C/S
C001,2018-05-15,P-H07,P-H07-W007,P-H07-REF-B,350,349.9974667,-7.237984963e-06,-7.237984963,C/S
C001,2018-05-15,P-V01,P-V01-REF-A,P-V01-W001,350,349.9996358,-1.040707278e-06,-1.040707278,C/S
C001,2018-05-15,P-V01,P-V01-W001,P-V01-W002,104.4516584,104.4505353,-1.075321055e-05,-10.75321055,C/S
C001,2018-05-15,P-V01,P-V01-W002,P-V01-W003,117.2929975,117.2947555,1.498808449e-05,14.98808449,C/S
C001,2018-05-15,P-V01,P-V01-W003,P-V01-W004,59.34270916,59.34156872,-1.921786003e-05,-19.21786003,C/S
C001,2018-05-15,P-V01,P-V01-W004,P-V01-W005,134.2069541,134.2055629,-1.036642051e-05,-10.36642051,C/S
C001,2018-05-15,P-V01,P-V01-W005,P-V01-W006,91.75250131,91.75487614,2.588301098e-05,25.88301098,C/S
C001,2018-05-15,P-V01,P-V01-W006,P-V01-W007,97.4736689,97.47241164,-1.289848457e-05,-12.89848457,C/S
C001,2018-05-15,P-V01,P-V01-W007,P-V01-REF-B,350,349.9994394,-1.601580337e-06,-1.601580337,C/S
C001,2018-05-15,P-V02,P-V02-REF-A,P-V02-W001,350,349.996757,-9.265580671e-06,-9.265580671,C/S
C001,2018-05-15,P-V02,P-V02-W001,P-V02-W002,70.30907674,70.31119923,3.018789769e-05,30.18789769,C/S
C001,2018-05-15,P-V02,P-V02-W002,P-V02-W003,81.53669476,81.53633764,-4.379901335e-06,-4.379901335,C/S
C001,2018-05-15,P-V02,P-V02-W003,P-V02-W004,50.70935413,50.70845203,-1.778962109e-05,-17.78962109,C/S
C001,2018-05-15,P-V02,P-V02-W004,P-V02-W005,49.83913967,49.84323168,8.210422246e-05,82.10422246,C/S
C001,2018-05-15,P-V02,P-V02-W005,P-V02-W006,82.92059208,82.9186128,-2.38695392e-05,-23.8695392,C/S
C001,2018-05-15,P-V02,P-V02-W006,P-V02-W007,77.52840368,77.52633207,-2.672074797e-05,-26.72074797,C/S
C001,2018-05-15,P-V02,P-V02-W007,P-V02-REF-B,350,350.0012519,3.576810987e-06,3.576810987,C/S
C001,2018-05-15,P-V03,P-V03-REF-A,P-V03-W001,350,350.0011011,3.14596362e-06,3.14596362,C/S
C001,2018-05-15,P-V03,P-V03-W001,P-V03-W002,63.06157197,63.06023461,-2.120715498e-05,-21.20715498,C/S
C001,2018-05-15,P-V03,P-V03-W002,P-V03-W003,58.85491564,58.85242532,-4.231281298e-05,-42.31281298,C/S
C001,2018-05-15,P-V03,P-V03-W003,P-V03-W004,43.43717543,43.43513129,-4.70598816e-05,-47.0598816,C/S
C001,2018-05-15,P-V03,P-V03-W004,P-V03-W005,83.77403905,83.7783511,5.147238577e-05,51.47238577,C/S
C001,2018-05-15,P-V03,P-V03-W005,P-V03-W006,39.40388659,39.40348271,-1.024987347e-05,-10.24987347,C/S
C001,2018-05-15,P-V03,P-V03-W006,P-V03-W007,35.8452593,35.84347664,-4.97320494e-05,-49.7320494,C/S
C001,2018-05-15,P-V03,P-V03-W007,P-V03-REF-B,350,350.0018555,5.301540614e-06,5.301540614,C/S
C001,2018-05-15,P-V04,P-V04-REF-A,P-V04-W001,350,349.9982997,-4.857988172e-06,-4.857988172,C/S
C001,2018-05-15,P-V04,P-V04-W001,P-V04-W002,41.59435355,41.59532433,2.333919782e-05,23.33919782,C/S
C001,2018-05-15,P-V04,P-V04-W002,P-V04-W003,72.7638751,72.76522422,1.854106977e-05,18.54106977,C/S
C001,2018-05-15,P-V04,P-V04-W003,P-V04-W004,92.35727176,92.35565365,-1.752008205e-05,-17.52008205,C/S
C001,2018-05-15,P-V04,P-V04-W004,P-V04-W005,24.56437629,24.56580436,5.813585728e-05,58.13585728,C/S
C001,2018-05-15,P-V04,P-V04-W005,P-V04-W006,46.77561246,46.77452748,-2.319526679e-05,-23.19526679,C/S
C001,2018-05-15,P-V04,P-V04-W006,P-V04-W007,72.55087429,72.55088333,1.246316495e-07,0.1246316495,C/S
C001,2018-05-15,P-V04,P-V04-W007,P-V04-REF-B,350,350.000476,1.360000789e-06,1.360000789,C/S
C001,2018-05-15,P-V05,P-V05-REF-A,P-V05-W002,446.7557354,446.7549708,-1.711369115e-06,-1.711369115,C/S
C001,2018-05-15,P-V05,P-V05-W002,P-V05-W003,17.86109619,17.85911266,-0.0001110530485,-111.0530485,C/S
C001,2018-05-15,P-V05,P-V05-W003,P-V05-W004,64.87229558,64.87238368,1.358043477e-06,1.358043477,C/S
C001,2018-05-15,P-V05,P-V05-W004,P-V05-W006,103.8602863,103.8563507,-3.789263959e-05,-37.89263959,C/S
C001,2018-05-15,P-V05,P-V05-W006,P-V05-W007,70.51623896,70.51651002,3.843936601e-06,3.843936601,C/S
C001,2018-05-15,P-V05,P-V05-W007,P-V05-REF-B,350,350.0040218,1.149097793e-05,11.49097793,C/S
C001,2018-05-15,P-V06,P-V06-REF-A,P-V06-W001,350,350.0005884,1.681207148e-06,1.681207148,C/S
C001,2018-05-15,P-V06,P-V06-W001,P-V06-W003,140.165626,140.1650935,-3.798829204e-06,-3.798829204,C/S
C001,2018-05-15,P-V06,P-V06-W003,P-V06-W004,143.007507,143.0094893,1.386128975e-05,13.86128975,C/S
C001,2018-05-15,P-V06,P-V06-W004,P-V06-W005,71.35586805,71.35354304,-3.258321563e-05,-32.58321563,C/S
C001,2018-05-15,P-V06,P-V06-W005,P-V06-W006,101.4186973,101.420648,1.923427424e-05,19.23427424,C/S
C001,2018-05-15,P-V06,P-V06-W006,P-V06-W007,60.10637796,60.10246607,-6.508274686e-05,-65.08274686,C/S
C001,2018-05-15,P-V06,P-V06-W007,P-V06-REF-B,350,350.0021132,6.037639926e-06,6.037639926,C/S
C002,2018-07-10,P-H03,P-H03-REF-A,P-H03-W001,350,350.0011972,3.420634581e-06,3.420634581,C/S
C002,2018-07-10,P-H03,P-H03-W001,P-H03-W002,87.45483081,87.4570331,2.518204597e-05,25.18204597,C/S
C002,2018-07-10,P-H03,P-H03-W002,P-H03-W003,36.88843745,36.88431527,-0.0001117472284,-111.7472284,C/S
C002,2018-07-10,P-H03,P-H03-W003,P-H03-W004,75.68430714,75.68940467,6.735253246e-05,67.35253246,C/S
C002,2018-07-10,P-H03,P-H03-W004,P-H03-W005,108.3786153,108.3689571,-8.911537055e-05,-89.11537055,C/S
C002,2018-07-10,P-H03,P-H03-W005,P-H03-W006,12.87662101,12.87680303,1.413545833e-05,14.13545833,C/S
C002,2018-07-10,P-H03,P-H03-W006,P-H03-W007,111.6679384,111.6641309,-3.409681992e-05,-34.09681992,C/S
C002,2018-07-10,P-H03,P-H03-W007,P-H03-REF-B,350,350.0100045,2.858440355e-05,28.58440355,C/S
C002,2018-07-10,P-V01,P-V01-REF-A,P-V01-W001,350,350.0014009,4.002472024e-06,4.002472024,C/S
C002,2018-07-10,P-V01,P-V01-W001,P-V01-W002,104.4516584,104.4519964,3.235454122e-06,3.235454122,C/S
C002,2018-07-10,P-V01,P-V01-W002,P-V01-W003,117.2929975,117.2917554,-1.058979558e-05,-10.58979558,C/S
C002,2018-07-10,P-V01,P-V01-W003,P-V01-W004,59.34270916,59.34191602,-1.336538222e-05,-13.36538222,C/S
C002,2018-07-10,P-V01,P-V01-W004,P-V01-W005,134.2069541,134.205143,-1.349477563e-05,-13.49477563,C/S
C002,2018-07-10,P-V01,P-V01-W005,P-V01-W006,91.75250131,91.75528938,3.038685168e-05,30.38685168,C/S
C002,2018-07-10,P-V01,P-V01-W006,P-V01-W007,97.4736689,97.47493393,1.297824492e-05,12.97824492,C/S
C002,2018-07-10,P-V01,P-V01-W007,P-V01-REF-B,350,350.0001734,4.954880145e-07,0.4954880145,C/S
C003,2018-10-16,P-D01,P-D01-W001,P-D01-W002,76.75345009,76.75439818,1.235228994e-05,12.35228994,C/S
C003,2018-10-16,P-D01,P-D01-W002,P-D01-W003,63.03923029,63.04701571,0.0001235012296,123.5012296,C/S
C003,2018-10-16,P-D01,P-D01-W003,P-D01-W004,99.23780835,99.21486408,-0.000231204988,-231.204988,C/S
C003,2018-10-16,P-D01,P-D01-W004,P-D01-W005,71.5918648,71.59975539,0.0001102162996,110.2162996,C/S
C003,2018-10-16,P-D01,P-D01-W005,P-D01-W006,91.91134609,91.90965314,-1.841940747e-05,-18.41940747,C/S
C003,2018-10-16,P-D01,P-D01-W006,P-D01-W007,80.76096539,80.76310143,2.644899393e-05,26.44899393,C/S
C003,2018-10-16,P-D01,P-D01-W007,P-D01-REF-B,350,350.0029065,8.304387252e-06,8.304387252,C/S
C003,2018-10-16,P-H01,P-H01-REF-A,P-H01-W001,350,350.0005431,1.55168832e-06,1.55168832,C/S
C003,2018-10-16,P-H01,P-H01-W001,P-H01-W002,147.8582304,147.8548599,-2.279597329e-05,-22.79597329,C/S
C003,2018-10-16,P-H01,P-H01-W002,P-H01-W003,185.0525074,185.0629751,5.656652995e-05,56.56652995,C/S
C003,2018-10-16,P-H01,P-H01-W003,P-H01-W004,125.0375342,125.0320853,-4.357854728e-05,-43.57854728,C/S
C003,2018-10-16,P-H01,P-H01-W004,P-H01-W005,165.8364117,165.8278168,-5.182754015e-05,-51.82754015,C/S
C003,2018-10-16,P-H01,P-H01-W005,P-H01-W006,159.5786591,159.5827869,2.58664214e-05,25.8664214,C/S
C003,2018-10-16,P-H01,P-H01-W006,P-H01-REF-B,521.323898,521.3261603,4.339443878e-06,4.339443878,C/S
C003,2018-10-16,P-H02,P-H02-REF-A,P-H02-W001,350,350.0033398,9.542424964e-06,9.542424964,C/S
C003,2018-10-16,P-H02,P-H02-W001,P-H02-W002,95.79562529,95.7993775,3.916894584e-05,39.16894584,C/S
C003,2018-10-16,P-H02,P-H02-W002,P-H02-W003,80.5458496,80.54147973,-5.425323293e-05,-54.25323293,C/S
C003,2018-10-16,P-H02,P-H02-W003,P-H02-W004,74.48342325,74.47729865,-8.222764698e-05,-82.22764698,C/S
C003,2018-10-16,P-H02,P-H02-W004,P-H02-W005,117.046122,117.0475757,1.241930589e-05,12.41930589,C/S
C003,2018-10-16,P-H02,P-H02-W005,P-H02-W007,166.3914946,166.3883388,-1.89664553e-05,-18.9664553,C/S
C003,2018-10-16,P-H02,P-H02-W007,P-H02-REF-B,350,350.0028417,8.119195466e-06,8.119195466,C/S
C003,2018-10-16,P-H03,P-H03-REF-A,P-H03-W001,350,350.0039224,1.120673313e-05,11.20673313,C/S
C003,2018-10-16,P-H03,P-H03-W001,P-H03-W002,87.45483081,87.45401803,-9.293696209e-06,-9.293696209,C/S
C003,2018-10-16,P-H03,P-H03-W002,P-H03-W003,36.88843745,36.89051095,5.620993494e-05,56.20993494,C/S
C003,2018-10-16,P-H03,P-H03-W003,P-H03-W004,75.68430714,75.6916413,9.690452528e-05,96.90452528,C/S
C003,2018-10-16,P-H03,P-H03-W004,P-H03-W005,108.3786153,108.3637555,-0.0001371099455,-137.1099455,C/S
C003,2018-10-16,P-H03,P-H03-W005,P-H03-W006,12.87662101,12.87684698,1.75484294e-05,17.5484294,C/S
C003,2018-10-16,P-H03,P-H03-W006,P-H03-W007,111.6679384,111.6615007,-5.765077653e-05,-57.65077653,C/S
C003,2018-10-16,P-H03,P-H03-W007,P-H03-REF-B,350,350.0112827,3.223630388e-05,32.23630388,C/S
C003,2018-10-16,P-H04,P-H04-REF-A,P-H04-W001,350,349.9987465,-3.581502762e-06,-3.581502762,C/S
C003,2018-10-16,P-H04,P-H04-W001,P-H04-W002,78.93254848,78.93873813,7.841684774e-05,78.41684774,C/S
C003,2018-10-16,P-H04,P-H04-W002,P-H04-W003,120.2141177,120.2222879,6.796350698e-05,67.96350698,C/S
C003,2018-10-16,P-H04,P-H04-W003,P-H04-W004,120.9183954,120.9037745,-0.0001209153355,-120.9153355,C/S
C003,2018-10-16,P-H04,P-H04-W004,P-H04-W005,78.63699357,78.63870946,2.182034915e-05,21.82034915,C/S
C003,2018-10-16,P-H04,P-H04-W005,P-H04-W006,108.1931318,108.187889,-4.845771577e-05,-48.45771577,C/S
C003,2018-10-16,P-H04,P-H04-W006,P-H04-W007,92.57508238,92.58040131,5.745527688e-05,57.45527688,C/S
C003,2018-10-16,P-H04,P-H04-W007,P-H04-REF-B,350,349.9996332,-1.048010582e-06,-1.048010582,C/S
C003,2018-10-16,P-H05,P-H05-REF-A,P-H05-W001,350,350.0250427,7.155052269e-05,71.55052269,C/S
C003,2018-10-16,P-H05,P-H05-W001,P-H05-W002,137.3503853,137.3446604,-4.168134973e-05,-41.68134973,C/S
C003,2018-10-16,P-H05,P-H05-W002,P-H05-W003,110.5834499,110.5868762,3.098403495e-05,30.98403495,C/S
C003,2018-10-16,P-H05,P-H05-W003,P-H05-W004,168.4050445,168.3490481,-0.0003325103993,-332.5103993,C/S
C003,2018-10-16,P-H05,P-H05-W004,P-H05-W005,125.7533565,125.7589783,4.470507261e-05,44.70507261,C/S
C003,2018-10-16,P-H05,P-H05-W005,P-H05-W006,139.0390087,139.0379497,-7.616662801e-06,-7.616662801,C/S
C003,2018-10-16,P-H05,P-H05-W006,P-H05-W007,124.0169233,124.0301244,0.0001064457742,106.4457742,C/S
C003,2018-10-16,P-H05,P-H05-W007,P-H05-REF-B,350,350.0137621,3.932037048e-05,39.32037048,C/S
C003,2018-10-16,P-H06,P-H06-REF-A,P-H06-W001,350,350.0054476,1.556457341e-05,15.56457341,C/S
C003,2018-10-16,P-H06,P-H06-W001,P-H06-W003,268.8390558,268.8381059,-3.53355267e-06,-3.53355267,C/S
C003,2018-10-16,P-H06,P-H06-W003,P-H06-W004,98.40135561,98.38919105,-0.0001236218341,-123.6218341,C/S
C003,2018-10-16,P-H06,P-H06-W004,P-H06-W005,112.4208658,112.4225853,1.529576202e-05,15.29576202,C/S
C003,2018-10-16,P-H06,P-H06-W005,P-H06-W006,183.4187731,183.4142025,-2.491900074e-05,-24.91900074,C/S
C003,2018-10-16,P-H06,P-H06-W006,P-H06-W007,79.64044551,79.64888772,0.0001060040312,106.0040312,C/S
C003,2018-10-16,P-H06,P-H06-W007,P-H06-REF-B,350,350.0017239,4.925316571e-06,4.925316571,C/S
C003,2018-10-16,P-H07,P-H07-REF-A,P-H07-W001,350,350.0021178,6.050741568e-06,6.050741568,C/S
C003,2018-10-16,P-H07,P-H07-W001,P-H07-W002,74.66461176,74.66237498,-2.995762066e-05,-29.95762066,C/S
C003,2018-10-16,P-H07,P-H07-W002,P-H07-W003,110.950272,110.9444185,-5.275804169e-05,-52.75804169,C/S
C003,2018-10-16,P-H07,P-H07-W003,P-H07-W004,48.03057339,48.03374527,6.603890509e-05,66.03890509,C/S
C003,2018-10-16,P-H07,P-H07-W004,P-H07-W005,89.51974573,89.51999223,2.753607818e-06,2.753607818,C/S
C003,2018-10-16,P-H07,P-H07-W005,P-H07-W006,83.44130679,83.44166437,4.285428146e-06,4.285428146,C/S
C003,2018-10-16,P-H07,P-H07-W006,P-H07-W007,72.40610132,72.40801329,2.640621481e-05,26.40621481,C/S
C003,2018-10-16,P-H07,P-H07-W007,P-H07-REF-B,350,350.0001067,3.048493542e-07,0.3048493542,C/S
C003,2018-10-16,P-V01,P-V01-REF-A,P-V01-W001,350,349.9985106,-4.255412542e-06,-4.255412542,C/S
C003,2018-10-16,P-V01,P-V01-W001,P-V01-W003,221.7446559,221.7431935,-6.59499653e-06,-6.59499653,C/S
C003,2018-10-16,P-V01,P-V01-W003,P-V01-W004,59.34270916,59.34372948,1.719372479e-05,17.19372479,C/S
C003,2018-10-16,P-V01,P-V01-W004,P-V01-W005,134.2069541,134.2059483,-7.494656941e-06,-7.494656941,C/S
C003,2018-10-16,P-V01,P-V01-W005,P-V01-W006,91.75250131,91.75516376,2.901780488e-05,29.01780488,C/S
C003,2018-10-16,P-V01,P-V01-W006,P-V01-W007,97.4736689,97.47118781,-2.545391206e-05,-25.45391206,C/S
C003,2018-10-16,P-V01,P-V01-W007,P-V01-REF-B,350,350.0017895,5.112766502e-06,5.112766502,C/S
C003,2018-10-16,P-V02,P-V02-REF-A,P-V02-W001,350,349.9977889,-6.317435082e-06,-6.317435082,C/S
C003,2018-10-16,P-V02,P-V02-W001,P-V02-W002,70.30907674,70.30941895,4.867146161e-06,4.867146161,C/S
C003,2018-10-16,P-V02,P-V02-W002,P-V02-W003,81.53669476,81.53879371,2.574245691e-05,25.74245691,C/S
C003,2018-10-16,P-V02,P-V02-W003,P-V02-W004,50.70935413,50.70815795,-2.35890863e-05,-23.5890863,C/S
C003,2018-10-16,P-V02,P-V02-W004,P-V02-W005,49.83913967,49.83859111,-1.100663992e-05,-11.00663992,C/S
C003,2018-10-16,P-V02,P-V02-W005,P-V02-W006,82.92059208,82.91830059,-2.763466645e-05,-27.63466645,C/S
C003,2018-10-16,P-V02,P-V02-W006,P-V02-W007,77.52840368,77.53119166,3.596068599e-05,35.96068599,C/S
C003,2018-10-16,P-V02,P-V02-W007,P-V02-REF-B,350,349.999298,-2.005612722e-06,-2.005612722,C/S
C003,2018-10-16,P-V03,P-V03-REF-A,P-V03-W001,350,349.9974052,-7.413761709e-06,-7.413761709,C/S
C003,2018-10-16,P-V03,P-V03-W001,P-V03-W002,63.06157197,63.06375857,3.467405241e-05,34.67405241,C/S
C003,2018-10-16,P-V03,P-V03-W002,P-V03-W003,58.85491564,58.85206184,-4.848859409e-05,-48.48859409,C/S
C003,2018-10-16,P-V03,P-V03-W003,P-V03-W004,43.43717543,43.43488103,-5.282121083e-05,-52.82121083,C/S
C003,2018-10-16,P-V03,P-V03-W004,P-V03-W005,83.77403905,83.77777808,4.463236148e-05,44.63236148,C/S
C003,2018-10-16,P-V03,P-V03-W005,P-V03-W006,39.40388659,39.40451349,1.590958029e-05,15.90958029,C/S
C003,2018-10-16,P-V03,P-V03-W006,P-V03-W007,35.8452593,35.84575668,1.387583161e-05,13.87583161,C/S
C003,2018-10-16,P-V03,P-V03-W007,P-V03-REF-B,350,349.9997609,-6.831510226e-07,-0.6831510226,C/S
C003,2018-10-16,P-V04,P-V04-REF-A,P-V04-W001,350,350.0016903,4.829351293e-06,4.829351293,C/S
C003,2018-10-16,P-V04,P-V04-W001,P-V04-W002,41.59435355,41.59338795,-2.321470504e-05,-23.21470504,C/S
C003,2018-10-16,P-V04,P-V04-W002,P-V04-W003,72.7638751,72.76285841,-1.397253792e-05,-13.97253792,C/S
C003,2018-10-16,P-V04,P-V04-W003,P-V04-W004,92.35727176,92.35975204,2.685530296e-05,26.85530296,C/S
C003,2018-10-16,P-V04,P-V04-W004,P-V04-W005,24.56437629,24.56555139,4.783756479e-05,47.83756479,C/S
C003,2018-10-16,P-V04,P-V04-W005,P-V04-W006,46.77561246,46.77405773,-3.323799161e-05,-33.23799161,C/S
C003,2018-10-16,P-V04,P-V04-W006,P-V04-W007,72.55087429,72.55115415,3.857508093e-06,3.857508093,C/S
C003,2018-10-16,P-V04,P-V04-W007,P-V04-REF-B,350,349.9991069,-2.551803165e-06,-2.551803165,C/S
C003,2018-10-16,P-V05,P-V05-REF-A,P-V05-W001,350,350.0004537,1.296403479e-06,1.296403479,C/S
C003,2018-10-16,P-V05,P-V05-W001,P-V05-W002,96.75573535,96.75197595,-3.885457055e-05,-38.85457055,C/S
C003,2018-10-16,P-V05,P-V05-W002,P-V05-W004,82.73339177,82.73489243,1.813845045e-05,18.13845045,C/S
C003,2018-10-16,P-V05,P-V05-W004,P-V05-W005,72.37746966,72.37701452,-6.288430278e-06,-6.288430278,C/S
C003,2018-10-16,P-V05,P-V05-W005,P-V05-W006,31.4828166,31.48211042,-2.243070513e-05,-22.43070513,C/S
C003,2018-10-16,P-V05,P-V05-W006,P-V05-W007,70.51623896,70.51444529,-2.543623767e-05,-25.43623767,C/S
C003,2018-10-16,P-V05,P-V05-W007,P-V05-REF-B,350,350.0045638,1.303947539e-05,13.03947539,C/S
