session_id,campaign_id,date,point_id,session_index,receiver_model,duration_min,baseline_length_km,pdop,n_satellites,solution_type,observed_height_m_raw,standard_uncertainty_height_mm,qc_status,provenance
GNSS-C001-P-H05-W005-1,C001,2018-05-15,P-H05-W005,1,dual_frequency_synthetic_class,86,3.134993978,2.467703726,17,fixed,197.4424611,4.578773015,accepted,S
GNSS-C001-P-H05-W005-2,C001,2018-05-15,P-H05-W005,2,dual_frequency_synthetic_class,107,3.401722835,1.285407781,16,fixed,197.4439953,3.326258669,accepted,S
GNSS-C001-P-H05-W001-1,C001,2018-05-15,P-H05-W001,1,dual_frequency_synthetic_class,93,4.515099412,1.770239509,14,fixed,196.1277611,4.059981354,accepted,S
GNSS-C001-P-H05-W001-2,C001,2018-05-15,P-H05-W001,2,dual_frequency_synthetic_class,92,6.408666765,2.831607887,9,fixed,196.1322012,5.568328693,accepted,S
GNSS-C001-P-H05-W003-1,C001,2018-05-15,P-H05-W003,1,dual_frequency_synthetic_class,72,1.374188892,2.222853725,10,fixed,196.7936221,3.992493099,accepted,S
GNSS-C001-P-H05-W003-2,C001,2018-05-15,P-H05-W003,2,dual_frequency_synthetic_class,84,6.588338051,2.278353162,17,fixed,196.8033428,4.992089327,accepted,S
GNSS-C001-P-H06-REF-A-1,C001,2018-05-15,P-H06-REF-A,1,dual_frequency_synthetic_class,105,6.665783885,3.243852418,14,fixed,186.0071273,6.068078759,warning,S
GNSS-C001-P-H06-REF-A-2,C001,2018-05-15,P-H06-REF-A,2,dual_frequency_synthetic_class,100,4.477499762,2.072313046,10,fixed,186.0239411,4.385494308,accepted,S
GNSS-C001-P-H06-W005-1,C001,2018-05-15,P-H06-W005,1,dual_frequency_synthetic_class,97,1.044822846,1.250949767,12,fixed,191.5168415,2.864112856,accepted,S
GNSS-C001-P-H06-W005-2,C001,2018-05-15,P-H06-W005,2,dual_frequency_synthetic_class,91,3.818026251,2.165946181,12,fixed,191.5211099,4.369785524,accepted,S
GNSS-C001-P-H06-W001-1,C001,2018-05-15,P-H06-W001,1,dual_frequency_synthetic_class,61,3.860417093,3.390235236,10,fixed,188.1408258,5.724133836,warning,S
GNSS-C001-P-H06-W001-2,C001,2018-05-15,P-H06-W001,2,dual_frequency_synthetic_class,82,6.267450727,1.618015916,14,fixed,188.1487935,4.207958638,accepted,S
GNSS-C001-P-H06-W003-1,C001,2018-05-15,P-H06-W003,1,dual_frequency_synthetic_class,54,2.910300957,1.526103132,12,fixed,189.9671074,3.502567617,accepted,S
GNSS-C001-P-H06-W003-2,C001,2018-05-15,P-H06-W003,2,dual_frequency_synthetic_class,97,6.714659029,2.718415283,12,float,189.9647922,9.498895436,warning,S
GNSS-C001-P-H07-REF-A-1,C001,2018-05-15,P-H07-REF-A,1,dual_frequency_synthetic_class,53,2.18625321,1.356824709,17,fixed,201.097282,3.186032757,accepted,S
GNSS-C001-P-H07-REF-A-2,C001,2018-05-15,P-H07-REF-A,2,dual_frequency_synthetic_class,119,5.555304553,2.462403513,11,fixed,201.1016964,5.008598684,accepted,S
GNSS-C001-P-H07-W007-1,C001,2018-05-15,P-H07-W007,1,dual_frequency_synthetic_class,112,1.548774472,2.417876749,14,fixed,202.8502482,4.238443829,accepted,S
GNSS-C001-P-H07-W007-2,C001,2018-05-15,P-H07-W007,2,dual_frequency_synthetic_class,119,7.139885485,2.117932666,12,fixed,202.8529651,4.91490532,accepted,S
GNSS-C001-P-H07-W001-1,C001,2018-05-15,P-H07-W001,1,dual_frequency_synthetic_class,81,1.801996467,1.713629666,12,fixed,201.9266013,3.509351997,accepted,S
GNSS-C001-P-H07-W001-2,C001,2018-05-15,P-H07-W001,2,dual_frequency_synthetic_class,67,4.282786946,2.901682359,12,fixed,201.9181108,5.262752245,accepted,S
GNSS-C001-P-H07-W002-1,C001,2018-05-15,P-H07-W002,1,dual_frequency_synthetic_class,77,3.328267149,1.658304639,11,fixed,202.0701482,3.72322319,accepted,S
GNSS-C001-P-H07-W002-2,C001,2018-05-15,P-H07-W002,2,dual_frequency_synthetic_class,114,1.526699342,2.06472722,16,fixed,202.0720082,3.846005823,accepted,S
GNSS-C001-P-V01-REF-A-1,C001,2018-05-15,P-V01-REF-A,1,dual_frequency_synthetic_class,56,0.8623243382,2.681760252,11,fixed,159.9089057,4.405154658,accepted,S
GNSS-C001-P-V01-REF-A-2,C001,2018-05-15,P-V01-REF-A,2,dual_frequency_synthetic_class,116,5.957115345,1.567136766,11,float,159.8972849,8.096131205,warning,S
GNSS-C001-P-V01-W002-1,C001,2018-05-15,P-V01-W002,1,dual_frequency_synthetic_class,71,2.031446582,2.539908521,10,fixed,160.7840223,4.459559758,accepted,S
GNSS-C001-P-V01-W002-2,C001,2018-05-15,P-V01-W002,2,dual_frequency_synthetic_class,113,1.174296064,1.827020372,16,fixed,160.7780969,3.5210957,accepted,S
GNSS-C001-P-V01-W004-1,C001,2018-05-15,P-V01-W004,1,dual_frequency_synthetic_class,66,6.916874003,2.777357282,15,fixed,161.1105069,5.600130331,accepted,S
GNSS-C001-P-V01-W004-2,C001,2018-05-15,P-V01-W004,2,dual_frequency_synthetic_class,115,4.366196328,1.379576063,15,fixed,161.1105717,3.603449008,accepted,S
GNSS-C001-P-V01-W007-1,C001,2018-05-15,P-V01-W007,1,dual_frequency_synthetic_class,67,6.339607465,1.743495471,10,fixed,161.6252419,4.358974362,accepted,S
GNSS-C001-P-V01-W007-2,C001,2018-05-15,P-V01-W007,2,dual_frequency_synthetic_class,61,7.568158012,1.39272839,16,fixed,161.6223653,4.194269671,accepted,S
GNSS-C001-P-V02-REF-A-1,C001,2018-05-15,P-V02-REF-A,1,dual_frequency_synthetic_class,119,2.510068206,2.94816574,17,fixed,171.8505822,4.994794591,accepted,S
GNSS-C001-P-V02-REF-A-2,C001,2018-05-15,P-V02-REF-A,2,dual_frequency_synthetic_class,120,5.90921227,2.951524245,13,float,171.840214,9.610334879,warning,S
GNSS-C001-P-V02-W004-1,C001,2018-05-15,P-V02-W004,1,dual_frequency_synthetic_class,98,5.075750049,2.109333007,17,fixed,172.9389557,4.533901316,accepted,S
GNSS-C001-P-V02-W004-2,C001,2018-05-15,P-V02-W004,2,dual_frequency_synthetic_class,117,7.301987692,1.337789089,15,fixed,172.9429122,4.085925782,accepted,S
GNSS-C001-P-V02-W002-1,C001,2018-05-15,P-V02-W002,1,dual_frequency_synthetic_class,68,7.98543817,1.874061941,17,fixed,172.6167539,4.798847006,accepted,S
GNSS-C001-P-V02-W002-2,C001,2018-05-15,P-V02-W002,2,dual_frequency_synthetic_class,99,3.92544673,2.213318014,11,fixed,172.6181197,4.441230227,accepted,S
GNSS-C001-P-V02-W001-1,C001,2018-05-15,P-V02-W001,1,dual_frequency_synthetic_class,74,4.425116241,1.201407091,16,fixed,172.4475157,3.418068723,accepted,S
GNSS-C001-P-V02-W001-2,C001,2018-05-15,P-V02-W001,2,dual_frequency_synthetic_class,113,4.417551483,2.616659032,9,float,172.4490074,8.973484202,warning,S
GNSS-C001-P-V03-REF-A-1,C001,2018-05-15,P-V03-REF-A,1,dual_frequency_synthetic_class,111,1.574982687,2.437545089,16,fixed,180.7884075,4.264796482,accepted,S
GNSS-C001-P-V03-REF-A-2,C001,2018-05-15,P-V03-REF-A,2,dual_frequency_synthetic_class,53,7.707920199,2.549812092,10,float,180.7924767,9.492218937,warning,S
GNSS-C001-P-V03-W006-1,C001,2018-05-15,P-V03-W006,1,dual_frequency_synthetic_class,112,3.127370424,2.30008224,15,fixed,181.7637777,4.393017141,accepted,S
GNSS-C001-P-V03-W006-2,C001,2018-05-15,P-V03-W006,2,dual_frequency_synthetic_class,60,3.282330231,3.283617929,10,fixed,181.7632596,5.502799163,warning,S
GNSS-C001-P-V03-W001-1,C001,2018-05-15,P-V03-W001,1,dual_frequency_synthetic_class,55,6.163176772,1.200210756,11,fixed,181.1208426,3.72960365,accepted,S
GNSS-C001-P-V03-W001-2,C001,2018-05-15,P-V03-W001,2,dual_frequency_synthetic_class,80,3.388941819,1.783031446,14,fixed,181.1167009,3.871344118,accepted,S
GNSS-C001-P-V03-W003-1,C001,2018-05-15,P-V03-W003,1,dual_frequency_synthetic_class,103,3.364695164,1.250071416,10,fixed,180.5077094,3.280723687,accepted,S
GNSS-C001-P-V03-W003-2,C001,2018-05-15,P-V03-W003,2,dual_frequency_synthetic_class,84,3.081478376,2.854769287,10,fixed,180.5095883,4.994912323,accepted,S
GNSS-C001-P-V04-REF-A-1,C001,2018-05-15,P-V04-REF-A,1,dual_frequency_synthetic_class,103,6.125606058,2.530654497,10,float,194.4729853,9.186329037,warning,S
GNSS-C001-P-V04-REF-A-2,C001,2018-05-15,P-V04-REF-A,2,dual_frequency_synthetic_class,120,2.402938109,2.140272961,17,fixed,194.4755399,4.086829117,accepted,S
GNSS-C001-P-V04-W002-1,C001,2018-05-15,P-V04-W002,1,dual_frequency_synthetic_class,45,3.035627665,1.267273672,14,fixed,195.0636725,3.240414019,accepted,S
GNSS-C001-P-V04-W002-2,C001,2018-05-15,P-V04-W002,2,dual_frequency_synthetic_class,63,1.070657412,2.830230194,18,fixed,195.0682547,4.605971548,accepted,S
GNSS-C001-P-V04-W006-1,C001,2018-05-15,P-V04-W006,1,dual_frequency_synthetic_class,111,7.888246456,1.806936526,13,fixed,195.5017996,4.707514541,accepted,S
GNSS-C001-P-V04-W006-2,C001,2018-05-15,P-V04-W006,2,dual_frequency_synthetic_class,45,6.99676036,2.872294101,14,float,195.4924207,9.718940376,warning,S
GNSS-C001-P-V04-W005-1,C001,2018-05-15,P-V04-W005,1,dual_frequency_synthetic_class,106,6.137385706,1.227609525,17,fixed,195.3091553,3.755099904,accepted,S
GNSS-C001-P-V04-W005-2,C001,2018-05-15,P-V04-W005,2,dual_frequency_synthetic_class,64,6.424812363,2.004249733,10,fixed,195.3049364,4.661140932,accepted,S
GNSS-C001-P-V05-REF-A-1,C001,2018-05-15,P-V05-REF-A,1,dual_frequency_synthetic_class,94,3.84377732,3.373272403,15,fixed,195.6774209,5.702479561,warning,S
GNSS-C001-P-V05-REF-A-2,C001,2018-05-15,P-V05-REF-A,2,dual_frequency_synthetic_class,71,4.178054649,1.619786529,13,fixed,195.6660097,3.833815019,accepted,S
GNSS-C001-P-V05-W004-1,C001,2018-05-15,P-V05-W004,1,dual_frequency_synthetic_class,68,7.204147735,2.854244046,17,fixed,195.478773,5.736415043,accepted,S
GNSS-C001-P-V05-W004-2,C001,2018-05-15,P-V05-W004,2,dual_frequency_synthetic_class,101,7.067076367,3.261033951,10,fixed,195.483139,6.159211092,warning,S
GNSS-C001-P-V05-W005-1,C001,2018-05-15,P-V05-W005,1,dual_frequency_synthetic_class,93,4.396594351,3.314955975,15,fixed,195.5477305,5.737838555,warning,S
GNSS-C001-P-V05-W005-2,C001,2018-05-15,P-V05-W005,2,dual_frequency_synthetic_class,51,5.456774494,2.678943432,9,fixed,195.5354889,5.229057184,accepted,S
GNSS-C001-P-V05-W002-1,C001,2018-05-15,P-V05-W002,1,dual_frequency_synthetic_class,97,6.092101035,3.216963464,9,fixed,195.2478766,5.935237997,warning,S
GNSS-C001-P-V05-W002-2,C001,2018-05-15,P-V05-W002,2,dual_frequency_synthetic_class,111,6.739447636,1.954841662,10,fixed,195.2543347,4.663426402,accepted,S
GNSS-C001-P-V06-REF-A-1,C001,2018-05-15,P-V06-REF-A,1,dual_frequency_synthetic_class,63,5.71264761,2.782319887,9,fixed,199.8194212,5.388828445,accepted,S
GNSS-C001-P-V06-REF-A-2,C001,2018-05-15,P-V06-REF-A,2,dual_frequency_synthetic_class,51,3.593601963,2.601483424,12,fixed,199.8174236,4.80848012,accepted,S
GNSS-C001-P-V06-W006-1,C001,2018-05-15,P-V06-W006,1,dual_frequency_synthetic_class,99,5.514278776,1.747404407,14,fixed,201.3870666,4.214715027,accepted,S
GNSS-C001-P-V06-W006-2,C001,2018-05-15,P-V06-W006,2,dual_frequency_synthetic_class,74,2.066754003,2.005103625,14,fixed,201.3870634,3.877629708,accepted,S
GNSS-C001-P-V06-W003-1,C001,2018-05-15,P-V06-W003,1,dual_frequency_synthetic_class,54,2.568365408,2.314653724,14,fixed,200.7493999,4.30842487,accepted,S
GNSS-C001-P-V06-W003-2,C001,2018-05-15,P-V06-W003,2,dual_frequency_synthetic_class,116,7.281730855,3.27909905,12,fixed,200.7432439,6.217720509,warning,S
GNSS-C001-P-V06-W002-1,C001,2018-05-15,P-V06-W002,1,dual_frequency_synthetic_class,95,7.565641007,1.361025772,14,fixed,200.6043548,4.158943731,accepted,S
GNSS-C001-P-V06-W002-2,C001,2018-05-15,P-V06-W002,2,dual_frequency_synthetic_class,120,2.339732312,2.266029293,11,fixed,200.6041406,4.213784038,accepted,S
GNSS-C003-P-D01-REF-A-1,C003,2018-10-16,P-D01-REF-A,1,dual_frequency_synthetic_class,91,5.693393801,3.382592071,17,float,160.4559324,10.04566216,warning,S
GNSS-C003-P-D01-REF-A-2,C003,2018-10-16,P-D01-REF-A,2,dual_frequency_synthetic_class,96,6.366666863,1.212169551,18,fixed,160.4447486,3.779386541,accepted,S
GNSS-C003-P-D01-W001-1,C003,2018-10-16,P-D01-W001,1,dual_frequency_synthetic_class,88,5.378732934,1.584631252,12,fixed,161.131152,4.011266306,accepted,S
GNSS-C003-P-D01-W001-2,C003,2018-10-16,P-D01-W001,2,dual_frequency_synthetic_class,68,6.597564223,2.171045602,12,fixed,161.1384994,4.875711722,accepted,S
GNSS-C003-P-D01-W006-1,C003,2018-10-16,P-D01-W006,1,dual_frequency_synthetic_class,71,2.452792244,1.905848578,17,fixed,162.1511038,3.837936039,accepted,S
GNSS-C003-P-D01-W006-2,C003,2018-10-16,P-D01-W006,2,dual_frequency_synthetic_class,114,1.962366458,2.306646194,13,fixed,162.1540577,4.190536776,accepted,S
GNSS-C003-P-D01-W003-1,C003,2018-10-16,P-D01-W003,1,dual_frequency_synthetic_class,88,5.475841697,2.42860527,15,fixed,161.1992432,4.957117303,accepted,S
GNSS-C003-P-D01-W003-2,C003,2018-10-16,P-D01-W003,2,dual_frequency_synthetic_class,49,5.042710226,2.192097112,15,fixed,161.1943971,4.618994664,accepted,S
GNSS-C003-P-H01-REF-A-1,C003,2018-10-16,P-H01-REF-A,1,dual_frequency_synthetic_class,68,2.434440861,2.357821021,11,fixed,159.9297443,4.331802478,accepted,S
GNSS-C003-P-H01-REF-A-2,C003,2018-10-16,P-H01-REF-A,2,dual_frequency_synthetic_class,68,4.047742233,3.185157718,13,fixed,159.9196056,5.532267091,warning,S
GNSS-C003-P-H01-W002-1,C003,2018-10-16,P-H01-W002,1,dual_frequency_synthetic_class,117,7.381149791,3.26871692,11,fixed,160.5540435,6.224195574,warning,S
GNSS-C003-P-H01-W002-2,C003,2018-10-16,P-H01-W002,2,dual_frequency_synthetic_class,47,4.587535626,1.228356593,13,fixed,160.5433499,3.476948665,accepted,S
GNSS-C003-P-H01-W007-1,C003,2018-10-16,P-H01-W007,1,dual_frequency_synthetic_class,64,2.007349423,1.860248805,15,fixed,162.3391539,3.707596582,accepted,S
GNSS-C003-P-H01-W007-2,C003,2018-10-16,P-H01-W007,2,dual_frequency_synthetic_class,109,4.09652755,3.098400768,17,fixed,162.336729,5.445615804,warning,S
GNSS-C003-P-H01-W003-1,C003,2018-10-16,P-H01-W003,1,dual_frequency_synthetic_class,113,7.884018494,3.151393955,12,fixed,160.6441097,6.185656679,warning,S
GNSS-C003-P-H01-W003-2,C003,2018-10-16,P-H01-W003,2,dual_frequency_synthetic_class,61,1.866702997,2.495685675,17,fixed,160.6305221,4.381260782,accepted,S
GNSS-C003-P-H02-REF-A-1,C003,2018-10-16,P-H02-REF-A,1,dual_frequency_synthetic_class,102,2.589388616,2.959518017,11,fixed,162.7353606,5.02155977,accepted,S
GNSS-C003-P-H02-REF-A-2,C003,2018-10-16,P-H02-REF-A,2,dual_frequency_synthetic_class,117,2.948925391,2.363948205,15,fixed,162.7332613,4.431149596,accepted,S
GNSS-C003-P-H02-W004-1,C003,2018-10-16,P-H02-W004,1,dual_frequency_synthetic_class,97,6.974057561,3.295508968,13,fixed,164.09555,6.180390225,warning,S
GNSS-C003-P-H02-W004-2,C003,2018-10-16,P-H02-W004,2,dual_frequency_synthetic_class,66,3.093692322,1.806971398,10,fixed,164.0833648,3.844533156,accepted,S
GNSS-C003-P-H02-W006-1,C003,2018-10-16,P-H02-W006,1,dual_frequency_synthetic_class,93,1.985305713,3.241331752,18,fixed,164.5439987,5.222819956,warning,S
GNSS-C003-P-H02-W006-2,C003,2018-10-16,P-H02-W006,2,dual_frequency_synthetic_class,65,5.778386856,1.517997873,14,fixed,164.5432266,4.009907294,accepted,S
GNSS-C003-P-H02-W001-1,C003,2018-10-16,P-H02-W001,1,dual_frequency_synthetic_class,70,7.452313355,2.607432912,10,fixed,163.3398606,5.509592607,accepted,S
GNSS-C003-P-H02-W001-2,C003,2018-10-16,P-H02-W001,2,dual_frequency_synthetic_class,97,5.64024561,1.884066876,13,fixed,163.3416596,4.387717774,accepted,S
GNSS-C003-P-H03-REF-A-1,C003,2018-10-16,P-H03-REF-A,1,dual_frequency_synthetic_class,58,2.919288184,2.707955062,14,fixed,196.2836001,4.804222441,accepted,S
GNSS-C003-P-H03-REF-A-2,C003,2018-10-16,P-H03-REF-A,2,dual_frequency_synthetic_class,93,3.235530095,3.030473445,11,fixed,196.2897813,5.215916206,warning,S
GNSS-C003-P-H03-W003-1,C003,2018-10-16,P-H03-W003,1,dual_frequency_synthetic_class,49,5.134725398,2.035965548,11,fixed,196.6516948,4.463812675,accepted,S
GNSS-C003-P-H03-W003-2,C003,2018-10-16,P-H03-W003,2,dual_frequency_synthetic_class,100,2.297233559,1.362780774,10,fixed,196.6509491,3.212560892,accepted,S
GNSS-C003-P-H03-W005-1,C003,2018-10-16,P-H03-W005,1,dual_frequency_synthetic_class,118,6.848885499,2.377884316,14,fixed,196.8996202,5.148472137,accepted,S
GNSS-C003-P-H03-W005-2,C003,2018-10-16,P-H03-W005,2,dual_frequency_synthetic_class,93,5.918295577,2.10218633,14,fixed,196.8938087,4.677698167,accepted,S
GNSS-C003-P-H03-W007-1,C003,2018-10-16,P-H03-W007,1,dual_frequency_synthetic_class,119,4.104699319,2.60984812,17,fixed,196.8541063,4.909678809,accepted,S
GNSS-C003-P-H03-W007-2,C003,2018-10-16,P-H03-W007,2,dual_frequency_synthetic_class,112,7.175595948,1.695985577,13,fixed,196.8635108,4.457191405,accepted,S
GNSS-C003-P-H04-REF-A-1,C003,2018-10-16,P-H04-REF-A,1,dual_frequency_synthetic_class,107,1.765854188,2.285454299,14,fixed,174.0182616,4.131853482,accepted,S
GNSS-C003-P-H04-REF-A-2,C003,2018-10-16,P-H04-REF-A,2,dual_frequency_synthetic_class,57,3.206553722,1.6111911,12,fixed,174.0151446,3.64948988,accepted,S
GNSS-C003-P-H04-W005-1,C003,2018-10-16,P-H04-W005,1,dual_frequency_synthetic_class,54,1.097541431,3.214027811,12,fixed,178.8430586,5.03298805,warning,S
GNSS-C003-P-H04-W005-2,C003,2018-10-16,P-H04-W005,2,dual_frequency_synthetic_class,99,5.370983762,2.403318445,9,fixed,178.8415065,4.910427367,accepted,S
GNSS-C003-P-H04-W006-1,C003,2018-10-16,P-H04-W006,1,dual_frequency_synthetic_class,48,2.677949129,2.92785024,17,fixed,179.5617825,5.002666107,accepted,S
GNSS-C003-P-H04-W006-2,C003,2018-10-16,P-H04-W006,2,dual_frequency_synthetic_class,50,1.595176493,2.94287476,11,fixed,179.5547984,4.824294005,accepted,S
GNSS-C003-P-H04-W002-1,C003,2018-10-16,P-H04-W002,1,dual_frequency_synthetic_class,54,2.088699418,2.010247974,12,fixed,176.3487073,3.887238666,accepted,S
GNSS-C003-P-H04-W002-2,C003,2018-10-16,P-H04-W002,2,dual_frequency_synthetic_class,76,6.500804895,2.035874129,17,fixed,176.3411875,4.709606423,accepted,S
