campaign_id,date,profile_id,point_id,observed_x_local_m,observed_y_local_m,standard_uncertainty_xy_mm,qc_status,provenance
C001,2018-05-15,P-H02,P-H02-W003,21973.03917,40532.69901,1.4,accepted,S
C001,2018-05-15,P-H02,P-H02-W004,22047.51913,40532.69519,1.4,accepted,S
C001,2018-05-15,P-H02,P-H02-W005,22164.56388,40532.69696,1.4,accepted,S
C001,2018-05-15,P-H02,P-H02-W006,22226.26218,40532.69445,1.4,accepted,S
C001,2018-05-15,P-H02,P-H02-W007,22330.95535,40532.69642,1.4,accepted,S
C001,2018-05-15,P-H02,P-H02-REF-B,22680.95747,40532.69707,0.9,accepted,S
C001,2018-05-15,P-H03,P-H03-REF-A,28847.39465,41488.42912,0.9,accepted,S
C001,2018-05-15,P-H03,P-H03-W001,29197.39704,41488.42869,1.4,accepted,S
C001,2018-05-15,P-H03,P-H03-W002,29284.85361,41488.43209,1.4,accepted,S
C001,2018-05-15,P-H03,P-H03-W003,29321.74258,41488.43423,1.4,accepted,S
C001,2018-05-15,P-H03,P-H03-W004,29397.43428,41488.43723,1.4,accepted,S
C001,2018-05-15,P-H03,P-H03-W005,29505.79682,41488.42826,1.4,accepted,S
C001,2018-05-15,P-H03,P-H03-W006,29518.67458,41488.42717,1.4,accepted,S
C001,2018-05-15,P-H03,P-H03-W007,29630.33759,41488.42032,1.4,accepted,S
C001,2018-05-15,P-H03,P-H03-REF-B,29980.34476,41488.42971,0.9,accepted,S
C001,2018-05-15,P-H04,P-H04-REF-A,23368.90398,42444.16224,0.9,accepted,S
C001,2018-05-15,P-H04,P-H04-W001,23718.90397,42444.16077,1.4,accepted,S
C001,2018-05-15,P-H04,P-H04-W002,23797.84368,42444.17053,1.4,accepted,S
C001,2018-05-15,P-H04,P-H04-W003,23918.0643,42444.17369,1.4,accepted,S
C001,2018-05-15,P-H04,P-H04-W004,24038.96425,42444.16249,1.4,accepted,S
C001,2018-05-15,P-H04,P-H04-W005,24117.60424,42444.16169,1.4,accepted,S
C001,2018-05-15,P-H04,P-H04-W006,24225.79735,42444.15691,1.4,accepted,S
C001,2018-05-15,P-H04,P-H04-W007,24318.37315,42444.15913,1.4,accepted,S
C001,2018-05-15,P-H04,P-H04-REF-B,24668.37324,42444.16142,0.9,accepted,S
C001,2018-05-15,P-H05,P-H05-REF-A,26665.99037,43399.89457,0.9,accepted,S
C001,2018-05-15,P-H05,P-H05-W001,27016.01369,43399.9203,1.4,accepted,S
C001,2018-05-15,P-H05,P-H05-W002,27153.3627,43399.9142,1.4,accepted,S
C001,2018-05-15,P-H05,P-H05-W003,27263.95016,43399.91697,1.4,accepted,S
C001,2018-05-15,P-H05,P-H05-W004,27432.29883,43399.86721,1.4,accepted,S
C001,2018-05-15,P-H05,P-H05-W005,27558.05874,43399.86922,1.4,accepted,S
C001,2018-05-15,P-H05,P-H05-W006,27697.0964,43399.86717,1.4,accepted,S
C001,2018-05-15,P-H05,P-H05-W007,27821.12224,43399.88197,1.4,accepted,S
C001,2018-05-15,P-H05,P-H05-REF-B,28171.1373,43399.89491,0.9,accepted,S
C001,2018-05-15,P-H06,P-H06-REF-A,24584.4949,44355.62447,0.9,accepted,S
C001,2018-05-15,P-H06,P-H06-W001,24934.50242,44355.63354,1.4,accepted,S
C001,2018-05-15,P-H06,P-H06-W002,25077.46798,44355.62922,1.4,accepted,S
C001,2018-05-15,P-H06,P-H06-W003,25203.34155,44355.63076,1.4,accepted,S
C001,2018-05-15,P-H06,P-H06-W004,25301.73256,44355.61858,1.4,accepted,S
C001,2018-05-15,P-H06,P-H06-W005,25414.15596,44355.62123,1.4,accepted,S
C001,2018-05-15,P-H06,P-H06-W006,25597.56801,44355.61812,1.4,accepted,S
C001,2018-05-15,P-H06,P-H06-W007,25677.2141,44355.62498,1.4,accepted,S
C001,2018-05-15,P-H06,P-H06-REF-B,26027.21564,44355.62434,0.9,accepted,S
C001,2018-05-15,P-H07,P-H07-REF-A,26999.02867,45311.35765,0.9,accepted,S
C001,2018-05-15,P-H07,P-H07-W001,27349.02986,45311.35962,1.4,accepted,S
C001,2018-05-15,P-H07,P-H07-W002,27423.6954,45311.36009,1.4,accepted,S
C001,2018-05-15,P-H07,P-H07-W003,27534.63627,45311.35161,1.4,accepted,S
C001,2018-05-15,P-H07,P-H07-W004,27582.6697,45311.35366,1.4,accepted,S
C001,2018-05-15,P-H07,P-H07-W005,27672.19397,45311.36041,1.4,accepted,S
C001,2018-05-15,P-H07,P-H07-W007,27828.04269,45311.35893,1.4,accepted,S
C001,2018-05-15,P-H07,P-H07-REF-B,28178.04015,45311.35837,0.9,accepted,S
C001,2018-05-15,P-V01,P-V01-REF-A,21687.36499,38872.51081,0.9,accepted,S
C001,2018-05-15,P-V01,P-V01-W001,21687.36627,39222.51045,1.4,accepted,S
C001,2018-05-15,P-V01,P-V01-W002,21687.36546,39326.96098,1.4,accepted,S
C001,2018-05-15,P-V01,P-V01-W003,21687.3621,39444.25574,1.4,accepted,S
C001,2018-05-15,P-V01,P-V01-W004,21687.36406,39503.59731,1.4,accepted,S
C001,2018-05-15,P-V01,P-V01-W005,21687.36158,39637.80287,1.4,accepted,S
C001,2018-05-15,P-V01,P-V01-W006,21687.36258,39729.55775,1.4,accepted,S
C001,2018-05-15,P-V01,P-V01-W007,21687.36365,39827.03016,1.4,accepted,S
C001,2018-05-15,P-V01,P-V01-REF-B,21687.36419,40177.0296,0.9,accepted,S
C001,2018-05-15,P-V02,P-V02-REF-A,23099.4494,42131.02382,0.9,accepted,S
C001,2018-05-15,P-V02,P-V02-W001,23099.44926,42481.02057,1.4,accepted,S
C001,2018-05-15,P-V02,P-V02-W002,23099.44971,42551.33177,1.4,accepted,S
C001,2018-05-15,P-V02,P-V02-W003,23099.45076,42632.86811,1.4,accepted,S
C001,2018-05-15,P-V02,P-V02-W004,23099.4499,42683.57656,1.4,accepted,S
C001,2018-05-15,P-V02,P-V02-W005,23099.4465,42733.41979,1.4,accepted,S
C001,2018-05-15,P-V02,P-V02-W006,23099.45012,42816.33841,1.4,accepted,S
C001,2018-05-15,P-V02,P-V02-W007,23099.45092,42893.86474,1.4,accepted,S
C001,2018-05-15,P-V02,P-V02-REF-B,23099.45169,43243.86599,0.9,accepted,S
C001,2018-05-15,P-V03,P-V03-REF-A,24511.5363,41998.32436,0.9,accepted,S
C001,2018-05-15,P-V03,P-V03-W001,24511.53435,42348.32546,1.4,accepted,S
C001,2018-05-15,P-V03,P-V03-W002,24511.53585,42411.3857,1.4,accepted,S
C001,2018-05-15,P-V03,P-V03-W003,24511.53699,42470.23812,1.4,accepted,S
C001,2018-05-15,P-V03,P-V03-W004,24511.53526,42513.67325,1.4,accepted,S
C001,2018-05-15,P-V03,P-V03-W005,24511.53483,42597.4516,1.4,accepted,S
C001,2018-05-15,P-V03,P-V03-W006,24511.53586,42636.85509,1.4,accepted,S
C001,2018-05-15,P-V03,P-V03-W007,24511.53692,42672.69856,1.4,accepted,S
C001,2018-05-15,P-V03,P-V03-REF-B,24511.53551,43022.70042,0.9,accepted,S
C001,2018-05-15,P-V04,P-V04-REF-A,25923.62256,44254.21684,0.9,accepted,S
C001,2018-05-15,P-V04,P-V04-W001,25923.62274,44604.21514,1.4,accepted,S
C001,2018-05-15,P-V04,P-V04-W002,25923.62293,44645.81047,1.4,accepted,S
C001,2018-05-15,P-V04,P-V04-W003,25923.62158,44718.57569,1.4,accepted,S
C001,2018-05-15,P-V04,P-V04-W004,25923.62264,44810.93135,1.4,accepted,S
C001,2018-05-15,P-V04,P-V04-W005,25923.62074,44835.49715,1.4,accepted,S
C001,2018-05-15,P-V04,P-V04-W006,25923.62119,44882.27168,1.4,accepted,S
C001,2018-05-15,P-V04,P-V04-W007,25923.62404,44954.82256,1.4,accepted,S
C001,2018-05-15,P-V04,P-V04-REF-B,25923.62258,45304.82304,0.9,accepted,S
C001,2018-05-15,P-V05,P-V05-REF-A,27335.70557,42160.51203,0.9,accepted,S
C001,2018-05-15,P-V05,P-V05-W002,27335.70437,42607.267,1.4,accepted,S
C001,2018-05-15,P-V05,P-V05-W003,27335.70622,42625.12611,1.4,accepted,S
C001,2018-05-15,P-V05,P-V05-W004,27335.70802,42689.9985,1.4,accepted,S
C001,2018-05-15,P-V05,P-V05-W006,27335.70211,42793.85485,1.4,accepted,S
C001,2018-05-15,P-V05,P-V05-W007,27335.7035,42864.37136,1.4,accepted,S
C001,2018-05-15,P-V05,P-V05-REF-B,27335.7058,43214.37538,0.9,accepted,S
C001,2018-05-15,P-V06,P-V06-REF-A,28747.79209,43295.82947,0.9,accepted,S
C001,2018-05-15,P-V06,P-V06-W001,28747.79256,43645.83006,1.4,accepted,S
C001,2018-05-15,P-V06,P-V06-W003,28747.79355,43785.99515,1.4,accepted,S
C001,2018-05-15,P-V06,P-V06-W004,28747.79047,43929.00464,1.4,accepted,S
C001,2018-05-15,P-V06,P-V06-W005,28747.78898,44000.35818,1.4,accepted,S
C001,2018-05-15,P-V06,P-V06-W006,28747.79182,44101.77883,1.4,accepted,S
C001,2018-05-15,P-V06,P-V06-W007,28747.79125,44161.8813,1.4,accepted,S
C001,2018-05-15,P-V06,P-V06-REF-B,28747.79307,44511.88341,0.9,accepted,S
C002,2018-07-10,P-H03,P-H03-REF-A,28847.39539,41488.42901,0.9,accepted,S
C002,2018-07-10,P-H03,P-H03-W001,29197.39658,41488.43271,1.4,accepted,S
C002,2018-07-10,P-H03,P-H03-W002,29284.85362,41488.43429,1.4,accepted,S
C002,2018-07-10,P-H03,P-H03-W003,29321.73793,41488.43263,1.4,accepted,S
C002,2018-07-10,P-H03,P-H03-W004,29397.42734,41488.43617,1.4,accepted,S
C002,2018-07-10,P-H03,P-H03-W005,29505.79629,41488.42341,1.4,accepted,S
C002,2018-07-10,P-H03,P-H03-W006,29518.6731,41488.42664,1.4,accepted,S
C002,2018-07-10,P-H03,P-H03-W007,29630.33723,41488.41797,1.4,accepted,S
C002,2018-07-10,P-H03,P-H03-REF-B,29980.34723,41488.42892,0.9,accepted,S
C002,2018-07-10,P-V01,P-V01-REF-A,21687.36523,38872.50897,0.9,accepted,S
C002,2018-07-10,P-V01,P-V01-W001,21687.36512,39222.51037,1.4,accepted,S
C002,2018-07-10,P-V01,P-V01-W002,21687.36391,39326.96237,1.4,accepted,S
C002,2018-07-10,P-V01,P-V01-W003,21687.3606,39444.25412,1.4,accepted,S
C002,2018-07-10,P-V01,P-V01-W004,21687.3648,39503.59604,1.4,accepted,S
C002,2018-07-10,P-V01,P-V01-W005,21687.36227,39637.80118,1.4,accepted,S
C002,2018-07-10,P-V01,P-V01-W006,21687.36448,39729.55647,1.4,accepted,S
C002,2018-07-10,P-V01,P-V01-W007,21687.36053,39827.0314,1.4,accepted,S
C002,2018-07-10,P-V01,P-V01-REF-B,21687.36337,40177.03158,0.9,accepted,S
C003,2018-10-16,P-D01,P-D01-W001,21345.20315,39886.01145,1.4,accepted,S
C003,2018-10-16,P-D01,P-D01-W002,21409.24523,39928.31806,1.4,accepted,S
C003,2018-10-16,P-D01,P-D01-W003,21461.84882,39963.07131,1.4,accepted,S
C003,2018-10-16,P-D01,P-D01-W004,21544.63342,40017.75493,1.4,accepted,S
C003,2018-10-16,P-D01,P-D01-W005,21604.3746,40057.22033,1.4,accepted,S
C003,2018-10-16,P-D01,P-D01-W006,21681.06078,40107.88207,1.4,accepted,S
C003,2018-10-16,P-D01,P-D01-W007,21748.44709,40152.39908,1.4,accepted,S
C003,2018-10-16,P-D01,P-D01-REF-B,22040.47978,40345.3212,0.9,accepted,S
C003,2018-10-16,P-H01,P-H01-REF-A,20805.16836,39576.96574,0.9,accepted,S
C003,2018-10-16,P-H01,P-H01-W001,21155.1689,39576.96749,1.4,accepted,S
C003,2018-10-16,P-H01,P-H01-W002,21303.02376,39576.96871,1.4,accepted,S
C003,2018-10-16,P-H01,P-H01-W003,21488.08673,39576.97458,1.4,accepted,S
C003,2018-10-16,P-H01,P-H01-W004,21613.11882,39576.96748,1.4,accepted,S
C003,2018-10-16,P-H01,P-H01-W005,21778.94664,39576.96074,1.4,accepted,S
C003,2018-10-16,P-H01,P-H01-W006,21938.52942,39576.96152,1.4,accepted,S
C003,2018-10-16,P-H01,P-H01-REF-B,22459.85558,39576.96643,0.9,accepted,S
C003,2018-10-16,P-H02,P-H02-REF-A,21446.69569,40532.69893,0.9,accepted,S
C003,2018-10-16,P-H02,P-H02-W001,21796.69903,40532.70028,1.4,accepted,S
C003,2018-10-16,P-H02,P-H02-W002,21892.49841,40532.70324,1.4,accepted,S
C003,2018-10-16,P-H02,P-H02-W003,21973.03989,40532.70131,1.4,accepted,S
C003,2018-10-16,P-H02,P-H02-W004,22047.51719,40532.69747,1.4,accepted,S
C003,2018-10-16,P-H02,P-H02-W005,22164.56477,40532.69759,1.4,accepted,S
C003,2018-10-16,P-H02,P-H02-W007,22330.9531,40532.6935,1.4,accepted,S
C003,2018-10-16,P-H02,P-H02-REF-B,22680.95595,40532.69992,0.9,accepted,S
C003,2018-10-16,P-H03,P-H03-REF-A,28847.39405,41488.42858,0.9,accepted,S
C003,2018-10-16,P-H03,P-H03-W001,29197.39798,41488.43429,1.4,accepted,S
C003,2018-10-16,P-H03,P-H03-W002,29284.85199,41488.437,1.4,accepted,S
C003,2018-10-16,P-H03,P-H03-W003,29321.74251,41488.43555,1.4,accepted,S
C003,2018-10-16,P-H03,P-H03-W004,29397.43415,41488.43998,1.4,accepted,S
C003,2018-10-16,P-H03,P-H03-W005,29505.7979,41488.42626,1.4,accepted,S
C003,2018-10-16,P-H03,P-H03-W006,29518.67475,41488.4246,1.4,accepted,S
C003,2018-10-16,P-H03,P-H03-W007,29630.33625,41488.41862,1.4,accepted,S
C003,2018-10-16,P-H03,P-H03-REF-B,29980.34753,41488.43194,0.9,accepted,S
C003,2018-10-16,P-H04,P-H04-REF-A,23368.90357,42444.16097,0.9,accepted,S
C003,2018-10-16,P-H04,P-H04-W001,23718.90231,42444.16479,1.4,accepted,S
C003,2018-10-16,P-H04,P-H04-W002,23797.84105,42444.16969,1.4,accepted,S
C003,2018-10-16,P-H04,P-H04-W003,23918.06334,42444.17305,1.4,accepted,S
C003,2018-10-16,P-H04,P-H04-W004,24038.96711,42444.16377,1.4,accepted,S
C003,2018-10-16,P-H04,P-H04-W005,24117.60582,42444.16041,1.4,accepted,S
C003,2018-10-16,P-H04,P-H04-W006,24225.79371,42444.1606,1.4,accepted,S
C003,2018-10-16,P-H04,P-H04-W007,24318.37411,42444.16084,1.4,accepted,S
C003,2018-10-16,P-H04,P-H04-REF-B,24668.37375,42444.16178,0.9,accepted,S
C003,2018-10-16,P-H05,P-H05-REF-A,26665.99075,43399.89413,0.9,accepted,S
C003,2018-10-16,P-H05,P-H05-W001,27016.01579,43399.91734,1.4,accepted,S
C003,2018-10-16,P-H05,P-H05-W002,27153.36045,43399.91549,1.4,accepted,S
C003,2018-10-16,P-H05,P-H05-W003,27263.94733,43399.91684,1.4,accepted,S
C003,2018-10-16,P-H05,P-H05-W004,27432.29637,43399.86492,1.4,accepted,S
C003,2018-10-16,P-H05,P-H05-W005,27558.05535,43399.87137,1.4,accepted,S
C003,2018-10-16,P-H05,P-H05-W006,27697.0933,43399.8709,1.4,accepted,S
C003,2018-10-16,P-H05,P-H05-W007,27821.12342,43399.88019,1.4,accepted,S
C003,2018-10-16,P-H05,P-H05-REF-B,28171.13718,43399.89502,0.9,accepted,S
C003,2018-10-16,P-H06,P-H06-REF-A,24584.49643,44355.62864,0.9,accepted,S
C003,2018-10-16,P-H06,P-H06-W001,24934.50187,44355.63324,1.4,accepted,S
C003,2018-10-16,P-H06,P-H06-W003,25203.33998,44355.63476,1.4,accepted,S
C003,2018-10-16,P-H06,P-H06-W004,25301.72917,44355.62182,1.4,accepted,S
C003,2018-10-16,P-H06,P-H06-W005,25414.15176,44355.62523,1.4,accepted,S
C003,2018-10-16,P-H06,P-H06-W006,25597.56596,44355.62133,1.4,accepted,S
C003,2018-10-16,P-H06,P-H06-W007,25677.21485,44355.62564,1.4,accepted,S
C003,2018-10-16,P-H06,P-H06-REF-B,26027.21657,44355.62866,0.9,accepted,S
C003,2018-10-16,P-H07,P-H07-REF-A,26999.02853,45311.35922,0.9,accepted,S
C003,2018-10-16,P-H07,P-H07-W001,27349.03065,45311.36171,1.4,accepted,S
C003,2018-10-16,P-H07,P-H07-W002,27423.69302,45311.36176,1.4,accepted,S
C003,2018-10-16,P-H07,P-H07-W003,27534.63744,45311.35309,1.4,accepted,S
C003,2018-10-16,P-H07,P-H07-W004,27582.67119,45311.35444,1.4,accepted,S
C003,2018-10-16,P-H07,P-H07-W005,27672.19118,45311.35942,1.4,accepted,S
C003,2018-10-16,P-H07,P-H07-W006,27755.63284,45311.35556,1.4,accepted,S
C003,2018-10-16,P-H07,P-H07-W007,27828.04085,45311.3611,1.4,accepted,S
C003,2018-10-16,P-H07,P-H07-REF-B,28178.04096,45311.35872,0.9,accepted,S
C003,2018-10-16,P-V01,P-V01-REF-A,21687.36505,38872.51139,0.9,accepted,S
C003,2018-10-16,P-V01,P-V01-W001,21687.36346,39222.5099,1.4,accepted,S
C003,2018-10-16,P-V01,P-V01-W003,21687.36405,39444.2531,1.4,accepted,S
C003,2018-10-16,P-V01,P-V01-W004,21687.36469,39503.59683,1.4,accepted,S
C003,2018-10-16,P-V01,P-V01-W005,21687.36158,39637.80277,1.4,accepted,S
C003,2018-10-16,P-V01,P-V01-W006,21687.36345,39729.55794,1.4,accepted,S
C003,2018-10-16,P-V01,P-V01-W007,21687.3647,39827.02913,1.4,accepted,S
C003,2018-10-16,P-V01,P-V01-REF-B,21687.36515,40177.03091,0.9,accepted,S
C003,2018-10-16,P-V02,P-V02-REF-A,23099.45096,42131.02476,0.9,accepted,S
C003,2018-10-16,P-V02,P-V02-W001,23099.44999,42481.02255,1.4,accepted,S
C003,2018-10-16,P-V02,P-V02-W002,23099.44812,42551.33196,1.4,accepted,S
C003,2018-10-16,P-V02,P-V02-W003,23099.44894,42632.87076,1.4,accepted,S
C003,2018-10-16,P-V02,P-V02-W004,23099.44949,42683.57892,1.4,accepted,S
C003,2018-10-16,P-V02,P-V02-W005,23099.45158,42733.41751,1.4,accepted,S
C003,2018-10-16,P-V02,P-V02-W006,23099.44971,42816.33581,1.4,accepted,S
C003,2018-10-16,P-V02,P-V02-W007,23099.45086,42893.867,1.4,accepted,S
C003,2018-10-16,P-V02,P-V02-REF-B,23099.45058,43243.8663,0.9,accepted,S
C003,2018-10-16,P-V03,P-V03-REF-A,24511.53659,41998.32512,0.9,accepted,S
C003,2018-10-16,P-V03,P-V03-W001,24511.53595,42348.32252,1.4,accepted,S
C003,2018-10-16,P-V03,P-V03-W002,24511.53553,42411.38628,1.4,accepted,S
C003,2018-10-16,P-V03,P-V03-W003,24511.53597,42470.23834,1.4,accepted,S
C003,2018-10-16,P-V03,P-V03-W004,24511.5365,42513.67323,1.4,accepted,S
C003,2018-10-16,P-V03,P-V03-W005,24511.53351,42597.451,1.4,accepted,S
C003,2018-10-16,P-V03,P-V03-W006,24511.53567,42636.85552,1.4,accepted,S
C003,2018-10-16,P-V03,P-V03-W007,24511.53804,42672.70127,1.4,accepted,S
C003,2018-10-16,P-V03,P-V03-REF-B,24511.53547,43022.70103,0.9,accepted,S
C003,2018-10-16,P-V04,P-V04-REF-A,25923.62096,44254.21608,0.9,accepted,S
C003,2018-10-16,P-V04,P-V04-W001,25923.62086,44604.21777,1.4,accepted,S
C003,2018-10-16,P-V04,P-V04-W002,25923.62127,44645.81115,1.4,accepted,S
C003,2018-10-16,P-V04,P-V04-W003,25923.62273,44718.57401,1.4,accepted,S
C003,2018-10-16,P-V04,P-V04-W004,25923.62004,44810.93376,1.4,accepted,S
C003,2018-10-16,P-V04,P-V04-W005,25923.62081,44835.49932,1.4,accepted,S
C003,2018-10-16,P-V04,P-V04-W006,25923.6209,44882.27337,1.4,accepted,S
C003,2018-10-16,P-V04,P-V04-W007,25923.62046,44954.82453,1.4,accepted,S
C003,2018-10-16,P-V04,P-V04-REF-B,25923.62083,45304.82363,0.9,accepted,S
C003,2018-10-16,P-V05,P-V05-REF-A,27335.70835,42160.51299,0.9,accepted,S
C003,2018-10-16,P-V05,P-V05-W001,27335.70975,42510.51345,1.4,accepted,S
C003,2018-10-16,P-V05,P-V05-W002,27335.70628,42607.26542,1.4,accepted,S
C003,2018-10-16,P-V05,P-V05-W004,27335.70496,42690.00031,1.4,accepted,S
C003,2018-10-16,P-V05,P-V05-W005,27335.70344,42762.37733,1.4,accepted,S
C003,2018-10-16,P-V05,P-V05-W006,27335.70495,42793.85944,1.4,accepted,S
C003,2018-10-16,P-V05,P-V05-W007,27335.70457,42864.37388,1.4,accepted,S
C003,2018-10-16,P-V05,P-V05-REF-B,27335.70644,43214.37845,0.9,accepted,S
C003,2018-10-16,P-V06,P-V06-REF-A,28747.79229,43295.83059,0.9,accepted,S
C003,2018-10-16,P-V06,P-V06-W001,28747.79148,43645.83071,1.4,accepted,S
C003,2018-10-16,P-V06,P-V06-W002,28747.79188,43743.58421,1.4,accepted,S
C003,2018-10-16,P-V06,P-V06-W003,28747.78972,43785.9951,1.4,accepted,S
C003,2018-10-16,P-V06,P-V06-W004,28747.7922,43929.00293,1.4,accepted,S
C003,2018-10-16,P-V06,P-V06-W005,28747.79328,44000.36122,1.4,accepted,S
C003,2018-10-16,P-V06,P-V06-W006,28747.79509,44101.78081,1.4,accepted,S
C003,2018-10-16,P-V06,P-V06-W007,28747.79073,44161.88598,1.4,accepted,S
C003,2018-10-16,P-V06,P-V06-REF-B,28747.79288,44511.8867,0.9,accepted,S
C004,2019-02-12,P-H02,P-H02-REF-A,21446.69764,40532.69944,0.9,accepted,S
C004,2019-02-12,P-H02,P-H02-W001,21796.70175,40532.70307,1.4,accepted,S
C004,2019-02-12,P-H02,P-H02-W002,21892.49595,40532.70536,1.4,accepted,S
C004,2019-02-12,P-H02,P-H02-W004,22047.52067,40532.69668,1.4,accepted,S
C004,2019-02-12,P-H02,P-H02-W005,22164.56636,40532.69927,1.4,accepted,S
C004,2019-02-12,P-H02,P-H02-W006,22226.26549,40532.69306,1.4,accepted,S
C004,2019-02-12,P-H02,P-H02-REF-B,22680.95973,40532.69897,0.9,accepted,S
C004,2019-02-12,P-V01,P-V01-REF-A,21687.36605,38872.51254,0.9,accepted,S
C004,2019-02-12,P-V01,P-V01-W001,21687.36776,39222.51312,1.4,accepted,S
C004,2019-02-12,P-V01,P-V01-W002,21687.36311,39326.96223,1.4,accepted,S
C004,2019-02-12,P-V01,P-V01-W003,21687.36501,39444.25505,1.4,accepted,S
C004,2019-02-12,P-V01,P-V01-W004,21687.36835,39503.59951,1.4,accepted,S
C004,2019-02-12,P-V01,P-V01-W007,21687.36613,39827.03065,1.4,accepted,S
C004,2019-02-12,P-V01,P-V01-REF-B,21687.36702,40177.03347,0.9,accepted,S
C005,2019-05-14,P-D01,P-D01-REF-A,21053.17204,39693.09127,0.9,accepted,S
C005,2019-05-14,P-D01,P-D01-W001,21345.20563,39886.01133,1.4,accepted,S
C005,2019-05-14,P-D01,P-D01-W002,21409.2472,39928.32402,1.4,accepted,S
C005,2019-05-14,P-D01,P-D01-W003,21461.84873,39963.07133,1.4,accepted,S
C005,2019-05-14,P-D01,P-D01-W004,21544.63623,40017.75829,1.4,accepted,S
C005,2019-05-14,P-D01,P-D01-W005,21604.37067,40057.22396,1.4,accepted,S
C005,2019-05-14,P-D01,P-D01-W006,21681.06006,40107.88387,1.4,accepted,S
C005,2019-05-14,P-D01,P-D01-W007,21748.44802,40152.40077,1.4,accepted,S
C005,2019-05-14,P-D01,P-D01-REF-B,22040.47901,40345.32335,0.9,accepted,S
C005,2019-05-14,P-H01,P-H01-REF-A,20805.16801,39576.96776,0.9,accepted,S
C005,2019-05-14,P-H01,P-H01-W001,21155.17001,39576.97062,1.4,accepted,S
C005,2019-05-14,P-H01,P-H01-W002,21303.02797,39576.96892,1.4,accepted,S
C005,2019-05-14,P-H01,P-H01-W003,21488.08345,39576.97479,1.4,accepted,S
C005,2019-05-14,P-H01,P-H01-W004,21613.1196,39576.97025,1.4,accepted,S
C005,2019-05-14,P-H01,P-H01-W005,21778.94915,39576.96097,1.4,accepted,S
C005,2019-05-14,P-H01,P-H01-W006,21938.53027,39576.96381,1.4,accepted,S
C005,2019-05-14,P-H01,P-H01-W007,22109.854,39576.96524,1.4,accepted,S
C005,2019-05-14,P-H01,P-H01-REF-B,22459.8565,39576.96693,0.9,accepted,S
C005,2019-05-14,P-H02,P-H02-REF-A,21446.69524,40532.69921,0.9,accepted,S
C005,2019-05-14,P-H02,P-H02-W001,21796.69928,40532.70562,1.4,accepted,S
C005,2019-05-14,P-H02,P-H02-W002,21892.49903,40532.70614,1.4,accepted,S
C005,2019-05-14,P-H02,P-H02-W004,22047.5162,40532.69697,1.4,accepted,S
C005,2019-05-14,P-H02,P-H02-W005,22164.56608,40532.69768,1.4,accepted,S
C005,2019-05-14,P-H02,P-H02-W006,22226.26335,40532.69612,1.4,accepted,S
C005,2019-05-14,P-H02,P-H02-W007,22330.95491,40532.69814,1.4,accepted,S
C005,2019-05-14,P-H02,P-H02-REF-B,22680.95858,40532.70069,0.9,accepted,S
C005,2019-05-14,P-H03,P-H03-REF-A,28847.39605,41488.43378,0.9,accepted,S
C005,2019-05-14,P-H03,P-H03-W001,29197.39791,41488.43687,1.4,accepted,S
C005,2019-05-14,P-H03,P-H03-W002,29284.85665,41488.44143,1.4,accepted,S
C005,2019-05-14,P-H03,P-H03-W003,29321.74449,41488.43778,1.4,accepted,S
C005,2019-05-14,P-H03,P-H03-W004,29397.4328,41488.44164,1.4,accepted,S
