campaign_id,date,profile_id,left_interval,right_interval,chainage_m,curvature_mm_m2,standard_uncertainty_curvature_mm_m2,provenance
C001,2018-05-15,P-H05,P-H05-W005::P-H05-W006,P-H05-W006::P-H05-W007,677.3757236,-0.04454301845,9.044027258e-05,C/S
C001,2018-05-15,P-H05,P-H05-W006::P-H05-W007,P-H05-W007::P-H05-REF-B,861.6439374,0.01245057334,3.854560979e-05,C/S
C001,2018-05-15,P-H06,P-H06-REF-A::P-H06-W001,P-H06-W001::P-H06-W002,-51.75791306,-0.008132153736,4.814306804e-05,C/S
C001,2018-05-15,P-H06,P-H06-W001::P-H06-W002,P-H06-W002::P-H06-W003,138.6939378,0.01716616442,0.000128394325,C/S
C001,2018-05-15,P-H06,P-H06-W002::P-H06-W003,P-H06-W003::P-H06-W004,261.9717177,-0.01075023822,0.0001920822761,C/S
C001,2018-05-15,P-H06,P-H06-W003::P-H06-W004,P-H06-W004::P-H06-W005,370.745289,-0.01507429022,0.0002151419846,C/S
C001,2018-05-15,P-H06,P-H06-W004::P-H06-W005,P-H06-W005::P-H06-W006,497.410754,0.01718562247,0.0001177292783,C/S
C001,2018-05-15,P-H06,P-H06-W005::P-H06-W006,P-H06-W006::P-H06-W007,637.1354684,-0.03363930539,0.0001661243357,C/S
C001,2018-05-15,P-H06,P-H06-W006::P-H06-W007,P-H06-W007::P-H06-REF-B,810.3103845,0.01538909782,9.462479427e-05,C/S
C001,2018-05-15,P-H07,P-H07-REF-A::P-H07-W001,P-H07-W001::P-H07-W002,-68.83384706,-0.0002317103527,6.376589173e-05,C/S
C001,2018-05-15,P-H07,P-H07-W001::P-H07-W002,P-H07-W002::P-H07-W003,83.73602681,0.01480663046,0.0001741386472,C/S
C001,2018-05-15,P-H07,P-H07-W002::P-H07-W003,P-H07-W003::P-H07-W004,169.8849591,-0.03782437304,0.0002958248862,C/S
C001,2018-05-15,P-H07,P-H07-W003::P-H07-W004,P-H07-W004::P-H07-W005,244.0177502,-0.004341980462,0.0003573251361,C/S
C001,2018-05-15,P-H07,P-H07-W004::P-H07-W005,P-H07-W005::P-H07-W007,339.7471185,0.01347952991,0.0001091476215,C/S
C001,2018-05-15,P-H07,P-H07-W005::P-H07-W007,P-H07-W007::P-H07-REF-B,527.5507589,0.0002917088343,2.817529877e-05,C/S
C001,2018-05-15,P-V01,P-V01-REF-A::P-V01-W001,P-V01-W001::P-V01-W002,-61.38708539,-0.0008214900107,6.69295736e-05,C/S
C001,2018-05-15,P-V01,P-V01-W001::P-V01-W002,P-V01-W002::P-V01-W003,107.6619932,0.001313286482,0.0001806921656,C/S
C001,2018-05-15,P-V01,P-V01-W002::P-V01-W003,P-V01-W003::P-V01-W004,207.2570838,0.001291940368,0.0003443318747,C/S
C001,2018-05-15,P-V01,P-V01-W003::P-V01-W004,P-V01-W004::P-V01-W005,299.8034263,0.0459867627,0.0003074931132,C/S
C001,2018-05-15,P-V01,P-V01-W004::P-V01-W005,P-V01-W005::P-V01-W006,404.680706,-0.08008861349,0.0001871612733,C/S
C001,2018-05-15,P-V01,P-V01-W005::P-V01-W006,P-V01-W006::P-V01-W007,508.4771124,0.03695938972,0.0002489989018,C/S
C001,2018-05-15,P-V01,P-V01-W006::P-V01-W007,P-V01-W007::P-V01-REF-B,667.6520722,0.001595974701,7.307509207e-05,C/S
C001,2018-05-15,P-V02,P-V02-REF-A::P-V02-W001,P-V02-W001::P-V02-W002,-69.92273081,-0.00365889623,7.015354147e-05,C/S
C001,2018-05-15,P-V02,P-V02-W001::P-V02-W002,P-V02-W002::P-V02-W003,73.11598125,-0.004516551561,0.000254180303,C/S
C001,2018-05-15,P-V02,P-V02-W002::P-V02-W003,P-V02-W003::P-V02-W004,144.1389363,0.01431345979,0.0003672195511,C/S
C001,2018-05-15,P-V02,P-V02-W003::P-V02-W004,P-V02-W004::P-V02-W005,202.337572,0.02094501356,0.0005868656307,C/S
C001,2018-05-15,P-V02,P-V02-W004::P-V02-W005,P-V02-W005::P-V02-W006,260.6646284,0.009325422223,0.0003691903902,C/S
C001,2018-05-15,P-V02,P-V02-W005::P-V02-W006,P-V02-W006::P-V02-W007,333.9668103,-0.05473004426,0.0002270243172,C/S
C001,2018-05-15,P-V02,P-V02-W006::P-V02-W007,P-V02-W007::P-V02-REF-B,480.9611601,0.01174445726,6.299061498e-05,C/S
C001,2018-05-15,P-V03,P-V03-REF-A::P-V03-W001,P-V03-W001::P-V03-W002,-71.73460701,-0.005447297838,0.0001369023273,C/S
C001,2018-05-15,P-V03,P-V03-W001::P-V03-W002,P-V03-W002::P-V03-W003,62.00990788,0.2409511883,0.0006753538549,C/S
C001,2018-05-15,P-V03,P-V03-W002::P-V03-W003,P-V03-W003::P-V03-W004,118.0620526,-0.1212088338,0.00099898346,C/S
C001,2018-05-15,P-V03,P-V03-W003::P-V03-W004,P-V03-W004::P-V03-W005,175.4378789,-0.3673511978,0.0007284217801,C/S
C001,2018-05-15,P-V03,P-V03-W004::P-V03-W005,P-V03-W005::P-V03-W006,238.035164,0.2275536136,0.0008025816407,C/S
C001,2018-05-15,P-V03,P-V03-W005::P-V03-W006,P-V03-W006::P-V03-W007,287.6419319,-0.04091176418,0.001748898965,C/S
C001,2018-05-15,P-V03,P-V03-W006::P-V03-W007,P-V03-W007::P-V03-REF-B,402.9155332,0.009838083292,0.0002516053035,C/S
C001,2018-05-15,P-V04,P-V04-REF-A::P-V04-W001,P-V04-W001::P-V04-W002,-77.10141161,-0.002335625845,0.0001178424178,C/S
C001,2018-05-15,P-V04,P-V04-W001::P-V04-W002,P-V04-W002::P-V04-W003,49.38673394,-0.00139853796,0.0004636681668,C/S
C001,2018-05-15,P-V04,P-V04-W002::P-V04-W003,P-V04-W003::P-V04-W004,119.2565778,0.01794275452,0.000205900184,C/S
C001,2018-05-15,P-V04,P-V04-W003::P-V04-W004,P-V04-W004::P-V04-W005,189.7672765,-0.02159863738,0.0007035902351,C/S
C001,2018-05-15,P-V04,P-V04-W004::P-V04-W005,P-V04-W005::P-V04-W006,236.8326857,-0.06523592265,0.001256633422,C/S
C001,2018-05-15,P-V04,P-V04-W005::P-V04-W006,P-V04-W006::P-V04-W007,284.4993046,0.03064567665,0.0004111817306,C/S
C001,2018-05-15,P-V04,P-V04-W006::P-V04-W007,P-V04-W007::P-V04-REF-B,419.9686449,-0.001424811017,6.336445799e-05,C/S
C001,2018-05-15,P-V05,P-V05-REF-A::P-V05-W002,P-V05-W002::P-V05-W003,-10.46792444,-9.624373745e-07,0.0003809446158,C/S
C001,2018-05-15,P-V05,P-V05-W002::P-V05-W003,P-V05-W003::P-V05-W004,126.3696314,-0.1105355438,0.002218122533,C/S
C001,2018-05-15,P-V05,P-V05-W003::P-V05-W004,P-V05-W004::P-V05-W006,189.2361248,0.03458845393,0.0003412418614,C/S
C001,2018-05-15,P-V05,P-V05-W004::P-V05-W006,P-V05-W006::P-V05-W007,275.0134016,0.02259167103,0.000307723323,C/S
C001,2018-05-15,P-V05,P-V05-W006::P-V05-W007,P-V05-W007::P-V05-REF-B,423.7365926,-0.03728046565,0.0001068076588,C/S
C001,2018-05-15,P-V06,P-V06-REF-A::P-V06-W001,P-V06-W001::P-V06-W003,-52.45859351,0.001272695734,5.875174906e-05,C/S
C001,2018-05-15,P-V06,P-V06-W001::P-V06-W003,P-V06-W003::P-V06-W004,140.8760962,-0.001156574369,0.0001359699805,C/S
C001,2018-05-15,P-V06,P-V06-W003::P-V06-W004,P-V06-W004::P-V06-W005,265.2602233,-0.0004398738665,0.0002847088781,C/S
C001,2018-05-15,P-V06,P-V06-W004::P-V06-W005,P-V06-W005::P-V06-W006,362.0447084,-0.004808860444,0.0003843584004,C/S
C001,2018-05-15,P-V06,P-V06-W005::P-V06-W006,P-V06-W006::P-V06-W007,445.6196185,0.00415801509,0.0004500791949,C/S
C001,2018-05-15,P-V06,P-V06-W006::P-V06-W007,P-V06-W007::P-V06-REF-B,588.5274818,-0.0006881029068,0.0001530785472,C/S
C002,2018-07-10,P-H03,P-H03-REF-A::P-H03-W001,P-H03-W001::P-H03-W002,-65.6362923,0.004529928453,5.393108146e-05,C/S
C002,2018-07-10,P-H03,P-H03-W001::P-H03-W002,P-H03-W002::P-H03-W003,74.81323247,-0.03140726191,0.0004863353874,C/S
C002,2018-07-10,P-H03,P-H03-W002::P-H03-W003,P-H03-W003::P-H03-W004,134.0422357,0.0748639781,0.0005539235549,C/S
C002,2018-07-10,P-H03,P-H03-W003::P-H03-W004,P-H03-W004::P-H03-W005,208.2011524,-0.0620737626,0.0001831502912,C/S
C002,2018-07-10,P-H03,P-H03-W004::P-H03-W005,P-H03-W005::P-H03-W006,284.5306921,0.007381045074,0.001355419683,C/S
C002,2018-07-10,P-H03,P-H03-W005::P-H03-W006,P-H03-W006::P-H03-W007,345.980641,0.07076940401,0.001318868717,C/S
C002,2018-07-10,P-H03,P-H03-W006::P-H03-W007,P-H03-W007::P-H03-REF-B,492.5337655,-0.01746781295,4.189667478e-05,C/S
C002,2018-07-10,P-V01,P-V01-REF-A::P-V01-W001,P-V01-W001::P-V01-W002,-61.38708539,-0.0008303989578,4.583778851e-05,C/S
C002,2018-07-10,P-V01,P-V01-W001::P-V01-W002,P-V01-W002::P-V01-W003,107.6619932,0.001410173518,0.0001229460566,C/S
C002,2018-07-10,P-V01,P-V01-W002::P-V01-W003,P-V01-W003::P-V01-W004,207.2570838,0.001539083025,0.000232583469,C/S
C002,2018-07-10,P-V01,P-V01-W003::P-V01-W004,P-V01-W004::P-V01-W005,299.8034263,0.04576533614,0.0002073781099,C/S
C002,2018-07-10,P-V01,P-V01-W004::P-V01-W005,P-V01-W005::P-V01-W006,404.680706,-0.08095313398,0.0001253858529,C/S
C002,2018-07-10,P-V01,P-V01-W005::P-V01-W006,P-V01-W006::P-V01-W007,508.4771124,0.03874129858,0.0001662086012,C/S
C002,2018-07-10,P-V01,P-V01-W006::P-V01-W007,P-V01-W007::P-V01-REF-B,667.6520722,0.0009883219208,4.878699871e-05,C/S
C003,2018-10-16,P-D01,P-D01-W001::P-D01-W002,P-D01-W002::P-D01-W003,73.32489514,0.0321886768,0.0004791180715,C/S
C003,2018-10-16,P-D01,P-D01-W002::P-D01-W003,P-D01-W003::P-D01-W004,148.8423249,-0.04168087581,0.0003681040188,C/S
C003,2018-10-16,P-D01,P-D01-W003::P-D01-W004,P-D01-W004::P-D01-W005,232.1190028,-0.0365936912,0.0002998102984,C/S
C003,2018-10-16,P-D01,P-D01-W004::P-D01-W005,P-D01-W005::P-D01-W006,315.7022239,0.03878561419,0.0003096759569,C/S
C003,2018-10-16,P-D01,P-D01-W005::P-D01-W006,P-D01-W006::P-D01-W007,399.7461044,-0.01949309633,0.0002524918141,C/S
C003,2018-10-16,P-D01,P-D01-W006::P-D01-W007,P-D01-W007::P-D01-REF-B,550.6044237,0.006541056658,7.472930608e-05,C/S
C003,2018-10-16,P-H01,P-H01-REF-A::P-H01-W001,P-H01-W001::P-H01-W002,-50.53544239,-0.001628615774,6.042892283e-05,C/S
C003,2018-10-16,P-H01,P-H01-W001::P-H01-W002,P-H01-W002::P-H01-W003,157.1567997,0.008929786025,0.0001117082488,C/S
C003,2018-10-16,P-H01,P-H01-W002::P-H01-W003,P-H01-W003::P-H01-W004,317.9069945,-0.01708700078,0.0001410330429,C/S
C003,2018-10-16,P-H01,P-H01-W003::P-H01-W004,P-H01-W004::P-H01-W005,468.1479914,0.01531176141,0.0001573927277,C/S
C003,2018-10-16,P-H01,P-H01-W004::P-H01-W005,P-H01-W005::P-H01-W006,622.2202456,-0.006648253399,0.0001207713193,C/S
C003,2018-10-16,P-H01,P-H01-W005::P-H01-W006,P-H01-W006::P-H01-REF-B,873.7996526,-0.000256818271,4.246524818e-05,C/S
C003,2018-10-16,P-H02,P-H02-REF-A::P-H02-W001,P-H02-W001::P-H02-W002,-63.55109368,0.005332190921,5.000875764e-05,C/S
C003,2018-10-16,P-H02,P-H02-W001::P-H02-W002,P-H02-W002::P-H02-W003,91.98318136,-0.04460320244,0.0001930571675,C/S
C003,2018-10-16,P-H02,P-H02-W002::P-H02-W003,P-H02-W003::P-H02-W004,174.8258683,0.02441407956,0.0002505742518,C/S
C003,2018-10-16,P-H02,P-H02-W003::P-H02-W004,P-H02-W004::P-H02-W005,261.4655728,-0.00223448359,0.0001766842647,C/S
C003,2018-10-16,P-H02,P-H02-W004::P-H02-W005,P-H02-W005::P-H02-W007,380.2073633,0.01172085556,7.707741843e-05,C/S
C003,2018-10-16,P-H02,P-H02-W005::P-H02-W007,P-H02-W007::P-H02-REF-B,580.1646412,-0.005953685661,2.584568645e-05,C/S
C003,2018-10-16,P-H03,P-H03-REF-A::P-H03-W001,P-H03-W001::P-H03-W002,-65.6362923,0.004060834984,5.278395841e-05,C/S
C003,2018-10-16,P-H03,P-H03-W001::P-H03-W002,P-H03-W002::P-H03-W003,74.81323247,-0.03032293603,0.000474876167,C/S
C003,2018-10-16,P-H03,P-H03-W002::P-H03-W003,P-H03-W003::P-H03-W004,134.0422357,0.07470259457,0.000540449575,C/S
C003,2018-10-16,P-H03,P-H03-W003::P-H03-W004,P-H03-W004::P-H03-W005,208.2011524,-0.06235793413,0.0001780568282,C/S
C003,2018-10-16,P-H03,P-H03-W004::P-H03-W005,P-H03-W005::P-H03-W006,284.5306921,0.01053684689,0.0013070844,C/S
C003,2018-10-16,P-H03,P-H03-W005::P-H03-W006,P-H03-W006::P-H03-W007,345.980641,0.06473020868,0.001271637996,C/S
C003,2018-10-16,P-H03,P-H03-W006::P-H03-W007,P-H03-W007::P-H03-REF-B,492.5337655,-0.01670547214,4.016547894e-05,C/S
C003,2018-10-16,P-H04,P-H04-REF-A::P-H04-W001,P-H04-W001::P-H04-W002,-67.76686288,0.01773023766,6.612321737e-05,C/S
C003,2018-10-16,P-H04,P-H04-W001::P-H04-W002,P-H04-W002::P-H04-W003,89.25294079,-0.02037094326,0.0001687752904,C/S
C003,2018-10-16,P-H04,P-H04-W002::P-H04-W003,P-H04-W003::P-H04-W004,199.3227356,-0.05465394739,0.0001116947419,C/S
C003,2018-10-16,P-H04,P-H04-W003::P-H04-W004,P-H04-W004::P-H04-W005,309.4947112,0.04580044687,0.0001775242177,C/S
C003,2018-10-16,P-H04,P-H04-W004::P-H04-W005,P-H04-W005::P-H04-W006,406.0910898,0.004469317313,0.0001964685732,C/S
C003,2018-10-16,P-H04,P-H04-W005::P-H04-W006,P-H04-W006::P-H04-W007,502.9906746,-0.005580234866,0.0001626850768,C/S
C003,2018-10-16,P-H04,P-H04-W006::P-H04-W007,P-H04-W007::P-H04-REF-B,663.8264988,-0.0001983468268,5.709988482e-05,C/S
C003,2018-10-16,P-H05,P-H05-REF-A::P-H05-W001,P-H05-W001::P-H05-W002,-53.16240367,-0.01805695211,3.388119802e-05,C/S
C003,2018-10-16,P-H05,P-H05-W001::P-H05-W002,P-H05-W002::P-H05-W003,130.6586515,0.01743672877,0.0001025847269,C/S
C003,2018-10-16,P-H05,P-H05-W002::P-H05-W003,P-H05-W003::P-H05-W004,262.3892339,0.004124316381,8.66265446e-05,C/S
C003,2018-10-16,P-H05,P-H05-W003::P-H05-W004,P-H05-W004::P-H05-W005,405.6759577,-0.03133497919,7.622379254e-05,C/S
C003,2018-10-16,P-H05,P-H05-W004::P-H05-W005,P-H05-W005::P-H05-W006,545.4136493,0.02842115528,9.053240408e-05,C/S
C003,2018-10-16,P-H05,P-H05-W005::P-H05-W006,P-H05-W006::P-H05-W007,677.3757236,-0.04378472967,8.863963734e-05,C/S
C003,2018-10-16,P-H05,P-H05-W006::P-H05-W007,P-H05-W007::P-H05-REF-B,861.6439374,0.01175872613,3.777212686e-05,C/S
C003,2018-10-16,P-H06,P-H06-REF-A::P-H06-W001,P-H06-W001::P-H06-W003,-20.29023604,-0.003004242571,1.560748919e-05,C/S
C003,2018-10-16,P-H06,P-H06-W001::P-H06-W003,P-H06-W003::P-H06-W004,226.2296308,9.241899289e-05,6.552448712e-05,C/S
C003,2018-10-16,P-H06,P-H06-W003::P-H06-W004,P-H06-W004::P-H06-W005,370.745289,-0.01509219829,0.0001429739717,C/S
C003,2018-10-16,P-H06,P-H06-W004::P-H06-W005,P-H06-W005::P-H06-W006,497.410754,0.01725461849,7.807847069e-05,C/S
C003,2018-10-16,P-H06,P-H06-W005::P-H06-W006,P-H06-W006::P-H06-W007,637.1354684,-0.03362027464,0.0001092911428,C/S
C003,2018-10-16,P-H06,P-H06-W006::P-H06-W007,P-H06-W007::P-H06-REF-B,810.3103845,0.0153680267,6.225841723e-05,C/S
C003,2018-10-16,P-H07,P-H07-REF-A::P-H07-W001,P-H07-W001::P-H07-W002,-68.83384706,0.001011539743,6.634638017e-05,C/S
C003,2018-10-16,P-H07,P-H07-W001::P-H07-W002,P-H07-W002::P-H07-W003,83.73602681,0.008024661597,0.000180651017,C/S
C003,2018-10-16,P-H07,P-H07-W002::P-H07-W003,P-H07-W003::P-H07-W004,169.8849591,-0.03046033518,0.0003024603554,C/S
C003,2018-10-16,P-H07,P-H07-W003::P-H07-W004,P-H07-W004::P-H07-W005,244.0177502,-0.0100320989,0.0003643035252,C/S
C003,2018-10-16,P-H07,P-H07-W004::P-H07-W005,P-H07-W005::P-H07-W006,321.6455931,0.02172577917,0.000198641127,C/S
C003,2018-10-16,P-H07,P-H07-W005::P-H07-W006,P-H07-W006::P-H07-W007,403.8477083,-0.001711800098,0.0002408939463,C/S
C003,2018-10-16,P-H07,P-H07-W006::P-H07-W007,P-H07-W007::P-H07-REF-B,548.4110856,0.0004993294008,6.760064752e-05,C/S
C003,2018-10-16,P-V01,P-V01-REF-A::P-V01-W001,P-V01-W001::P-V01-W003,-32.06383602,-0.0003940469533,1.93985157e-05,C/S
C003,2018-10-16,P-V01,P-V01-W001::P-V01-W003,P-V01-W003::P-V01-W004,181.1441692,0.001699445065,0.0001368008846,C/S
C003,2018-10-16,P-V01,P-V01-W003::P-V01-W004,P-V01-W004::P-V01-W005,299.8034263,0.04570172269,0.0002103171311,C/S
C003,2018-10-16,P-V01,P-V01-W004::P-V01-W005,P-V01-W005::P-V01-W006,404.680706,-0.08231041279,0.0001285364294,C/S
C003,2018-10-16,P-V01,P-V01-W005::P-V01-W006,P-V01-W006::P-V01-W007,508.4771124,0.04125784268,0.000171626407,C/S
C003,2018-10-16,P-V01,P-V01-W006::P-V01-W007,P-V01-W007::P-V01-REF-B,667.6520722,0.000138726694,5.061483872e-05,C/S
C003,2018-10-16,P-V02,P-V02-REF-A::P-V02-W001,P-V02-W001::P-V02-W002,-69.92273081,-0.004424741732,6.955158241e-05,C/S
C003,2018-10-16,P-V02,P-V02-W001::P-V02-W002,P-V02-W002::P-V02-W003,73.11598125,-0.008810065611,0.0002519838809,C/S
C003,2018-10-16,P-V02,P-V02-W002::P-V02-W003,P-V02-W003::P-V02-W004,144.1389363,0.02089286957,0.0003640377612,C/S
C003,2018-10-16,P-V02,P-V02-W003::P-V02-W004,P-V02-W004::P-V02-W005,202.337572,0.03087792966,0.0005816673029,C/S
C003,2018-10-16,P-V02,P-V02-W004::P-V02-W005,P-V02-W005::P-V02-W006,260.6646284,-0.003068096221,0.0003657897745,C/S
C003,2018-10-16,P-V02,P-V02-W005::P-V02-W006,P-V02-W006::P-V02-W007,333.9668103,-0.05166874446,0.0002246620036,C/S
C003,2018-10-16,P-V02,P-V02-W006::P-V02-W007,P-V02-W007::P-V02-REF-B,480.9611601,0.01169931846,6.230970134e-05,C/S
C003,2018-10-16,P-V03,P-V03-REF-A::P-V03-W001,P-V03-W001::P-V03-W002,-71.73460701,-0.005595022882,7.86697612e-05,C/S
C003,2018-10-16,P-V03,P-V03-W001::P-V03-W002,P-V03-W002::P-V03-W003,62.00990788,0.241777583,0.0003875727568,C/S
C003,2018-10-16,P-V03,P-V03-W002::P-V03-W003,P-V03-W003::P-V03-W004,118.0620526,-0.1252499343,0.000573111726,C/S
C003,2018-10-16,P-V03,P-V03-W003::P-V03-W004,P-V03-W004::P-V03-W005,175.4378789,-0.3641303239,0.0004180072269,C/S
C003,2018-10-16,P-V03,P-V03-W004::P-V03-W005,P-V03-W005::P-V03-W006,238.035164,0.226211609,0.0004618394684,C/S
C003,2018-10-16,P-V03,P-V03-W005::P-V03-W006,P-V03-W006::P-V03-W007,287.6419319,-0.04885911444,0.001008027845,C/S
C003,2018-10-16,P-V03,P-V03-W006::P-V03-W007,P-V03-W007::P-V03-REF-B,402.9155332,0.01152181171,0.0001452506824,C/S
C003,2018-10-16,P-V04,P-V04-REF-A::P-V04-W001,P-V04-W001::P-V04-W002,-77.10141161,-0.002342772226,0.000178301703,C/S
C003,2018-10-16,P-V04,P-V04-W001::P-V04-W002,P-V04-W002::P-V04-W003,49.38673394,-0.001359674591,0.0007022210517,C/S
C003,2018-10-16,P-V04,P-V04-W002::P-V04-W003,P-V04-W003::P-V04-W004,119.2565778,0.01769463774,0.0003120602847,C/S
C003,2018-10-16,P-V04,P-V04-W003::P-V04-W004,P-V04-W004::P-V04-W005,189.7672765,-0.02124505023,0.001069131414,C/S
C003,2018-10-16,P-V04,P-V04-W004::P-V04-W005,P-V04-W005::P-V04-W006,236.8326857,-0.06599123567,0.001910500032,C/S
C003,2018-10-16,P-V04,P-V04-W005::P-V04-W006,P-V04-W006::P-V04-W007,284.4993046,0.03382939785,0.0006266098679,C/S
C003,2018-10-16,P-V04,P-V04-W006::P-V04-W007,P-V04-W007::P-V04-REF-B,419.9686449,-0.002388877727,9.655175552e-05,C/S
C003,2018-10-16,P-V05,P-V05-REF-A::P-V05-W001,P-V05-W001::P-V05-W002,-63.31106616,-0.008392419886,4.756063555e-05,C/S
