sample_id,point_id,profile_id,current_campaign_id,current_date,target_campaign_id,target_date,split,n_history,last_settlement_mm,last_rate_mm_y,mean_last_3_rates_mm_y,std_last_3_rates_mm_y,recent_acceleration_mm_y2,current_standard_uncertainty_mm,days_since_previous_observation,forecast_horizon_days,current_campaign_type,missing_campaigns_since_previous,profile_mean_settlement_mm,profile_mean_rate_mm_y,profile_rate_std_mm_y,profile_n_observed,chainage_m,chainage_normalized_profile,kzt,kzt__standard_uncertainty,kzt__donor_distance_m,kzt__provenance,ko,ko__standard_uncertainty,ko__donor_distance_m,ko__provenance,seismic_energy_J_m2,seismic_energy_J_m2__standard_uncertainty,seismic_energy_J_m2__donor_distance_m,seismic_energy_J_m2__provenance,fill_density,fill_density__standard_uncertainty,fill_density__donor_distance_m,fill_density__provenance,fault_distance_m,fault_distance_m__standard_uncertainty,fault_distance_m__donor_distance_m,fault_distance_m__provenance,lithology,lithology__standard_uncertainty,lithology__donor_distance_m,lithology__provenance,terrain_TRI_relative,terrain_TRI_relative__standard_uncertainty,terrain_TRI_relative__donor_distance_m,terrain_TRI_relative__provenance,terrain_roughness_relative,terrain_roughness_relative__standard_uncertainty,terrain_roughness_relative__donor_distance_m,terrain_roughness_relative__provenance
P-D01-W001::C020::C022,P-D01-W001,P-D01,C020,2023-05-16,C022,2023-11-07,train,13,464.0489585,148.9165757,147.0042515,4.649899119,-4.487932065,0.692627443,210,175,full,1,314.8352395,44.90210262,56.54682012,9,0,0.2957843134,0.6699096513,0.072,50,R,0.6355879693,0.03215525733,59.36081894,R,27.5,1.2,0,D,0.9586777091,0.08,21.37858899,C/R,248.2049685,25,21.37858899,C/R,carnallite,,0,D,0,0.1,21.37858899,C/R,0.2470588235,0.1,21.37858899,C/R
P-D01-W001::C022::C023,P-D01-W001,P-D01,C022,2023-11-07,C023,2024-01-30,validation,14,533.7628979,145.5029506,148.6388109,2.454891888,-7.124723381,0.7255124858,175,84,full,1,334.3448959,40.71943991,61.97948436,9,0,0.2957843134,0.6699096513,0.072,50,R,0.6355879693,0.03215525733,59.36081894,R,27.5,1.2,0,D,0.9586777091,0.08,21.37858899,C/R,248.2049685,25,21.37858899,C/R,carnallite,,0,D,0,0.1,21.37858899,C/R,0.2470588235,0.1,21.37858899,C/R
P-D01-W001::C023::C024,P-D01-W001,P-D01,C023,2024-01-30,C024,2024-05-14,validation,15,568.8302716,152.4804556,148.9666606,2.848774628,30.33968685,0.7058709036,84,105,focused,0,344.87998,45.80880299,62.55678215,9,0,0.2957843134,0.6699096513,0.072,50,R,0.6355879693,0.03215525733,59.36081894,R,27.5,1.2,0,D,0.9586777091,0.08,21.37858899,C/R,248.2049685,25,21.37858899,C/R,carnallite,,0,D,0,0.1,21.37858899,C/R,0.2470588235,0.1,21.37858899,C/R
P-D01-W001::C024::C026,P-D01-W001,P-D01,C024,2024-05-14,C026,2024-09-03,validation,16,612.6301418,152.3609769,150.1147943,3.261430774,-0.4156149925,0.6964994676,105,112,full,0,358.6574136,47.92578696,62.3926684,9,0,0.2957843134,0.6699096513,0.072,50,R,0.6355879693,0.03215525733,59.36081894,R,27.5,1.2,0,D,0.9586777091,0.08,21.37858899,C/R,248.2049685,25,21.37858899,C/R,carnallite,,0,D,0,0.1,21.37858899,C/R,0.2470588235,0.1,21.37858899,C/R
P-D01-W001::C026::C027,P-D01-W001,P-D01,C026,2024-09-03,C027,2025-07-22,test,17,659.3590244,152.3903962,152.4106096,0.05082795096,0.09594109374,1.303485377,112,322,focused,1,371.3512325,41.39658356,63.83966605,9,0,0.2957843134,0.6699096513,0.072,50,R,0.6355879693,0.03215525733,59.36081894,R,27.5,1.2,0,D,0.9586777091,0.08,21.37858899,C/R,248.2049685,25,21.37858899,C/R,carnallite,,0,D,0,0.1,21.37858899,C/R,0.2470588235,0.1,21.37858899,C/R
P-D01-W001::C027::C029,P-D01-W001,P-D01,C027,2025-07-22,C029,2025-11-04,test,18,791.6782347,150.0918992,151.6144241,1.076654668,-2.607223687,0.7225229321,322,105,full,0,409.3131161,43.06080122,62.52547524,9,0,0.2957843134,0.6699096513,0.072,50,R,0.6355879693,0.03215525733,59.36081894,R,27.5,1.2,0,D,0.9586777091,0.08,21.37858899,C/R,248.2049685,25,21.37858899,C/R,carnallite,,0,D,0,0.1,21.37858899,C/R,0.2470588235,0.1,21.37858899,C/R
P-D01-W002::C005::C007,P-D01-W002,P-D01,C005,2019-05-14,C007,2019-11-05,train,3,253.8984268,82.44087839,85.59888508,3.158006682,-10.98535181,0.7228996807,210,175,full,1,197.5729237,25.88020012,28.09608984,9,76.75345009,0.3606485035,0.6944134078,0.032,0,D,0.4096944187,0.035,100,R,27.5,1.2,0,D,0.9504132271,0.08,16.10236723,C/R,282.5327017,25,16.10236723,C/R,carnallite,,0,D,0,0.1,16.10236723,C/R,0.8235294118,0.1,16.10236723,C/R
P-D01-W002::C007::C008,P-D01-W002,P-D01,C007,2019-11-05,C008,2020-04-21,train,4,288.6072528,72.44227825,81.21334947,6.716734023,-20.86850687,0.853318325,175,168,full,1,209.4609615,24.81203334,25.24961795,9,76.75345009,0.3606485035,0.6944134078,0.032,0,D,0.4096944187,0.035,100,R,27.5,1.2,0,D,0.9504132271,0.08,16.10236723,C/R,282.5327017,25,16.10236723,C/R,carnallite,,0,D,0,0.1,16.10236723,C/R,0.8235294118,0.1,16.10236723,C/R
P-D01-W002::C008::C009,P-D01-W002,P-D01,C008,2020-04-21,C009,2020-06-02,train,5,319.1776091,66.46323011,73.78212892,6.591292793,-12.99909127,1.190305509,168,42,full,0,217.9357833,18.42517056,23.25541714,9,76.75345009,0.3606485035,0.6944134078,0.032,0,D,0.4096944187,0.035,100,R,27.5,1.2,0,D,0.9504132271,0.08,16.10236723,C/R,282.5327017,25,16.10236723,C/R,carnallite,,0,D,0,0.1,16.10236723,C/R,0.8235294118,0.1,16.10236723,C/R
P-D01-W002::C009::C010,P-D01-W002,P-D01,C009,2020-06-02,C010,2020-10-20,train,6,329.4193158,89.06627092,75.99059309,9.562679788,196.5657299,0.7259817878,42,140,focused,0,163.4178756,39.5693366,26.64179207,7,76.75345009,0.3606485035,0.6944134078,0.032,0,D,0.4096944187,0.035,100,R,27.5,1.2,0,D,0.9504132271,0.08,16.10236723,C/R,282.5327017,25,16.10236723,C/R,carnallite,,0,D,0,0.1,16.10236723,C/R,0.8235294118,0.1,16.10236723,C/R
P-D01-W002::C010::C012,P-D01-W002,P-D01,C010,2020-10-20,C012,2021-05-18,train,7,350.9983126,56.29806123,70.60918742,13.69502618,-85.48991849,0.7405381885,140,210,full,0,228.8436278,18.89496675,19.33223252,9,76.75345009,0.3606485035,0.6944134078,0.032,0,D,0.4096944187,0.035,100,R,27.5,1.2,0,D,0.9504132271,0.08,16.10236723,C/R,282.5327017,25,16.10236723,C/R,carnallite,,0,D,0,0.1,16.10236723,C/R,0.8235294118,0.1,16.10236723,C/R
P-D01-W002::C012::C014,P-D01-W002,P-D01,C012,2021-05-18,C014,2021-11-02,train,8,380.024617,50.48503656,65.2831229,16.98384352,-10.11051076,0.7260975829,210,168,full,1,242.2212559,23.26751732,22.76261252,9,76.75345009,0.3606485035,0.6944134078,0.032,0,D,0.4096944187,0.035,100,R,27.5,1.2,0,D,0.9504132271,0.08,16.10236723,C/R,282.5327017,25,16.10236723,C/R,carnallite,,0,D,0,0.1,16.10236723,C/R,0.8235294118,0.1,16.10236723,C/R
P-D01-W002::C014::C015,P-D01-W002,P-D01,C014,2021-11-02,C015,2022-03-01,train,9,401.5178094,46.72850315,51.17053365,3.936710993,-8.167106135,0.7272446037,168,119,full,1,254.8739913,27.50840249,34.24384016,9,76.75345009,0.3606485035,0.6944134078,0.032,0,D,0.4096944187,0.035,100,R,27.5,1.2,0,D,0.9504132271,0.08,16.10236723,C/R,282.5327017,25,16.10236723,C/R,carnallite,,0,D,0,0.1,16.10236723,C/R,0.8235294118,0.1,16.10236723,C/R
P-D01-W002::C015::C016,P-D01-W002,P-D01,C015,2022-03-01,C016,2022-05-17,train,10,416.4724615,45.90072842,47.70475604,1.99478864,-2.540711923,0.7183573579,119,77,focused,0,264.9856156,31.03588882,40.72579304,9,76.75345009,0.3606485035,0.6944134078,0.032,0,D,0.4096944187,0.035,100,R,27.5,1.2,0,D,0.9504132271,0.08,16.10236723,C/R,282.5327017,25,16.10236723,C/R,carnallite,,0,D,0,0.1,16.10236723,C/R,0.8235294118,0.1,16.10236723,C/R
P-D01-W002::C016::C017,P-D01-W002,P-D01,C016,2022-05-17,C017,2022-07-19,train,11,425.9915082,45.15365961,45.92763039,0.6432085344,-3.54372575,0.7523242762,77,63,full,0,266.6704997,20.92292193,24.84240524,8,76.75345009,0.3606485035,0.6944134078,0.032,0,D,0.4096944187,0.035,100,R,27.5,1.2,0,D,0.9504132271,0.08,16.10236723,C/R,282.5327017,25,16.10236723,C/R,carnallite,,0,D,0,0.1,16.10236723,C/R,0.8235294118,0.1,16.10236723,C/R
P-D01-W002::C017::C018,P-D01-W002,P-D01,C017,2022-07-19,C018,2022-10-18,train,12,433.7567605,45.0199747,45.35812091,0.3875436283,-0.7750541754,0.7162685057,63,91,focused,0,235.0386653,47.38228032,48.93605282,7,76.75345009,0.3606485035,0.6944134078,0.032,0,D,0.4096944187,0.035,100,R,27.5,1.2,0,D,0.9504132271,0.08,16.10236723,C/R,282.5327017,25,16.10236723,C/R,carnallite,,0,D,0,0.1,16.10236723,C/R,0.8235294118,0.1,16.10236723,C/R
P-D01-W002::C018::C020,P-D01-W002,P-D01,C018,2022-10-18,C020,2023-05-16,train,13,445.217202,45.99918987,45.39094139,0.4335455164,3.930311445,0.7332011732,91,210,full,0,289.0188356,41.0513561,51.65970877,9,76.75345009,0.3606485035,0.6944134078,0.032,0,D,0.4096944187,0.035,100,R,27.5,1.2,0,D,0.9504132271,0.08,16.10236723,C/R,282.5327017,25,16.10236723,C/R,carnallite,,0,D,0,0.1,16.10236723,C/R,0.8235294118,0.1,16.10236723,C/R
P-D01-W002::C020::C022,P-D01-W002,P-D01,C020,2023-05-16,C022,2023-11-07,train,14,473.3364987,48.90749102,46.64221853,1.650920993,5.058366648,0.7118145782,210,175,full,1,314.8352395,44.90210262,56.54682012,9,76.75345009,0.3606485035,0.6944134078,0.032,0,D,0.4096944187,0.035,100,R,27.5,1.2,0,D,0.9504132271,0.08,16.10236723,C/R,282.5327017,25,16.10236723,C/R,carnallite,,0,D,0,0.1,16.10236723,C/R,0.8235294118,0.1,16.10236723,C/R
P-D01-W002::C022::C023,P-D01-W002,P-D01,C022,2023-11-07,C023,2024-01-30,validation,15,489.5190384,33.77527218,42.89398436,6.556306773,-31.58310247,0.7417612111,175,84,full,1,334.3448959,40.71943991,61.97948436,9,76.75345009,0.3606485035,0.6944134078,0.032,0,D,0.4096944187,0.035,100,R,27.5,1.2,0,D,0.9504132271,0.08,16.10236723,C/R,282.5327017,25,16.10236723,C/R,carnallite,,0,D,0,0.1,16.10236723,C/R,0.8235294118,0.1,16.10236723,C/R
P-D01-W002::C023::C024,P-D01-W002,P-D01,C023,2024-01-30,C024,2024-05-14,validation,16,498.1206842,37.40179904,40.02818741,6.450811252,15.7689159,0.7244221394,84,105,focused,0,344.87998,45.80880299,62.55678215,9,76.75345009,0.3606485035,0.6944134078,0.032,0,D,0.4096944187,0.035,100,R,27.5,1.2,0,D,0.9504132271,0.08,16.10236723,C/R,282.5327017,25,16.10236723,C/R,carnallite,,0,D,0,0.1,16.10236723,C/R,0.8235294118,0.1,16.10236723,C/R
P-D01-W002::C024::C026,P-D01-W002,P-D01,C024,2024-05-14,C026,2024-09-03,validation,17,509.3237853,38.97078738,36.71595287,2.175796143,5.457838016,0.7162787064,105,112,full,0,358.6574136,47.92578696,62.3926684,9,76.75345009,0.3606485035,0.6944134078,0.032,0,D,0.4096944187,0.035,100,R,27.5,1.2,0,D,0.9504132271,0.08,16.10236723,C/R,282.5327017,25,16.10236723,C/R,carnallite,,0,D,0,0.1,16.10236723,C/R,0.8235294118,0.1,16.10236723,C/R
P-D01-W002::C026::C027,P-D01-W002,P-D01,C026,2024-09-03,C027,2025-07-22,test,18,518.7521922,30.74755009,35.70671217,3.564678343,-26.81729842,1.325977004,112,322,focused,1,371.3512325,41.39658356,63.83966605,9,76.75345009,0.3606485035,0.6944134078,0.032,0,D,0.4096944187,0.035,100,R,27.5,1.2,0,D,0.9504132271,0.08,16.10236723,C/R,282.5327017,25,16.10236723,C/R,carnallite,,0,D,0,0.1,16.10236723,C/R,0.8235294118,0.1,16.10236723,C/R
P-D01-W002::C027::C029,P-D01-W002,P-D01,C027,2025-07-22,C029,2025-11-04,test,19,548.8876721,34.18318029,34.63383925,3.372212729,3.897092957,0.7352899536,322,105,full,0,409.3131161,43.06080122,62.52547524,9,76.75345009,0.3606485035,0.6944134078,0.032,0,D,0.4096944187,0.035,100,R,27.5,1.2,0,D,0.9504132271,0.08,16.10236723,C/R,282.5327017,25,16.10236723,C/R,carnallite,,0,D,0,0.1,16.10236723,C/R,0.8235294118,0.1,16.10236723,C/R
P-D01-W003::C005::C007,P-D01-W003,P-D01,C005,2019-05-14,C007,2019-11-05,train,3,422.5726527,3.415199339,3.887920781,0.4727214418,-1.644395301,0.7338193434,210,175,full,1,197.5729237,25.88020012,28.09608984,9,139.7926804,0.4139228333,0.6005586592,0.032,0,D,0.329358419,0.0315,50,R,27.5,2.7,50,R,0.8512396812,0.08,17.76668779,C/R,340.1506913,25,17.76668779,C/R,carnallite,,0,D,0.005555555556,0.1,17.76668779,C/R,0.4758169935,0.1,17.76668779,C/R
P-D01-W003::C007::C008,P-D01-W003,P-D01,C007,2019-11-05,C008,2020-04-21,train,4,424.6004356,4.232272424,4.002704662,0.4187215301,1.705348254,0.8630926646,175,168,full,1,209.4609615,24.81203334,25.24961795,9,139.7926804,0.4139228333,0.6005586592,0.032,0,D,0.329358419,0.0315,50,R,27.5,2.7,50,R,0.8512396812,0.08,17.76668779,C/R,340.1506913,25,17.76668779,C/R,carnallite,,0,D,0.005555555556,0.1,17.76668779,C/R,0.4758169935,0.1,17.76668779,C/R
P-D01-W003::C008::C010,P-D01-W003,P-D01,C008,2020-04-21,C010,2020-10-20,train,5,424.4279906,-0.3749137848,2.424185993,2.007174097,-10.01651645,1.208959984,168,182,full,0,217.9357833,18.42517056,23.25541714,9,139.7926804,0.4139228333,0.6005586592,0.032,0,D,0.329358419,0.0315,50,R,27.5,2.7,50,R,0.8512396812,0.08,17.76668779,C/R,340.1506913,25,17.76668779,C/R,carnallite,,0,D,0.005555555556,0.1,17.76668779,C/R,0.4758169935,0.1,17.76668779,C/R
P-D01-W003::C010::C012,P-D01-W003,P-D01,C010,2020-10-20,C012,2021-05-18,train,6,427.1755913,5.514072172,3.12381027,2.528709178,11.81841825,0.7479469121,182,210,full,1,228.8436278,18.89496675,19.33223252,9,139.7926804,0.4139228333,0.6005586592,0.032,0,D,0.329358419,0.0315,50,R,27.5,2.7,50,R,0.8512396812,0.08,17.76668779,C/R,340.1506913,25,17.76668779,C/R,carnallite,,0,D,0.005555555556,0.1,17.76668779,C/R,0.4758169935,0.1,17.76668779,C/R
P-D01-W003::C012::C014,P-D01-W003,P-D01,C012,2021-05-18,C014,2021-11-02,train,7,427.9950254,1.425230013,2.188129467,2.463946777,-7.111664755,0.7375658013,210,168,full,1,242.2212559,23.26751732,22.76261252,9,139.7926804,0.4139228333,0.6005586592,0.032,0,D,0.329358419,0.0315,50,R,27.5,2.7,50,R,0.8512396812,0.08,17.76668779,C/R,340.1506913,25,17.76668779,C/R,carnallite,,0,D,0.005555555556,0.1,17.76668779,C/R,0.4758169935,0.1,17.76668779,C/R
P-D01-W003::C014::C015,P-D01-W003,P-D01,C014,2021-11-02,C015,2022-03-01,train,8,430.5222889,5.494541697,4.144614627,1.922911832,8.847119599,0.7359342763,168,119,full,1,254.8739913,27.50840249,34.24384016,9,139.7926804,0.4139228333,0.6005586592,0.032,0,D,0.329358419,0.0315,50,R,27.5,2.7,50,R,0.8512396812,0.08,17.76668779,C/R,340.1506913,25,17.76668779,C/R,carnallite,,0,D,0.005555555556,0.1,17.76668779,C/R,0.4758169935,0.1,17.76668779,C/R
P-D01-W003::C015::C016,P-D01-W003,P-D01,C015,2022-03-01,C016,2022-05-17,train,9,431.8492734,4.072950465,3.664240725,1.686239828,-4.363329391,0.7277254979,119,77,focused,0,264.9856156,31.03588882,40.72579304,9,139.7926804,0.4139228333,0.6005586592,0.032,0,D,0.329358419,0.0315,50,R,27.5,2.7,50,R,0.8512396812,0.08,17.76668779,C/R,340.1506913,25,17.76668779,C/R,carnallite,,0,D,0.005555555556,0.1,17.76668779,C/R,0.4758169935,0.1,17.76668779,C/R
P-D01-W003::C016::C018,P-D01-W003,P-D01,C016,2022-05-17,C018,2022-10-18,train,10,431.1289079,-3.417058505,2.050144552,3.909216662,-35.52890619,0.7627195049,77,154,full,0,266.6704997,20.92292193,24.84240524,8,139.7926804,0.4139228333,0.6005586592,0.032,0,D,0.329358419,0.0315,50,R,27.5,2.7,50,R,0.8512396812,0.08,17.76668779,C/R,340.1506913,25,17.76668779,C/R,carnallite,,0,D,0.005555555556,0.1,17.76668779,C/R,0.4758169935,0.1,17.76668779,C/R
P-D01-W003::C018::C020,P-D01-W003,P-D01,C018,2022-10-18,C020,2023-05-16,train,11,434.098511,7.043165709,2.566352556,4.401246081,24.80907074,0.7438162597,154,210,full,1,289.0188356,41.0513561,51.65970877,9,139.7926804,0.4139228333,0.6005586592,0.032,0,D,0.329358419,0.0315,50,R,27.5,2.7,50,R,0.8512396812,0.08,17.76668779,C/R,340.1506913,25,17.76668779,C/R,carnallite,,0,D,0.005555555556,0.1,17.76668779,C/R,0.4758169935,0.1,17.76668779,C/R
P-D01-W003::C020::C022,P-D01-W003,P-D01,C020,2023-05-16,C022,2023-11-07,train,12,437.489781,5.898387469,3.174831558,4.684541262,-1.99109644,0.7237034749,210,175,full,1,314.8352395,44.90210262,56.54682012,9,139.7926804,0.4139228333,0.6005586592,0.032,0,D,0.329358419,0.0315,50,R,27.5,2.7,50,R,0.8512396812,0.08,17.76668779,C/R,340.1506913,25,17.76668779,C/R,carnallite,,0,D,0.005555555556,0.1,17.76668779,C/R,0.4758169935,0.1,17.76668779,C/R
P-D01-W003::C022::C023,P-D01-W003,P-D01,C022,2023-11-07,C023,2024-01-30,validation,13,436.4140335,-2.245238739,3.565438146,4.135263289,-16.99691127,0.7517488648,175,84,full,1,334.3448959,40.71943991,61.97948436,9,139.7926804,0.4139228333,0.6005586592,0.032,0,D,0.329358419,0.0315,50,R,27.5,2.7,50,R,0.8512396812,0.08,17.76668779,C/R,340.1506913,25,17.76668779,C/R,carnallite,,0,D,0.005555555556,0.1,17.76668779,C/R,0.4758169935,0.1,17.76668779,C/R
P-D01-W003::C023::C024,P-D01-W003,P-D01,C023,2024-01-30,C024,2024-05-14,validation,14,438.3693399,8.5020914,4.05174671,4.577760577,46.73169444,0.7361226582,84,105,focused,0,344.87998,45.80880299,62.55678215,9,139.7926804,0.4139228333,0.6005586592,0.032,0,D,0.329358419,0.0315,50,R,27.5,2.7,50,R,0.8512396812,0.08,17.76668779,C/R,340.1506913,25,17.76668779,C/R,carnallite,,0,D,0.005555555556,0.1,17.76668779,C/R,0.4758169935,0.1,17.76668779,C/R
P-D01-W003::C024::C026,P-D01-W003,P-D01,C024,2024-05-14,C026,2024-09-03,validation,15,439.9162736,5.381119186,3.879323949,4.514260218,-10.85652477,0.7289021762,105,112,full,0,358.6574136,47.92578696,62.3926684,9,139.7926804,0.4139228333,0.6005586592,0.032,0,D,0.329358419,0.0315,50,R,27.5,2.7,50,R,0.8512396812,0.08,17.76668779,C/R,340.1506913,25,17.76668779,C/R,carnallite,,0,D,0.005555555556,0.1,17.76668779,C/R,0.4758169935,0.1,17.76668779,C/R
P-D01-W003::C026::C027,P-D01-W003,P-D01,C026,2024-09-03,C027,2025-07-22,test,16,439.6700591,-0.802944927,4.360088553,3.866764619,-20.16722694,1.337895055,112,322,focused,1,371.3512325,41.39658356,63.83966605,9,139.7926804,0.4139228333,0.6005586592,0.032,0,D,0.329358419,0.0315,50,R,27.5,2.7,50,R,0.8512396812,0.08,17.76668779,C/R,340.1506913,25,17.76668779,C/R,carnallite,,0,D,0.005555555556,0.1,17.76668779,C/R,0.4758169935,0.1,17.76668779,C/R
P-D01-W003::C027::C029,P-D01-W003,P-D01,C027,2025-07-22,C029,2025-11-04,test,17,442.7190846,3.458560774,2.678911678,2.584124839,4.833897383,0.7420774844,322,105,full,0,409.3131161,43.06080122,62.52547524,9,139.7926804,0.4139228333,0.6005586592,0.032,0,D,0.329358419,0.0315,50,R,27.5,2.7,50,R,0.8512396812,0.08,17.76668779,C/R,340.1506913,25,17.76668779,C/R,carnallite,,0,D,0.005555555556,0.1,17.76668779,C/R,0.4758169935,0.1,17.76668779,C/R
