sample_id,split,sampling_class,sample_weight
P-H03-W007::C016::C020,train,positive,1
P-H04-W002::C016::C017,train,positive,1
P-H04-W002::C017::C018,train,positive,1
P-H04-W003::C020::C022,train,positive,1
P-H04-W006::C018::C020,train,positive,1
P-V04-W007::C005::C007,train,sampled_negative,1
P-D01-W003::C007::C008,train,sampled_negative,1
P-V04-W001::C018::C020,train,sampled_negative,1
P-H01-W001::C010::C012,train,sampled_negative,1
P-H06-W001::C020::C022,train,sampled_negative,1
P-H01-W006::C018::C019,train,sampled_negative,1
P-H04-W006::C008::C010,train,sampled_negative,1
P-H07-W002::C020::C022,train,sampled_negative,1
P-V06-W001::C008::C010,train,sampled_negative,1
P-V01-W005::C010::C012,train,sampled_negative,1
P-V02-W005::C016::C018,train,sampled_negative,1
P-H04-W006::C012::C013,train,sampled_negative,1
P-H04-W003::C007::C008,train,sampled_negative,1
P-D01-W007::C020::C022,train,sampled_negative,1
P-H07-W004::C016::C018,train,sampled_negative,1
P-H05-W005::C007::C010,train,sampled_negative,1
P-V06-W004::C020::C022,train,sampled_negative,1
P-V02-W003::C008::C010,train,sampled_negative,1
P-V04-W006::C005::C007,train,sampled_negative,1
P-H04-W006::C007::C008,train,sampled_negative,1
P-V03-W001::C010::C012,train,sampled_negative,1
P-H05-W002::C008::C010,train,sampled_negative,1
P-H07-W007::C020::C022,train,sampled_negative,1
P-V04-W001::C007::C008,train,sampled_negative,1
P-V06-W003::C020::C022,train,sampled_negative,1
P-H03-W002::C010::C012,train,sampled_negative,1
P-H03-W005::C007::C008,train,sampled_negative,1
P-V01-W003::C004::C005,train,sampled_negative,1
P-H07-W004::C012::C014,train,sampled_negative,1
P-D01-W007::C009::C010,train,sampled_negative,1
P-V03-W002::C016::C018,train,sampled_negative,1
P-H07-W001::C007::C008,train,sampled_negative,1
P-V03-W006::C005::C007,train,sampled_negative,1
P-V02-W002::C010::C011,train,sampled_negative,1
P-V06-W007::C014::C016,train,sampled_negative,1
P-H04-W002::C014::C015,train,sampled_negative,1
P-D01-W001::C007::C008,train,sampled_negative,1
P-H03-W002::C018::C020,train,sampled_negative,1
P-V06-W006::C008::C010,train,sampled_negative,1
P-H04-W004::C007::C008,train,sampled_negative,1
P-H02-W007::C008::C010,train,sampled_negative,1
P-V06-W007::C020::C022,train,sampled_negative,1
P-H03-W006::C003::C005,train,sampled_negative,1
P-V05-W002::C005::C007,train,sampled_negative,1
P-H05-W001::C005::C007,train,sampled_negative,1
P-V05-W002::C012::C014,train,sampled_negative,1
P-H02-W003::C008::C010,train,sampled_negative,1
P-H03-W002::C005::C006,train,sampled_negative,1
P-H03-W006::C021::C022,train,sampled_negative,1
P-D01-W004::C005::C007,train,sampled_negative,1
P-V06-W005::C018::C020,train,sampled_negative,1
P-H06-W006::C016::C020,train,sampled_negative,1
P-H07-W001::C016::C018,train,sampled_negative,1
P-H07-W001::C020::C022,train,sampled_negative,1
P-D01-W004::C008::C010,train,sampled_negative,1
P-V04-W007::C018::C020,train,sampled_negative,1
P-H04-W004::C015::C016,train,sampled_negative,1
P-H04-W005::C007::C008,train,sampled_negative,1
P-D01-W006::C014::C015,train,sampled_negative,1
P-H06-W003::C012::C014,train,sampled_negative,1
P-H02-W005::C012::C014,train,sampled_negative,1
P-V01-W001::C004::C005,train,sampled_negative,1
P-V01-W002::C010::C012,train,sampled_negative,1
P-V04-W002::C020::C022,train,sampled_negative,1
P-D01-W004::C012::C014,train,sampled_negative,1
P-H05-W006::C016::C018,train,sampled_negative,1
P-H03-W001::C009::C010,train,sampled_negative,1
P-V05-W002::C010::C012,train,sampled_negative,1
P-D01-W007::C007::C008,train,sampled_negative,1
P-V01-W004::C009::C010,train,sampled_negative,1
P-V02-W003::C020::C022,train,sampled_negative,1
P-V05-W004::C018::C020,train,sampled_negative,1
P-V02-W006::C011::C012,train,sampled_negative,1
P-V02-W005::C010::C011,train,sampled_negative,1
P-H02-W004::C012::C014,train,sampled_negative,1
P-V05-W007::C012::C014,train,sampled_negative,1
P-H02-W002::C008::C012,train,sampled_negative,1
P-H06-W004::C016::C018,train,sampled_negative,1
P-H03-W004::C017::C018,train,sampled_negative,1
P-H03-W003::C006::C007,train,sampled_negative,1
P-V06-W001::C016::C020,train,sampled_negative,1
P-H02-W004::C018::C019,train,sampled_negative,1
P-V02-W005::C005::C006,train,sampled_negative,1
P-V03-W003::C008::C010,train,sampled_negative,1
P-H01-W007::C007::C008,train,sampled_negative,1
P-H07-W002::C008::C012,train,sampled_negative,1
P-V02-W004::C016::C018,train,sampled_negative,1
P-H01-W007::C012::C014,train,sampled_negative,1
P-H01-W001::C007::C008,train,sampled_negative,1
P-H04-W005::C011::C012,train,sampled_negative,1
P-H04-W004::C008::C010,train,sampled_negative,1
P-V01-W005::C016::C018,train,sampled_negative,1
P-H06-W005::C012::C014,train,sampled_negative,1
P-H01-W004::C008::C010,train,sampled_negative,1
P-V02-W006::C005::C006,train,sampled_negative,1
P-H02-W004::C007::C008,train,sampled_negative,1
P-H02-W006::C005::C007,train,sampled_negative,1
P-H05-W006::C018::C020,train,sampled_negative,1
P-V03-W002::C020::C022,train,sampled_negative,1
P-H07-W002::C018::C020,train,sampled_negative,1
P-H02-W004::C022::C024,validation,positive,1
P-H02-W006::C022::C024,validation,positive,1
P-H02-W006::C024::C026,validation,positive,1
P-H04-W001::C022::C024,validation,positive,1
P-H04-W001::C024::C025,validation,positive,1
P-H04-W005::C024::C025,validation,positive,1
P-H05-W004::C022::C024,validation,positive,1
P-H05-W005::C022::C024,validation,positive,1
P-H01-W002::C022::C023,validation,sampled_negative,1
P-H03-W004::C022::C024,validation,sampled_negative,1
P-H03-W001::C024::C025,validation,sampled_negative,1
P-V06-W005::C022::C024,validation,sampled_negative,1
P-H01-W003::C024::C025,validation,sampled_negative,1
P-D01-W003::C022::C023,validation,sampled_negative,1
P-H07-W003::C022::C024,validation,sampled_negative,1
P-D01-W006::C023::C024,validation,sampled_negative,1
P-H02-W003::C022::C024,validation,sampled_negative,1
P-H01-W003::C023::C024,validation,sampled_negative,1
P-V05-W001::C022::C024,validation,sampled_negative,1
P-V04-W006::C022::C024,validation,sampled_negative,1
P-D01-W003::C024::C026,validation,sampled_negative,1
P-H05-W006::C020::C024,validation,sampled_negative,1
P-V04-W004::C022::C024,validation,sampled_negative,1
P-H05-W007::C022::C024,validation,sampled_negative,1
P-H01-W006::C022::C023,validation,sampled_negative,1
P-D01-W007::C024::C026,validation,sampled_negative,1
P-V02-W005::C022::C024,validation,sampled_negative,1
P-D01-W002::C022::C023,validation,sampled_negative,1
P-V06-W001::C022::C024,validation,sampled_negative,1
P-H05-W002::C022::C024,validation,sampled_negative,1
P-H01-W007::C022::C023,validation,sampled_negative,1
P-H02-W003::C024::C026,validation,sampled_negative,1
P-D01-W005::C023::C024,validation,sampled_negative,1
P-D01-W003::C023::C024,validation,sampled_negative,1
P-H04-W005::C020::C024,validation,sampled_negative,1
P-V02-W001::C022::C024,validation,sampled_negative,1
P-H03-W003::C022::C024,validation,sampled_negative,1
P-V06-W007::C022::C024,validation,sampled_negative,1
P-H06-W004::C022::C024,validation,sampled_negative,1
P-V03-W001::C022::C024,validation,sampled_negative,1
